Comarca código	Comarca nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
11	Bajo Cinca / Baix Cinca	1	En propiedad	En propiedad, por compra totalmente pagada	3633
11	Bajo Cinca / Baix Cinca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1089
11	Bajo Cinca / Baix Cinca	1	En propiedad	En propiedad, por herencia o donación	1676
12	Tarazona y el Moncayo	1	En propiedad	En propiedad, por compra totalmente pagada	2860
12	Tarazona y el Moncayo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	871
12	Tarazona y el Moncayo	1	En propiedad	En propiedad, por herencia o donación	942
13	Campo de Borja	1	En propiedad	En propiedad, por compra totalmente pagada	2744
13	Campo de Borja	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	832
13	Campo de Borja	1	En propiedad	En propiedad, por herencia o donación	1129
14	Aranda	1	En propiedad	En propiedad, por compra totalmente pagada	1582
14	Aranda	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	437
14	Aranda	1	En propiedad	En propiedad, por herencia o donación	555
15	Ribera Alta del Ebro	1	En propiedad	En propiedad, por compra totalmente pagada	3941
15	Ribera Alta del Ebro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1607
15	Ribera Alta del Ebro	1	En propiedad	En propiedad, por herencia o donación	1597
16	Valdejalón	1	En propiedad	En propiedad, por compra totalmente pagada	4349
16	Valdejalón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1141
16	Valdejalón	1	En propiedad	En propiedad, por herencia o donación	1637
17	D.C. Zaragoza	1	En propiedad	En propiedad, por compra totalmente pagada	128253
17	D.C. Zaragoza	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	65530
17	D.C. Zaragoza	1	En propiedad	En propiedad, por herencia o donación	7755
18	Ribera Baja del Ebro	1	En propiedad	En propiedad, por compra totalmente pagada	2041
18	Ribera Baja del Ebro	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	475
18	Ribera Baja del Ebro	1	En propiedad	En propiedad, por herencia o donación	672
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	En propiedad	En propiedad, por compra totalmente pagada	2352
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	696
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	En propiedad	En propiedad, por herencia o donación	1104
20	Comunidad de Calatayud	1	En propiedad	En propiedad, por compra totalmente pagada	7790
20	Comunidad de Calatayud	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2125
20	Comunidad de Calatayud	1	En propiedad	En propiedad, por herencia o donación	2995
21	Campo de Cariñena	1	En propiedad	En propiedad, por compra totalmente pagada	2126
21	Campo de Cariñena	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	302
21	Campo de Cariñena	1	En propiedad	En propiedad, por herencia o donación	809
22	Campo de Belchite	1	En propiedad	En propiedad, por compra totalmente pagada	1266
22	Campo de Belchite	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	153
22	Campo de Belchite	1	En propiedad	En propiedad, por herencia o donación	730
23	Bajo Martín	1	En propiedad	En propiedad, por compra totalmente pagada	1579
23	Bajo Martín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	184
23	Bajo Martín	1	En propiedad	En propiedad, por herencia o donación	843
24	Campo de Daroca	1	En propiedad	En propiedad, por compra totalmente pagada	1172
24	Campo de Daroca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	113
24	Campo de Daroca	1	En propiedad	En propiedad, por herencia o donación	1013
25	Jiloca	1	En propiedad	En propiedad, por compra totalmente pagada	2825
25	Jiloca	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	281
25	Jiloca	1	En propiedad	En propiedad, por herencia o donación	1824
26	Cuencas Mineras	1	En propiedad	En propiedad, por compra totalmente pagada	1988
26	Cuencas Mineras	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	434
26	Cuencas Mineras	1	En propiedad	En propiedad, por herencia o donación	676
27	Andorra-Sierra de Arcos	1	En propiedad	En propiedad, por compra totalmente pagada	2322
27	Andorra-Sierra de Arcos	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	496
27	Andorra-Sierra de Arcos	1	En propiedad	En propiedad, por herencia o donación	623
28	Bajo Aragón	1	En propiedad	En propiedad, por compra totalmente pagada	4844
28	Bajo Aragón	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	1743
28	Bajo Aragón	1	En propiedad	En propiedad, por herencia o donación	1609
29	Comunidad de Teruel	1	En propiedad	En propiedad, por compra totalmente pagada	8059
29	Comunidad de Teruel	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	2695
29	Comunidad de Teruel	1	En propiedad	En propiedad, por herencia o donación	2405
30	Maestrazgo	1	En propiedad	En propiedad, por compra totalmente pagada	651
30	Maestrazgo	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	52
30	Maestrazgo	1	En propiedad	En propiedad, por herencia o donación	552
31	Sierra de Albarracín	1	En propiedad	En propiedad, por compra totalmente pagada	841
31	Sierra de Albarracín	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	58
31	Sierra de Albarracín	1	En propiedad	En propiedad, por herencia o donación	734
32	Gúdar-Javalambre	1	En propiedad	En propiedad, por compra totalmente pagada	1464
32	Gúdar-Javalambre	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	143
32	Gúdar-Javalambre	1	En propiedad	En propiedad, por herencia o donación	911
33	Matarraña / Matarranya	1	En propiedad	En propiedad, por compra totalmente pagada	1269
33	Matarraña / Matarranya	1	En propiedad	En propiedad, con pagos pendientes (hipotecas),¿	128
33	Matarraña / Matarranya	1	En propiedad	En propiedad, por herencia o donación	1511
01	La Jacetania	2	En alquiler	En alquiler	772
02	Alto Gállego	2	En alquiler	En alquiler	357
03	Sobrarbe	2	En alquiler	En alquiler	178
04	La Ribagorza	2	En alquiler	En alquiler	384
05	Cinco Villas	2	En alquiler	En alquiler	662
06	Hoya de Huesca / Plana de Uesca	2	En alquiler	En alquiler	1820
07	Somontano de Barbastro	2	En alquiler	En alquiler	673
08	Cinca Medio	2	En alquiler	En alquiler	609
09	La Litera / La Llitera	2	En alquiler	En alquiler	506
10	Los Monegros	2	En alquiler	En alquiler	359
11	Bajo Cinca / Baix Cinca	2	En alquiler	En alquiler	537
12	Tarazona y el Moncayo	2	En alquiler	En alquiler	357
13	Campo de Borja	2	En alquiler	En alquiler	232
14	Aranda	2	En alquiler	En alquiler	153
15	Ribera Alta del Ebro	2	En alquiler	En alquiler	383
16	Valdejalón	2	En alquiler	En alquiler	589
17	D.C. Zaragoza	2	En alquiler	En alquiler	30256
18	Ribera Baja del Ebro	2	En alquiler	En alquiler	178
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	En alquiler	En alquiler	334
20	Comunidad de Calatayud	2	En alquiler	En alquiler	1399
21	Campo de Cariñena	2	En alquiler	En alquiler	310
22	Campo de Belchite	2	En alquiler	En alquiler	70
23	Bajo Martín	2	En alquiler	En alquiler	113
24	Campo de Daroca	2	En alquiler	En alquiler	116
25	Jiloca	2	En alquiler	En alquiler	221
26	Cuencas Mineras	2	En alquiler	En alquiler	221
27	Andorra-Sierra de Arcos	2	En alquiler	En alquiler	215
28	Bajo Aragón	2	En alquiler	En alquiler	694
29	Comunidad de Teruel	2	En alquiler	En alquiler	1275
30	Maestrazgo	2	En alquiler	En alquiler	102
31	Sierra de Albarracín	2	En alquiler	En alquiler	128
32	Gúdar-Javalambre	2	En alquiler	En alquiler	274
33	Matarraña / Matarranya	2	En alquiler	En alquiler	191
