Año	Población	Municipio código	Municipio nombre
1996	104	22087	Castigaleu
1996	239	22088	Castillazuelo
1996	444	22089	Castillonroy
1996	129	22090	Colungo
1996	179	22094	Chalamera
1996	121	22095	Chía
1996	162	22096	Chimillas
1996	811	22099	Esplús
1996	198	22102	Estada
1996	968	22103	Estadilla
1996	195	22105	Estopiñán del Castillo
1996	43	22106	Fago
1996	107	22107	Fanlo
1996	244	22109	Fiscal
1996	1169	22110	Fonz
1996	260	22111	Foradada del Toscar
1996	11783	22112	Fraga
1996	622	22113	Fueva (La)
1996	187	22114	Gistaín
1996	586	22115	Grado (El)
1996	2062	22116	Grañén
1996	3300	22117	Graus
1996	1895	22119	Gurrea de Gállego
1996	80	22122	Hoz de Jaca
1996	268	22124	Huerto
1996	45607	22125	Huesca
1996	110	22126	Ibieca
1996	193	22127	Igriés
1996	294	22128	Ilche
1996	268	22129	Isábena
1996	11310	22130	Jaca
1996	137	22131	Jasa
1996	180	22133	Labuerda
1996	271	22135	Laluenga
1996	1292	22136	Lalueza
1996	1651	22137	Lanaja
1996	103	22139	Laperdiguera
1996	169	22141	Lascellas-Ponzano
1996	173	22142	Lascuarre
1996	284	22143	Laspaúles
1996	278	22144	Laspuña
1996	412	22149	Loarre
1996	537	22150	Loporzano
1996	127	22151	Loscorrales
1996	105	22155	Monesma y Cajigar
1996	193	22156	Monflorite-Lascasas
1996	322	22157	Montanuy
1996	14576	22158	Monzón
1996	301	22160	Naval
1996	197	22162	Novales
1996	217	22163	Nueno
1996	53	22164	Olvena
1996	682	22165	Ontiñena
1996	738	22167	Osso de Cinca
1996	33	22168	Palo
1996	613	22170	Panticosa
1996	817	22172	Peñalba
1996	298	22173	Peñas de Riglos (Las)
1996	762	22174	Peralta de Alcofea
1996	306	22175	Peralta de Calasanz
1996	180	22176	Peraltilla
1996	147	22177	Perarrúa
1996	147	22178	Pertusa
1996	100	22181	Piracés
1996	312	22182	Plan
1996	253	22184	Poleñino
1996	257	22186	Pozán de Vero
1996	306	22187	Puebla de Castro (La)
1996	142	22188	Puente de Montañana
1996	219	22189	Puértolas
1996	184	22190	Pueyo de Araguás (El)
1996	371	22193	Pueyo de Santa Cruz
1996	146	22195	Quicena
1996	709	22197	Robres
1996	8759	22199	Sabiñánigo
1996	323	22200	Sahún
1996	403	22201	Salas Altas
1996	180	22202	Salas Bajas
1996	130	22203	Salillas
1996	983	22204	Sallent de Gállego
1996	658	22205	San Esteban de Litera
1996	285	22206	Sangarrén
1996	166	22207	San Juan de Plan
1996	205	22208	Santa Cilia
1996	162	22209	Santa Cruz de la Serós
1996	101	22212	Santaliestra y San Quílez
1996	4058	22213	Sariñena
1996	168	22214	Secastilla
1996	202	22215	Seira
1996	615	22217	Sena
1996	60	22218	Senés de Alcubierre
1996	281	22220	Sesa
1996	117	22221	Sesué
1996	361	22222	Siétamo
1996	113	22223	Sopeira
1996	3867	22225	Tamarite de Litera
1996	1087	22226	Tardienta
1996	293	22227	Tella-Sin
1996	183	22228	Tierz
1996	220	22229	Tolva
1996	344	22230	Torla-Ordesa
1996	136	22232	Torralba de Aragón
1996	120	22233	Torre la Ribera
1996	1142	22234	Torrente de Cinca
1996	139	22235	Torres de Alcanadre
1996	370	22236	Torres de Barbués
1996	104	22239	Tramaced
1996	109	22242	Valfarta
1996	57	22243	Valle de Bardají
1996	63	22244	Valle de Lierp
1996	499	22245	Velilla de Cinca
1996	116	22246	Beranuy
1996	32	22247	Viacamp y Litera
1996	126	22248	Vicién
1996	113	22249	Villanova
1996	317	22250	Villanúa
1996	492	22251	Villanueva de Sigena
1996	172	22252	Yebra de Basa
1996	70	22253	Yésero
1996	1698	22254	Zaidín
1996	1005	22901	Valle de Hecho
1996	269	22902	Puente la Reina de Jaca
1996	918	22903	San Miguel del Cinca
1996	1127	22904	Sotonera (La)
1996	366	22905	Lupiñén-Ortilla
1996	214	22906	Santa María de Dulcis
1996	1512	22907	Aínsa-Sobrarbe
1996	275	22908	Hoz y Costeán
1996	481	22909	Vencillón
1996	85	44001	Ababuj
1996	70	44002	Abejuela
1996	26	44003	Aguatón
1996	641	44004	Aguaviva
1996	88	44005	Aguilar del Alfambra
1996	481	44006	Alacón
1996	294	44007	Alba
1996	2434	44008	Albalate del Arzobispo
1996	1061	44009	Albarracín
1996	268	44010	Albentosa
1996	61	44011	Alcaine
1996	442	44012	Alcalá de la Selva
1996	12679	44013	Alcañiz
1996	3316	44014	Alcorisa
1996	705	44016	Alfambra
1996	440	44017	Aliaga
1996	35	44018	Almohaja
1996	94	44019	Alobras
1996	32	44020	Alpeñés
1996	146	44021	Allepuz
1996	831	44022	Alloza
1996	19	44023	Allueva
1996	23	44024	Anadón
1996	8282	44025	Andorra
1996	178	44026	Arcos de las Salinas
1996	243	44027	Arens de Lledó
1996	276	44028	Argente
1996	930	44029	Ariño
1996	192	44031	Azaila
1996	25	44032	Bádenas
1996	558	44033	Báguena
1996	188	44034	Bañón
1996	176	44035	Barrachina
1996	46	44036	Bea
1996	693	44037	Beceite
1996	151	44038	Belmonte de San José
1996	411	44039	Bello
1996	237	44040	Berge
1996	72	44041	Bezas
1996	203	44042	Blancas
1996	159	44043	Blesa
1996	139	44044	Bordón
1996	447	44045	Bronchales
1996	110	44046	Bueña
1996	356	44047	Burbáguena
1996	97	44048	Cabra de Mora
1996	1238	44049	Calaceite
1996	4019	44050	Calamocha
1996	3596	44051	Calanda
1996	90	44052	Calomarde
1996	144	44053	Camañas
1996	167	44054	Camarena de la Sierra
1996	131	44055	Camarillas
1996	832	44056	Caminreal
1996	739	44059	Cantavieja
1996	69	44060	Cañada de Benatanduz
1996	106	44061	Cañada de Verich (La)
1996	63	44062	Cañada Vellida
1996	129	44063	Cañizar del Olivar
1996	126	44064	Cascante del Río
1996	109	44065	Castejón de Tornos
1996	192	44066	Castel de Cabra
1996	106	44067	Castelnou
1996	873	44068	Castelserás
1996	95	44070	Castellar (El)
1996	735	44071	Castellote
1996	552	44074	Cedrillas
1996	433	44075	Celadas
1996	3030	44076	Cella
1996	87	44077	Cerollera (La)
1996	358	44080	Codoñera (La)
1996	75	44082	Corbalán
1996	143	44084	Cortes de Aragón
1996	106	44085	Cosa
1996	638	44086	Cretas
1996	138	44087	Crivillén
1996	70	44088	Cuba (La)
1996	60	44089	Cubla
1996	83	44090	Cucalón
1996	138	44092	Cuervo (El)
1996	111	44093	Cuevas de Almudén
1996	180	44094	Cuevas Labradas
1996	236	44096	Ejulve
1996	240	44097	Escorihuela
1996	1179	44099	Escucha
1996	386	44100	Estercuel
1996	87	44101	Ferreruela de Huerva
1996	33	44102	Fonfría
1996	201	44103	Formiche Alto
1996	108	44105	Fórnoles
1996	195	44106	Fortanete
1996	255	44107	Foz-Calanda
1996	435	44108	Fresneda (La)
1996	180	44109	Frías de Albarracín
1996	49	44110	Fuenferrada
1996	143	44111	Fuentes Calientes
1996	689	44112	Fuentes Claras
1996	83	44113	Fuentes de Rubielos
1996	379	44114	Fuentespalda
1996	144	44115	Galve
1996	128	44116	Gargallo
1996	503	44117	Gea de Albarracín
1996	275	44118	Ginebrosa (La)
1996	155	44119	Griegos
1996	297	44120	Guadalaviar
1996	83	44121	Gúdar
1996	1974	44122	Híjar
1996	186	44123	Hinojosa de Jarque
1996	139	44124	Hoz de la Vieja (La)
1996	138	44125	Huesa del Común
1996	502	44126	Iglesuela del Cid (La)
1996	101	44127	Jabaloyas
1996	106	44128	Jarque de la Val
1996	72	44129	Jatiel
1996	54	44130	Jorcas
1996	47	44131	Josa
1996	73	44132	Lagueruela
1996	32	44133	Lanzuela
1996	182	44135	Libros
1996	85	44136	Lidón
1996	317	44137	Linares de Mora
1996	223	44138	Loscos
1996	217	44141	Lledó
1996	25	44142	Maicas
1996	487	44143	Manzanera
1996	518	44144	Martín del Río
1996	1483	44145	Mas de las Matas
1996	281	44146	Mata de los Olmos (La)
1996	608	44147	Mazaleón
1996	144	44148	Mezquita de Jarque
1996	144	44149	Mirambel
1996	50	44150	Miravete de la Sierra
1996	359	44151	Molinos
1996	85	44152	Monforte de Moyuela
1996	2305	44153	Monreal del Campo
1996	393	44154	Monroyo
1996	1668	44155	Montalbán
1996	68	44156	Monteagudo del Castillo
1996	76	44157	Monterde de Albarracín
1996	1346	44158	Mora de Rubielos
1996	48	44159	Moscardón
1996	719	44160	Mosqueruela
1996	756	44161	Muniesa
1996	183	44163	Noguera de Albarracín
1996	23	44164	Nogueras
1996	224	44165	Nogueruelas
1996	60	44167	Obón
1996	271	44168	Odón
1996	611	44169	Ojos Negros
1996	220	44171	Olba
1996	499	44172	Oliete
1996	154	44173	Olmos (Los)
1996	620	44174	Orihuela del Tremedal
1996	209	44175	Orrios
1996	274	44176	Palomar de Arroyos
1996	202	44177	Pancrudo
1996	109	44178	Parras de Castellote (Las)
1996	552	44179	Peñarroya de Tastavins
1996	118	44180	Peracense
1996	101	44181	Peralejos
1996	294	44182	Perales del Alfambra
1996	114	44183	Pitarque
1996	54	44184	Plou
1996	155	44185	Pobo (El)
1996	342	44187	Portellada (La)
1996	88	44189	Pozondón
1996	116	44190	Pozuel del Campo
1996	1145	44191	Puebla de Híjar (La)
1996	476	44192	Puebla de Valverde (La)
1996	136	44193	Puertomingalvo
1996	225	44194	Ráfales
1996	151	44195	Rillo
1996	245	44196	Riodeva
1996	98	44197	Ródenas
1996	238	44198	Royuela
1996	64	44199	Rubiales
1996	61	44200	Rubielos de la Cérida
1996	620	44201	Rubielos de Mora
1996	9	44203	Salcedillo
1996	47	44204	Saldón
1996	1032	44205	Samper de Calanda
1996	156	44206	San Agustín
1996	312	44207	San Martín del Río
1996	28	44208	Santa Cruz de Nogueras
1996	1283	44209	Santa Eulalia
1996	1026	44210	Sarrión
1996	56	44211	Segura de los Baños
1996	56	44212	Seno
1996	98	44213	Singra
1996	186	44215	Terriente
1996	28994	44216	Teruel
1996	37	44217	Toril y Masegoso
1996	43	44218	Tormón
1996	271	44219	Tornos
1996	229	44220	Torralba de los Sisones
1996	453	44221	Torrecilla de Alcañiz
1996	170	44222	Torrecilla del Rebollar
1996	117	44223	Torre de Arcas
1996	40	44224	Torre de las Arcas
1996	189	44225	Torre del Compte
1996	313	44226	Torrelacárcel
1996	98	44227	Torre los Negros
1996	182	44228	Torremocha de Jiloca
1996	162	44229	Torres de Albarracín
1996	207	44230	Torrevelilla
1996	85	44231	Torrijas
1996	592	44232	Torrijo del Campo
1996	120	44234	Tramacastiel
1996	143	44235	Tramacastilla
1996	92	44236	Tronchón
1996	633	44237	Urrea de Gaén
1996	3343	44238	Utrillas
1996	21	44239	Valacloche
1996	195	44240	Valbona
1996	780	44241	Valdealgorfa
1996	37	44243	Valdecuenca
1996	126	44244	Valdelinares
1996	396	44245	Valdeltormo
1996	1935	44246	Valderrobres
1996	460	44247	Valjunquera
1996	40	44249	Vallecillo (El)
1996	31	44250	Veguillas de la Sierra
1996	404	44251	Villafranca del Campo
1996	68	44252	Villahermosa del Campo
1996	47	44256	Villanueva del Rebollar de la Sierra
1996	235	44257	Villar del Cobo
1996	115	44258	Villar del Salz
1996	205	44260	Villarluengo
1996	1005	44261	Villarquemado
1996	214	44262	Villarroya de los Pinares
1996	345	44263	Villastar
1996	345	44264	Villel
1996	306	44265	Vinaceite
1996	228	44266	Visiedo
1996	110	44267	Vivel del Río Martín
1996	34	44268	Zoma (La)
1996	191	50001	Abanto
1996	297	50002	Acered
1996	201	50003	Agón
1996	746	50004	Aguarón
1996	263	50005	Aguilón
1996	1221	50006	Ainzón
1996	64	50007	Aladrén
1996	5595	50008	Alagón
1996	166	50009	Alarba
1996	107	50010	Alberite de San Juan
1996	130	50011	Albeta
1996	128	50012	Alborge
1996	312	50013	Alcalá de Ebro
1996	162	50014	Alcalá de Moncayo
1996	171	50015	Alconchel de Ariza
1996	67	50016	Aldehuela de Liestos
1996	1450	50017	Alfajarín
1996	1319	50018	Alfamén
1996	89	50019	Alforque
1996	1217	50020	Alhama de Aragón
1996	45	50021	Almochuel
1996	717	50022	Almolda (La)
1996	355	50023	Almonacid de la Cuba
1996	864	50024	Almonacid de la Sierra
1996	5373	50025	Almunia de Doña Godina (La)
1996	629	50026	Alpartir
1996	371	50027	Ambel
1996	73	50028	Anento
1996	911	50029	Aniñón
1996	317	50030	Añón de Moncayo
1996	254	50031	Aranda de Moncayo
1996	535	50032	Arándiga
1996	85	50033	Ardisa
1996	1385	50034	Ariza
1996	105	50035	Artieda
1996	108	50036	Asín
1996	251	50037	Atea
1996	2059	50038	Ateca
1996	759	50039	Azuara
1996	122	50040	Badules
1996	34	50041	Bagüés
1996	34	50042	Balconchán
1996	317	50043	Bárboles
1996	311	50044	Bardallur
1996	1628	50045	Belchite
1996	310	50046	Belmonte de Gracián
1996	53	50047	Berdejo
1996	38	50048	Berrueco
1996	148	50050	Bijuesca
1996	1255	50051	Biota
1996	141	50052	Bisimbre
1996	1028	50053	Boquiñeni
1996	101	50054	Bordalba
1996	4174	50055	Borja
1996	467	50056	Botorrita
1996	2019	50057	Brea de Aragón
1996	112	50058	Bubierca
1996	1035	50059	Bujaraloz
1996	265	50060	Bulbuente
1996	333	50061	Bureta
1996	1447	50062	Burgo de Ebro (El)
1996	121	50063	Buste (El)
1996	524	50064	Cabañas de Ebro
1996	86	50065	Cabolafuente
1996	1243	50066	Cadrete
1996	17078	50067	Calatayud
1996	2692	50068	Calatorao
1996	102	50069	Calcena
1996	94	50070	Calmarza
1996	214	50071	Campillo de Aragón
1996	251	50072	Carenas
1996	2852	50073	Cariñena
1996	7770	50074	Caspe
1996	121	50075	Castejón de Alarba
1996	154	50076	Castejón de las Armas
1996	351	50077	Castejón de Valdejasa
1996	437	50078	Castiliscar
1996	354	50079	Cervera de la Cañada
1996	6	50080	Cerveruela
1996	761	50081	Cetina
1996	141	50082	Cimballa
1996	134	50083	Cinco Olivas
1996	101	50084	Clarés de Ribota
1996	299	50085	Codo
1996	306	50086	Codos
1996	61	50087	Contamina
1996	431	50088	Cosuenda
1996	1720	50089	Cuarte de Huerva
1996	249	50090	Cubel
1996	103	50091	Cuerlas (Las)
1996	406	50092	Chiprana
1996	131	50093	Chodes
1996	2335	50094	Daroca
1996	15227	50095	Ejea de los Caballeros
1996	64	50096	Embid de Ariza
1996	347	50098	Encinacorba
1996	3957	50099	Épila
1996	484	50100	Erla
1996	1371	50101	Escatrón
1996	1261	50102	Fabara
1996	468	50104	Farlete
1996	392	50105	Fayón
1996	201	50106	Fayos (Los)
1996	955	50107	Figueruelas
1996	21	50108	Fombuena
1996	106	50109	Frago (El)
1996	573	50110	Frasno (El)
1996	261	50111	Fréscano
1996	935	50113	Fuendejalón
1996	154	50114	Fuendetodos
1996	3763	50115	Fuentes de Ebro
1996	372	50116	Fuentes de Jiloca
1996	191	50117	Gallocanta
1996	2992	50118	Gallur
1996	1289	50119	Gelsa
1996	77	50120	Godojos
1996	392	50121	Gotor
1996	65	50122	Grisel
1996	480	50123	Grisén
1996	605	50124	Herrera de los Navarros
1996	620	50125	Ibdes
1996	3282	50126	Illueca
1996	67	50128	Isuerre
1996	329	50129	Jaraba
1996	591	50130	Jarque de Moncayo
1996	306	50131	Jaulín
1996	363	50132	Joyosa (La)
1996	157	50133	Lagata
1996	190	50134	Langa del Castillo
1996	159	50135	Layana
1996	879	50136	Lécera
1996	1413	50137	Leciñena
1996	58	50138	Lechón
1996	506	50139	Letux
1996	183	50140	Litago
1996	122	50141	Lituénigo
1996	66	50142	Lobera de Onsella
1996	870	50143	Longares
1996	42	50144	Longás
1996	273	50146	Lucena de Jalón
1996	1074	50147	Luceni
1996	440	50148	Luesia
1996	22	50149	Luesma
1996	962	50150	Lumpiaque
1996	961	50151	Luna
1996	2079	50152	Maella
1996	1243	50153	Magallón
1996	194	50154	Mainar
1996	139	50155	Malanquilla
1996	314	50156	Maleján
1996	491	50157	Malón
1996	1031	50159	Maluenda
1996	2963	50160	Mallén
1996	162	50161	Manchones
1996	214	50162	Mara
1996	849	50163	María de Huerva
1996	515	50164	Mediana de Aragón
1996	2582	50165	Mequinenza
1996	392	50166	Mesones de Isuela
1996	318	50167	Mezalocha
1996	37	50168	Mianos
1996	532	50169	Miedes de Aragón
1996	553	50170	Monegrillo
1996	127	50171	Moneva
1996	324	50172	Monreal de Ariza
1996	238	50173	Monterde
1996	140	50174	Montón
1996	1614	50175	Morata de Jalón
1996	359	50176	Morata de Jiloca
1996	518	50177	Morés
1996	555	50178	Moros
1996	365	50179	Moyuela
1996	115	50180	Mozota
1996	1128	50181	Muel
1996	1098	50182	Muela (La)
1996	485	50183	Munébrega
1996	144	50184	Murero
1996	139	50185	Murillo de Gállego
1996	64	50186	Navardún
1996	123	50187	Nigüella
1996	33	50188	Nombrevilla
1996	1100	50189	Nonaspe
1996	773	50190	Novallas
1996	713	50191	Novillas
1996	297	50192	Nuévalos
1996	550	50193	Nuez de Ebro
1996	178	50194	Olvés
1996	47	50195	Orcajo
1996	143	50196	Orera
1996	108	50197	Orés
1996	60	50198	Oseja
1996	361	50199	Osera de Ebro
1996	702	50200	Paniza
1996	512	50201	Paracuellos de Jiloca
1996	331	50202	Paracuellos de la Ribera
1996	893	50203	Pastriz
1996	2582	50204	Pedrola
1996	109	50205	Pedrosas (Las)
1996	447	50206	Perdiguera
1996	200	50207	Piedratajada
1996	2187	50208	Pina de Ebro
1996	1472	50209	Pinseque
1996	88	50210	Pintanos (Los)
1996	361	50211	Plasencia de Jalón
1996	74	50212	Pleitas
1996	167	50213	Plenas
1996	22	50214	Pomer
1996	29	50215	Pozuel de Ariza
1996	367	50216	Pozuelo de Aragón
1996	652	50217	Pradilla de Ebro
1996	158	50218	Puebla de Albortón
1996	1578	50219	Puebla de Alfindén (La)
1996	61	50220	Puendeluna
1996	34	50221	Purujosa
1996	2152	50222	Quinto
1996	1253	50223	Remolinos
1996	76	50224	Retascón
1996	2043	50225	Ricla
1996	154	50227	Romanos
1996	358	50228	Rueda de Jalón
1996	93	50229	Ruesca
1996	1722	50230	Sádaba
1996	372	50231	Salillas de Jalón
1996	291	50232	Salvatierra de Esca
1996	149	50233	Samper del Salz
1996	314	50234	San Martín de la Virgen de Moncayo
1996	2031	50235	San Mateo de Gállego
1996	238	50236	Santa Cruz de Grío
1996	101	50237	Santa Cruz de Moncayo
1996	138	50238	Santa Eulalia de Gállego
1996	83	50239	Santed
1996	1510	50240	Sástago
1996	997	50241	Saviñán
1996	111	50242	Sediles
1996	485	50243	Sestrica
1996	275	50244	Sierra de Luna
1996	185	50245	Sigüés
1996	89	50246	Sisamón
1996	596	50247	Sobradiel
1996	850	50248	Sos del Rey Católico
1996	497	50249	Tabuenca
1996	67	50250	Talamantes
1996	10365	50251	Tarazona
1996	7017	50252	Tauste
1996	708	50253	Terrer
1996	265	50254	Tierga
1996	299	50255	Tobed
1996	112	50256	Torralba de los Frailes
1996	237	50257	Torralba de Ribota
1996	77	50258	Torralbilla
1996	119	50259	Torrehermosa
1996	48	50260	Torrelapaja
1996	336	50261	Torrellas
1996	1402	50262	Torres de Berrellén
1996	426	50263	Torrijo de la Cañada
1996	211	50264	Tosos
1996	67	50265	Trasmoz
1996	249	50266	Trasobares
1996	967	50267	Uncastillo
1996	59	50268	Undués de Lerda
1996	354	50269	Urrea de Jalón
1996	88	50270	Urriés
1996	404	50271	Used
1996	9075	50272	Utebo
1996	62	50273	Valdehorna
1996	74	50274	Val de San Martín
1996	63	50275	Valmadrid
1996	203	50276	Valpalmas
1996	102	50277	Valtorres
1996	290	50278	Velilla de Ebro
1996	130	50279	Velilla de Jiloca
1996	483	50280	Vera de Moncayo
1996	106	50281	Vierlas
1996	103	50282	Vilueña (La)
1996	87	50283	Villadoz
1996	241	50284	Villafeliche
1996	688	50285	Villafranca de Ebro
1996	126	50286	Villalba de Perejil
1996	453	50287	Villalengua
1996	2734	50288	Villanueva de Gállego
1996	127	50289	Villanueva de Jiloca
1996	617	50290	Villanueva de Huerva
1996	158	50291	Villar de los Navarros
1996	181	50292	Villarreal de Huerva
1996	725	50293	Villarroya de la Sierra
1996	83	50294	Villarroya del Campo
1996	34	50295	Vistabella
1996	619	50296	Zaida (La)
1996	601674	50297	Zaragoza
1996	5374	50298	Zuera
1996	204	50901	Biel
1998	290	22001	Abiego
1998	140	22002	Abizanda
1998	158	22003	Adahuesca
1998	157	22004	Agüero
1998	363	22006	Aísa
1998	1090	22007	Albalate de Cinca
1998	270	22008	Albalatillo
1998	962	22009	Albelda
1998	100	22011	Albero Alto
1998	119	22012	Albero Bajo
1998	388	22013	Alberuela de Tubo
1998	342	22014	Alcalá de Gurrea
1998	355	22015	Alcalá del Obispo
1998	950	22016	Alcampell
1998	1237	22017	Alcolea de Cinca
1998	467	22018	Alcubierre
1998	181	22019	Alerre
1998	128	22020	Alfántega
1998	2373	22021	Almudévar
1998	709	22022	Almunia de San Juan
1998	619	22023	Almuniente
1998	304	22024	Alquézar
1998	1448	22025	Altorricón
1998	429	22027	Angüés
1998	527	22028	Ansó
1998	161	22029	Antillón
1998	138	22032	Aragüés del Puerto
1998	398	22035	Arén
1998	127	22036	Argavieso
1998	57	22037	Arguis
1998	1116	22039	Ayerbe
1998	203	22040	Azanuy-Alins
1998	224	22041	Azara
1998	166	22042	Azlor
1998	157	22043	Baells
1998	321	22044	Bailo
1998	156	22045	Baldellou
1998	1084	22046	Ballobar
1998	177	22047	Banastás
1998	14462	22048	Barbastro
1998	119	22049	Barbués
1998	109	22050	Barbuñales
1998	120	22051	Bárcabo
1998	1397	22052	Belver de Cinca
1998	1166	22053	Benabarre
1998	1312	22054	Benasque
1998	476	22055	Berbegal
1998	461	22057	Bielsa
1998	224	22058	Bierge
1998	1243	22059	Biescas
1998	1597	22060	Binaced
1998	8115	22061	Binéfar
1998	220	22062	Bisaurri
1998	227	22063	Biscarrués
1998	178	22064	Blecua y Torres
1998	846	22066	Boltaña
1998	74	22067	Bonansa
1998	76	22068	Borau
1998	511	22069	Broto
1998	260	22072	Caldearenas
1998	360	22074	Campo
1998	254	22075	Camporrells
1998	433	22076	Canal de Berdún
1998	569	22077	Candasnos
1998	526	22078	Canfranc
1998	177	22079	Capdesaso
1998	402	22080	Capella
1998	308	22081	Casbas de Huesca
1998	400	22082	Castejón del Puente
1998	723	22083	Castejón de Monegros
1998	532	22084	Castejón de Sos
1998	152	22085	Castelflorite
1998	160	22086	Castiello de Jaca
1998	104	22087	Castigaleu
1998	233	22088	Castillazuelo
1998	423	22089	Castillonroy
1998	124	22090	Colungo
1998	166	22094	Chalamera
1998	115	22095	Chía
1998	177	22096	Chimillas
1998	797	22099	Esplús
1998	185	22102	Estada
1998	928	22103	Estadilla
1998	188	22105	Estopiñán del Castillo
1998	40	22106	Fago
1998	118	22107	Fanlo
1998	229	22109	Fiscal
1998	1123	22110	Fonz
1998	252	22111	Foradada del Toscar
1998	11804	22112	Fraga
1998	626	22113	Fueva (La)
1998	181	22114	Gistaín
1998	571	22115	Grado (El)
1998	2006	22116	Grañén
1998	3232	22117	Graus
1998	1871	22119	Gurrea de Gállego
1998	76	22122	Hoz de Jaca
1998	275	22124	Huerto
1998	45485	22125	Huesca
1998	105	22126	Ibieca
1998	185	22127	Igriés
1998	284	22128	Ilche
1998	257	22129	Isábena
1998	11197	22130	Jaca
1998	124	22131	Jasa
1998	165	22133	Labuerda
1998	265	22135	Laluenga
1998	1267	22136	Lalueza
1998	1605	22137	Lanaja
1998	102	22139	Laperdiguera
1998	164	22141	Lascellas-Ponzano
1998	170	22142	Lascuarre
1998	284	22143	Laspaúles
1998	268	22144	Laspuña
1998	396	22149	Loarre
1998	524	22150	Loporzano
1998	129	22151	Loscorrales
1998	106	22155	Monesma y Cajigar
1998	192	22156	Monflorite-Lascasas
1998	306	22157	Montanuy
1998	14539	22158	Monzón
1998	302	22160	Naval
1998	189	22162	Novales
1998	215	22163	Nueno
1998	55	22164	Olvena
1998	656	22165	Ontiñena
1998	750	22167	Osso de Cinca
1998	26	22168	Palo
1998	647	22170	Panticosa
1998	812	22172	Peñalba
1998	276	22173	Peñas de Riglos (Las)
1998	727	22174	Peralta de Alcofea
1998	292	22175	Peralta de Calasanz
1998	171	22176	Peraltilla
1998	135	22177	Perarrúa
1998	149	22178	Pertusa
1998	101	22181	Piracés
1998	306	22182	Plan
1998	252	22184	Poleñino
1998	254	22186	Pozán de Vero
1998	306	22187	Puebla de Castro (La)
1998	129	22188	Puente de Montañana
1998	213	22189	Puértolas
1998	163	22190	Pueyo de Araguás (El)
1998	359	22193	Pueyo de Santa Cruz
1998	135	22195	Quicena
1998	690	22197	Robres
1998	8637	22199	Sabiñánigo
1998	311	22200	Sahún
1998	389	22201	Salas Altas
1998	173	22202	Salas Bajas
1998	128	22203	Salillas
1998	1016	22204	Sallent de Gállego
1998	634	22205	San Esteban de Litera
1998	283	22206	Sangarrén
1998	162	22207	San Juan de Plan
1998	204	22208	Santa Cilia
1998	155	22209	Santa Cruz de la Serós
1998	97	22212	Santaliestra y San Quílez
1998	4026	22213	Sariñena
1998	163	22214	Secastilla
1998	210	22215	Seira
1998	596	22217	Sena
1998	60	22218	Senés de Alcubierre
1998	268	22220	Sesa
1998	123	22221	Sesué
1998	373	22222	Siétamo
1998	105	22223	Sopeira
1998	3838	22225	Tamarite de Litera
1998	1063	22226	Tardienta
1998	267	22227	Tella-Sin
1998	180	22228	Tierz
1998	209	22229	Tolva
1998	330	22230	Torla-Ordesa
1998	133	22232	Torralba de Aragón
1998	120	22233	Torre la Ribera
1998	1121	22234	Torrente de Cinca
1998	139	22235	Torres de Alcanadre
