Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	24
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	7
13	Campo de Borja	Sin calefacción	Sin ningún medio	 No aplicable	269
14	Aranda	Con calefacción	Con calefacción colectiva	Gas	35
14	Aranda	Con calefacción	Con calefacción colectiva	Electricidad	8
14	Aranda	Con calefacción	Con calefacción colectiva	Derivados del petróleo	286
14	Aranda	Con calefacción	Con calefacción colectiva	Madera	7
14	Aranda	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
14	Aranda	Con calefacción	Con calefacción colectiva	Otros	1
14	Aranda	Con calefacción	Con calefacción individual	Gas	222
14	Aranda	Con calefacción	Con calefacción individual	Electricidad	469
14	Aranda	Con calefacción	Con calefacción individual	Derivados del petróleo	807
14	Aranda	Con calefacción	Con calefacción individual	Madera	79
14	Aranda	Con calefacción	Con calefacción individual	Derivados del carbón	2
14	Aranda	Con calefacción	Con calefacción individual	Otros	7
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	152
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	249
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	44
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	260
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	7
14	Aranda	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	2
14	Aranda	Sin calefacción	Sin ningún medio	 No aplicable	258
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Gas	26
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Electricidad	9
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Derivados del petróleo	410
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Madera	13
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Derivados del carbón	3
15	Ribera Alta del Ebro	Con calefacción	Con calefacción colectiva	Otros	2
