Comarca código	Comarca nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
03	Sobrarbe	Con calefacción	Con calefacción individual	Derivados del carbón	4
03	Sobrarbe	Con calefacción	Con calefacción individual	Otros	1
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	58
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	222
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	12
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	264
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	2
03	Sobrarbe	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	3
03	Sobrarbe	Sin calefacción	Sin ningún medio	 No aplicable	325
04	La Ribagorza	Con calefacción	Con calefacción colectiva	Gas	70
04	La Ribagorza	Con calefacción	Con calefacción colectiva	Electricidad	4
04	La Ribagorza	Con calefacción	Con calefacción colectiva	Derivados del petróleo	224
04	La Ribagorza	Con calefacción	Con calefacción colectiva	Madera	11
04	La Ribagorza	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
04	La Ribagorza	Con calefacción	Con calefacción individual	Gas	543
04	La Ribagorza	Con calefacción	Con calefacción individual	Electricidad	253
04	La Ribagorza	Con calefacción	Con calefacción individual	Derivados del petróleo	1577
04	La Ribagorza	Con calefacción	Con calefacción individual	Madera	196
04	La Ribagorza	Con calefacción	Con calefacción individual	Derivados del carbón	3
04	La Ribagorza	Con calefacción	Con calefacción individual	Otros	7
04	La Ribagorza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	230
04	La Ribagorza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	513
04	La Ribagorza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	63
04	La Ribagorza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	491
04	La Ribagorza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	6
04	La Ribagorza	Sin calefacción	Sin ningún medio	 No aplicable	266
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Gas	54
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Electricidad	23
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1330
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Madera	15
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Derivados del carbón	7
05	Cinco Villas	Con calefacción	Con calefacción colectiva	Otros	3
05	Cinco Villas	Con calefacción	Con calefacción individual	Gas	1230
05	Cinco Villas	Con calefacción	Con calefacción individual	Electricidad	1200
05	Cinco Villas	Con calefacción	Con calefacción individual	Derivados del petróleo	4242
05	Cinco Villas	Con calefacción	Con calefacción individual	Madera	188
05	Cinco Villas	Con calefacción	Con calefacción individual	Derivados del carbón	11
05	Cinco Villas	Con calefacción	Con calefacción individual	Otros	16
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	613
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1007
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	288
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	772
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	23
05	Cinco Villas	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	14
05	Cinco Villas	Sin calefacción	Sin ningún medio	 No aplicable	552
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Gas	829
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Electricidad	225
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	4843
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Madera	16
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción colectiva	Otros	26
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Gas	8899
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Electricidad	497
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Derivados del petróleo	2603
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Madera	339
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Derivados del carbón	47
06	Hoya de Huesca / Plana de Uesca	Con calefacción	Con calefacción individual	Otros	19
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	709
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	1115
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	203
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	692
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	8
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	8
06	Hoya de Huesca / Plana de Uesca	Sin calefacción	Sin ningún medio	 No aplicable	622
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Gas	100
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Electricidad	8
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Derivados del petróleo	598
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Madera	6
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
07	Somontano de Barbastro	Con calefacción	Con calefacción colectiva	Otros	4
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Gas	3118
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Electricidad	317
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Derivados del petróleo	1968
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Madera	138
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Derivados del carbón	6
07	Somontano de Barbastro	Con calefacción	Con calefacción individual	Otros	8
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	413
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	504
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	120
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	390
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	8
07	Somontano de Barbastro	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	10
07	Somontano de Barbastro	Sin calefacción	Sin ningún medio	 No aplicable	505
08	Cinca Medio	Con calefacción	Con calefacción colectiva	Gas	36
08	Cinca Medio	Con calefacción	Con calefacción colectiva	Electricidad	6
08	Cinca Medio	Con calefacción	Con calefacción colectiva	Derivados del petróleo	489
08	Cinca Medio	Con calefacción	Con calefacción colectiva	Madera	4
08	Cinca Medio	Con calefacción	Con calefacción colectiva	Otros	8
08	Cinca Medio	Con calefacción	Con calefacción individual	Gas	2607
08	Cinca Medio	Con calefacción	Con calefacción individual	Electricidad	323
08	Cinca Medio	Con calefacción	Con calefacción individual	Derivados del petróleo	2254
08	Cinca Medio	Con calefacción	Con calefacción individual	Madera	179
08	Cinca Medio	Con calefacción	Con calefacción individual	Derivados del carbón	7
08	Cinca Medio	Con calefacción	Con calefacción individual	Otros	6
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	378
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	525
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	226
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	238
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	2
08	Cinca Medio	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	8
08	Cinca Medio	Sin calefacción	Sin ningún medio	 No aplicable	465
09	La Litera / La Llitera	Con calefacción	Con calefacción colectiva	Gas	71
09	La Litera / La Llitera	Con calefacción	Con calefacción colectiva	Electricidad	2
09	La Litera / La Llitera	Con calefacción	Con calefacción colectiva	Derivados del petróleo	524
09	La Litera / La Llitera	Con calefacción	Con calefacción colectiva	Madera	20
09	La Litera / La Llitera	Con calefacción	Con calefacción colectiva	Otros	2
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Gas	938
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Electricidad	404
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Derivados del petróleo	2576
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Madera	175
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Derivados del carbón	2
09	La Litera / La Llitera	Con calefacción	Con calefacción individual	Otros	9
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	380
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	506
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	145
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	444
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	1
09	La Litera / La Llitera	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	11
09	La Litera / La Llitera	Sin calefacción	Sin ningún medio	 No aplicable	391
10	Los Monegros	Con calefacción	Con calefacción colectiva	Gas	20
10	Los Monegros	Con calefacción	Con calefacción colectiva	Electricidad	2
10	Los Monegros	Con calefacción	Con calefacción colectiva	Derivados del petróleo	338
10	Los Monegros	Con calefacción	Con calefacción colectiva	Madera	5
10	Los Monegros	Con calefacción	Con calefacción colectiva	Otros	6
10	Los Monegros	Con calefacción	Con calefacción individual	Gas	457
10	Los Monegros	Con calefacción	Con calefacción individual	Electricidad	249
10	Los Monegros	Con calefacción	Con calefacción individual	Derivados del petróleo	3726
10	Los Monegros	Con calefacción	Con calefacción individual	Madera	149
10	Los Monegros	Con calefacción	Con calefacción individual	Derivados del carbón	26
10	Los Monegros	Con calefacción	Con calefacción individual	Otros	84
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	311
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	423
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	203
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	924
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	5
10	Los Monegros	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	23
10	Los Monegros	Sin calefacción	Sin ningún medio	 No aplicable	484
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción colectiva	Gas	35
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción colectiva	Electricidad	19
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	443
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción colectiva	Madera	33
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Gas	669
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Electricidad	883
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Derivados del petróleo	2443
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Madera	356
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Derivados del carbón	2
11	Bajo Cinca / Baix Cinca	Con calefacción	Con calefacción individual	Otros	21
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	421
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	784
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	236
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	782
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	1
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	10
11	Bajo Cinca / Baix Cinca	Sin calefacción	Sin ningún medio	 No aplicable	289
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Gas	231
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Electricidad	8
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Derivados del petróleo	1084
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Madera	6
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Derivados del carbón	1
12	Tarazona y el Moncayo	Con calefacción	Con calefacción colectiva	Otros	1
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Gas	169
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Electricidad	312
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Derivados del petróleo	1964
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Madera	68
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Derivados del carbón	4
12	Tarazona y el Moncayo	Con calefacción	Con calefacción individual	Otros	7
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	459
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	411
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	94
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	344
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	8
12	Tarazona y el Moncayo	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	4
12	Tarazona y el Moncayo	Sin calefacción	Sin ningún medio	 No aplicable	92
13	Campo de Borja	Con calefacción	Con calefacción colectiva	Gas	31
13	Campo de Borja	Con calefacción	Con calefacción colectiva	Electricidad	9
13	Campo de Borja	Con calefacción	Con calefacción colectiva	Derivados del petróleo	150
13	Campo de Borja	Con calefacción	Con calefacción colectiva	Madera	4
13	Campo de Borja	Con calefacción	Con calefacción colectiva	Otros	1
13	Campo de Borja	Con calefacción	Con calefacción individual	Gas	408
13	Campo de Borja	Con calefacción	Con calefacción individual	Electricidad	384
13	Campo de Borja	Con calefacción	Con calefacción individual	Derivados del petróleo	2484
13	Campo de Borja	Con calefacción	Con calefacción individual	Madera	115
13	Campo de Borja	Con calefacción	Con calefacción individual	Derivados del carbón	4
13	Campo de Borja	Con calefacción	Con calefacción individual	Otros	7
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	407
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	552
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	156
13	Campo de Borja	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	353
