Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2012	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	2337662,19	1000	434159,19	836280	305351	181800	579072
2012	28	Bajo Aragón	Presupuestos	Consolidada	3022421,44	107268,34	442697,05	1387390,36	322913,85	49696,59	712455,25
2012	29	Comunidad de Teruel	Presupuestos	Consolidada	3365247,85	128863,62	179500	1504670	602100	404366,56	545747,67
2012	30	Maestrazgo	Presupuestos	Sin información							
2012	31	Sierra de Albarracín	Presupuestos	Consolidada	1905800	600	138600	117800	206100	11500	1431200
2012	32	Gúdar-Javalambre	Presupuestos	Consolidada	2806915	0	622760	658025	421950	463200	640980
2012	33	Matarraña / Matarranya	Presupuestos	Consolidada	3198890	57000	453175	1431100	425380	97300	734935
2013	01	La Jacetania	Presupuestos	Consolidada	4830767,64	0	900100	1008167,43	761315,71	1258160	903024,5
2013	02	Alto Gállego	Presupuestos	Consolidada	4279012,57	108423	1301851,66	1229954,3	849747,12	56064,2	732972,29
2013	03	Sobrarbe	Presupuestos	Consolidada	5247737,88	0	417523,56	75861,42	930824,17	508778,73	3314750
2013	04	La Ribagorza	Presupuestos	Consolidada	5355000	93886,02	1950300	1285400	1209126,33	139650	676637,65
2013	05	Cinco Villas	Presupuestos	Consolidada	3374233,12	0	1267380,6	980160	329079,82	332762,7	464850
2013	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Consolidada	7163847,79	24000	1039815,71	2184195,18	1607879,28	1194630,97	1113326,65
2013	07	Somontano de Barbastro	Presupuestos	Consolidada	4203662,59	8000	1815132,31	731555,57	498227,87	315445,94	835300,9
2013	08	Cinca Medio	Presupuestos	Consolidada	3161831,52	53500	1050434,68	984309,86	317540	136217,41	619829,57
2013	09	La Litera / La Llitera	Presupuestos	Consolidada	4760859,48	366712	921395,26	2620855,09	139293,36	74183,69	638420,08
2013	10	Los Monegros	Presupuestos	Consolidada	5794180,08	47336,31	2147700,22	1359148,82	1431050,84	237200,94	571742,95
2013	11	Bajo Cinca / Baix Cinca	Presupuestos	Consolidada	4642196,28	0	1388867,73	1053212,83	533551,32	252839,01	1413725,39
2013	12	Tarazona y el Moncayo	Presupuestos	Consolidada	3195392,98	0	661864	1022234,52	330960	654836	525498,46
2013	13	Campo de Borja	Presupuestos	Consolidada	2916117	37012,42	674952,33	1154483,51	273251,36	81425,67	694991,71
