Municipio código	Municipio nombre	Plantas sobre rasante	Número de edificios
22054	Benasque	03	274
22054	Benasque	04	86
22054	Benasque	05	14
22054	Benasque	06	2
22055	Berbegal	01	199
22055	Berbegal	02	72
22055	Berbegal	03	1
22057	Bielsa	01	58
22057	Bielsa	02	74
22057	Bielsa	03	120
22057	Bielsa	04	13
22057	Bielsa	05	3
22058	Bierge	01	20
22058	Bierge	02	7
22058	Bierge	03	166
22059	Biescas	01	136
22059	Biescas	02	317
22059	Biescas	03	286
22059	Biescas	04	66
22059	Biescas	05	32
22059	Biescas	06	7
22059	Biescas	10 o más	1
22060	Binaced	01	407
22060	Binaced	02	186
22060	Binaced	03	14
22061	Binéfar	01	1138
22061	Binéfar	02	469
22061	Binéfar	03	131
22061	Binéfar	04	42
22061	Binéfar	05	24
22061	Binéfar	06	16
22061	Binéfar	07	4
22061	Binéfar	08	9
22061	Binéfar	10 o más	2
22062	Bisaurri	01	5
22062	Bisaurri	02	39
22062	Bisaurri	03	82
22063	Biscarrués	01	49
22063	Biscarrués	02	72
22063	Biscarrués	03	19
22064	Blecua y Torres	01	97
22064	Blecua y Torres	02	38
22066	Boltaña	01	91
22066	Boltaña	02	60
22066	Boltaña	03	140
22066	Boltaña	04	31
22066	Boltaña	05	11
22067	Bonansa	01	2
22067	Bonansa	02	21
22067	Bonansa	03	30
22068	Borau	01	15
22068	Borau	02	27
22068	Borau	03	41
22069	Broto	01	95
22069	Broto	02	180
22069	Broto	03	30
22069	Broto	04	2
22069	Broto	06	2
22072	Caldearenas	01	117
22072	Caldearenas	02	69
22072	Caldearenas	03	2
22074	Campo	01	30
22074	Campo	02	70
22074	Campo	03	109
22074	Campo	04	8
22075	Camporrells	01	134
22075	Camporrells	02	62
22075	Camporrells	03	5
22076	Canal de Berdún	01	176
22076	Canal de Berdún	02	97
22076	Canal de Berdún	03	7
22077	Candasnos	01	18
22077	Candasnos	02	222
22077	Candasnos	03	31
22078	Canfranc	01	57
22078	Canfranc	02	31
22078	Canfranc	03	44
22078	Canfranc	04	17
22078	Canfranc	05	14
22078	Canfranc	06	8
22078	Canfranc	07	2
22079	Capdesaso	01	26
22079	Capdesaso	02	75
22080	Capella	01	46
22080	Capella	02	44
22080	Capella	03	131
22080	Capella	04	1
22081	Casbas de Huesca	01	16
22081	Casbas de Huesca	02	241
22081	Casbas de Huesca	03	97
22082	Castejón del Puente	01	150
22082	Castejón del Puente	02	68
22082	Castejón del Puente	03	5
22083	Castejón de Monegros	01	58
22083	Castejón de Monegros	02	240
22083	Castejón de Monegros	03	45
22084	Castejón de Sos	01	38
22084	Castejón de Sos	02	40
22084	Castejón de Sos	03	142
22084	Castejón de Sos	04	14
22084	Castejón de Sos	05	1
22084	Castejón de Sos	06	2
22085	Castelflorite	01	16
22085	Castelflorite	02	40
22085	Castelflorite	03	5
22086	Castiello de Jaca	01	7
22086	Castiello de Jaca	02	108
22086	Castiello de Jaca	03	8
22086	Castiello de Jaca	04	9
22087	Castigaleu	01	7
22087	Castigaleu	02	29
22087	Castigaleu	03	11
22088	Castillazuelo	01	2
22088	Castillazuelo	02	58
22088	Castillazuelo	03	74
22089	Castillonroy	01	45
22089	Castillonroy	02	90
22089	Castillonroy	03	120
22089	Castillonroy	04	1
22090	Colungo	01	8
22090	Colungo	02	5
22090	Colungo	03	82
22094	Chalamera	01	87
22094	Chalamera	02	5
22095	Chía	01	7
22095	Chía	02	14
22095	Chía	03	35
22096	Chimillas	01	32
22096	Chimillas	02	38
22096	Chimillas	03	7
22099	Esplús	01	223
22099	Esplús	02	34
22099	Esplús	03	7
22102	Estada	01	32
22102	Estada	02	62
22102	Estada	03	6
22103	Estadilla	01	90
22103	Estadilla	02	224
22103	Estadilla	03	57
22103	Estadilla	04	2
22105	Estopiñán del Castillo	01	51
22105	Estopiñán del Castillo	02	58
22105	Estopiñán del Castillo	03	69
22106	Fago	01	1
22106	Fago	02	63
22106	Fago	03	13
22107	Fanlo	01	22
22107	Fanlo	02	94
22107	Fanlo	03	9
22109	Fiscal	01	70
22109	Fiscal	02	130
22109	Fiscal	03	13
22110	Fonz	01	413
22110	Fonz	02	156
22110	Fonz	03	24
22110	Fonz	04	1
22111	Foradada del Toscar	01	28
22111	Foradada del Toscar	02	49
22111	Foradada del Toscar	03	62
22112	Fraga	01	594
22112	Fraga	02	1099
22112	Fraga	03	249
22112	Fraga	04	126
22112	Fraga	05	73
22112	Fraga	06	29
22112	Fraga	07	25
22112	Fraga	08	16
22112	Fraga	09	1
22112	Fraga	10 o más	9
22113	Fueva (La)	01	123
22113	Fueva (La)	02	139
22113	Fueva (La)	03	17
22114	Gistaín	01	5
22114	Gistaín	02	38
22114	Gistaín	03	19
22115	Grado (El)	01	73
22115	Grado (El)	02	185
22115	Grado (El)	03	149
22116	Grañén	01	286
22116	Grañén	02	340
22116	Grañén	03	66
22116	Grañén	04	11
22117	Graus	01	240
22117	Graus	02	674
22117	Graus	03	337
22117	Graus	04	62
22117	Graus	05	22
22117	Graus	06	8
22117	Graus	07	1
22117	Graus	08	1
22119	Gurrea de Gállego	01	193
22119	Gurrea de Gállego	02	537
22119	Gurrea de Gállego	03	67
22119	Gurrea de Gállego	04	1
22122	Hoz de Jaca	01	18
22122	Hoz de Jaca	02	21
22122	Hoz de Jaca	03	32
22124	Huerto	01	31
22124	Huerto	02	166
22124	Huerto	03	2
22125	Huesca	01	393
22125	Huesca	02	756
22125	Huesca	03	322
22125	Huesca	04	427
22125	Huesca	05	347
22125	Huesca	06	211
22125	Huesca	07	128
22125	Huesca	08	106
22125	Huesca	09	20
22125	Huesca	10 o más	128
22126	Ibieca	01	45
22126	Ibieca	02	34
22127	Igriés	01	60
22127	Igriés	02	35
22127	Igriés	03	16
22128	Ilche	01	68
22128	Ilche	02	67
22128	Ilche	03	6
22129	Isábena	01	20
22129	Isábena	02	79
22129	Isábena	03	45
22129	Isábena	04	1
22130	Jaca	01	197
22130	Jaca	02	911
22130	Jaca	03	359
22130	Jaca	04	209
22130	Jaca	05	184
22130	Jaca	06	108
22130	Jaca	07	53
22130	Jaca	08	22
22130	Jaca	09	1
22130	Jaca	10 o más	8
22131	Jasa	01	13
22131	Jasa	02	58
22131	Jasa	03	60
22131	Jasa	04	1
22133	Labuerda	01	33
22133	Labuerda	02	18
22133	Labuerda	03	39
22133	Labuerda	04	1
22135	Laluenga	01	92
22135	Laluenga	02	66
22135	Laluenga	03	1
22136	Lalueza	01	244
22136	Lalueza	02	279
22136	Lalueza	03	22
22137	Lanaja	01	207
22137	Lanaja	02	473
22137	Lanaja	03	107
22139	Laperdiguera	01	54
22139	Laperdiguera	02	21
22141	Lascellas-Ponzano	01	105
22141	Lascellas-Ponzano	02	40
22141	Lascellas-Ponzano	03	1
22142	Lascuarre	01	17
22142	Lascuarre	02	23
22142	Lascuarre	03	76
22143	Laspaúles	01	16
22143	Laspaúles	02	63
22143	Laspaúles	03	95
22143	Laspaúles	04	3
22144	Laspuña	01	26
22144	Laspuña	02	38
22144	Laspuña	03	45
22144	Laspuña	04	3
22149	Loarre	01	175
22149	Loarre	02	101
22149	Loarre	03	2
22150	Loporzano	01	29
22150	Loporzano	02	112
22150	Loporzano	03	87
22151	Loscorrales	01	45
22151	Loscorrales	02	22
22151	Loscorrales	03	2
22155	Monesma y Cajigar	01	1
22155	Monesma y Cajigar	02	21
22155	Monesma y Cajigar	03	40
22156	Monflorite-Lascasas	01	11
22156	Monflorite-Lascasas	02	50
22156	Monflorite-Lascasas	03	25
22157	Montanuy	01	19
22157	Montanuy	02	60
22157	Montanuy	03	108
22158	Monzón	01	939
22158	Monzón	02	1407
22158	Monzón	03	302
22158	Monzón	04	177
22158	Monzón	05	129
22158	Monzón	06	37
22158	Monzón	07	20
22158	Monzón	08	7
22158	Monzón	09	3
22158	Monzón	10 o más	14
22160	Naval	01	9
22160	Naval	02	36
22160	Naval	03	110
22160	Naval	04	1
22162	Novales	01	2
22162	Novales	02	63
22162	Novales	03	10
22163	Nueno	01	77
22163	Nueno	02	133
22163	Nueno	03	8
22164	Olvena	01	7
22164	Olvena	02	33
22165	Ontiñena	01	372
22165	Ontiñena	02	35
22165	Ontiñena	03	1
22167	Osso de Cinca	01	205
22167	Osso de Cinca	02	60
22167	Osso de Cinca	03	4
22168	Palo	01	12
22168	Palo	02	25
22168	Palo	03	3
22170	Panticosa	01	75
22170	Panticosa	02	54
22170	Panticosa	03	124
22170	Panticosa	04	40
22170	Panticosa	05	6
22170	Panticosa	06	1
22170	Panticosa	07	3
22172	Peñalba	01	92
22172	Peñalba	02	160
22172	Peñalba	03	5
22173	Peñas de Riglos (Las)	01	270
22173	Peñas de Riglos (Las)	02	131
22173	Peñas de Riglos (Las)	03	16
22174	Peralta de Alcofea	01	13
22174	Peralta de Alcofea	02	382
22174	Peralta de Alcofea	03	18
22175	Peralta de Calasanz	01	79
22175	Peralta de Calasanz	02	195
22175	Peralta de Calasanz	03	70
22176	Peraltilla	01	53
22176	Peraltilla	02	36
22176	Peraltilla	03	4
22177	Perarrúa	01	9
22177	Perarrúa	02	84
22177	Perarrúa	03	4
22178	Pertusa	01	49
22178	Pertusa	02	47
22178	Pertusa	03	5
22181	Piracés	01	4
22181	Piracés	02	33
22181	Piracés	03	9
22182	Plan	01	37
22182	Plan	02	65
22182	Plan	03	33
22184	Poleñino	01	23
22184	Poleñino	02	83
22184	Poleñino	03	14
22186	Pozán de Vero	01	4
22186	Pozán de Vero	02	75
22186	Pozán de Vero	03	61
22187	Puebla de Castro (La)	01	155
22187	Puebla de Castro (La)	02	138
22187	Puebla de Castro (La)	03	2
22188	Puente de Montañana	01	9
22188	Puente de Montañana	02	55
22188	Puente de Montañana	03	27
22189	Puértolas	01	24
22189	Puértolas	02	61
22189	Puértolas	03	16
22190	Pueyo de Araguás (El)	01	12
22190	Pueyo de Araguás (El)	02	10
22190	Pueyo de Araguás (El)	03	37
22193	Pueyo de Santa Cruz	01	95
22193	Pueyo de Santa Cruz	02	54
22193	Pueyo de Santa Cruz	03	1
22195	Quicena	01	11
22195	Quicena	02	39
22195	Quicena	03	9
22197	Robres	01	20
22197	Robres	02	218
22197	Robres	03	25
22197	Robres	04	2
22199	Sabiñánigo	01	207
22199	Sabiñánigo	02	609
22199	Sabiñánigo	03	317
22199	Sabiñánigo	04	110
22199	Sabiñánigo	05	80
22199	Sabiñánigo	06	51
22199	Sabiñánigo	07	25
22199	Sabiñánigo	08	19
22199	Sabiñánigo	10 o más	4
22200	Sahún	01	28
22200	Sahún	02	104
22200	Sahún	03	49
22200	Sahún	04	6
22201	Salas Altas	01	19
22201	Salas Altas	02	35
22201	Salas Altas	03	95
22202	Salas Bajas	01	10
22202	Salas Bajas	02	16
22202	Salas Bajas	03	79
22203	Salillas	01	6
22203	Salillas	02	54
22203	Salillas	03	19
22204	Sallent de Gállego	01	83
22204	Sallent de Gállego	02	199
22204	Sallent de Gállego	03	168
22204	Sallent de Gállego	04	64
22204	Sallent de Gállego	05	31
22204	Sallent de Gállego	06	6
22204	Sallent de Gállego	07	4
22205	San Esteban de Litera	01	117
22205	San Esteban de Litera	02	255
22205	San Esteban de Litera	03	84
22206	Sangarrén	01	22
22206	Sangarrén	02	97
22206	Sangarrén	03	10
22207	San Juan de Plan	01	5
22207	San Juan de Plan	02	29
22207	San Juan de Plan	03	15
22208	Santa Cilia	01	36
22208	Santa Cilia	02	69
22209	Santa Cruz de la Serós	01	27
22209	Santa Cruz de la Serós	02	44
22209	Santa Cruz de la Serós	03	4
22212	Santaliestra y San Quílez	01	12
22212	Santaliestra y San Quílez	02	51
22212	Santaliestra y San Quílez	03	13
22212	Santaliestra y San Quílez	04	1
22213	Sariñena	01	797
22213	Sariñena	02	623
22213	Sariñena	03	116
22213	Sariñena	04	19
22213	Sariñena	05	13
22213	Sariñena	06	2
22213	Sariñena	08	1
22213	Sariñena	10 o más	1
22214	Secastilla	01	19
22214	Secastilla	02	55
22214	Secastilla	03	1
22215	Seira	01	28
22215	Seira	02	36
22215	Seira	03	33
22215	Seira	05	2
22217	Sena	01	80
22217	Sena	02	240
22217	Sena	03	19
22218	Senés de Alcubierre	01	2
22218	Senés de Alcubierre	02	35
22220	Sesa	01	15
22220	Sesa	02	97
22220	Sesa	03	33
22221	Sesué	01	15
22221	Sesué	02	31
22221	Sesué	03	42
22222	Siétamo	01	37
22222	Siétamo	02	171
22222	Siétamo	03	28
22223	Sopeira	01	1
22223	Sopeira	02	45
22223	Sopeira	03	16
22225	Tamarite de Litera	01	418
22225	Tamarite de Litera	02	565
22225	Tamarite de Litera	03	186
22225	Tamarite de Litera	04	47
22225	Tamarite de Litera	05	13
22225	Tamarite de Litera	06	12
22225	Tamarite de Litera	07	1
22225	Tamarite de Litera	09	1
22226	Tardienta	01	86
22226	Tardienta	02	239
22226	Tardienta	03	77
22226	Tardienta	04	6
22226	Tardienta	05	1
22227	Tella-Sin	01	17
22227	Tella-Sin	02	26
22227	Tella-Sin	03	51
22227	Tella-Sin	04	1
22227	Tella-Sin	05	2
22228	Tierz	01	4
22228	Tierz	02	37
22228	Tierz	03	32
22229	Tolva	01	36
22229	Tolva	02	27
22229	Tolva	03	102
22230	Torla	01	18
22230	Torla	02	95
22230	Torla	03	42
22230	Torla	04	2
22230	Torla	05	1
22232	Torralba de Aragón	01	8
22232	Torralba de Aragón	02	60
22232	Torralba de Aragón	03	5
22233	Torre la Ribera	01	11
22233	Torre la Ribera	02	40
22233	Torre la Ribera	03	1
22234	Torrente de Cinca	01	87
22234	Torrente de Cinca	02	304
22234	Torrente de Cinca	03	34
22234	Torrente de Cinca	04	2
22235	Torres de Alcanadre	01	16
22235	Torres de Alcanadre	02	63
22235	Torres de Alcanadre	03	12
22236	Torres de Barbués	01	59
22236	Torres de Barbués	02	92
22236	Torres de Barbués	03	1
22239	Tramaced	01	15
22239	Tramaced	02	24
22239	Tramaced	03	8
22242	Valfarta	01	3
22242	Valfarta	02	56
22243	Valle de Bardají	01	2
22243	Valle de Bardají	02	11
22243	Valle de Bardají	03	7
22244	Valle de Lierp	01	5
22244	Valle de Lierp	02	25
22244	Valle de Lierp	03	10
22245	Velilla de Cinca	01	144
22245	Velilla de Cinca	02	68
22245	Velilla de Cinca	03	25
22246	Veracruz	01	19
22246	Veracruz	02	50
22246	Veracruz	03	7
22247	Viacamp y Litera	01	2
22247	Viacamp y Litera	02	18
22247	Viacamp y Litera	03	4
22248	Vicién	01	16
22248	Vicién	02	39
22248	Vicién	03	1
22249	Villanova	01	18
22249	Villanova	02	11
22249	Villanova	03	75
22249	Villanova	04	3
22250	Villanúa	01	36
22250	Villanúa	02	281
22250	Villanúa	03	52
22250	Villanúa	04	27
22250	Villanúa	05	3
22251	Villanueva de Sigena	01	73
22251	Villanueva de Sigena	02	163
22251	Villanueva de Sigena	03	6
22252	Yebra de Basa	01	12
22252	Yebra de Basa	02	35
22252	Yebra de Basa	03	18
22253	Yésero	01	28
22253	Yésero	02	29
22253	Yésero	03	2
22254	Zaidín	01	331
22254	Zaidín	02	232
22254	Zaidín	03	29
22254	Zaidín	04	2
22901	Valle de Hecho	01	85
22901	Valle de Hecho	02	320
22901	Valle de Hecho	03	121
22901	Valle de Hecho	04	11
22901	Valle de Hecho	05	1
22902	Puente la Reina de Jaca	01	31
22902	Puente la Reina de Jaca	02	89
22902	Puente la Reina de Jaca	03	12
22902	Puente la Reina de Jaca	04	1
22903	San Miguel del Cinca	01	230
22903	San Miguel del Cinca	02	178
22903	San Miguel del Cinca	03	8
22904	Sotonera (La)	01	301
22904	Sotonera (La)	02	307
22904	Sotonera (La)	03	84
22905	Lupiñén-Ortilla	01	86
22905	Lupiñén-Ortilla	02	101
22905	Lupiñén-Ortilla	03	17
22906	Santa María de Dulcis	01	62
22906	Santa María de Dulcis	02	34
22906	Santa María de Dulcis	03	7
22907	Aínsa-Sobrarbe	01	91
22907	Aínsa-Sobrarbe	02	375
22907	Aínsa-Sobrarbe	03	99
22907	Aínsa-Sobrarbe	04	31
22907	Aínsa-Sobrarbe	05	10
22907	Aínsa-Sobrarbe	06	1
22908	Hoz y Costeán	01	29
22908	Hoz y Costeán	02	49
22908	Hoz y Costeán	03	73
22909	Vencillón	01	71
22909	Vencillón	02	95
22909	Vencillón	03	1
44001	Ababuj	01	13
44001	Ababuj	02	31
44001	Ababuj	03	40
44002	Abejuela	01	11
44002	Abejuela	02	122
44002	Abejuela	03	6
44003	Aguatón	01	4
44003	Aguatón	02	29
44004	Aguaviva	01	222
44004	Aguaviva	02	248
44004	Aguaviva	03	34
44004	Aguaviva	04	6
44005	Aguilar del Alfambra	02	20
44005	Aguilar del Alfambra	03	66
44006	Alacón	01	38
44006	Alacón	02	170
44006	Alacón	03	143
44007	Alba	01	23
44007	Alba	02	196
44007	Alba	03	5
44008	Albalate del Arzobispo	01	335
44008	Albalate del Arzobispo	02	271
44008	Albalate del Arzobispo	03	489
44008	Albalate del Arzobispo	04	45
44008	Albalate del Arzobispo	05	7
44009	Albarracín	01	83
44009	Albarracín	02	261
44009	Albarracín	03	138
44009	Albarracín	04	8
44010	Albentosa	01	21
44010	Albentosa	02	127
44010	Albentosa	03	104
44010	Albentosa	04	2
44011	Alcaine	01	36
44011	Alcaine	02	45
44011	Alcaine	03	132
44012	Alcalá de la Selva	01	587
44012	Alcalá de la Selva	02	147
44012	Alcalá de la Selva	03	133
44012	Alcalá de la Selva	04	5
44012	Alcalá de la Selva	05	2
44013	Alcañiz	01	556
44013	Alcañiz	02	973
44013	Alcañiz	03	547
44013	Alcañiz	04	195
44013	Alcañiz	05	104
44013	Alcañiz	06	32
44013	Alcañiz	07	24
44013	Alcañiz	08	12
44013	Alcañiz	09	4
44013	Alcañiz	10 o más	1
44014	Alcorisa	01	133
44014	Alcorisa	02	510
44014	Alcorisa	03	428
44014	Alcorisa	04	79
44014	Alcorisa	05	10
44016	Alfambra	01	32
44016	Alfambra	02	309
44016	Alfambra	03	67
44016	Alfambra	04	2
44017	Aliaga	01	267
44017	Aliaga	02	39
44017	Aliaga	03	157
44017	Aliaga	04	11
44018	Almohaja	01	1
44018	Almohaja	02	49
44019	Alobras	01	17
44019	Alobras	02	78
44019	Alobras	03	11
44020	Alpeñés	01	8
44020	Alpeñés	02	24
44020	Alpeñés	03	5
44021	Allepuz	01	22
44021	Allepuz	02	42
44021	Allepuz	03	112
44022	Alloza	01	58
44022	Alloza	02	144
44022	Alloza	03	345
44022	Alloza	04	5
44023	Allueva	01	24
44023	Allueva	02	9
44023	Allueva	03	25
44024	Anadón	02	41
44024	Anadón	03	15
44025	Andorra	01	417
44025	Andorra	02	1038
44025	Andorra	03	474
44025	Andorra	04	113
44025	Andorra	05	6
44025	Andorra	06	1
44026	Arcos de las Salinas	01	15
44026	Arcos de las Salinas	02	123
44026	Arcos de las Salinas	03	83
44027	Arens de Lledó	01	60
44027	Arens de Lledó	02	79
44028	Argente	01	31
44028	Argente	02	130
44029	Ariño	01	61
44029	Ariño	02	161
44029	Ariño	03	318
44029	Ariño	04	3
44031	Azaila	01	11
44031	Azaila	02	102
44031	Azaila	03	50
44032	Bádenas	01	3
44032	Bádenas	02	37
44033	Báguena	01	13
44033	Báguena	02	227
44033	Báguena	03	159
44034	Bañón	01	12
44034	Bañón	02	148
44034	Bañón	03	1
44035	Barrachina	01	20
44035	Barrachina	02	159
44035	Barrachina	03	5
44036	Bea	01	7
44036	Bea	02	19
44036	Bea	03	17
44037	Beceite	01	110
44037	Beceite	02	126
44037	Beceite	03	216
44037	Beceite	04	4
44038	Belmonte de San José	01	19
44038	Belmonte de San José	02	102
44038	Belmonte de San José	03	4
44039	Bello	01	12
44039	Bello	02	325
44039	Bello	03	2
44040	Berge	01	49
44040	Berge	02	100
44040	Berge	03	28
44041	Bezas	01	12
44041	Bezas	02	72
44041	Bezas	03	13
44042	Blancas	01	24
44042	Blancas	02	217
44042	Blancas	03	1
44043	Blesa	01	12
44043	Blesa	02	244
44043	Blesa	03	19
44044	Bordón	01	12
44044	Bordón	02	71
44044	Bordón	03	70
44044	Bordón	04	1
44045	Bronchales	01	76
44045	Bronchales	02	333
44045	Bronchales	03	90
44045	Bronchales	04	3
44046	Bueña	01	7
44046	Bueña	02	71
44046	Bueña	03	1
44047	Burbáguena	01	7
44047	Burbáguena	02	276
44048	Cabra de Mora	01	20
44048	Cabra de Mora	02	60
44048	Cabra de Mora	03	10
44048	Cabra de Mora	04	1
44049	Calaceite	01	220
44049	Calaceite	02	384
44049	Calaceite	03	105
44049	Calaceite	04	3
44049	Calaceite	06	1
44050	Calamocha	01	243
44050	Calamocha	02	1617
44050	Calamocha	03	189
44050	Calamocha	04	73
44050	Calamocha	05	8
44051	Calanda	01	381
44051	Calanda	02	668
44051	Calanda	03	170
44051	Calanda	04	31
44051	Calanda	05	5
44052	Calomarde	01	16
44052	Calomarde	02	51
44052	Calomarde	03	35
44053	Camañas	01	11
44053	Camañas	02	86
44054	Camarena de la Sierra	01	80
44054	Camarena de la Sierra	02	59
44054	Camarena de la Sierra	03	152
44054	Camarena de la Sierra	04	4
44055	Camarillas	01	2
44055	Camarillas	02	17
44055	Camarillas	03	153
44056	Caminreal	01	44
44056	Caminreal	02	405
44056	Caminreal	03	7
44059	Cantavieja	01	36
44059	Cantavieja	02	43
44059	Cantavieja	03	267
44059	Cantavieja	04	6
44060	Cañada de Benatanduz	01	2
44060	Cañada de Benatanduz	02	39
44060	Cañada de Benatanduz	03	35
44061	Cañada de Verich (La)	01	15
44061	Cañada de Verich (La)	02	46
44061	Cañada de Verich (La)	03	17
44062	Cañada Vellida	01	12
44062	Cañada Vellida	02	43
44063	Cañizar del Olivar	01	29
44063	Cañizar del Olivar	02	78
44063	Cañizar del Olivar	03	18
44064	Cascante del Río	01	13
44064	Cascante del Río	02	33
44064	Cascante del Río	03	145
44065	Castejón de Tornos	02	134
44066	Castel de Cabra	01	72
44066	Castel de Cabra	02	71
44066	Castel de Cabra	03	8
44067	Castelnou	01	14
44067	Castelnou	02	115
44068	Castelserás	01	89
44068	Castelserás	02	385
44068	Castelserás	03	27
44070	Castellar (El)	01	15
44070	Castellar (El)	02	66
44070	Castellar (El)	03	20
44071	Castellote	01	93
44071	Castellote	02	383
44071	Castellote	03	283
44071	Castellote	04	10
44074	Cedrillas	01	69
44074	Cedrillas	02	133
44074	Cedrillas	03	101
44074	Cedrillas	04	5
44074	Cedrillas	05	1
44075	Celadas	01	9
44075	Celadas	02	71
44075	Celadas	03	120
44076	Cella	01	262
44076	Cella	02	814
44076	Cella	03	42
44076	Cella	04	12
44077	Cerollera (La)	02	59
44077	Cerollera (La)	03	19
44080	Codoñera (La)	01	12
44080	Codoñera (La)	02	220
44080	Codoñera (La)	03	46
44082	Corbalán	01	26
44082	Corbalán	02	69
44082	Corbalán	03	1
44084	Cortes de Aragón	01	20
44084	Cortes de Aragón	02	22
44084	Cortes de Aragón	03	89
44085	Cosa	01	10
44085	Cosa	02	82
44085	Cosa	03	5
44086	Cretas	01	147
44086	Cretas	02	164
44086	Cretas	03	20
44087	Crivillén	01	20
44087	Crivillén	02	130
44087	Crivillén	03	25
44088	Cuba (La)	01	6
