Municipio código	Municipio nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
22116	Grañén	Nacionalidad española	Europa	01	UE-15	1951
22116	Grañén	Nacionalidad extranjera	Europa	01	UE-15	1
22116	Grañén	Nacionalidad extranjera	Europa	02	Resto de Europa	7
22116	Grañén	Nacionalidad extranjera	África	03	Magreb	2
22116	Grañén	Nacionalidad extranjera	América	06	Resto de América	33
22117	Graus	Nacionalidad española	Europa	01	UE-15	3065
22117	Graus	Nacionalidad extranjera	Europa	01	UE-15	28
22117	Graus	Nacionalidad extranjera	Europa	02	Resto de Europa	7
22117	Graus	Nacionalidad extranjera	África	03	Magreb	9
22117	Graus	Nacionalidad extranjera	África	04	Resto de África	3
22117	Graus	Nacionalidad extranjera	América	06	Resto de América	21
22117	Graus	Nacionalidad extranjera	Oceanía	08	Oceanía	3
22119	Gurrea de Gállego	Nacionalidad española	Europa	01	UE-15	1753
22119	Gurrea de Gállego	Nacionalidad extranjera	Europa	01	UE-15	1
22119	Gurrea de Gállego	Nacionalidad extranjera	Europa	02	Resto de Europa	5
22119	Gurrea de Gállego	Nacionalidad extranjera	África	04	Resto de África	6
22119	Gurrea de Gállego	Nacionalidad extranjera	América	05	América del Norte	1
22119	Gurrea de Gállego	Nacionalidad extranjera	Asia	07	Asia	6
22122	Hoz de Jaca	Nacionalidad española	Europa	01	UE-15	77
22124	Huerto	Nacionalidad española	Europa	01	UE-15	253
22124	Huerto	Nacionalidad extranjera	Europa	01	UE-15	4
22125	Huesca	Nacionalidad española	Europa	01	UE-15	45071
22125	Huesca	Nacionalidad extranjera	Europa	01	UE-15	123
22125	Huesca	Nacionalidad extranjera	Europa	02	Resto de Europa	141
22125	Huesca	Nacionalidad extranjera	África	03	Magreb	196
22125	Huesca	Nacionalidad extranjera	África	04	Resto de África	250
22125	Huesca	Nacionalidad extranjera	América	05	América del Norte	20
22125	Huesca	Nacionalidad extranjera	América	06	Resto de América	391
22125	Huesca	Nacionalidad extranjera	Asia	07	Asia	51
22126	Ibieca	Nacionalidad española	Europa	01	UE-15	108
22126	Ibieca	Nacionalidad extranjera	América	06	Resto de América	3
22127	Igriés	Nacionalidad española	Europa	01	UE-15	301
22127	Igriés	Nacionalidad extranjera	Europa	01	UE-15	2
22127	Igriés	Nacionalidad extranjera	América	06	Resto de América	5
22128	Ilche	Nacionalidad española	Europa	01	UE-15	258
22128	Ilche	Nacionalidad extranjera	Europa	01	UE-15	1
22128	Ilche	Nacionalidad extranjera	Europa	02	Resto de Europa	10
22128	Ilche	Nacionalidad extranjera	África	03	Magreb	4
22129	Isábena	Nacionalidad española	Europa	01	UE-15	254
22129	Isábena	Nacionalidad extranjera	Europa	02	Resto de Europa	6
22129	Isábena	Nacionalidad extranjera	América	06	Resto de América	13
22130	Jaca	Nacionalidad española	Europa	01	UE-15	11073
22130	Jaca	Nacionalidad extranjera	Europa	01	UE-15	55
22130	Jaca	Nacionalidad extranjera	Europa	02	Resto de Europa	28
22130	Jaca	Nacionalidad extranjera	África	03	Magreb	17
22130	Jaca	Nacionalidad extranjera	América	05	América del Norte	2
22130	Jaca	Nacionalidad extranjera	América	06	Resto de América	215
22130	Jaca	Nacionalidad extranjera	Asia	07	Asia	8
22131	Jasa	Nacionalidad española	Europa	01	UE-15	120
22133	Labuerda	Nacionalidad española	Europa	01	UE-15	171
22133	Labuerda	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22133	Labuerda	Nacionalidad extranjera	África	03	Magreb	1
22135	Laluenga	Nacionalidad española	Europa	01	UE-15	256
22135	Laluenga	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22136	Lalueza	Nacionalidad española	Europa	01	UE-15	1156
22136	Lalueza	Nacionalidad extranjera	Europa	01	UE-15	1
22136	Lalueza	Nacionalidad extranjera	Europa	02	Resto de Europa	19
22136	Lalueza	Nacionalidad extranjera	América	06	Resto de América	7
22137	Lanaja	Nacionalidad española	Europa	01	UE-15	1508
22137	Lanaja	Nacionalidad extranjera	Europa	01	UE-15	2
22137	Lanaja	Nacionalidad extranjera	Europa	02	Resto de Europa	10
22137	Lanaja	Nacionalidad extranjera	América	06	Resto de América	11
22139	Laperdiguera	Nacionalidad española	Europa	01	UE-15	110
22141	Lascellas-Ponzano	Nacionalidad española	Europa	01	UE-15	163
22141	Lascellas-Ponzano	Nacionalidad extranjera	América	06	Resto de América	3
22142	Lascuarre	Nacionalidad española	Europa	01	UE-15	153
22142	Lascuarre	Nacionalidad extranjera	Europa	01	UE-15	3
22142	Lascuarre	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22142	Lascuarre	Nacionalidad extranjera	África	04	Resto de África	1
22143	Laspaúles	Nacionalidad española	Europa	01	UE-15	274
22143	Laspaúles	Nacionalidad extranjera	Europa	01	UE-15	1
22143	Laspaúles	Nacionalidad extranjera	América	06	Resto de América	2
22144	Laspuña	Nacionalidad española	Europa	01	UE-15	265
22144	Laspuña	Nacionalidad extranjera	Europa	01	UE-15	6
22144	Laspuña	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22149	Loarre	Nacionalidad española	Europa	01	UE-15	394
22149	Loarre	Nacionalidad extranjera	Europa	01	UE-15	5
22149	Loarre	Nacionalidad extranjera	América	06	Resto de América	1
22150	Loporzano	Nacionalidad española	Europa	01	UE-15	483
22150	Loporzano	Nacionalidad extranjera	Europa	01	UE-15	5
22151	Loscorrales	Nacionalidad española	Europa	01	UE-15	114
22155	Monesma y Cajigar	Nacionalidad española	Europa	01	UE-15	98
22156	Monflorite-Lascasas	Nacionalidad española	Europa	01	UE-15	206
22156	Monflorite-Lascasas	Nacionalidad extranjera	América	06	Resto de América	1
22157	Montanuy	Nacionalidad española	Europa	01	UE-15	293
22157	Montanuy	Nacionalidad extranjera	Europa	01	UE-15	3
22158	Monzón	Nacionalidad española	Europa	01	UE-15	14339
22158	Monzón	Nacionalidad extranjera	Europa	01	UE-15	27
22158	Monzón	Nacionalidad extranjera	Europa	02	Resto de Europa	49
22158	Monzón	Nacionalidad extranjera	África	03	Magreb	330
22158	Monzón	Nacionalidad extranjera	África	04	Resto de África	90
22158	Monzón	Nacionalidad extranjera	América	05	América del Norte	3
22158	Monzón	Nacionalidad extranjera	América	06	Resto de América	58
22158	Monzón	Nacionalidad extranjera	Asia	07	Asia	9
22158	Monzón	Nacionalidad extranjera	Oceanía	08	Oceanía	15
22160	Naval	Nacionalidad española	Europa	01	UE-15	307
22160	Naval	Nacionalidad extranjera	Europa	01	UE-15	5
22160	Naval	Nacionalidad extranjera	América	06	Resto de América	2
22162	Novales	Nacionalidad española	Europa	01	UE-15	175
22162	Novales	Nacionalidad extranjera	Europa	01	UE-15	4
22162	Novales	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22163	Nueno	Nacionalidad española	Europa	01	UE-15	345
22163	Nueno	Nacionalidad extranjera	Europa	01	UE-15	7
22163	Nueno	Nacionalidad extranjera	América	06	Resto de América	1
22164	Olvena	Nacionalidad española	Europa	01	UE-15	49
22165	Ontiñena	Nacionalidad española	Europa	01	UE-15	648
22165	Ontiñena	Nacionalidad extranjera	América	06	Resto de América	2
22167	Osso de Cinca	Nacionalidad española	Europa	01	UE-15	678
22167	Osso de Cinca	Nacionalidad extranjera	Europa	02	Resto de Europa	2
22167	Osso de Cinca	Nacionalidad extranjera	África	03	Magreb	48
22167	Osso de Cinca	Nacionalidad extranjera	África	04	Resto de África	2
22167	Osso de Cinca	Nacionalidad extranjera	América	06	Resto de América	2
22168	Palo	Nacionalidad española	Europa	01	UE-15	34
22168	Palo	Nacionalidad extranjera	Europa	01	UE-15	1
22168	Palo	Nacionalidad extranjera	Europa	02	Resto de Europa	1
22168	Palo	Nacionalidad extranjera	África	04	Resto de África	2
22168	Palo	Nacionalidad extranjera	América	06	Resto de América	3
22170	Panticosa	Nacionalidad española	Europa	01	UE-15	696
22170	Panticosa	Nacionalidad extranjera	Europa	01	UE-15	7
