Año	Municipio código	Municipio nombre	Contenedores de pilas	Kg recogidos de pilas
2007	22158	Monzón	19	361
2007	22160	Naval	0	0
2007	22162	Novales	1	14
2007	22163	Nueno	1	21
2007	22164	Olvena	2	14
2007	22165	Ontiñena	1	43
2007	22167	Osso de Cinca	1	36
2007	22168	Palo	0	0
2007	22170	Panticosa	1	7
2007	22172	Peñalba	1	28
2007	22173	Peñas de Riglos (Las)	0	0
2007	22174	Peralta de Alcofea	1	50
2007	22175	Peralta de Calasanz	0	0
2007	22176	Peraltilla	0	0
2007	22177	Perarrúa	1	14
2007	22178	Pertusa	1	21
2007	22181	Piracés	1	14
2007	22182	Plan	0	0
2007	22184	Poleñino	1	14
2007	22186	Pozán de Vero	1	14
2007	22187	Puebla de Castro (La)	0	0
2007	22188	Puente de Montañana	1	36
2007	22189	Puértolas	0	0
2007	22190	Pueyo de Araguás (El)	0	0
2007	22193	Pueyo de Santa Cruz	1	7
2007	22195	Quicena	0	0
2007	22197	Robres	1	36
2007	22199	Sabiñánigo	5	1327
2007	22200	Sahún	0	0
2007	22201	Salas Altas	1	14
2007	22202	Salas Bajas	1	28
2007	22203	Salillas	1	50
2007	22204	Sallent de Gállego	8	36
2007	22205	San Esteban de Litera	1	14
2007	22206	Sangarrén	0	0
2007	22207	San Juan de Plan	0	0
2007	22208	Santa Cilia	1	14
2007	22209	Santa Cruz de la Serós	2	7
2007	22212	Santaliestra y San Quílez	1	36
2007	22213	Sariñena	4	34
2007	22214	Secastilla	1	7
2007	22215	Seira	1	14
2007	22217	Sena	1	43
2007	22218	Senés de Alcubierre	0	0
2007	22220	Sesa	2	43
2007	22221	Sesué	0	0
2007	22222	Siétamo	1	28
2007	22223	Sopeira	0	0
2007	22225	Tamarite de Litera	2	71
2007	22226	Tardienta	4	43
2007	22227	Tella-Sin	0	0
2007	22228	Tierz	0	0
2007	22229	Tolva	0	0
2007	22230	Torla-Ordesa	2	36
2007	22232	Torralba de Aragón	0	0
2007	22233	Torre la Ribera	0	0
2007	22234	Torrente de Cinca	2	14
2007	22235	Torres de Alcanadre	1	43
2007	22236	Torres de Barbués	2	28
2007	22239	Tramaced	1	43
2007	22242	Valfarta	1	28
2007	22243	Valle de Bardají	0	0
2007	22244	Valle de Lierp	0	0
2007	22245	Velilla de Cinca	1	36
2007	22246	Beranuy	0	0
2007	22247	Viacamp y Litera	0	0
2007	22248	Vicién	1	7
2007	22249	Villanova	1	7
2007	22250	Villanúa	1	36
2007	22251	Villanueva de Sigena	2	36
2007	22252	Yebra de Basa	1	7
2007	22253	Yésero	1	7
2007	22254	Zaidín	2	72
2007	22901	Valle de Hecho	2	92
2007	22902	Puente la Reina de Jaca	0	0
2007	22903	San Miguel del Cinca	0	0
2007	22904	Sotonera (La)	1	7
2007	22905	Lupiñén-Ortilla	1	21
2007	22906	Santa María de Dulcis	0	0
2007	22907	Aínsa-Sobrarbe	0	0
2007	22908	Hoz y Costeán	0	0
2007	22909	Vencillón	0	0
2007	44001	Ababuj	1	7
2007	44002	Abejuela	0	0
2007	44003	Aguatón	1	13
2007	44004	Aguaviva	4	53
2007	44005	Aguilar del Alfambra	1	33
2007	44006	Alacón	2	27
2007	44007	Alba	0	0
2007	44008	Albalate del Arzobispo	0	0
2007	44009	Albarracín	4	27
2007	44010	Albentosa	1	20
2007	44011	Alcaine	0	0
2007	44012	Alcalá de la Selva	6	13
2007	44013	Alcañiz	50	558
2007	44014	Alcorisa	14	128
2007	44016	Alfambra	3	60
2007	44017	Aliaga	3	40
2007	44018	Almohaja	0	0
2007	44019	Alobras	1	7
2007	44020	Alpeñés	0	0
2007	44021	Allepuz	1	20
2007	44022	Alloza	5	7
2007	44023	Allueva	0	0
2007	44024	Anadón	0	0
2007	44025	Andorra	21	192
2007	44026	Arcos de las Salinas	0	0
2007	44027	Arens de Lledó	1	33
2007	44028	Argente	1	33
2007	44029	Ariño	7	39
2007	44031	Azaila	1	20
2007	44032	Bádenas	0	0
2007	44033	Báguena	2	33
2007	44034	Bañón	1	13
2007	44035	Barrachina	0	0
2007	44036	Bea	0	0
2007	44037	Beceite	2	20
2007	44038	Belmonte de San José	0	0
2007	44039	Bello	2	33
2007	44040	Berge	1	27
2007	44041	Bezas	1	7
2007	44042	Blancas	1	7
2007	44043	Blesa	1	13
2007	44044	Bordón	2	20
2007	44045	Bronchales	4	67
2007	44046	Bueña	0	0
2007	44047	Burbáguena	1	20
2007	44048	Cabra de Mora	0	0
2007	44049	Calaceite	6	47
2007	44050	Calamocha	12	107
2007	44051	Calanda	13	112
2007	44052	Calomarde	1	7
2007	44053	Camañas	1	20
2007	44054	Camarena de la Sierra	6	40
2007	44055	Camarillas	0	0
2007	44056	Caminreal	6	33
2007	44059	Cantavieja	5	47
2007	44060	Cañada de Benatanduz	0	0
2007	44061	Cañada de Verich (La)	1	7
2007	44062	Cañada Vellida	1	27
2007	44063	Cañizar del Olivar	0	0
2007	44064	Cascante del Río	2	7
2007	44065	Castejón de Tornos	0	0
2007	44066	Castel de Cabra	1	13
2007	44067	Castelnou	1	7
2007	44068	Castelserás	5	87
2007	44070	Castellar (El)	1	7
2007	44071	Castellote	8	80
2007	44074	Cedrillas	5	87
2007	44075	Celadas	5	27
2007	44076	Cella	11	188
2007	44077	Cerollera (La)	1	7
2007	44080	Codoñera (La)	1	53
2007	44082	Corbalán	0	0
2007	44084	Cortes de Aragón	1	7
2007	44085	Cosa	1	7
2007	44086	Cretas	5	27
2007	44087	Crivillén	0	0
2007	44088	Cuba (La)	0	0
2007	44089	Cubla	0	0
2007	44090	Cucalón	1	13
2007	44092	Cuervo (El)	0	0
2007	44093	Cuevas de Almudén	0	0
2007	44094	Cuevas Labradas	0	0
2007	44096	Ejulve	1	13
2007	44097	Escorihuela	1	7
2007	44099	Escucha	5	20
2007	44100	Estercuel	3	13
2007	44101	Ferreruela de Huerva	1	7
2007	44102	Fonfría	2	7
2007	44103	Formiche Alto	4	27
2007	44105	Fórnoles	3	13
2007	44106	Fortanete	1	20
2007	44107	Foz-Calanda	1	7
2007	44108	Fresneda (La)	3	48
2007	44109	Frías de Albarracín	0	0
2007	44110	Fuenferrada	0	0
2007	44111	Fuentes Calientes	1	33
2007	44112	Fuentes Claras	2	20
2007	44113	Fuentes de Rubielos	1	33
2007	44114	Fuentespalda	4	13
2007	44115	Galve	1	20
2007	44116	Gargallo	1	20
2007	44117	Gea de Albarracín	5	40
2007	44118	Ginebrosa (La)	1	7
2007	44119	Griegos	0	0
2007	44120	Guadalaviar	1	7
2007	44121	Gúdar	0	0
2007	44122	Híjar	9	77
2007	44123	Hinojosa de Jarque	0	0
2007	44124	Hoz de la Vieja (La)	1	7
2007	44125	Huesa del Común	0	0
2007	44126	Iglesuela del Cid (La)	2	40
2007	44127	Jabaloyas	1	7
2007	44128	Jarque de la Val	1	20
2007	44129	Jatiel	2	13
2007	44130	Jorcas	0	0
2007	44131	Josa	0	0
2007	44132	Lagueruela	0	0
2007	44133	Lanzuela	0	0
2007	44135	Libros	0	0
2007	44136	Lidón	1	7
2007	44137	Linares de Mora	3	20
2007	44138	Loscos	0	0
2007	44141	Lledó	0	0
2007	44142	Maicas	1	20
2007	44143	Manzanera	5	23
2007	44144	Martín del Río	3	27
2007	44145	Mas de las Matas	7	141
2007	44146	Mata de los Olmos (La)	0	0
2007	44147	Mazaleón	0	0
2007	44148	Mezquita de Jarque	1	13
2007	44149	Mirambel	1	7
2007	44150	Miravete de la Sierra	1	13
2007	44151	Molinos	2	33
2007	44152	Monforte de Moyuela	0	0
2007	44153	Monreal del Campo	10	125
2007	44154	Monroyo	2	27
2007	44155	Montalbán	6	65
2007	44156	Monteagudo del Castillo	1	20
2007	44157	Monterde de Albarracín	1	7
2007	44158	Mora de Rubielos	8	36
2007	44159	Moscardón	1	7
2007	44160	Mosqueruela	5	119
2007	44161	Muniesa	3	73
2007	44163	Noguera de Albarracín	3	7
2007	44164	Nogueras	1	7
2007	44165	Nogueruelas	2	7
2007	44167	Obón	0	0
2007	44168	Odón	1	7
2007	44169	Ojos Negros	4	27
2007	44171	Olba	3	27
2007	44172	Oliete	2	27
2007	44173	Olmos (Los)	1	7
2007	44174	Orihuela del Tremedal	4	27
2007	44175	Orrios	0	0
2007	44176	Palomar de Arroyos	0	0
2007	44177	Pancrudo	1	13
2007	44178	Parras de Castellote (Las)	0	0
2007	44179	Peñarroya de Tastavins	4	84
2007	44180	Peracense	1	33
2007	44181	Peralejos	1	33
2007	44182	Perales del Alfambra	2	20
2007	44183	Pitarque	1	27
2007	44184	Plou	2	13
2007	44185	Pobo (El)	0	0
2007	44187	Portellada (La)	3	33
2007	44189	Pozondón	0	0
2007	44190	Pozuel del Campo	1	13
2007	44191	Puebla de Híjar (La)	6	53
2007	44192	Puebla de Valverde (La)	4	27
2007	44193	Puertomingalvo	0	0
2007	44194	Ráfales	2	13
2007	44195	Rillo	1	7
2007	44196	Riodeva	1	7
2007	44197	Ródenas	1	7
2007	44198	Royuela	1	13
2007	44199	Rubiales	1	7
2007	44200	Rubielos de la Cérida	0	0
2007	44201	Rubielos de Mora	5	33
2007	44203	Salcedillo	0	0
2007	44204	Saldón	1	7
2007	44205	Samper de Calanda	5	47
2007	44206	San Agustín	0	0
2007	44207	San Martín del Río	1	27
2007	44208	Santa Cruz de Nogueras	0	0
2007	44209	Santa Eulalia	9	27
2007	44210	Sarrión	1	190
2007	44211	Segura de los Baños	1	13
2007	44212	Seno	0	0
2007	44213	Singra	1	13
2007	44215	Terriente	0	0
2007	44216	Teruel	132	1693
2007	44217	Toril y Masegoso	0	0
2007	44218	Tormón	0	0
2007	44219	Tornos	0	0
2007	44220	Torralba de los Sisones	1	7
2007	44221	Torrecilla de Alcañiz	3	33
2007	44222	Torrecilla del Rebollar	0	0
2007	44223	Torre de Arcas	1	7
2007	44224	Torre de las Arcas	0	0
2007	44225	Torre del Compte	2	13
2007	44226	Torrelacárcel	2	20
2007	44227	Torre los Negros	1	13
2007	44228	Torremocha de Jiloca	0	0
2007	44229	Torres de Albarracín	1	7
2007	44230	Torrevelilla	0	0
2007	44231	Torrijas	1	27
2007	44232	Torrijo del Campo	2	13
2007	44234	Tramacastiel	1	33
2007	44235	Tramacastilla	1	20
2007	44236	Tronchón	0	0
2007	44237	Urrea de Gaén	0	0
2007	44238	Utrillas	6	63
2007	44239	Valacloche	1	7
2007	44240	Valbona	2	20
2007	44241	Valdealgorfa	4	40
2007	44243	Valdecuenca	0	0
2007	44244	Valdelinares	2	20
2007	44245	Valdeltormo	4	40
2007	44246	Valderrobres	12	177
2007	44247	Valjunquera	2	20
2007	44249	Vallecillo (El)	0	0
2007	44250	Veguillas de la Sierra	0	0
2007	44251	Villafranca del Campo	2	13
2007	44252	Villahermosa del Campo	0	0
2007	44256	Villanueva del Rebollar de la Sierra	0	0
2007	44257	Villar del Cobo	1	7
2007	44258	Villar del Salz	1	13
2007	44260	Villarluengo	1	27
2007	44261	Villarquemado	6	27
2007	44262	Villarroya de los Pinares	1	67
2007	44263	Villastar	1	13
2007	44264	Villel	1	13
2007	44265	Vinaceite	1	20
2007	44266	Visiedo	0	0
2007	44267	Vivel del Río Martín	3	7
2007	44268	Zoma (La)	1	7
2007	50001	Abanto	0	0
2007	50002	Acered	0	0
2007	50003	Agón	0	0
2007	50004	Aguarón	1	40
2007	50005	Aguilón	0	0
2007	50006	Ainzón	1	55
2007	50007	Aladrén	0	0
2007	50008	Alagón	6	310
2007	50009	Alarba	0	0
2007	50010	Alberite de San Juan	1	13
2007	50011	Albeta	1	7
2007	50012	Alborge	0	0
2007	50013	Alcalá de Ebro	0	0
2007	50014	Alcalá de Moncayo	0	0
2007	50015	Alconchel de Ariza	0	0
2007	50016	Aldehuela de Liestos	0	0
2007	50017	Alfajarín	2	156
2007	50018	Alfamén	1	40
2007	50019	Alforque	0	0
2007	50020	Alhama de Aragón	1	45
2007	50021	Almochuel	0	0
2007	50022	Almolda (La)	1	27
2007	50023	Almonacid de la Cuba	1	47
2007	50024	Almonacid de la Sierra	0	0
2007	50025	Almunia de Doña Godina (La)	9	333
2007	50026	Alpartir	1	20
2007	50027	Ambel	1	47
2007	50028	Anento	1	47
2007	50029	Aniñón	1	86
2007	50030	Añón de Moncayo	1	20
2007	50031	Aranda de Moncayo	0	0
2007	50032	Arándiga	1	13
2007	50033	Ardisa	0	0
2007	50034	Ariza	1	73
2007	50035	Artieda	0	0
2007	50036	Asín	0	0
2007	50037	Atea	0	0
2007	50038	Ateca	1	116
2007	50039	Azuara	1	33
2007	50040	Badules	0	0
2007	50041	Bagüés	0	0
2007	50042	Balconchán	0	0
2007	50043	Bárboles	1	13
2007	50044	Bardallur	1	33
2007	50045	Belchite	5	160
2007	50046	Belmonte de Gracián	1	13
2007	50047	Berdejo	0	0
2007	50048	Berrueco	0	0
2007	50050	Bijuesca	0	0
2007	50051	Biota	1	20
2007	50052	Bisimbre	0	0
2007	50053	Boquiñeni	1	47
2007	50054	Bordalba	0	0
2007	50055	Borja	1	23
2007	50056	Botorrita	1	20
2007	50057	Brea de Aragón	1	60
2007	50058	Bubierca	0	0
2007	50059	Bujaraloz	1	60
2007	50060	Bulbuente	0	0
2007	50061	Bureta	1	7
2007	50062	Burgo de Ebro (El)	0	0
2007	50063	Buste (El)	0	0
2007	50064	Cabañas de Ebro	1	13
2007	50065	Cabolafuente	0	0
2007	50066	Cadrete	2	502
2007	50067	Calatayud	3	926
2007	50068	Calatorao	2	60
2007	50069	Calcena	0	0
2007	50070	Calmarza	0	0
2007	50071	Campillo de Aragón	0	0
2007	50072	Carenas	0	0
2007	50073	Cariñena	3	192
2007	50074	Caspe	1	184
2007	50075	Castejón de Alarba	0	0
2007	50076	Castejón de las Armas	0	0
2007	50077	Castejón de Valdejasa	1	27
2007	50078	Castiliscar	2	27
2007	50079	Cervera de la Cañada	1	33
2007	50080	Cerveruela	0	0
2007	50081	Cetina	1	60
2007	50082	Cimballa	0	0
2007	50083	Cinco Olivas	0	0
2007	50084	Clarés de Ribota	0	0
2007	50085	Codo	1	7
2007	50086	Codos	0	0
2007	50087	Contamina	0	0
2007	50088	Cosuenda	1	40
2007	50089	Cuarte de Huerva	2	40
2007	50090	Cubel	0	0
2007	50091	Cuerlas (Las)	0	0
2007	50092	Chiprana	1	33
2007	50093	Chodes	0	0
2007	50094	Daroca	1	233
2007	50095	Ejea de los Caballeros	2	146
2007	50096	Embid de Ariza	0	0
2007	50098	Encinacorba	1	40
2007	50099	Épila	1	173
2007	50100	Erla	1	53
2007	50101	Escatrón	2	73
2007	50102	Fabara	1	13
2007	50104	Farlete	1	27
2007	50105	Fayón	1	27
2007	50106	Fayos (Los)	0	0
2007	50107	Figueruelas	5	806
2007	50108	Fombuena	0	0
2007	50109	Frago (El)	1	7
2007	50110	Frasno (El)	0	0
2007	50111	Fréscano	2	7
2007	50113	Fuendejalón	1	13
2007	50114	Fuendetodos	0	0
2007	50115	Fuentes de Ebro	7	150
2007	50116	Fuentes de Jiloca	1	33
2007	50117	Gallocanta	0	0
2007	50118	Gallur	2	81
2007	50119	Gelsa	2	133
2007	50120	Godojos	0	0
2007	50121	Gotor	1	7
2007	50122	Grisel	0	0
2007	50123	Grisén	2	27
2007	50124	Herrera de los Navarros	2	47
2007	50125	Ibdes	2	27
2007	50126	Illueca	3	55
2007	50128	Isuerre	0	0
2007	50129	Jaraba	7	13
2007	50130	Jarque de Moncayo	2	20
2007	50131	Jaulín	1	40
2007	50132	Joyosa (La)	1	13
2007	50133	Lagata	0	0
2007	50134	Langa del Castillo	0	0
2007	50135	Layana	0	0
2007	50136	Lécera	2	47
2007	50137	Leciñena	1	53
2007	50138	Lechón	0	0
2007	50139	Letux	1	13
2007	50140	Litago	0	0
2007	50141	Lituénigo	0	0
2007	50142	Lobera de Onsella	0	0
2007	50143	Longares	1	20
2007	50144	Longás	0	0
2007	50146	Lucena de Jalón	0	0
2007	50147	Luceni	1	53
2007	50148	Luesia	1	27
2007	50149	Luesma	0	0
2007	50150	Lumpiaque	1	7
2007	50151	Luna	6	27
2007	50152	Maella	1	134
2007	50153	Magallón	1	49
2007	50154	Mainar	0	0
2007	50155	Malanquilla	0	0
2007	50156	Maleján	1	20
2007	50157	Malón	1	33
2007	50159	Maluenda	1	40
2007	50160	Mallén	5	108
2007	50161	Manchones	0	0
2007	50162	Mara	0	0
2007	50163	María de Huerva	1	33
2007	50164	Mediana de Aragón	1	40
2007	50165	Mequinenza	1	80
2007	50166	Mesones de Isuela	1	13
2007	50167	Mezalocha	1	27
2007	50168	Mianos	0	0
2007	50169	Miedes de Aragón	1	13
2007	50170	Monegrillo	1	27
2007	50171	Moneva	1	13
2007	50172	Monreal de Ariza	0	0
2007	50173	Monterde	0	0
2007	50174	Montón	1	20
2007	50175	Morata de Jalón	1	89
2007	50176	Morata de Jiloca	1	33
2007	50177	Morés	1	20
2007	50178	Moros	2	27
2007	50179	Moyuela	1	40
2007	50180	Mozota	0	0
2007	50181	Muel	1	33
2007	50182	Muela (La)	1	13
2007	50183	Munébrega	1	33
2007	50184	Murero	0	0
2007	50185	Murillo de Gállego	0	0
2007	50186	Navardún	0	0
2007	50187	Nigüella	0	0
2007	50188	Nombrevilla	0	0
2007	50189	Nonaspe	2	7
2007	50190	Novallas	1	29
2007	50191	Novillas	1	47
2007	50192	Nuévalos	5	20
2007	50193	Nuez de Ebro	4	27
2007	50194	Olvés	0	0
2007	50195	Orcajo	0	0
2007	50196	Orera	0	0
2007	50197	Orés	1	13
2007	50198	Oseja	0	0
2007	50199	Osera de Ebro	1	141
2007	50200	Paniza	2	67
2007	50201	Paracuellos de Jiloca	0	0
2007	50202	Paracuellos de la Ribera	0	0
2007	50203	Pastriz	1	60
2007	50204	Pedrola	4	40
2007	50205	Pedrosas (Las)	0	0
2007	50206	Perdiguera	1	40
2007	50207	Piedratajada	0	0
2007	50208	Pina de Ebro	4	161
2007	50209	Pinseque	1	67
2007	50210	Pintanos (Los)	0	0
2007	50211	Plasencia de Jalón	1	80
2007	50212	Pleitas	0	0
2007	50213	Plenas	0	0
2007	50214	Pomer	1	20
2007	50215	Pozuel de Ariza	0	0
2007	50216	Pozuelo de Aragón	1	67
2007	50217	Pradilla de Ebro	3	27
2007	50218	Puebla de Albortón	0	0
2007	50219	Puebla de Alfindén (La)	1	125
2007	50220	Puendeluna	0	0
2007	50221	Purujosa	0	0
2007	50222	Quinto	1	120
2007	50223	Remolinos	2	67
2007	50224	Retascón	0	0
2007	50225	Ricla	1	67
2007	50227	Romanos	0	0
2007	50228	Rueda de Jalón	1	13
2007	50229	Ruesca	0	0
2007	50230	Sádaba	5	126
2007	50231	Salillas de Jalón	2	27
2007	50232	Salvatierra de Esca	0	0
2007	50233	Samper del Salz	0	0
2007	50234	San Martín de la Virgen de Moncayo	1	13
2007	50235	San Mateo de Gállego	3	124
2007	50236	Santa Cruz de Grío	1	33
2007	50237	Santa Cruz de Moncayo	0	0
2007	50238	Santa Eulalia de Gállego	0	0
2007	50239	Santed	0	0
2007	50240	Sástago	2	80
2007	50241	Saviñán	2	7
2007	50242	Sediles	0	0
2007	50243	Sestrica	3	27
2007	50244	Sierra de Luna	0	0
2007	50245	Sigüés	0	0
2007	50246	Sisamón	0	0
2007	50247	Sobradiel	2	27
2007	50248	Sos del Rey Católico	1	13
2007	50249	Tabuenca	1	27
2007	50250	Talamantes	0	0
2007	50251	Tarazona	5	406
2007	50252	Tauste	5	305
2007	50253	Terrer	1	52
2007	50254	Tierga	0	0
2007	50255	Tobed	0	0
2007	50256	Torralba de los Frailes	0	0
2007	50257	Torralba de Ribota	0	0
2007	50258	Torralbilla	0	0
2007	50259	Torrehermosa	0	0
2007	50260	Torrelapaja	0	0
2007	50261	Torrellas	1	33
2007	50262	Torres de Berrellén	1	105
2007	50263	Torrijo de la Cañada	1	13
2007	50264	Tosos	0	0
2007	50265	Trasmoz	0	0
2007	50266	Trasobares	0	0
2007	50267	Uncastillo	1	33
2007	50268	Undués de Lerda	0	0
2007	50269	Urrea de Jalón	1	27
2007	50270	Urriés	0	0
2007	50271	Used	1	33
2007	50272	Utebo	9	470
2007	50273	Valdehorna	0	0
2007	50274	Val de San Martín	0	0
2007	50275	Valmadrid	0	0
2007	50276	Valpalmas	1	13
2007	50277	Valtorres	0	0
2007	50278	Velilla de Ebro	1	20
2007	50279	Velilla de Jiloca	0	0
2007	50280	Vera de Moncayo	1	33
2007	50281	Vierlas	0	0
2007	50282	Vilueña (La)	0	0
2007	50283	Villadoz	0	0
2007	50284	Villafeliche	1	33
2007	50285	Villafranca de Ebro	1	20
2007	50286	Villalba de Perejil	0	0
2007	50287	Villalengua	1	33
2007	50288	Villanueva de Gállego	4	2025
2007	50289	Villanueva de Jiloca	0	0
2007	50290	Villanueva de Huerva	1	27
2007	50291	Villar de los Navarros	0	0
2007	50292	Villarreal de Huerva	1	13
2007	50293	Villarroya de la Sierra	0	0
2007	50294	Villarroya del Campo	0	0
2007	50295	Vistabella	0	0
2007	50296	Zaida (La)	2	97
2007	50297	Zaragoza	95	73436
2007	50298	Zuera	1	164
2007	50901	Biel	0	0
2007	50902	Marracos	0	0
2007	50903	Villamayor de Gállego	0	0
