Año	Renta disponible bruta	Renta disponible bruta per cápita	Código	Comarca
2013	335443456	12081,5219160814	15	Ribera Alta del Ebro
2013	327337760	11085,2978427986	16	Valdejalón
2013	12601767380	16616,6926606714	17	D.C. Zaragoza
2013	109573821	11880,49669305	18	Ribera Baja del Ebro
2013	166028931	11062,6952958422	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2013	484871071	12021,6961545137	20	Comunidad de Calatayud
2013	109104063	10100,3576189595	21	Campo de Cariñena
2013	42277229	8301,04633811113	22	Campo de Belchite
2013	72111869	10654,8269799054	23	Bajo Martín
2013	70648845	11532,6224289912	24	Campo de Daroca
2013	146952841	10938,060364719	25	Jiloca
2013	111239869	12590,8170911149	26	Cuencas Mineras
2013	166407857	14974,1615225412	27	Andorra-Sierra de Arcos
2013	393378100	13167,4677824268	28	Bajo Aragón
2013	717440830	15204,8496344177	29	Comunidad de Teruel
2013	36574316	10558,4053117783	30	Maestrazgo
2013	48994974	10243,5655446373	31	Sierra de Albarracín
2013	91374832	11287,8112415071	32	Gúdar-Javalambre
2013	84471262	9788,09524913094	33	Matarraña / Matarranya
2012	351892471	18983,248152344	01	La Jacetania
2012	247250185	16887,5203196503	02	Alto Gállego
2012	117640648	15058,9667178699	03	Sobrarbe
2012	190703132	14466,9346077985	04	La Ribagorza
2012	412819229	12639,5159058204	05	Cinco Villas
2012	1229368589	18029,6334878127	06	Hoya de Huesca / Plana de Uesca
2012	375642322	15377,5307843458	07	Somontano de Barbastro
2012	349910234	14492,0370262994	08	Cinca Medio
2012	256719283	13539,332471916	09	La Litera / La Llitera
2012	222856678	10800,9827945524	10	Los Monegros
2012	335218175	13501,6181327533	11	Bajo Cinca / Baix Cinca
2012	182458793	12440,9377471703	12	Tarazona y el Moncayo
2012	176480050	11481,3642573678	13	Campo de Borja
2012	83172260	11221,2978953049	14	Aranda
2012	354985223	12717,5589510264	15	Ribera Alta del Ebro
2012	343869207	11566,4045408678	16	Valdejalón
2012	12511569667	16574,2497708245	17	D.C. Zaragoza
2012	112305952	12012,616536528	18	Ribera Baja del Ebro
2012	171108673	11377,6629430148	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2012	509618996	12460,4268075014	20	Comunidad de Calatayud
2012	114792594	10380,0157337915	21	Campo de Cariñena
2012	41616373	8021,66017733231	22	Campo de Belchite
2012	76170692	10972,4419475655	23	Bajo Martín
2012	72461136	11651,5735648818	24	Campo de Daroca
2012	153786805	11227,7728699715	25	Jiloca
2012	116782404	13130,470429503	26	Cuencas Mineras
2012	179617041	15896,7201522259	27	Andorra-Sierra de Arcos
2012	415993893	13829,5842087766	28	Bajo Aragón
2012	748834460	15857,4097367808	29	Comunidad de Teruel
2012	38897336	10798,8162132149	30	Maestrazgo
2012	50973207	10339,3929006085	31	Sierra de Albarracín
2012	95773435	11500,1723102786	32	Gúdar-Javalambre
2012	87162853	9980,86030001145	33	Matarraña / Matarranya
2011	368508178	19696,8399166177	01	La Jacetania
2011	254941207	17202,5105937922	02	Alto Gállego
2011	120673201	15490,7831835687	03	Sobrarbe
2011	196229898	14649,4884658455	04	La Ribagorza
2011	426858328	12876,5709803922	05	Cinco Villas
2011	1278995833	18675,8342532562	06	Hoya de Huesca / Plana de Uesca
2011	393082843	16173,5863643845	07	Somontano de Barbastro
2011	360074418	14923,5087035809	08	Cinca Medio
2011	262589285	13722,9832767181	09	La Litera / La Llitera
2011	235658527	11308,533374922	10	Los Monegros
2011	334616820	13597,3351212971	11	Bajo Cinca / Baix Cinca
2011	188946013	12796,8854046732	12	Tarazona y el Moncayo
2011	181976594	11781,4705425353	13	Campo de Borja
2011	84687301	11290,1347820291	14	Aranda
2011	367061559	13215,5376777678	15	Ribera Alta del Ebro
2011	353151694	11764,6643347325	16	Valdejalón
2011	12894543453	17230,4017491582	17	D.C. Zaragoza
2011	116436161	12371,0328304292	18	Ribera Baja del Ebro
2011	173365579	11498,6787159249	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2011	521577983	12717,3818789164	20	Comunidad de Calatayud
2011	116460923	10260,8742731278	21	Campo de Cariñena
2011	43711013	8272,33402725208	22	Campo de Belchite
2011	78764249	11161,151905909	23	Bajo Martín
2011	75725234	11978,0503005378	24	Campo de Daroca
2011	160763136	11534,988591519	25	Jiloca
2011	122147325	13507,3896936857	26	Cuencas Mineras
2011	187491619	16374,8138864629	27	Andorra-Sierra de Arcos
2011	431399870	14218,3800797601	28	Bajo Aragón
2011	779212137	16632,7727330943	29	Comunidad de Teruel
2011	39347998	10721,5253405995	30	Maestrazgo
2011	53677047	10776,3595663521	31	Sierra de Albarracín
2011	97336870	11485,1764011799	32	Gúdar-Javalambre
2011	89626707	10179,0695059625	33	Matarraña / Matarranya
2010	364718460	19541,2805400772	01	La Jacetania
2010	257254750	17241,1198981302	02	Alto Gállego
2010	119323265	15460,3867582275	03	Sobrarbe
2010	193883882	14390,5501373117	04	La Ribagorza
2010	420298280	12609,8310881762	05	Cinco Villas
2010	1254770924	18337,0977377682	06	Hoya de Huesca / Plana de Uesca
2010	384668337	15758,6373207702	07	Somontano de Barbastro
2010	350492383	14572,8819175918	08	Cinca Medio
2010	256530596	13388,1632482647	09	La Litera / La Llitera
2010	229667768	10966,8497755706	10	Los Monegros
2010	333169482	13505,0458856911	11	Bajo Cinca / Baix Cinca
2010	184379518	12517,2788866259	12	Tarazona y el Moncayo
2010	180314179	11620,4278533222	13	Campo de Borja
2010	82665679	10852,7870552711	14	Aranda
2010	362569493	13029,4136270529	15	Ribera Alta del Ebro
2010	348483205	11413,3300036027	16	Valdejalón
2010	12657816999	16951,2453801229	17	D.C. Zaragoza
2010	112031840	11852,7126534067	18	Ribera Baja del Ebro
2010	170065496	11325,6190729888	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2010	517957380	12328,5026063361	20	Comunidad de Calatayud
2010	114258373	10226,2931173364	21	Campo de Cariñena
2010	44405817	8442,17053231939	22	Campo de Belchite
2010	78363585	10982,9831814996	23	Bajo Martín
2010	71703990	11580,101744186	24	Campo de Daroca
2010	156477292	11064,7215386791	25	Jiloca
2010	119360191	13125,1584561249	26	Cuencas Mineras
2010	175017421	15188,5291156817	27	Andorra-Sierra de Arcos
2010	453486387	14961,1159974927	28	Bajo Aragón
2010	767662133	16348,1937304342	29	Comunidad de Teruel
2010	38841507	10549,0241716458	30	Maestrazgo
2010	52194464	10587,1123732252	31	Sierra de Albarracín
2010	97884754	11368,7286875726	32	Gúdar-Javalambre
2010	89179177	10028,0194535028	33	Matarraña / Matarranya
