Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1989	22052	Belver de Cinca	258	254	248	4	2
1989	22053	Benabarre	225	205	179	25	1
1989	22054	Benasque	61	57	57	0	0
1989	22055	Berbegal	91	88	88	0	0
1989	22057	Bielsa	95	89	88	1	0
1989	22058	Bierge	179	171	171	0	0
1989	22059	Biescas	200	177	164	13	0
1989	22060	Binaced	236	230	215	13	2
1989	22061	Binéfar	179	174	169	5	0
1989	22062	Bisaurri	71	54	54	0	0
1989	22063	Biscarrués	70	70	70	0	0
1989	22064	Blecua y Torres	59	55	55	0	0
1989	22066	Boltaña	88	82	82	0	0
1989	22067	Bonansa	20	15	15	0	0
1989	22068	Borau	30	28	28	0	0
1989	22069	Broto	149	141	135	6	0
1989	22072	Caldearenas	63	57	51	6	0
1989	22074	Campo	40	35	35	0	0
1989	22075	Camporrells	126	123	114	9	0
1989	22076	Canal de Berdún	118	115	115	0	0
1989	22077	Candasnos	93	91	91	0	0
1989	22078	Canfranc	5	3	3	0	0
1989	22079	Capdesaso	46	44	44	0	0
1989	22080	Capella	155	144	144	0	0
1989	22081	Casbas de Huesca	149	141	141	0	0
1989	22082	Castejón del Puente	81	79	79	0	0
1989	22083	Castejón de Monegros	171	167	162	4	1
1989	22084	Castejón de Sos	68	59	59	0	0
1989	22085	Castelflorite	54	52	51	1	0
1989	22086	Castiello de Jaca	23	21	21	0	0
1989	22087	Castigaleu	24	23	20	3	0
1989	22088	Castillazuelo	90	89	89	0	0
1989	22089	Castillonroy	99	97	90	7	0
1989	22090	Colungo	67	65	63	2	0
1989	22094	Chalamera	39	37	35	2	0
1989	22095	Chía	27	24	24	0	0
1989	22096	Chimillas	20	19	19	0	0
1989	22099	Esplús	167	159	155	4	0
1989	22102	Estada	66	63	63	0	0
1989	22103	Estadilla	174	166	165	1	0
1989	22105	Estopiñán del Castillo	105	101	100	1	0
1989	22106	Fago	8	8	8	0	0
1989	22107	Fanlo	26	13	13	0	0
1989	22109	Fiscal	89	82	82	0	0
1989	22110	Fonz	224	220	219	0	1
1989	22111	Foradada del Toscar	67	55	54	1	0
1989	22112	Fraga	1166	1153	1135	18	0
1989	22113	Fueva (La)	257	226	217	9	0
1989	22114	Gistaín	67	66	66	0	0
1989	22115	Grado (El)	226	214	213	1	0
1989	22116	Grañén	264	253	249	4	0
1989	22117	Graus	486	451	443	8	0
1989	22119	Gurrea de Gállego	300	290	283	7	0
1989	22122	Hoz de Jaca	19	18	18	0	0
1989	22124	Huerto	92	86	83	2	1
1989	22125	Huesca	229	215	213	2	0
1989	22126	Ibieca	33	31	29	2	0
1989	22127	Igriés	32	25	25	0	0
1989	22128	Ilche	84	81	81	0	0
1989	22129	Isábena	66	59	55	4	0
1989	22130	Jaca	327	317	312	5	0
1989	22131	Jasa	14	13	13	0	0
1989	22133	Labuerda	48	45	45	0	0
1989	22135	Laluenga	79	78	77	1	0
1989	22136	Lalueza	312	305	293	12	0
1989	22137	Lanaja	295	290	287	3	0
1989	22139	Laperdiguera	25	24	22	2	0
1989	22141	Lascellas-Ponzano	51	51	51	0	0
1989	22142	Lascuarre	44	41	41	0	0
1989	22143	Laspaúles	74	62	62	0	0
1989	22144	Laspuña	64	62	62	0	0
1989	22149	Loarre	133	126	126	0	0
1989	22150	Loporzano	186	174	165	9	0
1989	22151	Loscorrales	48	47	47	0	0
1989	22155	Monesma y Cajigar	32	27	26	1	0
1989	22156	Monflorite-Lascasas	45	41	33	8	0
1989	22157	Montanuy	102	85	85	0	0
1989	22158	Monzón	829	806	790	15	1
1989	22160	Naval	94	85	85	0	0
1989	22162	Novales	38	37	37	0	0
1989	22163	Nueno	86	76	73	2	1
1989	22164	Olvena	30	28	28	0	0
1989	22165	Ontiñena	135	133	132	0	1
1989	22167	Osso de Cinca	145	139	136	3	0
1989	22168	Palo	35	32	32	0	0
1989	22170	Panticosa	65	59	57	1	1
1989	22172	Peñalba	116	112	106	4	2
1989	22173	Peñas de Riglos (Las)	99	88	88	0	0
1989	22174	Peralta de Alcofea	117	114	114	0	0
1989	22175	Peralta de Calasanz	227	219	217	2	0
1989	22176	Peraltilla	46	45	45	0	0
1989	22177	Perarrúa	64	56	55	1	0
1989	22178	Pertusa	27	25	25	0	0
1989	22181	Piracés	23	22	22	0	0
1989	22182	Plan	77	72	72	0	0
1989	22184	Poleñino	56	53	53	0	0
1989	22186	Pozán de Vero	93	90	90	0	0
1989	22187	Puebla de Castro (La)	96	93	93	0	0
1989	22188	Puente de Montañana	26	23	20	3	0
1989	22189	Puértolas	67	54	54	0	0
1989	22190	Pueyo de Araguás (El)	57	49	49	0	0
1989	22193	Pueyo de Santa Cruz	77	74	73	0	1
1989	22195	Quicena	12	9	8	1	0
1989	22197	Robres	117	116	115	0	1
1989	22199	Sabiñánigo	298	262	188	55	19
1989	22200	Sahún	59	52	52	0	0
1989	22201	Salas Altas	128	126	124	2	0
1989	22202	Salas Bajas	76	74	74	0	0
1989	22203	Salillas	34	31	31	0	0
1989	22204	Sallent de Gállego	88	82	77	5	0
1989	22205	San Esteban de Litera	269	260	258	2	0
1989	22206	Sangarrén	77	69	64	4	1
1989	22207	San Juan de Plan	35	32	32	0	0
1989	22208	Santa Cilia	47	43	43	0	0
1989	22209	Santa Cruz de la Serós	35	32	31	1	0
1989	22212	Santaliestra y San Quílez	30	25	25	0	0
1989	22213	Sariñena	488	475	468	6	1
1989	22214	Secastilla	63	55	55	0	0
1989	22215	Seira	39	28	28	0	0
1989	22217	Sena	146	141	139	1	1
1989	22218	Senés de Alcubierre	22	20	20	0	0
1989	22220	Sesa	59	56	56	0	0
1989	22221	Sesué	19	17	17	0	0
1989	22222	Siétamo	91	86	80	6	0
1989	22223	Sopeira	33	29	29	0	0
1989	22225	Tamarite de Litera	577	561	559	1	1
1989	22226	Tardienta	216	212	208	4	0
1989	22227	Tella-Sin	56	49	49	0	0
1989	22228	Tierz	20	17	16	1	0
1989	22229	Tolva	77	69	65	4	0
1989	22230	Torla-Ordesa	55	49	49	0	0
1989	22232	Torralba de Aragón	46	42	41	1	0
1989	22233	Torre la Ribera	29	22	21	1	0
1989	22234	Torrente de Cinca	112	108	107	0	1
1989	22235	Torres de Alcanadre	29	29	28	1	0
1989	22236	Torres de Barbués	53	52	51	1	0
1989	22239	Tramaced	37	33	33	0	0
1989	22242	Valfarta	33	30	29	0	1
1989	22243	Valle de Bardají	20	14	14	0	0
1989	22244	Valle de Lierp	18	13	13	0	0
1989	22245	Velilla de Cinca	74	71	71	0	0
1989	22246	Beranuy	35	29	26	3	0
1989	22247	Viacamp y Litera	30	23	20	3	0
1989	22248	Vicién	10	8	4	4	0
1989	22249	Villanova	9	8	8	0	0
1989	22250	Villanúa	26	23	23	0	0
1989	22251	Villanueva de Sigena	108	100	98	1	1
1989	22252	Yebra de Basa	32	24	23	1	0
1989	22253	Yésero	22	18	15	3	0
1989	22254	Zaidín	356	348	346	1	1
1989	22901	Valle de Hecho	191	190	175	15	0
1989	22902	Puente la Reina de Jaca	72	68	67	1	0
1989	22903	San Miguel del Cinca	275	268	266	2	0
1989	22904	Sotonera (La)	410	401	397	3	1
1989	22905	Lupiñén-Ortilla	109	102	102	0	0
1989	22906	Santa María de Dulcis	82	80	79	1	0
1989	22907	Aínsa-Sobrarbe	183	159	159	0	0
1989	22908	Hoz y Costeán	168	166	163	3	0
1989	22909	Vencillón	83	82	82	0	0
1989	44001	Ababuj	32	29	28	1	0
1989	44002	Abejuela	22	20	20	0	0
1989	44003	Aguatón	12	11	11	0	0
1989	44004	Aguaviva	153	151	151	0	0
1989	44005	Aguilar del Alfambra	34	31	28	3	0
1989	44006	Alacón	117	113	112	1	0
1989	44007	Alba	72	68	67	1	0
1989	44008	Albalate del Arzobispo	366	359	357	1	1
1989	44009	Albarracín	101	79	69	8	2
1989	44010	Albentosa	165	158	158	0	0
1989	44011	Alcaine	32	29	28	1	0
1989	44012	Alcalá de la Selva	208	181	179	2	0
1989	44013	Alcañiz	892	868	859	2	7
1989	44014	Alcorisa	494	484	483	1	0
1989	44016	Alfambra	164	159	159	0	0
1989	44017	Aliaga	167	153	153	0	0
1989	44018	Almohaja	7	5	5	0	0
1989	44019	Alobras	38	36	35	1	0
1989	44020	Alpeñés	23	20	20	0	0
1989	44021	Allepuz	100	94	90	4	0
1989	44022	Alloza	172	169	169	0	0
1989	44023	Allueva	6	2	2	0	0
1989	44024	Anadón	8	6	6	0	0
1989	44025	Andorra	314	312	294	18	0
1989	44026	Arcos de las Salinas	52	51	51	0	0
1989	44027	Arens de Lledó	91	89	88	1	0
1989	44028	Argente	72	70	70	0	0
1989	44029	Ariño	189	186	186	0	0
1989	44031	Azaila	51	50	50	0	0
1989	44032	Bádenas	13	8	8	0	0
1989	44033	Báguena	211	207	194	13	0
1989	44034	Bañón	46	40	40	0	0
1989	44035	Barrachina	49	46	46	0	0
1989	44036	Bea	17	12	12	0	0
1989	44037	Beceite	222	208	208	0	0
1989	44038	Belmonte de San José	114	112	112	0	0
1989	44039	Bello	96	94	86	8	0
1989	44040	Berge	85	84	84	0	0
1989	44041	Bezas	16	14	14	0	0
1989	44042	Blancas	51	48	48	0	0
1989	44043	Blesa	55	50	50	0	0
1989	44044	Bordón	47	45	45	0	0
1989	44045	Bronchales	75	73	73	0	0
1989	44046	Bueña	44	42	42	0	0
1989	44047	Burbáguena	250	241	204	36	1
1989	44048	Cabra de Mora	58	46	43	3	0
1989	44049	Calaceite	360	357	345	11	1
1989	44050	Calamocha	864	828	818	10	0
1989	44051	Calanda	402	396	393	2	1
1989	44052	Calomarde	25	23	23	0	0
1989	44053	Camañas	46	44	44	0	0
1989	44054	Camarena de la Sierra	210	208	208	0	0
1989	44055	Camarillas	70	67	67	0	0
1989	44056	Caminreal	150	148	148	0	0
1989	44059	Cantavieja	104	100	100	0	0
1989	44060	Cañada de Benatanduz	30	26	26	0	0
1989	44061	Cañada de Verich (La)	66	61	61	0	0
1989	44062	Cañada Vellida	26	24	24	0	0
1989	44063	Cañizar del Olivar	61	58	55	3	0
1989	44064	Cascante del Río	215	212	212	0	0
1989	44065	Castejón de Tornos	32	28	27	1	0
1989	44066	Castel de Cabra	50	47	45	2	0
1989	44067	Castelnou	31	27	27	0	0
1989	44068	Castelserás	149	147	147	0	0
1989	44070	Castellar (El)	42	38	38	0	0
1989	44071	Castellote	415	387	387	0	0
1989	44074	Cedrillas	152	145	145	0	0
1989	44075	Celadas	123	121	118	3	0
1989	44076	Cella	512	501	483	18	0
1989	44077	Cerollera (La)	56	54	54	0	0
1989	44080	Codoñera (La)	71	70	70	0	0
1989	44082	Corbalán	34	33	33	0	0
1989	44084	Cortes de Aragón	22	20	19	1	0
1989	44085	Cosa	33	29	29	0	0
1989	44086	Cretas	266	264	252	10	2
1989	44087	Crivillén	103	97	97	0	0
1989	44088	Cuba (La)	25	23	23	0	0
1989	44089	Cubla	129	127	127	0	0
1989	44090	Cucalón	15	13	13	0	0
1989	44092	Cuervo (El)	56	53	51	2	0
1989	44093	Cuevas de Almudén	31	29	29	0	0
1989	44094	Cuevas Labradas	50	46	46	0	0
1989	44096	Ejulve	318	311	296	15	0
1989	44097	Escorihuela	74	68	66	2	0
1989	44099	Escucha	89	85	84	1	0
1989	44100	Estercuel	130	127	126	0	1
1989	44101	Ferreruela de Huerva	30	26	26	0	0
1989	44102	Fonfría	14	11	11	0	0
1989	44103	Formiche Alto	54	49	49	0	0
1989	44105	Fórnoles	221	218	207	11	0
1989	44106	Fortanete	102	100	99	0	1
1989	44107	Foz-Calanda	65	63	62	1	0
1989	44108	Fresneda (La)	310	309	304	5	0
1989	44109	Frías de Albarracín	37	34	34	0	0
1989	44110	Fuenferrada	30	27	27	0	0
1989	44111	Fuentes Calientes	44	43	43	0	0
1989	44112	Fuentes Claras	158	153	152	1	0
1989	44113	Fuentes de Rubielos	93	78	78	0	0
1989	44114	Fuentespalda	154	149	149	0	0
1989	44115	Galve	42	40	38	2	0
1989	44116	Gargallo	99	95	95	0	0
1989	44117	Gea de Albarracín	128	125	121	4	0
1989	44118	Ginebrosa (La)	164	157	157	0	0
1989	44119	Griegos	35	32	32	0	0
1989	44120	Guadalaviar	53	49	49	0	0
1989	44121	Gúdar	71	54	50	4	0
1989	44122	Híjar	373	364	361	0	3
1989	44123	Hinojosa de Jarque	52	51	51	0	0
1989	44124	Hoz de la Vieja (La)	90	87	87	0	0
1989	44125	Huesa del Común	54	48	48	0	0
1989	44126	Iglesuela del Cid (La)	131	126	126	0	0
1989	44127	Jabaloyas	35	33	33	0	0
1989	44128	Jarque de la Val	27	24	23	1	0
1989	44129	Jatiel	10	9	9	0	0
1989	44130	Jorcas	22	20	19	1	0
1989	44131	Josa	60	58	58	0	0
1989	44132	Lagueruela	27	22	22	0	0
1989	44133	Lanzuela	19	16	16	0	0
1989	44135	Libros	134	132	123	9	0
1989	44136	Lidón	25	23	23	0	0
1989	44137	Linares de Mora	125	119	116	3	0
1989	44138	Loscos	58	54	54	0	0
1989	44141	Lledó	61	61	60	1	0
1989	44142	Maicas	34	32	32	0	0
1989	44143	Manzanera	209	203	197	6	0
1989	44144	Martín del Río	115	109	109	0	0
1989	44145	Mas de las Matas	144	140	140	0	0
1989	44146	Mata de los Olmos (La)	58	49	49	0	0
1989	44147	Mazaleón	222	220	216	4	0
1989	44148	Mezquita de Jarque	30	27	26	1	0
1989	44149	Mirambel	42	39	39	0	0
1989	44150	Miravete de la Sierra	45	41	41	0	0
1989	44151	Molinos	109	107	107	0	0
1989	44152	Monforte de Moyuela	39	35	35	0	0
1989	44153	Monreal del Campo	281	278	278	0	0
1989	44154	Monroyo	133	125	125	0	0
1989	44155	Montalbán	146	138	130	8	0
1989	44156	Monteagudo del Castillo	38	34	33	1	0
1989	44157	Monterde de Albarracín	19	18	18	0	0
1989	44158	Mora de Rubielos	322	310	307	3	0
1989	44159	Moscardón	17	15	15	0	0
1989	44160	Mosqueruela	230	222	222	0	0
1989	44161	Muniesa	152	149	147	2	0
1989	44163	Noguera de Albarracín	48	44	44	0	0
1989	44164	Nogueras	16	12	12	0	0
1989	44165	Nogueruelas	124	120	119	1	0
1989	44167	Obón	89	87	87	0	0
1989	44168	Odón	82	80	78	2	0
1989	44169	Ojos Negros	92	90	90	0	0
1989	44171	Olba	310	305	305	0	0
1989	44172	Oliete	265	256	251	4	1
1989	44173	Olmos (Los)	77	70	70	0	0
1989	44174	Orihuela del Tremedal	44	41	41	0	0
1989	44175	Orrios	65	61	61	0	0
1989	44176	Palomar de Arroyos	55	53	53	0	0
1989	44177	Pancrudo	84	80	80	0	0
1989	44178	Parras de Castellote (Las)	41	40	40	0	0
1989	44179	Peñarroya de Tastavins	189	178	176	1	1
1989	44180	Peracense	19	17	17	0	0
1989	44181	Peralejos	30	26	26	0	0
1989	44182	Perales del Alfambra	106	99	98	1	0
1989	44183	Pitarque	101	97	97	0	0
1989	44184	Plou	20	18	18	0	0
1989	44185	Pobo (El)	60	57	57	0	0
1989	44187	Portellada (La)	70	70	69	1	0
1989	44189	Pozondón	36	34	34	0	0
1989	44190	Pozuel del Campo	26	22	22	0	0
1989	44191	Puebla de Híjar (La)	136	131	130	1	0
1989	44192	Puebla de Valverde (La)	294	284	281	3	0
1989	44193	Puertomingalvo	101	97	97	0	0
1989	44194	Ráfales	72	72	71	1	0
1989	44195	Rillo	33	30	30	0	0
1989	44196	Riodeva	282	278	275	3	0
1989	44197	Ródenas	41	38	38	0	0
1989	44198	Royuela	46	44	44	0	0
1989	44199	Rubiales	51	49	49	0	0
1989	44200	Rubielos de la Cérida	21	17	17	0	0
1989	44201	Rubielos de Mora	287	271	269	1	1
1989	44203	Salcedillo	6	4	4	0	0
1989	44204	Saldón	23	19	19	0	0
1989	44205	Samper de Calanda	214	210	205	5	0
1989	44206	San Agustín	190	185	184	1	0
1989	44207	San Martín del Río	184	184	183	0	1
1989	44208	Santa Cruz de Nogueras	13	12	12	0	0
1989	44209	Santa Eulalia	131	127	126	1	0
1989	44210	Sarrión	277	273	272	1	0
1989	44211	Segura de los Baños	24	20	19	0	1
1989	44212	Seno	50	49	49	0	0
1989	44213	Singra	31	28	28	0	0
1989	44215	Terriente	59	55	54	1	0
1989	44216	Teruel	505	476	473	3	0
1989	44217	Toril y Masegoso	12	10	10	0	0
1989	44218	Tormón	16	12	11	1	0
1989	44219	Tornos	77	73	71	2	0
1989	44220	Torralba de los Sisones	63	60	60	0	0
1989	44221	Torrecilla de Alcañiz	91	90	89	1	0
1989	44222	Torrecilla del Rebollar	43	38	37	1	0
1989	44223	Torre de Arcas	36	28	28	0	0
1989	44224	Torre de las Arcas	25	22	22	0	0
1989	44225	Torre del Compte	118	115	112	3	0
1989	44226	Torrelacárcel	73	71	70	1	0
1989	44227	Torre los Negros	41	38	38	0	0
1989	44228	Torremocha de Jiloca	47	46	46	0	0
1989	44229	Torres de Albarracín	39	36	36	0	0
1989	44230	Torrevelilla	93	92	92	0	0
1989	44231	Torrijas	34	33	31	2	0
1989	44232	Torrijo del Campo	141	140	140	0	0
1989	44234	Tramacastiel	175	169	169	0	0
1989	44235	Tramacastilla	25	20	20	0	0
1989	44236	Tronchón	49	46	46	0	0
1989	44237	Urrea de Gaén	142	139	139	0	0
1989	44238	Utrillas	72	66	64	2	0
1989	44239	Valacloche	68	65	65	0	0
1989	44240	Valbona	101	93	91	2	0
1989	44241	Valdealgorfa	208	205	195	10	0
1989	44243	Valdecuenca	6	5	5	0	0
1989	44244	Valdelinares	57	53	53	0	0
1989	44245	Valdeltormo	33	32	30	2	0
1989	44246	Valderrobres	389	384	363	21	0
1989	44247	Valjunquera	124	121	113	8	0
1989	44249	Vallecillo (El)	10	8	8	0	0
1989	44250	Veguillas de la Sierra	12	11	11	0	0
1989	44251	Villafranca del Campo	97	93	93	0	0
1989	44252	Villahermosa del Campo	26	23	23	0	0
1989	44256	Villanueva del Rebollar de la Sierra	13	11	11	0	0
1989	44257	Villar del Cobo	60	54	54	0	0
1989	44258	Villar del Salz	46	43	43	0	0
1989	44260	Villarluengo	93	85	84	0	1
1989	44261	Villarquemado	226	224	224	0	0
1989	44262	Villarroya de los Pinares	72	68	66	2	0
1989	44263	Villastar	64	60	59	1	0
1989	44264	Villel	412	401	400	1	0
1989	44265	Vinaceite	89	86	86	0	0
1989	44266	Visiedo	59	56	56	0	0
1989	44267	Vivel del Río Martín	34	29	29	0	0
1989	44268	Zoma (La)	29	26	26	0	0
1989	50001	Abanto	46	43	43	0	0
1989	50002	Acered	129	127	123	4	0
1989	50003	Agón	52	50	50	0	0
1989	50004	Aguarón	297	294	294	0	0
1989	50005	Aguilón	123	121	116	5	0
1989	50006	Ainzón	325	320	319	1	0
1989	50007	Aladrén	101	95	91	4	0
1989	50008	Alagón	772	765	760	4	1
1989	50009	Alarba	88	85	83	1	1
1989	50010	Alberite de San Juan	19	18	18	0	0
1989	50011	Albeta	5	4	4	0	0
1989	50012	Alborge	11	10	10	0	0
1989	50013	Alcalá de Ebro	112	111	111	0	0
1989	50014	Alcalá de Moncayo	47	45	45	0	0
1989	50015	Alconchel de Ariza	67	65	65	0	0
1989	50016	Aldehuela de Liestos	17	16	16	0	0
1989	50017	Alfajarín	237	232	229	3	0
1989	50018	Alfamén	357	355	348	5	2
1989	50019	Alforque	38	36	36	0	0
1989	50020	Alhama de Aragón	118	114	114	0	0
1989	50021	Almochuel	13	12	12	0	0
1989	50022	Almolda (La)	227	219	206	13	0
1989	50023	Almonacid de la Cuba	100	97	97	0	0
1989	50024	Almonacid de la Sierra	358	354	339	14	1
1989	50025	Almunia de Doña Godina (La)	840	835	744	89	2
1989	50026	Alpartir	243	239	193	46	0
1989	50027	Ambel	187	183	153	28	2
1989	50028	Anento	20	17	17	0	0
1989	50029	Aniñón	322	319	319	0	0
1989	50030	Añón de Moncayo	101	100	100	0	0
1989	50031	Aranda de Moncayo	96	94	94	0	0
1989	50032	Arándiga	228	220	216	4	0
1989	50033	Ardisa	38	36	36	0	0
1989	50034	Ariza	265	256	247	4	5
1989	50035	Artieda	14	11	9	2	0
1989	50036	Asín	25	23	23	0	0
1989	50037	Atea	187	184	170	14	0
1989	50038	Ateca	441	434	316	115	3
1989	50039	Azuara	211	209	208	0	1
1989	50040	Badules	31	28	28	0	0
1989	50041	Bagüés	31	27	27	0	0
1989	50042	Balconchán	24	22	21	0	1
1989	50043	Bárboles	70	69	69	0	0
1989	50044	Bardallur	78	76	74	2	0
1989	50045	Belchite	501	499	499	0	0
1989	50046	Belmonte de Gracián	123	120	120	0	0
1989	50047	Berdejo	17	15	14	1	0
1989	50048	Berrueco	14	12	12	0	0
1989	50050	Bijuesca	84	81	81	0	0
1989	50051	Biota	325	319	282	37	0
1989	50052	Bisimbre	37	36	36	0	0
1989	50053	Boquiñeni	275	270	262	8	0
1989	50054	Bordalba	31	29	29	0	0
1989	50055	Borja	579	576	574	1	1
1989	50056	Botorrita	34	32	32	0	0
1989	50057	Brea de Aragón	157	156	146	10	0
1989	50058	Bubierca	56	52	51	0	1
1989	50059	Bujaraloz	196	195	193	2	0
1989	50060	Bulbuente	231	228	228	0	0
1989	50061	Bureta	78	77	74	3	0
1989	50062	Burgo de Ebro (El)	336	322	318	3	1
1989	50063	Buste (El)	22	21	21	0	0
1989	50064	Cabañas de Ebro	119	118	116	2	0
1989	50065	Cabolafuente	34	33	33	0	0
1989	50066	Cadrete	65	64	64	0	0
1989	50067	Calatayud	726	712	653	33	26
1989	50068	Calatorao	678	672	650	21	1
1989	50069	Calcena	49	47	47	0	0
1989	50070	Calmarza	30	28	28	0	0
1989	50071	Campillo de Aragón	75	74	74	0	0
1989	50072	Carenas	116	113	113	0	0
1989	50073	Cariñena	646	637	570	66	1
1989	50074	Caspe	1179	1157	1156	0	1
1989	50075	Castejón de Alarba	62	59	59	0	0
1989	50076	Castejón de las Armas	85	84	82	2	0
1989	50077	Castejón de Valdejasa	155	153	153	0	0
1989	50078	Castiliscar	146	143	143	0	0
1989	50079	Cervera de la Cañada	168	164	163	1	0
1989	50080	Cerveruela	5	2	2	0	0
1989	50081	Cetina	207	203	196	7	0
1989	50082	Cimballa	41	38	38	0	0
1989	50083	Cinco Olivas	6	6	6	0	0
1989	50084	Clarés de Ribota	85	84	84	0	0
1989	50085	Codo	22	21	21	0	0
1989	50086	Codos	248	245	245	0	0
1989	50087	Contamina	30	29	29	0	0
1989	50088	Cosuenda	245	243	229	14	0
1989	50089	Cuarte de Huerva	26	25	25	0	0
1989	50090	Cubel	50	48	47	1	0
1989	50091	Cuerlas (Las)	25	23	23	0	0
1989	50092	Chiprana	40	36	36	0	0
1989	50093	Chodes	91	90	87	3	0
1989	50094	Daroca	240	238	230	8	0
1989	50095	Ejea de los Caballeros	3116	3084	2243	810	31
1989	50096	Embid de Ariza	26	23	23	0	0
1989	50098	Encinacorba	175	171	170	1	0
1989	50099	Épila	792	779	643	132	4
1989	50100	Erla	50	47	43	3	1
1989	50101	Escatrón	281	278	278	0	0
1989	50102	Fabara	299	296	296	0	0
1989	50104	Farlete	114	111	109	2	0
1989	50105	Fayón	97	93	91	2	0
1989	50106	Fayos (Los)	79	75	75	0	0
1989	50107	Figueruelas	112	110	109	1	0
1989	50108	Fombuena	7	5	5	0	0
1989	50109	Frago (El)	35	34	34	0	0
1989	50110	Frasno (El)	365	359	358	1	0
1989	50111	Fréscano	66	63	63	0	0
1989	50113	Fuendejalón	250	245	235	9	1
1989	50114	Fuendetodos	51	50	50	0	0
1989	50115	Fuentes de Ebro	591	586	585	1	0
1989	50116	Fuentes de Jiloca	144	141	141	0	0
1989	50117	Gallocanta	42	39	39	0	0
1989	50118	Gallur	497	487	482	5	0
1989	50119	Gelsa	285	283	283	0	0
1989	50120	Godojos	63	60	59	1	0
1989	50121	Gotor	98	96	96	0	0
1989	50122	Grisel	39	38	38	0	0
1989	50123	Grisén	81	80	79	1	0
1989	50124	Herrera de los Navarros	233	229	229	0	0
1989	50125	Ibdes	223	221	207	14	0
1989	50126	Illueca	277	275	265	10	0
1989	50128	Isuerre	31	29	28	1	0
1989	50129	Jaraba	74	71	69	2	0
1989	50130	Jarque de Moncayo	183	181	175	6	0
1989	50131	Jaulín	57	57	57	0	0
1989	50132	Joyosa (La)	72	71	71	0	0
1989	50133	Lagata	46	43	43	0	0
1989	50134	Langa del Castillo	36	33	33	0	0
1989	50135	Layana	5	5	5	0	0
1989	50136	Lécera	195	190	173	14	3
1989	50137	Leciñena	229	222	211	11	0
1989	50138	Lechón	17	14	14	0	0
1989	50139	Letux	116	114	114	0	0
1989	50140	Litago	60	58	58	0	0
1989	50141	Lituénigo	49	48	48	0	0
1989	50142	Lobera de Onsella	70	67	67	0	0
1989	50143	Longares	307	306	218	88	0
1989	50144	Longás	59	55	55	0	0
1989	50146	Lucena de Jalón	85	80	72	8	0
1989	50147	Luceni	205	199	199	0	0
1989	50148	Luesia	104	101	98	3	0
1989	50149	Luesma	17	15	15	0	0
1989	50150	Lumpiaque	120	119	119	0	0
1989	50151	Luna	585	577	571	6	0
1989	50152	Maella	626	622	622	0	0
1989	50153	Magallón	280	279	276	3	0
1989	50154	Mainar	32	30	29	0	1
1989	50155	Malanquilla	52	50	50	0	0
1989	50156	Maleján	0	0	0	0	0
1989	50157	Malón	108	105	104	1	0
1989	50159	Maluenda	320	317	296	19	2
1989	50160	Mallén	437	435	433	2	0
1989	50161	Manchones	51	50	50	0	0
