Comarca código	Comarca nombre	Plazas garaje	Número de edificios
11	Bajo Cinca / Baix Cinca	01	1411
11	Bajo Cinca / Baix Cinca	02	1302
11	Bajo Cinca / Baix Cinca	03 a 05	641
11	Bajo Cinca / Baix Cinca	06 a 10	86
11	Bajo Cinca / Baix Cinca	11 a 20	18
11	Bajo Cinca / Baix Cinca	21 a 50	10
11	Bajo Cinca / Baix Cinca	50 o más	2
12	Tarazona y el Moncayo	00	3647
12	Tarazona y el Moncayo	01	800
12	Tarazona y el Moncayo	02	103
12	Tarazona y el Moncayo	03 a 05	59
12	Tarazona y el Moncayo	06 a 10	42
12	Tarazona y el Moncayo	11 a 20	18
12	Tarazona y el Moncayo	21 a 50	3
12	Tarazona y el Moncayo	50 o más	1
13	Campo de Borja	00	4075
13	Campo de Borja	01	2217
13	Campo de Borja	02	586
13	Campo de Borja	03 a 05	95
13	Campo de Borja	06 a 10	24
13	Campo de Borja	11 a 20	5
13	Campo de Borja	21 a 50	12
14	Aranda	00	2824
14	Aranda	01	232
14	Aranda	02	74
14	Aranda	03 a 05	34
14	Aranda	06 a 10	18
14	Aranda	11 a 20	8
14	Aranda	21 a 50	3
15	Ribera Alta del Ebro	00	5143
15	Ribera Alta del Ebro	01	2728
15	Ribera Alta del Ebro	02	846
15	Ribera Alta del Ebro	03 a 05	160
15	Ribera Alta del Ebro	06 a 10	60
15	Ribera Alta del Ebro	11 a 20	14
15	Ribera Alta del Ebro	21 a 50	5
16	Valdejalón	00	7161
16	Valdejalón	01	2601
16	Valdejalón	02	642
16	Valdejalón	03 a 05	77
16	Valdejalón	06 a 10	23
16	Valdejalón	11 a 20	15
16	Valdejalón	50 o más	1
17	D.C. Zaragoza	00	30286
17	D.C. Zaragoza	01	10239
17	D.C. Zaragoza	02	4086
17	D.C. Zaragoza	03 a 05	498
17	D.C. Zaragoza	06 a 10	955
17	D.C. Zaragoza	11 a 20	1463
17	D.C. Zaragoza	21 a 50	1615
17	D.C. Zaragoza	50 o más	658
18	Ribera Baja del Ebro	00	2907
18	Ribera Baja del Ebro	01	1612
18	Ribera Baja del Ebro	02	485
18	Ribera Baja del Ebro	03 a 05	119
18	Ribera Baja del Ebro	06 a 10	5
18	Ribera Baja del Ebro	21 a 50	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	00	3727
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	1203
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	435
19	Bajo Aragón-Caspe / Baix Aragó-Casp	03 a 05	170
19	Bajo Aragón-Caspe / Baix Aragó-Casp	06 a 10	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11 a 20	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	21 a 50	11
20	Comunidad de Calatayud	00	15352
20	Comunidad de Calatayud	01	2068
20	Comunidad de Calatayud	02	591
20	Comunidad de Calatayud	03 a 05	149
20	Comunidad de Calatayud	06 a 10	38
20	Comunidad de Calatayud	11 a 20	26
20	Comunidad de Calatayud	21 a 50	24
20	Comunidad de Calatayud	50 o más	11
21	Campo de Cariñena	00	3442
21	Campo de Cariñena	01	769
21	Campo de Cariñena	02	355
21	Campo de Cariñena	03 a 05	131
21	Campo de Cariñena	06 a 10	20
21	Campo de Cariñena	11 a 20	5
21	Campo de Cariñena	21 a 50	3
22	Campo de Belchite	00	2497
22	Campo de Belchite	01	1473
22	Campo de Belchite	02	162
22	Campo de Belchite	03 a 05	23
22	Campo de Belchite	06 a 10	1
22	Campo de Belchite	11 a 20	1
23	Bajo Martín	00	2903
23	Bajo Martín	01	1109
23	Bajo Martín	02	355
23	Bajo Martín	03 a 05	109
23	Bajo Martín	06 a 10	32
23	Bajo Martín	11 a 20	4
24	Campo de Daroca	00	3876
24	Campo de Daroca	01	898
24	Campo de Daroca	02	356
24	Campo de Daroca	03 a 05	100
24	Campo de Daroca	06 a 10	18
24	Campo de Daroca	11 a 20	6
25	Jiloca	00	6893
25	Jiloca	01	2057
25	Jiloca	02	749
25	Jiloca	03 a 05	209
25	Jiloca	06 a 10	40
25	Jiloca	11 a 20	14
26	Cuencas Mineras	00	5043
26	Cuencas Mineras	01	584
26	Cuencas Mineras	02	301
26	Cuencas Mineras	03 a 05	85
26	Cuencas Mineras	06 a 10	25
26	Cuencas Mineras	11 a 20	4
26	Cuencas Mineras	21 a 50	1
27	Andorra-Sierra de Arcos	00	3240
27	Andorra-Sierra de Arcos	01	1092
27	Andorra-Sierra de Arcos	02	409
27	Andorra-Sierra de Arcos	03 a 05	112
27	Andorra-Sierra de Arcos	06 a 10	21
27	Andorra-Sierra de Arcos	11 a 20	3
27	Andorra-Sierra de Arcos	21 a 50	1
28	Bajo Aragón	00	5163
28	Bajo Aragón	01	2571
28	Bajo Aragón	02	977
28	Bajo Aragón	03 a 05	296
28	Bajo Aragón	06 a 10	133
28	Bajo Aragón	11 a 20	73
28	Bajo Aragón	21 a 50	13
28	Bajo Aragón	50 o más	1
29	Comunidad de Teruel	00	8695
29	Comunidad de Teruel	01	2356
29	Comunidad de Teruel	02	1497
29	Comunidad de Teruel	03 a 05	403
29	Comunidad de Teruel	06 a 10	131
29	Comunidad de Teruel	11 a 20	85
29	Comunidad de Teruel	21 a 50	58
29	Comunidad de Teruel	50 o más	10
30	Maestrazgo	00	2388
30	Maestrazgo	01	504
30	Maestrazgo	02	232
30	Maestrazgo	03 a 05	119
30	Maestrazgo	06 a 10	15
30	Maestrazgo	11 a 20	1
31	Sierra de Albarracín	00	3147
31	Sierra de Albarracín	01	771
31	Sierra de Albarracín	02	317
31	Sierra de Albarracín	03 a 05	93
31	Sierra de Albarracín	06 a 10	7
31	Sierra de Albarracín	11 a 20	1
32	Gúdar-Javalambre	00	6739
32	Gúdar-Javalambre	01	960
32	Gúdar-Javalambre	02	491
32	Gúdar-Javalambre	03 a 05	140
32	Gúdar-Javalambre	06 a 10	24
32	Gúdar-Javalambre	11 a 20	2
32	Gúdar-Javalambre	21 a 50	1
33	Matarraña / Matarranya	00	3448
33	Matarraña / Matarranya	01	1566
33	Matarraña / Matarranya	02	520
33	Matarraña / Matarranya	03 a 05	184
33	Matarraña / Matarranya	06 a 10	11
