Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2006	05	Cinco Villas	27635	727994	526158	3360037	3346466
2006	06	Hoya de Huesca / Plana de Uesca	57558	1585241	1283282	10932203	10832468
2006	07	Somontano de Barbastro	19844	499372	407749	2909015	2904203
2006	08	Cinca Medio	17507	322367	317555	2815448	2813262
2006	09	La Litera / La Llitera	14652	280958	264622	2101251	2098293
2006	10	Los Monegros	15845	332866	265814	1660139	1654496
2006	11	Bajo Cinca / Baix Cinca	16035	319327	303949	2361467	2349542
2006	12	Tarazona y el Moncayo	15220	194853	191907	1501599	1489232
2006	13	Campo de Borja	12740	174549	172170	1143960	1142770
2006	14	Aranda	9539	94601	93080	467883	437363
2006	15	Ribera Alta del Ebro	17384	738524	548968	3170806	3156366
2006	16	Valdejalón	20287	498875	498875	3024103	3022919
2006	17	D.C. Zaragoza	469995	19627294	19215080	104858897	104037437
2006	18	Ribera Baja del Ebro	7582	144616	141142	731447	726324
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11739	210958	210958	1494739	1412183
2006	20	Comunidad de Calatayud	46087	722597	662391	3721986	3710001
2006	21	Campo de Cariñena	10032	158367	143455	897456	896789
2006	22	Campo de Belchite	6776	58875	58875	301378	301373
2006	23	Bajo Martín	8068	108726	97502	566433	515183
2006	24	Campo de Daroca	10891	118521	104987	541935	541897
2006	25	Jiloca	19918	231253	229105	1212781	1123415
2006	26	Cuencas Mineras	13402	104828	99023	608658	558665
2006	27	Andorra-Sierra de Arcos	10785	190509	190509	1106544	1026636
2006	28	Bajo Aragón	26662	427024	421323	2888819	2659398
2006	29	Comunidad de Teruel	42399	1024069	1024069	5280324	4697104
2006	30	Maestrazgo	6463	49499	49499	260906	239357
2006	31	Sierra de Albarracín	9526	117803	91031	497596	460946
2006	32	Gúdar-Javalambre	17855	218887	199281	1164035	1067426
2006	33	Matarraña / Matarranya	10162	165550	142976	832612	762132
2007	01	La Jacetania	38288	906642	880182	6566756	6512782
2007	02	Alto Gállego	22929	503602	454303	3336106	3311527
2007	03	Sobrarbe	7899	145980	129230	821835	813699
2007	04	La Ribagorza	16971	414308	317822	2127691	2124277
2007	05	Cinco Villas	28091	763715	575143	3685094	3655336
2007	06	Hoya de Huesca / Plana de Uesca	59161	1627830	1386147	11828314	11720280
2007	07	Somontano de Barbastro	20093	516494	432596	3184820	3156006
2007	08	Cinca Medio	17630	350043	333550	2982721	2981190
2007	09	La Litera / La Llitera	14508	329855	276252	2242125	2239559
