Año	Municipio código	Municipio nombre	Tipo de vehículo	Tipo de vehículo (orden)	Cantidad
2000	22016	Alcampell	Camiones y furgonetas	3	151
2000	22016	Alcampell	Motocicletas	2	41
2000	22016	Alcampell	Otros vehículos	6	11
2000	22016	Alcampell	Tractores industriales	5	1
2000	22016	Alcampell	Turismos	1	392
2000	22017	Alcolea de Cinca	Autobuses	4	0
2000	22017	Alcolea de Cinca	Camiones y furgonetas	3	156
2000	22017	Alcolea de Cinca	Motocicletas	2	35
2000	22017	Alcolea de Cinca	Otros vehículos	6	27
2000	22017	Alcolea de Cinca	Tractores industriales	5	21
2000	22017	Alcolea de Cinca	Turismos	1	525
2000	22018	Alcubierre	Autobuses	4	0
2000	22018	Alcubierre	Camiones y furgonetas	3	60
2000	22018	Alcubierre	Motocicletas	2	5
2000	22018	Alcubierre	Otros vehículos	6	3
2000	22018	Alcubierre	Tractores industriales	5	2
2000	22018	Alcubierre	Turismos	1	189
2000	22019	Alerre	Autobuses	4	0
2000	22019	Alerre	Camiones y furgonetas	3	15
2000	22019	Alerre	Motocicletas	2	4
2000	22019	Alerre	Otros vehículos	6	2
2000	22019	Alerre	Tractores industriales	5	0
2000	22019	Alerre	Turismos	1	93
2000	22020	Alfántega	Autobuses	4	0
2000	22020	Alfántega	Camiones y furgonetas	3	16
2000	22020	Alfántega	Motocicletas	2	5
2000	22020	Alfántega	Otros vehículos	6	0
2000	22020	Alfántega	Tractores industriales	5	0
2000	22020	Alfántega	Turismos	1	47
2000	22021	Almudévar	Autobuses	4	0
2000	22021	Almudévar	Camiones y furgonetas	3	262
2000	22021	Almudévar	Motocicletas	2	53
2000	22021	Almudévar	Otros vehículos	6	25
2000	22021	Almudévar	Tractores industriales	5	7
2000	22021	Almudévar	Turismos	1	1000
2000	22022	Almunia de San Juan	Autobuses	4	0
2000	22022	Almunia de San Juan	Camiones y furgonetas	3	73
2000	22022	Almunia de San Juan	Motocicletas	2	38
2000	22022	Almunia de San Juan	Otros vehículos	6	4
2000	22022	Almunia de San Juan	Tractores industriales	5	1
2000	22022	Almunia de San Juan	Turismos	1	287
2000	22023	Almuniente	Autobuses	4	0
2000	22023	Almuniente	Camiones y furgonetas	3	99
2000	22023	Almuniente	Motocicletas	2	16
2000	22023	Almuniente	Otros vehículos	6	12
2000	22023	Almuniente	Tractores industriales	5	2
2000	22023	Almuniente	Turismos	1	287
2000	22024	Alquézar	Autobuses	4	0
2000	22024	Alquézar	Camiones y furgonetas	3	58
2000	22024	Alquézar	Motocicletas	2	11
2000	22024	Alquézar	Otros vehículos	6	4
2000	22024	Alquézar	Tractores industriales	5	0
2000	22024	Alquézar	Turismos	1	130
2000	22025	Altorricón	Autobuses	4	0
2000	22025	Altorricón	Camiones y furgonetas	3	235
2000	22025	Altorricón	Motocicletas	2	51
2000	22025	Altorricón	Otros vehículos	6	27
2000	22025	Altorricón	Tractores industriales	5	8
2000	22025	Altorricón	Turismos	1	701
2000	22027	Angüés	Autobuses	4	0
2000	22027	Angüés	Camiones y furgonetas	3	63
2000	22027	Angüés	Motocicletas	2	5
2000	22027	Angüés	Otros vehículos	6	12
2000	22027	Angüés	Tractores industriales	5	7
2000	22027	Angüés	Turismos	1	201
2000	22028	Ansó	Autobuses	4	0
2000	22028	Ansó	Camiones y furgonetas	3	69
2000	22028	Ansó	Motocicletas	2	8
2000	22028	Ansó	Otros vehículos	6	4
2000	22028	Ansó	Tractores industriales	5	0
2000	22028	Ansó	Turismos	1	154
2000	22029	Antillón	Autobuses	4	0
2000	22029	Antillón	Camiones y furgonetas	3	13
2000	22029	Antillón	Motocicletas	2	3
2000	22029	Antillón	Otros vehículos	6	2
2000	22029	Antillón	Tractores industriales	5	2
2000	22029	Antillón	Turismos	1	66
2000	22032	Aragüés del Puerto	Autobuses	4	0
2000	22032	Aragüés del Puerto	Camiones y furgonetas	3	13
2000	22032	Aragüés del Puerto	Motocicletas	2	3
2000	22032	Aragüés del Puerto	Otros vehículos	6	0
2000	22032	Aragüés del Puerto	Tractores industriales	5	0
2000	22032	Aragüés del Puerto	Turismos	1	44
2000	22035	Arén	Autobuses	4	0
2000	22035	Arén	Camiones y furgonetas	3	82
2000	22035	Arén	Motocicletas	2	11
2000	22035	Arén	Otros vehículos	6	3
2000	22035	Arén	Tractores industriales	5	0
2000	22035	Arén	Turismos	1	148
2000	22036	Argavieso	Autobuses	4	0
2000	22036	Argavieso	Camiones y furgonetas	3	8
2000	22036	Argavieso	Motocicletas	2	6
2000	22036	Argavieso	Otros vehículos	6	0
2000	22036	Argavieso	Tractores industriales	5	0
2000	22036	Argavieso	Turismos	1	54
2000	22037	Arguis	Autobuses	4	0
2000	22037	Arguis	Camiones y furgonetas	3	6
2000	22037	Arguis	Motocicletas	2	3
2000	22037	Arguis	Otros vehículos	6	0
2000	22037	Arguis	Tractores industriales	5	0
2000	22037	Arguis	Turismos	1	24
2000	22039	Ayerbe	Autobuses	4	3
2000	22039	Ayerbe	Camiones y furgonetas	3	161
2000	22039	Ayerbe	Motocicletas	2	30
2000	22039	Ayerbe	Otros vehículos	6	29
2000	22039	Ayerbe	Tractores industriales	5	7
2000	22039	Ayerbe	Turismos	1	363
2000	22040	Azanuy-Alins	Autobuses	4	0
2000	22040	Azanuy-Alins	Camiones y furgonetas	3	30
2000	22040	Azanuy-Alins	Motocicletas	2	5
2000	22040	Azanuy-Alins	Otros vehículos	6	0
2000	22040	Azanuy-Alins	Tractores industriales	5	0
2000	22040	Azanuy-Alins	Turismos	1	83
2000	22041	Azara	Autobuses	4	0
2000	22041	Azara	Camiones y furgonetas	3	33
2000	22041	Azara	Motocicletas	2	2
2000	22041	Azara	Otros vehículos	6	0
2000	22041	Azara	Tractores industriales	5	0
2000	22041	Azara	Turismos	1	97
2000	22042	Azlor	Autobuses	4	0
2000	22042	Azlor	Camiones y furgonetas	3	13
2000	22042	Azlor	Motocicletas	2	3
2000	22042	Azlor	Otros vehículos	6	0
2000	22042	Azlor	Tractores industriales	5	0
2000	22042	Azlor	Turismos	1	63
2000	22043	Baells	Autobuses	4	0
2000	22043	Baells	Camiones y furgonetas	3	22
2000	22043	Baells	Motocicletas	2	4
2000	22043	Baells	Otros vehículos	6	1
2000	22043	Baells	Tractores industriales	5	0
2000	22043	Baells	Turismos	1	61
2000	22044	Bailo	Autobuses	4	0
2000	22044	Bailo	Camiones y furgonetas	3	57
2000	22044	Bailo	Motocicletas	2	6
2000	22044	Bailo	Otros vehículos	6	9
2000	22044	Bailo	Tractores industriales	5	1
2000	22044	Bailo	Turismos	1	148
2000	22045	Baldellou	Autobuses	4	0
2000	22045	Baldellou	Camiones y furgonetas	3	25
2000	22045	Baldellou	Motocicletas	2	7
2000	22045	Baldellou	Otros vehículos	6	1
2000	22045	Baldellou	Tractores industriales	5	0
2000	22045	Baldellou	Turismos	1	64
2000	22046	Ballobar	Autobuses	4	0
2000	22046	Ballobar	Camiones y furgonetas	3	167
2000	22046	Ballobar	Motocicletas	2	40
2000	22046	Ballobar	Otros vehículos	6	10
2000	22046	Ballobar	Tractores industriales	5	2
2000	22046	Ballobar	Turismos	1	292
2000	22047	Banastás	Autobuses	4	0
2000	22047	Banastás	Camiones y furgonetas	3	25
2000	22047	Banastás	Motocicletas	2	5
2000	22047	Banastás	Otros vehículos	6	0
2000	22047	Banastás	Tractores industriales	5	0
2000	22047	Banastás	Turismos	1	78
2000	22048	Barbastro	Autobuses	4	33
2000	22048	Barbastro	Camiones y furgonetas	3	1736
2000	22048	Barbastro	Motocicletas	2	660
2000	22048	Barbastro	Otros vehículos	6	275
2000	22048	Barbastro	Tractores industriales	5	88
2000	22048	Barbastro	Turismos	1	6496
2000	22049	Barbués	Autobuses	4	0
2000	22049	Barbués	Camiones y furgonetas	3	12
2000	22049	Barbués	Motocicletas	2	5
2000	22049	Barbués	Otros vehículos	6	1
2000	22049	Barbués	Tractores industriales	5	1
2000	22049	Barbués	Turismos	1	60
2000	22050	Barbuñales	Autobuses	4	0
2000	22050	Barbuñales	Camiones y furgonetas	3	12
2000	22050	Barbuñales	Motocicletas	2	6
2000	22050	Barbuñales	Otros vehículos	6	0
2000	22050	Barbuñales	Tractores industriales	5	0
2000	22050	Barbuñales	Turismos	1	59
2000	22051	Bárcabo	Autobuses	4	0
2000	22051	Bárcabo	Camiones y furgonetas	3	27
2000	22051	Bárcabo	Motocicletas	2	0
2000	22051	Bárcabo	Otros vehículos	6	1
2000	22051	Bárcabo	Tractores industriales	5	0
2000	22051	Bárcabo	Turismos	1	38
2000	22052	Belver de Cinca	Autobuses	4	0
2000	22052	Belver de Cinca	Camiones y furgonetas	3	233
2000	22052	Belver de Cinca	Motocicletas	2	52
2000	22052	Belver de Cinca	Otros vehículos	6	23
2000	22052	Belver de Cinca	Tractores industriales	5	10
2000	22052	Belver de Cinca	Turismos	1	554
2000	22053	Benabarre	Autobuses	4	0
2000	22053	Benabarre	Camiones y furgonetas	3	213
2000	22053	Benabarre	Motocicletas	2	45
2000	22053	Benabarre	Otros vehículos	6	38
2000	22053	Benabarre	Tractores industriales	5	7
2000	22053	Benabarre	Turismos	1	505
2000	22054	Benasque	Autobuses	4	8
2000	22054	Benasque	Camiones y furgonetas	3	250
2000	22054	Benasque	Motocicletas	2	59
2000	22054	Benasque	Otros vehículos	6	35
2000	22054	Benasque	Tractores industriales	5	1
2000	22054	Benasque	Turismos	1	467
2000	22055	Berbegal	Autobuses	4	0
2000	22055	Berbegal	Camiones y furgonetas	3	60
2000	22055	Berbegal	Motocicletas	2	5
2000	22055	Berbegal	Otros vehículos	6	7
2000	22055	Berbegal	Tractores industriales	5	1
2000	22055	Berbegal	Turismos	1	191
2000	22057	Bielsa	Autobuses	4	0
2000	22057	Bielsa	Camiones y furgonetas	3	74
2000	22057	Bielsa	Motocicletas	2	17
2000	22057	Bielsa	Otros vehículos	6	6
2000	22057	Bielsa	Tractores industriales	5	0
2000	22057	Bielsa	Turismos	1	210
2000	22058	Bierge	Autobuses	4	0
2000	22058	Bierge	Camiones y furgonetas	3	52
2000	22058	Bierge	Motocicletas	2	7
2000	22058	Bierge	Otros vehículos	6	3
2000	22058	Bierge	Tractores industriales	5	0
2000	22058	Bierge	Turismos	1	101
2000	22059	Biescas	Autobuses	4	2
2000	22059	Biescas	Camiones y furgonetas	3	191
2000	22059	Biescas	Motocicletas	2	37
2000	22059	Biescas	Otros vehículos	6	20
2000	22059	Biescas	Tractores industriales	5	2
2000	22059	Biescas	Turismos	1	470
2000	22060	Binaced	Autobuses	4	0
2000	22060	Binaced	Camiones y furgonetas	3	296
2000	22060	Binaced	Motocicletas	2	49
2000	22060	Binaced	Otros vehículos	6	24
2000	22060	Binaced	Tractores industriales	5	4
2000	22060	Binaced	Turismos	1	683
2000	22061	Binéfar	Autobuses	4	9
2000	22061	Binéfar	Camiones y furgonetas	3	1266
2000	22061	Binéfar	Motocicletas	2	210
2000	22061	Binéfar	Otros vehículos	6	158
2000	22061	Binéfar	Tractores industriales	5	61
2000	22061	Binéfar	Turismos	1	3572
2000	22062	Bisaurri	Autobuses	4	0
2000	22062	Bisaurri	Camiones y furgonetas	3	57
2000	22062	Bisaurri	Motocicletas	2	6
2000	22062	Bisaurri	Otros vehículos	6	8
2000	22062	Bisaurri	Tractores industriales	5	2
2000	22062	Bisaurri	Turismos	1	83
2000	22063	Biscarrués	Autobuses	4	0
2000	22063	Biscarrués	Camiones y furgonetas	3	35
2000	22063	Biscarrués	Motocicletas	2	4
2000	22063	Biscarrués	Otros vehículos	6	1
2000	22063	Biscarrués	Tractores industriales	5	0
2000	22063	Biscarrués	Turismos	1	119
2000	22064	Blecua y Torres	Autobuses	4	0
2000	22064	Blecua y Torres	Camiones y furgonetas	3	29
2000	22064	Blecua y Torres	Motocicletas	2	5
2000	22064	Blecua y Torres	Otros vehículos	6	1
2000	22064	Blecua y Torres	Tractores industriales	5	0
2000	22064	Blecua y Torres	Turismos	1	104
2000	22066	Boltaña	Autobuses	4	0
2000	22066	Boltaña	Camiones y furgonetas	3	121
2000	22066	Boltaña	Motocicletas	2	26
2000	22066	Boltaña	Otros vehículos	6	17
2000	22066	Boltaña	Tractores industriales	5	1
2000	22066	Boltaña	Turismos	1	323
2000	22067	Bonansa	Autobuses	4	0
2000	22067	Bonansa	Camiones y furgonetas	3	23
2000	22067	Bonansa	Motocicletas	2	4
2000	22067	Bonansa	Otros vehículos	6	1
2000	22067	Bonansa	Tractores industriales	5	0
2000	22067	Bonansa	Turismos	1	26
2000	22068	Borau	Autobuses	4	0
2000	22068	Borau	Camiones y furgonetas	3	18
2000	22068	Borau	Motocicletas	2	5
2000	22068	Borau	Otros vehículos	6	3
2000	22068	Borau	Tractores industriales	5	0
2000	22068	Borau	Turismos	1	41
2000	22069	Broto	Autobuses	4	0
2000	22069	Broto	Camiones y furgonetas	3	111
2000	22069	Broto	Motocicletas	2	13
2000	22069	Broto	Otros vehículos	6	13
2000	22069	Broto	Tractores industriales	5	0
2000	22069	Broto	Turismos	1	198
2000	22072	Caldearenas	Autobuses	4	0
2000	22072	Caldearenas	Camiones y furgonetas	3	44
2000	22072	Caldearenas	Motocicletas	2	11
2000	22072	Caldearenas	Otros vehículos	6	0
2000	22072	Caldearenas	Tractores industriales	5	0
2000	22072	Caldearenas	Turismos	1	93
2000	22074	Campo	Autobuses	4	0
2000	22074	Campo	Camiones y furgonetas	3	59
2000	22074	Campo	Motocicletas	2	13
2000	22074	Campo	Otros vehículos	6	15
2000	22074	Campo	Tractores industriales	5	4
2000	22074	Campo	Turismos	1	152
2000	22075	Camporrells	Autobuses	4	0
2000	22075	Camporrells	Camiones y furgonetas	3	32
2000	22075	Camporrells	Motocicletas	2	3
2000	22075	Camporrells	Otros vehículos	6	1
2000	22075	Camporrells	Tractores industriales	5	0
2000	22075	Camporrells	Turismos	1	104
2000	22076	Canal de Berdún	Autobuses	4	0
2000	22076	Canal de Berdún	Camiones y furgonetas	3	80
2000	22076	Canal de Berdún	Motocicletas	2	8
2000	22076	Canal de Berdún	Otros vehículos	6	10
2000	22076	Canal de Berdún	Tractores industriales	5	2
2000	22076	Canal de Berdún	Turismos	1	168
2000	22077	Candasnos	Autobuses	4	0
2000	22077	Candasnos	Camiones y furgonetas	3	84
2000	22077	Candasnos	Motocicletas	2	16
2000	22077	Candasnos	Otros vehículos	6	4
2000	22077	Candasnos	Tractores industriales	5	2
2000	22077	Candasnos	Turismos	1	246
2000	22078	Canfranc	Autobuses	4	4
2000	22078	Canfranc	Camiones y furgonetas	3	58
2000	22078	Canfranc	Motocicletas	2	17
2000	22078	Canfranc	Otros vehículos	6	4
2000	22078	Canfranc	Tractores industriales	5	0
2000	22078	Canfranc	Turismos	1	228
2000	22079	Capdesaso	Autobuses	4	0
2000	22079	Capdesaso	Camiones y furgonetas	3	16
2000	22079	Capdesaso	Motocicletas	2	5
2000	22079	Capdesaso	Otros vehículos	6	4
2000	22079	Capdesaso	Tractores industriales	5	2
2000	22079	Capdesaso	Turismos	1	85
2000	22080	Capella	Autobuses	4	0
2000	22080	Capella	Camiones y furgonetas	3	70
2000	22080	Capella	Motocicletas	2	10
2000	22080	Capella	Otros vehículos	6	13
2000	22080	Capella	Tractores industriales	5	8
2000	22080	Capella	Turismos	1	153
2000	22081	Casbas de Huesca	Autobuses	4	0
2000	22081	Casbas de Huesca	Camiones y furgonetas	3	54
2000	22081	Casbas de Huesca	Motocicletas	2	8
2000	22081	Casbas de Huesca	Otros vehículos	6	2
2000	22081	Casbas de Huesca	Tractores industriales	5	0
2000	22081	Casbas de Huesca	Turismos	1	115
2000	22082	Castejón del Puente	Autobuses	4	0
2000	22082	Castejón del Puente	Camiones y furgonetas	3	63
2000	22082	Castejón del Puente	Motocicletas	2	15
2000	22082	Castejón del Puente	Otros vehículos	6	18
2000	22082	Castejón del Puente	Tractores industriales	5	3
2000	22082	Castejón del Puente	Turismos	1	192
2000	22083	Castejón de Monegros	Autobuses	4	0
2000	22083	Castejón de Monegros	Camiones y furgonetas	3	100
2000	22083	Castejón de Monegros	Motocicletas	2	7
2000	22083	Castejón de Monegros	Otros vehículos	6	3
2000	22083	Castejón de Monegros	Tractores industriales	5	0
2000	22083	Castejón de Monegros	Turismos	1	240
2000	22084	Castejón de Sos	Autobuses	4	0
2000	22084	Castejón de Sos	Camiones y furgonetas	3	102
2000	22084	Castejón de Sos	Motocicletas	2	11
2000	22084	Castejón de Sos	Otros vehículos	6	16
2000	22084	Castejón de Sos	Tractores industriales	5	1
2000	22084	Castejón de Sos	Turismos	1	212
2000	22085	Castelflorite	Autobuses	4	0
2000	22085	Castelflorite	Camiones y furgonetas	3	16
2000	22085	Castelflorite	Motocicletas	2	0
2000	22085	Castelflorite	Otros vehículos	6	0
2000	22085	Castelflorite	Tractores industriales	5	0
2000	22085	Castelflorite	Turismos	1	69
2000	22086	Castiello de Jaca	Autobuses	4	0
2000	22086	Castiello de Jaca	Camiones y furgonetas	3	32
2000	22086	Castiello de Jaca	Motocicletas	2	6
2000	22086	Castiello de Jaca	Otros vehículos	6	2
2000	22086	Castiello de Jaca	Tractores industriales	5	0
2000	22086	Castiello de Jaca	Turismos	1	75
2000	22087	Castigaleu	Autobuses	4	0
2000	22087	Castigaleu	Camiones y furgonetas	3	28
2000	22087	Castigaleu	Motocicletas	2	1
2000	22087	Castigaleu	Otros vehículos	6	3
2000	22087	Castigaleu	Tractores industriales	5	1
2000	22087	Castigaleu	Turismos	1	56
2000	22088	Castillazuelo	Autobuses	4	0
2000	22088	Castillazuelo	Camiones y furgonetas	3	34
2000	22088	Castillazuelo	Motocicletas	2	11
2000	22088	Castillazuelo	Otros vehículos	6	0
2000	22088	Castillazuelo	Tractores industriales	5	0
2000	22088	Castillazuelo	Turismos	1	83
2000	22089	Castillonroy	Autobuses	4	0
2000	22089	Castillonroy	Camiones y furgonetas	3	88
2000	22089	Castillonroy	Motocicletas	2	15
2000	22089	Castillonroy	Otros vehículos	6	18
2000	22089	Castillonroy	Tractores industriales	5	4
2000	22089	Castillonroy	Turismos	1	161
2000	22090	Colungo	Autobuses	4	1
2000	22090	Colungo	Camiones y furgonetas	3	28
2000	22090	Colungo	Motocicletas	2	3
2000	22090	Colungo	Otros vehículos	6	0
2000	22090	Colungo	Tractores industriales	5	0
2000	22090	Colungo	Turismos	1	40
2000	22094	Chalamera	Autobuses	4	0
2000	22094	Chalamera	Camiones y furgonetas	3	24
2000	22094	Chalamera	Motocicletas	2	4
2000	22094	Chalamera	Otros vehículos	6	1
2000	22094	Chalamera	Tractores industriales	5	0
2000	22094	Chalamera	Turismos	1	62
2000	22095	Chía	Autobuses	4	0
2000	22095	Chía	Camiones y furgonetas	3	16
2000	22095	Chía	Motocicletas	2	1
2000	22095	Chía	Otros vehículos	6	1
2000	22095	Chía	Tractores industriales	5	0
2000	22095	Chía	Turismos	1	41
2000	22096	Chimillas	Autobuses	4	0
2000	22096	Chimillas	Camiones y furgonetas	3	39
2000	22096	Chimillas	Motocicletas	2	4
2000	22096	Chimillas	Otros vehículos	6	2
2000	22096	Chimillas	Tractores industriales	5	0
2000	22096	Chimillas	Turismos	1	93
2000	22099	Esplús	Autobuses	4	0
2000	22099	Esplús	Camiones y furgonetas	3	173
2000	22099	Esplús	Motocicletas	2	34
2000	22099	Esplús	Otros vehículos	6	32
2000	22099	Esplús	Tractores industriales	5	6
2000	22099	Esplús	Turismos	1	492
2000	22102	Estada	Autobuses	4	0
2000	22102	Estada	Camiones y furgonetas	3	58
2000	22102	Estada	Motocicletas	2	9
2000	22102	Estada	Otros vehículos	6	12
2000	22102	Estada	Tractores industriales	5	5
2000	22102	Estada	Turismos	1	87
2000	22103	Estadilla	Autobuses	4	1
2000	22103	Estadilla	Camiones y furgonetas	3	177
2000	22103	Estadilla	Motocicletas	2	59
2000	22103	Estadilla	Otros vehículos	6	35
2000	22103	Estadilla	Tractores industriales	5	11
2000	22103	Estadilla	Turismos	1	429
2000	22105	Estopiñán del Castillo	Autobuses	4	0
2000	22105	Estopiñán del Castillo	Camiones y furgonetas	3	25
2000	22105	Estopiñán del Castillo	Motocicletas	2	4
2000	22105	Estopiñán del Castillo	Otros vehículos	6	1
2000	22105	Estopiñán del Castillo	Tractores industriales	5	0
2000	22105	Estopiñán del Castillo	Turismos	1	81
2000	22106	Fago	Autobuses	4	0
2000	22106	Fago	Camiones y furgonetas	3	7
2000	22106	Fago	Motocicletas	2	3
2000	22106	Fago	Otros vehículos	6	1
2000	22106	Fago	Tractores industriales	5	0
2000	22106	Fago	Turismos	1	11
2000	22107	Fanlo	Autobuses	4	1
2000	22107	Fanlo	Camiones y furgonetas	3	19
2000	22107	Fanlo	Motocicletas	2	2
2000	22107	Fanlo	Otros vehículos	6	4
2000	22107	Fanlo	Tractores industriales	5	0
2000	22107	Fanlo	Turismos	1	31
2000	22109	Fiscal	Autobuses	4	0
2000	22109	Fiscal	Camiones y furgonetas	3	55
2000	22109	Fiscal	Motocicletas	2	4
2000	22109	Fiscal	Otros vehículos	6	8
2000	22109	Fiscal	Tractores industriales	5	2
2000	22109	Fiscal	Turismos	1	84
2000	22110	Fonz	Autobuses	4	5
2000	22110	Fonz	Camiones y furgonetas	3	172
2000	22110	Fonz	Motocicletas	2	40
2000	22110	Fonz	Otros vehículos	6	24
2000	22110	Fonz	Tractores industriales	5	3
2000	22110	Fonz	Turismos	1	487
2000	22111	Foradada del Toscar	Autobuses	4	0
2000	22111	Foradada del Toscar	Camiones y furgonetas	3	47
2000	22111	Foradada del Toscar	Motocicletas	2	3
2000	22111	Foradada del Toscar	Otros vehículos	6	8
2000	22111	Foradada del Toscar	Tractores industriales	5	0
2000	22111	Foradada del Toscar	Turismos	1	70
2000	22112	Fraga	Autobuses	4	12
2000	22112	Fraga	Camiones y furgonetas	3	2006
2000	22112	Fraga	Motocicletas	2	608
2000	22112	Fraga	Otros vehículos	6	303
2000	22112	Fraga	Tractores industriales	5	162
2000	22112	Fraga	Turismos	1	4797
2000	22113	Fueva (La)	Autobuses	4	0
2000	22113	Fueva (La)	Camiones y furgonetas	3	153
2000	22113	Fueva (La)	Motocicletas	2	13
2000	22113	Fueva (La)	Otros vehículos	6	37
2000	22113	Fueva (La)	Tractores industriales	5	6
2000	22113	Fueva (La)	Turismos	1	307
2000	22114	Gistaín	Autobuses	4	0
2000	22114	Gistaín	Camiones y furgonetas	3	0
2000	22114	Gistaín	Motocicletas	2	0
2000	22114	Gistaín	Otros vehículos	6	0
2000	22114	Gistaín	Tractores industriales	5	0
2000	22114	Gistaín	Turismos	1	0
2000	22115	Grado (El)	Autobuses	4	2
2000	22115	Grado (El)	Camiones y furgonetas	3	92
2000	22115	Grado (El)	Motocicletas	2	13
2000	22115	Grado (El)	Otros vehículos	6	13
2000	22115	Grado (El)	Tractores industriales	5	5
2000	22115	Grado (El)	Turismos	1	255
2000	22116	Grañén	Autobuses	4	0
2000	22116	Grañén	Camiones y furgonetas	3	304
2000	22116	Grañén	Motocicletas	2	51
2000	22116	Grañén	Otros vehículos	6	61
2000	22116	Grañén	Tractores industriales	5	26
2000	22116	Grañén	Turismos	1	945
2000	22117	Graus	Autobuses	4	1
2000	22117	Graus	Camiones y furgonetas	3	528
2000	22117	Graus	Motocicletas	2	114
2000	22117	Graus	Otros vehículos	6	95
2000	22117	Graus	Tractores industriales	5	9
2000	22117	Graus	Turismos	1	1306
2000	22119	Gurrea de Gállego	Autobuses	4	0
2000	22119	Gurrea de Gállego	Camiones y furgonetas	3	176
2000	22119	Gurrea de Gállego	Motocicletas	2	30
2000	22119	Gurrea de Gállego	Otros vehículos	6	21
2000	22119	Gurrea de Gállego	Tractores industriales	5	6
2000	22119	Gurrea de Gállego	Turismos	1	726
