Año	Municipio código	Municipio	Superficie (km2)
2017	22162	Novales	20,08
2017	22163	Nueno	147,24
2017	22164	Olvena	15,89
2017	22165	Ontiñena	136,96
2017	22167	Osso de Cinca	27,66
2017	22168	Palo	14,4
2017	22170	Panticosa	95,9
2017	22172	Peñalba	156,7
2017	22173	Peñas de Riglos (Las)	217,87
2017	22174	Peralta de Alcofea	116,14
2017	22175	Peralta de Calasanz	114,88
2017	22176	Peraltilla	16,2
2017	22177	Perarrúa	30,05
2017	22178	Pertusa	29,37
2017	22181	Piracés	25,15
2017	22182	Plan	93,36
2017	22184	Poleñino	33,02
2017	22186	Pozán de Vero	14,75
2017	22187	Puebla de Castro (La)	29,39
2017	22188	Puente de Montañana	48,56
2017	22189	Puértolas	99,86
2017	22190	Pueyo de Araguás (El)	61,84
2017	22193	Pueyo de Santa Cruz	9,29
2017	22195	Quicena	9,67
2017	22197	Robres	64,24
2017	22199	Sabiñánigo	586,82
2017	22200	Sahún	73,36
2017	22201	Salas Altas	20,74
2017	22202	Salas Bajas	12,93
2017	22203	Salillas	28,33
2017	22204	Sallent de Gállego	162,14
2017	22205	San Esteban de Litera	71,9
2017	22206	Sangarrén	32,22
2017	22207	San Juan de Plan	55,53
2017	22208	Santa Cilia	28,08
2017	22209	Santa Cruz de la Serós	26,96
2017	22212	Santaliestra y San Quílez	23,34
2017	22213	Sariñena	275,57
2017	22214	Secastilla	47,42
2017	22215	Seira	69,4
2017	22217	Sena	104,69
2017	22218	Senés de Alcubierre	20,53
2017	22220	Sesa	30,84
2017	22221	Sesué	5,35
2017	22222	Siétamo	48,98
2017	22223	Sopeira	44,09
2017	22225	Tamarite de Litera	110,58
2017	22226	Tardienta	90,65
2017	22227	Tella-Sin	89,51
2017	22228	Tierz	6,54
2017	22229	Tolva	58,97
2017	22230	Torla-Ordesa	185,21
2017	22232	Torralba de Aragón	40,39
2017	22233	Torre la Ribera	32,06
2017	22234	Torrente de Cinca	56,8
2017	22235	Torres de Alcanadre	17,63
2017	22236	Torres de Barbués	13,94
2017	22239	Tramaced	15,42
2017	22242	Valfarta	33,2
2017	22243	Valle de Bardají	45,48
2017	22244	Valle de Lierp	32,76
2017	22245	Velilla de Cinca	16,54
2017	22246	Beranuy	63,76
2017	22247	Viacamp y Litera	107,74
2017	22248	Vicién	13,76
2017	22249	Villanova	7,05
2017	22250	Villanúa	58,19
2017	22251	Villanueva de Sigena	146,37
2017	22252	Yebra de Basa	90,87
2017	22253	Yésero	30,23
2017	22254	Zaidín	92,55
2017	22901	Valle de Hecho	234,43
2017	22902	Puente la Reina de Jaca	48,13
2017	22903	San Miguel del Cinca	106,49
2017	22904	Sotonera (La)	165,54
2017	22905	Lupiñén-Ortilla	110,08
2017	22906	Santa María de Dulcis	27,16
2017	22907	Aínsa-Sobrarbe	284,77
2017	22908	Hoz y Costeán	57,48
2017	22909	Vencillón	10,37
2017	44001	Ababuj	54,3
2017	44002	Abejuela	86,67
2017	44003	Aguatón	21,64
2017	44004	Aguaviva	42,15
2017	44005	Aguilar del Alfambra	39,04
2017	44006	Alacón	47,5
2017	44007	Alba	69,53
2017	44008	Albalate del Arzobispo	205,69
2017	44009	Albarracín	452,72
2017	44010	Albentosa	68
2017	44011	Alcaine	57,38
2017	44012	Alcalá de la Selva	104,95
2017	44013	Alcañiz	472,12
2017	44014	Alcorisa	121,2
2017	44016	Alfambra	122,44
2017	44017	Aliaga	193,08
2017	44018	Almohaja	25,55
2017	44019	Alobras	30,72
2017	44020	Alpeñés	28,62
2017	44021	Allepuz	67,26
2017	44022	Alloza	81,6
2017	44023	Allueva	18,65
2017	44024	Anadón	24,62
2017	44025	Andorra	141,36
2017	44026	Arcos de las Salinas	112,99
2017	44027	Arens de Lledó	34,27
2017	44028	Argente	62,58
2017	44029	Ariño	81,93
2017	44031	Azaila	81,44
2017	44032	Bádenas	31,31
2017	44033	Báguena	25,17
2017	44034	Bañón	54,27
2017	44035	Barrachina	24,86
2017	44036	Bea	23,37
2017	44037	Beceite	96,72
2017	44038	Belmonte de San José	33,96
2017	44039	Bello	52,49
2017	44040	Berge	42,64
2017	44041	Bezas	26,32
2017	44042	Blancas	73,8
2017	44043	Blesa	80,39
2017	44044	Bordón	29,98
2017	44045	Bronchales	59,6
2017	44046	Bueña	40,75
2017	44047	Burbáguena	39,02
2017	44048	Cabra de Mora	34,31
2017	44049	Calaceite	81,33
2017	44050	Calamocha	316,63
2017	44051	Calanda	112,25
2017	44052	Calomarde	28,18
2017	44053	Camañas	78,67
2017	44054	Camarena de la Sierra	79,54
2017	44055	Camarillas	50,55
2017	44056	Caminreal	44,39
2017	44059	Cantavieja	124,56
2017	44060	Cañada de Benatanduz	34,89
2017	44061	Cañada de Verich (La)	10,86
2017	44062	Cañada Vellida	23,3
2017	44063	Cañizar del Olivar	22,29
2017	44064	Cascante del Río	32,38
2017	44065	Castejón de Tornos	30,9
2017	44066	Castel de Cabra	29,44
2017	44067	Castelnou	37,09
2017	44068	Castelserás	31,52
2017	44070	Castellar (El)	50,33
2017	44071	Castellote	235,18
2017	44074	Cedrillas	73,57
2017	44075	Celadas	100,45
2017	44076	Cella	124,68
2017	44077	Cerollera (La)	33,75
2017	44080	Codoñera (La)	20,97
2017	44082	Corbalán	82,44
2017	44084	Cortes de Aragón	24,43
2017	44085	Cosa	54,81
2017	44086	Cretas	52,66
2017	44087	Crivillén	42,03
2017	44088	Cuba (La)	6,51
2017	44089	Cubla	48,63
2017	44090	Cucalón	31,93
2017	44092	Cuervo (El)	20,76
2017	44093	Cuevas de Almudén	35,85
2017	44094	Cuevas Labradas	40,81
2017	44096	Ejulve	109,49
2017	44097	Escorihuela	56,99
2017	44099	Escucha	41,57
2017	44100	Estercuel	55,59
2017	44101	Ferreruela de Huerva	20,44
2017	44102	Fonfría	20,58
2017	44103	Formiche Alto	78,17
2017	44105	Fórnoles	32,63
2017	44106	Fortanete	168,21
2017	44107	Foz-Calanda	37,87
2017	44108	Fresneda (La)	39,48
2017	44109	Frías de Albarracín	50,79
2017	44110	Fuenferrada	24,53
2017	44111	Fuentes Calientes	25,01
2017	44112	Fuentes Claras	36,91
2017	44113	Fuentes de Rubielos	38,91
2017	44114	Fuentespalda	39
2017	44115	Galve	61,88
2017	44116	Gargallo	30,08
2017	44117	Gea de Albarracín	57,5
2017	44118	Ginebrosa (La)	80,1
2017	44119	Griegos	31,77
2017	44120	Guadalaviar	28,08
2017	44121	Gúdar	60,77
2017	44122	Híjar	165,36
2017	44123	Hinojosa de Jarque	36,47
2017	44124	Hoz de la Vieja (La)	43,73
2017	44125	Huesa del Común	61,69
2017	44126	Iglesuela del Cid (La)	40,29
2017	44127	Jabaloyas	61,73
2017	44128	Jarque de la Val	29,23
2017	44129	Jatiel	10,84
2017	44130	Jorcas	26,2
2017	44131	Josa	28,23
2017	44132	Lagueruela	26,32
2017	44133	Lanzuela	14,22
2017	44135	Libros	37,91
2017	44136	Lidón	40,4
2017	44137	Linares de Mora	116,28
2017	44138	Loscos	71,78
2017	44141	Lledó	15,61
2017	44142	Maicas	24,74
2017	44143	Manzanera	168,66
2017	44144	Martín del Río	54,88
2017	44145	Mas de las Matas	29,99
2017	44146	Mata de los Olmos (La)	23,73
2017	44147	Mazaleón	86,25
2017	44148	Mezquita de Jarque	31,14
2017	44149	Mirambel	45,47
2017	44150	Miravete de la Sierra	36,51
2017	44151	Molinos	79,61
2017	44152	Monforte de Moyuela	47,74
2017	44153	Monreal del Campo	89,05
2017	44154	Monroyo	79,23
2017	44155	Montalbán	82,04
2017	44156	Monteagudo del Castillo	44,36
2017	44157	Monterde de Albarracín	45,21
2017	44158	Mora de Rubielos	166,23
2017	44159	Moscardón	26,93
2017	44160	Mosqueruela	265,03
2017	44161	Muniesa	129,8
2017	44163	Noguera de Albarracín	47,44
2017	44164	Nogueras	18,85
2017	44165	Nogueruelas	99,49
2017	44167	Obón	68,38
2017	44168	Odón	74,24
2017	44169	Ojos Negros	90,92
2017	44171	Olba	20,99
2017	44172	Oliete	85,48
2017	44173	Olmos (Los)	43,97
2017	44174	Orihuela del Tremedal	71,52
2017	44175	Orrios	44,23
2017	44176	Palomar de Arroyos	33,62
2017	44177	Pancrudo	100,12
2017	44178	Parras de Castellote (Las)	42,13
2017	44179	Peñarroya de Tastavins	83,28
2017	44180	Peracense	28,66
2017	44181	Peralejos	36,1
2017	44182	Perales del Alfambra	104,24
2017	44183	Pitarque	54,35
2017	44184	Plou	17,21
2017	44185	Pobo (El)	63,6
2017	44187	Portellada (La)	21,37
2017	44189	Pozondón	67,64
2017	44190	Pozuel del Campo	27,85
2017	44191	Puebla de Híjar (La)	60,78
2017	44192	Puebla de Valverde (La)	282,78
2017	44193	Puertomingalvo	103,62
2017	44194	Ráfales	35,61
2017	44195	Rillo	53,31
2017	44196	Riodeva	34,34
2017	44197	Ródenas	44,26
2017	44198	Royuela	32,5
2017	44199	Rubiales	27,42
2017	44200	Rubielos de la Cérida	66,9
2017	44201	Rubielos de Mora	63,72
2017	44203	Salcedillo	16,89
2017	44204	Saldón	28,37
2017	44205	Samper de Calanda	142,8
2017	44206	San Agustín	56,57
2017	44207	San Martín del Río	16,58
2017	44208	Santa Cruz de Nogueras	15,18
2017	44209	Santa Eulalia	80,97
2017	44210	Sarrión	140,44
2017	44211	Segura de los Baños	54,15
2017	44212	Seno	17,85
2017	44213	Singra	36,72
2017	44215	Terriente	47,98
2017	44216	Teruel	440,41
2017	44217	Toril y Masegoso	30,67
2017	44218	Tormón	29,34
2017	44219	Tornos	48,95
2017	44220	Torralba de los Sisones	44,8
2017	44221	Torrecilla de Alcañiz	26,76
2017	44222	Torrecilla del Rebollar	63,45
2017	44223	Torre de Arcas	34,28
2017	44224	Torre de las Arcas	37,17
2017	44225	Torre del Compte	19,46
2017	44226	Torrelacárcel	35,54
2017	44227	Torre los Negros	29,15
2017	44228	Torremocha de Jiloca	33,94
2017	44229	Torres de Albarracín	28,31
2017	44230	Torrevelilla	33,44
2017	44231	Torrijas	57,34
2017	44232	Torrijo del Campo	44,04
2017	44234	Tramacastiel	47,29
2017	44235	Tramacastilla	24,81
2017	44236	Tronchón	57,11
2017	44237	Urrea de Gaén	41,12
2017	44238	Utrillas	39,82
2017	44239	Valacloche	15,02
2017	44240	Valbona	40,72
2017	44241	Valdealgorfa	46,93
2017	44243	Valdecuenca	18,64
2017	44244	Valdelinares	55,09
2017	44245	Valdeltormo	16
2017	44246	Valderrobres	124,04
2017	44247	Valjunquera	41,84
2017	44249	Vallecillo (El)	21,59
2017	44250	Veguillas de la Sierra	13,67
2017	44251	Villafranca del Campo	66,54
2017	44252	Villahermosa del Campo	19,2
2017	44256	Villanueva del Rebollar de la Sierra	18,99
2017	44257	Villar del Cobo	54,13
2017	44258	Villar del Salz	38,69
2017	44260	Villarluengo	157,89
2017	44261	Villarquemado	56,43
2017	44262	Villarroya de los Pinares	66,41
2017	44263	Villastar	39,05
2017	44264	Villel	85,38
2017	44265	Vinaceite	50,08
2017	44266	Visiedo	55,53
2017	44267	Vivel del Río Martín	51,16
2017	44268	Zoma (La)	14,5
2017	50001	Abanto	63,84
2017	50002	Acered	30,4
2017	50003	Agón	18,52
2017	50004	Aguarón	36,62
2017	50005	Aguilón	59,45
2017	50006	Ainzón	40,46
2017	50007	Aladrén	21,06
2017	50008	Alagón	24,22
2017	50009	Alarba	19
2017	50010	Alberite de San Juan	11,23
2017	50011	Albeta	2,65
2017	50012	Alborge	4,84
2017	50013	Alcalá de Ebro	9,87
2017	50014	Alcalá de Moncayo	13,76
2017	50015	Alconchel de Ariza	34,85
2017	50016	Aldehuela de Liestos	38,04
2017	50017	Alfajarín	137,57
2017	50018	Alfamén	102,04
2017	50019	Alforque	10,62
2017	50020	Alhama de Aragón	31,14
2017	50021	Almochuel	32
2017	50022	Almolda (La)	131,33
2017	50023	Almonacid de la Cuba	55,21
2017	50024	Almonacid de la Sierra	54,12
2017	50025	Almunia de Doña Godina (La)	56,65
2017	50026	Alpartir	32,54
2017	50027	Ambel	61,46
2017	50028	Anento	21,52
2017	50029	Aniñón	52,46
2017	50030	Añón de Moncayo	64,19
2017	50031	Aranda de Moncayo	91,2
2017	50032	Arándiga	50,22
2017	50033	Ardisa	27,28
2017	50034	Ariza	103,08
2017	50035	Artieda	13,57
2017	50036	Asín	18,47
2017	50037	Atea	34,67
2017	50038	Ateca	84,71
2017	50039	Azuara	165,81
2017	50040	Badules	20,09
2017	50041	Bagüés	30,72
2017	50042	Balconchán	19,4
2017	50043	Bárboles	15,68
2017	50044	Bardallur	27,34
2017	50045	Belchite	273,68
2017	50046	Belmonte de Gracián	43,68
2017	50047	Berdejo	19,39
2017	50048	Berrueco	19,5
2017	50050	Bijuesca	57,08
2017	50051	Biota	128,8
2017	50052	Bisimbre	11,22
2017	50053	Boquiñeni	18,87
2017	50054	Bordalba	41,58
2017	50055	Borja	107,29
2017	50056	Botorrita	19,81
2017	50057	Brea de Aragón	13,38
2017	50058	Bubierca	29,54
2017	50059	Bujaraloz	120,92
2017	50060	Bulbuente	25,44
2017	50061	Bureta	11,91
2017	50062	Burgo de Ebro (El)	24,86
2017	50063	Buste (El)	7,61
2017	50064	Cabañas de Ebro	8,53
2017	50065	Cabolafuente	39,24
2017	50066	Cadrete	11,86
2017	50067	Calatayud	154,25
2017	50068	Calatorao	48,15
2017	50069	Calcena	64,74
2017	50070	Calmarza	28,15
2017	50071	Campillo de Aragón	36,86
2017	50072	Carenas	31,22
2017	50073	Cariñena	82,51
2017	50074	Caspe	503,15
2017	50075	Castejón de Alarba	17,56
2017	50076	Castejón de las Armas	16,19
2017	50077	Castejón de Valdejasa	110,12
2017	50078	Castiliscar	40,68
2017	50079	Cervera de la Cañada	29,22
2017	50080	Cerveruela	23,49
2017	50081	Cetina	78,76
2017	50082	Cimballa	31,95
2017	50083	Cinco Olivas	2,25
2017	50084	Clarés de Ribota	18,7
2017	50085	Codo	11,36
2017	50086	Codos	62,69
2017	50087	Contamina	14,02
2017	50088	Cosuenda	31,68
2017	50089	Cuarte de Huerva	8,95
2017	50090	Cubel	58,62
2017	50091	Cuerlas (Las)	32,58
2017	50092	Chiprana	38,98
2017	50093	Chodes	15,97
2017	50094	Daroca	52,05
2017	50095	Ejea de los Caballeros	609,92
2017	50096	Embid de Ariza	41,26
2017	50098	Encinacorba	36,74
2017	50099	Épila	194,32
2017	50100	Erla	18,96
2017	50101	Escatrón	94,64
2017	50102	Fabara	101,63
2017	50104	Farlete	104,11
2017	50105	Fayón	67,19
2017	50106	Fayos (Los)	3,88
2017	50107	Figueruelas	16,99
2017	50108	Fombuena	26,37
2017	50109	Frago (El)	33,76
2017	50110	Frasno (El)	48,64
2017	50111	Fréscano	18,41
2017	50113	Fuendejalón	75,83
2017	50114	Fuendetodos	62,2
2017	50115	Fuentes de Ebro	141,73
2017	50116	Fuentes de Jiloca	27,35
2017	50117	Gallocanta	29,71
2017	50118	Gallur	41,71
2017	50119	Gelsa	72,04
2017	50120	Godojos	16,77
2017	50121	Gotor	15,52
2017	50122	Grisel	14,51
2017	50123	Grisén	4,75
2017	50124	Herrera de los Navarros	105,01
2017	50125	Ibdes	56,31
2017	50126	Illueca	24,86
2017	50128	Isuerre	20,05
2017	50129	Jaraba	42,81
2017	50130	Jarque	43
2017	50131	Jaulín	46,05
2017	50132	Joyosa (La)	6,52
2017	50133	Lagata	23,65
2017	50134	Langa del Castillo	50,13
2017	50135	Layana	3,69
2017	50136	Lécera	109,2
2017	50137	Leciñena	178,64
2017	50138	Lechón	17,46
2017	50139	Letux	30,15
2017	50140	Litago	15,3
2017	50141	Lituénigo	11,38
2017	50142	Lobera de Onsella	32,18
2017	50143	Longares	45,96
2017	50144	Longás	49,23
2017	50146	Lucena de Jalón	10,31
2017	50147	Luceni	27,08
2017	50148	Luesia	126,83
2017	50149	Luesma	29,4
2017	50150	Lumpiaque	29,55
2017	50151	Luna	308,93
2017	50152	Maella	174,88
2017	50153	Magallón	78,61
2017	50154	Mainar	34,02
2017	50155	Malanquilla	36,63
2017	50156	Maleján	0,08
2017	50157	Malón	5,66
2017	50159	Maluenda	40,09
2017	50160	Mallén	37,42
2017	50161	Manchones	26,83
2017	50162	Mara	21,09
2017	50163	María de Huerva	108,09
2017	50164	Mediana de Aragón	90,57
2017	50165	Mequinenza	307,45
2017	50166	Mesones de Isuela	48,55
2017	50167	Mezalocha	60,64
2017	50168	Mianos	14,82
2017	50169	Miedes de Aragón	55,38
2017	50170	Monegrillo	183,16
2017	50171	Moneva	61,4
2017	50172	Monreal de Ariza	62,06
2017	50173	Monterde	55,94
2017	50174	Montón	17,59
2017	50175	Morata de Jalón	45,87
2017	50176	Morata de Jiloca	23,09
2017	50177	Morés	21,46
2017	50178	Moros	53,5
2017	50179	Moyuela	42,76
2017	50180	Mozota	8,68
2017	50181	Muel	79,17
2017	50182	Muela (La)	143,49
2017	50183	Munébrega	40,99
2017	50184	Murero	18,25
2017	50185	Murillo de Gállego	54,71
2017	50186	Navardún	24,5
2017	50187	Nigüella	30,42
2017	50188	Nombrevilla	17,56
2017	50189	Nonaspe	111,45
2017	50190	Novallas	11,4
2017	50191	Novillas	25,28
2017	50192	Nuévalos	41,84
2017	50193	Nuez de Ebro	8,21
2017	50194	Olvés	20,18
2017	50195	Orcajo	28,45
2017	50196	Orera	19,82
2017	50197	Orés	54,52
2017	50198	Oseja	12,5
2017	50199	Osera de Ebro	24,56
2017	50200	Paniza	47,31
2017	50201	Paracuellos de Jiloca	32
2017	50202	Paracuellos de la Ribera	14,96
2017	50203	Pastriz	16,52
2017	50204	Pedrola	113,74
2017	50205	Pedrosas (Las)	18,26
2017	50206	Perdiguera	109,77
2017	50207	Piedratajada	22,66
2017	50208	Pina de Ebro	309,17
2017	50209	Pinseque	16,09
2017	50210	Pintanos (Los)	79,64
2017	50211	Plasencia de Jalón	34,77
2017	50212	Pleitas	2,14
2017	50213	Plenas	37,95
2017	50214	Pomer	33,11
2017	50215	Pozuel de Ariza	22,63
2017	50216	Pozuelo de Aragón	32,11
2017	50217	Pradilla de Ebro	25,45
2017	50218	Puebla de Albortón	76,31
2017	50219	Puebla de Alfindén (La)	17,03
2017	50220	Puendeluna	9,88
2017	50221	Purujosa	35,43
2017	50222	Quinto	118,26
2017	50223	Remolinos	18,51
2017	50224	Retascón	25,16
2017	50225	Ricla	90,67
2017	50227	Romanos	19,53
2017	50228	Rueda de Jalón	107,37
2017	50229	Ruesca	11,63
2017	50230	Sádaba	129,55
2017	50231	Salillas de Jalón	2,51
2017	50232	Salvatierra de Esca	81,24
2017	50233	Samper del Salz	11,49
2017	50234	San Martín de la Virgen de Moncayo	5,42
2017	50235	San Mateo de Gállego	71,62
2017	50236	Santa Cruz de Grío	19,51
2017	50237	Santa Cruz de Moncayo	3,97
2017	50238	Santa Eulalia de Gállego	29,58
2017	50239	Santed	17,81
2017	50240	Sástago	300,99
2017	50241	Saviñán	15,52
2017	50242	Sediles	11,71
2017	50243	Sestrica	40,88
2017	50244	Sierra de Luna	43,39
2017	50245	Sigüés	101,77
2017	50246	Sisamón	41,55
2017	50247	Sobradiel	12,06
2017	50248	Sos del Rey Católico	216,62
2017	50249	Tabuenca	85,72
2017	50250	Talamantes	46,94
2017	50251	Tarazona	244,01
2017	50252	Tauste	405,23
2017	50253	Terrer	33,75
2017	50254	Tierga	66,13
2017	50255	Tobed	32,39
2017	50256	Torralba de los Frailes	59,22
2017	50257	Torralba de Ribota	32,53
2017	50258	Torralbilla	25,86
2017	50259	Torrehermosa	21,13
2017	50260	Torrelapaja	15,68
2017	50261	Torrellas	2,53
2017	50262	Torres de Berrellén	53,81
2017	50263	Torrijo de la Cañada	74,57
2017	50264	Tosos	68,65
2017	50265	Trasmoz	18,26
2017	50266	Trasobares	71,76
2017	50267	Uncastillo	230,87
2017	50268	Undués de Lerda	42,99
2017	50269	Urrea de Jalón	25,64
2017	50270	Urriés	37,27
2017	50271	Used	85,29
2017	50272	Utebo	17,72
2017	50273	Valdehorna	7,95
2017	50274	Val de San Martín	25,66
2017	50275	Valmadrid	50,57
2017	50276	Valpalmas	39,79
2017	50277	Valtorres	3,29
2017	50278	Velilla de Ebro	59,79
2017	50279	Velilla de Jiloca	10,4
2017	50280	Vera de Moncayo	27,66
2017	50281	Vierlas	2,67
2017	50282	Vilueña (La)	8,61
2017	50283	Villadoz	17,18
2017	50284	Villafeliche	22,5
2017	50285	Villafranca de Ebro	63,64
2017	50286	Villalba de Perejil	13,33
2017	50287	Villalengua	40,16
2017	50288	Villanueva de Gállego	75,99
2017	50289	Villanueva de Jiloca	7,35
2017	50290	Villanueva de Huerva	78,38
2017	50291	Villar de los Navarros	49,5
2017	50292	Villarreal de Huerva	27,13
2017	50293	Villarroya de la Sierra	91,6
2017	50294	Villarroya del Campo	16,95
2017	50295	Vistabella	21,82
2017	50296	Zaida (La)	17,27
2017	50297	Zaragoza	973,78
2017	50298	Zuera	332,25
2017	50901	Biel	130,73
2017	50902	Marracos	16,92
2017	50903	Villamayor de Gállego	89,36
