Comarca código	Comarca nombre	Viviendas en el edificio	Número de edificios
29	Comunidad de Teruel	02	765
30	Maestrazgo	02	213
31	Sierra de Albarracín	02	290
32	Gúdar-Javalambre	02	563
33	Matarraña / Matarranya	02	367
01	La Jacetania	03	145
02	Alto Gállego	03	101
03	Sobrarbe	03	65
04	La Ribagorza	03	99
05	Cinco Villas	03	186
06	Hoya de Huesca / Plana de Uesca	03	227
07	Somontano de Barbastro	03	183
08	Cinca Medio	03	113
09	La Litera / La Llitera	03	112
10	Los Monegros	03	69
11	Bajo Cinca / Baix Cinca	03	139
12	Tarazona y el Moncayo	03	119
13	Campo de Borja	03	130
14	Aranda	03	46
15	Ribera Alta del Ebro	03	93
16	Valdejalón	03	139
17	D.C. Zaragoza	03	763
18	Ribera Baja del Ebro	03	47
19	Bajo Aragón-Caspe / Baix Aragó-Casp	03	112
20	Comunidad de Calatayud	03	283
21	Campo de Cariñena	03	56
22	Campo de Belchite	03	12
23	Bajo Martín	03	52
24	Campo de Daroca	03	53
25	Jiloca	03	66
26	Cuencas Mineras	03	67
27	Andorra-Sierra de Arcos	03	67
28	Bajo Aragón	03	207
29	Comunidad de Teruel	03	319
30	Maestrazgo	03	34
31	Sierra de Albarracín	03	78
32	Gúdar-Javalambre	03	195
33	Matarraña / Matarranya	03	57
01	La Jacetania	04	95
02	Alto Gállego	04	93
03	Sobrarbe	04	37
04	La Ribagorza	04	56
05	Cinco Villas	04	124
06	Hoya de Huesca / Plana de Uesca	04	147
07	Somontano de Barbastro	04	108
08	Cinca Medio	04	74
09	La Litera / La Llitera	04	57
10	Los Monegros	04	60
11	Bajo Cinca / Baix Cinca	04	59
12	Tarazona y el Moncayo	04	75
13	Campo de Borja	04	46
14	Aranda	04	67
15	Ribera Alta del Ebro	04	51
16	Valdejalón	04	76
17	D.C. Zaragoza	04	961
18	Ribera Baja del Ebro	04	17
19	Bajo Aragón-Caspe / Baix Aragó-Casp	04	42
20	Comunidad de Calatayud	04	186
21	Campo de Cariñena	04	20
22	Campo de Belchite	04	10
23	Bajo Martín	04	27
24	Campo de Daroca	04	22
25	Jiloca	04	39
26	Cuencas Mineras	04	36
27	Andorra-Sierra de Arcos	04	41
28	Bajo Aragón	04	99
29	Comunidad de Teruel	04	212
30	Maestrazgo	04	14
31	Sierra de Albarracín	04	40
32	Gúdar-Javalambre	04	61
33	Matarraña / Matarranya	04	22
01	La Jacetania	05 a 09	360
02	Alto Gállego	05 a 09	360
03	Sobrarbe	05 a 09	94
04	La Ribagorza	05 a 09	157
05	Cinco Villas	05 a 09	439
06	Hoya de Huesca / Plana de Uesca	05 a 09	518
07	Somontano de Barbastro	05 a 09	169
08	Cinca Medio	05 a 09	239
09	La Litera / La Llitera	05 a 09	151
10	Los Monegros	05 a 09	50
11	Bajo Cinca / Baix Cinca	05 a 09	171
12	Tarazona y el Moncayo	05 a 09	209
13	Campo de Borja	05 a 09	122
14	Aranda	05 a 09	111
15	Ribera Alta del Ebro	05 a 09	142
16	Valdejalón	05 a 09	117
17	D.C. Zaragoza	05 a 09	5128
18	Ribera Baja del Ebro	05 a 09	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05 a 09	76
20	Comunidad de Calatayud	05 a 09	327
21	Campo de Cariñena	05 a 09	76
22	Campo de Belchite	05 a 09	2
23	Bajo Martín	05 a 09	53
24	Campo de Daroca	05 a 09	35
25	Jiloca	05 a 09	84
26	Cuencas Mineras	05 a 09	129
27	Andorra-Sierra de Arcos	05 a 09	148
28	Bajo Aragón	05 a 09	362
29	Comunidad de Teruel	05 a 09	518
30	Maestrazgo	05 a 09	12
31	Sierra de Albarracín	05 a 09	26
32	Gúdar-Javalambre	05 a 09	82
33	Matarraña / Matarranya	05 a 09	16
01	La Jacetania	10 a 19	266
02	Alto Gállego	10 a 19	202
03	Sobrarbe	10 a 19	18
04	La Ribagorza	10 a 19	64
05	Cinco Villas	10 a 19	115
06	Hoya de Huesca / Plana de Uesca	10 a 19	436
07	Somontano de Barbastro	10 a 19	192
08	Cinca Medio	10 a 19	132
09	La Litera / La Llitera	10 a 19	56
10	Los Monegros	10 a 19	18
11	Bajo Cinca / Baix Cinca	10 a 19	83
12	Tarazona y el Moncayo	10 a 19	86
13	Campo de Borja	10 a 19	24
14	Aranda	10 a 19	32
15	Ribera Alta del Ebro	10 a 19	41
16	Valdejalón	10 a 19	31
17	D.C. Zaragoza	10 a 19	5909
18	Ribera Baja del Ebro	10 a 19	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 a 19	38
20	Comunidad de Calatayud	10 a 19	196
21	Campo de Cariñena	10 a 19	9
22	Campo de Belchite	10 a 19	1
23	Bajo Martín	10 a 19	8
24	Campo de Daroca	10 a 19	19
25	Jiloca	10 a 19	17
26	Cuencas Mineras	10 a 19	52
27	Andorra-Sierra de Arcos	10 a 19	16
28	Bajo Aragón	10 a 19	132
29	Comunidad de Teruel	10 a 19	288
30	Maestrazgo	10 a 19	3
31	Sierra de Albarracín	10 a 19	1
32	Gúdar-Javalambre	10 a 19	14
33	Matarraña / Matarranya	10 a 19	1
01	La Jacetania	20 a 39	143
02	Alto Gállego	20 a 39	64
03	Sobrarbe	20 a 39	7
04	La Ribagorza	20 a 39	29
05	Cinco Villas	20 a 39	16
06	Hoya de Huesca / Plana de Uesca	20 a 39	279
07	Somontano de Barbastro	20 a 39	47
08	Cinca Medio	20 a 39	23
09	La Litera / La Llitera	20 a 39	10
10	Los Monegros	20 a 39	3
11	Bajo Cinca / Baix Cinca	20 a 39	25
12	Tarazona y el Moncayo	20 a 39	11
13	Campo de Borja	20 a 39	2
14	Aranda	20 a 39	1
15	Ribera Alta del Ebro	20 a 39	4
16	Valdejalón	20 a 39	5
17	D.C. Zaragoza	20 a 39	3295
18	Ribera Baja del Ebro	20 a 39	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	20 a 39	7
20	Comunidad de Calatayud	20 a 39	85
21	Campo de Cariñena	20 a 39	6
22	Campo de Belchite	20 a 39	2
23	Bajo Martín	20 a 39	2
25	Jiloca	20 a 39	1
26	Cuencas Mineras	20 a 39	1
28	Bajo Aragón	20 a 39	24
29	Comunidad de Teruel	20 a 39	62
31	Sierra de Albarracín	20 a 39	1
32	Gúdar-Javalambre	20 a 39	1
01	La Jacetania	40 o más	73
02	Alto Gállego	40 o más	18
03	Sobrarbe	40 o más	1
04	La Ribagorza	40 o más	14
06	Hoya de Huesca / Plana de Uesca	40 o más	77
07	Somontano de Barbastro	40 o más	3
08	Cinca Medio	40 o más	3
09	La Litera / La Llitera	40 o más	1
11	Bajo Cinca / Baix Cinca	40 o más	1
12	Tarazona y el Moncayo	40 o más	3
13	Campo de Borja	40 o más	1
16	Valdejalón	40 o más	1
17	D.C. Zaragoza	40 o más	964
20	Comunidad de Calatayud	40 o más	10
21	Campo de Cariñena	40 o más	1
24	Campo de Daroca	40 o más	2
25	Jiloca	40 o más	1
28	Bajo Aragón	40 o más	1
29	Comunidad de Teruel	40 o más	23
01	La Jacetania	Sin determinar	5
02	Alto Gállego	Sin determinar	6
03	Sobrarbe	Sin determinar	2
04	La Ribagorza	Sin determinar	11
05	Cinco Villas	Sin determinar	14
06	Hoya de Huesca / Plana de Uesca	Sin determinar	35
07	Somontano de Barbastro	Sin determinar	13
08	Cinca Medio	Sin determinar	8
09	La Litera / La Llitera	Sin determinar	5
10	Los Monegros	Sin determinar	7
11	Bajo Cinca / Baix Cinca	Sin determinar	1
12	Tarazona y el Moncayo	Sin determinar	6
13	Campo de Borja	Sin determinar	8
14	Aranda	Sin determinar	2
15	Ribera Alta del Ebro	Sin determinar	15
16	Valdejalón	Sin determinar	10
17	D.C. Zaragoza	Sin determinar	191
18	Ribera Baja del Ebro	Sin determinar	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin determinar	2
20	Comunidad de Calatayud	Sin determinar	13
21	Campo de Cariñena	Sin determinar	3
22	Campo de Belchite	Sin determinar	1
23	Bajo Martín	Sin determinar	3
24	Campo de Daroca	Sin determinar	2
25	Jiloca	Sin determinar	1
26	Cuencas Mineras	Sin determinar	1
27	Andorra-Sierra de Arcos	Sin determinar	1
28	Bajo Aragón	Sin determinar	7
29	Comunidad de Teruel	Sin determinar	14
31	Sierra de Albarracín	Sin determinar	3
32	Gúdar-Javalambre	Sin determinar	3
