CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2010	56	Servicios de comidas y bebidas	11613
02	Aragón	2010	58	Edición	397
02	Aragón	2010	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	341
02	Aragón	2010	60	Actividades de programación y emisión de radio y televisión	107
02	Aragón	2010	61	Telecomunicaciones	146
02	Aragón	2010	62	Programación, consultoría y otras actividades relacionadas con la informática	1043
02	Aragón	2010	63	Servicios de información	136
02	Aragón	2010	64	Servicios financieros, excepto seguros y fondos de pensiones	1825
02	Aragón	2010	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	199
02	Aragón	2010	66	Actividades auxiliares a los servicios financieros y a los seguros	1577
02	Aragón	2010	68	Actividades inmobiliarias	14290
02	Aragón	2010	69	Actividades jurídicas y de contabilidad	4943
02	Aragón	2010	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	4989
02	Aragón	2010	72	Investigación y desarrollo	555
02	Aragón	2010	73	Publicidad y estudios de mercado	1024
02	Aragón	2010	74	Otras actividades profesionales, científicas y técnicas	1893
02	Aragón	2010	75	Actividades veterinarias	470
02	Aragón	2010	77	Actividades de alquiler	1782
02	Aragón	2010	78	Actividades relacionadas con el empleo	178
02	Aragón	2010	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	424
02	Aragón	2010	80	Actividades de seguridad e investigación	126
02	Aragón	2010	81	Servicios a edificios y actividades de jardinería	1155
02	Aragón	2010	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	3478
02	Aragón	2010	85	Educación	3137
02	Aragón	2010	86	Actividades sanitarias	2413
02	Aragón	2010	87	Asistencia en establecimientos residenciales	284
02	Aragón	2010	88	Actividades de servicios sociales sin alojamiento	221
02	Aragón	2010	90	Actividades de creación, artísticas y espectáculos	1306
02	Aragón	2010	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	209
02	Aragón	2010	92	Actividades de juegos de azar y apuestas	675
02	Aragón	2010	93	Actividades deportivas, recreativas y de entretenimiento	994
02	Aragón	2010	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1392
02	Aragón	2010	96	Otros servicios personales	5129
02	Aragón	2011	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	7733
02	Aragón	2011	02	Silvicultura y explotación forestal	154
02	Aragón	2011	05	Extracción de antracita, hulla y lignito	53
02	Aragón	2011	06	Extracción de crudo de petróleo y gas natural	2
02	Aragón	2011	07	Extracción de minerales metálicos	2
02	Aragón	2011	08	Otras industrias extractivas	337
02	Aragón	2011	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2011	10	Industria de la alimentación	1559
02	Aragón	2011	11	Fabricación de bebidas	263
02	Aragón	2011	13	Industria textil	259
02	Aragón	2011	14	Confección de prendas de vestir	506
02	Aragón	2011	15	Industria del cuero y del calzado	202
02	Aragón	2011	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	686
02	Aragón	2011	17	Industria del papel	87
02	Aragón	2011	18	Artes gráficas y reproducción de soportes grabados	616
02	Aragón	2011	20	Industria química	258
02	Aragón	2011	21	Fabricación de productos farmacéuticos	26
02	Aragón	2011	22	Fabricación de productos de caucho y plásticos	292
02	Aragón	2011	23	Fabricación de otros productos minerales no metálicos	567
02	Aragón	2011	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	82
02	Aragón	2011	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2535
02	Aragón	2011	26	Fabricación de productos informáticos, electrónicos y ópticos	159
02	Aragón	2011	27	Fabricación de material y equipo eléctrico	244
02	Aragón	2011	28	Fabricación de maquinaria y equipo n.c.o.p.	670
02	Aragón	2011	29	Fabricación de vehículos de motor, remolques y semirremolques	264
02	Aragón	2011	30	Fabricación de otro material de transporte	46
02	Aragón	2011	31	Fabricación de muebles	734
02	Aragón	2011	32	Otras industrias manufactureras	408
02	Aragón	2011	33	Reparación e instalación de maquinaria y equipo	591
02	Aragón	2011	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1932
02	Aragón	2011	36	Captación, depuración y distribución de agua	67
02	Aragón	2011	37	Recogida y tratamiento de aguas residuales	183
02	Aragón	2011	38	Recogida, tratamiento y eliminación de residuos; valorización	144
02	Aragón	2011	39	Actividades de descontaminación y otros servicios de gestión de residuos	151
02	Aragón	2011	41	Construcción de edificios	9036
02	Aragón	2011	42	Ingeniería civil	1358
02	Aragón	2011	43	Actividades de construcción especializada	17204
02	Aragón	2011	45	Venta y reparación de vehículos de motor y motocicletas	3949
02	Aragón	2011	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10888
02	Aragón	2011	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	31021
02	Aragón	2011	49	Transporte terrestre y por tubería	7866
02	Aragón	2011	50	Transporte marítimo y por vías navegables interiores	4
02	Aragón	2011	51	Transporte aéreo	13
02	Aragón	2011	52	Almacenamiento y actividades anexas al transporte	907
02	Aragón	2011	53	Actividades postales y de correos	272
02	Aragón	2011	55	Servicios de alojamiento	2094
02	Aragón	2011	56	Servicios de comidas y bebidas	13150
02	Aragón	2011	58	Edición	467
02	Aragón	2011	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	364
02	Aragón	2011	60	Actividades de programación y emisión de radio y televisión	106
02	Aragón	2011	61	Telecomunicaciones	172
02	Aragón	2011	62	Programación, consultoría y otras actividades relacionadas con la informática	1187
02	Aragón	2011	63	Servicios de información	149
02	Aragón	2011	64	Servicios financieros, excepto seguros y fondos de pensiones	1878
02	Aragón	2011	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	196
02	Aragón	2011	66	Actividades auxiliares a los servicios financieros y a los seguros	2680
02	Aragón	2011	68	Actividades inmobiliarias	15301
02	Aragón	2011	69	Actividades jurídicas y de contabilidad	5228
02	Aragón	2011	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5190
02	Aragón	2011	72	Investigación y desarrollo	650
02	Aragón	2011	73	Publicidad y estudios de mercado	1295
02	Aragón	2011	74	Otras actividades profesionales, científicas y técnicas	2061
02	Aragón	2011	75	Actividades veterinarias	470
02	Aragón	2011	77	Actividades de alquiler	1863
02	Aragón	2011	78	Actividades relacionadas con el empleo	199
02	Aragón	2011	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	479
02	Aragón	2011	80	Actividades de seguridad e investigación	136
02	Aragón	2011	81	Servicios a edificios y actividades de jardinería	1337
02	Aragón	2011	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	4002
02	Aragón	2011	85	Educación	4214
02	Aragón	2011	86	Actividades sanitarias	2984
02	Aragón	2011	87	Asistencia en establecimientos residenciales	376
02	Aragón	2011	88	Actividades de servicios sociales sin alojamiento	311
02	Aragón	2011	90	Actividades de creación, artísticas y espectáculos	1549
02	Aragón	2011	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	277
02	Aragón	2011	92	Actividades de juegos de azar y apuestas	728
02	Aragón	2011	93	Actividades deportivas, recreativas y de entretenimiento	1143
02	Aragón	2011	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1490
