CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2019	80	Actividades de seguridad e investigación	183
02	Aragón	2019	81	Servicios a edificios y actividades de jardinería	1792
02	Aragón	2019	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5162
02	Aragón	2019	85	Educación	7909
02	Aragón	2019	86	Actividades sanitarias	5856
02	Aragón	2019	87	Asistencia en establecimientos residenciales	466
02	Aragón	2019	88	Actividades de servicios sociales sin alojamiento	463
02	Aragón	2019	90	Actividades de creación, artísticas y espectáculos	3384
02	Aragón	2019	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	631
02	Aragón	2019	92	Actividades de juegos de azar y apuestas	738
02	Aragón	2019	93	Actividades deportivas, recreativas y de entretenimiento	1836
02	Aragón	2019	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1712
02	Aragón	2019	96	Otros servicios personales	6689
