Año	Comarca código	Comarca nombre	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2006	29	Comunidad de Teruel	187803	237684	275755	71449,8
2006	30	Maestrazgo	40651	73135	120026,65	18942,89
2006	31	Sierra de Albarracín	104897	160958	140092,6	43044,79
2006	32	Gúdar-Javalambre	138018	184464	233218,73	38294,52
2006	33	Matarraña / Matarranya	51598	97570	93268,85	22561,82
2007	01	La Jacetania	40222	65411	184353,44	48908,82
2007	02	Alto Gállego	32166	45183	135575,73	20053,78
2007	03	Sobrarbe	49904	77515	220070,73	32487,65
2007	04	La Ribagorza	70543	113232	245660,02	36377,96
2007	05	Cinco Villas	102848	165177	304691,45	270716,7
2007	06	Hoya de Huesca / Plana de Uesca	89545	132641	252205,98	150273,69
2007	07	Somontano de Barbastro	55702	82229	116728,81	66716,81
2007	08	Cinca Medio	27982	37673	56728,47	108803
2007	09	La Litera / La Llitera	32427	48274	72869,79	127417,05
2007	10	Los Monegros	100456	143776	274679,83	226035,26
2007	11	Bajo Cinca / Baix Cinca	50132	75149	140806,75	157190,62
2007	12	Tarazona y el Moncayo	59807	71982	45230,06	30992,6
2007	13	Campo de Borja	76662	87609	68869,23	45327,57
2007	14	Aranda	43012	51387	55996,65	9639,19
2007	15	Ribera Alta del Ebro	38217	41883	40377,17	75241,71
2007	16	Valdejalón	65890	82790	92745,23	112209,85
2007	17	D.C. Zaragoza	78692	110790	216806,99	176106,26
2007	18	Ribera Baja del Ebro	31686	47553	99062,57	70914,09
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	63662	98025	99351	56175,5
2007	20	Comunidad de Calatayud	219095	277795	250354,26	93821,96
2007	21	Campo de Cariñena	49644	60931	77106,72	45777,26
2007	22	Campo de Belchite	71367	87957	103973,74	32295,09
2007	23	Bajo Martín	53070	68987	79164,76	32710,58
2007	24	Campo de Daroca	84784	109408	110759,89	35449,06
2007	25	Jiloca	161806	197312	192833,34	59529,35
2007	26	Cuencas Mineras	110493	167160	141468,74	32427,85
2007	27	Andorra-Sierra de Arcos	64755	88839	66982,92	20424,52
2007	28	Bajo Aragón	101663	130273	129243,03	48586,23
2007	29	Comunidad de Teruel	189090	237969	276422,54	71718,99
2007	30	Maestrazgo	41112	72109	120416,66	19294,87
2007	31	Sierra de Albarracín	104990	160883	140527,99	43988,14
2007	32	Gúdar-Javalambre	138771	185888	233093,75	40166,5
2007	33	Matarraña / Matarranya	51608	96469	93177,13	22992,71
2008	01	La Jacetania	39815	64964	184694,63	49638,02
2008	02	Alto Gállego	32182	45229	135574,17	20482,29
2008	03	Sobrarbe	49921	77659	220057,12	35149,98
2008	04	La Ribagorza	70589	113311	245666,31	37085,18
2008	05	Cinco Villas	102931	165520	305043,95	280969,5
2008	06	Hoya de Huesca / Plana de Uesca	89664	132825	252032,21	155862,93
2008	07	Somontano de Barbastro	55704	81909	116714,17	73510,16
2008	08	Cinca Medio	28014	37700	56732,93	110674,49
2008	09	La Litera / La Llitera	32324	48280	72860,51	129722,64
2008	10	Los Monegros	99437	143074	274725,74	240231,17
2008	11	Bajo Cinca / Baix Cinca	50171	74731	140935,24	161374,88
2008	12	Tarazona y el Moncayo	59799	72034	45211,05	31767,66
2008	13	Campo de Borja	76623	87646	68828,22	46211,41
2008	14	Aranda	42234	52447	55843,79	11076,03
2008	15	Ribera Alta del Ebro	38476	42416	40597,44	76589,04
2008	16	Valdejalón	65685	84672	92439,57	124081,77
2008	17	D.C. Zaragoza	77435	109631	206328,82	178469,72
2008	18	Ribera Baja del Ebro	31517	47095	98925,7	79705,7
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	63289	97961	99290,78	61735,36
2008	20	Comunidad de Calatayud	219183	279013	250375,71	97263,85
2008	21	Campo de Cariñena	49576	60936	77102,69	47796,17
2008	22	Campo de Belchite	71373	88087	103969,31	33422,67
2008	23	Bajo Martín	53073	69010	79150,02	33299,38
2008	24	Campo de Daroca	85035	111221	111014,54	36058,74
2008	25	Jiloca	161715	196329	192797,46	62328,97
2008	26	Cuencas Mineras	110126	167171	141288,89	33015,81
2008	27	Andorra-Sierra de Arcos	64968	89000	66983,93	21616,07
2008	28	Bajo Aragón	101616	130163	129165,84	54248,5
2008	29	Comunidad de Teruel	189121	238010	276425,35	73142,65
2008	30	Maestrazgo	41253	72173	120417,19	19659,94
2008	31	Sierra de Albarracín	104990	160769	140522,89	45226,57
2008	32	Gúdar-Javalambre	138879	186020	233082,86	45548,19
2008	33	Matarraña / Matarranya	51521	96355	93139,38	28079,74
2009	01	La Jacetania	39981	65060	184738,07	74993,09
2009	02	Alto Gállego	32194	45229	135567,71	20888,04
2009	03	Sobrarbe	49932	77706	220046,27	35800,2
2009	04	La Ribagorza	70673	113363	245639,97	41460,2
2009	05	Cinco Villas	102454	165269	305018,3	292758,15
2009	06	Hoya de Huesca / Plana de Uesca	89705	132873	251935,5	159907,58
2009	07	Somontano de Barbastro	55728	81946	116703,79	75115,3
2009	08	Cinca Medio	28032	37728	56718,22	113103,04
2009	09	La Litera / La Llitera	32297	48224	72846,15	150697,04
2009	10	Los Monegros	93063	137898	275619,43	251784,17
2009	11	Bajo Cinca / Baix Cinca	47892	73684	141033,24	181083,57
2009	12	Tarazona y el Moncayo	59792	71947	45213,05	34404,68
2009	13	Campo de Borja	76488	87645	68791,46	48969,96
2009	14	Aranda	42255	52476	55866,52	11321,91
2009	15	Ribera Alta del Ebro	38451	42407	40260,57	77922,07
2009	16	Valdejalón	65229	84192	91798,05	157668,99
2009	17	D.C. Zaragoza	76977	109049	213929,08	180169,9
2009	18	Ribera Baja del Ebro	31552	47027	98925,73	82280,22
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	63025	97745	99294,29	66138,59
2009	20	Comunidad de Calatayud	219210	279053	250329,68	101868,31
2009	21	Campo de Cariñena	49552	60973	76988,43	49150,58
2009	22	Campo de Belchite	71372	88116	103956,06	35781,71
2009	23	Bajo Martín	53083	69041	79150,42	33736,27
2009	24	Campo de Daroca	85177	111156	111011,68	51744,52
2009	25	Jiloca	161755	196465	192951,88	64526,43
2009	26	Cuencas Mineras	107673	160370	136128,37	33282,04
2009	27	Andorra-Sierra de Arcos	64815	89009	66921,35	22013,35
2009	28	Bajo Aragón	101628	129955	128075,68	60691,24
2009	29	Comunidad de Teruel	189163	237831	276379,19	90811,62
2009	30	Maestrazgo	41426	72282	120593,28	26471,42
2009	31	Sierra de Albarracín	104950	160671	140505,95	46661,04
2009	32	Gúdar-Javalambre	137827	184256	231339,79	47760,7
2009	33	Matarraña / Matarranya	51526	96170	93108,28	37396,36
2010	01	La Jacetania	39932	65091	184740,53	80828,24
2010	02	Alto Gállego	32177	45704	133260,37	37891,84
2010	03	Sobrarbe	49915	77744	220047,49	36159,15
2010	04	La Ribagorza	70621	113522	245611,57	51414,41
2010	05	Cinco Villas	102027	165611	304382,49	329190,34
2010	06	Hoya de Huesca / Plana de Uesca	89653	132921	251851,62	163431,09
2010	07	Somontano de Barbastro	55727	81931	116715,62	81112,03
2010	08	Cinca Medio	28013	37702	56712,8	114186,06
2010	09	La Litera / La Llitera	32263	48192	72788,08	153182,26
2010	10	Los Monegros	92918	137887	275614,74	254567,89
2010	11	Bajo Cinca / Baix Cinca	47731	73675	140768,19	184558,82
2010	12	Tarazona y el Moncayo	59701	71665	45198,08	35342,07
2010	13	Campo de Borja	75299	86804	68796,43	50352,95
2010	14	Aranda	42206	52420	55862,17	12633,15
2010	15	Ribera Alta del Ebro	38187	42201	40237,3	81553,22
2010	16	Valdejalón	65155	83936	91921,39	165150,89
2010	17	D.C. Zaragoza	76770	108945	213126,33	185172,96
2010	18	Ribera Baja del Ebro	31490	46893	98924,82	91533,24
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62654	97213	99235,89	71118,85
2010	20	Comunidad de Calatayud	219113	279020	250252,29	104805,28
2010	21	Campo de Cariñena	49494	60867	76986,25	49849,12
2010	22	Campo de Belchite	71238	88060	103928,33	40723,29
2010	23	Bajo Martín	52902	69051	79155,79	34037,09
2010	24	Campo de Daroca	82101	108830	111208,83	52247,6
2010	25	Jiloca	161423	196454	192945,3	65164,95
2010	26	Cuencas Mineras	109918	158403	140623,06	34385,29
2010	27	Andorra-Sierra de Arcos	64490	88553	66773,91	29813,83
2010	28	Bajo Aragón	97799	127037	129256,73	69772,45
2010	29	Comunidad de Teruel	187766	238960	277644,44	86130,25
2010	30	Maestrazgo	41084	72140	120592,69	27085,44
2010	31	Sierra de Albarracín	101538	130493	140342,42	49097,13
2010	32	Gúdar-Javalambre	141395	180238	234137,14	54140,32
2010	33	Matarraña / Matarranya	51535	96223	93140,35	37114,01
2011	01	La Jacetania	39970	65059	184725,17	83011,96
2011	02	Alto Gállego	32201	45799	133253,63	37046,15
2011	03	Sobrarbe	50043	77790	219980	46319,2
2011	04	La Ribagorza	70781	113391	245899,19	62773,87
2011	05	Cinco Villas	102282	165828	304399,95	329300,08
2011	06	Hoya de Huesca / Plana de Uesca	89428	132393	251787,58	170453,06
2011	07	Somontano de Barbastro	55720	81831	116519,15	81199,01
2011	08	Cinca Medio	27976	37625	56672,58	113812,27
2011	09	La Litera / La Llitera	32276	48192	72772,37	151682,16
2011	10	Los Monegros	92423	137034	275619,77	254874,68
2011	11	Bajo Cinca / Baix Cinca	48132	74198	140852,33	184630,44
2011	12	Tarazona y el Moncayo	59691	71615	45198,8	35342,63
2011	13	Campo de Borja	73840	86441	68765,97	50339,16
2011	14	Aranda	42345	52224	55866,85	14994,09
2011	15	Ribera Alta del Ebro	38113	42165	40254,99	82042,87
2011	16	Valdejalón	65042	83657	91954,78	168855,25
2011	17	D.C. Zaragoza	76726	108940	212836,15	184988,2
2011	18	Ribera Baja del Ebro	31495	46858	98751,19	91025,75
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62897	96961	99243,28	76463,31
2011	20	Comunidad de Calatayud	219105	278410	250289	117797,7
2011	21	Campo de Cariñena	49545	60842	76977,23	49862,76
2011	22	Campo de Belchite	71322	88096	103882,56	42423,13
2011	23	Bajo Martín	53109	69073	79167,89	34032,13
2011	24	Campo de Daroca	82318	108720	111269,55	53861,44
2011	25	Jiloca	161688	196335	193179,82	65417,63
2011	26	Cuencas Mineras	110522	158434	140629,23	36427,29
2011	27	Andorra-Sierra de Arcos	64677	88561	66775,82	29512,96
2011	28	Bajo Aragón	97845	127050	128896	70644,58
2011	29	Comunidad de Teruel	188707	239042	277627,33	86276,71
2011	30	Maestrazgo	41297	72144	120596,04	26847,71
2011	31	Sierra de Albarracín	101559	130515	140338,12	51881,16
2011	32	Gúdar-Javalambre	141889	180279	234109,98	55297,39
2011	33	Matarraña / Matarranya	51576	96260	93127,51	37093,52
2012	01	La Jacetania	40013	65145	184717,35	89333,85
2012	02	Alto Gállego	32161	45750	133123,98	37086,7
2012	03	Sobrarbe	50222	77816	220140,93	45882,15
2012	04	La Ribagorza	70811	113417	245916,68	62866,87
2012	05	Cinco Villas	102237	165798	304416,85	329727,49
2012	06	Hoya de Huesca / Plana de Uesca	88820	132308	251888,02	172107,82
2012	07	Somontano de Barbastro	55704	81755	116441,73	82512,17
2012	08	Cinca Medio	27918	37508	56665,61	114027,09
2012	09	La Litera / La Llitera	32277	48196	72775,26	152789,04
2012	10	Los Monegros	92163	136680	276524,15	259715,37
2012	11	Bajo Cinca / Baix Cinca	48141	73633	140691,62	184690,8
2012	12	Tarazona y el Moncayo	59645	71511	45180,42	35802,43
2012	13	Campo de Borja	73841	86493	68754,91	50341,23
2012	14	Aranda	42357	52246	55869,12	14958,46
2012	15	Ribera Alta del Ebro	37975	42131	40161,12	82645,64
2012	16	Valdejalón	65037	83887	91948,4	169857,34
2012	17	D.C. Zaragoza	76403	108768	211544,46	183415,76
2012	18	Ribera Baja del Ebro	30767	46129	98762,61	92055,76
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62891	96940	99218,03	76995,42
2012	20	Comunidad de Calatayud	213697	274273	250244,43	119182,61
2012	21	Campo de Cariñena	49543	60829	76976,95	50121,24
2012	22	Campo de Belchite	71319	88107	103882,61	43002,48
2012	23	Bajo Martín	53124	69084	79167,88	34022,36
2012	24	Campo de Daroca	82289	108761	111268,2	54168,59
2012	25	Jiloca	161678	196303	192995,49	65255,82
2012	26	Cuencas Mineras	110545	158447	140628,56	36100,79
2012	27	Andorra-Sierra de Arcos	64696	88561	66777	29382,42
2012	28	Bajo Aragón	97857	127075	128838,04	70762,48
2012	29	Comunidad de Teruel	188559	238594	277455,54	90357,06
2012	30	Maestrazgo	41305	72126	120591,94	26679,1
2012	31	Sierra de Albarracín	101584	130533	140359,26	51900,52
2012	32	Gúdar-Javalambre	141903	180291	234093,3	56180,23
2012	33	Matarraña / Matarranya	51601	96282	93104,24	37113,68
2013	01	La Jacetania	40015	65146	184744,55	89628,05
2013	02	Alto Gállego	32159	45758	133120,37	36340,41
2013	03	Sobrarbe	50419	78149	220148,99	52913,56
2013	04	La Ribagorza	70800	113430	245908,64	62746,4
2013	05	Cinco Villas	102315	165777	304418,32	329894,79
2013	06	Hoya de Huesca / Plana de Uesca	87456	130139	251724,29	173366,97
2013	07	Somontano de Barbastro	55686	81650	116453,37	82793,77
2013	08	Cinca Medio	27531	37612	56213,91	112283,23
2013	09	La Litera / La Llitera	32428	47783	72745,1	192428,69
2013	10	Los Monegros	90610	134627	275655,36	258721,76
2013	11	Bajo Cinca / Baix Cinca	46597	72398	140809,35	289784,53
2013	12	Tarazona y el Moncayo	59645	71482	45179,99	35820,33
2013	13	Campo de Borja	73775	86547	68665,47	55111,82
2013	14	Aranda	42359	52258	55838,37	14950,31
2013	15	Ribera Alta del Ebro	38075	42177	40071,95	87111
2013	16	Valdejalón	64434	83143	91715,99	171314,56
2013	17	D.C. Zaragoza	81699	111106	213824,49	899433,05
2013	18	Ribera Baja del Ebro	29792	45275	98796,71	94103,21
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61928	95579	99360,19	78781
2013	20	Comunidad de Calatayud	214815	274632	250529,04	121446,83
2013	21	Campo de Cariñena	49504	60816	76915,77	52157,33
2013	22	Campo de Belchite	71291	88086	103882,4	43052,78
2013	23	Bajo Martín	53125	69094	79167,42	34001,77
2013	24	Campo de Daroca	82299	108770	111273,2	54507,37
2013	25	Jiloca	161707	196340	193198,26	65175,56
2013	26	Cuencas Mineras	110565	158426	140632,89	36095,79
2013	27	Andorra-Sierra de Arcos	64695	88564	66776,49	29470,49
2013	28	Bajo Aragón	97876	127075	128826,87	70778,26
2013	29	Comunidad de Teruel	188636	238307	277469,78	90539,92
2013	30	Maestrazgo	41190	71944	119909,16	26358,45
2013	31	Sierra de Albarracín	101632	130531	140356,93	51882,8
2013	32	Gúdar-Javalambre	141903	180253	234143,48	56200,23
2013	33	Matarraña / Matarranya	51611	96306	93085,99	37087,11
2014	01	La Jacetania	39996	65106	184737,14	90391,32
2014	02	Alto Gállego	32131	45756	132937,99	36581,82
2014	03	Sobrarbe	50429	78114	220099,84	53753,34
2014	04	La Ribagorza	70738	113194	245564,9	67157,45
2014	05	Cinco Villas	98994	163886	304426,9	330177,78
2014	06	Hoya de Huesca / Plana de Uesca	87425	129879	251241,74	187568,83
2014	07	Somontano de Barbastro	55596	81607	116373,24	82657,38
2014	08	Cinca Medio	27609	37463	56401,24	113606,85
2014	09	La Litera / La Llitera	32388	47722	72738,54	195226,13
2014	10	Los Monegros	90102	134332	275654,36	266238,33
2014	11	Bajo Cinca / Baix Cinca	43760	68722	131899,06	284933,15
2014	12	Tarazona y el Moncayo	59603	71504	45177,95	35817,46
2014	13	Campo de Borja	73618	86574	68647,64	55098,34
2014	14	Aranda	42343	52251	55829,01	15033,35
2014	15	Ribera Alta del Ebro	37997	42178	40010,71	87282,73
2014	16	Valdejalón	64406	83036	91905,54	171336,2
2014	17	D.C. Zaragoza	80993	110803	214334,56	839566,35
2014	18	Ribera Baja del Ebro	29830	45153	98744,74	93955,56
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	61874	95504	99348,23	80745,74
2014	20	Comunidad de Calatayud	214500	273924	250429,04	121721,14
2014	21	Campo de Cariñena	49308	60720	76668,14	52001,81
2014	22	Campo de Belchite	70527	87312	103882,68	43023,6
2014	23	Bajo Martín	53149	69109	79169,67	34057,13
2014	24	Campo de Daroca	82230	108778	111334,31	54636,94
2014	25	Jiloca	161484	195757	192962,88	65075,65
2014	26	Cuencas Mineras	110567	158418	140627,8	36108,45
2014	27	Andorra-Sierra de Arcos	64706	88577	66778,41	29471,87
2014	28	Bajo Aragón	97938	127088	129098,71	71015,16
2014	29	Comunidad de Teruel	188799	238428	277475,2	90500,92
