Mes y año	Municipio código	Municipio nombre	Sexo	Régimen	Afiliaciones en alta
Septiembre 2014	22109	Fiscal	Hombres	General	43
Septiembre 2014	22109	Fiscal	Mujeres	General	21
Septiembre 2014	22110	Fonz	Hombres	General	88
Septiembre 2014	22110	Fonz	Mujeres	General	47
Septiembre 2014	22111	Foradada del Toscar	Hombres	General	10
Septiembre 2014	22111	Foradada del Toscar	Mujeres	General	5
Septiembre 2014	22112	Fraga	Hombres	General	2949
Septiembre 2014	22112	Fraga	Mujeres	General	2322
Septiembre 2014	22113	Fueva (La)	Hombres	General	60
Septiembre 2014	22113	Fueva (La)	Mujeres	General	22
Septiembre 2014	22114	Gistaín	Hombres	General	6
Septiembre 2014	22114	Gistaín	Mujeres	General	1
Septiembre 2014	22115	Grado (El)	Hombres	General	148
Septiembre 2014	22115	Grado (El)	Mujeres	General	63
Septiembre 2014	22116	Grañén	Hombres	General	326
Septiembre 2014	22116	Grañén	Mujeres	General	209
Septiembre 2014	22117	Graus	Hombres	General	357
Septiembre 2014	22117	Graus	Mujeres	General	446
Septiembre 2014	22119	Gurrea de Gállego	Hombres	General	150
Septiembre 2014	22119	Gurrea de Gállego	Mujeres	General	124
Septiembre 2014	22122	Hoz de Jaca	Hombres	General	2
Septiembre 2014	22122	Hoz de Jaca	Mujeres	General	3
Septiembre 2014	22124	Huerto	Hombres	General	17
Septiembre 2014	22124	Huerto	Mujeres	General	5
Septiembre 2014	22125	Huesca	Hombres	General	10199
Septiembre 2014	22125	Huesca	Mujeres	General	12788
Septiembre 2014	22126	Ibieca	Hombres	General	5
Septiembre 2014	22127	Igriés	Hombres	General	58
Septiembre 2014	22127	Igriés	Mujeres	General	29
Septiembre 2014	22128	Ilche	Hombres	General	48
Septiembre 2014	22128	Ilche	Mujeres	General	9
Septiembre 2014	22129	Isábena	Hombres	General	17
Septiembre 2014	22129	Isábena	Mujeres	General	20
Septiembre 2014	22130	Jaca	Hombres	General	1168
Septiembre 2014	22130	Jaca	Mujeres	General	1647
Septiembre 2014	22131	Jasa	Hombres	General	5
Septiembre 2014	22131	Jasa	Mujeres	General	4
Septiembre 2014	22133	Labuerda	Hombres	General	30
Septiembre 2014	22133	Labuerda	Mujeres	General	16
Septiembre 2014	22135	Laluenga	Hombres	General	6
Septiembre 2014	22135	Laluenga	Mujeres	General	8
Septiembre 2014	22136	Lalueza	Hombres	General	57
Septiembre 2014	22136	Lalueza	Mujeres	General	28
Septiembre 2014	22137	Lanaja	Hombres	General	92
Septiembre 2014	22137	Lanaja	Mujeres	General	30
Septiembre 2014	22139	Laperdiguera	Hombres	General	2
Septiembre 2014	22139	Laperdiguera	Mujeres	General	1
Septiembre 2014	22141	Lascellas-Ponzano	Hombres	General	7
Septiembre 2014	22141	Lascellas-Ponzano	Mujeres	General	2
Septiembre 2014	22142	Lascuarre	Hombres	General	7
Septiembre 2014	22142	Lascuarre	Mujeres	General	4
Septiembre 2014	22143	Laspaúles	Hombres	General	13
Septiembre 2014	22143	Laspaúles	Mujeres	General	7
Septiembre 2014	22144	Laspuña	Hombres	General	2
Septiembre 2014	22144	Laspuña	Mujeres	General	6
Septiembre 2014	22149	Loarre	Hombres	General	18
Septiembre 2014	22149	Loarre	Mujeres	General	17
Septiembre 2014	22150	Loporzano	Hombres	General	77
Septiembre 2014	22150	Loporzano	Mujeres	General	25
Septiembre 2014	22151	Loscorrales	Hombres	General	1
Septiembre 2014	22155	Monesma y Cajigar	Hombres	General	7
Septiembre 2014	22155	Monesma y Cajigar	Mujeres	General	1
Septiembre 2014	22156	Monflorite-Lascasas	Hombres	General	26
Septiembre 2014	22156	Monflorite-Lascasas	Mujeres	General	37
Septiembre 2014	22157	Montanuy	Hombres	General	40
Septiembre 2014	22157	Montanuy	Mujeres	General	14
Septiembre 2014	22158	Monzón	Hombres	General	2591
Septiembre 2014	22158	Monzón	Mujeres	General	1725
Septiembre 2014	22160	Naval	Hombres	General	10
Septiembre 2014	22160	Naval	Mujeres	General	11
Septiembre 2014	22162	Novales	Hombres	General	22
Septiembre 2014	22162	Novales	Mujeres	General	7
Septiembre 2014	22163	Nueno	Hombres	General	15
Septiembre 2014	22163	Nueno	Mujeres	General	35
Septiembre 2014	22164	Olvena	Mujeres	General	1
Septiembre 2014	22165	Ontiñena	Hombres	General	32
Septiembre 2014	22165	Ontiñena	Mujeres	General	6
Septiembre 2014	22167	Osso de Cinca	Hombres	General	142
Septiembre 2014	22167	Osso de Cinca	Mujeres	General	46
Septiembre 2014	22170	Panticosa	Hombres	General	110
Septiembre 2014	22170	Panticosa	Mujeres	General	86
Septiembre 2014	22172	Peñalba	Hombres	General	137
Septiembre 2014	22172	Peñalba	Mujeres	General	52
Septiembre 2014	22173	Peñas de Riglos (Las)	Hombres	General	33
Septiembre 2014	22173	Peñas de Riglos (Las)	Mujeres	General	6
Septiembre 2014	22174	Peralta de Alcofea	Hombres	General	43
Septiembre 2014	22174	Peralta de Alcofea	Mujeres	General	24
Septiembre 2014	22175	Peralta de Calasanz	Hombres	General	18
Septiembre 2014	22175	Peralta de Calasanz	Mujeres	General	12
Septiembre 2014	22176	Peraltilla	Hombres	General	6
Septiembre 2014	22176	Peraltilla	Mujeres	General	2
Septiembre 2014	22177	Perarrúa	Hombres	General	1
Septiembre 2014	22178	Pertusa	Hombres	General	13
Septiembre 2014	22178	Pertusa	Mujeres	General	8
Septiembre 2014	22181	Piracés	Hombres	General	3
Septiembre 2014	22181	Piracés	Mujeres	General	2
Septiembre 2014	22182	Plan	Hombres	General	14
Septiembre 2014	22182	Plan	Mujeres	General	18
Septiembre 2014	22184	Poleñino	Hombres	General	39
Septiembre 2014	22184	Poleñino	Mujeres	General	11
Septiembre 2014	22186	Pozán de Vero	Hombres	General	2
Septiembre 2014	22186	Pozán de Vero	Mujeres	General	3
Septiembre 2014	22187	Puebla de Castro (La)	Hombres	General	48
Septiembre 2014	22187	Puebla de Castro (La)	Mujeres	General	36
Septiembre 2014	22188	Puente de Montañana	Hombres	General	16
Septiembre 2014	22188	Puente de Montañana	Mujeres	General	17
Septiembre 2014	22189	Puértolas	Hombres	General	26
Septiembre 2014	22189	Puértolas	Mujeres	General	18
Septiembre 2014	22190	Pueyo de Araguás (El)	Hombres	General	6
Septiembre 2014	22190	Pueyo de Araguás (El)	Mujeres	General	4
Septiembre 2014	22193	Pueyo de Santa Cruz	Hombres	General	6
Septiembre 2014	22193	Pueyo de Santa Cruz	Mujeres	General	6
Septiembre 2014	22195	Quicena	Hombres	General	56
Septiembre 2014	22195	Quicena	Mujeres	General	28
Septiembre 2014	22197	Robres	Hombres	General	40
Septiembre 2014	22197	Robres	Mujeres	General	12
Septiembre 2014	22199	Sabiñánigo	Hombres	General	1251
Septiembre 2014	22199	Sabiñánigo	Mujeres	General	848
Septiembre 2014	22200	Sahún	Hombres	General	33
Septiembre 2014	22200	Sahún	Mujeres	General	25
Septiembre 2014	22201	Salas Altas	Hombres	General	11
Septiembre 2014	22201	Salas Altas	Mujeres	General	6
Septiembre 2014	22202	Salas Bajas	Hombres	General	55
Septiembre 2014	22202	Salas Bajas	Mujeres	General	25
Septiembre 2014	22203	Salillas	Hombres	General	14
Septiembre 2014	22203	Salillas	Mujeres	General	3
Septiembre 2014	22204	Sallent de Gállego	Hombres	General	195
Septiembre 2014	22204	Sallent de Gállego	Mujeres	General	141
Septiembre 2014	22205	San Esteban de Litera	Hombres	General	63
Septiembre 2014	22205	San Esteban de Litera	Mujeres	General	22
Septiembre 2014	22206	Sangarrén	Hombres	General	9
Septiembre 2014	22206	Sangarrén	Mujeres	General	6
Septiembre 2014	22207	San Juan de Plan	Hombres	General	9
Septiembre 2014	22207	San Juan de Plan	Mujeres	General	7
Septiembre 2014	22208	Santa Cilia	Hombres	General	21
Septiembre 2014	22208	Santa Cilia	Mujeres	General	5
Septiembre 2014	22209	Santa Cruz de la Serós	Hombres	General	12
Septiembre 2014	22209	Santa Cruz de la Serós	Mujeres	General	6
Septiembre 2014	22212	Santaliestra y San Quílez	Hombres	General	4
Septiembre 2014	22212	Santaliestra y San Quílez	Mujeres	General	2
Septiembre 2014	22213	Sariñena	Hombres	General	553
Septiembre 2014	22213	Sariñena	Mujeres	General	389
Septiembre 2014	22214	Secastilla	Hombres	General	35
Septiembre 2014	22214	Secastilla	Mujeres	General	65
Septiembre 2014	22215	Seira	Hombres	General	1
Septiembre 2014	22215	Seira	Mujeres	General	3
Septiembre 2014	22217	Sena	Hombres	General	16
Septiembre 2014	22217	Sena	Mujeres	General	12
Septiembre 2014	22218	Senés de Alcubierre	Hombres	General	7
Septiembre 2014	22218	Senés de Alcubierre	Mujeres	General	2
Septiembre 2014	22220	Sesa	Hombres	General	29
Septiembre 2014	22220	Sesa	Mujeres	General	4
Septiembre 2014	22221	Sesué	Hombres	General	15
Septiembre 2014	22221	Sesué	Mujeres	General	13
Septiembre 2014	22222	Siétamo	Hombres	General	31
Septiembre 2014	22222	Siétamo	Mujeres	General	23
Septiembre 2014	22223	Sopeira	Hombres	General	4
Septiembre 2014	22223	Sopeira	Mujeres	General	4
Septiembre 2014	22225	Tamarite de Litera	Hombres	General	411
Septiembre 2014	22225	Tamarite de Litera	Mujeres	General	281
Septiembre 2014	22226	Tardienta	Hombres	General	117
Septiembre 2014	22226	Tardienta	Mujeres	General	76
Septiembre 2014	22227	Tella-Sin	Hombres	General	4
Septiembre 2014	22227	Tella-Sin	Mujeres	General	7
Septiembre 2014	22228	Tierz	Hombres	General	28
Septiembre 2014	22228	Tierz	Mujeres	General	19
Septiembre 2014	22229	Tolva	Hombres	General	4
Septiembre 2014	22229	Tolva	Mujeres	General	3
Septiembre 2014	22230	Torla-Ordesa	Hombres	General	34
Septiembre 2014	22230	Torla-Ordesa	Mujeres	General	59
