Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22064	Blecua y Torres		1785	1748	14856	14856
2003	22066	Boltaña		2097	1837	11939	11939
2003	22067	Bonansa		367	363	2178	2178
2003	22068	Borau		913	190	570	570
2003	22069	Broto		1668	1132	7021	7021
2003	22072	Caldearenas		2249	1718	11170	11170
2003	22074	Campo		653	442	1327	1327
2003	22075	Camporrells		737	623	3108	3108
2003	22076	Canal de Berdún		3351	2392	15551	15551
2003	22077	Candasnos		3859	2940	8821	8821
2003	22078	Canfranc		686	70	350	350
2003	22079	Capdesaso		1616	1233	6165	6165
2003	22080	Capella		1033	1029	8231	8231
2003	22081	Casbas de Huesca		2698	2667	16004	16004
2003	22082	Castejón del Puente		2596	2589	11133	11133
2003	22083	Castejón de Monegros		6526	5821	34922	34922
2003	22084	Castejón de Sos		569	517	4109	4109
2003	22085	Castelflorite		3975	3950	17774	17774
2003	22086	Castiello de Jaca		364	288	1692	1692
2003	22087	Castigaleu		553	553	3869	3869
2003	22088	Castillazuelo		570	568	3123	3123
2003	22089	Castillonroy		1400	1346	3981	3981
2003	22090	Colungo		466	365	2093	2093
2003	22094	Chalamera		1774	1753	10169	10169
2003	22095	Chía		209	120	654	654
2003	22096	Chimillas		814	793	4759	4759
2003	22099	Esplús		15065	15064	120488	120488
2003	22102	Estada		424	423	2752	2752
2003	22103	Estadilla		2911	2859	16550	16550
2003	22105	Estopiñán del Castillo		1654	1493	11942	11942
2003	22106	Fago		44	44	264	264
2003	22107	Fanlo		729	606	3941	3941
2003	22109	Fiscal		2785	2513	15078	15078
2003	22110	Fonz		3864	3805	25114	25114
2003	22111	Foradada del Toscar		1361	1165	6992	6992
2003	22112	Fraga		54851	52900	391463	391463
2003	22113	Fueva (La)		2943	2796	22372	22372
2003	22114	Gistaín		380	247	1603	1603
2003	22115	Grado (El)		1818	1620	9717	9717
2003	22116	Grañén		17926	17834	106961	106961
2003	22117	Graus		5902	5793	40551	40551
2003	22119	Gurrea de Gállego		17906	17265	112225	112225
2003	22122	Hoz de Jaca		102	62	278	278
2003	22124	Huerto		7390	7307	47469	47469
2003	22125	Huesca		16400	15759	97700	97700
2003	22126	Ibieca		512	496	2479	2479
2003	22127	Igriés		963	820	2459	2459
2003	22128	Ilche		7947	7943	47654	47654
2003	22129	Isábena		1219	1132	3395	3395
2003	22130	Jaca		12019	10202	61213	61213
2003	22131	Jasa		163	60	361	361
2003	22133	Labuerda		276	245	1470	1470
2003	22135	Laluenga		2867	2863	18609	18609
2003	22136	Lalueza		11173	11082	95300	95300
2003	22137	Lanaja		15304	14637	90727	90727
2003	22139	Laperdiguera		755	750	4874	4874
2003	22141	Lascellas-Ponzano		954	952	4762	4762
2003	22142	Lascuarre		564	537	4295	4295
2003	22143	Laspaúles		964	719	2875	2875
2003	22144	Laspuña		640	269	2153	2153
2003	22149	Loarre		2405	1876	12193	12193
2003	22150	Loporzano		4154	3968	15871	15871
2003	22151	Loscorrales		2619	2460	14763	14763
2003	22155	Monesma y Cajigar		819	795	5564	5564
2003	22156	Monflorite-Lascasas		3912	3909	17592	17592
2003	22157	Montanuy		1587	1463	8776	8776
2003	22158	Monzón		29196	28893	182000	182000
2003	22160	Naval		473	464	2875	2875
2003	22162	Novales		1482	1423	6972	6972
2003	22163	Nueno		1997	1786	5359	5359
2003	22164	Olvena		277	230	1498	1498
2003	22165	Ontiñena		5116	4803	23945	23945
2003	22167	Osso de Cinca		9424	9049	54291	54291
2003	22168	Palo		210	181	1175	1175
2003	22170	Panticosa		638	139	624	624
2003	22172	Peñalba		4811	4537	25405	25405
2003	22173	Peñas de Riglos (Las)		2541	2053	13346	13346
2003	22174	Peralta de Alcofea		6790	6667	38670	38670
2003	22175	Peralta de Calasanz		2062	1916	12453	12453
2003	22176	Peraltilla		692	691	2281	2281
2003	22177	Perarrúa		654	604	4831	4831
2003	22178	Pertusa		2574	2541	18552	18552
2003	22181	Piracés		1617	1605	10272	10272
2003	22182	Plan		1056	622	4043	4043
2003	22184	Poleñino		4827	4673	37851	37851
2003	22186	Pozán de Vero		552	543	3259	3259
2003	22187	Puebla de Castro (La)		525	524	3146	3146
2003	22188	Puente de Montañana		799	798	4787	4787
2003	22189	Puértolas		1590	428	3426	3426
2003	22190	Pueyo de Araguás (El)		898	824	4946	4946
2003	22193	Pueyo de Santa Cruz		1905	1702	10215	10215
2003	22195	Quicena		697	697	2928	2928
2003	22197	Robres		5269	5063	23794	23794
2003	22199	Sabiñánigo		7042	6323	47423	47423
2003	22200	Sahún		665	489	1712	1712
2003	22201	Salas Altas		686	656	4265	4265
2003	22202	Salas Bajas		488	488	3174	3174
2003	22203	Salillas		1915	1883	10356	10356
2003	22204	Sallent de Gállego		1073	1029	3087	3087
2003	22205	San Esteban de Litera		7625	7583	53084	53084
2003	22206	Sangarrén		4616	4440	31082	31082
2003	22207	San Juan de Plan		313	239	1551	1551
2003	22208	Santa Cilia		1044	917	5502	5502
2003	22209	Santa Cruz de la Serós		416	328	1804	1804
2003	22212	Santaliestra y San Quílez		324	316	1898	1898
2003	22213	Sariñena		31343	30684	208648	208648
2003	22214	Secastilla		475	469	1408	1408
2003	22215	Seira		447	192	1155	1155
2003	22217	Sena		12336	12238	85667	85667
2003	22218	Senés de Alcubierre		1000	972	5247	5247
2003	22220	Sesa		1735	1579	8682	8682
2003	22221	Sesué		190	168	1006	1006
2003	22222	Siétamo		2355	2346	15248	15248
2003	22223	Sopeira		514	456	2733	2733
2003	22225	Tamarite de Litera		20262	20060	126380	126380
2003	22226	Tardienta		4720	4117	35393	35393
2003	22227	Tella-Sin		452	313	995	995
2003	22228	Tierz		807	807	3633	3633
2003	22229	Tolva		1004	1004	6524	6524
2003	22230	Torla-Ordesa		1501	836	5435	5435
2003	22232	Torralba de Aragón		2084	2062	9472	9472
2003	22233	Torre la Ribera		294	257	974	974
2003	22234	Torrente de Cinca		7858	7799	50691	50691
2003	22235	Torres de Alcanadre		2183	2161	14045	14045
2003	22236	Torres de Barbués		1997	1985	11910	11910
2003	22239	Tramaced		2200	2194	14262	14262
2003	22242	Valfarta		2298	2269	12690	12690
2003	22243	Valle de Bardají		567	331	1753	1753
2003	22244	Valle de Lierp		543	414	2192	2192
2003	22245	Velilla de Cinca		4744	4240	33916	33916
2003	22246	Beranuy		402	354	1770	1770
2003	22247	Viacamp y Litera		916	849	5097	5097
2003	22248	Vicién		1348	1212	4848	4848
2003	22249	Villanova		193	159	796	796
2003	22250	Villanúa		1371	451	2930	2930
2003	22251	Villanueva de Sigena		11400	11123	66738	66738
2003	22252	Yebra de Basa		966	682	5797	5797
2003	22253	Yésero		498	208	625	625
2003	22254	Zaidín		20497	19629	98142	98142
2003	22901	Valle de Hecho		4000	884	5286	5286
2003	22902	Puente la Reina de Jaca		1838	1764	7937	7937
2003	22903	San Miguel del Cinca		17743	17498	68243	68243
2003	22904	Sotonera (La)		10636	10248	76863	76863
2003	22905	Lupiñén-Ortilla		9966	9819	50074	50074
2003	22906	Santa María de Dulcis		732	698	4176	4176
2003	22907	Aínsa-Sobrarbe		4889	4284	25703	25703
2003	22908	Hoz y Costeán		1310	1295	8419	8419
2003	22909	Vencillón		1871	1826	11872	11872
2003	44001	Ababuj		962	944	7554	7554
2003	44002	Abejuela		400	322	2089	2089
2003	44003	Aguatón		287	286	2294	2294
2003	44004	Aguaviva		1581	1511	7556	7556
2003	44005	Aguilar del Alfambra		928	906	7256	7256
2003	44006	Alacón		1403	1403	4210	4210
2003	44007	Alba		2493	2492	9972	9972
2003	44008	Albalate del Arzobispo		6042	5892	26513	26513
2003	44009	Albarracín		19699	3479	19140	19140
2003	44010	Albentosa		968	967	5805	5805
2003	44011	Alcaine		573	555	2291	2291
2003	44012	Alcalá de la Selva		1536	572	4919	4919
2003	44013	Alcañiz		19072	19052	76210	76210
2003	44014	Alcorisa		3389	2631	17103	17103
2003	44016	Alfambra		2731	2708	17603	17603
2003	44017	Aliaga		2898	1974	12047	12047
2003	44018	Almohaja		152	152	457	457
2003	44019	Alobras		253	129	387	387
2003	44020	Alpeñés		495	465	2097	2097
2003	44021	Allepuz		1354	1239	6198	6198
2003	44022	Alloza		1191	1057	4655	4655
2003	44023	Allueva		256	235	1882	1882
2003	44024	Anadón		224	223	1342	1342
2003	44025	Andorra		4087	3916	37598	37598
2003	44026	Arcos de las Salinas		573	534	3206	3206
2003	44027	Arens de Lledó		769	602	4820	4820
2003	44028	Argente		1817	1816	11805	11805
2003	44029	Ariño		1046	796	4780	4780
2003	44031	Azaila		1787	1786	11615	11615
2003	44032	Bádenas		481	476	2620	2620
2003	44033	Báguena		1422	1412	9182	9182
2003	44034	Bañón		1293	1197	4789	4789
2003	44035	Barrachina		606	606	2729	2729
2003	44036	Bea		243	240	1928	1928
2003	44037	Beceite		2560	470	2119	2119
2003	44038	Belmonte de San José		255	212	1380	1380
2003	44039	Bello		1855	1854	14837	14837
2003	44040	Berge		689	652	4244	4244
2003	44041	Bezas		865	818	2454	2454
2003	44042	Blancas		1149	1149	3447	3447
2003	44043	Blesa		1507	1503	5263	5263
2003	44044	Bordón		339	288	2484	2484
2003	44045	Bronchales		1143	543	3522	3522
2003	44046	Bueña		692	692	4501	4501
2003	44047	Burbáguena		1228	1172	5861	5861
2003	44048	Cabra de Mora		612	278	1671	1671
2003	44049	Calaceite		1922	1839	11958	11958
2003	44050	Calamocha		9552	9345	60749	60749
2003	44051	Calanda		5894	5893	38900	38900
2003	44052	Calomarde		740	199	598	598
2003	44053	Camañas		1244	1243	8085	8085
2003	44054	Camarena de la Sierra		1128	399	1998	1998
2003	44055	Camarillas		1886	1880	15041	15041
2003	44056	Caminreal		2016	2015	13103	13103
2003	44059	Cantavieja		2004	1343	8731	8731
2003	44060	Cañada de Benatanduz		706	495	1486	1486
2003	44061	Cañada de Verich (La)		129	127	762	762
2003	44062	Cañada Vellida		787	784	5331	5331
2003	44063	Cañizar del Olivar		274	253	1776	1776
2003	44064	Cascante del Río		835	834	5008	5008
2003	44065	Castejón de Tornos		711	711	3555	3555
2003	44066	Castel de Cabra		571	571	2856	2856
2003	44067	Castelnou		1767	1767	11484	11484
2003	44068	Castelserás		1309	1309	5237	5237
2003	44070	Castellar (El)		639	268	1610	1610
2003	44071	Castellote		3221	2665	19988	19988
2003	44074	Cedrillas		1463	1196	5386	5386
2003	44075	Celadas		2193	2192	17539	17539
2003	44076	Cella		6848	6848	34242	34242
2003	44077	Cerollera (La)		425	160	482	482
2003	44080	Codoñera (La)		264	263	1714	1714
2003	44082	Corbalán		1121	658	2965	2965
2003	44084	Cortes de Aragón		472	471	3065	3065
2003	44085	Cosa		1307	1223	3672	3672
2003	44086	Cretas		1594	1453	9450	9450
2003	44087	Crivillén		676	670	4359	4359
2003	44088	Cuba (La)		84	84	548	548
2003	44089	Cubla		670	659	1979	1979
2003	44090	Cucalón		821	819	4510	4510
2003	44092	Cuervo (El)		289	250	753	753
2003	44093	Cuevas de Almudén		536	468	2343	2343
2003	44094	Cuevas Labradas		476	433	2599	2599
2003	44096	Ejulve		828	812	6499	6499
2003	44097	Escorihuela		530	524	3147	3147
2003	44099	Escucha		410	245	1597	1597
2003	44100	Estercuel		604	481	3855	3855
2003	44101	Ferreruela de Huerva		943	942	7537	7537
2003	44102	Fonfría		246	224	675	675
2003	44103	Formiche Alto		1092	688	4131	4131
2003	44105	Fórnoles		452	288	1732	1732
2003	44106	Fortanete		2585	1702	13619	13619
2003	44107	Foz-Calanda		853	767	3454	3454
2003	44108	Fresneda (La)		792	710	2133	2133
2003	44109	Frías de Albarracín		2704	377	1132	1132
2003	44110	Fuenferrada		767	761	3045	3045
2003	44111	Fuentes Calientes		676	676	3381	3381
2003	44112	Fuentes Claras		1728	1727	11231	11231
2003	44113	Fuentes de Rubielos		334	288	1730	1730
2003	44114	Fuentespalda		899	540	1623	1623
2003	44115	Galve		793	775	4966	4966
2003	44116	Gargallo		543	522	4182	4182
2003	44117	Gea de Albarracín		1577	1218	7920	7920
2003	44118	Ginebrosa (La)		1742	1638	9833	9833
2003	44119	Griegos		1322	306	921	921
2003	44120	Guadalaviar		1386	134	400	400
2003	44121	Gúdar		1055	488	3173	3173
2003	44122	Híjar		7935	7927	61833	61833
2003	44123	Hinojosa de Jarque		746	742	3714	3714
2003	44124	Hoz de la Vieja (La)		698	696	4525	4525
2003	44125	Huesa del Común		1577	1575	10249	10249
2003	44126	Iglesuela del Cid (La)		479	412	1238	1238
2003	44127	Jabaloyas		523	174	524	524
2003	44128	Jarque de la Val		612	597	2988	2988
2003	44129	Jatiel		399	399	2834	2834
2003	44130	Jorcas		818	808	6470	6470
2003	44131	Josa		506	506	3289	3289
2003	44132	Lagueruela		602	601	4812	4812
2003	44133	Lanzuela		368	366	2935	2935
2003	44135	Libros		644	644	1933	1933
2003	44136	Lidón		689	688	3306	3306
2003	44137	Linares de Mora		1714	1279	7678	7678
2003	44138	Loscos		1813	1813	5440	5440
2003	44141	Lledó		563	482	2172	2172
2003	44142	Maicas		191	191	1243	1243
2003	44143	Manzanera		2421	1250	5626	5626
2003	44144	Martín del Río		1328	1328	6508	6508
2003	44145	Mas de las Matas		1665	1628	7816	7816
2003	44146	Mata de los Olmos (La)		358	317	953	953
2003	44147	Mazaleón		2219	2142	8568	8568
2003	44148	Mezquita de Jarque		756	739	3696	3696
2003	44149	Mirambel		955	950	3328	3328
2003	44150	Miravete de la Sierra		522	511	3579	3579
2003	44151	Molinos		1192	1034	6207	6207
2003	44152	Monforte de Moyuela		1190	1145	3438	3438
2003	44153	Monreal del Campo		3374	3335	19344	19344
2003	44154	Monroyo		1946	1072	8581	8581
2003	44155	Montalbán		1176	1043	8352	8352
2003	44156	Monteagudo del Castillo		850	753	2261	2261
2003	44157	Monterde de Albarracín		282	275	828	828
2003	44158	Mora de Rubielos		3376	1458	9480	9480
2003	44159	Moscardón		720	248	995	995
2003	44160	Mosqueruela		7223	1408	8453	8453
2003	44161	Muniesa		2888	2888	23108	23108
2003	44163	Noguera de Albarracín		1393	385	1157	1157
2003	44164	Nogueras		277	259	1556	1556
2003	44165	Nogueruelas		2673	980	2941	2941
2003	44167	Obón		1361	1360	10886	10886
2003	44168	Odón		1431	1428	11426	11426
2003	44169	Ojos Negros		1412	1407	8448	8448
2003	44171	Olba		375	357	2147	2147
2003	44172	Oliete		1828	1776	11544	11544
2003	44173	Olmos (Los)		896	827	4963	4963
2003	44174	Orihuela del Tremedal		2443	346	2254	2254
2003	44175	Orrios		670	670	3620	3620
2003	44176	Palomar de Arroyos		578	563	2817	2817
2003	44177	Pancrudo		1962	1831	8243	8243
2003	44178	Parras de Castellote (Las)		465	389	1752	1752
2003	44179	Peñarroya de Tastavins		1060	578	2313	2313
2003	44180	Peracense		359	352	2289	2289
2003	44181	Peralejos		447	405	2430	2430
2003	44182	Perales del Alfambra		1958	1936	9681	9681
2003	44183	Pitarque		548	425	1278	1278
2003	44184	Plou		320	319	2078	2078
2003	44185	Pobo (El)		1017	926	6025	6025
2003	44187	Portellada (La)		455	363	1092	1092
2003	44189	Pozondón		584	584	1753	1753
2003	44190	Pozuel del Campo		773	740	2223	2223
2003	44191	Puebla de Híjar (La)		3089	3083	23435	23435
2003	44192	Puebla de Valverde (La)		3041	2988	26892	26892
2003	44193	Puertomingalvo		993	523	3142	3142
2003	44194	Ráfales		678	330	993	993
2003	44195	Rillo		724	700	3430	3430
2003	44196	Riodeva		356	342	1369	1369
2003	44197	Ródenas		513	512	1537	1537
2003	44198	Royuela		423	420	2733	2733
2003	44199	Rubiales		316	131	394	394
2003	44200	Rubielos de la Cérida		677	676	2706	2706
2003	44201	Rubielos de Mora		1166	797	4783	4783
2003	44203	Salcedillo		312	204	1635	1635
2003	44204	Saldón		265	262	788	788
2003	44205	Samper de Calanda		5001	4962	27295	27295
2003	44206	San Agustín		1113	1112	7233	7233
2003	44207	San Martín del Río		767	758	4932	4932
2003	44208	Santa Cruz de Nogueras		242	242	1211	1211
2003	44209	Santa Eulalia		3600	3599	14398	14398
2003	44210	Sarrión		1011	1000	6506	6506
2003	44211	Segura de los Baños		730	729	2919	2919
2003	44212	Seno		222	222	1111	1111
2003	44213	Singra		1818	1818	11819	11819
2003	44215	Terriente		549	522	1569	1569
2003	44216	Teruel		11366	11094	53693	53693
2003	44217	Toril y Masegoso		509	169	509	509
2003	44218	Tormón		525	80	242	242
2003	44219	Tornos		1053	1021	5107	5107
2003	44220	Torralba de los Sisones		1389	1374	5497	5497
2003	44221	Torrecilla de Alcañiz		536	528	2114	2114
2003	44222	Torrecilla del Rebollar		1503	1442	5772	5772
2003	44223	Torre de Arcas		485	233	1869	1869
2003	44224	Torre de las Arcas		407	383	1995	1995
2003	44225	Torre del Compte		703	647	3238	3238
2003	44226	Torrelacárcel		1379	1377	11022	11022
2003	44227	Torre los Negros		734	711	3559	3559
2003	44228	Torremocha de Jiloca		875	874	6996	6996
2003	44229	Torres de Albarracín		317	300	900	900
2003	44230	Torrevelilla		311	286	1863	1863
2003	44231	Torrijas		667	422	2534	2534
2003	44232	Torrijo del Campo		1768	1750	8752	8752
2003	44234	Tramacastiel		550	455	2964	2964
2003	44235	Tramacastilla		490	310	932	932
2003	44236	Tronchón		931	916	3209	3209
2003	44237	Urrea de Gaén		1730	1714	7716	7716
2003	44238	Utrillas		442	440	2863	2863
2003	44239	Valacloche		164	142	855	855
2003	44240	Valbona		673	604	3626	3626
2003	44241	Valdealgorfa		854	854	3416	3416
2003	44243	Valdecuenca		182	179	540	540
2003	44244	Valdelinares		1182	785	2357	2357
2003	44245	Valdeltormo		334	331	1491	1491
2003	44246	Valderrobres		3121	2860	17160	17160
2003	44247	Valjunquera		889	855	4276	4276
2003	44249	Vallecillo (El)		322	128	384	384
2003	44250	Veguillas de la Sierra		139	97	292	292
2003	44251	Villafranca del Campo		3449	3449	20695	20695
2003	44252	Villahermosa del Campo		629	627	5023	5023
2003	44256	Villanueva del Rebollar de la Sierra		463	462	1850	1850
2003	44257	Villar del Cobo		1154	458	1377	1377
2003	44258	Villar del Salz		366	366	2198	2198
2003	44260	Villarluengo		2182	1770	5312	5312
2003	44261	Villarquemado		4401	4400	19803	19803
2003	44262	Villarroya de los Pinares		839	728	4737	4737
2003	44263	Villastar		1125	1122	7299	7299
2003	44264	Villel		1458	1407	11258	11258
2003	44265	Vinaceite		2412	2412	19298	19298
2003	44266	Visiedo		1236	1236	6182	6182
2003	44267	Vivel del Río Martín		955	955	3820	3820
2003	44268	Zoma (La)		146	146	430	430
2003	50001	Abanto		981	701	2103	2103
2003	50002	Acered		769	687	4811	4811
2003	50003	Agón		1429	1417	9208	9208
2003	50004	Aguarón		1733	1607	10447	10447
2003	50005	Aguilón		1351	1228	6140	6140
2003	50006	Ainzón		1932	1895	10422	10422
2003	50007	Aladrén		205	140	841	841
2003	50008	Alagón		7938	7361	44166	44166
2003	50009	Alarba		576	552	1657	1657
2003	50010	Alberite de San Juan		498	459	3216	3216
2003	50011	Albeta		166	163	1143	1143
2003	50012	Alborge		605	571	3254	3254
2003	50013	Alcalá de Ebro		2801	2792	16754	16754
2003	50014	Alcalá de Moncayo		645	636	5091	5091
2003	50015	Alconchel de Ariza		813	730	3649	3649
2003	50016	Aldehuela de Liestos		596	594	1783	1783
2003	50017	Alfajarín		6095	5305	29179	29179
2003	50018	Alfamén		13506	13295	101041	101041
2003	50019	Alforque		682	611	1832	1832
2003	50020	Alhama de Aragón		995	933	6065	6065
2003	50021	Almochuel		860	740	5183	5183
2003	50022	Almolda (La)		3357	3009	19558	19558
2003	50023	Almonacid de la Cuba		1975	1933	11600	11600
2003	50024	Almonacid de la Sierra		8014	7941	47647	47647
2003	50025	Almunia de Doña Godina (La)		17741	17326	150740	150740
2003	50026	Alpartir		885	817	5310	5310
2003	50027	Ambel		1295	1218	7914	7914
2003	50028	Anento		793	786	5106	5106
2003	50029	Aniñón		1557	1257	3770	3770
2003	50030	Añón de Moncayo		906	724	3621	3621
2003	50031	Aranda de Moncayo		1502	1337	5082	5082
2003	50032	Arándiga		1697	1678	8389	8389
2003	50033	Ardisa		698	609	3838	3838
2003	50034	Ariza		2769	2559	11514	11514
2003	50035	Artieda		544	326	1953	1953
2003	50036	Asín		605	575	3738	3738
2003	50037	Atea		975	895	2686	2686
2003	50038	Ateca		3162	2879	18715	18715
2003	50039	Azuara		5333	4753	38022	38022
2003	50040	Badules		656	510	1529	1529
2003	50041	Bagüés		324	142	626	626
2003	50042	Balconchán		294	264	793	793
2003	50043	Bárboles		4297	4297	21486	21486
2003	50044	Bardallur		2211	2129	6386	6386
2003	50045	Belchite		9173	8650	56223	56223
2003	50046	Belmonte de Gracián		1325	1194	8358	8358
2003	50047	Berdejo		205	140	420	420
2003	50048	Berrueco		263	200	1199	1199
2003	50050	Bijuesca		1024	976	5858	5858
2003	50051	Biota		9807	9576	67029	67029
2003	50052	Bisimbre		891	859	5586	5586
2003	50053	Boquiñeni		3505	3445	16914	16914
2003	50054	Bordalba		784	700	4552	4552
2003	50055	Borja		6599	6257	51810	51810
2003	50056	Botorrita		1471	1317	7902	7902
2003	50057	Brea de Aragón		291	275	1208	1208
2003	50058	Bubierca		844	801	2402	2402
2003	50059	Bujaraloz		3988	3580	10740	10740
2003	50060	Bulbuente		1044	1036	6736	6736
2003	50061	Bureta		648	639	4476	4476
2003	50062	Burgo de Ebro (El)		5319	5133	23100	23100
2003	50063	Buste (El)		136	131	392	392
2003	50064	Cabañas de Ebro		2757	2752	17889	17889
2003	50065	Cabolafuente		846	834	4172	4172
2003	50066	Cadrete		901	866	4329	4329
2003	50067	Calatayud		7964	6894	34469	34469
2003	50068	Calatorao		9762	9644	28933	28933
2003	50069	Calcena		226	117	525	525
2003	50070	Calmarza		530	497	3973	3973
2003	50071	Campillo de Aragón		753	416	2082	2082
2003	50072	Carenas		420	360	2157	2157
2003	50073	Cariñena		8484	8475	46613	46613
2003	50074	Caspe		25060	23984	184674	184674
2003	50075	Castejón de Alarba		408	372	1116	1116
2003	50076	Castejón de las Armas		358	334	2006	2006
2003	50077	Castejón de Valdejasa		2991	2539	16505	16505
2003	50078	Castiliscar		3969	3782	26473	26473
2003	50079	Cervera de la Cañada		1390	1294	7764	7764
2003	50080	Cerveruela		246	204	612	612
2003	50081	Cetina		2555	2513	8794	8794
2003	50082	Cimballa		720	687	2750	2750
2003	50083	Cinco Olivas		405	374	1121	1121
2003	50084	Clarés de Ribota		434	417	1251	1251
2003	50085	Codo		711	695	2781	2781
2003	50086	Codos		1117	998	4990	4990
2003	50087	Contamina		641	632	3790	3790
2003	50088	Cosuenda		1162	1020	6528	6528
2003	50089	Cuarte de Huerva		612	612	3059	3059
2003	50090	Cubel		1165	869	2606	2606
2003	50091	Cuerlas (Las)		993	777	4662	4662
2003	50092	Chiprana		5338	4892	14676	14676
2003	50093	Chodes		1094	1094	3281	3281
2003	50094	Daroca		3688	3373	20239	20239
2003	50095	Ejea de los Caballeros		87484	74677	418193	418193
2003	50096	Embid de Ariza		837	822	2467	2467
2003	50098	Encinacorba		718	477	1908	1908
2003	50099	Épila		18266	16719	120212	120212
2003	50100	Erla		2432	2347	15255	15255
2003	50101	Escatrón		2463	2370	20381	20381
2003	50102	Fabara		3961	3910	19161	19161
2003	50104	Farlete		2505	1501	12005	12005
2003	50105	Fayón		706	548	4383	4383
2003	50106	Fayos (Los)		99	92	368	368
2003	50107	Figueruelas		3814	3161	9484	9484
2003	50108	Fombuena		195	155	465	465
2003	50109	Frago (El)		518	319	1914	1914
2003	50110	Frasno (El)		1142	1078	6470	6470
2003	50111	Fréscano		2067	1989	9448	9448
2003	50113	Fuendejalón		3306	3053	19847	19847
2003	50114	Fuendetodos		1084	857	6859	6859
2003	50115	Fuentes de Ebro		9287	8811	57270	57270
2003	50116	Fuentes de Jiloca		1448	1352	8110	8110
2003	50117	Gallocanta		572	522	3135	3135
2003	50118	Gallur		8577	7989	63912	63912
2003	50119	Gelsa		3759	3103	27613	27613
2003	50120	Godojos		318	306	919	919
2003	50121	Gotor		632	610	3051	3051
2003	50122	Grisel		765	680	3400	3400
2003	50123	Grisén		1810	1761	10565	10565
2003	50124	Herrera de los Navarros		2866	2752	17886	17886
2003	50125	Ibdes		2154	2111	12668	12668
2003	50126	Illueca		662	629	2515	2515
2003	50128	Isuerre		428	367	1101	1101
2003	50129	Jaraba		940	772	6173	6173
2003	50130	Jarque		1297	1216	4865	4865
2003	50131	Jaulín		1243	907	4989	4989
2003	50132	Joyosa (La)		1964	1941	9453	9453
2003	50133	Lagata		861	860	5591	5591
2003	50134	Langa del Castillo		1471	923	2770	2770
2003	50135	Layana		532	531	2813	2813
2003	50136	Lécera		2628	2137	17099	17099
2003	50137	Leciñena		5235	3167	19001	19001
2003	50138	Lechón		811	756	2646	2646
2003	50139	Letux		1535	1430	9294	9294
