Provincia código	Provincia nombre	Tipo variación	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Variaciones
22	Huesca	Interna	Mujeres	4	Asia	2016	12
44	Teruel	Externa	Hombres	1	Europa	2016	1249
44	Teruel	Externa	Hombres	2	África	2016	229
44	Teruel	Externa	Hombres	3	América	2016	66
44	Teruel	Externa	Hombres	4	Asia	2016	46
44	Teruel	Externa	Hombres	5	Otros continentes	2016	1
44	Teruel	Externa	Mujeres	1	Europa	2016	1129
44	Teruel	Externa	Mujeres	2	África	2016	98
44	Teruel	Externa	Mujeres	3	América	2016	106
44	Teruel	Externa	Mujeres	4	Asia	2016	24
44	Teruel	Externa	Mujeres	5	Otros continentes	2016	1
44	Teruel	Interna	Hombres	1	Europa	2016	1109
44	Teruel	Interna	Hombres	2	África	2016	185
44	Teruel	Interna	Hombres	3	América	2016	27
44	Teruel	Interna	Hombres	4	Asia	2016	14
44	Teruel	Interna	Mujeres	1	Europa	2016	1092
44	Teruel	Interna	Mujeres	2	África	2016	131
44	Teruel	Interna	Mujeres	3	América	2016	49
44	Teruel	Interna	Mujeres	4	Asia	2016	10
44	Teruel	Interna	Mujeres	5	Otros continentes	2016	1
50	Zaragoza	Externa	Hombres	1	Europa	2016	6348
50	Zaragoza	Externa	Hombres	2	África	2016	1921
50	Zaragoza	Externa	Hombres	3	América	2016	693
50	Zaragoza	Externa	Hombres	4	Asia	2016	730
50	Zaragoza	Externa	Hombres	5	Otros continentes	2016	4
50	Zaragoza	Externa	Mujeres	1	Europa	2016	5598
50	Zaragoza	Externa	Mujeres	2	África	2016	652
50	Zaragoza	Externa	Mujeres	3	América	2016	987
50	Zaragoza	Externa	Mujeres	4	Asia	2016	315
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2016	3
50	Zaragoza	Interna	Hombres	1	Europa	2016	5630
50	Zaragoza	Interna	Hombres	2	África	2016	406
50	Zaragoza	Interna	Hombres	3	América	2016	174
50	Zaragoza	Interna	Hombres	4	Asia	2016	84
50	Zaragoza	Interna	Hombres	5	Otros continentes	2016	1
50	Zaragoza	Interna	Mujeres	1	Europa	2016	5701
50	Zaragoza	Interna	Mujeres	2	África	2016	213
50	Zaragoza	Interna	Mujeres	3	América	2016	408
50	Zaragoza	Interna	Mujeres	4	Asia	2016	37
22	Huesca	Externa	Hombres	1	Europa	2015	2083
22	Huesca	Externa	Hombres	2	África	2015	424
22	Huesca	Externa	Hombres	3	América	2015	114
22	Huesca	Externa	Hombres	4	Asia	2015	45
22	Huesca	Externa	Mujeres	1	Europa	2015	1829
22	Huesca	Externa	Mujeres	2	África	2015	115
22	Huesca	Externa	Mujeres	3	América	2015	166
22	Huesca	Externa	Mujeres	4	Asia	2015	30
22	Huesca	Interna	Hombres	1	Europa	2015	1819
22	Huesca	Interna	Hombres	2	África	2015	159
22	Huesca	Interna	Hombres	3	América	2015	55
22	Huesca	Interna	Hombres	4	Asia	2015	10
22	Huesca	Interna	Hombres	5	Otros continentes	2015	1
22	Huesca	Interna	Mujeres	1	Europa	2015	1802
22	Huesca	Interna	Mujeres	2	África	2015	95
22	Huesca	Interna	Mujeres	3	América	2015	123
22	Huesca	Interna	Mujeres	4	Asia	2015	6
44	Teruel	Externa	Hombres	1	Europa	2015	1310
44	Teruel	Externa	Hombres	2	África	2015	282
44	Teruel	Externa	Hombres	3	América	2015	98
44	Teruel	Externa	Hombres	4	Asia	2015	47
44	Teruel	Externa	Mujeres	1	Europa	2015	1205
44	Teruel	Externa	Mujeres	2	África	2015	106
44	Teruel	Externa	Mujeres	3	América	2015	111
44	Teruel	Externa	Mujeres	4	Asia	2015	14
44	Teruel	Interna	Hombres	1	Europa	2015	1110
44	Teruel	Interna	Hombres	2	África	2015	161
44	Teruel	Interna	Hombres	3	América	2015	19
44	Teruel	Interna	Hombres	4	Asia	2015	11
44	Teruel	Interna	Hombres	5	Otros continentes	2015	1
44	Teruel	Interna	Mujeres	1	Europa	2015	1225
44	Teruel	Interna	Mujeres	2	África	2015	100
44	Teruel	Interna	Mujeres	3	América	2015	49
44	Teruel	Interna	Mujeres	4	Asia	2015	12
50	Zaragoza	Externa	Hombres	1	Europa	2015	6051
50	Zaragoza	Externa	Hombres	2	África	2015	2124
50	Zaragoza	Externa	Hombres	3	América	2015	660
50	Zaragoza	Externa	Hombres	4	Asia	2015	754
50	Zaragoza	Externa	Hombres	5	Otros continentes	2015	1
50	Zaragoza	Externa	Mujeres	1	Europa	2015	5609
50	Zaragoza	Externa	Mujeres	2	África	2015	544
50	Zaragoza	Externa	Mujeres	3	América	2015	850
50	Zaragoza	Externa	Mujeres	4	Asia	2015	270
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2015	2
50	Zaragoza	Interna	Hombres	1	Europa	2015	6061
50	Zaragoza	Interna	Hombres	2	África	2015	406
50	Zaragoza	Interna	Hombres	3	América	2015	194
50	Zaragoza	Interna	Hombres	4	Asia	2015	70
50	Zaragoza	Interna	Hombres	5	Otros continentes	2015	2
50	Zaragoza	Interna	Mujeres	1	Europa	2015	6195
50	Zaragoza	Interna	Mujeres	2	África	2015	231
50	Zaragoza	Interna	Mujeres	3	América	2015	414
50	Zaragoza	Interna	Mujeres	4	Asia	2015	41
22	Huesca	Externa	Hombres	1	Europa	2014	2204
22	Huesca	Externa	Hombres	2	África	2014	417
22	Huesca	Externa	Hombres	3	América	2014	160
22	Huesca	Externa	Hombres	4	Asia	2014	56
22	Huesca	Externa	Mujeres	1	Europa	2014	2027
22	Huesca	Externa	Mujeres	2	África	2014	139
22	Huesca	Externa	Mujeres	3	América	2014	201
22	Huesca	Externa	Mujeres	4	Asia	2014	32
22	Huesca	Interna	Hombres	1	Europa	2014	1753
22	Huesca	Interna	Hombres	2	África	2014	213
22	Huesca	Interna	Hombres	3	América	2014	50
22	Huesca	Interna	Hombres	4	Asia	2014	19
22	Huesca	Interna	Hombres	5	Otros continentes	2014	2
22	Huesca	Interna	Mujeres	1	Europa	2014	1798
22	Huesca	Interna	Mujeres	2	África	2014	78
22	Huesca	Interna	Mujeres	3	América	2014	115
22	Huesca	Interna	Mujeres	4	Asia	2014	17
22	Huesca	Interna	Mujeres	5	Otros continentes	2014	3
44	Teruel	Externa	Hombres	1	Europa	2014	1396
44	Teruel	Externa	Hombres	2	África	2014	207
44	Teruel	Externa	Hombres	3	América	2014	90
44	Teruel	Externa	Hombres	4	Asia	2014	58
44	Teruel	Externa	Mujeres	1	Europa	2014	1184
44	Teruel	Externa	Mujeres	2	África	2014	109
44	Teruel	Externa	Mujeres	3	América	2014	118
44	Teruel	Externa	Mujeres	4	Asia	2014	20
44	Teruel	Interna	Hombres	1	Europa	2014	1046
44	Teruel	Interna	Hombres	2	África	2014	172
44	Teruel	Interna	Hombres	3	América	2014	39
44	Teruel	Interna	Hombres	4	Asia	2014	28
44	Teruel	Interna	Mujeres	1	Europa	2014	1113
44	Teruel	Interna	Mujeres	2	África	2014	128
44	Teruel	Interna	Mujeres	3	América	2014	68
44	Teruel	Interna	Mujeres	4	Asia	2014	12
50	Zaragoza	Externa	Hombres	1	Europa	2014	5924
50	Zaragoza	Externa	Hombres	2	África	2014	1403
50	Zaragoza	Externa	Hombres	3	América	2014	699
50	Zaragoza	Externa	Hombres	4	Asia	2014	794
50	Zaragoza	Externa	Hombres	5	Otros continentes	2014	2
50	Zaragoza	Externa	Mujeres	1	Europa	2014	5431
50	Zaragoza	Externa	Mujeres	2	África	2014	529
50	Zaragoza	Externa	Mujeres	3	América	2014	824
50	Zaragoza	Externa	Mujeres	4	Asia	2014	388
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2014	1
50	Zaragoza	Interna	Hombres	1	Europa	2014	5970
50	Zaragoza	Interna	Hombres	2	África	2014	378
50	Zaragoza	Interna	Hombres	3	América	2014	209
50	Zaragoza	Interna	Hombres	4	Asia	2014	67
50	Zaragoza	Interna	Hombres	5	Otros continentes	2014	1
50	Zaragoza	Interna	Mujeres	1	Europa	2014	5893
50	Zaragoza	Interna	Mujeres	2	África	2014	216
50	Zaragoza	Interna	Mujeres	3	América	2014	383
50	Zaragoza	Interna	Mujeres	4	Asia	2014	42
22	Huesca	Externa	Hombres	1	Europa	2013	2008
22	Huesca	Externa	Hombres	2	África	2013	598
22	Huesca	Externa	Hombres	3	América	2013	191
22	Huesca	Externa	Hombres	4	Asia	2013	46
22	Huesca	Externa	Hombres	5	Otros continentes	2013	1
22	Huesca	Externa	Mujeres	1	Europa	2013	1724
22	Huesca	Externa	Mujeres	2	África	2013	111
22	Huesca	Externa	Mujeres	3	América	2013	230
22	Huesca	Externa	Mujeres	4	Asia	2013	25
22	Huesca	Externa	Mujeres	5	Otros continentes	2013	1
22	Huesca	Interna	Hombres	1	Europa	2013	1826
22	Huesca	Interna	Hombres	2	África	2013	156
22	Huesca	Interna	Hombres	3	América	2013	43
22	Huesca	Interna	Hombres	4	Asia	2013	18
22	Huesca	Interna	Hombres	5	Otros continentes	2013	2
22	Huesca	Interna	Mujeres	1	Europa	2013	1786
22	Huesca	Interna	Mujeres	2	África	2013	108
22	Huesca	Interna	Mujeres	3	América	2013	108
22	Huesca	Interna	Mujeres	4	Asia	2013	9
22	Huesca	Interna	Mujeres	5	Otros continentes	2013	3
44	Teruel	Externa	Hombres	1	Europa	2013	1332
44	Teruel	Externa	Hombres	2	África	2013	258
44	Teruel	Externa	Hombres	3	América	2013	153
44	Teruel	Externa	Hombres	4	Asia	2013	77
44	Teruel	Externa	Mujeres	1	Europa	2013	1198
44	Teruel	Externa	Mujeres	2	África	2013	107
44	Teruel	Externa	Mujeres	3	América	2013	138
44	Teruel	Externa	Mujeres	4	Asia	2013	36
44	Teruel	Interna	Hombres	1	Europa	2013	1070
44	Teruel	Interna	Hombres	2	África	2013	189
44	Teruel	Interna	Hombres	3	América	2013	61
44	Teruel	Interna	Hombres	4	Asia	2013	27
44	Teruel	Interna	Mujeres	1	Europa	2013	1131
44	Teruel	Interna	Mujeres	2	África	2013	124
44	Teruel	Interna	Mujeres	3	América	2013	74
44	Teruel	Interna	Mujeres	4	Asia	2013	18
50	Zaragoza	Externa	Hombres	1	Europa	2013	6043
50	Zaragoza	Externa	Hombres	2	África	2013	1632
50	Zaragoza	Externa	Hombres	3	América	2013	953
50	Zaragoza	Externa	Hombres	4	Asia	2013	859
50	Zaragoza	Externa	Hombres	5	Otros continentes	2013	3
50	Zaragoza	Externa	Mujeres	1	Europa	2013	5398
50	Zaragoza	Externa	Mujeres	2	África	2013	571
50	Zaragoza	Externa	Mujeres	3	América	2013	1044
50	Zaragoza	Externa	Mujeres	4	Asia	2013	407
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2013	3
50	Zaragoza	Interna	Hombres	1	Europa	2013	6018
50	Zaragoza	Interna	Hombres	2	África	2013	409
50	Zaragoza	Interna	Hombres	3	América	2013	250
50	Zaragoza	Interna	Hombres	4	Asia	2013	99
50	Zaragoza	Interna	Mujeres	1	Europa	2013	5814
50	Zaragoza	Interna	Mujeres	2	África	2013	241
50	Zaragoza	Interna	Mujeres	3	América	2013	478
50	Zaragoza	Interna	Mujeres	4	Asia	2013	42
22	Huesca	Externa	Hombres	1	Europa	2012	1801
22	Huesca	Externa	Hombres	2	África	2012	559
22	Huesca	Externa	Hombres	3	América	2012	251
22	Huesca	Externa	Hombres	4	Asia	2012	49
22	Huesca	Externa	Hombres	5	Otros continentes	2012	1
22	Huesca	Externa	Mujeres	1	Europa	2012	1698
22	Huesca	Externa	Mujeres	2	África	2012	165
22	Huesca	Externa	Mujeres	3	América	2012	265
22	Huesca	Externa	Mujeres	4	Asia	2012	40
22	Huesca	Interna	Hombres	1	Europa	2012	1715
22	Huesca	Interna	Hombres	2	África	2012	178
22	Huesca	Interna	Hombres	3	América	2012	65
22	Huesca	Interna	Hombres	4	Asia	2012	9
22	Huesca	Interna	Hombres	5	Otros continentes	2012	1
22	Huesca	Interna	Mujeres	1	Europa	2012	1697
22	Huesca	Interna	Mujeres	2	África	2012	96
22	Huesca	Interna	Mujeres	3	América	2012	135
22	Huesca	Interna	Mujeres	4	Asia	2012	6
22	Huesca	Interna	Mujeres	5	Otros continentes	2012	1
44	Teruel	Externa	Hombres	1	Europa	2012	1249
44	Teruel	Externa	Hombres	2	África	2012	330
44	Teruel	Externa	Hombres	3	América	2012	261
44	Teruel	Externa	Hombres	4	Asia	2012	71
44	Teruel	Externa	Hombres	5	Otros continentes	2012	1
44	Teruel	Externa	Mujeres	1	Europa	2012	1101
44	Teruel	Externa	Mujeres	2	África	2012	106
44	Teruel	Externa	Mujeres	3	América	2012	269
44	Teruel	Externa	Mujeres	4	Asia	2012	37
44	Teruel	Externa	Mujeres	5	Otros continentes	2012	1
44	Teruel	Interna	Hombres	1	Europa	2012	999
44	Teruel	Interna	Hombres	2	África	2012	223
44	Teruel	Interna	Hombres	3	América	2012	85
44	Teruel	Interna	Hombres	4	Asia	2012	24
44	Teruel	Interna	Mujeres	1	Europa	2012	1026
44	Teruel	Interna	Mujeres	2	África	2012	120
44	Teruel	Interna	Mujeres	3	América	2012	98
44	Teruel	Interna	Mujeres	4	Asia	2012	11
44	Teruel	Interna	Mujeres	5	Otros continentes	2012	1
50	Zaragoza	Externa	Hombres	1	Europa	2012	6111
50	Zaragoza	Externa	Hombres	2	África	2012	1712
50	Zaragoza	Externa	Hombres	3	América	2012	1076
50	Zaragoza	Externa	Hombres	4	Asia	2012	631
50	Zaragoza	Externa	Hombres	5	Otros continentes	2012	1
50	Zaragoza	Externa	Mujeres	1	Europa	2012	5328
50	Zaragoza	Externa	Mujeres	2	África	2012	604
50	Zaragoza	Externa	Mujeres	3	América	2012	1137
50	Zaragoza	Externa	Mujeres	4	Asia	2012	289
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2012	2
50	Zaragoza	Interna	Hombres	1	Europa	2012	5690
50	Zaragoza	Interna	Hombres	2	África	2012	420
50	Zaragoza	Interna	Hombres	3	América	2012	334
50	Zaragoza	Interna	Hombres	4	Asia	2012	67
50	Zaragoza	Interna	Mujeres	1	Europa	2012	5686
50	Zaragoza	Interna	Mujeres	2	África	2012	253
50	Zaragoza	Interna	Mujeres	3	América	2012	498
50	Zaragoza	Interna	Mujeres	4	Asia	2012	28
22	Huesca	Externa	Hombres	1	Europa	2011	1898
22	Huesca	Externa	Hombres	2	África	2011	739
22	Huesca	Externa	Hombres	3	América	2011	240
22	Huesca	Externa	Hombres	4	Asia	2011	106
22	Huesca	Externa	Mujeres	1	Europa	2011	1756
22	Huesca	Externa	Mujeres	2	África	2011	251
22	Huesca	Externa	Mujeres	3	América	2011	250
22	Huesca	Externa	Mujeres	4	Asia	2011	26
22	Huesca	Interna	Hombres	1	Europa	2011	1930
22	Huesca	Interna	Hombres	2	África	2011	219
22	Huesca	Interna	Hombres	3	América	2011	83
22	Huesca	Interna	Hombres	4	Asia	2011	10
22	Huesca	Interna	Hombres	5	Otros continentes	2011	2
22	Huesca	Interna	Mujeres	1	Europa	2011	2075
22	Huesca	Interna	Mujeres	2	África	2011	102
22	Huesca	Interna	Mujeres	3	América	2011	148
22	Huesca	Interna	Mujeres	4	Asia	2011	11
22	Huesca	Interna	Mujeres	5	Otros continentes	2011	1
44	Teruel	Externa	Hombres	1	Europa	2011	1205
44	Teruel	Externa	Hombres	2	África	2011	321
44	Teruel	Externa	Hombres	3	América	2011	203
44	Teruel	Externa	Hombres	4	Asia	2011	69
44	Teruel	Externa	Mujeres	1	Europa	2011	1157
44	Teruel	Externa	Mujeres	2	África	2011	74
44	Teruel	Externa	Mujeres	3	América	2011	228
44	Teruel	Externa	Mujeres	4	Asia	2011	30
44	Teruel	Interna	Hombres	1	Europa	2011	1160
44	Teruel	Interna	Hombres	2	África	2011	238
44	Teruel	Interna	Hombres	3	América	2011	88
44	Teruel	Interna	Hombres	4	Asia	2011	24
44	Teruel	Interna	Mujeres	1	Europa	2011	1227
44	Teruel	Interna	Mujeres	2	África	2011	126
44	Teruel	Interna	Mujeres	3	América	2011	111
44	Teruel	Interna	Mujeres	4	Asia	2011	4
50	Zaragoza	Externa	Hombres	1	Europa	2011	5527
50	Zaragoza	Externa	Hombres	2	África	2011	1545
50	Zaragoza	Externa	Hombres	3	América	2011	928
50	Zaragoza	Externa	Hombres	4	Asia	2011	670
50	Zaragoza	Externa	Hombres	5	Otros continentes	2011	2
50	Zaragoza	Externa	Mujeres	1	Europa	2011	4908
50	Zaragoza	Externa	Mujeres	2	África	2011	601
50	Zaragoza	Externa	Mujeres	3	América	2011	1083
50	Zaragoza	Externa	Mujeres	4	Asia	2011	330
50	Zaragoza	Interna	Hombres	1	Europa	2011	6378
50	Zaragoza	Interna	Hombres	2	África	2011	498
50	Zaragoza	Interna	Hombres	3	América	2011	372
50	Zaragoza	Interna	Hombres	4	Asia	2011	73
50	Zaragoza	Interna	Mujeres	1	Europa	2011	6355
50	Zaragoza	Interna	Mujeres	2	África	2011	239
50	Zaragoza	Interna	Mujeres	3	América	2011	611
50	Zaragoza	Interna	Mujeres	4	Asia	2011	39
22	Huesca	Externa	Hombres	1	Europa	2010	1895
22	Huesca	Externa	Hombres	2	África	2010	836
22	Huesca	Externa	Hombres	3	América	2010	312
22	Huesca	Externa	Hombres	4	Asia	2010	40
22	Huesca	Externa	Hombres	5	Otros continentes	2010	2
22	Huesca	Externa	Mujeres	1	Europa	2010	1767
22	Huesca	Externa	Mujeres	2	África	2010	238
22	Huesca	Externa	Mujeres	3	América	2010	385
22	Huesca	Externa	Mujeres	4	Asia	2010	16
22	Huesca	Externa	Mujeres	5	Otros continentes	2010	1
22	Huesca	Interna	Hombres	1	Europa	2010	1755
22	Huesca	Interna	Hombres	2	África	2010	248
22	Huesca	Interna	Hombres	3	América	2010	126
22	Huesca	Interna	Hombres	4	Asia	2010	10
22	Huesca	Interna	Mujeres	1	Europa	2010	2026
22	Huesca	Interna	Mujeres	2	África	2010	101
22	Huesca	Interna	Mujeres	3	América	2010	166
22	Huesca	Interna	Mujeres	4	Asia	2010	12
44	Teruel	Externa	Hombres	1	Europa	2010	1312
44	Teruel	Externa	Hombres	2	África	2010	375
44	Teruel	Externa	Hombres	3	América	2010	199
44	Teruel	Externa	Hombres	4	Asia	2010	74
44	Teruel	Externa	Mujeres	1	Europa	2010	1134
44	Teruel	Externa	Mujeres	2	África	2010	146
44	Teruel	Externa	Mujeres	3	América	2010	221
44	Teruel	Externa	Mujeres	4	Asia	2010	24
44	Teruel	Interna	Hombres	1	Europa	2010	1141
44	Teruel	Interna	Hombres	2	África	2010	283
44	Teruel	Interna	Hombres	3	América	2010	92
44	Teruel	Interna	Hombres	4	Asia	2010	21
44	Teruel	Interna	Mujeres	1	Europa	2010	1131
44	Teruel	Interna	Mujeres	2	África	2010	139
44	Teruel	Interna	Mujeres	3	América	2010	116
44	Teruel	Interna	Mujeres	4	Asia	2010	14
50	Zaragoza	Externa	Hombres	1	Europa	2010	5842
50	Zaragoza	Externa	Hombres	2	África	2010	1997
50	Zaragoza	Externa	Hombres	3	América	2010	1087
50	Zaragoza	Externa	Hombres	4	Asia	2010	633
50	Zaragoza	Externa	Hombres	5	Otros continentes	2010	2
50	Zaragoza	Externa	Mujeres	1	Europa	2010	5028
50	Zaragoza	Externa	Mujeres	2	África	2010	689
50	Zaragoza	Externa	Mujeres	3	América	2010	1134
50	Zaragoza	Externa	Mujeres	4	Asia	2010	303
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2010	3
50	Zaragoza	Interna	Hombres	1	Europa	2010	6483
50	Zaragoza	Interna	Hombres	2	África	2010	466
50	Zaragoza	Interna	Hombres	3	América	2010	385
50	Zaragoza	Interna	Hombres	4	Asia	2010	40
50	Zaragoza	Interna	Hombres	5	Otros continentes	2010	3
50	Zaragoza	Interna	Mujeres	1	Europa	2010	6437
50	Zaragoza	Interna	Mujeres	2	África	2010	201
50	Zaragoza	Interna	Mujeres	3	América	2010	650
50	Zaragoza	Interna	Mujeres	4	Asia	2010	24
50	Zaragoza	Interna	Mujeres	5	Otros continentes	2010	3
22	Huesca	Externa	Hombres	1	Europa	2009	1795
22	Huesca	Externa	Hombres	2	África	2009	709
22	Huesca	Externa	Hombres	3	América	2009	266
22	Huesca	Externa	Hombres	4	Asia	2009	53
22	Huesca	Externa	Mujeres	1	Europa	2009	1642
22	Huesca	Externa	Mujeres	2	África	2009	190
22	Huesca	Externa	Mujeres	3	América	2009	263
22	Huesca	Externa	Mujeres	4	Asia	2009	18
22	Huesca	Externa	Mujeres	5	Otros continentes	2009	1
22	Huesca	Interna	Hombres	1	Europa	2009	1751
22	Huesca	Interna	Hombres	2	África	2009	209
22	Huesca	Interna	Hombres	3	América	2009	119
22	Huesca	Interna	Hombres	4	Asia	2009	5
22	Huesca	Interna	Mujeres	1	Europa	2009	1848
22	Huesca	Interna	Mujeres	2	África	2009	112
22	Huesca	Interna	Mujeres	3	América	2009	156
22	Huesca	Interna	Mujeres	4	Asia	2009	2
44	Teruel	Externa	Hombres	1	Europa	2009	1486
44	Teruel	Externa	Hombres	2	África	2009	585
44	Teruel	Externa	Hombres	3	América	2009	207
44	Teruel	Externa	Hombres	4	Asia	2009	101
44	Teruel	Externa	Mujeres	1	Europa	2009	1120
44	Teruel	Externa	Mujeres	2	África	2009	159
44	Teruel	Externa	Mujeres	3	América	2009	215
44	Teruel	Externa	Mujeres	4	Asia	2009	30
44	Teruel	Interna	Hombres	1	Europa	2009	1057
44	Teruel	Interna	Hombres	2	África	2009	384
44	Teruel	Interna	Hombres	3	América	2009	125
44	Teruel	Interna	Hombres	4	Asia	2009	20
44	Teruel	Interna	Mujeres	1	Europa	2009	1068
44	Teruel	Interna	Mujeres	2	África	2009	129
44	Teruel	Interna	Mujeres	3	América	2009	159
44	Teruel	Interna	Mujeres	4	Asia	2009	8
44	Teruel	Interna	Mujeres	5	Otros continentes	2009	1
50	Zaragoza	Externa	Hombres	1	Europa	2009	5267
50	Zaragoza	Externa	Hombres	2	África	2009	1713
50	Zaragoza	Externa	Hombres	3	América	2009	1096
50	Zaragoza	Externa	Hombres	4	Asia	2009	449
50	Zaragoza	Externa	Hombres	5	Otros continentes	2009	1
50	Zaragoza	Externa	Mujeres	1	Europa	2009	4746
50	Zaragoza	Externa	Mujeres	2	África	2009	554
50	Zaragoza	Externa	Mujeres	3	América	2009	1156
50	Zaragoza	Externa	Mujeres	4	Asia	2009	248
50	Zaragoza	Externa	Mujeres	5	Otros continentes	2009	1
50	Zaragoza	Interna	Hombres	1	Europa	2009	6037
50	Zaragoza	Interna	Hombres	2	África	2009	504
50	Zaragoza	Interna	Hombres	3	América	2009	468
50	Zaragoza	Interna	Hombres	4	Asia	2009	34
50	Zaragoza	Interna	Hombres	5	Otros continentes	2009	1
50	Zaragoza	Interna	Mujeres	1	Europa	2009	6098
50	Zaragoza	Interna	Mujeres	2	África	2009	253
50	Zaragoza	Interna	Mujeres	3	América	2009	700
50	Zaragoza	Interna	Mujeres	4	Asia	2009	20
22	Huesca	Externa	Hombres	1	Europa	2008	1529
22	Huesca	Externa	Hombres	2	África	2008	608
22	Huesca	Externa	Hombres	3	América	2008	215
22	Huesca	Externa	Hombres	4	Asia	2008	48
22	Huesca	Externa	Mujeres	1	Europa	2008	1487
22	Huesca	Externa	Mujeres	2	África	2008	152
22	Huesca	Externa	Mujeres	3	América	2008	256
22	Huesca	Externa	Mujeres	4	Asia	2008	23
