Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
01	La Jacetania	2018	Regadío	3	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2018	Secano	190	61	2	0	0	0	0	0	0	0	0	0	59	0	0	0	0	12	0	12	0	0	0	117	0
02	Alto Gállego	2018	Regadío	18	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2018	Secano	28	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	25	0
03	Sobrarbe	2018	Regadío	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0
03	Sobrarbe	2018	Secano	388	140	1	0	0	0	0	0	0	0	0	1	134	4	0	0	0	30	1	29	0	156	156	62	0
04	La Ribagorza	2018	Regadío	37	16	1	0	0	0	0	0	0	0	0	0	14	0	0	0	1	3	0	3	0	3	3	15	0
04	La Ribagorza	2018	Secano	1396	416	0	0	0	0	1	0	0	0	0	0	401	8	0	0	6	194	0	194	0	380	380	406	0
05	Cinco Villas	2018	Regadío	1818	1330	31	12	0	1	3	1	0	0	0	15	1245	20	0	0	2	57	0	57	0	417	417	14	0
05	Cinco Villas	2018	Secano	1500	1099	0	0	0	0	0	0	0	0	0	37	1059	0	0	0	3	174	0	169	5	174	174	53	0
06	Hoya de Huesca / Plana de Uesca	2018	Regadío	1563	996	60	14	0	0	42	6	0	0	0	29	778	50	0	9	8	46	1	45	0	519	519	2	0
06	Hoya de Huesca / Plana de Uesca	2018	Secano	6100	4808	1	2	0	0	20	0	0	0	0	2	4756	4	2	0	21	412	0	409	3	706	706	174	0
07	Somontano de Barbastro	2018	Regadío	1716	229	2	43	0	1	28	1	8	0	0	1	117	11	0	12	5	1259	1	1258	0	222	222	6	0
07	Somontano de Barbastro	2018	Secano	7517	2636	0	0	0	0	0	3	0	0	0	2	2627	2	0	0	2	2585	0	2582	3	2217	2217	79	0
08	Cinca Medio	2018	Regadío	3545	3221	108	249	0	47	117	964	9	34	0	2	1206	17	0	427	41	55	1	54	0	264	264	5	0
08	Cinca Medio	2018	Secano	486	235	0	0	0	0	9	60	0	1	0	0	141	0	0	23	1	16	0	16	0	228	228	7	0
09	La Litera / La Llitera	2018	Regadío	1813	1558	179	210	3	18	19	381	36	12	0	1	345	148	0	188	18	90	0	90	0	160	160	5	0
09	La Litera / La Llitera	2018	Secano	1643	684	8	9	0	0	0	59	0	0	0	2	588	0	0	18	0	15	0	15	0	898	898	46	0
10	Los Monegros	2018	Regadío	1791	1548	117	38	1	19	0	166	1	0	0	15	1050	1	0	70	70	13	0	13	0	200	200	30	0
10	Los Monegros	2018	Secano	1745	888	0	0	0	0	0	3	0	0	0	3	879	0	0	1	2	175	0	175	0	397	397	285	0
11	Bajo Cinca / Baix Cinca	2018	Regadío	14959	13897	109	559	19	809	922	4917	72	25	0	33	1599	287	0	4399	147	326	18	308	0	731	731	5	0
11	Bajo Cinca / Baix Cinca	2018	Secano	3422	2742	5	25	0	112	190	327	34	0	0	0	1630	1	0	395	23	30	17	13	0	594	594	56	0
12	Tarazona y el Moncayo	2018	Regadío	764	328	3	4	0	2	16	0	0	0	0	0	296	4	0	0	3	100	0	100	0	336	336	0	0
12	Tarazona y el Moncayo	2018	Secano	795	565	0	0	0	1	7	0	0	0	0	1	552	0	0	0	4	106	0	106	0	99	99	25	0
13	Campo de Borja	2018	Regadío	5013	1293	1	4	0	0	0	3	0	0	0	2	1267	12	0	0	4	2688	0	2685	3	1032	1032	0	0
13	Campo de Borja	2018	Secano	8459	4338	0	0	0	0	0	0	0	0	0	14	4321	0	0	0	3	3706	0	3706	0	371	371	44	0
14	Aranda	2018	Regadío	214	164	5	2	0	1	92	5	9	0	0	0	49	1	0	0	0	1	0	1	0	49	49	0	0
14	Aranda	2018	Secano	2640	2223	0	0	0	0	212	0	2	0	0	0	2009	0	0	0	0	164	0	164	0	235	235	18	0
15	Ribera Alta del Ebro	2018	Regadío	766	469	89	105	0	26	9	35	6	0	0	56	87	19	0	37	0	3	0	3	0	285	285	9	0
15	Ribera Alta del Ebro	2018	Secano	229	124	0	0	0	0	0	2	0	0	0	42	80	0	0	0	0	7	0	7	0	98	98	0	0
16	Valdejalón	2018	Regadío	9311	8180	1477	647	0	498	1872	1889	168	15	0	2	929	35	0	640	8	521	5	516	0	610	610	0	0
16	Valdejalón	2018	Secano	5825	3374	27	3	0	50	317	75	2	0	0	11	2866	1	0	19	3	1103	0	1103	0	1348	1348	0	0
17	Central	2018	Regadío	1729	1164	2	86	0	164	10	35	35	1	0	30	788	5	0	6	2	38	4	32	2	524	524	3	0
17	Central	2018	Secano	606	315	0	1	0	1	0	0	0	0	0	4	308	0	0	0	1	111	2	109	0	172	172	8	0
18	Ribera Baja del Ebro	2018	Regadío	2404	1141	13	79	0	79	83	226	45	0	0	18	438	4	0	155	1	16	16	0	0	1247	1247	0	0
18	Ribera Baja del Ebro	2018	Secano	130	46	0	1	0	1	0	2	0	0	0	0	27	0	0	15	0	3	0	3	0	81	81	0	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2018	Regadío	7359	5930	16	62	0	437	721	1323	214	10	0	0	2321	11	0	797	18	110	28	82	0	1319	1319	0	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2018	Secano	8192	4705	0	1	0	36	129	177	4	0	0	0	4243	0	0	114	1	417	2	413	2	3070	3070	0	0
20	Comunidad de Calatayud	2018	Regadío	4115	3360	568	781	0	47	981	391	349	0	0	3	231	6	0	2	1	532	1	531	0	216	216	7	0
20	Comunidad de Calatayud	2018	Secano	14869	10478	49	30	0	18	2139	90	106	0	0	0	8032	3	0	0	11	3849	0	3849	0	472	472	70	0
21	Campo de Cariñena	2018	Regadío	5465	1088	115	71	0	53	297	308	39	0	0	4	132	1	0	65	3	4191	10	4181	0	186	186	0	0
21	Campo de Cariñena	2018	Secano	11497	1466	2	0	0	3	61	11	0	0	0	13	1373	0	0	0	3	9684	31	9651	2	320	320	27	0
22	Campo de Belchite	2018	Regadío	2001	604	8	33	0	2	4	0	6	0	0	1	544	6	0	0	0	184	0	184	0	1213	1213	0	0
22	Campo de Belchite	2018	Secano	1939	1569	0	1	0	0	1	0	0	0	0	31	1535	1	0	0	0	272	0	272	0	91	91	7	0
23	Bajo Martín	2018	Regadío	904	328	0	3	0	10	7	106	2	3	0	3	193	0	0	0	1	19	0	19	0	556	556	1	0
23	Bajo Martín	2018	Secano	3059	1530	0	0	0	6	11	4	0	0	0	7	1502	0	0	0	0	186	0	186	0	1340	1340	3	0
24	Campo de Daroca	2018	Regadío	68	62	0	0	0	0	10	0	0	0	0	0	46	6	0	0	0	5	0	5	0	0	0	1	0
24	Campo de Daroca	2018	Secano	3112	2098	0	1	0	1	163	0	4	0	0	14	1900	13	0	0	2	851	0	851	0	13	13	150	0
25	Jiloca	2018	Regadío	59	22	1	0	0	0	7	0	1	0	0	0	2	10	0	0	1	2	0	2	0	0	0	35	0
25	Jiloca	2018	Secano	1536	676	0	0	0	0	26	0	0	0	0	15	599	33	0	0	3	362	2	360	0	0	0	498	0
26	Cuencas Mineras	2018	Regadío	22	4	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	8	0	8	0	2	2	8	0
26	Cuencas Mineras	2018	Secano	1156	657	0	0	0	0	0	0	0	0	0	12	641	4	0	0	0	167	3	164	0	72	72	260	0
27	Andorra-Sierra de Arcos	2018	Regadío	90	25	0	0	0	0	8	0	0	0	0	4	11	2	0	0	0	0	0	0	0	65	65	0	0
27	Andorra-Sierra de Arcos	2018	Secano	2636	634	0	0	0	0	24	0	0	0	0	13	593	3	0	0	1	159	0	159	0	1755	1755	88	0
28	Bajo Aragón	2018	Regadío	3923	2711	18	14	0	178	8	1438	44	1	0	12	957	27	0	9	5	9	0	9	0	1179	1179	24	0
