Municipio código	Municipio nombre	Grupo clase explotación	Explotaciones
50176	Morata de Jiloca	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50176	Morata de Jiloca	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50177	Morés	b) Con tierras labradas, pastos permanentes y otras tierras	1
50177	Morés	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50177	Morés	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
50177	Morés	e) Con tierras labradas, sin pastos permanentes ni otras tierras	33
50177	Morés	f) Sin tierras labradas, con pastos permanentes y con otras tierras	2
50177	Morés	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50178	Moros	b) Con tierras labradas, pastos permanentes y otras tierras	2
50178	Moros	c) Con tierras labradas, pastos permanentes y sin otras tierras	10
50178	Moros	d) Con tierras labradas y otras tierras, y sin pastos permanentes	21
50178	Moros	e) Con tierras labradas, sin pastos permanentes ni otras tierras	61
50178	Moros	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
50178	Moros	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50179	Moyuela	a) Sin tierras	5
50179	Moyuela	c) Con tierras labradas, pastos permanentes y sin otras tierras	5
50179	Moyuela	d) Con tierras labradas y otras tierras, y sin pastos permanentes	6
50179	Moyuela	e) Con tierras labradas, sin pastos permanentes ni otras tierras	30
50179	Moyuela	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	3
50179	Moyuela	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50180	Mozota	d) Con tierras labradas y otras tierras, y sin pastos permanentes	2
50180	Mozota	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
50180	Mozota	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50181	Muel	b) Con tierras labradas, pastos permanentes y otras tierras	2
50181	Muel	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50181	Muel	d) Con tierras labradas y otras tierras, y sin pastos permanentes	7
50181	Muel	e) Con tierras labradas, sin pastos permanentes ni otras tierras	90
50181	Muel	f) Sin tierras labradas, con pastos permanentes y con otras tierras	1
50181	Muel	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50181	Muel	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50182	Muela (La)	a) Sin tierras	1
50182	Muela (La)	b) Con tierras labradas, pastos permanentes y otras tierras	4
50182	Muela (La)	c) Con tierras labradas, pastos permanentes y sin otras tierras	8
50182	Muela (La)	d) Con tierras labradas y otras tierras, y sin pastos permanentes	15
50182	Muela (La)	e) Con tierras labradas, sin pastos permanentes ni otras tierras	113
50182	Muela (La)	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50183	Munébrega	b) Con tierras labradas, pastos permanentes y otras tierras	2
50183	Munébrega	c) Con tierras labradas, pastos permanentes y sin otras tierras	12
50183	Munébrega	d) Con tierras labradas y otras tierras, y sin pastos permanentes	23
50183	Munébrega	e) Con tierras labradas, sin pastos permanentes ni otras tierras	76
50183	Munébrega	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50184	Murero	b) Con tierras labradas, pastos permanentes y otras tierras	4
50184	Murero	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50184	Murero	d) Con tierras labradas y otras tierras, y sin pastos permanentes	8
50184	Murero	e) Con tierras labradas, sin pastos permanentes ni otras tierras	11
50184	Murero	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	1
50185	Murillo de Gállego	b) Con tierras labradas, pastos permanentes y otras tierras	5
50185	Murillo de Gállego	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50185	Murillo de Gállego	d) Con tierras labradas y otras tierras, y sin pastos permanentes	4
50185	Murillo de Gállego	e) Con tierras labradas, sin pastos permanentes ni otras tierras	15
50185	Murillo de Gállego	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50186	Navardún	a) Sin tierras	1
50186	Navardún	b) Con tierras labradas, pastos permanentes y otras tierras	3
50186	Navardún	d) Con tierras labradas y otras tierras, y sin pastos permanentes	4
50186	Navardún	e) Con tierras labradas, sin pastos permanentes ni otras tierras	19
50187	Nigüella	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
50187	Nigüella	e) Con tierras labradas, sin pastos permanentes ni otras tierras	18
50187	Nigüella	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	2
50188	Nombrevilla	b) Con tierras labradas, pastos permanentes y otras tierras	1
50188	Nombrevilla	c) Con tierras labradas, pastos permanentes y sin otras tierras	3
50188	Nombrevilla	d) Con tierras labradas y otras tierras, y sin pastos permanentes	1
50188	Nombrevilla	e) Con tierras labradas, sin pastos permanentes ni otras tierras	5
50189	Nonaspe	a) Sin tierras	7
50189	Nonaspe	c) Con tierras labradas, pastos permanentes y sin otras tierras	2
50189	Nonaspe	d) Con tierras labradas y otras tierras, y sin pastos permanentes	34
50189	Nonaspe	e) Con tierras labradas, sin pastos permanentes ni otras tierras	151
50189	Nonaspe	g) Sin tierras labradas, con pastos permanentes y sin otras tierras	1
50189	Nonaspe	h) Sin tierras labradas, sin pastos permanentes, con otras tierras	3
50190	Novallas	a) Sin tierras	3
50190	Novallas	b) Con tierras labradas, pastos permanentes y otras tierras	1
50190	Novallas	c) Con tierras labradas, pastos permanentes y sin otras tierras	1
50190	Novallas	d) Con tierras labradas y otras tierras, y sin pastos permanentes	10
50190	Novallas	e) Con tierras labradas, sin pastos permanentes ni otras tierras	95
50191	Novillas	a) Sin tierras	3
50191	Novillas	b) Con tierras labradas, pastos permanentes y otras tierras	2
50191	Novillas	c) Con tierras labradas, pastos permanentes y sin otras tierras	6
