Año	Comarca Código	Comarca Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2015	27	Andorra-Sierra de Arcos	3	Leves	1	01	General
2015	28	Bajo Aragón	10	Leves	1	01	General
2015	29	Comunidad de Teruel	34	Leves	1	01	General
2015	30	Maestrazgo	1	Leves	1	05	Trabajadores Autónomos
2015	31	Sierra de Albarracín	1	Leves	1	01	General
2015	32	Gúdar-Javalambre	1	Leves	1	01	General
2015	33	Matarraña / Matarranya	1	Leves	1	01	General
2015	NC	Municipio del centro de trabajo fuera de Aragón	1	Leves	1	01	General
2014	01	La Jacetania	15	Leves	1	01	General
2014	02	Alto Gállego	4	Leves	1	01	General
2014	03	Sobrarbe	2	Leves	1	01	General
2014	04	La Ribagorza	10	Leves	1	01	General
2014	05	Cinco Villas	16	Leves	1	01	General
2014	06	Hoya de Huesca / Plana de Uesca	50	Leves	1	01	General
2014	07	Somontano de Barbastro	15	Leves	1	01	General
2014	08	Cinca Medio	15	Leves	1	01	General
2014	09	La Litera / La Llitera	11	Leves	1	01	General
2014	10	Los Monegros	2	Leves	1	01	General
2014	11	Bajo Cinca / Baix Cinca	20	Leves	1	01	General
2014	12	Tarazona y el Moncayo	7	Leves	1	01	General
2014	13	Campo de Borja	7	Leves	1	01	General
2014	15	Ribera Alta del Ebro	23	Leves	1	01	General
2014	16	Valdejalón	29	Leves	1	01	General
2014	17	D.C. Zaragoza	1168	Leves	1	01	General
2014	17	D.C. Zaragoza	5	Leves	1	05	Trabajadores Autónomos
2014	18	Ribera Baja del Ebro	6	Leves	1	01	General
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Leves	1	01	General
2014	20	Comunidad de Calatayud	32	Leves	1	01	General
2014	21	Campo de Cariñena	9	Leves	1	01	General
2014	24	Campo de Daroca	1	Leves	1	01	General
2014	25	Jiloca	6	Leves	1	01	General
2014	26	Cuencas Mineras	2	Leves	1	01	General
2014	27	Andorra-Sierra de Arcos	2	Leves	1	01	General
2014	28	Bajo Aragón	11	Leves	1	01	General
2014	29	Comunidad de Teruel	47	Leves	1	01	General
2014	31	Sierra de Albarracín	1	Leves	1	01	General
2014	32	Gúdar-Javalambre	2	Leves	1	01	General
2014	33	Matarraña / Matarranya	1	Leves	1	01	General
2014	NC	Municipio del centro de trabajo fuera de Aragón	14	Leves	1	01	General
2013	01	La Jacetania	17	Leves	1	01	General
2013	02	Alto Gállego	13	Leves	1	01	General
2013	03	Sobrarbe	5	Leves	1	01	General
2013	04	La Ribagorza	7	Leves	1	01	General
2013	05	Cinco Villas	14	Leves	1	01	General
2013	06	Hoya de Huesca / Plana de Uesca	46	Leves	1	01	General
2013	07	Somontano de Barbastro	15	Leves	1	01	General
2013	08	Cinca Medio	23	Leves	1	01	General
2013	09	La Litera / La Llitera	7	Leves	1	01	General
2013	10	Los Monegros	13	Leves	1	01	General
2013	11	Bajo Cinca / Baix Cinca	20	Leves	1	01	General
2013	12	Tarazona y el Moncayo	9	Leves	1	01	General
2013	13	Campo de Borja	1	Leves	1	01	General
2013	14	Aranda	1	Leves	1	01	General
2013	15	Ribera Alta del Ebro	31	Leves	1	01	General
2013	16	Valdejalón	18	Leves	1	01	General
2013	17	D.C. Zaragoza	1203	Leves	1	01	General
2013	17	D.C. Zaragoza	1	Leves	1	05	Trabajadores Autónomos
2013	18	Ribera Baja del Ebro	8	Leves	1	01	General
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7	Leves	1	01	General
2013	20	Comunidad de Calatayud	28	Leves	1	01	General
2013	21	Campo de Cariñena	2	Leves	1	01	General
2013	22	Campo de Belchite	2	Leves	1	01	General
2013	23	Bajo Martín	1	Leves	1	01	General
2013	24	Campo de Daroca	4	Leves	1	01	General
2013	25	Jiloca	4	Leves	1	01	General
2013	26	Cuencas Mineras	4	Leves	1	01	General
2013	27	Andorra-Sierra de Arcos	3	Leves	1	01	General
2013	28	Bajo Aragón	12	Leves	1	01	General
2013	29	Comunidad de Teruel	58	Leves	1	01	General
2013	31	Sierra de Albarracín	2	Leves	1	01	General
2013	32	Gúdar-Javalambre	4	Leves	1	01	General
2013	33	Matarraña / Matarranya	2	Leves	1	01	General
2013	NC	Municipio del centro de trabajo fuera de Aragón	11	Leves	1	01	General
2012	01	La Jacetania	11	Leves	1	01	General
2012	02	Alto Gállego	7	Leves	1	01	General
2012	03	Sobrarbe	3	Leves	1	01	General
2012	04	La Ribagorza	1	Leves	1	01	General
2012	05	Cinco Villas	10	Leves	1	01	General
2012	06	Hoya de Huesca / Plana de Uesca	54	Leves	1	01	General
2012	07	Somontano de Barbastro	12	Leves	1	01	General
2012	08	Cinca Medio	20	Leves	1	01	General
2012	09	La Litera / La Llitera	10	Leves	1	01	General
2012	10	Los Monegros	8	Leves	1	01	General
2012	11	Bajo Cinca / Baix Cinca	15	Leves	1	01	General
2012	11	Bajo Cinca / Baix Cinca	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012	12	Tarazona y el Moncayo	5	Leves	1	01	General
2012	13	Campo de Borja	6	Leves	1	01	General
2012	14	Aranda	4	Leves	1	01	General
2012	15	Ribera Alta del Ebro	26	Leves	1	01	General
2012	16	Valdejalón	20	Leves	1	01	General
2012	17	D.C. Zaragoza	1039	Leves	1	01	General
2012	17	D.C. Zaragoza	1	Leves	1	05	Trabajadores Autónomos
2012	17	D.C. Zaragoza	2	Leves	1	06	Especial Agrario Cuenta Ajena
2012	18	Ribera Baja del Ebro	7	Leves	1	01	General
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Leves	1	01	General
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Leves	1	06	Especial Agrario Cuenta Ajena
2012	20	Comunidad de Calatayud	16	Leves	1	01	General
2012	21	Campo de Cariñena	3	Leves	1	01	General
2012	23	Bajo Martín	1	Leves	1	01	General
2012	25	Jiloca	3	Leves	1	01	General
2012	26	Cuencas Mineras	6	Leves	1	01	General
2012	27	Andorra-Sierra de Arcos	4	Leves	1	01	General
2012	28	Bajo Aragón	11	Leves	1	01	General
2012	29	Comunidad de Teruel	34	Leves	1	01	General
2012	31	Sierra de Albarracín	1	Leves	1	01	General
2012	32	Gúdar-Javalambre	3	Leves	1	01	General
2012	33	Matarraña / Matarranya	3	Leves	1	01	General
2012	NC	Municipio del centro de trabajo fuera de Aragón	9	Leves	1	01	General
2011	01	La Jacetania	8	Leves	1	01	General
2011	02	Alto Gállego	7	Leves	1	01	General
2011	03	Sobrarbe	5	Leves	1	01	General
2011	04	La Ribagorza	7	Leves	1	01	General
2011	05	Cinco Villas	16	Leves	1	01	General
2011	06	Hoya de Huesca / Plana de Uesca	53	Leves	1	01	General
2011	07	Somontano de Barbastro	13	Leves	1	01	General
2011	08	Cinca Medio	12	Leves	1	01	General
2011	08	Cinca Medio	3	Leves	1	06	Especial Agrario Cuenta Ajena
2011	09	La Litera / La Llitera	9	Leves	1	01	General
2011	09	La Litera / La Llitera	2	Leves	1	06	Especial Agrario Cuenta Ajena
2011	10	Los Monegros	9	Leves	1	01	General
2011	11	Bajo Cinca / Baix Cinca	18	Leves	1	01	General
2011	11	Bajo Cinca / Baix Cinca	1	Leves	1	06	Especial Agrario Cuenta Ajena
2011	12	Tarazona y el Moncayo	9	Leves	1	01	General
2011	13	Campo de Borja	5	Leves	1	01	General
2011	15	Ribera Alta del Ebro	45	Leves	1	01	General
2011	16	Valdejalón	31	Leves	1	01	General
2011	16	Valdejalón	1	Leves	1	06	Especial Agrario Cuenta Ajena
2011	17	D.C. Zaragoza	1219	Leves	1	01	General
2011	17	D.C. Zaragoza	2	Leves	1	05	Trabajadores Autónomos
2011	17	D.C. Zaragoza	2	Leves	1	06	Especial Agrario Cuenta Ajena
2011	18	Ribera Baja del Ebro	16	Leves	1	01	General
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	Leves	1	01	General
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Leves	1	06	Especial Agrario Cuenta Ajena
2011	20	Comunidad de Calatayud	19	Leves	1	01	General
2011	21	Campo de Cariñena	9	Leves	1	01	General
2011	22	Campo de Belchite	1	Leves	1	01	General
2011	23	Bajo Martín	1	Leves	1	01	General
2011	24	Campo de Daroca	3	Leves	1	01	General
2011	25	Jiloca	1	Leves	1	01	General
2011	26	Cuencas Mineras	3	Leves	1	01	General
2011	28	Bajo Aragón	14	Leves	1	01	General
