Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	351	VENEZUELA	3
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	407	CHINA	43
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	409	FILIPINAS	2
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	410	INDIA	1
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	415	JAPON	1
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	419	LAOS	3
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	423	MONGOLIA	1
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	426	PAKISTAN	6
06	Hoya de Huesca / Plana de Uesca	Asia	07	Asia	430	COREA	2
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	102	AUSTRIA	5
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	103	BELGICA	2
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	110	FRANCIA	69
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	113	IRLANDA	1
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	115	ITALIA	19
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	121	PAISES BAJOS	8
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	123	PORTUGAL	46
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	125	REINO UNIDO	19
06	Hoya de Huesca / Plana de Uesca	Europa	01	UE-15	126	ALEMANIA	8
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	104	BULGARIA	41
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	122	POLONIA	11
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	128	RUMANIA	29
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	132	SUIZA	1
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	135	UCRANIA	56
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	138	BIELORRUSIA	2
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	142	LITUANIA	4
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	147	ESLOVENIA	1
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	148	ARMENIA	13
06	Hoya de Huesca / Plana de Uesca	Europa	02	Resto de Europa	154	RUSIA	8
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	203	ARGELIA	54
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	228	MARRUECOS	103
06	Hoya de Huesca / Plana de Uesca	África	03	Magreb	230	MAURITANIA	62
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	201	BURKINA FASO	17
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	202	ANGOLA	5
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	207	CABO VERDE	3
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	209	COMORES	1
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	211	COSTA DE MARFIL	8
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	216	GAMBIA	74
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	217	GHANA	36
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	218	GUINEA	17
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	220	GUINEA ECUATORIAL	4
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	221	KENIA	5
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	223	LIBERIA	2
06	Hoya de Huesca / Plana de Uesca	África	04	Resto de África	227	MALI	10
