Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sector código	Sector descripción	Cuentas cotización con trabajadores
201706	Junio 2017	22	Huesca	4	Servicios	8803
201706	Junio 2017	44	Teruel	1	Agricultura, ganadería y pesca	672
201706	Junio 2017	44	Teruel	2	Industria y energía	594
201706	Junio 2017	44	Teruel	3	Construcción	679
201706	Junio 2017	44	Teruel	4	Servicios	4785
201706	Junio 2017	50	Zaragoza	1	Agricultura, ganadería y pesca	2206
201706	Junio 2017	50	Zaragoza	2	Industria y energía	3488
201706	Junio 2017	50	Zaragoza	3	Construcción	2535
201706	Junio 2017	50	Zaragoza	4	Servicios	35864
201703	Marzo 2017	22	Huesca	1	Agricultura, ganadería y pesca	1482
201703	Marzo 2017	22	Huesca	2	Industria y energía	978
201703	Marzo 2017	22	Huesca	3	Construcción	968
201703	Marzo 2017	22	Huesca	4	Servicios	8753
201703	Marzo 2017	44	Teruel	1	Agricultura, ganadería y pesca	610
201703	Marzo 2017	44	Teruel	2	Industria y energía	581
201703	Marzo 2017	44	Teruel	3	Construcción	649
201703	Marzo 2017	44	Teruel	4	Servicios	4757
201703	Marzo 2017	50	Zaragoza	1	Agricultura, ganadería y pesca	1853
201703	Marzo 2017	50	Zaragoza	2	Industria y energía	3470
201703	Marzo 2017	50	Zaragoza	3	Construcción	2468
201703	Marzo 2017	50	Zaragoza	4	Servicios	36117
201612	Diciembre 2016	22	Huesca	1	Agricultura, ganadería y pesca	1542
201612	Diciembre 2016	22	Huesca	2	Industria y energía	978
201612	Diciembre 2016	22	Huesca	3	Construcción	942
201612	Diciembre 2016	22	Huesca	4	Servicios	8842
201612	Diciembre 2016	44	Teruel	1	Agricultura, ganadería y pesca	613
201612	Diciembre 2016	44	Teruel	2	Industria y energía	597
201612	Diciembre 2016	44	Teruel	3	Construcción	642
201612	Diciembre 2016	44	Teruel	4	Servicios	4777
201612	Diciembre 2016	50	Zaragoza	1	Agricultura, ganadería y pesca	1889
201612	Diciembre 2016	50	Zaragoza	2	Industria y energía	3471
201612	Diciembre 2016	50	Zaragoza	3	Construcción	2437
201612	Diciembre 2016	50	Zaragoza	4	Servicios	36153
201609	Septiembre 2016	22	Huesca	1	Agricultura, ganadería y pesca	1506
201609	Septiembre 2016	22	Huesca	2	Industria y energía	979
201609	Septiembre 2016	22	Huesca	3	Construcción	994
201609	Septiembre 2016	22	Huesca	4	Servicios	8696
201609	Septiembre 2016	44	Teruel	1	Agricultura, ganadería y pesca	639
201609	Septiembre 2016	44	Teruel	2	Industria y energía	598
201609	Septiembre 2016	44	Teruel	3	Construcción	667
201609	Septiembre 2016	44	Teruel	4	Servicios	4727
201609	Septiembre 2016	50	Zaragoza	1	Agricultura, ganadería y pesca	2034
201609	Septiembre 2016	50	Zaragoza	2	Industria y energía	3475
201609	Septiembre 2016	50	Zaragoza	3	Construcción	2467
201609	Septiembre 2016	50	Zaragoza	4	Servicios	35911
201606	Junio 2016	22	Huesca	1	Agricultura, ganadería y pesca	1878
201606	Junio 2016	22	Huesca	2	Industria y energía	985
201606	Junio 2016	22	Huesca	3	Construcción	1002
201606	Junio 2016	22	Huesca	4	Servicios	8899
201606	Junio 2016	44	Teruel	1	Agricultura, ganadería y pesca	671
201606	Junio 2016	44	Teruel	2	Industria y energía	614
201606	Junio 2016	44	Teruel	3	Construcción	712
201606	Junio 2016	44	Teruel	4	Servicios	4762
201606	Junio 2016	50	Zaragoza	1	Agricultura, ganadería y pesca	2185
201606	Junio 2016	50	Zaragoza	2	Industria y energía	3515
201606	Junio 2016	50	Zaragoza	3	Construcción	2541
201606	Junio 2016	50	Zaragoza	4	Servicios	36020
201603	Marzo 2016	22	Huesca	1	Agricultura, ganadería y pesca	1444
201603	Marzo 2016	22	Huesca	2	Industria y energía	988
201603	Marzo 2016	22	Huesca	3	Construcción	980
201603	Marzo 2016	22	Huesca	4	Servicios	8832
201603	Marzo 2016	44	Teruel	1	Agricultura, ganadería y pesca	598
201603	Marzo 2016	44	Teruel	2	Industria y energía	605
201603	Marzo 2016	44	Teruel	3	Construcción	650
201603	Marzo 2016	44	Teruel	4	Servicios	4747
201603	Marzo 2016	50	Zaragoza	1	Agricultura, ganadería y pesca	1762
201603	Marzo 2016	50	Zaragoza	2	Industria y energía	3498
201603	Marzo 2016	50	Zaragoza	3	Construcción	2490
201603	Marzo 2016	50	Zaragoza	4	Servicios	36126
201512	Diciembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	1480
201512	Diciembre 2015	22	Huesca	2	Industria y energía	994
201512	Diciembre 2015	22	Huesca	3	Construcción	961
201512	Diciembre 2015	22	Huesca	4	Servicios	8856
201512	Diciembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	589
201512	Diciembre 2015	44	Teruel	2	Industria y energía	617
201512	Diciembre 2015	44	Teruel	3	Construcción	671
201512	Diciembre 2015	44	Teruel	4	Servicios	4718
201512	Diciembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	1793
201512	Diciembre 2015	50	Zaragoza	2	Industria y energía	3498
