Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	22086	Castiello de Jaca	681	12640	12640	77757	77757
2003	22087	Castigaleu	58	300	300	1201	1201
2003	22088	Castillazuelo	247	1378	1378	8956	8956
2003	22089	Castillonroy	411	5089	5089	34249	34249
2003	22090	Colungo	128	797	797	3190	3190
2003	22094	Chalamera	127	954	954	4485	4485
2003	22095	Chía	96	1361	1361	9733	9733
2003	22096	Chimillas	184	3151	3151	12604	12604
2003	22099	Esplús	643	5844	5844	33601	33601
2003	22102	Estada	199	3534	3534	31923	31923
2003	22103	Estadilla	788	13977	13977	66072	66072
2003	22105	Estopiñán del Castillo	233	6054	6054	71746	71746
2003	22106	Fago	139	465	465	2322	2322
2003	22107	Fanlo	213	623	623	5297	5297
2003	22109	Fiscal	467	5470	5470	38290	38290
2003	22110	Fonz	1026	8610	8610	52941	52941
2003	22111	Foradada del Toscar	202	1765	1765	7058	7058
2003	22112	Fraga	8452	213238	191512	1589551	1432124
2003	22113	Fueva (La)	381	21974	21974	259229	259229
2003	22114	Gistaín	134	851	851	4254	4254
2003	22115	Grado (El)	645	19845	19845	168902	168902
2003	22116	Grañén	1349	18351	18351	124786	124786
2003	22117	Graus	4100	50482	50482	377377	377377
2003	22119	Gurrea de Gállego	1237	14398	14398	93587	93587
2003	22122	Hoz de Jaca	190	4283	4283	23222	23222
2003	22124	Huerto	380	3135	3135	12538	12538
2003	22125	Huesca	40487	1290653	860807	7489023	7435528
2003	22126	Ibieca	140	906	906	4530	4530
2003	22127	Igriés	222	4205	4205	25229	25022
2003	22128	Ilche	254	1676	1676	6704	6704
2003	22129	Isábena	310	3721	3721	14885	14885
2003	22130	Jaca	22233	504327	504327	3530288	3516931
2003	22131	Jasa	201	1238	1238	7429	7429
2003	22133	Labuerda	211	2587	2587	12933	12933
2003	22135	Laluenga	243	2476	2476	12381	12381
2003	22136	Lalueza	728	9622	9622	79862	79862
2003	22137	Lanaja	1172	12606	12606	88242	88242
2003	22139	Laperdiguera	108	624	624	2497	2497
2003	22141	Lascellas-Ponzano	258	1799	1799	10792	10792
2003	22142	Lascuarre	188	1207	1207	9653	9653
2003	22143	Laspaúles	327	2436	2436	12182	12182
2003	22144	Laspuña	208	2448	2448	20691	20691
2003	22149	Loarre	752	4169	4169	16678	16678
2003	22150	Loporzano	641	6670	6670	52983	52983
2003	22151	Loscorrales	215	1000	1000	4001	4001
2003	22155	Monesma y Cajigar	60	298	298	2085	2085
2003	22156	Monflorite-Lascasas	309	3031	3031	15153	15153
2003	22157	Montanuy	296	66313	66313	844392	844392
2003	22158	Monzón	11057	210588	194664	1810375	1806567
2003	22160	Naval	244	9188	9188	110195	110195
2003	22162	Novales	136	1390	1390	5561	5561
2003	22163	Nueno	541	10148	10148	65959	65959
2003	22164	Olvena	81	471	471	1884	1884
2003	22165	Ontiñena	553	4702	4702	16456	16456
2003	22167	Osso de Cinca	404	4901	4901	24507	24507
2003	22168	Palo	42	983	983	7085	7085
2003	22170	Panticosa	2167	42970	42970	186792	186792
2003	22172	Peñalba	471	20183	20183	90825	26824
2003	22173	Peñas de Riglos (Las)	573	5742	5742	34903	34903
2003	22174	Peralta de Alcofea	693	5792	5792	43438	43438
2003	22175	Peralta de Calasanz	387	3843	3843	15372	15372
2003	22176	Peraltilla	159	1338	1338	7358	7358
2003	22177	Perarrúa	196	1836	1836	7343	7343
2003	22178	Pertusa	184	1741	1741	13582	13582
2003	22181	Piracés	90	496	496	2730	2730
2003	22182	Plan	362	4955	4955	29730	29730
2003	22184	Poleñino	183	2228	2228	16045	16045
2003	22186	Pozán de Vero	223	1537	1537	10759	10759
2003	22187	Puebla de Castro (La)	727	15590	11206	55323	55323
2003	22188	Puente de Montañana	291	1329	1329	7444	7444
2003	22189	Puértolas	149	1484	1484	5937	5937
2003	22190	Pueyo de Araguás (El)	105	785	785	3927	3927
2003	22193	Pueyo de Santa Cruz	236	2337	2337	17527	17527
2003	22195	Quicena	143	1745	1745	6980	6980
2003	22197	Robres	475	7482	7482	44893	44893
2003	22199	Sabiñánigo	7639	147950	128517	1187379	1181001
2003	22200	Sahún	635	15738	15738	109901	109901
2003	22201	Salas Altas	295	2181	2181	13086	13086
2003	22202	Salas Bajas	153	1361	1361	4083	4083
2003	22203	Salillas	127	990	990	3960	3960
2003	22204	Sallent de Gállego	3953	80495	80495	399630	399630
2003	22205	San Esteban de Litera	797	10483	6678	46743	46743
2003	22206	Sangarrén	193	2604	2604	20833	20833
2003	22207	San Juan de Plan	113	886	886	6132	6132
2003	22208	Santa Cilia	211	1547	1547	9283	9283
2003	22209	Santa Cruz de la Serós	190	1953	1953	9767	9767
2003	22212	Santaliestra y San Quílez	106	832	832	4662	4662
2003	22213	Sariñena	3137	53876	53876	285541	280202
2003	22214	Secastilla	270	17972	17972	203060	203060
2003	22215	Seira	169	3798	3798	35187	35187
2003	22217	Sena	634	8316	5591	33544	33544
2003	22218	Senés de Alcubierre	94	771	771	4469	4469
2003	22220	Sesa	220	2436	2436	9745	9745
2003	22221	Sesué	172	2470	2470	20394	20394
2003	22222	Siétamo	564	6489	6489	32446	32446
2003	22223	Sopeira	208	8591	8591	100737	100737
2003	22225	Tamarite de Litera	2702	42554	42554	306391	306391
2003	22226	Tardienta	895	13885	13885	99974	99974
2003	22227	Tella-Sin	254	3370	3370	20218	20218
2003	22228	Tierz	129	1408	1408	4223	4223
2003	22229	Tolva	272	1550	1550	9301	9301
2003	22230	Torla-Ordesa	491	8517	8517	34067	34067
2003	22232	Torralba de Aragón	178	2331	2331	13987	13987
2003	22233	Torre la Ribera	75	821	821	3282	3282
2003	22234	Torrente de Cinca	691	22707	22707	102180	49076
2003	22235	Torres de Alcanadre	141	1066	1066	5863	5863
2003	22236	Torres de Barbués	191	2384	2384	13350	13350
2003	22239	Tramaced	97	1172	1172	4688	4688
2003	22242	Valfarta	99	1819	923	3968	3968
2003	22243	Valle de Bardají	35	286	286	1716	1716
2003	22244	Valle de Lierp	56	436	436	2614	2614
2003	22245	Velilla de Cinca	434	5727	3876	19376	19376
2003	22246	Beranuy	114	975	975	3899	3899
2003	22247	Viacamp y Litera	37	19387	19387	251399	251399
2003	22248	Vicién	157	1239	1239	6195	6195
2003	22249	Villanova	198	3761	3761	27333	27333
2003	22250	Villanúa	1676	41792	41792	195432	193759
2003	22251	Villanueva de Sigena	362	5991	4157	27022	27022
2003	22252	Yebra de Basa	124	1061	1061	7427	7427
2003	22253	Yésero	198	980	980	980	980
2003	22254	Zaidín	1268	14467	14467	57867	57867
2003	22901	Valle de Hecho	1025	11579	11579	46315	46315
2003	22902	Puente la Reina de Jaca	366	3847	3847	19617	19617
2003	22903	San Miguel del Cinca	588	6474	6474	31075	31075
2003	22904	Sotonera (La)	1022	11976	11976	52696	52696
2003	22905	Lupiñén-Ortilla	579	9181	9181	46822	46822
2003	22906	Santa María de Dulcis	151	1253	1253	10024	10024
2003	22907	Aínsa-Sobrarbe	1706	50372	50372	451356	451172
2003	22908	Hoz y Costeán	320	1466	1466	4397	4397
2003	22909	Vencillón	172	2954	2954	14771	14719
2003	44001	Ababuj	137	935	935	3740	3740
2003	44002	Abejuela	231	801	801	6808	6808
2003	44003	Aguatón	48	230	230	1150	1150
2003	44004	Aguaviva	819	8673	8673	43365	43365
2003	44005	Aguilar del Alfambra	142	996	996	4482	4482
2003	44006	Alacón	526	4592	4592	18368	18368
2003	44007	Alba	328	2728	2728	16368	16368
2003	44008	Albalate del Arzobispo	2406	28328	22542	128489	128489
2003	44009	Albarracín	1113	22020	14749	81120	81120
2003	44010	Albentosa	509	5952	5952	32736	32736
2003	44011	Alcaine	249	910	910	3640	3640
2003	44012	Alcalá de la Selva	1759	28213	28213	112852	112852
2003	44013	Alcañiz	10490	182048	182048	1092288	1092288
2003	44014	Alcorisa	3012	43851	39972	279804	279804
2003	44016	Alfambra	590	6879	6879	31643	31643
2003	44017	Aliaga	716	6365	6365	31825	31825
2003	44018	Almohaja	70	368	368	1472	1472
2003	44019	Alobras	155	1110	1110	6660	6660
2003	44020	Alpeñés	61	368	368	1656	1656
2003	44021	Allepuz	232	1354	1354	6770	6770
2003	44022	Alloza	1005	8835	8835	36224	36224
2003	44023	Allueva	56	218	218	1417	1417
2003	44024	Anadón	84	497	497	4224	4224
2003	44025	Andorra	5265	134887	134887	809322	809322
2003	44026	Arcos de las Salinas	405	3599	3599	28792	28792
2003	44027	Arens de Lledó	234	2079	2079	12474	12474
2003	44028	Argente	278	2068	2068	10340	10340
2003	44029	Ariño	894	8771	8771	61397	61397
2003	44031	Azaila	273	1823	1823	11850	11850
2003	44032	Bádenas	66	306	306	1224	1224
2003	44033	Báguena	689	5153	5153	25765	25765
2003	44034	Bañón	231	1516	1516	6064	6064
2003	44035	Barrachina	245	1637	1637	8185	8185
2003	44036	Bea	58	319	319	1595	1595
2003	44037	Beceite	672	6574	6574	26296	26296
2003	44038	Belmonte de San José	253	2226	2226	12243	12243
2003	44039	Bello	543	4119	4119	16476	16476
2003	44040	Berge	269	1751	1751	7004	7004
2003	44041	Bezas	134	901	901	3604	3604
2003	44042	Blancas	309	2108	2108	8432	8432
2003	44043	Blesa	330	1924	1924	7696	7696
2003	44044	Bordón	189	1411	1411	10582	10582
2003	44045	Bronchales	988	18867	12641	63205	63205
2003	44046	Bueña	142	591	591	4137	4137
2003	44047	Burbáguena	436	4537	4537	18148	18148
2003	44048	Cabra de Mora	163	1359	1359	6795	6795
2003	44049	Calaceite	1085	11963	11963	86134	86134
2003	44050	Calamocha	4545	83762	83762	452315	452315
2003	44051	Calanda	2793	36500	36500	229950	229950
2003	44052	Calomarde	164	1286	1286	5144	5144
2003	44053	Camañas	170	1028	1028	5140	5140
2003	44054	Camarena de la Sierra	345	2823	2823	14115	14115
2003	44055	Camarillas	234	1933	1933	9665	9665
2003	44056	Caminreal	776	9715	9715	48575	48575
2003	44059	Cantavieja	681	9027	9027	54162	54162
2003	44060	Cañada de Benatanduz	148	722	722	2888	2888
2003	44061	Cañada de Verich (La)	127	759	759	4554	4554
2003	44062	Cañada Vellida	61	580	580	3480	3480
2003	44063	Cañizar del Olivar	215	1457	1457	12384	12384
2003	44064	Cascante del Río	212	1541	1541	9246	9246
2003	44065	Castejón de Tornos	175	884	884	3536	3536
2003	44066	Castel de Cabra	300	2496	2496	9984	9984
2003	44067	Castelnou	231	2174	2174	10870	10870
2003	44068	Castelserás	868	9179	9179	36716	36716
2003	44070	Castellar (El)	157	1244	1244	6842	6842
2003	44071	Castellote	1256	11165	11165	44660	44660
2003	44074	Cedrillas	444	4476	4476	17904	17904
2003	44075	Celadas	284	3407	3407	13628	13628
2003	44076	Cella	2216	35855	35855	179275	179275
2003	44077	Cerollera (La)	125	661	661	3966	3966
2003	44080	Codoñera (La)	451	4105	4105	18472	18472
2003	44082	Corbalán	142	864	864	3456	3456
2003	44084	Cortes de Aragón	197	1007	1007	6042	6042
2003	44085	Cosa	145	1147	1147	4588	4588
2003	44086	Cretas	616	6605	6605	29722	29722
2003	44087	Crivillén	252	1471	1471	7355	7355
2003	44088	Cuba (La)	133	655	655	4585	4585
2003	44089	Cubla	132	1214	1214	4856	4856
2003	44090	Cucalón	207	1367	1367	5468	5468
2003	44092	Cuervo (El)	228	1748	1748	10488	10488
2003	44093	Cuevas de Almudén	106	1023	1023	4092	4092
2003	44094	Cuevas Labradas	147	1265	1265	5692	5692
2003	44096	Ejulve	392	2921	2921	11684	11684
2003	44097	Escorihuela	244	1489	1489	8934	8934
2003	44099	Escucha	857	10678	10678	90763	90763
2003	44100	Estercuel	499	4168	4168	20840	20840
2003	44101	Ferreruela de Huerva	134	925	925	4625	4625
2003	44102	Fonfría	66	368	368	1472	1472
2003	44103	Formiche Alto	308	2593	2593	15558	15558
2003	44105	Fórnoles	278	1771	1771	7084	7084
2003	44106	Fortanete	445	2703	2703	18921	18921
2003	44107	Foz-Calanda	305	3019	3019	13586	13586
2003	44108	Fresneda (La)	681	7300	7300	43800	43800
2003	44109	Frías de Albarracín	249	1878	1878	7512	7512
2003	44110	Fuenferrada	107	654	654	2616	2616
2003	44111	Fuentes Calientes	139	1385	1385	5540	5540
2003	44112	Fuentes Claras	531	6174	6174	24696	24696
2003	44113	Fuentes de Rubielos	241	1467	1467	8802	8802
2003	44114	Fuentespalda	328	3667	3667	22002	22002
2003	44115	Galve	133	1133	1133	8498	8498
2003	44116	Gargallo	221	1764	1764	7056	7056
2003	44117	Gea de Albarracín	567	4935	4935	34545	34545
2003	44118	Ginebrosa (La)	410	3705	3705	18525	18525
2003	44119	Griegos	212	2119	2119	10595	10595
2003	44120	Guadalaviar	364	3450	3450	13800	13800
2003	44121	Gúdar	138	982	982	3928	3928
2003	44122	Híjar	1578	22034	22034	125594	125594
2003	44123	Hinojosa de Jarque	171	1421	1421	5684	5684
2003	44124	Hoz de la Vieja (La)	317	1276	1276	7656	7656
2003	44125	Huesa del Común	342	1428	1428	5712	5712
2003	44126	Iglesuela del Cid (La)	563	4932	4932	24660	24660
2003	44127	Jabaloyas	215	1440	1440	5760	5760
2003	44128	Jarque de la Val	118	1265	1265	5060	5060
2003	44129	Jatiel	107	857	857	4885	4885
2003	44130	Jorcas	114	619	619	3095	3095
2003	44131	Josa	165	620	620	3720	3720
2003	44132	Lagueruela	132	789	789	3945	3945
2003	44133	Lanzuela	79	424	424	1908	1908
2003	44135	Libros	259	1706	1706	6824	6824
2003	44136	Lidón	135	1055	1055	5275	5275
2003	44137	Linares de Mora	359	2815	2815	11260	11260
2003	44138	Loscos	475	1945	1945	7780	7780
2003	44141	Lledó	185	1656	1656	6624	6624
2003	44142	Maicas	89	388	388	1940	1940
2003	44143	Manzanera	1273	11289	11289	56445	56445
2003	44144	Martín del Río	473	4681	4681	29490	29490
2003	44145	Mas de las Matas	1431	25573	20590	107068	107068
2003	44146	Mata de los Olmos (La)	235	2602	2602	10408	10408
2003	44147	Mazaleón	641	6219	6219	37314	37314
2003	44148	Mezquita de Jarque	129	1168	1168	4672	4672
2003	44149	Mirambel	222	2625	2625	11812	11812
2003	44150	Miravete de la Sierra	104	645	645	3870	3870
2003	44151	Molinos	444	3616	3616	14464	14464
2003	44152	Monforte de Moyuela	205	1014	1014	4056	4056
2003	44153	Monreal del Campo	2020	35565	35565	152930	152930
2003	44154	Monroyo	309	3462	3462	20772	20772
2003	44155	Montalbán	1637	15237	15237	85327	85327
2003	44156	Monteagudo del Castillo	147	952	952	3808	3808
2003	44157	Monterde de Albarracín	204	1243	1243	4972	4972
2003	44158	Mora de Rubielos	1769	18116	18116	126812	126812
2003	44159	Moscardón	148	977	977	3908	3908
2003	44160	Mosqueruela	633	8068	8068	32272	32272
2003	44161	Muniesa	894	10866	10866	43464	43464
2003	44163	Noguera de Albarracín	245	1770	1770	7080	7080
2003	44164	Nogueras	142	506	506	2024	2024
2003	44165	Nogueruelas	308	2595	2595	12975	12975
2003	44167	Obón	310	1175	1175	9988	9988
2003	44168	Odón	299	2581	2581	11614	11614
2003	44169	Ojos Negros	838	8009	8009	48054	48054
2003	44171	Olba	621	3709	3709	20400	20400
2003	44172	Oliete	765	6557	6557	26228	26228
2003	44173	Olmos (Los)	211	1602	1602	6408	6408
2003	44174	Orihuela del Tremedal	743	6965	6965	45272	45272
2003	44175	Orrios	192	1768	1768	7072	7072
2003	44176	Palomar de Arroyos	254	1665	1665	6660	6660
2003	44177	Pancrudo	317	2023	2023	9104	9104
2003	44178	Parras de Castellote (Las)	263	1429	1429	7145	7145
2003	44179	Peñarroya de Tastavins	472	3848	3848	15392	15392
2003	44180	Peracense	157	862	862	3879	3879
2003	44181	Peralejos	119	920	920	4140	4140
2003	44182	Perales del Alfambra	321	3637	3637	22186	22186
2003	44183	Pitarque	222	899	899	5394	5394
2003	44184	Plou	132	623	623	2492	2492
2003	44185	Pobo (El)	178	1696	1696	6784	6784
2003	44187	Portellada (La)	313	3120	3120	18720	18720
2003	44189	Pozondón	199	1519	1519	6076	6076
2003	44190	Pozuel del Campo	209	1173	1173	5278	5278
2003	44191	Puebla de Híjar (La)	1079	14216	14216	85296	85296
2003	44192	Puebla de Valverde (La)	512	5834	5834	38504	38504
2003	44193	Puertomingalvo	278	1957	1957	7828	7828
2003	44194	Ráfales	288	2106	2106	12636	12636
2003	44195	Rillo	165	1134	1134	4536	4536
2003	44196	Riodeva	351	1672	1672	13376	13376
2003	44197	Ródenas	172	1154	1154	4616	4616
2003	44198	Royuela	337	2955	2955	11820	11820
2003	44199	Rubiales	84	490	490	2940	2940
2003	44200	Rubielos de la Cérida	112	416	416	2080	2080
2003	44201	Rubielos de Mora	1053	12994	12994	87060	87060
2003	44203	Salcedillo	42	167	167	1086	1086
2003	44204	Saldón	157	811	811	4866	4866
2003	44205	Samper de Calanda	937	11163	11163	61396	61396
2003	44206	San Agustín	331	2424	2424	12120	12120
2003	44207	San Martín del Río	519	3059	3059	12236	12236
2003	44208	Santa Cruz de Nogueras	88	356	356	1424	1424
2003	44209	Santa Eulalia	1078	18960	18960	85320	85320
2003	44210	Sarrión	1539	16911	16911	118377	118377
2003	44211	Segura de los Baños	195	1003	1003	4012	4012
2003	44212	Seno	111	899	899	3596	3596
2003	44213	Singra	178	1215	1215	4860	4860
2003	44215	Terriente	242	1998	1998	7992	7992
2003	44216	Teruel	25750	782700	782700	3631600	3380100
2003	44217	Toril y Masegoso	83	458	458	1832	1832
2003	44218	Tormón	91	547	547	3282	3282
2003	44219	Tornos	436	3070	3070	12280	12280
2003	44220	Torralba de los Sisones	245	2557	2557	12785	12785
2003	44221	Torrecilla de Alcañiz	465	4114	4114	17279	17279
2003	44222	Torrecilla del Rebollar	261	1768	1768	7072	7072
2003	44223	Torre de Arcas	128	892	892	4460	4460
2003	44224	Torre de las Arcas	120	564	564	2256	2256
2003	44225	Torre del Compte	315	3359	3359	18810	18810
2003	44226	Torrelacárcel	420	4151	4151	16604	16604
2003	44227	Torre los Negros	176	1178	1178	4712	4712
2003	44228	Torremocha de Jiloca	205	1629	1629	8145	8145
2003	44229	Torres de Albarracín	272	2398	2398	9592	9592
2003	44230	Torrevelilla	240	1942	1942	13594	13594
2003	44231	Torrijas	296	2039	2039	16312	16312
2003	44232	Torrijo del Campo	523	5187	5187	20748	20748
2003	44234	Tramacastiel	282	1343	1343	8730	8730
2003	44235	Tramacastilla	237	1725	1725	6900	6900
2003	44236	Tronchón	206	1154	1154	5193	5193
2003	44237	Urrea de Gaén	574	5997	5997	23988	23988
2003	44238	Utrillas	2312	16300	16300	122250	122250
2003	44239	Valacloche	76	519	519	2076	2076
2003	44240	Valbona	343	2777	2777	18050	18050
2003	44241	Valdealgorfa	784	9373	9373	56238	56238
2003	44243	Valdecuenca	124	625	625	5000	5000
2003	44244	Valdelinares	189	1054	1054	4216	4216
2003	44245	Valdeltormo	416	5458	5458	26744	26744
2003	44246	Valderrobres	1741	39477	33364	200184	200184
2003	44247	Valjunquera	451	4984	4984	29904	29904
2003	44249	Vallecillo (El)	115	602	602	2408	2408
2003	44250	Veguillas de la Sierra	66	425	425	2550	2550
2003	44251	Villafranca del Campo	418	3410	3410	15345	15345
2003	44252	Villahermosa del Campo	114	818	818	3681	3681
2003	44256	Villanueva del Rebollar de la Sierra	109	660	660	2970	2970
2003	44257	Villar del Cobo	273	1802	1802	7208	7208
2003	44258	Villar del Salz	151	953	953	3812	3812
2003	44260	Villarluengo	293	2200	2200	8800	8800
2003	44261	Villarquemado	776	12549	12549	75294	75294
2003	44262	Villarroya de los Pinares	250	1940	1940	9700	9700
2003	44263	Villastar	366	2985	2985	21492	21492
2003	44264	Villel	472	3776	3776	26432	26432
2003	44265	Vinaceite	281	2276	2276	13656	13656
2003	44266	Visiedo	220	1833	1833	9715	9715
2003	44267	Vivel del Río Martín	274	1804	1804	10824	10824
2003	44268	Zoma (La)	62	240	240	960	960
2003	50001	Abanto	295	1213	1213	4854	4854
2003	50002	Acered	367	1550	1550	10849	10849
2003	50003	Agón	171	1852	1852	11114	11114
2003	50004	Aguarón	857	8788	8788	72064	72064
2003	50005	Aguilón	514	2291	2291	11454	11454
2003	50006	Ainzón	969	10494	10494	68214	68214
2003	50007	Aladrén	171	480	480	3363	3363
2003	50008	Alagón	3416	118513	87748	553950	487974
2003	50009	Alarba	222	1225	1225	4898	4898
2003	50010	Alberite de San Juan	96	488	488	2441	2441
2003	50011	Albeta	183	1408	1408	7039	7039
2003	50012	Alborge	175	1476	1167	8167	8167
2003	50013	Alcalá de Ebro	249	2598	2598	10390	10390
2003	50014	Alcalá de Moncayo	297	1277	1277	5107	5107
2003	50015	Alconchel de Ariza	481	2118	2118	8472	8472
2003	50016	Aldehuela de Liestos	145	650	650	2599	2599
2003	50017	Alfajarín	1387	5305	1687	205492	192534
2003	50018	Alfamén	915	13322	13322	85260	85260
2003	50019	Alforque	161	1487	1233	4932	4932
2003	50020	Alhama de Aragón	1136	17848	17848	116012	116012
2003	50021	Almochuel	106	416	416	2081	2081
2003	50022	Almolda (La)	519	31743	31743	158717	52019
2003	50023	Almonacid de la Cuba	434	1686	1686	11803	11803
2003	50024	Almonacid de la Sierra	1117	8393	8393	46998	46998
2003	50025	Almunia de Doña Godina (La)	3957	86405	86405	432023	432023
2003	50026	Alpartir	616	4937	4937	24685	24685
2003	50027	Ambel	547	2432	2432	20670	20670
2003	50028	Anento	159	505	505	4296	4296
2003	50029	Aniñón	844	7478	7478	29913	29913
2003	50030	Añón de Moncayo	742	5437	5437	27184	27184
2003	50031	Aranda de Moncayo	654	3382	3382	20291	20291
2003	50032	Arándiga	671	4286	4286	21428	21428
2003	50033	Ardisa	129	1814	1814	14514	14514
2003	50034	Ariza	1454	15793	15793	83701	83701
2003	50035	Artieda	127	753	753	4515	4515
2003	50036	Asín	171	713	713	4988	4988
2003	50037	Atea	562	2782	2782	11130	11130
2003	50038	Ateca	1745	21539	21539	129236	129236
2003	50039	Azuara	1077	8504	8504	42521	42521
2003	50040	Badules	162	1145	1145	4578	4578
2003	50041	Bagüés	75	321	321	1990	1990
2003	50042	Balconchán	82	223	223	893	893
2003	50043	Bárboles	385	3636	3636	15272	15272
2003	50044	Bardallur	357	2617	2617	10467	10467
2003	50045	Belchite	1131	15439	15439	100355	100355
2003	50046	Belmonte de Gracián	306	2283	2283	11415	11415
2003	50047	Berdejo	153	460	460	1841	1841
2003	50048	Berrueco	77	343	343	1920	1920
2003	50050	Bijuesca	365	1081	1081	4325	4325
2003	50051	Biota	930	10396	10396	66535	66535
2003	50052	Bisimbre	113	3251	3251	19508	14306
2003	50053	Boquiñeni	715	11845	11845	52830	41230
2003	50054	Bordalba	214	895	895	3581	3581
2003	50055	Borja	4032	50952	50952	434623	434623
2003	50056	Botorrita	388	5760	5760	34562	34562
2003	50057	Brea de Aragón	1601	24416	24416	122079	122079
2003	50058	Bubierca	293	926	926	3704	3704
2003	50059	Bujaraloz	686	21114	21114	84457	69506
2003	50060	Bulbuente	385	2295	2295	19509	19509
2003	50061	Bureta	284	2403	2403	12016	12016
2003	50062	Burgo de Ebro (El)	1480	112582	52668	210671	210671
2003	50063	Buste (El)	200	1264	1264	5055	5055
2003	50064	Cabañas de Ebro	450	6743	6743	43829	43829
2003	50065	Cabolafuente	286	1311	1311	5245	5245
2003	50066	Cadrete	2126	57638	57638	253607	253607
2003	50067	Calatayud	14468	390893	390893	1707092	1701973
2003	50068	Calatorao	1847	33377	33377	141853	141853
2003	50069	Calcena	131	392	392	2354	2354
2003	50070	Calmarza	236	1260	1260	8823	8823
2003	50071	Campillo de Aragón	312	1937	1937	11623	11623
2003	50072	Carenas	599	8304	8304	51521	51521
