Municipio código	Municipio nombre	Tipo edificio (agregado)	Tipo edificio (detalle)	Número de edificios
22232	Torralba de Aragón	Otro tipo	Locales	6
22232	Torralba de Aragón	Principalmente vivienda	Edificio sólo con una vivienda familiar	70
22232	Torralba de Aragón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22232	Torralba de Aragón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22233	Torre la Ribera	Otro tipo	Locales	4
22233	Torre la Ribera	Principalmente vivienda	Edificio sólo con una vivienda familiar	49
22233	Torre la Ribera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22233	Torre la Ribera	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22233	Torre la Ribera	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22234	Torrente de Cinca	Otro tipo	Locales	28
22234	Torrente de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	358
22234	Torrente de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	45
22234	Torrente de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	24
22235	Torres de Alcanadre	Otro tipo	Locales	8
22235	Torres de Alcanadre	Principalmente vivienda	Edificio sólo con una vivienda familiar	90
22235	Torres de Alcanadre	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22236	Torres de Barbués	Otro tipo	Locales	7
22236	Torres de Barbués	Principalmente vivienda	Edificio sólo con una vivienda familiar	150
22236	Torres de Barbués	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22239	Tramaced	Otro tipo	Locales	5
22239	Tramaced	Principalmente vivienda	Edificio sólo con una vivienda familiar	44
22239	Tramaced	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22239	Tramaced	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22242	Valfarta	Otro tipo	Locales	3
22242	Valfarta	Principalmente vivienda	Edificio sólo con una vivienda familiar	59
22243	Valle de Bardají	Otro tipo	Locales	4
22243	Valle de Bardají	Principalmente vivienda	Edificio sólo con una vivienda familiar	19
22243	Valle de Bardají	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22244	Valle de Lierp	Otro tipo	Locales	4
22244	Valle de Lierp	Principalmente vivienda	Edificio sólo con una vivienda familiar	38
22244	Valle de Lierp	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22244	Valle de Lierp	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22245	Velilla de Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22245	Velilla de Cinca	Otro tipo	Locales	5
22245	Velilla de Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	218
22245	Velilla de Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
22245	Velilla de Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
22246	Veracruz	Otro tipo	Locales	2
22246	Veracruz	Principalmente vivienda	Edificio sólo con una vivienda familiar	74
22246	Veracruz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22247	Viacamp y Litera	Otro tipo	Locales	2
22247	Viacamp y Litera	Principalmente vivienda	Edificio sólo con una vivienda familiar	23
22247	Viacamp y Litera	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22248	Vicién	Otro tipo	Locales	1
22248	Vicién	Principalmente vivienda	Edificio sólo con una vivienda familiar	47
22248	Vicién	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22248	Vicién	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
22249	Villanova	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22249	Villanova	Otro tipo	Locales	18
22249	Villanova	Principalmente vivienda	Edificio sólo con una vivienda familiar	97
22249	Villanova	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
22249	Villanova	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22250	Villanúa	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22250	Villanúa	Otro tipo	Locales	5
22250	Villanúa	Principalmente vivienda	Edificio sólo con una vivienda familiar	268
22250	Villanúa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	120
22250	Villanúa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22251	Villanueva de Sigena	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22251	Villanueva de Sigena	Otro tipo	Locales	25
22251	Villanueva de Sigena	Principalmente vivienda	Edificio sólo con una vivienda familiar	221
22251	Villanueva de Sigena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	9
22251	Villanueva de Sigena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
22251	Villanueva de Sigena	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
22252	Yebra de Basa	Otro tipo	Locales	5
22252	Yebra de Basa	Principalmente vivienda	Edificio sólo con una vivienda familiar	63
22252	Yebra de Basa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
22253	Yésero	Otro tipo	Locales	3
22253	Yésero	Principalmente vivienda	Edificio sólo con una vivienda familiar	53
22253	Yésero	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22254	Zaidín	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
22254	Zaidín	Otro tipo	Locales	34
22254	Zaidín	Principalmente vivienda	Edificio sólo con una vivienda familiar	486
22254	Zaidín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	64
22254	Zaidín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	44
22901	Valle de Hecho	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	9
22901	Valle de Hecho	Otro tipo	Locales	36
22901	Valle de Hecho	Principalmente vivienda	Edificio sólo con una vivienda familiar	452
22901	Valle de Hecho	Principalmente vivienda	Edificio sólo con varias viviendas familiares	61
22901	Valle de Hecho	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	25
22902	Puente la Reina de Jaca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22902	Puente la Reina de Jaca	Otro tipo	Locales	14
22902	Puente la Reina de Jaca	Principalmente vivienda	Edificio sólo con una vivienda familiar	123
22902	Puente la Reina de Jaca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22902	Puente la Reina de Jaca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
22903	San Miguel del Cinca	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22903	San Miguel del Cinca	Otro tipo	Locales	13
22903	San Miguel del Cinca	Principalmente vivienda	Edificio sólo con una vivienda familiar	379
22903	San Miguel del Cinca	Principalmente vivienda	Edificio sólo con varias viviendas familiares	19
22903	San Miguel del Cinca	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	18
22904	Sotonera (La)	Otro tipo	Locales	3
22904	Sotonera (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	653
22904	Sotonera (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	24
22904	Sotonera (La)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
22905	Lupiñén-Ortilla	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22905	Lupiñén-Ortilla	Otro tipo	Locales	2
22905	Lupiñén-Ortilla	Principalmente vivienda	Edificio sólo con una vivienda familiar	188
22905	Lupiñén-Ortilla	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
22905	Lupiñén-Ortilla	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
22906	Santa María de Dulcis	Otro tipo	Locales	7
22906	Santa María de Dulcis	Principalmente vivienda	Edificio sólo con una vivienda familiar	97
22906	Santa María de Dulcis	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
22907	Aínsa-Sobrarbe	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22907	Aínsa-Sobrarbe	Otro tipo	Locales	37
22907	Aínsa-Sobrarbe	Principalmente vivienda	Edificio sólo con una vivienda familiar	490
22907	Aínsa-Sobrarbe	Principalmente vivienda	Edificio sólo con varias viviendas familiares	110
22907	Aínsa-Sobrarbe	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	6
22907	Aínsa-Sobrarbe	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hospitales, instituciones para discapacitados,¿	1
22908	Hoz y Costeán	Otro tipo	Locales	13
22908	Hoz y Costeán	Principalmente vivienda	Edificio sólo con una vivienda familiar	148
22908	Hoz y Costeán	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
22908	Hoz y Costeán	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
22909	Vencillón	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
22909	Vencillón	Otro tipo	Locales	8
22909	Vencillón	Principalmente vivienda	Edificio sólo con una vivienda familiar	155
22909	Vencillón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
22909	Vencillón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
44001	Ababuj	Otro tipo	Locales	2
44001	Ababuj	Principalmente vivienda	Edificio sólo con una vivienda familiar	76
44001	Ababuj	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
44002	Abejuela	Otro tipo	Locales	3
44002	Abejuela	Principalmente vivienda	Edificio sólo con una vivienda familiar	131
44002	Abejuela	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
44003	Aguatón	Otro tipo	Locales	6
44003	Aguatón	Principalmente vivienda	Edificio sólo con una vivienda familiar	32
44003	Aguatón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44004	Aguaviva	Otro tipo	Locales	23
44004	Aguaviva	Principalmente vivienda	Edificio sólo con una vivienda familiar	479
44004	Aguaviva	Principalmente vivienda	Edificio sólo con varias viviendas familiares	19
44004	Aguaviva	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	12
44005	Aguilar del Alfambra	Otro tipo	Locales	4
44005	Aguilar del Alfambra	Principalmente vivienda	Edificio sólo con una vivienda familiar	84
44005	Aguilar del Alfambra	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44006	Alacón	Otro tipo	Locales	17
44006	Alacón	Principalmente vivienda	Edificio sólo con una vivienda familiar	324
44006	Alacón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	10
44006	Alacón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	17
44007	Alba	Otro tipo	Locales	9
44007	Alba	Principalmente vivienda	Edificio sólo con una vivienda familiar	217
44007	Alba	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
44007	Alba	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
44008	Albalate del Arzobispo	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
44008	Albalate del Arzobispo	Otro tipo	Locales	44
44008	Albalate del Arzobispo	Principalmente vivienda	Edificio sólo con una vivienda familiar	992
44008	Albalate del Arzobispo	Principalmente vivienda	Edificio sólo con varias viviendas familiares	112
44008	Albalate del Arzobispo	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	42
44008	Albalate del Arzobispo	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44009	Albarracín	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
44009	Albarracín	Otro tipo	Locales	49
44009	Albarracín	Principalmente vivienda	Edificio sólo con una vivienda familiar	369
44009	Albarracín	Principalmente vivienda	Edificio sólo con varias viviendas familiares	87
44009	Albarracín	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	32
44009	Albarracín	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
44010	Albentosa	Otro tipo	Locales	10
44010	Albentosa	Principalmente vivienda	Edificio sólo con una vivienda familiar	233
44010	Albentosa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	16
44010	Albentosa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
44011	Alcaine	Otro tipo	Locales	8
44011	Alcaine	Principalmente vivienda	Edificio sólo con una vivienda familiar	211
44011	Alcaine	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44011	Alcaine	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
44012	Alcalá de la Selva	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
44012	Alcalá de la Selva	Otro tipo	Locales	20
44012	Alcalá de la Selva	Principalmente vivienda	Edificio sólo con una vivienda familiar	756
44012	Alcalá de la Selva	Principalmente vivienda	Edificio sólo con varias viviendas familiares	94
44012	Alcalá de la Selva	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	24
44013	Alcañiz	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	9
44013	Alcañiz	Otro tipo	Locales	124
44013	Alcañiz	Principalmente vivienda	Edificio sólo con una vivienda familiar	1637
44013	Alcañiz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	482
44013	Alcañiz	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	323
44013	Alcañiz	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
44013	Alcañiz	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	5
44014	Alcorisa	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
44014	Alcorisa	Otro tipo	Locales	61
44014	Alcorisa	Principalmente vivienda	Edificio sólo con una vivienda familiar	883
44014	Alcorisa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	187
44014	Alcorisa	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	89
44014	Alcorisa	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44016	Alfambra	Otro tipo	Locales	11
44016	Alfambra	Principalmente vivienda	Edificio sólo con una vivienda familiar	368
44016	Alfambra	Principalmente vivienda	Edificio sólo con varias viviendas familiares	27
44016	Alfambra	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	15
44017	Aliaga	Otro tipo	Locales	10
44017	Aliaga	Principalmente vivienda	Edificio sólo con una vivienda familiar	411
44017	Aliaga	Principalmente vivienda	Edificio sólo con varias viviendas familiares	49
44017	Aliaga	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	14
44018	Almohaja	Otro tipo	Locales	2
44018	Almohaja	Principalmente vivienda	Edificio sólo con una vivienda familiar	50
44019	Alobras	Otro tipo	Locales	1
44019	Alobras	Principalmente vivienda	Edificio sólo con una vivienda familiar	100
44019	Alobras	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
44019	Alobras	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
44020	Alpeñés	Otro tipo	Locales	3
44020	Alpeñés	Principalmente vivienda	Edificio sólo con una vivienda familiar	37
44021	Allepuz	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
44021	Allepuz	Otro tipo	Locales	9
44021	Allepuz	Principalmente vivienda	Edificio sólo con una vivienda familiar	161
44021	Allepuz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
44021	Allepuz	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
44022	Alloza	Otro tipo	Locales	22
44022	Alloza	Principalmente vivienda	Edificio sólo con una vivienda familiar	487
44022	Alloza	Principalmente vivienda	Edificio sólo con varias viviendas familiares	51
44022	Alloza	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	14
44023	Allueva	Otro tipo	Locales	3
44023	Allueva	Principalmente vivienda	Edificio sólo con una vivienda familiar	58
44024	Anadón	Otro tipo	Locales	3
44024	Anadón	Principalmente vivienda	Edificio sólo con una vivienda familiar	56
44025	Andorra	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	10
44025	Andorra	Otro tipo	Locales	112
44025	Andorra	Principalmente vivienda	Edificio sólo con una vivienda familiar	1524
44025	Andorra	Principalmente vivienda	Edificio sólo con varias viviendas familiares	316
44025	Andorra	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	208
44025	Andorra	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44026	Arcos de las Salinas	Otro tipo	Locales	2
44026	Arcos de las Salinas	Principalmente vivienda	Edificio sólo con una vivienda familiar	203
44026	Arcos de las Salinas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	13
44026	Arcos de las Salinas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
44027	Arens de Lledó	Otro tipo	Locales	7
44027	Arens de Lledó	Principalmente vivienda	Edificio sólo con una vivienda familiar	131
44027	Arens de Lledó	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
44027	Arens de Lledó	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
44028	Argente	Otro tipo	Locales	4
44028	Argente	Principalmente vivienda	Edificio sólo con una vivienda familiar	154
44028	Argente	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44028	Argente	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
44029	Ariño	Otro tipo	Locales	16
44029	Ariño	Principalmente vivienda	Edificio sólo con una vivienda familiar	490
44029	Ariño	Principalmente vivienda	Edificio sólo con varias viviendas familiares	41
44029	Ariño	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	11
44029	Ariño	Principalmente vivienda	Edificios principalmente con vivienda colectiva: hotel, albergue, pensión	1
44031	Azaila	Otro tipo	Locales	12
44031	Azaila	Principalmente vivienda	Edificio sólo con una vivienda familiar	157
44031	Azaila	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44031	Azaila	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	4
44032	Bádenas	Otro tipo	Locales	2
44032	Bádenas	Principalmente vivienda	Edificio sólo con una vivienda familiar	40
44033	Báguena	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
44033	Báguena	Otro tipo	Locales	4
44033	Báguena	Principalmente vivienda	Edificio sólo con una vivienda familiar	388
44033	Báguena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44033	Báguena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
44033	Báguena	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44034	Bañón	Otro tipo	Locales	10
44034	Bañón	Principalmente vivienda	Edificio sólo con una vivienda familiar	160
44034	Bañón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44035	Barrachina	Otro tipo	Locales	4
44035	Barrachina	Principalmente vivienda	Edificio sólo con una vivienda familiar	184
44036	Bea	Otro tipo	Locales	3
44036	Bea	Principalmente vivienda	Edificio sólo con una vivienda familiar	41
44036	Bea	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44037	Beceite	Otro tipo	Locales	10
44037	Beceite	Principalmente vivienda	Edificio sólo con una vivienda familiar	407
44037	Beceite	Principalmente vivienda	Edificio sólo con varias viviendas familiares	31
44037	Beceite	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	18
44038	Belmonte de San José	Otro tipo	Locales	5
44038	Belmonte de San José	Principalmente vivienda	Edificio sólo con una vivienda familiar	117
44038	Belmonte de San José	Principalmente vivienda	Edificio sólo con varias viviendas familiares	7
44038	Belmonte de San José	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
44039	Bello	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
44039	Bello	Otro tipo	Locales	11
44039	Bello	Principalmente vivienda	Edificio sólo con una vivienda familiar	326
44039	Bello	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
44039	Bello	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	9
44040	Berge	Otro tipo	Locales	8
44040	Berge	Principalmente vivienda	Edificio sólo con una vivienda familiar	159
44040	Berge	Principalmente vivienda	Edificio sólo con varias viviendas familiares	13
44040	Berge	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	5
44041	Bezas	Otro tipo	Locales	3
44041	Bezas	Principalmente vivienda	Edificio sólo con una vivienda familiar	91
44041	Bezas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
44041	Bezas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
44042	Blancas	Otro tipo	Locales	6
44042	Blancas	Principalmente vivienda	Edificio sólo con una vivienda familiar	236
44042	Blancas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
44042	Blancas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
44043	Blesa	Otro tipo	Locales	11
44043	Blesa	Principalmente vivienda	Edificio sólo con una vivienda familiar	269
44043	Blesa	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
44044	Bordón	Otro tipo	Locales	4
44044	Bordón	Principalmente vivienda	Edificio sólo con una vivienda familiar	139
44044	Bordón	Principalmente vivienda	Edificio sólo con varias viviendas familiares	14
44044	Bordón	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
44045	Bronchales	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
44045	Bronchales	Otro tipo	Locales	15
44045	Bronchales	Principalmente vivienda	Edificio sólo con una vivienda familiar	329
44045	Bronchales	Principalmente vivienda	Edificio sólo con varias viviendas familiares	155
44045	Bronchales	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	18
44046	Bueña	Otro tipo	Locales	10
44046	Bueña	Principalmente vivienda	Edificio sólo con una vivienda familiar	78
44046	Bueña	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44047	Burbáguena	Otro tipo	Locales	3
44047	Burbáguena	Principalmente vivienda	Edificio sólo con una vivienda familiar	265
44047	Burbáguena	Principalmente vivienda	Edificio sólo con varias viviendas familiares	14
44047	Burbáguena	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
44047	Burbáguena	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	2
44048	Cabra de Mora	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
44048	Cabra de Mora	Otro tipo	Locales	9
44048	Cabra de Mora	Principalmente vivienda	Edificio sólo con una vivienda familiar	71
44048	Cabra de Mora	Principalmente vivienda	Edificio sólo con varias viviendas familiares	17
44048	Cabra de Mora	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
44049	Calaceite	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	2
44049	Calaceite	Otro tipo	Locales	27
44049	Calaceite	Principalmente vivienda	Edificio sólo con una vivienda familiar	634
44049	Calaceite	Principalmente vivienda	Edificio sólo con varias viviendas familiares	51
44049	Calaceite	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	28
44050	Calamocha	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	8
44050	Calamocha	Otro tipo	Locales	94
44050	Calamocha	Principalmente vivienda	Edificio sólo con una vivienda familiar	1753
44050	Calamocha	Principalmente vivienda	Edificio sólo con varias viviendas familiares	206
44050	Calamocha	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	170
44050	Calamocha	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44051	Calanda	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	3
44051	Calanda	Otro tipo	Locales	70
44051	Calanda	Principalmente vivienda	Edificio sólo con una vivienda familiar	962
44051	Calanda	Principalmente vivienda	Edificio sólo con varias viviendas familiares	205
44051	Calanda	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	87
44051	Calanda	Principalmente vivienda	Edificios principalmente con vivienda colectiva: convento, cuartel, prisión	1
44052	Calomarde	Otro tipo	Locales	2
44052	Calomarde	Principalmente vivienda	Edificio sólo con una vivienda familiar	98
44052	Calomarde	Principalmente vivienda	Edificio sólo con varias viviendas familiares	4
44053	Camañas	Otro tipo	Locales	3
44053	Camañas	Principalmente vivienda	Edificio sólo con una vivienda familiar	93
44053	Camañas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	3
44053	Camañas	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
44054	Camarena de la Sierra	Otro tipo	Locales	4
44054	Camarena de la Sierra	Principalmente vivienda	Edificio sólo con una vivienda familiar	275
44054	Camarena de la Sierra	Principalmente vivienda	Edificio sólo con varias viviendas familiares	12
44054	Camarena de la Sierra	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	8
44055	Camarillas	Otro tipo	Locales	4
44055	Camarillas	Principalmente vivienda	Edificio sólo con una vivienda familiar	167
44055	Camarillas	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
44056	Caminreal	Otro tipo	Edificios principalmente con locales compartidos con alguna vivienda	1
44056	Caminreal	Otro tipo	Locales	2
44056	Caminreal	Principalmente vivienda	Edificio sólo con una vivienda familiar	432
44056	Caminreal	Principalmente vivienda	Edificio sólo con varias viviendas familiares	17
44056	Caminreal	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	7
44059	Cantavieja	Otro tipo	Locales	22
44059	Cantavieja	Principalmente vivienda	Edificio sólo con una vivienda familiar	295
44059	Cantavieja	Principalmente vivienda	Edificio sólo con varias viviendas familiares	31
44059	Cantavieja	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	26
44060	Cañada de Benatanduz	Principalmente vivienda	Edificio sólo con una vivienda familiar	74
44060	Cañada de Benatanduz	Principalmente vivienda	Edificio sólo con varias viviendas familiares	2
44061	Cañada de Verich (La)	Otro tipo	Locales	3
44061	Cañada de Verich (La)	Principalmente vivienda	Edificio sólo con una vivienda familiar	70
44061	Cañada de Verich (La)	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
44061	Cañada de Verich (La)	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	2
44062	Cañada Vellida	Otro tipo	Locales	1
44062	Cañada Vellida	Principalmente vivienda	Edificio sólo con una vivienda familiar	53
44062	Cañada Vellida	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44062	Cañada Vellida	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	1
44063	Cañizar del Olivar	Otro tipo	Locales	9
44063	Cañizar del Olivar	Principalmente vivienda	Edificio sólo con una vivienda familiar	117
44063	Cañizar del Olivar	Principalmente vivienda	Edificio sólo con varias viviendas familiares	8
44064	Cascante del Río	Otro tipo	Locales	4
44064	Cascante del Río	Principalmente vivienda	Edificio sólo con una vivienda familiar	186
44064	Cascante del Río	Principalmente vivienda	Edificio sólo con varias viviendas familiares	5
44065	Castejón de Tornos	Otro tipo	Locales	2
44065	Castejón de Tornos	Principalmente vivienda	Edificio sólo con una vivienda familiar	133
44065	Castejón de Tornos	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44066	Castel de Cabra	Otro tipo	Locales	12
44066	Castel de Cabra	Principalmente vivienda	Edificio sólo con una vivienda familiar	142
44066	Castel de Cabra	Principalmente vivienda	Edificio sólo con varias viviendas familiares	6
44066	Castel de Cabra	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	3
44067	Castelnou	Otro tipo	Locales	4
44067	Castelnou	Principalmente vivienda	Edificio sólo con una vivienda familiar	128
44067	Castelnou	Principalmente vivienda	Edificio sólo con varias viviendas familiares	1
44068	Castelserás	Otro tipo	Locales	13
44068	Castelserás	Principalmente vivienda	Edificio sólo con una vivienda familiar	457
44068	Castelserás	Principalmente vivienda	Edificio sólo con varias viviendas familiares	23
44068	Castelserás	Principalmente vivienda	Edificio principalmente con viviendas familiares compartido con locales	21
44070	Castellar (El)	Otro tipo	Locales	6
