Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22020	Alfántega	2017	Secano	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0
22021	Almudévar	2017	Regadío	76	22	0	0	0	0	0	0	0	0	0	0	20	0	0	0	2	1	0	1	0	53	53	0	0
22021	Almudévar	2017	Secano	577	367	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	74	0	74	0	105	105	31	0
22022	Almunia de San Juan	2017	Regadío	15	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	10	0	4	4	0	0
22022	Almunia de San Juan	2017	Secano	17	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	7	0	9	9	0	0
22023	Almuniente	2017	Regadío	235	234	0	0	0	0	0	0	0	0	0	0	233	1	0	0	0	0	0	0	0	1	1	0	0
22023	Almuniente	2017	Secano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22024	Alquézar	2017	Regadío	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
22024	Alquézar	2017	Secano	225	91	0	0	0	0	0	0	0	0	0	1	89	1	0	0	0	4	0	4	0	123	123	7	0
22025	Altorricón	2017	Regadío	189	184	45	71	1	2	2	17	6	7	0	0	5	0	0	28	0	0	0	0	0	5	5	0	0
22025	Altorricón	2017	Secano	10	9	5	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0
22027	Angüés	2017	Regadío	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22027	Angüés	2017	Secano	101	31	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	54	0	54	0	16	16	0	0
22028	Ansó	2017	Regadío											0														
22028	Ansó	2017	Secano											0														
22029	Antillón	2017	Regadío	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0
22029	Antillón	2017	Secano	139	110	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	13	0	13	0	16	16	0	0
22032	Aragüés del Puerto	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22032	Aragüés del Puerto	2017	Secano	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
22035	Arén	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22035	Arén	2017	Secano	14	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	4	0	1	1	6	0
22036	Argavieso	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22036	Argavieso	2017	Secano	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0
22037	Arguis	2017	Regadío											0														
22037	Arguis	2017	Secano											0														
22039	Ayerbe	2017	Regadío	49	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	23	0	23	0	20	20	1	0
22039	Ayerbe	2017	Secano	313	227	0	0	0	0	0	0	0	0	0	1	219	0	0	0	7	42	0	42	0	28	28	16	0
22040	Azanuy-Alins	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22040	Azanuy-Alins	2017	Secano	206	106	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	1	0	1	0	95	95	4	0
22041	Azara	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22041	Azara	2017	Secano	162	114	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	23	0	23	0	25	25	0	0
22042	Azlor	2017	Regadío	6	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	1	0	0
22042	Azlor	2017	Secano	261	191	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	31	0	31	0	39	39	0	0
22043	Baells	2017	Regadío	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0
22043	Baells	2017	Secano	140	83	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	1	0	1	0	49	49	7	0
22044	Bailo	2017	Regadío	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
22044	Bailo	2017	Secano	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
22045	Baldellou	2017	Regadío	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
22045	Baldellou	2017	Secano	141	49	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	4	0	4	0	88	88	0	0
22046	Ballobar	2017	Regadío	297	294	7	60	0	24	25	83	0	0	0	0	31	0	0	62	2	0	0	0	0	3	3	0	0
22046	Ballobar	2017	Secano	164	25	0	0	0	0	0	3	0	0	0	0	22	0	0	0	0	2	0	2	0	137	137	0	0
22047	Banastás	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22047	Banastás	2017	Secano	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	1	1	0	0
22048	Barbastro	2017	Regadío	1028	39	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	897	1	896	0	92	92	0	0
22048	Barbastro	2017	Secano	1177	243	0	0	0	0	0	0	0	0	0	0	239	0	0	0	4	468	0	465	3	466	466	0	0
22049	Barbués	2017	Regadío											0														
22049	Barbués	2017	Secano											0														
22050	Barbuñales	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22050	Barbuñales	2017	Secano	56	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	39	0	39	0	10	10	0	0
22051	Bárcabo	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22051	Bárcabo	2017	Secano	72	20	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	22	22	30	0
22052	Belver de Cinca	2017	Regadío	1847	1474	7	23	1	30	140	527	2	8	0	0	180	132	0	424	0	317	0	317	0	49	49	7	0
22052	Belver de Cinca	2017	Secano	31	25	0	0	0	0	1	13	0	0	0	0	1	0	0	10	0	4	0	4	0	2	2	0	0
22053	Benabarre	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22053	Benabarre	2017	Secano	153	55	0	0	0	0	0	0	0	0	0	0	45	4	4	0	2	1	0	1	0	36	36	61	0
22054	Benasque	2017	Regadío	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22054	Benasque	2017	Secano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22055	Berbegal	2017	Regadío	23	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	15	0	15	0	4	4	0	0
22055	Berbegal	2017	Secano	114	43	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	45	0	45	0	26	26	0	0
22057	Bielsa	2017	Regadío											0														
22057	Bielsa	2017	Secano											0														
22058	Bierge	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22058	Bierge	2017	Secano	294	121	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	26	0	26	0	146	146	1	0
22059	Biescas	2017	Regadío											0														
22059	Biescas	2017	Secano											0														
22060	Binaced	2017	Regadío	1128	1083	13	137	0	12	1	459	4	0	0	0	358	4	0	95	0	19	1	18	0	26	26	0	0
22060	Binaced	2017	Secano	73	63	0	0	0	0	0	41	0	0	0	0	16	0	0	6	0	0	0	0	0	10	10	0	0
22061	Binéfar	2017	Regadío	50	29	13	1	0	0	0	3	0	0	0	2	7	0	0	3	0	1	0	1	0	20	20	0	0
22061	Binéfar	2017	Secano	6	4	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	2	0	0
22062	Bisaurri	2017	Regadío											0														
22062	Bisaurri	2017	Secano											0														
22063	Biscarrués	2017	Regadío	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	11	0	1	1	0	0
22063	Biscarrués	2017	Secano	118	93	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	16	0	13	3	9	9	0	0
22064	Blecua y Torres	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22064	Blecua y Torres	2017	Secano	89	43	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	40	0	40	0	6	6	0	0
22066	Boltaña	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22066	Boltaña	2017	Secano	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
22067	Bonansa	2017	Regadío											0														
22067	Bonansa	2017	Secano											0														
22068	Borau	2017	Regadío											0														
22068	Borau	2017	Secano											0														
22069	Broto	2017	Regadío											0														
22069	Broto	2017	Secano											0														
22072	Caldearenas	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22072	Caldearenas	2017	Secano	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
22074	Campo	2017	Regadío											0														
22074	Campo	2017	Secano											0														
22075	Camporrells	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22075	Camporrells	2017	Secano	31	14	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	13	13	4	0
22076	Canal de Berdún	2017	Regadío	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22076	Canal de Berdún	2017	Secano	109	21	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	5	0	5	0	0	0	83	0
22077	Candasnos	2017	Regadío	337	328	0	0	0	9	22	138	0	0	0	0	8	0	0	151	0	0	0	0	0	9	9	0	0
22077	Candasnos	2017	Secano	14	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	10	0	0
22078	Canfranc	2017	Regadío											0														
22078	Canfranc	2017	Secano											0														
22079	Capdesaso	2017	Regadío	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
22079	Capdesaso	2017	Secano	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0
22080	Capella	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22080	Capella	2017	Secano	122	28	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	13	0	13	0	26	26	55	0
22081	Casbas de Huesca	2017	Regadío	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
22081	Casbas de Huesca	2017	Secano	255	112	0	0	0	0	0	0	0	0	0	0	111	1	0	0	0	28	0	28	0	95	95	20	0
22082	Castejón del Puente	2017	Regadío	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	0	0
22082	Castejón del Puente	2017	Secano	31	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	6	0	21	21	0	0
22083	Castejón de Monegros	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22083	Castejón de Monegros	2017	Secano	89	28	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	22	0	22	0	39	39	0	0
22084	Castejón de Sos	2017	Regadío											0														
22084	Castejón de Sos	2017	Secano											0														
22085	Castelflorite	2017	Regadío	84	17	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	67	67	0	0
22085	Castelflorite	2017	Secano	28	14	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	14	14	0	0
22086	Castiello de Jaca	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22086	Castiello de Jaca	2017	Secano	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
22087	Castigaleu	2017	Regadío											0														
22087	Castigaleu	2017	Secano											0														
22088	Castillazuelo	2017	Regadío	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0	1	1	0	0
22088	Castillazuelo	2017	Secano	118	22	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	65	0	65	0	31	31	0	0
22089	Castillonroy	2017	Regadío	52	52	4	6	0	0	0	35	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0
22089	Castillonroy	2017	Secano	190	60	0	3	0	0	0	11	0	0	0	0	43	0	0	3	0	1	0	1	0	129	129	0	0
22090	Colungo	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22090	Colungo	2017	Secano	162	54	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	4	0	4	0	104	104	0	0
22094	Chalamera	2017	Regadío	70	66	0	22	0	0	0	7	0	0	0	0	30	0	0	7	0	0	0	0	0	4	4	0	0
22094	Chalamera	2017	Secano	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
22095	Chía	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22095	Chía	2017	Secano	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
22096	Chimillas	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22096	Chimillas	2017	Secano	11	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	2	0	1	1	0	0
22099	Esplús	2017	Regadío	314	226	58	36	0	14	3	37	24	0	0	0	38	5	0	11	0	46	0	46	0	42	42	0	0
22099	Esplús	2017	Secano	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	7	0
22102	Estada	2017	Regadío	31	23	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	6	6	0	0
22102	Estada	2017	Secano	53	15	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	1	0	1	0	37	37	0	0
22103	Estadilla	2017	Regadío	103	46	2	20	0	0	3	1	0	0	0	0	19	1	0	0	0	42	0	42	0	15	15	0	0
22103	Estadilla	2017	Secano	374	110	0	0	0	0	0	2	0	0	0	0	108	0	0	0	0	62	0	62	0	176	176	26	0
22105	Estopiñán del Castillo	2017	Regadío	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
22105	Estopiñán del Castillo	2017	Secano	56	23	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	12	12	21	0
22106	Fago	2017	Regadío											0														
22106	Fago	2017	Secano											0														
22107	Fanlo	2017	Regadío											0														
22107	Fanlo	2017	Secano											0														
22109	Fiscal	2017	Regadío											0														
22109	Fiscal	2017	Secano											0														
22110	Fonz	2017	Regadío	130	78	34	3	0	0	0	12	0	0	0	0	21	1	0	1	6	12	0	12	0	40	40	0	0
22110	Fonz	2017	Secano	239	72	0	0	0	0	0	0	0	0	0	0	71	0	0	0	1	7	0	7	0	160	160	0	0
22111	Foradada del Toscar	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22111	Foradada del Toscar	2017	Secano	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
22112	Fraga	2017	Regadío	5035	4865	57	249	11	224	110	2268	5	5	0	21	122	0	0	1775	18	0	0	0	0	170	170	0	0
22112	Fraga	2017	Secano	351	265	0	9	0	14	18	77	0	0	0	0	55	0	0	91	1	1	0	1	0	35	35	50	0
22113	Fueva (La)	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22113	Fueva (La)	2017	Secano	37	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	8	0	8	0	12	12	7	0
22114	Gistaín	2017	Regadío											0														
22114	Gistaín	2017	Secano											0														
22115	Grado (El)	2017	Regadío	181	54	0	0	0	0	24	0	7	0	0	0	16	1	0	6	0	106	0	106	0	21	21	0	0
22115	Grado (El)	2017	Secano	507	144	0	0	0	0	2	0	2	0	0	0	139	1	0	0	0	201	0	201	0	157	157	5	0
22116	Grañén	2017	Regadío	54	51	0	0	0	0	0	0	0	0	0	0	50	0	0	0	1	0	0	0	0	3	3	0	0
22116	Grañén	2017	Secano	30	23	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	7	7	0	0
22117	Graus	2017	Regadío	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0
22117	Graus	2017	Secano	540	166	0	0	0	0	0	0	0	0	0	0	160	2	0	0	4	70	0	70	0	199	199	105	0
22119	Gurrea de Gállego	2017	Regadío	607	361	41	13	0	0	4	10	0	0	0	0	258	26	0	9	0	2	0	2	0	244	244	0	0
22119	Gurrea de Gállego	2017	Secano	576	521	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	15	0	15	0	40	40	0	0
22122	Hoz de Jaca	2017	Regadío											0														
22122	Hoz de Jaca	2017	Secano											0														
22124	Huerto	2017	Regadío	6	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	1	0	0
22124	Huerto	2017	Secano	38	15	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	23	23	0	0
22125	Huesca	2017	Regadío	9	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	0	3	3	0	0
22125	Huesca	2017	Secano	248	206	0	0	0	0	0	0	0	0	0	0	205	1	0	0	0	11	0	11	0	31	31	0	0
22126	Ibieca	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22126	Ibieca	2017	Secano	103	71	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	9	0	9	0	23	23	0	0
22127	Igriés	2017	Regadío	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
22127	Igriés	2017	Secano	72	58	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	5	0	5	0	9	9	0	0
22128	Ilche	2017	Regadío	99	11	0	0	0	1	0	0	0	0	0	0	9	1	0	0	0	70	0	70	0	14	14	4	0
22128	Ilche	2017	Secano	26	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	3	0	3	0	10	10	0	0
22129	Isábena	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22129	Isábena	2017	Secano	24	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	17	17	4	0
22130	Jaca	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22130	Jaca	2017	Secano	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
22131	Jasa	2017	Regadío											0														
22131	Jasa	2017	Secano											0														
22133	Labuerda	2017	Regadío											0														
22133	Labuerda	2017	Secano											0														
22135	Laluenga	2017	Regadío	18	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	0	15	0	1	1	0	0
22135	Laluenga	2017	Secano	78	40	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	11	0	11	0	25	25	2	0
22136	Lalueza	2017	Regadío	23	17	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	2	0	2	0	4	4	0	0
22136	Lalueza	2017	Secano	16	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	2	0	5	5	0	0
22137	Lanaja	2017	Regadío	40	34	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1	0	0	0	0	6	6	0	0
22137	Lanaja	2017	Secano	381	301	0	0	0	0	0	0	0	0	0	0	300	0	0	0	1	19	0	19	0	57	57	4	0
22139	Laperdiguera	2017	Regadío	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0	0	0	0	0
22139	Laperdiguera	2017	Secano	24	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	3	0	5	5	0	0
22141	Lascellas-Ponzano	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22141	Lascellas-Ponzano	2017	Secano	212	73	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	119	0	119	0	20	20	0	0
22142	Lascuarre	2017	Regadío	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
22142	Lascuarre	2017	Secano	70	9	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	1	0	23	23	37	0
22143	Laspaúles	2017	Regadío											0														
22143	Laspaúles	2017	Secano											0														
22144	Laspuña	2017	Regadío											0														
22144	Laspuña	2017	Secano											0														
22149	Loarre	2017	Regadío	34	24	0	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	9	9	1	0
22149	Loarre	2017	Secano	527	497	0	0	0	0	0	0	0	0	0	0	484	0	2	0	11	6	0	6	0	17	17	7	0
22150	Loporzano	2017	Regadío	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
22150	Loporzano	2017	Secano	520	390	1	0	0	0	0	0	0	0	0	0	389	0	0	0	0	32	0	32	0	94	94	4	0
