Comarca código	Comarca nombre	CCAA 2ª residencia, código	CCAA 2ª residencia, nombre	Número hogares
12	Tarazona y el Moncayo	06	Cantabria	7
12	Tarazona y el Moncayo	17	Rioja (La)	6
12	Tarazona y el Moncayo	13	Madrid (Comunidad de)	5
12	Tarazona y el Moncayo	12	Galicia	4
12	Tarazona y el Moncayo	08	Castilla-La Mancha	3
12	Tarazona y el Moncayo	01	Andalucía	2
12	Tarazona y el Moncayo	03	Asturias (Principado de)	2
13	Campo de Borja	02	Aragón	448
13	Campo de Borja	09	Cataluña	53
13	Campo de Borja	10	Comunitat Valenciana	20
13	Campo de Borja	13	Madrid (Comunidad de)	11
13	Campo de Borja	07	Castilla y León	10
13	Campo de Borja	15	Navarra (Comunidad Foral de)	8
13	Campo de Borja	06	Cantabria	5
13	Campo de Borja	16	País Vasco	5
13	Campo de Borja	03	Asturias (Principado de)	3
13	Campo de Borja	17	Rioja (La)	3
13	Campo de Borja	01	Andalucía	2
13	Campo de Borja	11	Extremadura	1
14	Aranda	02	Aragón	368
14	Aranda	09	Cataluña	24
14	Aranda	10	Comunitat Valenciana	13
14	Aranda	07	Castilla y León	6
14	Aranda	01	Andalucía	5
14	Aranda	11	Extremadura	3
14	Aranda	13	Madrid (Comunidad de)	2
14	Aranda	16	País Vasco	2
14	Aranda	05	Canarias	1
14	Aranda	08	Castilla-La Mancha	1
15	Ribera Alta del Ebro	02	Aragón	586
15	Ribera Alta del Ebro	09	Cataluña	156
15	Ribera Alta del Ebro	10	Comunitat Valenciana	43
15	Ribera Alta del Ebro	07	Castilla y León	23
15	Ribera Alta del Ebro	13	Madrid (Comunidad de)	11
15	Ribera Alta del Ebro	16	País Vasco	10
15	Ribera Alta del Ebro	06	Cantabria	9
15	Ribera Alta del Ebro	15	Navarra (Comunidad Foral de)	8
15	Ribera Alta del Ebro	08	Castilla-La Mancha	6
15	Ribera Alta del Ebro	17	Rioja (La)	6
15	Ribera Alta del Ebro	01	Andalucía	5
15	Ribera Alta del Ebro	11	Extremadura	3
15	Ribera Alta del Ebro	12	Galicia	2
15	Ribera Alta del Ebro	03	Asturias (Principado de)	1
15	Ribera Alta del Ebro	14	Murcia (Región de)	1
16	Valdejalón	02	Aragón	906
16	Valdejalón	09	Cataluña	84
16	Valdejalón	10	Comunitat Valenciana	61
16	Valdejalón	01	Andalucía	20
16	Valdejalón	07	Castilla y León	14
16	Valdejalón	13	Madrid (Comunidad de)	13
16	Valdejalón	11	Extremadura	4
16	Valdejalón	08	Castilla-La Mancha	3
16	Valdejalón	15	Navarra (Comunidad Foral de)	3
16	Valdejalón	16	País Vasco	3
16	Valdejalón	12	Galicia	2
16	Valdejalón	17	Rioja (La)	2
16	Valdejalón	14	Murcia (Región de)	1
17	D.C. Zaragoza	02	Aragón	36705
17	D.C. Zaragoza	09	Cataluña	10522
17	D.C. Zaragoza	10	Comunitat Valenciana	3701
17	D.C. Zaragoza	07	Castilla y León	2868
17	D.C. Zaragoza	08	Castilla-La Mancha	1146
17	D.C. Zaragoza	01	Andalucía	586
17	D.C. Zaragoza	17	Rioja (La)	582
17	D.C. Zaragoza	15	Navarra (Comunidad Foral de)	489
17	D.C. Zaragoza	13	Madrid (Comunidad de)	310
17	D.C. Zaragoza	06	Cantabria	262
17	D.C. Zaragoza	16	País Vasco	256
17	D.C. Zaragoza	12	Galicia	240
17	D.C. Zaragoza	11	Extremadura	186
17	D.C. Zaragoza	03	Asturias (Principado de)	142
17	D.C. Zaragoza	14	Murcia (Región de)	112
17	D.C. Zaragoza	04	Balears (Illes)	60
17	D.C. Zaragoza	05	Canarias	32
17	D.C. Zaragoza	19	Ciudad Autónoma de Melilla	3
17	D.C. Zaragoza	18	Ciudad Autónoma de Ceuta	1
18	Ribera Baja del Ebro	02	Aragón	413
18	Ribera Baja del Ebro	09	Cataluña	77
18	Ribera Baja del Ebro	10	Comunitat Valenciana	24
18	Ribera Baja del Ebro	01	Andalucía	7
18	Ribera Baja del Ebro	08	Castilla-La Mancha	2
18	Ribera Baja del Ebro	11	Extremadura	2
18	Ribera Baja del Ebro	13	Madrid (Comunidad de)	2
18	Ribera Baja del Ebro	04	Balears (Illes)	1
18	Ribera Baja del Ebro	12	Galicia	1
18	Ribera Baja del Ebro	14	Murcia (Región de)	1
18	Ribera Baja del Ebro	15	Navarra (Comunidad Foral de)	1
18	Ribera Baja del Ebro	16	País Vasco	1
18	Ribera Baja del Ebro	17	Rioja (La)	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	Aragón	323
19	Bajo Aragón-Caspe / Baix Aragó-Casp	09	Cataluña	117
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10	Comunitat Valenciana	27
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	Andalucía	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	13	Madrid (Comunidad de)	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	07	Castilla y León	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08	Castilla-La Mancha	2
20	Comunidad de Calatayud	02	Aragón	1744
20	Comunidad de Calatayud	10	Comunitat Valenciana	97
20	Comunidad de Calatayud	09	Cataluña	86
20	Comunidad de Calatayud	13	Madrid (Comunidad de)	59
20	Comunidad de Calatayud	07	Castilla y León	57
20	Comunidad de Calatayud	08	Castilla-La Mancha	32
20	Comunidad de Calatayud	01	Andalucía	28
20	Comunidad de Calatayud	14	Murcia (Región de)	12
20	Comunidad de Calatayud	15	Navarra (Comunidad Foral de)	12
20	Comunidad de Calatayud	12	Galicia	11
20	Comunidad de Calatayud	16	País Vasco	7
20	Comunidad de Calatayud	03	Asturias (Principado de)	4
20	Comunidad de Calatayud	17	Rioja (La)	3
20	Comunidad de Calatayud	05	Canarias	1
20	Comunidad de Calatayud	11	Extremadura	1
21	Campo de Cariñena	02	Aragón	607
21	Campo de Cariñena	09	Cataluña	35
21	Campo de Cariñena	10	Comunitat Valenciana	25
21	Campo de Cariñena	12	Galicia	5
21	Campo de Cariñena	13	Madrid (Comunidad de)	5
21	Campo de Cariñena	08	Castilla-La Mancha	4
21	Campo de Cariñena	16	País Vasco	2
21	Campo de Cariñena	07	Castilla y León	1
21	Campo de Cariñena	11	Extremadura	1
21	Campo de Cariñena	14	Murcia (Región de)	1
22	Campo de Belchite	02	Aragón	605
22	Campo de Belchite	09	Cataluña	14
22	Campo de Belchite	10	Comunitat Valenciana	5
22	Campo de Belchite	01	Andalucía	2
22	Campo de Belchite	08	Castilla-La Mancha	2
22	Campo de Belchite	07	Castilla y León	1
22	Campo de Belchite	14	Murcia (Región de)	1
23	Bajo Martín	02	Aragón	292
23	Bajo Martín	09	Cataluña	42
23	Bajo Martín	10	Comunitat Valenciana	19
23	Bajo Martín	01	Andalucía	3
23	Bajo Martín	13	Madrid (Comunidad de)	3
23	Bajo Martín	07	Castilla y León	1
23	Bajo Martín	08	Castilla-La Mancha	1
23	Bajo Martín	12	Galicia	1
23	Bajo Martín	17	Rioja (La)	1
24	Campo de Daroca	02	Aragón	679
24	Campo de Daroca	09	Cataluña	15
24	Campo de Daroca	10	Comunitat Valenciana	13
24	Campo de Daroca	08	Castilla-La Mancha	4
24	Campo de Daroca	13	Madrid (Comunidad de)	4
24	Campo de Daroca	07	Castilla y León	2
24	Campo de Daroca	01	Andalucía	1
24	Campo de Daroca	12	Galicia	1
24	Campo de Daroca	15	Navarra (Comunidad Foral de)	1
24	Campo de Daroca	16	País Vasco	1
24	Campo de Daroca	17	Rioja (La)	1
25	Jiloca	02	Aragón	742
25	Jiloca	10	Comunitat Valenciana	141
25	Jiloca	09	Cataluña	34
25	Jiloca	07	Castilla y León	11
25	Jiloca	13	Madrid (Comunidad de)	11
25	Jiloca	08	Castilla-La Mancha	8
25	Jiloca	01	Andalucía	3
25	Jiloca	16	País Vasco	2
25	Jiloca	03	Asturias (Principado de)	1
25	Jiloca	12	Galicia	1
25	Jiloca	15	Navarra (Comunidad Foral de)	1
25	Jiloca	17	Rioja (La)	1
26	Cuencas Mineras	02	Aragón	609
26	Cuencas Mineras	10	Comunitat Valenciana	157
26	Cuencas Mineras	09	Cataluña	74
26	Cuencas Mineras	01	Andalucía	22
26	Cuencas Mineras	08	Castilla-La Mancha	9
26	Cuencas Mineras	14	Murcia (Región de)	4
26	Cuencas Mineras	13	Madrid (Comunidad de)	3
26	Cuencas Mineras	07	Castilla y León	2
26	Cuencas Mineras	12	Galicia	2
27	Andorra-Sierra de Arcos	02	Aragón	685
27	Andorra-Sierra de Arcos	10	Comunitat Valenciana	245
27	Andorra-Sierra de Arcos	09	Cataluña	136
27	Andorra-Sierra de Arcos	01	Andalucía	13
27	Andorra-Sierra de Arcos	13	Madrid (Comunidad de)	6
27	Andorra-Sierra de Arcos	11	Extremadura	4
27	Andorra-Sierra de Arcos	07	Castilla y León	3
27	Andorra-Sierra de Arcos	08	Castilla-La Mancha	3
27	Andorra-Sierra de Arcos	03	Asturias (Principado de)	2
27	Andorra-Sierra de Arcos	12	Galicia	1
27	Andorra-Sierra de Arcos	14	Murcia (Región de)	1
28	Bajo Aragón	02	Aragón	912
28	Bajo Aragón	10	Comunitat Valenciana	235
28	Bajo Aragón	09	Cataluña	201
28	Bajo Aragón	01	Andalucía	16
28	Bajo Aragón	07	Castilla y León	13
28	Bajo Aragón	13	Madrid (Comunidad de)	7
28	Bajo Aragón	11	Extremadura	6
28	Bajo Aragón	12	Galicia	5
28	Bajo Aragón	08	Castilla-La Mancha	4
28	Bajo Aragón	06	Cantabria	3
28	Bajo Aragón	16	País Vasco	3
28	Bajo Aragón	04	Balears (Illes)	2
28	Bajo Aragón	15	Navarra (Comunidad Foral de)	2
28	Bajo Aragón	03	Asturias (Principado de)	1
28	Bajo Aragón	14	Murcia (Región de)	1
29	Comunidad de Teruel	02	Aragón	2077
29	Comunidad de Teruel	10	Comunitat Valenciana	655
29	Comunidad de Teruel	08	Castilla-La Mancha	74
29	Comunidad de Teruel	09	Cataluña	53
29	Comunidad de Teruel	07	Castilla y León	25
29	Comunidad de Teruel	13	Madrid (Comunidad de)	24
29	Comunidad de Teruel	01	Andalucía	17
29	Comunidad de Teruel	12	Galicia	16
29	Comunidad de Teruel	14	Murcia (Región de)	10
29	Comunidad de Teruel	06	Cantabria	4
29	Comunidad de Teruel	03	Asturias (Principado de)	3
29	Comunidad de Teruel	04	Balears (Illes)	3
29	Comunidad de Teruel	15	Navarra (Comunidad Foral de)	3
29	Comunidad de Teruel	17	Rioja (La)	2
29	Comunidad de Teruel	11	Extremadura	1
29	Comunidad de Teruel	16	País Vasco	1
30	Maestrazgo	02	Aragón	196
30	Maestrazgo	10	Comunitat Valenciana	81
30	Maestrazgo	09	Cataluña	27
30	Maestrazgo	07	Castilla y León	2
30	Maestrazgo	01	Andalucía	1
30	Maestrazgo	03	Asturias (Principado de)	1
30	Maestrazgo	08	Castilla-La Mancha	1
30	Maestrazgo	13	Madrid (Comunidad de)	1
31	Sierra de Albarracín	02	Aragón	343
31	Sierra de Albarracín	10	Comunitat Valenciana	107
31	Sierra de Albarracín	09	Cataluña	27
31	Sierra de Albarracín	08	Castilla-La Mancha	13
31	Sierra de Albarracín	01	Andalucía	12
31	Sierra de Albarracín	13	Madrid (Comunidad de)	9
31	Sierra de Albarracín	15	Navarra (Comunidad Foral de)	3
31	Sierra de Albarracín	07	Castilla y León	1
31	Sierra de Albarracín	14	Murcia (Región de)	1
32	Gúdar-Javalambre	10	Comunitat Valenciana	286
32	Gúdar-Javalambre	02	Aragón	192
32	Gúdar-Javalambre	09	Cataluña	33
32	Gúdar-Javalambre	08	Castilla-La Mancha	5
32	Gúdar-Javalambre	01	Andalucía	4
32	Gúdar-Javalambre	13	Madrid (Comunidad de)	4
32	Gúdar-Javalambre	04	Balears (Illes)	2
32	Gúdar-Javalambre	07	Castilla y León	2
32	Gúdar-Javalambre	14	Murcia (Región de)	2
32	Gúdar-Javalambre	05	Canarias	1
33	Matarraña / Matarranya	02	Aragón	194
33	Matarraña / Matarranya	09	Cataluña	95
33	Matarraña / Matarranya	10	Comunitat Valenciana	29
33	Matarraña / Matarranya	07	Castilla y León	2
33	Matarraña / Matarranya	16	País Vasco	2
