Mes y año	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Marzo 2019	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	7877
Marzo 2019	84	Administración Pública y defensa; Seguridad Social obligatoria	39149
Marzo 2019	85	Educación	24193
Marzo 2019	86	Actividades sanitarias	33790
Marzo 2019	87	Asistencia en establecimientos residenciales	12133
Marzo 2019	88	Actividades de servicios sociales sin alojamiento	6046
Marzo 2019	90	Actividades de creación, artísticas y espectáculos	1317
Marzo 2019	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	287
Marzo 2019	92	Actividades de juegos de azar y apuestas	1115
Marzo 2019	93	Actividades deportivas, recreativas y de entretenimiento	6765
Marzo 2019	94	Actividades asociativas	5685
Marzo 2019	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	2147
Marzo 2019	96	Otros servicios personales	9016
Marzo 2019	97	Actividades de los hogares como empleadores de personal doméstico	16430
Marzo 2019	99	Actividades de organizaciones y organismos extraterritoriales	11
Diciembre 2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	35111
Diciembre 2018	02	Silvicultura y explotación forestal	1128
Diciembre 2018	03	Pesca y acuicultura	148
Diciembre 2018	05	Extracción de antracita, hulla y lignito	117
Diciembre 2018	07	Extracción de minerales metálicos	47
Diciembre 2018	08	Otras industrias extractivas	700
Diciembre 2018	09	Actividades de apoyo a las industrias extractivas	5
Diciembre 2018	10	Industria de la alimentación	14194
Diciembre 2018	11	Fabricación de bebidas	1318
Diciembre 2018	13	Industria textil	874
Diciembre 2018	14	Confección de prendas de vestir	1133
Diciembre 2018	15	Industria del cuero y del calzado	922
Diciembre 2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	2045
Diciembre 2018	17	Industria del papel	2589
Diciembre 2018	18	Artes gráficas y reproducción de soportes grabados	1658
Diciembre 2018	19	Coquerías y refino de petróleo	1
Diciembre 2018	20	Industria química	3869
Diciembre 2018	21	Fabricación de productos farmacéuticos	1296
Diciembre 2018	22	Fabricación de productos de caucho y plásticos	4203
Diciembre 2018	23	Fabricación de otros productos minerales no metálicos	3644
Diciembre 2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3201
Diciembre 2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	10166
Diciembre 2018	26	Fabricación de productos informáticos, electrónicos y ópticos	1775
Diciembre 2018	27	Fabricación de material y equipo eléctrico	5453
Diciembre 2018	28	Fabricación de maquinaria y equipo n.c.o.p.	7029
Diciembre 2018	29	Fabricación de vehículos de motor, remolques y semirremolques	17151
Diciembre 2018	30	Fabricación de otro material de transporte	1281
Diciembre 2018	31	Fabricación de muebles	3420
Diciembre 2018	32	Otras industrias manufactureras	1561
Diciembre 2018	33	Reparación e instalación de maquinaria y equipo	3445
Diciembre 2018	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1111
Diciembre 2018	36	Captación, depuración y distribución de agua	1538
Diciembre 2018	37	Recogida y tratamiento de aguas residuales	242
Diciembre 2018	38	Recogida, tratamiento y eliminación de residuos; valorización	3188
Diciembre 2018	39	Actividades de descontaminación y otros servicios de gestión de residuos	31
Diciembre 2018	41	Construcción de edificios	11011
Diciembre 2018	42	Ingeniería civil	1861
Diciembre 2018	43	Actividades de construcción especializada	21787
Diciembre 2018	45	Venta y reparación de vehículos de motor y motocicletas	9707
Diciembre 2018	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	26662
Diciembre 2018	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	50814
Diciembre 2018	49	Transporte terrestre y por tubería	22369
Diciembre 2018	50	Transporte marítimo y por vías navegables interiores	5
Diciembre 2018	51	Transporte aéreo	68
Diciembre 2018	52	Almacenamiento y actividades anexas al transporte	6893
Diciembre 2018	53	Actividades postales y de correos	2325
Diciembre 2018	55	Servicios de alojamiento	5987
Diciembre 2018	56	Servicios de comidas y bebidas	33236
Diciembre 2018	58	Edición	1205
Diciembre 2018	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	969
Diciembre 2018	60	Actividades de programación y emisión de radio y televisión	424
Diciembre 2018	61	Telecomunicaciones	1056
Diciembre 2018	62	Programación, consultoría y otras actividades relacionadas con la informática	5886
Diciembre 2018	63	Servicios de información	402
Diciembre 2018	64	Servicios financieros, excepto seguros y fondos de pensiones	5684
Diciembre 2018	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	1174
Diciembre 2018	66	Actividades auxiliares a los servicios financieros y a los seguros	2744
Diciembre 2018	68	Actividades inmobiliarias	2803
