Año	Residencia provincia código	Residencia provincia nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Sexo	Extranjeros
1998	44	Teruel	01	UE-15	115	Italia	Mujeres	1
1998	44	Teruel	01	UE-15	121	Países Bajos	Hombres	1
1998	44	Teruel	01	UE-15	121	Países Bajos	Mujeres	3
1998	44	Teruel	01	UE-15	123	Portugal	Hombres	24
1998	44	Teruel	01	UE-15	123	Portugal	Mujeres	14
1998	44	Teruel	01	UE-15	125	Reino Unido	Hombres	10
1998	44	Teruel	01	UE-15	125	Reino Unido	Mujeres	9
1998	44	Teruel	01	UE-15	126	Alemania	Hombres	7
1998	44	Teruel	01	UE-15	126	Alemania	Mujeres	6
1998	44	Teruel	02	Resto de Europa	101	Albania	Hombres	2
1998	44	Teruel	02	Resto de Europa	120	Noruega	Hombres	1
1998	44	Teruel	02	Resto de Europa	122	Polonia	Hombres	8
1998	44	Teruel	02	Resto de Europa	122	Polonia	Mujeres	2
1998	44	Teruel	02	Resto de Europa	128	Rumanía	Hombres	2
1998	44	Teruel	02	Resto de Europa	128	Rumanía	Mujeres	2
1998	44	Teruel	02	Resto de Europa	132	Suiza	Hombres	1
1998	44	Teruel	02	Resto de Europa	132	Suiza	Mujeres	4
1998	44	Teruel	02	Resto de Europa	155	Yugoslavia	Hombres	11
1998	44	Teruel	02	Resto de Europa	155	Yugoslavia	Mujeres	12
1998	44	Teruel	03	Magreb	203	Argelia	Hombres	12
1998	44	Teruel	03	Magreb	203	Argelia	Mujeres	1
1998	44	Teruel	03	Magreb	228	Marruecos	Hombres	105
1998	44	Teruel	03	Magreb	228	Marruecos	Mujeres	23
1998	44	Teruel	04	Resto de África	202	Angola	Mujeres	1
1998	44	Teruel	04	Resto de África	207	Cabo Verde	Hombres	25
1998	44	Teruel	04	Resto de África	207	Cabo Verde	Mujeres	26
1998	44	Teruel	04	Resto de África	216	Gambia	Hombres	1
1998	44	Teruel	04	Resto de África	218	Guinea	Hombres	1
1998	44	Teruel	04	Resto de África	234	Nigeria	Hombres	2
1998	44	Teruel	04	Resto de África	234	Nigeria	Mujeres	3
1998	44	Teruel	04	Resto de África	239	Senegal	Hombres	12
1998	44	Teruel	04	Resto de África	239	Senegal	Mujeres	1
1998	44	Teruel	05	América del Norte	301	Canadá	Hombres	1
1998	44	Teruel	05	América del Norte	302	Estados Unidos de América	Hombres	3
1998	44	Teruel	05	América del Norte	302	Estados Unidos de América	Mujeres	2
1998	44	Teruel	06	Resto de América	303	México	Mujeres	2
1998	44	Teruel	06	Resto de América	315	Cuba	Hombres	2
1998	44	Teruel	06	Resto de América	315	Cuba	Mujeres	11
1998	44	Teruel	06	Resto de América	316	Dominica	Hombres	3
1998	44	Teruel	06	Resto de América	316	Dominica	Mujeres	1
1998	44	Teruel	06	Resto de América	321	Honduras	Hombres	3
1998	44	Teruel	06	Resto de América	321	Honduras	Mujeres	5
1998	44	Teruel	06	Resto de América	326	República Dominicana	Hombres	2
1998	44	Teruel	06	Resto de América	326	República Dominicana	Mujeres	39
1998	44	Teruel	06	Resto de América	340	Argentina	Hombres	7
1998	44	Teruel	06	Resto de América	340	Argentina	Mujeres	6
1998	44	Teruel	06	Resto de América	342	Brasil	Hombres	3
1998	44	Teruel	06	Resto de América	342	Brasil	Mujeres	16
1998	44	Teruel	06	Resto de América	343	Colombia	Hombres	1
1998	44	Teruel	06	Resto de América	343	Colombia	Mujeres	4
1998	44	Teruel	06	Resto de América	344	Chile	Hombres	1
1998	44	Teruel	06	Resto de América	344	Chile	Mujeres	2
1998	44	Teruel	06	Resto de América	345	Ecuador	Hombres	1
1998	44	Teruel	06	Resto de América	345	Ecuador	Mujeres	3
1998	44	Teruel	06	Resto de América	348	Perú	Mujeres	5
1998	44	Teruel	06	Resto de América	350	Uruguay	Hombres	2
1998	44	Teruel	06	Resto de América	350	Uruguay	Mujeres	2
1998	44	Teruel	06	Resto de América	351	Venezuela	Hombres	1
1998	44	Teruel	06	Resto de América	351	Venezuela	Mujeres	5
1998	44	Teruel	07	Asia	407	China	Hombres	4
1998	44	Teruel	07	Asia	407	China	Mujeres	2
1998	44	Teruel	07	Asia	413	Irán	Hombres	2
1998	44	Teruel	07	Asia	420	Líbano	Hombres	1
1998	44	Teruel	07	Asia	426	Pakistán	Hombres	29
1998	44	Teruel	07	Asia	426	Pakistán	Mujeres	11
1998	50	Zaragoza	01	UE-15	102	Austria	Hombres	2
1998	50	Zaragoza	01	UE-15	102	Austria	Mujeres	5
1998	50	Zaragoza	01	UE-15	103	Bélgica	Hombres	21
1998	50	Zaragoza	01	UE-15	103	Bélgica	Mujeres	17
1998	50	Zaragoza	01	UE-15	107	Dinamarca	Hombres	6
1998	50	Zaragoza	01	UE-15	107	Dinamarca	Mujeres	2
1998	50	Zaragoza	01	UE-15	109	Finlandia	Hombres	1
1998	50	Zaragoza	01	UE-15	109	Finlandia	Mujeres	2
1998	50	Zaragoza	01	UE-15	110	Francia	Hombres	198
1998	50	Zaragoza	01	UE-15	110	Francia	Mujeres	310
1998	50	Zaragoza	01	UE-15	111	Grecia	Hombres	2
1998	50	Zaragoza	01	UE-15	111	Grecia	Mujeres	1
1998	50	Zaragoza	01	UE-15	113	Irlanda	Hombres	7
1998	50	Zaragoza	01	UE-15	113	Irlanda	Mujeres	16
1998	50	Zaragoza	01	UE-15	115	Italia	Hombres	123
1998	50	Zaragoza	01	UE-15	115	Italia	Mujeres	58
1998	50	Zaragoza	01	UE-15	117	Luxemburgo	Hombres	1
1998	50	Zaragoza	01	UE-15	117	Luxemburgo	Mujeres	1
1998	50	Zaragoza	01	UE-15	121	Países Bajos	Hombres	31
1998	50	Zaragoza	01	UE-15	121	Países Bajos	Mujeres	22
1998	50	Zaragoza	01	UE-15	123	Portugal	Hombres	208
1998	50	Zaragoza	01	UE-15	123	Portugal	Mujeres	208
1998	50	Zaragoza	01	UE-15	125	Reino Unido	Hombres	84
1998	50	Zaragoza	01	UE-15	125	Reino Unido	Mujeres	83
1998	50	Zaragoza	01	UE-15	126	Alemania	Hombres	93
1998	50	Zaragoza	01	UE-15	126	Alemania	Mujeres	90
1998	50	Zaragoza	01	UE-15	131	Suecia	Hombres	5
1998	50	Zaragoza	01	UE-15	131	Suecia	Mujeres	5
1998	50	Zaragoza	02	Resto de Europa	101	Albania	Mujeres	1
1998	50	Zaragoza	02	Resto de Europa	104	Bulgaria	Hombres	3
1998	50	Zaragoza	02	Resto de Europa	104	Bulgaria	Mujeres	2
1998	50	Zaragoza	02	Resto de Europa	112	Hungría	Hombres	2
1998	50	Zaragoza	02	Resto de Europa	118	Malta	Hombres	1
1998	50	Zaragoza	02	Resto de Europa	120	Noruega	Hombres	3
1998	50	Zaragoza	02	Resto de Europa	120	Noruega	Mujeres	7
1998	50	Zaragoza	02	Resto de Europa	122	Polonia	Hombres	29
1998	50	Zaragoza	02	Resto de Europa	122	Polonia	Mujeres	27
1998	50	Zaragoza	02	Resto de Europa	124	Andorra	Hombres	4
1998	50	Zaragoza	02	Resto de Europa	124	Andorra	Mujeres	5
1998	50	Zaragoza	02	Resto de Europa	128	Rumanía	Hombres	17
1998	50	Zaragoza	02	Resto de Europa	128	Rumanía	Mujeres	12
1998	50	Zaragoza	02	Resto de Europa	132	Suiza	Hombres	22
1998	50	Zaragoza	02	Resto de Europa	132	Suiza	Mujeres	22
1998	50	Zaragoza	02	Resto de Europa	135	Ucrania	Hombres	1
1998	50	Zaragoza	02	Resto de Europa	135	Ucrania	Mujeres	4
1998	50	Zaragoza	02	Resto de Europa	138	Bielorrusia	Hombres	3
1998	50	Zaragoza	02	Resto de Europa	138	Bielorrusia	Mujeres	6
1998	50	Zaragoza	02	Resto de Europa	143	República Checa	Mujeres	4
1998	50	Zaragoza	02	Resto de Europa	145	Bosnia-Herzegovina	Hombres	6
1998	50	Zaragoza	02	Resto de Europa	145	Bosnia-Herzegovina	Mujeres	9
1998	50	Zaragoza	02	Resto de Europa	146	Croacia	Hombres	1
