Municipio codigo	Municipio nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Nº personas
44009	Albarracín	1	Soltero	1	Hombre	168,6370540673
44010	Albentosa	1	Soltero	1	Hombre	30,401978536
44011	Alcaine	1	Soltero	1	Hombre	11,4776361112
44012	Alcalá de la Selva	1	Soltero	1	Hombre	115,0381825758
44013	Alcañiz	1	Soltero	1	Hombre	2106,4679568005
44014	Alcorisa	1	Soltero	1	Hombre	484,2351156443
44016	Alfambra	1	Soltero	1	Hombre	83,5952735776
44017	Aliaga	1	Soltero	1	Hombre	84,6629971659
44018	Almohaja	1	Soltero	1	Hombre	14,5
44019	Alobras	1	Soltero	1	Hombre	13,465549369
44020	Alpeñés	1	Soltero	1	Hombre	9,3085831684
44021	Allepuz	1	Soltero	1	Hombre	24,1866186351
44022	Alloza	1	Soltero	1	Hombre	99,1613898274
44023	Allueva	1	Soltero	1	Hombre	3,2084339219
44024	Anadón	1	Soltero	1	Hombre	3,0656544875
44025	Andorra	1	Soltero	1	Hombre	1380,6067405007
44026	Arcos de las Salinas	1	Soltero	1	Hombre	20,8089728809
44027	Arens de Lledó	1	Soltero	1	Hombre	23,5692356441
44028	Argente	1	Soltero	1	Hombre	29,4564792394
44029	Ariño	1	Soltero	1	Hombre	121,962052355
44031	Azaila	1	Soltero	1	Hombre	22,982084705
44032	Bádenas	1	Soltero	1	Hombre	7,8228632733
44033	Báguena	1	Soltero	1	Hombre	84,9197653824
44034	Bañón	1	Soltero	1	Hombre	30,9123759384
44035	Barrachina	1	Soltero	1	Hombre	29,0340248952
44036	Bea	1	Soltero	1	Hombre	1,4233304103
44037	Beceite	1	Soltero	1	Hombre	96,9110013186
44038	Belmonte de San José	1	Soltero	1	Hombre	10,8404956657
44039	Bello	1	Soltero	1	Hombre	39,2036685176
44040	Berge	1	Soltero	1	Hombre	41,7059965227
44041	Bezas	1	Soltero	1	Hombre	17,4415176855
44042	Blancas	1	Soltero	1	Hombre	38,0297046784
44043	Blesa	1	Soltero	1	Hombre	24,9256625228
44044	Bordón	1	Soltero	1	Hombre	21,8638458954
44045	Bronchales	1	Soltero	1	Hombre	129,8753770516
44046	Bueña	1	Soltero	1	Hombre	9,4075558461
44047	Burbáguena	1	Soltero	1	Hombre	46,0277835201
