Municipio código	Municipio nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
22239	Tramaced	En otro municipio	17	Trabajadores
22242	Valfarta	En este municipio	23	Trabajadores
22242	Valfarta	En otro municipio	1	Estudiantes que no trabajan
22242	Valfarta	En otro municipio	3	Trabajadores
22243	Valle de Bardají	En mi propio domicilio	7	Trabajadores
22243	Valle de Bardají	En varios municipios (viajante, conductor,...)	2	Trabajadores
22243	Valle de Bardají	En este municipio	1	Trabajadores
22243	Valle de Bardají	En otro municipio	1	Estudiantes que no trabajan
22243	Valle de Bardají	En otro municipio	2	Trabajadores
22244	Valle de Lierp	En mi propio domicilio	6	Trabajadores
22244	Valle de Lierp	En varios municipios (viajante, conductor,...)	2	Trabajadores
22244	Valle de Lierp	En este municipio	3	Trabajadores
22244	Valle de Lierp	En otro municipio	1	Estudiantes que no trabajan
22244	Valle de Lierp	En otro municipio	3	Trabajadores
22245	Velilla de Cinca	En mi propio domicilio	1	Estudiantes que no trabajan
22245	Velilla de Cinca	En mi propio domicilio	5	Trabajadores
22245	Velilla de Cinca	En varios municipios (viajante, conductor,...)	18	Trabajadores
22245	Velilla de Cinca	En este municipio	82	Trabajadores
22245	Velilla de Cinca	En otro municipio	17	Estudiantes que no trabajan
22245	Velilla de Cinca	En otro municipio	58	Trabajadores
22245	Velilla de Cinca	En otro país	1	Trabajadores
22246	Veracruz	En mi propio domicilio	7	Trabajadores
22246	Veracruz	En varios municipios (viajante, conductor,...)	6	Trabajadores
22246	Veracruz	En este municipio	15	Trabajadores
22246	Veracruz	En otro municipio	4	Estudiantes que no trabajan
22246	Veracruz	En otro municipio	4	Trabajadores
22247	Viacamp y Litera	En mi propio domicilio	4	Trabajadores
22247	Viacamp y Litera	En varios municipios (viajante, conductor,...)	3	Trabajadores
22247	Viacamp y Litera	En este municipio	1	Estudiantes que no trabajan
22247	Viacamp y Litera	En este municipio	3	Trabajadores
22247	Viacamp y Litera	En otro municipio	9	Trabajadores
22248	Vicién	En mi propio domicilio	2	Estudiantes que no trabajan
22248	Vicién	En varios municipios (viajante, conductor,...)	2	Trabajadores
22248	Vicién	En este municipio	1	Estudiantes que no trabajan
22248	Vicién	En este municipio	19	Trabajadores
22248	Vicién	En otro municipio	2	Estudiantes que no trabajan
22248	Vicién	En otro municipio	33	Trabajadores
22249	Villanova	En mi propio domicilio	6	Trabajadores
22249	Villanova	En varios municipios (viajante, conductor,...)	4	Trabajadores
22249	Villanova	En este municipio	19	Trabajadores
22249	Villanova	En otro municipio	7	Estudiantes que no trabajan
22249	Villanova	En otro municipio	37	Trabajadores
22249	Villanova	En otro país	1	Estudiantes que no trabajan
22249	Villanova	En otro país	1	Trabajadores
22250	Villanúa	En mi propio domicilio	12	Trabajadores
22250	Villanúa	En varios municipios (viajante, conductor,...)	14	Trabajadores
22250	Villanúa	En este municipio	1	Estudiantes que no trabajan
22250	Villanúa	En este municipio	55	Trabajadores
22250	Villanúa	En otro municipio	14	Estudiantes que no trabajan
22250	Villanúa	En otro municipio	76	Trabajadores
22250	Villanúa	En otro país	1	Estudiantes que no trabajan
22251	Villanueva de Sigena	En mi propio domicilio	2	Estudiantes que no trabajan
22251	Villanueva de Sigena	En mi propio domicilio	5	Trabajadores
22251	Villanueva de Sigena	En varios municipios (viajante, conductor,...)	20	Trabajadores
22251	Villanueva de Sigena	En este municipio	2	Estudiantes que no trabajan
22251	Villanueva de Sigena	En este municipio	93	Trabajadores
22251	Villanueva de Sigena	En otro municipio	32	Estudiantes que no trabajan
22251	Villanueva de Sigena	En otro municipio	47	Trabajadores
22252	Yebra de Basa	En mi propio domicilio	3	Trabajadores
22252	Yebra de Basa	En varios municipios (viajante, conductor,...)	10	Trabajadores
22252	Yebra de Basa	En este municipio	10	Trabajadores
22252	Yebra de Basa	En otro municipio	11	Estudiantes que no trabajan
22252	Yebra de Basa	En otro municipio	48	Trabajadores
22253	Yésero	En varios municipios (viajante, conductor,...)	2	Trabajadores
22253	Yésero	En este municipio	1	Estudiantes que no trabajan
22253	Yésero	En este municipio	6	Trabajadores
22253	Yésero	En otro municipio	2	Estudiantes que no trabajan
22253	Yésero	En otro municipio	30	Trabajadores
22254	Zaidín	En mi propio domicilio	3	Estudiantes que no trabajan
22254	Zaidín	En mi propio domicilio	27	Trabajadores
22254	Zaidín	En varios municipios (viajante, conductor,...)	20	Trabajadores
22254	Zaidín	En este municipio	3	Estudiantes que no trabajan
22254	Zaidín	En este municipio	437	Trabajadores
22254	Zaidín	En otro municipio	79	Estudiantes que no trabajan
22254	Zaidín	En otro municipio	140	Trabajadores
22254	Zaidín	En otro país	1	Estudiantes que no trabajan
22254	Zaidín	En otro país	1	Trabajadores
22901	Valle de Hecho	En mi propio domicilio	1	Estudiantes que no trabajan
22901	Valle de Hecho	En mi propio domicilio	23	Trabajadores
22901	Valle de Hecho	En varios municipios (viajante, conductor,...)	22	Trabajadores
22901	Valle de Hecho	En este municipio	6	Estudiantes que no trabajan
22901	Valle de Hecho	En este municipio	199	Trabajadores
22901	Valle de Hecho	En otro municipio	44	Estudiantes que no trabajan
22901	Valle de Hecho	En otro municipio	128	Trabajadores
22901	Valle de Hecho	En otro país	1	Estudiantes que no trabajan
22902	Puente la Reina de Jaca	En mi propio domicilio	6	Estudiantes que no trabajan
22902	Puente la Reina de Jaca	En mi propio domicilio	12	Trabajadores
22902	Puente la Reina de Jaca	En varios municipios (viajante, conductor,...)	10	Trabajadores
22902	Puente la Reina de Jaca	En este municipio	7	Estudiantes que no trabajan
22902	Puente la Reina de Jaca	En este municipio	40	Trabajadores
22902	Puente la Reina de Jaca	En otro municipio	14	Estudiantes que no trabajan
22902	Puente la Reina de Jaca	En otro municipio	34	Trabajadores
22903	San Miguel del Cinca	En mi propio domicilio	1	Estudiantes que no trabajan
22903	San Miguel del Cinca	En mi propio domicilio	19	Trabajadores
22903	San Miguel del Cinca	En varios municipios (viajante, conductor,...)	18	Trabajadores
22903	San Miguel del Cinca	En este municipio	152	Trabajadores
22903	San Miguel del Cinca	En otro municipio	48	Estudiantes que no trabajan
22903	San Miguel del Cinca	En otro municipio	124	Trabajadores
22903	San Miguel del Cinca	En otro país	3	Trabajadores
22904	Sotonera (La)	En mi propio domicilio	2	Estudiantes que no trabajan
22904	Sotonera (La)	En mi propio domicilio	44	Trabajadores
22904	Sotonera (La)	En varios municipios (viajante, conductor,...)	29	Trabajadores
22904	Sotonera (La)	En este municipio	3	Estudiantes que no trabajan
22904	Sotonera (La)	En este municipio	123	Trabajadores
22904	Sotonera (La)	En otro municipio	37	Estudiantes que no trabajan
22904	Sotonera (La)	En otro municipio	206	Trabajadores
22904	Sotonera (La)	En otro país	2	Estudiantes que no trabajan
22905	Lupiñén-Ortilla	En mi propio domicilio	5	Trabajadores
22905	Lupiñén-Ortilla	En varios municipios (viajante, conductor,...)	9	Trabajadores
22905	Lupiñén-Ortilla	En este municipio	4	Estudiantes que no trabajan
22905	Lupiñén-Ortilla	En este municipio	51	Trabajadores
22905	Lupiñén-Ortilla	En otro municipio	22	Estudiantes que no trabajan
22905	Lupiñén-Ortilla	En otro municipio	74	Trabajadores
22906	Santa María de Dulcis	En mi propio domicilio	7	Trabajadores
22906	Santa María de Dulcis	En varios municipios (viajante, conductor,...)	12	Trabajadores
22906	Santa María de Dulcis	En este municipio	2	Estudiantes que no trabajan
22906	Santa María de Dulcis	En este municipio	17	Trabajadores
22906	Santa María de Dulcis	En otro municipio	11	Estudiantes que no trabajan
22906	Santa María de Dulcis	En otro municipio	37	Trabajadores
22907	Aínsa-Sobrarbe	En mi propio domicilio	100	Trabajadores
22907	Aínsa-Sobrarbe	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
22907	Aínsa-Sobrarbe	En varios municipios (viajante, conductor,...)	44	Trabajadores
22907	Aínsa-Sobrarbe	En este municipio	30	Estudiantes que no trabajan
22907	Aínsa-Sobrarbe	En este municipio	381	Trabajadores
22907	Aínsa-Sobrarbe	En otro municipio	62	Estudiantes que no trabajan
22907	Aínsa-Sobrarbe	En otro municipio	135	Trabajadores
22907	Aínsa-Sobrarbe	En otro país	3	Estudiantes que no trabajan
22907	Aínsa-Sobrarbe	En otro país	2	Trabajadores
22908	Hoz y Costeán	En mi propio domicilio	1	Estudiantes que no trabajan
22908	Hoz y Costeán	En mi propio domicilio	3	Trabajadores
22908	Hoz y Costeán	En varios municipios (viajante, conductor,...)	5	Trabajadores
22908	Hoz y Costeán	En este municipio	28	Trabajadores
22908	Hoz y Costeán	En otro municipio	9	Estudiantes que no trabajan
22908	Hoz y Costeán	En otro municipio	46	Trabajadores
22908	Hoz y Costeán	En otro país	1	Trabajadores
22909	Vencillón	En mi propio domicilio	1	Estudiantes que no trabajan
22909	Vencillón	En mi propio domicilio	10	Trabajadores
22909	Vencillón	En varios municipios (viajante, conductor,...)	16	Trabajadores
22909	Vencillón	En este municipio	70	Trabajadores
22909	Vencillón	En otro municipio	15	Estudiantes que no trabajan
22909	Vencillón	En otro municipio	105	Trabajadores
22909	Vencillón	En otro país	2	Trabajadores
44001	Ababuj	En mi propio domicilio	25	Trabajadores
44001	Ababuj	En este municipio	1	Estudiantes que no trabajan
44001	Ababuj	En este municipio	8	Trabajadores
44001	Ababuj	En otro municipio	12	Trabajadores
44002	Abejuela	En varios municipios (viajante, conductor,...)	3	Trabajadores
44002	Abejuela	En este municipio	4	Trabajadores
44002	Abejuela	En otro municipio	3	Estudiantes que no trabajan
44002	Abejuela	En otro municipio	10	Trabajadores
44003	Aguatón	En este municipio	7	Trabajadores
44003	Aguatón	En otro municipio	2	Estudiantes que no trabajan
44003	Aguatón	En otro municipio	6	Trabajadores
44004	Aguaviva	En mi propio domicilio	13	Trabajadores
44004	Aguaviva	En varios municipios (viajante, conductor,...)	29	Trabajadores
44004	Aguaviva	En este municipio	6	Estudiantes que no trabajan
44004	Aguaviva	En este municipio	121	Trabajadores
44004	Aguaviva	En otro municipio	29	Estudiantes que no trabajan
44004	Aguaviva	En otro municipio	43	Trabajadores
44005	Aguilar del Alfambra	En mi propio domicilio	14	Trabajadores
44005	Aguilar del Alfambra	En este municipio	2	Trabajadores
44005	Aguilar del Alfambra	En otro municipio	2	Estudiantes que no trabajan
44005	Aguilar del Alfambra	En otro municipio	13	Trabajadores
44006	Alacón	En mi propio domicilio	10	Trabajadores
44006	Alacón	En varios municipios (viajante, conductor,...)	4	Trabajadores
44006	Alacón	En este municipio	1	Estudiantes que no trabajan
44006	Alacón	En este municipio	50	Trabajadores
44006	Alacón	En otro municipio	13	Estudiantes que no trabajan
44006	Alacón	En otro municipio	41	Trabajadores
44007	Alba	En mi propio domicilio	5	Trabajadores
44007	Alba	En varios municipios (viajante, conductor,...)	3	Trabajadores
44007	Alba	En este municipio	44	Trabajadores
44007	Alba	En otro municipio	10	Estudiantes que no trabajan
44007	Alba	En otro municipio	29	Trabajadores
44008	Albalate del Arzobispo	En mi propio domicilio	14	Trabajadores
44008	Albalate del Arzobispo	En varios municipios (viajante, conductor,...)	35	Trabajadores
44008	Albalate del Arzobispo	En este municipio	32	Estudiantes que no trabajan
44008	Albalate del Arzobispo	En este municipio	345	Trabajadores
44008	Albalate del Arzobispo	En otro municipio	95	Estudiantes que no trabajan
44008	Albalate del Arzobispo	En otro municipio	266	Trabajadores
44009	Albarracín	En mi propio domicilio	9	Trabajadores
44009	Albarracín	En varios municipios (viajante, conductor,...)	9	Trabajadores
44009	Albarracín	En este municipio	6	Estudiantes que no trabajan
44009	Albarracín	En este municipio	306	Trabajadores
44009	Albarracín	En otro municipio	33	Estudiantes que no trabajan
44009	Albarracín	En otro municipio	96	Trabajadores
44009	Albarracín	En otro país	1	Trabajadores
44010	Albentosa	En mi propio domicilio	12	Trabajadores
44010	Albentosa	En varios municipios (viajante, conductor,...)	4	Trabajadores
44010	Albentosa	En este municipio	1	Estudiantes que no trabajan
44010	Albentosa	En este municipio	64	Trabajadores
44010	Albentosa	En otro municipio	8	Estudiantes que no trabajan
44010	Albentosa	En otro municipio	21	Trabajadores
44011	Alcaine	En mi propio domicilio	1	Trabajadores
44011	Alcaine	En este municipio	1	Estudiantes que no trabajan
44011	Alcaine	En este municipio	25	Trabajadores
44011	Alcaine	En otro municipio	2	Estudiantes que no trabajan
44011	Alcaine	En otro municipio	10	Trabajadores
44012	Alcalá de la Selva	En mi propio domicilio	1	Estudiantes que no trabajan
44012	Alcalá de la Selva	En mi propio domicilio	35	Trabajadores
44012	Alcalá de la Selva	En varios municipios (viajante, conductor,...)	15	Trabajadores
44012	Alcalá de la Selva	En este municipio	1	Estudiantes que no trabajan
44012	Alcalá de la Selva	En este municipio	137	Trabajadores
44012	Alcalá de la Selva	En otro municipio	19	Estudiantes que no trabajan
44012	Alcalá de la Selva	En otro municipio	39	Trabajadores
44013	Alcañiz	En mi propio domicilio	27	Estudiantes que no trabajan
44013	Alcañiz	En mi propio domicilio	146	Trabajadores
44013	Alcañiz	En varios municipios (viajante, conductor,...)	1	Estudiantes que no trabajan
44013	Alcañiz	En varios municipios (viajante, conductor,...)	353	Trabajadores
44013	Alcañiz	En este municipio	419	Estudiantes que no trabajan
44013	Alcañiz	En este municipio	4568	Trabajadores
44013	Alcañiz	En otro municipio	406	Estudiantes que no trabajan
44013	Alcañiz	En otro municipio	698	Trabajadores
44013	Alcañiz	En otro país	2	Estudiantes que no trabajan
44013	Alcañiz	En otro país	2	Trabajadores
44014	Alcorisa	En mi propio domicilio	6	Estudiantes que no trabajan
44014	Alcorisa	En mi propio domicilio	40	Trabajadores
44014	Alcorisa	En varios municipios (viajante, conductor,...)	130	Trabajadores
44014	Alcorisa	En este municipio	21	Estudiantes que no trabajan
44014	Alcorisa	En este municipio	647	Trabajadores
44014	Alcorisa	En otro municipio	185	Estudiantes que no trabajan
44014	Alcorisa	En otro municipio	332	Trabajadores
44014	Alcorisa	En otro país	4	Estudiantes que no trabajan
44014	Alcorisa	En otro país	3	Trabajadores
44016	Alfambra	En mi propio domicilio	13	Trabajadores
44016	Alfambra	En varios municipios (viajante, conductor,...)	34	Trabajadores
44016	Alfambra	En este municipio	3	Estudiantes que no trabajan
44016	Alfambra	En este municipio	80	Trabajadores
44016	Alfambra	En otro municipio	41	Estudiantes que no trabajan
44016	Alfambra	En otro municipio	77	Trabajadores
44016	Alfambra	En otro país	1	Trabajadores
44017	Aliaga	En mi propio domicilio	11	Trabajadores
44017	Aliaga	En varios municipios (viajante, conductor,...)	13	Trabajadores
44017	Aliaga	En este municipio	69	Trabajadores
44017	Aliaga	En otro municipio	10	Estudiantes que no trabajan
44017	Aliaga	En otro municipio	33	Trabajadores
44018	Almohaja	En este municipio	9	Trabajadores
44018	Almohaja	En otro municipio	2	Trabajadores
44019	Alobras	En varios municipios (viajante, conductor,...)	4	Trabajadores
44019	Alobras	En este municipio	3	Estudiantes que no trabajan
44019	Alobras	En este municipio	15	Trabajadores
44019	Alobras	En otro municipio	1	Estudiantes que no trabajan
44019	Alobras	En otro municipio	6	Trabajadores
44020	Alpeñés	En este municipio	8	Trabajadores
44020	Alpeñés	En otro municipio	1	Estudiantes que no trabajan
44020	Alpeñés	En otro municipio	1	Trabajadores
44021	Allepuz	En mi propio domicilio	6	Trabajadores
44021	Allepuz	En varios municipios (viajante, conductor,...)	6	Trabajadores
44021	Allepuz	En este municipio	25	Trabajadores
44021	Allepuz	En otro municipio	5	Estudiantes que no trabajan
44021	Allepuz	En otro municipio	4	Trabajadores
44022	Alloza	En mi propio domicilio	4	Trabajadores
44022	Alloza	En varios municipios (viajante, conductor,...)	6	Trabajadores
44022	Alloza	En este municipio	81	Trabajadores
44022	Alloza	En otro municipio	48	Estudiantes que no trabajan
44022	Alloza	En otro municipio	70	Trabajadores
44022	Alloza	En otro país	1	Estudiantes que no trabajan
44023	Allueva	En este municipio	1	Trabajadores
44023	Allueva	En otro municipio	1	Trabajadores
44024	Anadón	En este municipio	3	Trabajadores
44024	Anadón	En otro municipio	1	Estudiantes que no trabajan
44024	Anadón	En otro municipio	4	Trabajadores
44025	Andorra	En mi propio domicilio	4	Estudiantes que no trabajan
44025	Andorra	En mi propio domicilio	91	Trabajadores
44025	Andorra	En varios municipios (viajante, conductor,...)	114	Trabajadores
44025	Andorra	En este municipio	272	Estudiantes que no trabajan
44025	Andorra	En este municipio	1763	Trabajadores
44025	Andorra	En otro municipio	317	Estudiantes que no trabajan
44025	Andorra	En otro municipio	526	Trabajadores
44025	Andorra	En otro país	1	Estudiantes que no trabajan
44025	Andorra	En otro país	5	Trabajadores
44026	Arcos de las Salinas	En mi propio domicilio	6	Trabajadores
44026	Arcos de las Salinas	En varios municipios (viajante, conductor,...)	4	Trabajadores
44026	Arcos de las Salinas	En este municipio	21	Trabajadores
44026	Arcos de las Salinas	En otro municipio	8	Estudiantes que no trabajan
44026	Arcos de las Salinas	En otro municipio	9	Trabajadores
44027	Arens de Lledó	En mi propio domicilio	6	Trabajadores
44027	Arens de Lledó	En varios municipios (viajante, conductor,...)	1	Trabajadores
44027	Arens de Lledó	En este municipio	45	Trabajadores
44027	Arens de Lledó	En otro municipio	5	Estudiantes que no trabajan
44027	Arens de Lledó	En otro municipio	28	Trabajadores
44028	Argente	En mi propio domicilio	6	Trabajadores
44028	Argente	En varios municipios (viajante, conductor,...)	5	Trabajadores
44028	Argente	En este municipio	42	Trabajadores
44028	Argente	En otro municipio	16	Estudiantes que no trabajan
44028	Argente	En otro municipio	22	Trabajadores
44029	Ariño	En mi propio domicilio	4	Trabajadores
44029	Ariño	En varios municipios (viajante, conductor,...)	4	Trabajadores
44029	Ariño	En este municipio	5	Estudiantes que no trabajan
44029	Ariño	En este municipio	171	Trabajadores
44029	Ariño	En otro municipio	50	Estudiantes que no trabajan
44029	Ariño	En otro municipio	43	Trabajadores
44029	Ariño	En otro país	1	Estudiantes que no trabajan
44029	Ariño	En otro país	1	Trabajadores
44031	Azaila	En mi propio domicilio	5	Trabajadores
44031	Azaila	En varios municipios (viajante, conductor,...)	7	Trabajadores
44031	Azaila	En este municipio	24	Trabajadores
44031	Azaila	En otro municipio	5	Estudiantes que no trabajan
44031	Azaila	En otro municipio	18	Trabajadores
44032	Bádenas	En varios municipios (viajante, conductor,...)	2	Trabajadores
44032	Bádenas	En este municipio	3	Trabajadores
44032	Bádenas	En otro municipio	4	Trabajadores
44033	Báguena	En mi propio domicilio	3	Trabajadores
44033	Báguena	En varios municipios (viajante, conductor,...)	9	Trabajadores
44033	Báguena	En este municipio	55	Trabajadores
44033	Báguena	En otro municipio	12	Estudiantes que no trabajan
44033	Báguena	En otro municipio	62	Trabajadores
44034	Bañón	En mi propio domicilio	1	Trabajadores
44034	Bañón	En este municipio	41	Trabajadores
44034	Bañón	En otro municipio	4	Estudiantes que no trabajan
44034	Bañón	En otro municipio	20	Trabajadores
44035	Barrachina	En mi propio domicilio	3	Trabajadores
44035	Barrachina	En varios municipios (viajante, conductor,...)	3	Trabajadores
44035	Barrachina	En este municipio	23	Trabajadores
44035	Barrachina	En otro municipio	7	Estudiantes que no trabajan
44035	Barrachina	En otro municipio	16	Trabajadores
44036	Bea	En varios municipios (viajante, conductor,...)	1	Trabajadores
44036	Bea	En este municipio	11	Trabajadores
44036	Bea	En otro municipio	1	Trabajadores
44037	Beceite	En mi propio domicilio	1	Estudiantes que no trabajan
44037	Beceite	En mi propio domicilio	23	Trabajadores
44037	Beceite	En varios municipios (viajante, conductor,...)	16	Trabajadores
44037	Beceite	En este municipio	2	Estudiantes que no trabajan
44037	Beceite	En este municipio	96	Trabajadores
44037	Beceite	En otro municipio	33	Estudiantes que no trabajan
44037	Beceite	En otro municipio	64	Trabajadores
44037	Beceite	En otro país	1	Estudiantes que no trabajan
44038	Belmonte de San José	En mi propio domicilio	1	Trabajadores
44038	Belmonte de San José	En varios municipios (viajante, conductor,...)	7	Trabajadores
44038	Belmonte de San José	En este municipio	19	Trabajadores
44038	Belmonte de San José	En otro municipio	4	Estudiantes que no trabajan
44038	Belmonte de San José	En otro municipio	17	Trabajadores
44038	Belmonte de San José	En otro país	1	Trabajadores
44039	Bello	En mi propio domicilio	3	Trabajadores
44039	Bello	En varios municipios (viajante, conductor,...)	4	Trabajadores
44039	Bello	En este municipio	69	Trabajadores
44039	Bello	En otro municipio	17	Estudiantes que no trabajan
44039	Bello	En otro municipio	31	Trabajadores
44040	Berge	En mi propio domicilio	2	Trabajadores
44040	Berge	En varios municipios (viajante, conductor,...)	7	Trabajadores
44040	Berge	En este municipio	1	Estudiantes que no trabajan
44040	Berge	En este municipio	25	Trabajadores
44040	Berge	En otro municipio	10	Estudiantes que no trabajan
44040	Berge	En otro municipio	36	Trabajadores
44041	Bezas	En varios municipios (viajante, conductor,...)	2	Trabajadores
44041	Bezas	En este municipio	1	Estudiantes que no trabajan
44041	Bezas	En este municipio	21	Trabajadores
44041	Bezas	En otro municipio	1	Trabajadores
44042	Blancas	En este municipio	43	Trabajadores
44042	Blancas	En otro municipio	6	Estudiantes que no trabajan
44042	Blancas	En otro municipio	18	Trabajadores
44043	Blesa	En varios municipios (viajante, conductor,...)	4	Trabajadores
44043	Blesa	En este municipio	20	Trabajadores
44043	Blesa	En otro municipio	1	Estudiantes que no trabajan
44043	Blesa	En otro municipio	30	Trabajadores
44044	Bordón	En mi propio domicilio	3	Trabajadores
44044	Bordón	En varios municipios (viajante, conductor,...)	4	Trabajadores
44044	Bordón	En este municipio	22	Trabajadores
44044	Bordón	En otro municipio	3	Estudiantes que no trabajan
44044	Bordón	En otro municipio	15	Trabajadores
44045	Bronchales	En mi propio domicilio	18	Trabajadores
44045	Bronchales	En varios municipios (viajante, conductor,...)	12	Trabajadores
44045	Bronchales	En este municipio	79	Trabajadores
44045	Bronchales	En otro municipio	30	Estudiantes que no trabajan
44045	Bronchales	En otro municipio	70	Trabajadores
44046	Bueña	En varios municipios (viajante, conductor,...)	2	Trabajadores
44046	Bueña	En este municipio	16	Trabajadores
44046	Bueña	En otro municipio	3	Estudiantes que no trabajan
44046	Bueña	En otro municipio	14	Trabajadores
44047	Burbáguena	En mi propio domicilio	4	Trabajadores
44047	Burbáguena	En este municipio	32	Trabajadores
44047	Burbáguena	En otro municipio	13	Estudiantes que no trabajan
44047	Burbáguena	En otro municipio	24	Trabajadores
44048	Cabra de Mora	En mi propio domicilio	2	Trabajadores
44048	Cabra de Mora	En varios municipios (viajante, conductor,...)	8	Trabajadores
44048	Cabra de Mora	En este municipio	7	Trabajadores
44048	Cabra de Mora	En otro municipio	4	Estudiantes que no trabajan
44048	Cabra de Mora	En otro municipio	21	Trabajadores
44049	Calaceite	En mi propio domicilio	1	Estudiantes que no trabajan
44049	Calaceite	En mi propio domicilio	29	Trabajadores
44049	Calaceite	En varios municipios (viajante, conductor,...)	5	Trabajadores
44049	Calaceite	En este municipio	3	Estudiantes que no trabajan
44049	Calaceite	En este municipio	273	Trabajadores
44049	Calaceite	En otro municipio	51	Estudiantes que no trabajan
44049	Calaceite	En otro municipio	102	Trabajadores
44049	Calaceite	En otro país	1	Estudiantes que no trabajan
44050	Calamocha	En mi propio domicilio	38	Trabajadores
44050	Calamocha	En varios municipios (viajante, conductor,...)	173	Trabajadores
44050	Calamocha	En este municipio	75	Estudiantes que no trabajan
44050	Calamocha	En este municipio	1068	Trabajadores
44050	Calamocha	En otro municipio	178	Estudiantes que no trabajan
44050	Calamocha	En otro municipio	263	Trabajadores
44050	Calamocha	En otro país	6	Estudiantes que no trabajan
44050	Calamocha	En otro país	5	Trabajadores
44051	Calanda	En mi propio domicilio	3	Estudiantes que no trabajan
44051	Calanda	En mi propio domicilio	82	Trabajadores
44051	Calanda	En varios municipios (viajante, conductor,...)	147	Trabajadores
44051	Calanda	En este municipio	23	Estudiantes que no trabajan
44051	Calanda	En este municipio	721	Trabajadores
44051	Calanda	En otro municipio	186	Estudiantes que no trabajan
44051	Calanda	En otro municipio	341	Trabajadores
44051	Calanda	En otro país	1	Estudiantes que no trabajan
44051	Calanda	En otro país	2	Trabajadores
44052	Calomarde	En varios municipios (viajante, conductor,...)	1	Trabajadores
44052	Calomarde	En este municipio	12	Trabajadores
44052	Calomarde	En otro municipio	10	Trabajadores
44053	Camañas	En mi propio domicilio	1	Trabajadores
44053	Camañas	En varios municipios (viajante, conductor,...)	5	Trabajadores
44053	Camañas	En este municipio	32	Trabajadores
44053	Camañas	En otro municipio	6	Estudiantes que no trabajan
44053	Camañas	En otro municipio	7	Trabajadores
44054	Camarena de la Sierra	En mi propio domicilio	2	Trabajadores
44054	Camarena de la Sierra	En varios municipios (viajante, conductor,...)	2	Trabajadores
44054	Camarena de la Sierra	En este municipio	1	Estudiantes que no trabajan
44054	Camarena de la Sierra	En este municipio	30	Trabajadores
44054	Camarena de la Sierra	En otro municipio	3	Estudiantes que no trabajan
44054	Camarena de la Sierra	En otro municipio	36	Trabajadores
44055	Camarillas	En mi propio domicilio	17	Trabajadores
44055	Camarillas	En varios municipios (viajante, conductor,...)	4	Trabajadores
44055	Camarillas	En este municipio	6	Trabajadores
44055	Camarillas	En otro municipio	6	Estudiantes que no trabajan
44055	Camarillas	En otro municipio	15	Trabajadores
44056	Caminreal	En mi propio domicilio	14	Trabajadores
44056	Caminreal	En varios municipios (viajante, conductor,...)	10	Trabajadores
44056	Caminreal	En este municipio	1	Estudiantes que no trabajan
44056	Caminreal	En este municipio	138	Trabajadores
44056	Caminreal	En otro municipio	56	Estudiantes que no trabajan
44056	Caminreal	En otro municipio	100	Trabajadores
44059	Cantavieja	En mi propio domicilio	1	Estudiantes que no trabajan
44059	Cantavieja	En mi propio domicilio	40	Trabajadores
44059	Cantavieja	En varios municipios (viajante, conductor,...)	18	Trabajadores
44059	Cantavieja	En este municipio	2	Estudiantes que no trabajan
44059	Cantavieja	En este municipio	240	Trabajadores
44059	Cantavieja	En otro municipio	37	Estudiantes que no trabajan
44059	Cantavieja	En otro municipio	44	Trabajadores
44059	Cantavieja	En otro país	1	Trabajadores
44060	Cañada de Benatanduz	En mi propio domicilio	13	Trabajadores
44060	Cañada de Benatanduz	En varios municipios (viajante, conductor,...)	1	Trabajadores
44060	Cañada de Benatanduz	En este municipio	3	Trabajadores
44060	Cañada de Benatanduz	En otro municipio	2	Estudiantes que no trabajan
44060	Cañada de Benatanduz	En otro municipio	3	Trabajadores
44061	Cañada de Verich (La)	En mi propio domicilio	2	Trabajadores
44061	Cañada de Verich (La)	En varios municipios (viajante, conductor,...)	4	Trabajadores
44061	Cañada de Verich (La)	En este municipio	1	Estudiantes que no trabajan
44061	Cañada de Verich (La)	En este municipio	17	Trabajadores
44061	Cañada de Verich (La)	En otro municipio	5	Trabajadores
44062	Cañada Vellida	En varios municipios (viajante, conductor,...)	1	Trabajadores
44062	Cañada Vellida	En este municipio	16	Trabajadores
44062	Cañada Vellida	En otro municipio	8	Trabajadores
44063	Cañizar del Olivar	En varios municipios (viajante, conductor,...)	1	Trabajadores
44063	Cañizar del Olivar	En este municipio	1	Estudiantes que no trabajan
44063	Cañizar del Olivar	En este municipio	22	Trabajadores
44063	Cañizar del Olivar	En otro municipio	4	Estudiantes que no trabajan
44063	Cañizar del Olivar	En otro municipio	10	Trabajadores
44064	Cascante del Río	En mi propio domicilio	1	Trabajadores
44064	Cascante del Río	En varios municipios (viajante, conductor,...)	5	Trabajadores
44064	Cascante del Río	En este municipio	18	Trabajadores
44064	Cascante del Río	En otro municipio	2	Estudiantes que no trabajan
44064	Cascante del Río	En otro municipio	10	Trabajadores
44065	Castejón de Tornos	En mi propio domicilio	6	Trabajadores
44065	Castejón de Tornos	En varios municipios (viajante, conductor,...)	1	Trabajadores
44065	Castejón de Tornos	En este municipio	6	Trabajadores
44065	Castejón de Tornos	En otro municipio	2	Estudiantes que no trabajan
