Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
17	Central	2008	5	36964	IU
17	Central	2008	6	16577	UPyD
17	Central	2008	7	6212	LV
17	Central	2008	8	2432	C's
17	Central	2008	9	0	PACMA
17	Central	2008	10	975	PUM+J
17	Central	2008	11	1150	pCUA
17	Central	2008	12	600	PSD-FIA
17	Central	2008	13	683	TA
17	Central	2008	14	377	FE de las JONS
17	Central	2008	15	364	PFyV
17	Central	2008	16	364	DN
17	Central	2008	17	229	POSI
17	Central	2008	18	155	AuN
17	Central	2008	19	453	FRENTE
17	Central	2008	20	227	AES
17	Central	2008	21	264	FA
17	Central	2008	22	201	PH
17	Central	2008	23	195	MCE
17	Central	2008	24	89	CTC
17	Central	2008	25	0	PCPE
18	Ribera Baja del Ebro	2008	1	8981	PSOE
18	Ribera Baja del Ebro	2008	2	4509	PP
18	Ribera Baja del Ebro	2008	3	1416	PAR
18	Ribera Baja del Ebro	2008	4	862	CHA
18	Ribera Baja del Ebro	2008	5	131	IU
18	Ribera Baja del Ebro	2008	6	85	UPyD
18	Ribera Baja del Ebro	2008	7	40	LV
18	Ribera Baja del Ebro	2008	8	5	C's
18	Ribera Baja del Ebro	2008	9	0	PACMA
18	Ribera Baja del Ebro	2008	10	6	PUM+J
18	Ribera Baja del Ebro	2008	11	6	pCUA
18	Ribera Baja del Ebro	2008	12	11	PSD-FIA
18	Ribera Baja del Ebro	2008	13	3	TA
18	Ribera Baja del Ebro	2008	14	6	FE de las JONS
18	Ribera Baja del Ebro	2008	15	2	PFyV
18	Ribera Baja del Ebro	2008	16	1	DN
18	Ribera Baja del Ebro	2008	17	2	POSI
18	Ribera Baja del Ebro	2008	18	0	AuN
18	Ribera Baja del Ebro	2008	19	2	FRENTE
18	Ribera Baja del Ebro	2008	20	9	AES
18	Ribera Baja del Ebro	2008	21	0	FA
18	Ribera Baja del Ebro	2008	22	4	PH
18	Ribera Baja del Ebro	2008	23	2	MCE
18	Ribera Baja del Ebro	2008	24	1	CTC
18	Ribera Baja del Ebro	2008	25	0	PCPE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	1	11438	PSOE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	2	7656	PP
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	3	2227	PAR
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	4	919	CHA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	5	315	IU
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	6	111	UPyD
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	7	81	LV
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2008	8	7	C's
