Municipio código	Municipio nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22036	Argavieso	Hombres	1	Agricultura, ganadería y pesca	10
22036	Argavieso	Hombres	2	Industria y energía	5
22036	Argavieso	Hombres	3	Construcción	9
22036	Argavieso	Hombres	4	Servicios	7
22036	Argavieso	Mujeres	4	Servicios	10
22037	Arguis	Hombres	1	Agricultura, ganadería y pesca	2
22037	Arguis	Hombres	2	Industria y energía	3
22037	Arguis	Hombres	3	Construcción	3
22037	Arguis	Hombres	4	Servicios	12
22037	Arguis	Mujeres	2	Industria y energía	1
22037	Arguis	Mujeres	4	Servicios	7
22039	Ayerbe	Hombres	1	Agricultura, ganadería y pesca	47
22039	Ayerbe	Hombres	2	Industria y energía	30
22039	Ayerbe	Hombres	3	Construcción	40
22039	Ayerbe	Hombres	4	Servicios	138
22039	Ayerbe	Mujeres	1	Agricultura, ganadería y pesca	7
22039	Ayerbe	Mujeres	2	Industria y energía	10
22039	Ayerbe	Mujeres	3	Construcción	3
22039	Ayerbe	Mujeres	4	Servicios	114
22040	Azanuy-Alins	Hombres	1	Agricultura, ganadería y pesca	21
22040	Azanuy-Alins	Hombres	2	Industria y energía	10
22040	Azanuy-Alins	Hombres	3	Construcción	1
22040	Azanuy-Alins	Hombres	4	Servicios	5
22040	Azanuy-Alins	Mujeres	1	Agricultura, ganadería y pesca	4
22040	Azanuy-Alins	Mujeres	2	Industria y energía	2
22040	Azanuy-Alins	Mujeres	3	Construcción	1
22040	Azanuy-Alins	Mujeres	4	Servicios	9
22041	Azara	Hombres	1	Agricultura, ganadería y pesca	4
22041	Azara	Hombres	2	Industria y energía	9
22041	Azara	Hombres	3	Construcción	8
22041	Azara	Hombres	4	Servicios	33
22041	Azara	Mujeres	1	Agricultura, ganadería y pesca	5
22041	Azara	Mujeres	2	Industria y energía	5
22041	Azara	Mujeres	4	Servicios	20
22042	Azlor	Hombres	1	Agricultura, ganadería y pesca	9
22042	Azlor	Hombres	2	Industria y energía	12
22042	Azlor	Hombres	3	Construcción	4
22042	Azlor	Hombres	4	Servicios	5
22042	Azlor	Mujeres	1	Agricultura, ganadería y pesca	6
22042	Azlor	Mujeres	2	Industria y energía	3
22042	Azlor	Mujeres	3	Construcción	1
22042	Azlor	Mujeres	4	Servicios	10
22043	Baells	Hombres	1	Agricultura, ganadería y pesca	19
22043	Baells	Hombres	2	Industria y energía	1
22043	Baells	Hombres	3	Construcción	7
22043	Baells	Hombres	4	Servicios	6
22043	Baells	Mujeres	1	Agricultura, ganadería y pesca	3
22043	Baells	Mujeres	2	Industria y energía	3
22043	Baells	Mujeres	4	Servicios	9
22044	Bailo	Hombres	1	Agricultura, ganadería y pesca	34
22044	Bailo	Hombres	2	Industria y energía	14
22044	Bailo	Hombres	3	Construcción	19
22044	Bailo	Hombres	4	Servicios	19
22044	Bailo	Mujeres	1	Agricultura, ganadería y pesca	2
22044	Bailo	Mujeres	2	Industria y energía	4
22044	Bailo	Mujeres	4	Servicios	27
22045	Baldellou	Hombres	1	Agricultura, ganadería y pesca	20
22045	Baldellou	Hombres	2	Industria y energía	2
22045	Baldellou	Hombres	3	Construcción	8
22045	Baldellou	Hombres	4	Servicios	7
22045	Baldellou	Mujeres	3	Construcción	1
22045	Baldellou	Mujeres	4	Servicios	10
22046	Ballobar	Hombres	1	Agricultura, ganadería y pesca	74
22046	Ballobar	Hombres	2	Industria y energía	86
22046	Ballobar	Hombres	3	Construcción	40
22046	Ballobar	Hombres	4	Servicios	63
22046	Ballobar	Mujeres	1	Agricultura, ganadería y pesca	11
22046	Ballobar	Mujeres	2	Industria y energía	18
22046	Ballobar	Mujeres	3	Construcción	3
22046	Ballobar	Mujeres	4	Servicios	59
22047	Banastás	Hombres	1	Agricultura, ganadería y pesca	6
22047	Banastás	Hombres	2	Industria y energía	13
22047	Banastás	Hombres	3	Construcción	5
22047	Banastás	Hombres	4	Servicios	30
