Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2009	22125	Huesca	10	Industria de la alimentación	24
2009	22125	Huesca	11	Fabricación de bebidas	4
2009	22125	Huesca	13	Industria textil	8
2009	22125	Huesca	14	Confección de prendas de vestir	12
2009	22125	Huesca	15	Industria del cuero y del calzado	4
2009	22125	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	21
2009	22125	Huesca	17	Industria del papel	1
2009	22125	Huesca	18	Artes gráficas y reproducción de soportes grabados	30
2009	22125	Huesca	20	Industria química	7
2009	22125	Huesca	21	Fabricación de productos farmacéuticos	1
2009	22125	Huesca	22	Fabricación de productos de caucho y plásticos	4
2009	22125	Huesca	23	Fabricación de otros productos minerales no metálicos	12
2009	22125	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	1
2009	22125	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	89
2009	22125	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	4
2009	22125	Huesca	27	Fabricación de material y equipo eléctrico	4
2009	22125	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	21
2009	22125	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	12
2009	22125	Huesca	30	Fabricación de otro material de transporte	1
2009	22125	Huesca	31	Fabricación de muebles	26
2009	22125	Huesca	32	Otras industrias manufactureras	11
2009	22125	Huesca	33	Reparación e instalación de maquinaria y equipo	35
2009	22125	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	25
2009	22125	Huesca	36	Captación, depuración y distribución de agua	1
2009	22125	Huesca	37	Recogida y tratamiento de aguas residuales	3
2009	22125	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	4
2009	22125	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	9
2009	22125	Huesca	41	Construcción de edificios	317
2009	22125	Huesca	42	Ingeniería civil	58
2009	22125	Huesca	43	Actividades de construcción especializada	813
2009	22125	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	227
2009	22125	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	352
2009	22125	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	1250
2009	22125	Huesca	49	Transporte terrestre y por tubería	317
2009	22125	Huesca	52	Almacenamiento y actividades anexas al transporte	28
2009	22125	Huesca	53	Actividades postales y de correos	20
2009	22125	Huesca	55	Servicios de alojamiento	37
2009	22125	Huesca	56	Servicios de comidas y bebidas	424
2009	22125	Huesca	58	Edición	22
2009	22125	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	24
2009	22125	Huesca	60	Actividades de programación y emisión de radio y televisión	7
2009	22125	Huesca	61	Telecomunicaciones	9
2009	22125	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	70
2009	22125	Huesca	63	Servicios de información	6
2009	22125	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	64
2009	22125	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	31
2009	22125	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	125
2009	22125	Huesca	68	Actividades inmobiliarias	623
2009	22125	Huesca	69	Actividades jurídicas y de contabilidad	224
2009	22125	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	387
2009	22125	Huesca	72	Investigación y desarrollo	40
2009	22125	Huesca	73	Publicidad y estudios de mercado	51
2009	22125	Huesca	74	Otras actividades profesionales, científicas y técnicas	136
2009	22125	Huesca	75	Actividades veterinarias	23
2009	22125	Huesca	77	Actividades de alquiler	76
2009	22125	Huesca	78	Actividades relacionadas con el empleo	6
2009	22125	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	27
2009	22125	Huesca	80	Actividades de seguridad e investigación	11
2009	22125	Huesca	81	Servicios a edificios y actividades de jardinería	96
2009	22125	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	139
2009	22125	Huesca	85	Educación	314
2009	22125	Huesca	86	Actividades sanitarias	226
2009	22125	Huesca	87	Asistencia en establecimientos residenciales	9
2009	22125	Huesca	88	Actividades de servicios sociales sin alojamiento	17
2009	22125	Huesca	90	Actividades de creación, artísticas y espectáculos	93
2009	22125	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	12
2009	22125	Huesca	92	Actividades de juegos de azar y apuestas	36
2009	22125	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	41
2009	22125	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	89
2009	22125	Huesca	96	Otros servicios personales	253
2009	22130	Jaca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	32
2009	22130	Jaca	02	Silvicultura y explotación forestal	2
2009	22130	Jaca	05	Extracción de antracita, hulla y lignito	3
2009	22130	Jaca	06	Extracción de crudo de petróleo y gas natural	1
2009	22130	Jaca	10	Industria de la alimentación	6
2009	22130	Jaca	13	Industria textil	4
2009	22130	Jaca	14	Confección de prendas de vestir	3
2009	22130	Jaca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	11
2009	22130	Jaca	18	Artes gráficas y reproducción de soportes grabados	5
2009	22130	Jaca	23	Fabricación de otros productos minerales no metálicos	3
2009	22130	Jaca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	18
2009	22130	Jaca	27	Fabricación de material y equipo eléctrico	1
2009	22130	Jaca	31	Fabricación de muebles	4
2009	22130	Jaca	32	Otras industrias manufactureras	3
2009	22130	Jaca	33	Reparación e instalación de maquinaria y equipo	5
2009	22130	Jaca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	5
2009	22130	Jaca	36	Captación, depuración y distribución de agua	1
2009	22130	Jaca	37	Recogida y tratamiento de aguas residuales	3
2009	22130	Jaca	38	Recogida, tratamiento y eliminación de residuos; valorización	1
2009	22130	Jaca	39	Actividades de descontaminación y otros servicios de gestión de residuos	1
2009	22130	Jaca	41	Construcción de edificios	122
2009	22130	Jaca	42	Ingeniería civil	18
