Mes y año	Codmun	Municipio	Cuentas cotización con trabajadores
Octubre 2020	22213	Sariñena	210
Octubre 2020	22214	Secastilla	10
Octubre 2020	22215	Seira	4
Octubre 2020	22217	Sena	22
Octubre 2020	22218	Senés de Alcubierre	5
Octubre 2020	22220	Sesa	7
Octubre 2020	22221	Sesué	8
Octubre 2020	22222	Siétamo	22
Octubre 2020	22223	Sopeira	6
Octubre 2020	22225	Tamarite de Litera	191
Octubre 2020	22226	Tardienta	44
Octubre 2020	22227	Tella-Sin	5
Octubre 2020	22228	Tierz	31
Octubre 2020	22229	Tolva	5
Octubre 2020	22230	Torla-Ordesa	28
Octubre 2020	22232	Torralba de Aragón	9
Octubre 2020	22233	Torre la Ribera	3
Octubre 2020	22234	Torrente de Cinca	46
Octubre 2020	22235	Torres de Alcanadre	6
Octubre 2020	22236	Torres de Barbués	11
Octubre 2020	22239	Tramaced	12
Octubre 2020	22242	Valfarta	7
Octubre 2020	22243	Valle de Bardají	3
Octubre 2020	22244	Valle de Lierp	2
Octubre 2020	22245	Velilla de Cinca	20
Octubre 2020	22246	Beranuy	2
Octubre 2020	22247	Viacamp y Litera	8
Octubre 2020	22248	Vicién	7
Octubre 2020	22249	Villanova	5
Octubre 2020	22250	Villanúa	33
Octubre 2020	22251	Villanueva de Sigena	25
Octubre 2020	22252	Yebra de Basa	4
Octubre 2020	22253	Yésero	1
Octubre 2020	22254	Zaidín	102
Octubre 2020	22901	Valle de Hecho	35
Octubre 2020	22902	Puente la Reina de Jaca	21
Octubre 2020	22903	San Miguel del Cinca	53
Octubre 2020	22904	Sotonera (La)	47
Octubre 2020	22905	Lupiñén-Ortilla	21
Octubre 2020	22906	Santa María de Dulcis	7
Octubre 2020	22907	Aínsa-Sobrarbe	153
Octubre 2020	22908	Hoz y Costeán	9
Octubre 2020	22909	Vencillón	22
Octubre 2020	44001	Ababuj	2
Octubre 2020	44002	Abejuela	2
Octubre 2020	44003	Aguatón	2
Octubre 2020	44004	Aguaviva	28
Octubre 2020	44005	Aguilar del Alfambra	4
Octubre 2020	44006	Alacón	8
Octubre 2020	44007	Alba	8
Octubre 2020	44008	Albalate del Arzobispo	69
Octubre 2020	44009	Albarracín	81
Octubre 2020	44010	Albentosa	29
Octubre 2020	44011	Alcaine	3
Octubre 2020	44012	Alcalá de la Selva	24
Octubre 2020	44013	Alcañiz	832
Octubre 2020	44014	Alcorisa	131
Octubre 2020	44016	Alfambra	22
Octubre 2020	44017	Aliaga	22
Octubre 2020	44018	Almohaja	3
Octubre 2020	44019	Alobras	3
Octubre 2020	44020	Alpeñés	1
Octubre 2020	44021	Allepuz	5
Octubre 2020	44022	Alloza	17
Octubre 2020	44023	Allueva	2
Octubre 2020	44024	Anadón	1
Octubre 2020	44025	Andorra	217
Octubre 2020	44026	Arcos de las Salinas	5
Octubre 2020	44027	Arens de Lledó	3
Octubre 2020	44028	Argente	6
Octubre 2020	44029	Ariño	27
Octubre 2020	44031	Azaila	9
Octubre 2020	44032	Bádenas	1
Octubre 2020	44033	Báguena	8
Octubre 2020	44034	Bañón	4
Octubre 2020	44035	Barrachina	4
Octubre 2020	44036	Bea	2
Octubre 2020	44037	Beceite	22
Octubre 2020	44038	Belmonte de San José	5
Octubre 2020	44039	Bello	7
Octubre 2020	44040	Berge	9
Octubre 2020	44041	Bezas	1
Octubre 2020	44042	Blancas	3
Octubre 2020	44043	Blesa	3
Octubre 2020	44044	Bordón	7
Octubre 2020	44045	Bronchales	17
Octubre 2020	44046	Bueña	4
Octubre 2020	44047	Burbáguena	6
Octubre 2020	44048	Cabra de Mora	3
Octubre 2020	44049	Calaceite	65
Octubre 2020	44050	Calamocha	199
Octubre 2020	44051	Calanda	169
Octubre 2020	44052	Calomarde	3
Octubre 2020	44053	Camañas	5
Octubre 2020	44054	Camarena de la Sierra	7
Octubre 2020	44055	Camarillas	4
Octubre 2020	44056	Caminreal	28
Octubre 2020	44059	Cantavieja	44
Octubre 2020	44060	Cañada de Benatanduz	2
Octubre 2020	44061	Cañada de Verich (La)	5
Octubre 2020	44062	Cañada Vellida	7
Octubre 2020	44063	Cañizar del Olivar	6
Octubre 2020	44064	Cascante del Río	2
Octubre 2020	44065	Castejón de Tornos	1
Octubre 2020	44066	Castel de Cabra	3
Octubre 2020	44067	Castelnou	10
Octubre 2020	44068	Castelserás	31
Octubre 2020	44070	Castellar (El)	2
Octubre 2020	44071	Castellote	42
Octubre 2020	44074	Cedrillas	30
Octubre 2020	44075	Celadas	8
Octubre 2020	44076	Cella	74
Octubre 2020	44077	Cerollera (La)	5
Octubre 2020	44080	Codoñera (La)	16
Octubre 2020	44082	Corbalán	3
Octubre 2020	44084	Cortes de Aragón	3
Octubre 2020	44085	Cosa	2
Octubre 2020	44086	Cretas	26
Octubre 2020	44087	Crivillén	4
Octubre 2020	44088	Cuba (La)	5
Octubre 2020	44089	Cubla	2
Octubre 2020	44090	Cucalón	3
Octubre 2020	44092	Cuervo (El)	3
Octubre 2020	44093	Cuevas de Almudén	5
Octubre 2020	44094	Cuevas Labradas	2
Octubre 2020	44096	Ejulve	11
Octubre 2020	44097	Escorihuela	3
Octubre 2020	44099	Escucha	18
Octubre 2020	44100	Estercuel	5
Octubre 2020	44101	Ferreruela de Huerva	6
Octubre 2020	44102	Fonfría	2
Octubre 2020	44103	Formiche Alto	8
Octubre 2020	44105	Fórnoles	2
Octubre 2020	44106	Fortanete	7
Octubre 2020	44107	Foz-Calanda	10
Octubre 2020	44108	Fresneda (La)	26
Octubre 2020	44109	Frías de Albarracín	3
Octubre 2020	44111	Fuentes Calientes	3
Octubre 2020	44112	Fuentes Claras	11
Octubre 2020	44113	Fuentes de Rubielos	7
Octubre 2020	44114	Fuentespalda	12
Octubre 2020	44115	Galve	11
Octubre 2020	44116	Gargallo	8
Octubre 2020	44117	Gea de Albarracín	12
Octubre 2020	44118	Ginebrosa (La)	18
Octubre 2020	44119	Griegos	3
Octubre 2020	44120	Guadalaviar	7
Octubre 2020	44121	Gúdar	5
Octubre 2020	44122	Híjar	70
Octubre 2020	44123	Hinojosa de Jarque	8
Octubre 2020	44124	Hoz de la Vieja (La)	2
Octubre 2020	44125	Huesa del Común	3
Octubre 2020	44126	Iglesuela del Cid (La)	15
Octubre 2020	44127	Jabaloyas	2
Octubre 2020	44128	Jarque de la Val	4
Octubre 2020	44130	Jorcas	2
Octubre 2020	44131	Josa	2
Octubre 2020	44132	Lagueruela	3
Octubre 2020	44133	Lanzuela	2
Octubre 2020	44135	Libros	2
Octubre 2020	44136	Lidón	2
Octubre 2020	44137	Linares de Mora	13
Octubre 2020	44138	Loscos	7
Octubre 2020	44141	Lledó	9
Octubre 2020	44142	Maicas	1
Octubre 2020	44143	Manzanera	30
Octubre 2020	44144	Martín del Río	11
Octubre 2020	44145	Mas de las Matas	62
Octubre 2020	44146	Mata de los Olmos (La)	15
Octubre 2020	44147	Mazaleón	24
Octubre 2020	44148	Mezquita de Jarque	6
Octubre 2020	44149	Mirambel	10
Octubre 2020	44151	Molinos	17
Octubre 2020	44152	Monforte de Moyuela	2
Octubre 2020	44153	Monreal del Campo	93
Octubre 2020	44154	Monroyo	18
Octubre 2020	44155	Montalbán	50
Octubre 2020	44156	Monteagudo del Castillo	5
Octubre 2020	44157	Monterde de Albarracín	1
Octubre 2020	44158	Mora de Rubielos	84
Octubre 2020	44159	Moscardón	3
Octubre 2020	44160	Mosqueruela	28
Octubre 2020	44161	Muniesa	23
Octubre 2020	44163	Noguera de Albarracín	3
Octubre 2020	44164	Nogueras	1
Octubre 2020	44165	Nogueruelas	6
Octubre 2020	44167	Obón	2
Octubre 2020	44168	Odón	8
Octubre 2020	44169	Ojos Negros	9
Octubre 2020	44171	Olba	6
Octubre 2020	44172	Oliete	11
Octubre 2020	44173	Olmos (Los)	2
Octubre 2020	44174	Orihuela del Tremedal	14
Octubre 2020	44175	Orrios	7
Octubre 2020	44176	Palomar de Arroyos	4
Octubre 2020	44177	Pancrudo	7
Octubre 2020	44178	Parras de Castellote (Las)	3
Octubre 2020	44179	Peñarroya de Tastavins	25
Octubre 2020	44180	Peracense	2
Octubre 2020	44181	Peralejos	4
Octubre 2020	44182	Perales del Alfambra	13
Octubre 2020	44183	Pitarque	2
Octubre 2020	44184	Plou	1
Octubre 2020	44185	Pobo (El)	3
Octubre 2020	44187	Portellada (La)	9
Octubre 2020	44189	Pozondón	4
Octubre 2020	44190	Pozuel del Campo	2
Octubre 2020	44191	Puebla de Híjar (La)	67
Octubre 2020	44192	Puebla de Valverde (La)	31
Octubre 2020	44193	Puertomingalvo	6
Octubre 2020	44194	Ráfales	5
Octubre 2020	44195	Rillo	2
Octubre 2020	44196	Riodeva	3
Octubre 2020	44197	Ródenas	5
Octubre 2020	44198	Royuela	9
Octubre 2020	44199	Rubiales	1
Octubre 2020	44200	Rubielos de la Cérida	2
Octubre 2020	44201	Rubielos de Mora	37
Octubre 2020	44203	Salcedillo	1
Octubre 2020	44204	Saldón	1
Octubre 2020	44205	Samper de Calanda	20
Octubre 2020	44206	San Agustín	4
Octubre 2020	44207	San Martín del Río	3
Octubre 2020	44208	Santa Cruz de Nogueras	3
Octubre 2020	44209	Santa Eulalia	46
Octubre 2020	44210	Sarrión	76
Octubre 2020	44211	Segura de los Baños	1
Octubre 2020	44212	Seno	4
Octubre 2020	44213	Singra	4
Octubre 2020	44215	Terriente	8
Octubre 2020	44216	Teruel	1931
Octubre 2020	44217	Toril y Masegoso	2
Octubre 2020	44218	Tormón	3
Octubre 2020	44219	Tornos	4
Octubre 2020	44220	Torralba de los Sisones	11
Octubre 2020	44221	Torrecilla de Alcañiz	18
Octubre 2020	44222	Torrecilla del Rebollar	3
Octubre 2020	44223	Torre de Arcas	4
Octubre 2020	44224	Torre de las Arcas	3
Octubre 2020	44225	Torre del Compte	11
Octubre 2020	44226	Torrelacárcel	7
Octubre 2020	44227	Torre los Negros	5
Octubre 2020	44228	Torremocha de Jiloca	6
Octubre 2020	44229	Torres de Albarracín	9
Octubre 2020	44230	Torrevelilla	8
Octubre 2020	44231	Torrijas	3
Octubre 2020	44232	Torrijo del Campo	16
Octubre 2020	44234	Tramacastiel	3
Octubre 2020	44235	Tramacastilla	12
Octubre 2020	44236	Tronchón	5
Octubre 2020	44237	Urrea de Gaén	18
Octubre 2020	44238	Utrillas	85
Octubre 2020	44239	Valacloche	1
Octubre 2020	44240	Valbona	8
Octubre 2020	44241	Valdealgorfa	20
Octubre 2020	44243	Valdecuenca	4
Octubre 2020	44244	Valdelinares	8
Octubre 2020	44245	Valdeltormo	16
Octubre 2020	44246	Valderrobres	163
Octubre 2020	44247	Valjunquera	10
Octubre 2020	44249	Vallecillo (El)	2
Octubre 2020	44250	Veguillas de la Sierra	1
Octubre 2020	44251	Villafranca del Campo	15
Octubre 2020	44252	Villahermosa del Campo	2
Octubre 2020	44256	Villanueva del Rebollar de la Sierra	2
Octubre 2020	44257	Villar del Cobo	2
Octubre 2020	44260	Villarluengo	7
Octubre 2020	44261	Villarquemado	23
Octubre 2020	44262	Villarroya de los Pinares	9
Octubre 2020	44263	Villastar	13
Octubre 2020	44264	Villel	14
Octubre 2020	44265	Vinaceite	18
Octubre 2020	44266	Visiedo	5
Octubre 2020	44267	Vivel del Río Martín	3
Octubre 2020	50001	Abanto	3
Octubre 2020	50002	Acered	10
Octubre 2020	50003	Agón	6
Octubre 2020	50004	Aguarón	37
Octubre 2020	50005	Aguilón	7
Octubre 2020	50006	Ainzón	33
Octubre 2020	50007	Aladrén	1
Octubre 2020	50008	Alagón	209
Octubre 2020	50009	Alarba	4
Octubre 2020	50010	Alberite de San Juan	7
Octubre 2020	50011	Albeta	9
Octubre 2020	50012	Alborge	11
Octubre 2020	50013	Alcalá de Ebro	7
Octubre 2020	50014	Alcalá de Moncayo	5
Octubre 2020	50015	Alconchel de Ariza	3
Octubre 2020	50016	Aldehuela de Liestos	2
Octubre 2020	50017	Alfajarín	97
Octubre 2020	50018	Alfamén	44
Octubre 2020	50019	Alforque	2
Octubre 2020	50020	Alhama de Aragón	32
Octubre 2020	50021	Almochuel	4
Octubre 2020	50022	Almolda (La)	8
Octubre 2020	50023	Almonacid de la Cuba	12
Octubre 2020	50024	Almonacid de la Sierra	36
Octubre 2020	50025	Almunia de Doña Godina (La)	329
Octubre 2020	50026	Alpartir	13
Octubre 2020	50027	Ambel	11
Octubre 2020	50028	Anento	3
Octubre 2020	50029	Aniñón	26
Octubre 2020	50030	Añón de Moncayo	3
Octubre 2020	50031	Aranda de Moncayo	6
Octubre 2020	50032	Arándiga	14
Octubre 2020	50033	Ardisa	2
Octubre 2020	50034	Ariza	35
Octubre 2020	50035	Artieda	6
Octubre 2020	50036	Asín	4
Octubre 2020	50037	Atea	4
Octubre 2020	50038	Ateca	58
Octubre 2020	50039	Azuara	20
Octubre 2020	50040	Badules	2
Octubre 2020	50041	Bagüés	1
Octubre 2020	50042	Balconchán	2
Octubre 2020	50043	Bárboles	13
Octubre 2020	50044	Bardallur	7
Octubre 2020	50045	Belchite	74
Octubre 2020	50046	Belmonte de Gracián	3
Octubre 2020	50047	Berdejo	1
Octubre 2020	50048	Berrueco	3
Octubre 2020	50050	Bijuesca	2
Octubre 2020	50051	Biota	29
Octubre 2020	50052	Bisimbre	7
Octubre 2020	50053	Boquiñeni	22
Octubre 2020	50054	Bordalba	3
Octubre 2020	50055	Borja	191
Octubre 2020	50056	Botorrita	15
Octubre 2020	50057	Brea de Aragón	66
Octubre 2020	50058	Bubierca	3
Octubre 2020	50059	Bujaraloz	57
Octubre 2020	50060	Bulbuente	15
Octubre 2020	50061	Bureta	22
Octubre 2020	50062	Burgo de Ebro (El)	123
Octubre 2020	50063	Buste (El)	4
Octubre 2020	50064	Cabañas de Ebro	25
Octubre 2020	50065	Cabolafuente	2
Octubre 2020	50066	Cadrete	224
Octubre 2020	50067	Calatayud	773
Octubre 2020	50068	Calatorao	97
Octubre 2020	50069	Calcena	5
Octubre 2020	50070	Calmarza	3
Octubre 2020	50071	Campillo de Aragón	7
Octubre 2020	50072	Carenas	5
Octubre 2020	50073	Cariñena	205
Octubre 2020	50074	Caspe	383
Octubre 2020	50075	Castejón de Alarba	3
Octubre 2020	50076	Castejón de las Armas	3
Octubre 2020	50077	Castejón de Valdejasa	8
Octubre 2020	50078	Castiliscar	10
Octubre 2020	50079	Cervera de la Cañada	10
Octubre 2020	50080	Cerveruela	1
Octubre 2020	50081	Cetina	23
Octubre 2020	50082	Cimballa	6
Octubre 2020	50083	Cinco Olivas	2
Octubre 2020	50084	Clarés de Ribota	2
Octubre 2020	50085	Codo	5
Octubre 2020	50086	Codos	9
Octubre 2020	50087	Contamina	1
Octubre 2020	50088	Cosuenda	13
Octubre 2020	50089	Cuarte de Huerva	763
Octubre 2020	50090	Cubel	7
Octubre 2020	50091	Cuerlas (Las)	6
Octubre 2020	50092	Chiprana	34
Octubre 2020	50093	Chodes	5
Octubre 2020	50094	Daroca	86
Octubre 2020	50095	Ejea de los Caballeros	653
Octubre 2020	50096	Embid de Ariza	2
Octubre 2020	50098	Encinacorba	6
Octubre 2020	50099	Épila	168
Octubre 2020	50100	Erla	16
Octubre 2020	50101	Escatrón	41
Octubre 2020	50102	Fabara	68
Octubre 2020	50104	Farlete	19
Octubre 2020	50105	Fayón	16
Octubre 2020	50106	Fayos (Los)	3
Octubre 2020	50107	Figueruelas	71
Octubre 2020	50108	Fombuena	2
Octubre 2020	50109	Frago (El)	5
Octubre 2020	50110	Frasno (El)	20
Octubre 2020	50111	Fréscano	6
Octubre 2020	50113	Fuendejalón	60
Octubre 2020	50114	Fuendetodos	11
Octubre 2020	50115	Fuentes de Ebro	138
Octubre 2020	50116	Fuentes de Jiloca	8
Octubre 2020	50117	Gallocanta	5
Octubre 2020	50118	Gallur	85
Octubre 2020	50119	Gelsa	34
Octubre 2020	50120	Godojos	5
Octubre 2020	50121	Gotor	8
Octubre 2020	50122	Grisel	3
Octubre 2020	50123	Grisén	12
Octubre 2020	50124	Herrera de los Navarros	24
Octubre 2020	50125	Ibdes	16
Octubre 2020	50126	Illueca	90
Octubre 2020	50128	Isuerre	2
Octubre 2020	50129	Jaraba	11
Octubre 2020	50130	Jarque de Moncayo	12
Octubre 2020	50131	Jaulín	12
Octubre 2020	50132	Joyosa (La)	20
Octubre 2020	50133	Lagata	4
Octubre 2020	50134	Langa del Castillo	4
Octubre 2020	50135	Layana	5
Octubre 2020	50136	Lécera	29
Octubre 2020	50137	Leciñena	48
Octubre 2020	50138	Lechón	5
Octubre 2020	50139	Letux	13
Octubre 2020	50140	Litago	2
Octubre 2020	50141	Lituénigo	3
Octubre 2020	50143	Longares	26
Octubre 2020	50144	Longás	3
Octubre 2020	50146	Lucena de Jalón	9
Octubre 2020	50147	Luceni	25
Octubre 2020	50148	Luesia	9
Octubre 2020	50149	Luesma	2
Octubre 2020	50150	Lumpiaque	30
Octubre 2020	50151	Luna	25
Octubre 2020	50152	Maella	94
Octubre 2020	50153	Magallón	48
Octubre 2020	50154	Mainar	11
Octubre 2020	50155	Malanquilla	3
Octubre 2020	50156	Maleján	10
Octubre 2020	50157	Malón	8
Octubre 2020	50159	Maluenda	36
Octubre 2020	50160	Mallén	95
Octubre 2020	50161	Manchones	5
Octubre 2020	50162	Mara	9
Octubre 2020	50163	María de Huerva	144
Octubre 2020	50164	Mediana de Aragón	13
Octubre 2020	50165	Mequinenza	86
Octubre 2020	50166	Mesones de Isuela	10
Octubre 2020	50167	Mezalocha	8
Octubre 2020	50168	Mianos	3
Octubre 2020	50169	Miedes de Aragón	11
Octubre 2020	50170	Monegrillo	23
Octubre 2020	50171	Moneva	2
Octubre 2020	50172	Monreal de Ariza	12
Octubre 2020	50173	Monterde	4
Octubre 2020	50174	Montón	4
Octubre 2020	50175	Morata de Jalón	36
Octubre 2020	50176	Morata de Jiloca	14
Octubre 2020	50177	Morés	14
Octubre 2020	50178	Moros	8
Octubre 2020	50179	Moyuela	12
Octubre 2020	50180	Mozota	3
Octubre 2020	50181	Muel	82
Octubre 2020	50182	Muela (La)	334
Octubre 2020	50183	Munébrega	18
Octubre 2020	50184	Murero	3
Octubre 2020	50185	Murillo de Gállego	11
Octubre 2020	50186	Navardún	3
Octubre 2020	50187	Nigüella	6
Octubre 2020	50188	Nombrevilla	1
Octubre 2020	50189	Nonaspe	38
Octubre 2020	50190	Novallas	28
Octubre 2020	50191	Novillas	18
Octubre 2020	50192	Nuévalos	15
Octubre 2020	50193	Nuez de Ebro	33
Octubre 2020	50194	Olvés	6
Octubre 2020	50195	Orcajo	2
Octubre 2020	50196	Orera	2
Octubre 2020	50197	Orés	4
Octubre 2020	50198	Oseja	2
Octubre 2020	50199	Osera de Ebro	11
Octubre 2020	50200	Paniza	22
Octubre 2020	50201	Paracuellos de Jiloca	16
Octubre 2020	50202	Paracuellos de la Ribera	6
Octubre 2020	50203	Pastriz	24
Octubre 2020	50204	Pedrola	139
Octubre 2020	50205	Pedrosas (Las)	2
Octubre 2020	50206	Perdiguera	14
Octubre 2020	50207	Piedratajada	7
Octubre 2020	50208	Pina de Ebro	96
Octubre 2020	50209	Pinseque	158
Octubre 2020	50210	Pintanos (Los)	4
Octubre 2020	50211	Plasencia de Jalón	12
Octubre 2020	50212	Pleitas	2
Octubre 2020	50213	Plenas	6
Octubre 2020	50214	Pomer	2
Octubre 2020	50215	Pozuel de Ariza	4
Octubre 2020	50216	Pozuelo de Aragón	18
Octubre 2020	50217	Pradilla de Ebro	21
Octubre 2020	50218	Puebla de Albortón	7
Octubre 2020	50219	Puebla de Alfindén (La)	446
Octubre 2020	50220	Puendeluna	2
Octubre 2020	50221	Purujosa	3
Octubre 2020	50222	Quinto	71
Octubre 2020	50223	Remolinos	34
Octubre 2020	50224	Retascón	1
Octubre 2020	50225	Ricla	127
Octubre 2020	50227	Romanos	7
Octubre 2020	50228	Rueda de Jalón	13
Octubre 2020	50229	Ruesca	3
Octubre 2020	50230	Sádaba	58
Octubre 2020	50231	Salillas de Jalón	17
Octubre 2020	50232	Salvatierra de Esca	8
Octubre 2020	50233	Samper del Salz	2
Octubre 2020	50234	San Martín de la Virgen de Moncayo	8
Octubre 2020	50235	San Mateo de Gállego	112
Octubre 2020	50236	Santa Cruz de Grío	5
Octubre 2020	50237	Santa Cruz de Moncayo	3
Octubre 2020	50238	Santa Eulalia de Gállego	3
Octubre 2020	50239	Santed	2
Octubre 2020	50240	Sástago	51
Octubre 2020	50241	Saviñán	28
Octubre 2020	50242	Sediles	2
Octubre 2020	50243	Sestrica	8
Octubre 2020	50244	Sierra de Luna	16
Octubre 2020	50245	Sigüés	4
Octubre 2020	50246	Sisamón	2
Octubre 2020	50247	Sobradiel	43
Octubre 2020	50248	Sos del Rey Católico	36
Octubre 2020	50249	Tabuenca	16
Octubre 2020	50250	Talamantes	4
Octubre 2020	50251	Tarazona	353
Octubre 2020	50252	Tauste	300
Octubre 2020	50253	Terrer	9
Octubre 2020	50254	Tierga	8
Octubre 2020	50255	Tobed	8
Octubre 2020	50256	Torralba de los Frailes	4
Octubre 2020	50257	Torralba de Ribota	5
Octubre 2020	50258	Torralbilla	3
Octubre 2020	50259	Torrehermosa	5
Octubre 2020	50260	Torrelapaja	1
Octubre 2020	50261	Torrellas	7
Octubre 2020	50262	Torres de Berrellén	35
Octubre 2020	50263	Torrijo de la Cañada	5
Octubre 2020	50264	Tosos	9
Octubre 2020	50265	Trasmoz	3
Octubre 2020	50266	Trasobares	3
Octubre 2020	50267	Uncastillo	14
Octubre 2020	50268	Undués de Lerda	2
