Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	Código	Municipio
2020	Mujeres	45-49	1	22199	Sabiñánigo
2020	Mujeres	50-54	1	22199	Sabiñánigo
2020	Hombres	16-19	1	44013	Alcañiz
2020	Hombres	20-24	10	44013	Alcañiz
2020	Hombres	25-29	8	44013	Alcañiz
2020	Hombres	30-34	15	44013	Alcañiz
2020	Hombres	35-39	16	44013	Alcañiz
2020	Hombres	40-44	23	44013	Alcañiz
2020	Hombres	45-49	29	44013	Alcañiz
2020	Hombres	50-54	17	44013	Alcañiz
2020	Hombres	55-59	13	44013	Alcañiz
2020	Hombres	60-64	9	44013	Alcañiz
2020	Hombres	Más de 64	1	44013	Alcañiz
2020	Mujeres	20-24	2	44013	Alcañiz
2020	Mujeres	25-29	2	44013	Alcañiz
2020	Mujeres	30-34	5	44013	Alcañiz
2020	Mujeres	35-39	4	44013	Alcañiz
2020	Mujeres	40-44	4	44013	Alcañiz
2020	Mujeres	45-49	13	44013	Alcañiz
2020	Mujeres	50-54	5	44013	Alcañiz
2020	Mujeres	55-59	9	44013	Alcañiz
2020	Mujeres	60-64	2	44013	Alcañiz
2020	Hombres	20-24	2	44025	Andorra
2020	Hombres	25-29	2	44025	Andorra
2020	Hombres	30-34	4	44025	Andorra
2020	Hombres	35-39	2	44025	Andorra
2020	Hombres	40-44	6	44025	Andorra
2020	Hombres	45-49	1	44025	Andorra
2020	Hombres	50-54	1	44025	Andorra
2020	Hombres	55-59	4	44025	Andorra
2020	Hombres	60-64	2	44025	Andorra
2020	Mujeres	16-19	1	44025	Andorra
2020	Mujeres	20-24	1	44025	Andorra
2020	Mujeres	25-29	1	44025	Andorra
2020	Mujeres	30-34	3	44025	Andorra
2020	Mujeres	35-39	2	44025	Andorra
2020	Mujeres	40-44	5	44025	Andorra
2020	Mujeres	45-49	4	44025	Andorra
2020	Mujeres	50-54	3	44025	Andorra
2020	Mujeres	55-59	1	44025	Andorra
2020	Hombres	16-19	4	44216	Teruel
2020	Hombres	20-24	35	44216	Teruel
2020	Hombres	25-29	45	44216	Teruel
2020	Hombres	30-34	44	44216	Teruel
2020	Hombres	35-39	41	44216	Teruel
2020	Hombres	40-44	50	44216	Teruel
2020	Hombres	45-49	43	44216	Teruel
2020	Hombres	50-54	44	44216	Teruel
2020	Hombres	55-59	41	44216	Teruel
2020	Hombres	60-64	17	44216	Teruel
2020	Hombres	Más de 64	1	44216	Teruel
2020	Mujeres	20-24	5	44216	Teruel
2020	Mujeres	25-29	9	44216	Teruel
2020	Mujeres	30-34	21	44216	Teruel
2020	Mujeres	35-39	13	44216	Teruel
2020	Mujeres	40-44	12	44216	Teruel
2020	Mujeres	45-49	30	44216	Teruel
2020	Mujeres	50-54	29	44216	Teruel
2020	Mujeres	55-59	31	44216	Teruel
2020	Mujeres	60-64	12	44216	Teruel
2020	Hombres	20-24	3	50008	Alagón
2020	Hombres	25-29	6	50008	Alagón
2020	Hombres	30-34	4	50008	Alagón
2020	Hombres	35-39	7	50008	Alagón
2020	Hombres	40-44	8	50008	Alagón
2020	Hombres	45-49	5	50008	Alagón
2020	Hombres	50-54	3	50008	Alagón
2020	Hombres	55-59	3	50008	Alagón
2020	Hombres	60-64	2	50008	Alagón
2020	Mujeres	20-24	1	50008	Alagón
2020	Mujeres	25-29	5	50008	Alagón
2020	Mujeres	35-39	2	50008	Alagón
2020	Mujeres	45-49	3	50008	Alagón
2020	Mujeres	50-54	3	50008	Alagón
2020	Hombres	16-19	1	50025	Almunia de Doña Godina (La)
2020	Hombres	20-24	9	50025	Almunia de Doña Godina (La)
2020	Hombres	25-29	9	50025	Almunia de Doña Godina (La)
2020	Hombres	30-34	7	50025	Almunia de Doña Godina (La)
2020	Hombres	35-39	13	50025	Almunia de Doña Godina (La)
2020	Hombres	40-44	10	50025	Almunia de Doña Godina (La)
2020	Hombres	45-49	10	50025	Almunia de Doña Godina (La)
2020	Hombres	50-54	9	50025	Almunia de Doña Godina (La)
2020	Hombres	55-59	7	50025	Almunia de Doña Godina (La)
2020	Hombres	60-64	2	50025	Almunia de Doña Godina (La)
2020	Mujeres	16-19	1	50025	Almunia de Doña Godina (La)
2020	Mujeres	20-24	2	50025	Almunia de Doña Godina (La)
2020	Mujeres	25-29	7	50025	Almunia de Doña Godina (La)
2020	Mujeres	30-34	4	50025	Almunia de Doña Godina (La)
2020	Mujeres	35-39	6	50025	Almunia de Doña Godina (La)
2020	Mujeres	40-44	6	50025	Almunia de Doña Godina (La)
2020	Mujeres	45-49	7	50025	Almunia de Doña Godina (La)
2020	Mujeres	50-54	7	50025	Almunia de Doña Godina (La)
2020	Mujeres	55-59	2	50025	Almunia de Doña Godina (La)
2020	Hombres	16-19	1	50067	Calatayud
2020	Hombres	20-24	5	50067	Calatayud
2020	Hombres	25-29	12	50067	Calatayud
2020	Hombres	30-34	13	50067	Calatayud
2020	Hombres	35-39	11	50067	Calatayud
2020	Hombres	40-44	18	50067	Calatayud
2020	Hombres	45-49	23	50067	Calatayud
2020	Hombres	50-54	9	50067	Calatayud
2020	Hombres	55-59	11	50067	Calatayud
2020	Hombres	60-64	5	50067	Calatayud
2020	Hombres	Más de 64	1	50067	Calatayud
2020	Mujeres	20-24	5	50067	Calatayud
2020	Mujeres	25-29	5	50067	Calatayud
2020	Mujeres	30-34	8	50067	Calatayud
2020	Mujeres	35-39	10	50067	Calatayud
2020	Mujeres	40-44	10	50067	Calatayud
2020	Mujeres	45-49	13	50067	Calatayud
2020	Mujeres	50-54	12	50067	Calatayud
2020	Mujeres	55-59	7	50067	Calatayud
2020	Mujeres	60-64	3	50067	Calatayud
2020	Mujeres	Más de 64	1	50067	Calatayud
2020	Hombres	20-24	6	50074	Caspe
2020	Hombres	25-29	2	50074	Caspe
2020	Hombres	30-34	6	50074	Caspe
2020	Hombres	35-39	15	50074	Caspe
2020	Hombres	40-44	6	50074	Caspe
2020	Hombres	45-49	13	50074	Caspe
2020	Hombres	50-54	9	50074	Caspe
2020	Hombres	55-59	5	50074	Caspe
2020	Hombres	60-64	2	50074	Caspe
2020	Mujeres	16-19	1	50074	Caspe
2020	Mujeres	20-24	2	50074	Caspe
2020	Mujeres	25-29	3	50074	Caspe
2020	Mujeres	30-34	1	50074	Caspe
2020	Mujeres	35-39	2	50074	Caspe
2020	Mujeres	40-44	2	50074	Caspe
2020	Mujeres	45-49	4	50074	Caspe
2020	Mujeres	50-54	4	50074	Caspe
2020	Mujeres	55-59	4	50074	Caspe
2020	Hombres	20-24	5	50089	Cuarte de Huerva
2020	Hombres	25-29	12	50089	Cuarte de Huerva
2020	Hombres	30-34	17	50089	Cuarte de Huerva
2020	Hombres	35-39	20	50089	Cuarte de Huerva
2020	Hombres	40-44	25	50089	Cuarte de Huerva
2020	Hombres	45-49	26	50089	Cuarte de Huerva
2020	Hombres	50-54	23	50089	Cuarte de Huerva
2020	Hombres	55-59	22	50089	Cuarte de Huerva
2020	Hombres	60-64	6	50089	Cuarte de Huerva
2020	Mujeres	25-29	1	50089	Cuarte de Huerva
2020	Mujeres	30-34	4	50089	Cuarte de Huerva
2020	Mujeres	35-39	3	50089	Cuarte de Huerva
2020	Mujeres	40-44	5	50089	Cuarte de Huerva
2020	Mujeres	45-49	6	50089	Cuarte de Huerva
2020	Mujeres	50-54	1	50089	Cuarte de Huerva
2020	Mujeres	55-59	1	50089	Cuarte de Huerva
2020	Hombres	16-19	7	50095	Ejea de los Caballeros
2020	Hombres	20-24	19	50095	Ejea de los Caballeros
2020	Hombres	25-29	28	50095	Ejea de los Caballeros
2020	Hombres	30-34	38	50095	Ejea de los Caballeros
2020	Hombres	35-39	42	50095	Ejea de los Caballeros
2020	Hombres	40-44	30	50095	Ejea de los Caballeros
2020	Hombres	45-49	18	50095	Ejea de los Caballeros
2020	Hombres	50-54	23	50095	Ejea de los Caballeros
2020	Hombres	55-59	14	50095	Ejea de los Caballeros
2020	Hombres	60-64	10	50095	Ejea de los Caballeros
2020	Hombres	Más de 64	4	50095	Ejea de los Caballeros
2020	Mujeres	16-19	1	50095	Ejea de los Caballeros
2020	Mujeres	20-24	2	50095	Ejea de los Caballeros
2020	Mujeres	25-29	4	50095	Ejea de los Caballeros
2020	Mujeres	30-34	9	50095	Ejea de los Caballeros
2020	Mujeres	35-39	10	50095	Ejea de los Caballeros
2020	Mujeres	40-44	4	50095	Ejea de los Caballeros
2020	Mujeres	45-49	6	50095	Ejea de los Caballeros
2020	Mujeres	50-54	9	50095	Ejea de los Caballeros
2020	Mujeres	55-59	3	50095	Ejea de los Caballeros
2020	Mujeres	60-64	5	50095	Ejea de los Caballeros
2020	Hombres	16-19	1	50163	María de Huerva
2020	Hombres	20-24	3	50163	María de Huerva
2020	Hombres	25-29	2	50163	María de Huerva
2020	Hombres	30-34	1	50163	María de Huerva
2020	Hombres	35-39	2	50163	María de Huerva
2020	Hombres	40-44	9	50163	María de Huerva
2020	Hombres	45-49	6	50163	María de Huerva
2020	Hombres	50-54	3	50163	María de Huerva
2020	Hombres	55-59	3	50163	María de Huerva
2020	Hombres	60-64	1	50163	María de Huerva
2020	Hombres	Más de 64	1	50163	María de Huerva
2020	Mujeres	35-39	1	50163	María de Huerva
2020	Mujeres	40-44	1	50163	María de Huerva
2020	Mujeres	50-54	1	50163	María de Huerva
2020	Mujeres	55-59	1	50163	María de Huerva
2020	Hombres	16-19	1	50182	Muela (La)
2020	Hombres	20-24	11	50182	Muela (La)
2020	Hombres	25-29	17	50182	Muela (La)
2020	Hombres	30-34	21	50182	Muela (La)
2020	Hombres	35-39	22	50182	Muela (La)
2020	Hombres	40-44	43	50182	Muela (La)
2020	Hombres	45-49	16	50182	Muela (La)
2020	Hombres	50-54	17	50182	Muela (La)
2020	Hombres	55-59	13	50182	Muela (La)
2020	Hombres	60-64	6	50182	Muela (La)
2020	Mujeres	16-19	1	50182	Muela (La)
2020	Mujeres	20-24	1	50182	Muela (La)
2020	Mujeres	25-29	6	50182	Muela (La)
2020	Mujeres	30-34	9	50182	Muela (La)
2020	Mujeres	35-39	8	50182	Muela (La)
2020	Mujeres	40-44	5	50182	Muela (La)
2020	Mujeres	45-49	7	50182	Muela (La)
2020	Mujeres	50-54	4	50182	Muela (La)
2020	Mujeres	55-59	2	50182	Muela (La)
2020	Hombres	16-19	1	50219	Puebla de Alfindén (La)
2020	Hombres	20-24	1	50219	Puebla de Alfindén (La)
2020	Hombres	25-29	11	50219	Puebla de Alfindén (La)
2020	Hombres	30-34	15	50219	Puebla de Alfindén (La)
2020	Hombres	35-39	24	50219	Puebla de Alfindén (La)
2020	Hombres	40-44	22	50219	Puebla de Alfindén (La)
2020	Hombres	45-49	32	50219	Puebla de Alfindén (La)
2020	Hombres	50-54	22	50219	Puebla de Alfindén (La)
2020	Hombres	55-59	11	50219	Puebla de Alfindén (La)
2020	Hombres	60-64	5	50219	Puebla de Alfindén (La)
2020	Mujeres	25-29	1	50219	Puebla de Alfindén (La)
2020	Mujeres	35-39	2	50219	Puebla de Alfindén (La)
2020	Mujeres	40-44	4	50219	Puebla de Alfindén (La)
2020	Mujeres	55-59	2	50219	Puebla de Alfindén (La)
2020	Mujeres	60-64	2	50219	Puebla de Alfindén (La)
2020	Hombres	20-24	5	50251	Tarazona
2020	Hombres	25-29	13	50251	Tarazona
2020	Hombres	30-34	6	50251	Tarazona
2020	Hombres	35-39	7	50251	Tarazona
2020	Hombres	40-44	12	50251	Tarazona
2020	Hombres	45-49	11	50251	Tarazona
2020	Hombres	50-54	9	50251	Tarazona
2020	Hombres	55-59	7	50251	Tarazona
2020	Hombres	60-64	3	50251	Tarazona
2020	Mujeres	20-24	2	50251	Tarazona
2020	Mujeres	25-29	2	50251	Tarazona
2020	Mujeres	35-39	2	50251	Tarazona
2020	Mujeres	40-44	4	50251	Tarazona
2020	Mujeres	45-49	6	50251	Tarazona
2020	Mujeres	50-54	2	50251	Tarazona
2020	Mujeres	55-59	1	50251	Tarazona
2020	Mujeres	60-64	1	50251	Tarazona
2020	Hombres	16-19	3	50252	Tauste
2020	Hombres	20-24	6	50252	Tauste
2020	Hombres	25-29	8	50252	Tauste
2020	Hombres	30-34	14	50252	Tauste
2020	Hombres	35-39	7	50252	Tauste
2020	Hombres	40-44	18	50252	Tauste
2020	Hombres	45-49	24	50252	Tauste
2020	Hombres	50-54	18	50252	Tauste
2020	Hombres	55-59	13	50252	Tauste
2020	Hombres	60-64	9	50252	Tauste
2020	Hombres	Más de 64	1	50252	Tauste
2020	Mujeres	20-24	1	50252	Tauste
2020	Mujeres	25-29	2	50252	Tauste
2020	Mujeres	30-34	5	50252	Tauste
2020	Mujeres	35-39	2	50252	Tauste
2020	Mujeres	40-44	6	50252	Tauste
2020	Mujeres	45-49	1	50252	Tauste
2020	Mujeres	50-54	6	50252	Tauste
2020	Mujeres	55-59	3	50252	Tauste
2020	Mujeres	60-64	3	50252	Tauste
2020	Hombres	16-19	6	50272	Utebo
2020	Hombres	20-24	13	50272	Utebo
2020	Hombres	25-29	15	50272	Utebo
2020	Hombres	30-34	21	50272	Utebo
2020	Hombres	35-39	18	50272	Utebo
2020	Hombres	40-44	33	50272	Utebo
2020	Hombres	45-49	32	50272	Utebo
2020	Hombres	50-54	17	50272	Utebo
2020	Hombres	55-59	11	50272	Utebo
2020	Hombres	60-64	6	50272	Utebo
2020	Mujeres	16-19	2	50272	Utebo
2020	Mujeres	20-24	5	50272	Utebo
2020	Mujeres	25-29	1	50272	Utebo
2020	Mujeres	30-34	3	50272	Utebo
2020	Mujeres	35-39	5	50272	Utebo
2020	Mujeres	40-44	5	50272	Utebo
2020	Mujeres	45-49	4	50272	Utebo
2020	Mujeres	50-54	5	50272	Utebo
2020	Mujeres	55-59	8	50272	Utebo
2020	Mujeres	60-64	2	50272	Utebo
2020	Hombres	16-19	26	50297	Zaragoza
2020	Hombres	20-24	198	50297	Zaragoza
2020	Hombres	25-29	329	50297	Zaragoza
2020	Hombres	30-34	411	50297	Zaragoza
2020	Hombres	35-39	513	50297	Zaragoza
2020	Hombres	40-44	622	50297	Zaragoza
2020	Hombres	45-49	571	50297	Zaragoza
2020	Hombres	50-54	477	50297	Zaragoza
2020	Hombres	55-59	355	50297	Zaragoza
2020	Hombres	60-64	177	50297	Zaragoza
2020	Hombres	Más de 64	20	50297	Zaragoza
2020	Mujeres	16-19	11	50297	Zaragoza
2020	Mujeres	20-24	163	50297	Zaragoza
2020	Mujeres	25-29	289	50297	Zaragoza
2020	Mujeres	30-34	283	50297	Zaragoza
2020	Mujeres	35-39	246	50297	Zaragoza
2020	Mujeres	40-44	319	50297	Zaragoza
2020	Mujeres	45-49	361	50297	Zaragoza
2020	Mujeres	50-54	373	50297	Zaragoza
2020	Mujeres	55-59	305	50297	Zaragoza
2020	Mujeres	60-64	211	50297	Zaragoza
2020	Mujeres	Más de 64	11	50297	Zaragoza
2020	Hombres	16-19	3	50298	Zuera
2020	Hombres	20-24	29	50298	Zuera
2020	Hombres	25-29	19	50298	Zuera
2020	Hombres	30-34	42	50298	Zuera
2020	Hombres	35-39	30	50298	Zuera
2020	Hombres	40-44	44	50298	Zuera
2020	Hombres	45-49	33	50298	Zuera
2020	Hombres	50-54	21	50298	Zuera
2020	Hombres	55-59	13	50298	Zuera
2020	Hombres	60-64	7	50298	Zuera
2020	Hombres	Más de 64	1	50298	Zuera
2020	Mujeres	16-19	3	50298	Zuera
2020	Mujeres	20-24	3	50298	Zuera
2020	Mujeres	25-29	6	50298	Zuera
2020	Mujeres	30-34	2	50298	Zuera
2020	Mujeres	35-39	10	50298	Zuera
2020	Mujeres	40-44	8	50298	Zuera
2020	Mujeres	45-49	5	50298	Zuera
2020	Mujeres	50-54	12	50298	Zuera
2020	Mujeres	55-59	1	50298	Zuera
2020	Mujeres	60-64	2	50298	Zuera
2019	Hombres	16-19	3	22048	Barbastro
2019	Hombres	20-24	14	22048	Barbastro
2019	Hombres	25-29	23	22048	Barbastro
2019	Hombres	30-34	18	22048	Barbastro
2019	Hombres	35-39	19	22048	Barbastro
2019	Hombres	40-44	11	22048	Barbastro
2019	Hombres	45-49	13	22048	Barbastro
2019	Hombres	50-54	11	22048	Barbastro
2019	Hombres	55-59	14	22048	Barbastro
2019	Hombres	60-64	8	22048	Barbastro
2019	Hombres	Más de 64	2	22048	Barbastro
2019	Mujeres	20-24	2	22048	Barbastro
2019	Mujeres	25-29	6	22048	Barbastro
2019	Mujeres	30-34	3	22048	Barbastro
2019	Mujeres	35-39	5	22048	Barbastro
2019	Mujeres	40-44	6	22048	Barbastro
2019	Mujeres	45-49	7	22048	Barbastro
2019	Mujeres	50-54	4	22048	Barbastro
2019	Mujeres	55-59	10	22048	Barbastro
2019	Mujeres	60-64	5	22048	Barbastro
2019	Mujeres	Más de 64	2	22048	Barbastro
2019	Hombres	16-19	7	22061	Binéfar
2019	Hombres	20-24	17	22061	Binéfar
2019	Hombres	25-29	16	22061	Binéfar
2019	Hombres	30-34	32	22061	Binéfar
2019	Hombres	35-39	36	22061	Binéfar
2019	Hombres	40-44	44	22061	Binéfar
2019	Hombres	45-49	27	22061	Binéfar
2019	Hombres	50-54	31	22061	Binéfar
2019	Hombres	55-59	22	22061	Binéfar
2019	Hombres	60-64	5	22061	Binéfar
2019	Hombres	Más de 64	1	22061	Binéfar
2019	Mujeres	16-19	1	22061	Binéfar
2019	Mujeres	20-24	5	22061	Binéfar
2019	Mujeres	25-29	3	22061	Binéfar
2019	Mujeres	30-34	8	22061	Binéfar
2019	Mujeres	35-39	10	22061	Binéfar
2019	Mujeres	40-44	8	22061	Binéfar
2019	Mujeres	45-49	13	22061	Binéfar
2019	Mujeres	50-54	7	22061	Binéfar
2019	Mujeres	55-59	3	22061	Binéfar
2019	Hombres	16-19	8	22112	Fraga
2019	Hombres	20-24	16	22112	Fraga
2019	Hombres	25-29	26	22112	Fraga
2019	Hombres	30-34	23	22112	Fraga
2019	Hombres	35-39	25	22112	Fraga
2019	Hombres	40-44	46	22112	Fraga
2019	Hombres	45-49	30	22112	Fraga
2019	Hombres	50-54	23	22112	Fraga
2019	Hombres	55-59	22	22112	Fraga
2019	Hombres	60-64	9	22112	Fraga
2019	Hombres	Más de 64	2	22112	Fraga
2019	Mujeres	16-19	1	22112	Fraga
2019	Mujeres	20-24	2	22112	Fraga
2019	Mujeres	25-29	10	22112	Fraga
2019	Mujeres	30-34	8	22112	Fraga
2019	Mujeres	35-39	10	22112	Fraga
2019	Mujeres	40-44	8	22112	Fraga
2019	Mujeres	45-49	10	22112	Fraga
2019	Mujeres	50-54	9	22112	Fraga
2019	Mujeres	55-59	6	22112	Fraga
2019	Mujeres	60-64	2	22112	Fraga
2019	Hombres	16-19	8	22125	Huesca
2019	Hombres	20-24	49	22125	Huesca
2019	Hombres	25-29	75	22125	Huesca
2019	Hombres	30-34	58	22125	Huesca
2019	Hombres	35-39	85	22125	Huesca
2019	Hombres	40-44	79	22125	Huesca
2019	Hombres	45-49	91	22125	Huesca
2019	Hombres	50-54	70	22125	Huesca
2019	Hombres	55-59	43	22125	Huesca
2019	Hombres	60-64	20	22125	Huesca
2019	Hombres	Más de 64	2	22125	Huesca
2019	Mujeres	16-19	3	22125	Huesca
2019	Mujeres	20-24	14	22125	Huesca
2019	Mujeres	25-29	10	22125	Huesca
2019	Mujeres	30-34	11	22125	Huesca
2019	Mujeres	35-39	34	22125	Huesca
2019	Mujeres	40-44	23	22125	Huesca
2019	Mujeres	45-49	31	22125	Huesca
2019	Mujeres	50-54	34	22125	Huesca
2019	Mujeres	55-59	30	22125	Huesca
2019	Mujeres	60-64	13	22125	Huesca
2019	Mujeres	Más de 64	2	22125	Huesca
2019	Hombres	16-19	1	22130	Jaca
2019	Hombres	20-24	4	22130	Jaca
2019	Hombres	25-29	5	22130	Jaca
2019	Hombres	30-34	6	22130	Jaca
2019	Hombres	35-39	11	22130	Jaca
2019	Hombres	40-44	18	22130	Jaca
2019	Hombres	45-49	9	22130	Jaca
2019	Hombres	50-54	9	22130	Jaca
2019	Hombres	55-59	13	22130	Jaca
2019	Hombres	60-64	7	22130	Jaca
2019	Mujeres	16-19	1	22130	Jaca
2019	Mujeres	20-24	6	22130	Jaca
2019	Mujeres	25-29	7	22130	Jaca
2019	Mujeres	30-34	6	22130	Jaca
2019	Mujeres	35-39	8	22130	Jaca
2019	Mujeres	40-44	7	22130	Jaca
2019	Mujeres	45-49	8	22130	Jaca
2019	Mujeres	50-54	9	22130	Jaca
2019	Mujeres	55-59	4	22130	Jaca
2019	Mujeres	60-64	2	22130	Jaca
2019	Hombres	16-19	6	22158	Monzón
2019	Hombres	20-24	22	22158	Monzón
2019	Hombres	25-29	32	22158	Monzón
2019	Hombres	30-34	30	22158	Monzón
2019	Hombres	35-39	47	22158	Monzón
2019	Hombres	40-44	55	22158	Monzón
2019	Hombres	45-49	36	22158	Monzón
2019	Hombres	50-54	29	22158	Monzón
2019	Hombres	55-59	18	22158	Monzón
2019	Hombres	60-64	9	22158	Monzón
2019	Mujeres	16-19	1	22158	Monzón
2019	Mujeres	20-24	4	22158	Monzón
2019	Mujeres	25-29	1	22158	Monzón
2019	Mujeres	30-34	6	22158	Monzón
2019	Mujeres	35-39	12	22158	Monzón
2019	Mujeres	40-44	9	22158	Monzón
2019	Mujeres	45-49	8	22158	Monzón
2019	Mujeres	50-54	15	22158	Monzón
2019	Mujeres	55-59	2	22158	Monzón
2019	Mujeres	60-64	4	22158	Monzón
