Comarca código	Comarca nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
17	D.C. Zaragoza	Sin estudios	44898	Sin estudios
17	D.C. Zaragoza	Primer grado	115556	Primer grado
17	D.C. Zaragoza	Segundo grado	68735	Bachillerato Superior
17	D.C. Zaragoza	Segundo grado	32835	FP Grado Medio
17	D.C. Zaragoza	Segundo grado	156188	ESO, EGB, Bachillerato Ele.
17	D.C. Zaragoza	Segundo grado	35188	FP Grado Superior
17	D.C. Zaragoza	Tercer grado	50155	Diplomatura
17	D.C. Zaragoza	Tercer grado	4754	Doctorado
17	D.C. Zaragoza	Tercer grado	44763	Licenciatura
18	Ribera Baja del Ebro	Analfabetos	122	No sabe leer o escribir
18	Ribera Baja del Ebro	Sin estudios	924	Sin estudios
18	Ribera Baja del Ebro	Primer grado	2816	Primer grado
18	Ribera Baja del Ebro	Segundo grado	420	FP Grado Medio
18	Ribera Baja del Ebro	Segundo grado	601	Bachillerato Superior
18	Ribera Baja del Ebro	Segundo grado	2498	ESO, EGB, Bachillerato Ele.
18	Ribera Baja del Ebro	Segundo grado	242	FP Grado Superior
18	Ribera Baja del Ebro	Tercer grado	307	Diplomatura
18	Ribera Baja del Ebro	Tercer grado	4	Doctorado
18	Ribera Baja del Ebro	Tercer grado	180	Licenciatura
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Analfabetos	209	No sabe leer o escribir
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Sin estudios	2165	Sin estudios
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Primer grado	3289	Primer grado
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	734	Bachillerato Superior
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	3257	ESO, EGB, Bachillerato Ele.
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	412	FP Grado Superior
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Segundo grado	542	FP Grado Medio
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Tercer grado	244	Licenciatura
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Tercer grado	14	Doctorado
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Tercer grado	410	Diplomatura
20	Comunidad de Calatayud	Analfabetos	583	No sabe leer o escribir
20	Comunidad de Calatayud	Sin estudios	4486	Sin estudios
20	Comunidad de Calatayud	Primer grado	11529	Primer grado
20	Comunidad de Calatayud	Segundo grado	1633	FP Grado Medio
20	Comunidad de Calatayud	Segundo grado	1510	FP Grado Superior
20	Comunidad de Calatayud	Segundo grado	2618	Bachillerato Superior
20	Comunidad de Calatayud	Segundo grado	9044	ESO, EGB, Bachillerato Ele.
20	Comunidad de Calatayud	Tercer grado	86	Doctorado
20	Comunidad de Calatayud	Tercer grado	1051	Licenciatura
20	Comunidad de Calatayud	Tercer grado	1664	Diplomatura
