Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar y titulares explotación	Personas que son mano de obra familiar y cónyuges	Personas que son mano de obra familiar distinta a las anteriores (otros)	Personas mano obra familiar son titulares <35 años	Personas mano obra familiar son titulares de 35 a 54 años	Personas mano obra familiar son titulares de 55 a 64 años	Personas mano obra familiar son titulares de más de 65 años	Personas mano obra familiar cónyuge <35 años	Personas mano obra familiar cónyuge de 35 a 54 años	Personas mano obra familiar cónyuge de 55 a 64 años	Personas mano obra familiar cónyuge de más de 65 años	Personas mano obra familiar otros (otra relación) con <35 años	Personas mano obra familiar otros de 35 a 54 años	Personas mano obra familiar otros de 55 a 64 años	Personas mano obra familiar otros de más de 65 años
1989	22103	Estadilla	259	166	33	60	13	75	58	20	2	24	5	2	31	9	6	14
1989	22105	Estopiñán del Castillo	114	101	6	7	10	33	29	29	1	1	2	2	3	2	2	0
1989	22106	Fago	11	8	2	1	0	3	3	2	0	1	1	0	1	0	0	0
1989	22107	Fanlo	23	13	3	7	3	4	3	3	1	0	2	0	1	2	0	4
1989	22109	Fiscal	91	82	3	6	9	24	24	25	0	2	0	1	1	2	0	3
1989	22110	Fonz	258	220	8	30	28	78	66	48	0	8	0	0	19	5	5	1
1989	22111	Foradada del Toscar	99	55	20	24	6	25	13	11	3	15	2	0	12	2	6	4
1989	22112	Fraga	2110	1153	494	463	134	509	340	170	65	295	101	33	310	77	42	34
1989	22113	Fueva (La)	314	226	50	38	31	72	57	66	13	31	6	0	19	6	7	6
1989	22114	Gistaín	105	66	23	16	3	17	24	22	1	13	7	2	8	6	1	1
1989	22115	Grado (El)	257	214	15	28	13	57	67	77	2	7	4	2	20	4	3	1
1989	22116	Grañén	333	253	29	51	54	95	76	28	5	11	11	2	33	8	8	2
1989	22117	Graus	622	451	93	78	40	129	130	152	11	52	22	8	42	11	9	16
1989	22119	Gurrea de Gállego	368	290	18	60	47	146	78	19	2	13	3	0	39	9	8	4
1989	22122	Hoz de Jaca	28	18	6	4	2	5	5	6	1	0	2	3	0	1	2	1
1989	22124	Huerto	110	86	10	14	9	38	24	15	2	6	2	0	11	2	1	0
1989	22125	Huesca	283	215	4	64	20	74	74	47	0	4	0	0	23	18	12	11
1989	22126	Ibieca	41	31	0	10	4	8	6	13	0	0	0	0	3	3	3	1
1989	22127	Igriés	35	25	0	10	3	10	8	4	0	0	0	0	4	1	4	1
1989	22128	Ilche	99	81	9	9	11	31	27	12	4	4	1	0	3	2	2	2
