Año	Código de la comarca	Comarca	Total máquinas	Tractores	Motocultores	Cosechadoras	Otras máquinas	Explotaciones que usan maquinaria propia	Explotaciones con máquina en propiedad: tractor	Explotaciones con máquina en propiedad: motocultor	Explotaciones con máquina en propiedad: cosechadora	Explotaciones con máquina en propiedad: otra máquina	Explotaciones que usan maquinaria no en propiedad exclusiva	Explotaciones que usan maquinaria no en propiedad exclusiva: tractor	Explotaciones que usan maquinaria no en propiedad exclusiva: motocultor	Explotaciones que usan maquinaria no en propiedad exclusiva: cosechadora	Explotaciones que usan maquinaria no en propiedad exclusiva: otra máquina
1999	07	Somontano de Barbastro	2916	1757	995	136	28	1700	1353	946	150		1711	946	123	1070	
1999	08	Cinca Medio	2157	1446	659	37	15	1411	1157	625	48		1630	909	250	1308	
1999	09	La Litera / La Llitera	2830	2056	650	104	20	1771	1571	619	114		1852	1104	46	1473	
1999	10	Los Monegros	3973	3003	620	297	53	2473	2264	603	318		2942	1687	94	2547	
1999	11	Bajo Cinca / Baix Cinca	4166	2831	1292	27	16	2429	2096	985	35		1251	578	91	822	
1999	12	Tarazona y el Moncayo	1210	661	506	37	6	939	568	497	42		1160	840	82	546	
1999	13	Campo de Borja	2430	1473	864	67	26	1540	1209	803	81	0	1908	1369	138	847	0
1999	14	Aranda	566	463	97	4	2	480	420	94	6		548	511	22	36	
1999	15	Ribera Alta del Ebro	1912	1240	581	70	21	1274	987	572	72		1926	1223	91	1648	
1999	16	Valdejalón	2421	2059	294	59	9	1896	1713	281	62		2395	1968	52	661	
1999	17	D.C. Zaragoza	3892	2498	1131	197	66	2542	2025	1049	238		3009	1523	289	2449	
1999	18	Ribera Baja del Ebro	1041	695	256	75	15	692	581	249	83		1212	775	253	1007	
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2166	1254	783	30	99	1402	1069	753	123		702	467	78	296	
1999	20	Comunidad de Calatayud	4269	2931	1149	174	15	2821	2489	674	177		2543	2042	118	638	
1999	21	Campo de Cariñena	1573	1181	296	82	14	1058	945	254	84		2066	1798	90	493	
1999	22	Campo de Belchite	1294	950	220	113	11	886	777	217	118		877	467	37	584	
1999	23	Bajo Martín	1053	586	399	64	4	749	489	387	67		978	717	57	394	
1999	24	Campo de Daroca	1224	981	70	169	4	784	751	68	171		1198	823	13	786	
1999	25	Jiloca	2592	1748	546	271	27	1537	1469	222	290		2129	1090	229	1716	
1999	26	Cuencas Mineras	785	547	136	77	25	519	471	118	88		589	269	69	459	
1999	27	Andorra-Sierra de Arcos	938	565	312	50	11	644	507	302	58		820	659	24	228	
1999	28	Bajo Aragón	3146	1794	1237	55	60	2029	1504	1164	108		1688	1198	116	658	
1999	29	Comunidad de Teruel	2466	1921	199	274	72	1683	1621	181	326		2158	974	87	1945	
1999	30	Maestrazgo	489	351	102	31	5	353	309	101	33		475	341	47	293	
1999	31	Sierra de Albarracín	343	293	25	21	4	255	244	24	24		383	175	18	314	
1999	32	Gúdar-Javalambre	642	467	83	36	56	467	414	80	73		607	388	52	395	
1999	33	Matarraña / Matarranya	2075	1514	539	13	9	1423	1286	511	22		1101	783	51	442	
