Comarca código	Comarca nombre	Número habitaciones	Número habitaciones
13	Campo de Borja	09	107
13	Campo de Borja	10 o más	185
14	Aranda	02	11
14	Aranda	03	83
14	Aranda	04	369
14	Aranda	05	976
14	Aranda	06	915
14	Aranda	07	271
14	Aranda	08	125
14	Aranda	09	45
14	Aranda	10 o más	101
15	Ribera Alta del Ebro	01	6
15	Ribera Alta del Ebro	02	37
15	Ribera Alta del Ebro	03	159
15	Ribera Alta del Ebro	04	951
15	Ribera Alta del Ebro	05	2896
15	Ribera Alta del Ebro	06	2200
15	Ribera Alta del Ebro	07	897
15	Ribera Alta del Ebro	08	469
15	Ribera Alta del Ebro	09	231
15	Ribera Alta del Ebro	10 o más	219
16	Valdejalón	01	21
16	Valdejalón	02	69
16	Valdejalón	03	363
16	Valdejalón	04	1047
16	Valdejalón	05	2715
16	Valdejalón	06	2215
16	Valdejalón	07	1005
16	Valdejalón	08	458
16	Valdejalón	09	207
16	Valdejalón	10 o más	270
17	D.C. Zaragoza	01	377
17	D.C. Zaragoza	02	2527
17	D.C. Zaragoza	03	12828
17	D.C. Zaragoza	04	55299
17	D.C. Zaragoza	05	107770
17	D.C. Zaragoza	06	46465
17	D.C. Zaragoza	07	9632
17	D.C. Zaragoza	08	3772
17	D.C. Zaragoza	09	1401
17	D.C. Zaragoza	10 o más	1264
18	Ribera Baja del Ebro	01	2
18	Ribera Baja del Ebro	02	8
18	Ribera Baja del Ebro	03	96
18	Ribera Baja del Ebro	04	463
18	Ribera Baja del Ebro	05	1397
18	Ribera Baja del Ebro	06	1098
18	Ribera Baja del Ebro	07	353
18	Ribera Baja del Ebro	08	151
18	Ribera Baja del Ebro	09	73
18	Ribera Baja del Ebro	10 o más	76
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	03	208
19	Bajo Aragón-Caspe / Baix Aragó-Casp	04	715
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05	1600
19	Bajo Aragón-Caspe / Baix Aragó-Casp	06	1451
19	Bajo Aragón-Caspe / Baix Aragó-Casp	07	393
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08	221
19	Bajo Aragón-Caspe / Baix Aragó-Casp	09	72
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 o más	141
20	Comunidad de Calatayud	01	20
20	Comunidad de Calatayud	02	107
20	Comunidad de Calatayud	03	631
20	Comunidad de Calatayud	04	2269
20	Comunidad de Calatayud	05	5391
20	Comunidad de Calatayud	06	4079
20	Comunidad de Calatayud	07	1422
20	Comunidad de Calatayud	08	703
20	Comunidad de Calatayud	09	278
20	Comunidad de Calatayud	10 o más	360
21	Campo de Cariñena	01	9
21	Campo de Cariñena	02	29
21	Campo de Cariñena	03	145
21	Campo de Cariñena	04	466
21	Campo de Cariñena	05	1366
21	Campo de Cariñena	06	971
21	Campo de Cariñena	07	413
21	Campo de Cariñena	08	212
21	Campo de Cariñena	09	79
21	Campo de Cariñena	10 o más	86
22	Campo de Belchite	01	1
22	Campo de Belchite	02	13
22	Campo de Belchite	03	89
22	Campo de Belchite	04	267
22	Campo de Belchite	05	561
22	Campo de Belchite	06	666
22	Campo de Belchite	07	347
22	Campo de Belchite	08	229
22	Campo de Belchite	09	77
22	Campo de Belchite	10 o más	98
23	Bajo Martín	01	5
23	Bajo Martín	02	18
23	Bajo Martín	03	86
23	Bajo Martín	04	331
23	Bajo Martín	05	924
23	Bajo Martín	06	812
23	Bajo Martín	07	376
23	Bajo Martín	08	167
23	Bajo Martín	09	74
23	Bajo Martín	10 o más	111
24	Campo de Daroca	01	3
24	Campo de Daroca	02	18
24	Campo de Daroca	03	63
24	Campo de Daroca	04	255
24	Campo de Daroca	05	806
24	Campo de Daroca	06	753
24	Campo de Daroca	07	386
24	Campo de Daroca	08	186
24	Campo de Daroca	09	84
24	Campo de Daroca	10 o más	109
25	Jiloca	01	3
25	Jiloca	02	20
25	Jiloca	03	74
25	Jiloca	04	415
25	Jiloca	05	1522
25	Jiloca	06	1774
25	Jiloca	07	887
25	Jiloca	08	437
25	Jiloca	09	185
25	Jiloca	10 o más	238
26	Cuencas Mineras	01	4
26	Cuencas Mineras	02	10
26	Cuencas Mineras	03	135
26	Cuencas Mineras	04	446
26	Cuencas Mineras	05	1232
26	Cuencas Mineras	06	1134
26	Cuencas Mineras	07	305
26	Cuencas Mineras	08	158
26	Cuencas Mineras	09	67
26	Cuencas Mineras	10 o más	94
27	Andorra-Sierra de Arcos	01	1
27	Andorra-Sierra de Arcos	02	23
27	Andorra-Sierra de Arcos	03	93
27	Andorra-Sierra de Arcos	04	383
27	Andorra-Sierra de Arcos	05	1528
27	Andorra-Sierra de Arcos	06	1177
27	Andorra-Sierra de Arcos	07	448
27	Andorra-Sierra de Arcos	08	179
27	Andorra-Sierra de Arcos	09	62
27	Andorra-Sierra de Arcos	10 o más	59
28	Bajo Aragón	01	7
28	Bajo Aragón	02	54
28	Bajo Aragón	03	280
28	Bajo Aragón	04	1060
28	Bajo Aragón	05	3473
28	Bajo Aragón	06	3083
28	Bajo Aragón	07	858
28	Bajo Aragón	08	392
28	Bajo Aragón	09	142
28	Bajo Aragón	10 o más	164
29	Comunidad de Teruel	01	15
29	Comunidad de Teruel	02	91
29	Comunidad de Teruel	03	398
29	Comunidad de Teruel	04	1567
29	Comunidad de Teruel	05	5461
29	Comunidad de Teruel	06	5681
29	Comunidad de Teruel	07	1351
29	Comunidad de Teruel	08	529
29	Comunidad de Teruel	09	203
29	Comunidad de Teruel	10 o más	201
30	Maestrazgo	01	3
30	Maestrazgo	02	14
30	Maestrazgo	03	84
30	Maestrazgo	04	217
30	Maestrazgo	05	391
30	Maestrazgo	06	388
30	Maestrazgo	07	176
30	Maestrazgo	08	105
30	Maestrazgo	09	57
30	Maestrazgo	10 o más	68
31	Sierra de Albarracín	02	17
31	Sierra de Albarracín	03	86
31	Sierra de Albarracín	04	287
31	Sierra de Albarracín	05	721
31	Sierra de Albarracín	06	534
31	Sierra de Albarracín	07	198
31	Sierra de Albarracín	08	94
31	Sierra de Albarracín	09	40
31	Sierra de Albarracín	10 o más	41
32	Gúdar-Javalambre	01	6
32	Gúdar-Javalambre	02	61
32	Gúdar-Javalambre	03	285
32	Gúdar-Javalambre	04	642
32	Gúdar-Javalambre	05	922
32	Gúdar-Javalambre	06	741
32	Gúdar-Javalambre	07	262
32	Gúdar-Javalambre	08	151
32	Gúdar-Javalambre	09	58
32	Gúdar-Javalambre	10 o más	79
33	Matarraña / Matarranya	01	8
33	Matarraña / Matarranya	02	65
33	Matarraña / Matarranya	03	235
33	Matarraña / Matarranya	04	569
33	Matarraña / Matarranya	05	987
33	Matarraña / Matarranya	06	866
33	Matarraña / Matarranya	07	337
33	Matarraña / Matarranya	08	138
33	Matarraña / Matarranya	09	60
33	Matarraña / Matarranya	10 o más	70
