Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
06	Hoya de Huesca / Plana de Uesca	2014	Regadío	21246	15152	3004	7917	41	0			36	4096	9		0	0	49			615	1	0	2	0	550	32	0		0	4	26	0		0	0		207		6			0	83			0	0	0	118	0	0	5169			214	237	4235		20	198		35	3		209		18	103	0		0	0	0	0	0	0	0		0	0	0	0		0	12	0		0	0	0	0	0	0				0	0	52		0	39			0
06	Hoya de Huesca / Plana de Uesca	2014	Secano	84878	75199	18524	55701	313	45			0	0	0		0	1	615			4671	0	0	0	10	4005	525	0		0	76	55	0		0	0		1584		0			0	33			0	0	0	1551	0	6	3418			142	34	979		258	978		0	21		924		82	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
07	Somontano de Barbastro	2014	Regadío	13365	9935	920	4363	9	0			56	4583	4		0	0	0			253	0	0	10	0	144	20	0		0	0	79	0		0	0		57		0			0	18			0	0	0	39	0	0	2919			243	146	2366		8	36		2	2		108		8	201	0		0	0	0	0	0	0	0		0	0	0	0		0	14	0		0	0	10	52	0	0				0	0	60		0	65			0
07	Somontano de Barbastro	2014	Secano	23098	20252	3195	16644	172	0			0	0	6		0	0	235			1233	0	0	0	0	994	62	0		0	0	177	0		0	0		106		0			0	21			0	0	0	85	0	0	1505			97	10	343		125	203		25	14		633		55	2	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	2			0
08	Cinca Medio	2014	Regadío	27625	18236	2268	7574	112	9			2224	5811	140		0	0	98			596	0	0	0	0	501	27	0		0	0	68	0		0	0		185		0			0	81			0	0	0	104	0	0	8247			1393	595	5740		9	106		0	7		364		33	361	0		0	0	0	0	0	0	0		0	0	0	0		0	4	0		0	0	0	19	0	0				0	0	269		0	69			0
08	Cinca Medio	2014	Secano	3476	3132	158	2777	41	132			0	0	0		0	0	24			97	0	0	0	0	65	20	0		0	0	12	0		0	0		0		0			0	0			0	0	0	0	0	0	247			11	13	88		4	47		0	0		78		6	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
09	La Litera / La Llitera	2014	Regadío	22473	15889	3126	5683	34	0			0	6921	31		0	0	94			269	0	0	0	0	136	0	0		0	0	133	0		0	0		136		0			0	43			0	0	0	93	0	0	5982			496	147	5129		0	77		0	2		121		10	197	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	10	0	0				0	0	140		0	47			0
09	La Litera / La Llitera	2014	Secano	12570	12068	495	11445	57	13			0	0	0		0	0	58			89	0	0	0	0	37	32	0		0	0	20	0		0	0		10		0			0	0			0	0	0	10	0	0	403			3	3	108		13	124		0	2		138		12	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
10	Los Monegros	2014	Regadío	69850	48472	3176	23394	53	17			1638	19383	384		3	211	213			1006	2	0	0	0	957	17	0		0	3	27	0		0	0		320		0			0	142			0	0	1	177	0	0	17134			2338	2152	11506		1	258		28	15		767		69	2918	0		1	0	0	0	42	0	0		0	0	0	0		0	7	0		0	0	10	256	0	0				0	56	2171		0	375			0
10	Los Monegros	2014	Secano	67435	56762	13987	40179	242	111			0	3	0		0	12	2228			9084	0	0	24	12	2924	2395	0		0	3639	90	0		0	0		56		0			0	8			4	0	0	44	0	0	1528			145	98	772		0	204		5	33		224		47	5	0		2	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	3			0
11	Bajo Cinca / Baix Cinca	2014	Regadío	14786	11068	1372	3648	87	0			84	5753	32		0	6	86			185	0	0	0	0	173	0	0		0	0	12	0		0	0		86		0			0	85			0	0	0	0	1	0	3237			285	191	2664		0	1		0	1		87		8	210	0		0	0	0	0	0	0	0		0	0	0	0		0	1	0		0	0	0	7	0	0				0	0	160		0	42			0
11	Bajo Cinca / Baix Cinca	2014	Secano	17252	14537	941	13062	99	32			0	0	4		0	13	386			2460	0	0	0	0	694	961	0		0	362	443	0		0	0		16		0			0	16			0	0	0	0	0	0	239			3	32	9		0	61		0	2		122		10	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
12	Tarazona y el Moncayo	2014	Regadío	3075	2767	797	1553	2	0			0	415	0		0	0	0			17	0	0	0	0	16	1	0		0	0	0	0		0	0		6		0			0	6			0	0	0	0	0	0	221			8	9	25		2	0		0	59		59		59	64	0		12	0	0	0	0	0	1		0	0	0	0		0	0	2		2	0	1	2	0	0				0	0	0		0	44			0
12	Tarazona y el Moncayo	2014	Secano	4202	3652	1841	1805	1	0			0	1	0		0	0	4			198	0	0	0	0	133	18	0		0	47	0	0		0	0		17		0			0	17			0	0	0	0	0	0	334			0	0	33		1	0		0	100		100		100	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	1			0
13	Campo de Borja	2014	Regadío	5266	3517	1325	1135	10	0			0	1045	2		0	0	0			84	0	73	0	0	5	5	0		0	1	0	0		0	0		101		0			0	101			0	0	0	0	0	0	1429			44	90	1048		0	15		82	50		50		50	135	50		7	0	3	0	0	0	0		0	0	1	0		0	1	4		1	0	0	2	0	0				0	0	0		0	66			0
13	Campo de Borja	2014	Secano	9252	7244	3533	3667	44	0			0	0	0		0	0	0			1195	0	0	0	0	24	270	0		0	844	57	0		0	0		0		0			0	0			0	0	0	0	0	0	812			0	85	9		0	64		0	218		218		218	1	0		1	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	1	0			0
14	Aranda	2014	Regadío	93	56	30	25	0	0			0	1	0		0	0	0			0	0	0	0	0	0	0	0		0	0	0	0		0	0		0		0			0	0			0	0	0	0	0	0	36			6	1	11		0	0		0	6		6		6	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	1			0
14	Aranda	2014	Secano	2374	2041	521	1501	7	0			0	0	0		0	0	12			252	0	0	0	1	55	0	0		0	141	55	0		0	0		4		0			0	4			0	0	0	0	0	0	77			0	4	0		7	0		0	22		22		22	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
15	Ribera Alta del Ebro	2014	Regadío	13945	7150	2948	1034	2	0			0	3145	0		0	0	21			188	0	101	0	0	69	11	0		0	1	6	0		0	0		0		0			0	0			0	0	0	0	0	3	6274			430	219	5209		10	65		29	104		104		104	330	0		1	0	3	0	0	0	0		0	0	0	0		0	79	4		1	0	0	72	5	13				0	0	0		0	152			0
15	Ribera Alta del Ebro	2014	Secano	6347	5341	3289	1903	17	0			0	7	0		0	0	125			964	0	0	0	0	86	434	0		0	423	21	0		0	0		1		0			0	0			0	0	1	0	0	0	41			0	1	2		0	32		0	2		2		2	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
16	Valdejalón	2014	Regadío	5852	3274	590	1862	2	3			0	787	7		0	1	22			137	0	5	0	0	124	1	0		0	0	7	40		40	0		44		0			0	43			0	0	1	0	0	1	1688			41	26	1257		0	6		10	116		116		116	668	0		0	0	0	0	0	0	0		12	0	4	0		0	18	1		1	50	31	88	0	0				0	34	170		0	259			0
16	Valdejalón	2014	Secano	18189	14089	5598	7999	152	94			0	3	0		0	3	240			3893	0	0	0	4	302	377	0		0	3027	183	0		0	0		0		0			0	0			0	0	0	0	0	0	205			0	7	7		0	5		0	62		62		62	2	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	2			0
17	Central	2014	Regadío	25021	12083	5067	2395	16	0			0	4495	3		0	7	100			323	0	153	0	1	133	16	0		0	0	20	2		2	0		84		0			0	48			0	0	4	32	0	0	11734			246	253	10403		5	107		3	239		239		239	795	4		3	1	16	3	55	39	18		8	0	13	1		0	140	4		8	0	0	123	0	10				0	0	0		0	315			34
17	Central	2014	Secano	34529	28568	17781	9989	237	75			0	10	0		0	0	476			5088	0	41	10	0	1936	1480	0		0	1594	27	0		0	0		7		0			0	0			7	0	0	0	0	0	866			1	2	121		9	74		2	219		219		219	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
18	Ribera Baja del Ebro	2014	Regadío	12364	6684	2185	2876	114	6			7	1363	3		0	105	25			525	0	307	0	0	214	0	0		0	4	0	0		0	0		66		0			0	4			0	0	16	46	0	0	4469			247	87	3930		0	68		2	45		45		45	620	0		1	0	0	0	0	0	0		0	0	0	0		0	20	0		7	0	0	85	0	0				0	34	378		0	95			0
18	Ribera Baja del Ebro	2014	Secano	25602	20084	11272	6351	1767	2			0	1	0		0	0	691			4829	0	2	0	0	150	355	0		0	4197	125	0		0	0		80		0			0	26			0	0	0	54	0	0	609			0	0	444		0	6		0	53		53		53	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2014	Regadío	4622	3366	382	2493	12	0			31	414	8		0	0	26			11	0	0	0	0	0	2	0		0	0	9	0		0	0		97		0			0	0			0	0	0	94	3	0	1112			46	33	836		0	2		0	65		65		65	36	0		0	0	0	0	0	0	0		0	0	0	0		0	28	0		1	0	0	0	0	0				0	0	0		0	7			0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2014	Secano	8181	6306	1742	4337	164	0			0	1	0		0	0	62			1526	0	0	0	0	17	608	0		0	870	31	0		0	0		10		0			0	0			0	0	0	10	0	0	339			0	21	117		0	51		0	50		50		50	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
20	Comunidad de Calatayud	2014	Regadío	3367	2896	451	1860	47	0			0	495	2		0	0	41			46	0	0	0	1	33	8	0		0	0	4	0		0	0		63		0			0	62			1	0	0	0	0	0	321			14	10	162		17	13		0	35		35		35	41	0		0	0	1	0	0	0	0		0	0	3	0		0	0	0		2	0	0	0	0	0				0	0	0		0	35			0
20	Comunidad de Calatayud	2014	Secano	31580	27305	6654	19879	127	174			0	4	0		0	0	467			2282	0	0	1	102	834	556	0		0	789	0	0		0	0		680		0			0	540			72	0	0	68	0	0	1312			0	9	5		152	0		0	382		382		382	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	1			0
21	Campo de Cariñena	2014	Regadío	2084	1355	317	1016	2	4			0	0	0		0	0	16			50	0	0	0	0	50	0	0		0	0	0	0		0	0		0		0			0	0			0	0	0	0	0	0	342			0	24	267		0	0		0	17		17		17	337	0		0	0	4	0	0	0	0		18	8	0	0		0	91	0		0	90	0	0	1	0				0	0	0		0	125			0
21	Campo de Cariñena	2014	Secano	14896	11955	5698	5954	32	141			0	0	0		0	3	127			2547	0	0	0	2	678	228	0		0	1585	54	0		0	0		0		0			0	0			0	0	0	0	0	0	379			0	69	17		51	26		0	72		72		72	15	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	15			0
22	Campo de Belchite	2014	Regadío	1313	1218	325	806	81	0			0	4	0		0	0	2			20	0	0	0	0	17	1	0		0	2	0	0		0	0		3		0			0	3			0	0	0	0	0	1	70			0	0	28		0	0		0	14		14		14	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	1			0
22	Campo de Belchite	2014	Secano	38272	28977	11561	14330	2952	7			0	0	0		0	0	127			7886	0	0	366	29	677	826	0		0	5575	413	0		0	0		0		0			0	0			0	0	0	0	0	2	1407			0	0	1383		3	0		0	7		7		7	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
23	Bajo Martín	2014	Regadío	2303	1964	351	1251	183	20			0	40	23		0	0	96			27	0	1	0	0	0	0	0		0	2	24	0		0	0		0		0			0	0			0	0	0	0	0	0	308			8	8	252		0	0		0	0		0		40	4	0		0	0	0	0	0	0	0		0	0	0	0		0	4	0		0	0	0	0	0	0				0	0	0		0	0			0
23	Bajo Martín	2014	Secano	24065	19392	1015	8573	9625	123			0	0	1		0	0	55			4309	0	0	60	8	2	296	0		0	3500	443	0		0	0		14		0			9	4			0	1	0	0	0	0	348			0	0	333		0	0		0	0		0		15	2	0		0	0	0	0	0	0	0		0	2	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
24	Campo de Daroca	2014	Regadío	1482	1243	351	778	2	0			0	110	0		0	1	1			7	1	0	0	0	6	0	0		0	0	0	47		47	0		36		0			0	34			0	0	0	2	0	0	87			0	6	8		10	0		0	21		21		21	62	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	1	0	0				0	0	0		0	61			0
24	Campo de Daroca	2014	Secano	41670	34241	11794	19412	165	2215			0	2	0		0	0	653			1741	0	0	69	11	376	389	0		0	525	371	0		0	0		4202		0			0	4138			0	0	0	63	1	0	1484			0	2	284		422	71		9	232		232		232	2	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	2			0
25	Jiloca	2014	Regadío	4813	4389	307	2769	119	162			0	885	8		0	0	139			13	0	0	0	0	13	0	0		0	0	0	71		0	71		83		0			0	82			0	1	0	0	0	0	246			0	3	172		15	0		0	0		0		56	11	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	11	0	0				0	0	0		0	0			0
25	Jiloca	2014	Secano	57883	48834	9160	33127	469	3891			0	22	1		0	0	2164			1955	0	0	0	0	1391	105	0		0	449	10	14		5	9		3438		0			0	3423			0	4	0	11	0	0	3642			0	10	1379		1583	8		0	0		0		662	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
26	Cuencas Mineras	2014	Regadío	490	440	176	217	11	6			0	9	0		0	0	21			3	0	0	0	0	3	0	0		0	0	0	3		0	3		1		0			0	1			0	0	0	0	0	0	43			0	3	14		20	0		0	0		0		6	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	0			0
26	Cuencas Mineras	2014	Secano	16833	13447	5094	6947	172	323			0	0	0		0	8	903			1328	0	0	0	0	593	53	0		0	681	1	1		0	1		44		0			0	44			0	0	0	0	0	0	2013			0	62	1117		671	19		0	0		0		144	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
27	Andorra-Sierra de Arcos	2014	Regadío	191	138	10	103	5	0			0	12	0		0	0	8			5	0	0	0	0	0	1	0		0	0	4	0		0	0		0		0			0	0			0	0	0	0	0	0	48			4	0	24		2	0		0	0		0		18	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	0			0
27	Andorra-Sierra de Arcos	2014	Secano	7288	6192	374	4685	988	1			0	0	0		0	0	144			716	0	0	0	0	20	218	0		35	85	358	0		0	0		0		0			0	0			0	0	0	0	0	0	380			0	0	207		22	80		0	0		0		71	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
28	Bajo Aragón	2014	Regadío	5186	3965	314	1961	31	0			45	1601	7		0	4	2			157	0	0	0	0	66	6	0		0	5	80	0		0	0		0		0			0	0			0	0	0	0	0	0	1039			55	38	755		1	5		5	0		0		180	25	0		15	0	2	0	0	0	0		0	0	3	0		0	0	0		0	2	0	0	0	0				0	0	0		0	3			0
28	Bajo Aragón	2014	Secano	14490	12426	833	9900	1539	10			0	17	1		0	0	126			1483	0	0	0	0	5	1020	0		9	260	189	0		0	0		0		0			0	0			0	0	0	0	0	0	581			1	4	63		23	71		1	0		0		418	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
29	Comunidad de Teruel	2014	Regadío	6114	5567	1474	2588	111	134			0	1064	3		0	0	193			8	0	0	0	0	0	2	0		0	3	3	54		0	54		121		0			0	95			0	0	0	0	26	0	360			3	0	222		45	2		0	0		0		88	4	0		0	0	1	0	0	0	0		0	0	1	0		0	0	0		0	0	0	1	0	0				0	1	0		0	0			0
29	Comunidad de Teruel	2014	Secano	55788	48352	15177	26010	1311	3043			0	16	5		0	0	2790			3481	0	0	22	0	885	400	5		0	1772	397	2		0	2		1146		0			0	1069			58	2	0	0	17	0	2807			0	3	751		1443	74		0	0		0		536	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
30	Maestrazgo	2014	Regadío	295	222	47	155	18	2			0	0	0		0	0	0			4	0	0	0	0	0	0	0		0	0	4	0		0	0		0		0			0	0			0	0	0	0	0	0	69			2	0	10		4	0		0	0		0		53	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	0			0
30	Maestrazgo	2014	Secano	5535	3107	859	1781	261	115			0	0	4		0	23	64			180	0	0	0	0	10	35	0		0	15	120	19		0	19		3		3			0	0			0	0	0	0	0	0	2226			0	8	222		319	48		6	0		0		1623	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
31	Sierra de Albarracín	2014	Regadío	280	196	95	71	6	2			0	22	0		0	0	0			14	0	0	0	0	8	0	0		0	6	0	38		0	38		0		0			0	0			0	0	0	0	0	0	31			0	0	21		5	0		0	0		0		5	1	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	1			0
31	Sierra de Albarracín	2014	Secano	8765	7060	4600	1611	239	245			0	4	0		0	0	361			714	0	0	0	0	93	199	0		0	398	24	29		0	29		294		0			0	294			0	0	0	0	0	0	668			0	15	418		116	41		0	0		0		78	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
32	Gúdar-Javalambre	2014	Regadío	512	320	69	181	66	2			0	1	1		0	0	0			16	0	0	0	0	0	13	0		0	0	3	0		0	0		0		0			0	0			0	0	0	0	0	0	149			1	2	27		14	1		0	0		0		104	27	20		0	0	0	0	0	0	0		0	0	2	0		0	0	0		0	0	0	2	0	0				3	0	0		0	0			0
32	Gúdar-Javalambre	2014	Secano	9603	5894	2009	2639	830	239			0	73	11		0	0	93			788	0	0	0	0	78	173	0		0	397	140	9		0	9		31		0			0	28			0	0	0	0	3	0	2881			6	1	279		715	68		0	0		0		1812	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
33	Matarraña / Matarranya	2014	Regadío	143	96	4	64	14	0			0	1	0		0	0	13			2	0	0	0	0	0	0	0		0	0	2	0		0	0		2		0			0	0			0	0	0	0	2	0	43			0	3	9		1	3		0	0		0		27	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0		0	0			0
33	Matarraña / Matarranya	2014	Secano	3399	2817	199	2199	271	5			0	0	0		0	1	142			58	0	0	0	0	0	3	0		0	0	55	0		0	0		2		0			0	0			0	0	0	0	2	0	522			0	38	28		18	17		0	0		0		421	0	0		0	0	0	0	0	0	0		0	0	0	0		0	0	0		0	0	0	0	0	0				0	0	0	0	0	0			0
