Año	Código de la comarca	Comarca	Hectáreas en tierras labradas con cultivos herbáceos	Hectáreas en tierras labradas con cultivos frutales	Hectáreas en tierras labradas con cultivo olivar	Hectáreas en tierras labradas con cultivo viñedo	Hectáreas en tierras labradas con otros cultivos	Hectáreas en tierras labradas de secano	Hectáreas en tierras labradas de regadío	Hectáreas en tierras labradas de secano cultivos herbáceos	Hectáreas en tierras labradas de secano cultivos frutales	Hectáreas en tierras labradas de secano cultivo olivar	Hectáreas en tierras labradas de secano cultivo viñedo	Hectáreas en tierras labradas de secano otros cultivos	Hectáreas en tierras labradas de regadío cultivos herbáceos	Hectáreas en tierras labradas de regadío cultivos frutales	Hectáreas en tierras labradas de regadío cultivo olivar	Hectáreas en tierras labradas de regadío cultivo viñedo	Hectáreas en tierras labradas de regadío otros cultivos	Número total de parcelas
1999	23	Bajo Martín	42742	1371	2050	97	1	42184,26	4078,9	39428,63	1112,28	1550,07	93,28	0	3314,93	258,07	500,27	4,46	1,17	37772
1999	24	Campo de Daroca	54256	2358	10	1516	0	56828,79	1307,75	53069,67	2246,44	9,24	1503,44	0	1184,56	110,92	0,78	11,49	0	56434
1999	25	Jiloca	95339	990	6	1089	49	92528,47	4939,72	90445,93	954,9	4	1074,97	48,67	4892,45	31,01	1,83	13,68	0,75	116892
1999	26	Cuencas Mineras	28495	402	70	627	0	28964,34	626,4	27875,01	398,32	67,13	623,88	0	617,42	4,3	1,78	2,9	0	52873
1999	27	Andorra-Sierra de Arcos	16096	725	2454	227	0	19040,9	461,36	15792,53	673,68	2347,57	227,12	0	303,4	51,22	106,43	0,31	0	35215
1999	28	Bajo Aragón	33751	8965	10405	227	2	47710,25	5634,69	30368,78	7498,29	9621,61	221,57	0	3382,42	1464,86	782,31	3,09	2,01	55558
1999	29	Comunidad de Teruel	99190	950	6	46	3	94260,11	5934,02	93340,22	869,26	6,12	42,24	2,27	5848,61	81,51	0,1	2,11	1,69	113699
1999	30	Maestrazgo	11310	579	730	36	1	12057,93	598,51	11007,1	462,38	550,9	36,55	1	304,41	117,42	176,38	0	0,3	15574
1999	31	Sierra de Albarracín	15877	29	3	0	0	15606,79	302,78	15592,01	13,12	1,66	0	0	284,69	16,7	1	0,25	0,14	41824
1999	32	Gúdar-Javalambre	19828	648	15	8	3	19943,87	555,87	19299,31	622,92	13,55	4,77	3,32	529,52	23,21	1	1,77	0,37	35112
1999	33	Matarraña / Matarranya	5514	10170	10114	1165	4	26206,67	761,15	5260,03	9850,18	9951,43	1145,03	0	255,8	319,71	162,39	18,78	4,47	28494
