Comarca código	Comarca nombre	Año de construcción	Número hogares
12	Tarazona y el Moncayo	1900 - 1920	250
12	Tarazona y el Moncayo	1921 - 1940	319
12	Tarazona y el Moncayo	1941 - 1950	194
12	Tarazona y el Moncayo	1951 - 1960	321
12	Tarazona y el Moncayo	1961 - 1970	508
12	Tarazona y el Moncayo	1971 - 1980	838
12	Tarazona y el Moncayo	1981 - 1990	752
12	Tarazona y el Moncayo	1991	61
12	Tarazona y el Moncayo	1992	104
12	Tarazona y el Moncayo	1993	129
12	Tarazona y el Moncayo	1994	44
12	Tarazona y el Moncayo	1995	78
12	Tarazona y el Moncayo	1996	28
12	Tarazona y el Moncayo	1997	32
12	Tarazona y el Moncayo	1998	75
12	Tarazona y el Moncayo	1999	83
12	Tarazona y el Moncayo	2000	72
12	Tarazona y el Moncayo	2001	51
13	Campo de Borja	  No aplicable	8
13	Campo de Borja	 Antes de 1900	1234
13	Campo de Borja	1900 - 1920	348
13	Campo de Borja	1921 - 1940	427
13	Campo de Borja	1941 - 1950	402
13	Campo de Borja	1951 - 1960	386
13	Campo de Borja	1961 - 1970	455
13	Campo de Borja	1971 - 1980	594
13	Campo de Borja	1981 - 1990	724
13	Campo de Borja	1991	73
13	Campo de Borja	1992	60
13	Campo de Borja	1993	80
13	Campo de Borja	1994	69
13	Campo de Borja	1995	71
13	Campo de Borja	1996	81
13	Campo de Borja	1997	73
13	Campo de Borja	1998	88
13	Campo de Borja	1999	57
13	Campo de Borja	2000	97
13	Campo de Borja	2001	38
14	Aranda	  No aplicable	8
14	Aranda	 Antes de 1900	689
14	Aranda	1900 - 1920	223
14	Aranda	1921 - 1940	56
14	Aranda	1941 - 1950	98
14	Aranda	1951 - 1960	195
14	Aranda	1961 - 1970	324
14	Aranda	1971 - 1980	489
14	Aranda	1981 - 1990	444
14	Aranda	1991	56
14	Aranda	1992	41
14	Aranda	1993	18
14	Aranda	1994	56
14	Aranda	1995	35
14	Aranda	1996	23
14	Aranda	1997	13
14	Aranda	1998	40
14	Aranda	1999	41
14	Aranda	2000	25
14	Aranda	2001	22
15	Ribera Alta del Ebro	  No aplicable	45
15	Ribera Alta del Ebro	 Antes de 1900	896
15	Ribera Alta del Ebro	1900 - 1920	489
15	Ribera Alta del Ebro	1921 - 1940	457
15	Ribera Alta del Ebro	1941 - 1950	496
15	Ribera Alta del Ebro	1951 - 1960	1052
15	Ribera Alta del Ebro	1961 - 1970	762
15	Ribera Alta del Ebro	1971 - 1980	1227
15	Ribera Alta del Ebro	1981 - 1990	1109
15	Ribera Alta del Ebro	1991	123
15	Ribera Alta del Ebro	1992	126
15	Ribera Alta del Ebro	1993	105
15	Ribera Alta del Ebro	1994	98
15	Ribera Alta del Ebro	1995	134
15	Ribera Alta del Ebro	1996	179
15	Ribera Alta del Ebro	1997	98
15	Ribera Alta del Ebro	1998	211
15	Ribera Alta del Ebro	1999	124
15	Ribera Alta del Ebro	2000	163
15	Ribera Alta del Ebro	2001	171
16	Valdejalón	  No aplicable	49
16	Valdejalón	 Antes de 1900	1200
16	Valdejalón	1900 - 1920	530
16	Valdejalón	1921 - 1940	530
16	Valdejalón	1941 - 1950	550
16	Valdejalón	1951 - 1960	713
16	Valdejalón	1961 - 1970	1102
16	Valdejalón	1971 - 1980	1115
16	Valdejalón	1981 - 1990	1113
16	Valdejalón	1991	106
16	Valdejalón	1992	191
16	Valdejalón	1993	148
16	Valdejalón	1994	124
16	Valdejalón	1995	97
16	Valdejalón	1996	121
16	Valdejalón	1997	128
16	Valdejalón	1998	140
16	Valdejalón	1999	173
16	Valdejalón	2000	118
16	Valdejalón	2001	122
17	D.C. Zaragoza	  No aplicable	579
17	D.C. Zaragoza	 Antes de 1900	2653
17	D.C. Zaragoza	1900 - 1920	2012
17	D.C. Zaragoza	1921 - 1940	5235
17	D.C. Zaragoza	1941 - 1950	8885
17	D.C. Zaragoza	1951 - 1960	28015
17	D.C. Zaragoza	1961 - 1970	55904
17	D.C. Zaragoza	1971 - 1980	58305
17	D.C. Zaragoza	1981 - 1990	41390
17	D.C. Zaragoza	1991	5722
17	D.C. Zaragoza	1992	3592
17	D.C. Zaragoza	1993	3173
17	D.C. Zaragoza	1994	3600
17	D.C. Zaragoza	1995	2931
17	D.C. Zaragoza	1996	3863
17	D.C. Zaragoza	1997	3601
17	D.C. Zaragoza	1998	3762
17	D.C. Zaragoza	1999	3115
17	D.C. Zaragoza	2000	2971
17	D.C. Zaragoza	2001	2027
18	Ribera Baja del Ebro	  No aplicable	4
18	Ribera Baja del Ebro	 Antes de 1900	383
18	Ribera Baja del Ebro	1900 - 1920	157
18	Ribera Baja del Ebro	1921 - 1940	241
18	Ribera Baja del Ebro	1941 - 1950	245
18	Ribera Baja del Ebro	1951 - 1960	521
18	Ribera Baja del Ebro	1961 - 1970	359
18	Ribera Baja del Ebro	1971 - 1980	629
18	Ribera Baja del Ebro	1981 - 1990	619
18	Ribera Baja del Ebro	1991	66
18	Ribera Baja del Ebro	1992	57
18	Ribera Baja del Ebro	1993	31
18	Ribera Baja del Ebro	1994	50
18	Ribera Baja del Ebro	1995	39
18	Ribera Baja del Ebro	1996	37
18	Ribera Baja del Ebro	1997	45
18	Ribera Baja del Ebro	1998	57
18	Ribera Baja del Ebro	1999	60
18	Ribera Baja del Ebro	2000	67
18	Ribera Baja del Ebro	2001	50
19	Bajo Aragón-Caspe / Baix Aragó-Casp	  No aplicable	12
19	Bajo Aragón-Caspe / Baix Aragó-Casp	 Antes de 1900	223
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1900 - 1920	378
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1921 - 1940	421
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1941 - 1950	363
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1951 - 1960	436
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1961 - 1970	636
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1971 - 1980	901
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1981 - 1990	689
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1991	57
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1992	81
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1993	68
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1994	36
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1995	55
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1996	65
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1997	97
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1998	73
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1999	119
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2000	79
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2001	44
20	Comunidad de Calatayud	  No aplicable	46
