Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	Municipio codigo	Provincia codigo	Municipio nombre	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	44042	44	Blancas	73,0258603193
Vivienda principal	1	Vivienda principal convencional	1	44043	44	Blesa	69,6301782749
Vivienda principal	1	Vivienda principal convencional	1	44044	44	Bordón	55,9085727019
Vivienda principal	1	Vivienda principal convencional	1	44045	44	Bronchales	232,2310937159
Vivienda principal	1	Vivienda principal convencional	1	44046	44	Bueña	36,1705547281
Vivienda principal	1	Vivienda principal convencional	1	44047	44	Burbáguena	89,7792403733
Vivienda principal	1	Vivienda principal convencional	1	44048	44	Cabra de Mora	25,8581955038
Vivienda principal	1	Vivienda principal convencional	1	44049	44	Calaceite	443,5290043157
Vivienda principal	1	Vivienda principal convencional	1	44050	44	Calamocha	1782,0736727599
Vivienda principal	1	Vivienda principal convencional	1	44051	44	Calanda	1427,8412856445
Vivienda principal	1	Vivienda principal convencional	1	44052	44	Calomarde	45,5480803434
Vivienda principal	1	Vivienda principal convencional	1	44053	44	Camañas	56,5445792917
Vivienda principal	1	Vivienda principal convencional	1	44054	44	Camarena de la Sierra	62,4109648194
Vivienda principal	1	Vivienda principal convencional	1	44055	44	Camarillas	49,8953128184
Vivienda principal	1	Vivienda principal convencional	1	44056	44	Caminreal	295,7365037443
Vivienda principal	1	Vivienda principal convencional	1	44059	44	Cantavieja	272,1028984088
Vivienda principal	1	Vivienda principal convencional	1	44060	44	Cañada de Benatanduz	20,5328194227
Vivienda principal	1	Vivienda principal convencional	1	44061	44	Cañada de Verich (La)	43,4861940831
Vivienda principal	1	Vivienda principal convencional	1	44062	44	Cañada Vellida	19,2312194549
Vivienda principal	1	Vivienda principal convencional	1	44063	44	Cañizar del Olivar	35,5335645617
Vivienda principal	1	Vivienda principal convencional	1	44064	44	Cascante del Río	41,5999668276
Vivienda principal	1	Vivienda principal convencional	1	44065	44	Castejón de Tornos	29,4011891223
Vivienda principal	1	Vivienda principal convencional	1	44066	44	Castel de Cabra	50,0503397016
Vivienda principal	1	Vivienda principal convencional	1	44067	44	Castelnou	69,9905182446
Vivienda principal	1	Vivienda principal convencional	1	44068	44	Castelserás	301,3324358336
Vivienda principal	1	Vivienda principal convencional	1	44070	44	Castellar (El)	25,0836747152
Vivienda principal	1	Vivienda principal convencional	1	44071	44	Castellote	332,8169406895
Vivienda principal	1	Vivienda principal convencional	1	44074	44	Cedrillas	206,7286492224
Vivienda principal	1	Vivienda principal convencional	1	44075	44	Celadas	138,408786881
Vivienda principal	1	Vivienda principal convencional	1	44076	44	Cella	1125,2579373012
Vivienda principal	1	Vivienda principal convencional	1	44077	44	Cerollera (La)	42,5353276656
Vivienda principal	1	Vivienda principal convencional	1	44080	44	Codoñera (La)	154,7036495089
Vivienda principal	1	Vivienda principal convencional	1	44082	44	Corbalán	45,2468857594
Vivienda principal	1	Vivienda principal convencional	1	44084	44	Cortes de Aragón	31,717301941
Vivienda principal	1	Vivienda principal convencional	1	44085	44	Cosa	27,1668113888
Vivienda principal	1	Vivienda principal convencional	1	44086	44	Cretas	223,162203862
Vivienda principal	1	Vivienda principal convencional	1	44087	44	Crivillén	34,1946977255
Vivienda principal	1	Vivienda principal convencional	1	44088	44	Cuba (La)	20,2387213722
Vivienda principal	1	Vivienda principal convencional	1	44089	44	Cubla	29,5320679415
Vivienda principal	1	Vivienda principal convencional	1	44090	44	Cucalón	48,4964268988
Vivienda principal	1	Vivienda principal convencional	1	44092	44	Cuervo (El)	44,5023485154
Vivienda principal	1	Vivienda principal convencional	1	44093	44	Cuevas de Almudén	51,8406981039
Vivienda principal	1	Vivienda principal convencional	1	44094	44	Cuevas Labradas	53,624470439
Vivienda principal	1	Vivienda principal convencional	1	44096	44	Ejulve	83,3982021307
Vivienda principal	1	Vivienda principal convencional	1	44097	44	Escorihuela	84,5076141107
Vivienda principal	1	Vivienda principal convencional	1	44099	44	Escucha	347,108371606
Vivienda principal	1	Vivienda principal convencional	1	44100	44	Estercuel	92,244215596
Vivienda principal	1	Vivienda principal convencional	1	44101	44	Ferreruela de Huerva	33,5531151145
Vivienda principal	1	Vivienda principal convencional	1	44102	44	Fonfría	13,615000617
Vivienda principal	1	Vivienda principal convencional	1	44103	44	Formiche Alto	67,5542197227
Vivienda principal	1	Vivienda principal convencional	1	44105	44	Fórnoles	49,1016008547
Vivienda principal	1	Vivienda principal convencional	1	44106	44	Fortanete	99,1198222517
Vivienda principal	1	Vivienda principal convencional	1	44107	44	Foz-Calanda	120,6885998061
Vivienda principal	1	Vivienda principal convencional	1	44108	44	Fresneda (La)	206,9455075779
Vivienda principal	1	Vivienda principal convencional	1	44109	44	Frías de Albarracín	57,7294250291
Vivienda principal	1	Vivienda principal convencional	1	44110	44	Fuenferrada	27,0596793593
Vivienda principal	1	Vivienda principal convencional	1	44111	44	Fuentes Calientes	44,6039088465
Vivienda principal	1	Vivienda principal convencional	1	44112	44	Fuentes Claras	256,5775886492
Vivienda principal	1	Vivienda principal convencional	1	44113	44	Fuentes de Rubielos	53,5342185263
Vivienda principal	1	Vivienda principal convencional	1	44114	44	Fuentespalda	134,8415571391
Vivienda principal	1	Vivienda principal convencional	1	44115	44	Galve	67,7126974539
Vivienda principal	1	Vivienda principal convencional	1	44116	44	Gargallo	46,6866538395
Vivienda principal	1	Vivienda principal convencional	1	44117	44	Gea de Albarracín	165,9840104225
Vivienda principal	1	Vivienda principal convencional	1	44118	44	Ginebrosa (La)	95,3655140077
Vivienda principal	1	Vivienda principal convencional	1	44119	44	Griegos	61,2797734779
Vivienda principal	1	Vivienda principal convencional	1	44120	44	Guadalaviar	105,6327521743
Vivienda principal	1	Vivienda principal convencional	1	44121	44	Gúdar	29,5011633082
Vivienda principal	1	Vivienda principal convencional	1	44122	44	Híjar	724,9287257089
Vivienda principal	1	Vivienda principal convencional	1	44123	44	Hinojosa de Jarque	56,9650458167
Vivienda principal	1	Vivienda principal convencional	1	44124	44	Hoz de la Vieja (La)	39,481887253
Vivienda principal	1	Vivienda principal convencional	1	44125	44	Huesa del Común	45,533367497
Vivienda principal	1	Vivienda principal convencional	1	44126	44	Iglesuela del Cid (La)	190,6840520318
Vivienda principal	1	Vivienda principal convencional	1	44127	44	Jabaloyas	40,3738148118
Vivienda principal	1	Vivienda principal convencional	1	44128	44	Jarque de la Val	38,0723101111
Vivienda principal	1	Vivienda principal convencional	1	44129	44	Jatiel	21,3702656362
Vivienda principal	1	Vivienda principal convencional	1	44130	44	Jorcas	19,3865479299
Vivienda principal	1	Vivienda principal convencional	1	44131	44	Josa	14,9706267489
Vivienda principal	1	Vivienda principal convencional	1	44132	44	Lagueruela	39,4347520145
Vivienda principal	1	Vivienda principal convencional	1	44133	44	Lanzuela	15,5906392004
Vivienda principal	1	Vivienda principal convencional	1	44135	44	Libros	82,0355143029
Vivienda principal	1	Vivienda principal convencional	1	44136	44	Lidón	21,0724649009
Vivienda principal	1	Vivienda principal convencional	1	44137	44	Linares de Mora	115,2675892751
Vivienda principal	1	Vivienda principal convencional	1	44138	44	Loscos	85,8131300644
Vivienda principal	1	Vivienda principal convencional	1	44141	44	Lledó	62,8925833655
Vivienda principal	1	Vivienda principal convencional	1	44142	44	Maicas	22,4176797318
Vivienda principal	1	Vivienda principal convencional	1	44143	44	Manzanera	224,5380194594
Vivienda principal	1	Vivienda principal convencional	1	44144	44	Martín del Río	168,8487739283
Vivienda principal	1	Vivienda principal convencional	1	44145	44	Mas de las Matas	521,0474142995
