Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22021	Almudévar	2011	4	CHA	304
22021	Almudévar	2015	1	PP	534
22021	Almudévar	2015	2	PSOE	599
22021	Almudévar	2015	7	CHA	204
22022	Almunia de San Juan	2007	1	PSOE	299
22022	Almunia de San Juan	2007	2	PP	112
22022	Almunia de San Juan	2007	3	PAR	60
22022	Almunia de San Juan	2011	1	PP	142
22022	Almunia de San Juan	2011	2	PSOE	244
22022	Almunia de San Juan	2011	3	PAR	84
22022	Almunia de San Juan	2015	1	PP	101
22022	Almunia de San Juan	2015	2	PSOE	233
22022	Almunia de San Juan	2015	4	PAR	10
22022	Almunia de San Juan	2015	7	CHA	44
22023	Almuniente	2007	1	PSOE	217
22023	Almuniente	2007	2	PP	129
22023	Almuniente	2007	3	PAR	61
22023	Almuniente	2011	1	PP	141
22023	Almuniente	2011	2	PSOE	198
22023	Almuniente	2011	3	PAR	52
22023	Almuniente	2015	1	PP	195
22023	Almuniente	2015	2	PSOE	200
22024	Alquézar	2007	1	PSOE	78
22024	Alquézar	2007	3	PAR	86
22024	Alquézar	2007	13	LV-GV	35
22024	Alquézar	2011	1	PP	35
22024	Alquézar	2011	2	PSOE	103
22024	Alquézar	2011	3	PAR	32
22024	Alquézar	2015	1	PP	23
22024	Alquézar	2015	2	PSOE	119
22024	Alquézar	2015	4	PAR	7
22025	Altorricón	2007	1	PSOE	528
22025	Altorricón	2007	2	PP	195
22025	Altorricón	2007	3	PAR	121
22025	Altorricón	2011	1	PP	278
22025	Altorricón	2011	2	PSOE	448
22025	Altorricón	2011	3	PAR	64
22025	Altorricón	2015	1	PP	218
22025	Altorricón	2015	2	PSOE	482
22025	Altorricón	2015	4	PAR	57
22027	Angüés	2007	1	PSOE	143
22027	Angüés	2007	2	PP	124
22027	Angüés	2011	2	PSOE	154
22027	Angüés	2015	2	PSOE	148
22028	Ansó	2007	1	PSOE	191
22028	Ansó	2007	3	PAR	178
22028	Ansó	2011	2	PSOE	175
22028	Ansó	2011	3	PAR	145
22028	Ansó	2015	2	PSOE	162
22029	Antillón	2007	1	PSOE	52
22029	Antillón	2007	2	PP	60
22029	Antillón	2007	3	PAR	54
22029	Antillón	2007	4	CHA	51
22029	Antillón	2011	1	PP	33
22029	Antillón	2011	2	PSOE	65
22029	Antillón	2011	3	PAR	51
22029	Antillón	2015	1	PP	48
22029	Antillón	2015	2	PSOE	61
22029	Antillón	2015	4	PAR	46
22032	Aragüés del Puerto	2007	1	PSOE	63
22032	Aragüés del Puerto	2007	2	PP	37
22032	Aragüés del Puerto	2007	3	PAR	37
22032	Aragüés del Puerto	2007	4	CHA	19
22032	Aragüés del Puerto	2011	1	PP	1
22032	Aragüés del Puerto	2011	2	PSOE	42
22032	Aragüés del Puerto	2011	3	PAR	37
22032	Aragüés del Puerto	2015	1	PP	2
22032	Aragüés del Puerto	2015	2	PSOE	45
22032	Aragüés del Puerto	2015	4	PAR	33
22035	Arén	2007	1	PSOE	144
22035	Arén	2007	2	PP	37
22035	Arén	2007	4	CHA	25
22035	Arén	2011	1	PP	32
22035	Arén	2011	2	PSOE	149
22035	Arén	2011	4	CHA	15
22035	Arén	2011	20	CDF	17
22035	Arén	2015	2	PSOE	132
22036	Argavieso	2007	1	PSOE	16
22036	Argavieso	2007	2	PP	62
22036	Argavieso	2007	3	PAR	6
22036	Argavieso	2007	4	CHA	4
22036	Argavieso	2011	1	PP	48
22036	Argavieso	2011	2	PSOE	35
22036	Argavieso	2011	3	PAR	2
22036	Argavieso	2015	1	PP	56
22036	Argavieso	2015	2	PSOE	7
22036	Argavieso	2015	4	PAR	0
22037	Arguis	2007	1	PSOE	30
22037	Arguis	2007	2	PP	35
22037	Arguis	2007	3	PAR	3
22037	Arguis	2007	4	CHA	8
22037	Arguis	2011	1	PP	48
22037	Arguis	2011	2	PSOE	19
22037	Arguis	2011	3	PAR	9
22037	Arguis	2011	4	CHA	16
22037	Arguis	2015	1	PP	42
22037	Arguis	2015	2	PSOE	31
22037	Arguis	2015	4	PAR	37
22037	Arguis	2015	7	CHA	21
22039	Ayerbe	2007	1	PSOE	318
22039	Ayerbe	2007	2	PP	236
22039	Ayerbe	2007	3	PAR	114
22039	Ayerbe	2007	4	CHA	104
22039	Ayerbe	2011	1	PP	282
22039	Ayerbe	2011	2	PSOE	225
22039	Ayerbe	2011	3	PAR	74
22039	Ayerbe	2011	4	CHA	149
22039	Ayerbe	2015	1	PP	230
22039	Ayerbe	2015	2	PSOE	301
22039	Ayerbe	2015	4	PAR	50
22039	Ayerbe	2015	7	CHA	112
22040	Azanuy-Alins	2007	1	PSOE	39
22040	Azanuy-Alins	2007	2	PP	10
22040	Azanuy-Alins	2007	3	PAR	77
22040	Azanuy-Alins	2007	4	CHA	4
22040	Azanuy-Alins	2011	1	PP	28
22040	Azanuy-Alins	2011	2	PSOE	44
22040	Azanuy-Alins	2011	3	PAR	63
22040	Azanuy-Alins	2011	4	CHA	4
22040	Azanuy-Alins	2015	1	PP	25
22040	Azanuy-Alins	2015	2	PSOE	47
22040	Azanuy-Alins	2015	4	PAR	54
22040	Azanuy-Alins	2015	7	CHA	5
22041	Azara	2007	1	PSOE	77
22041	Azara	2007	2	PP	61
22041	Azara	2007	4	CHA	7
22041	Azara	2011	1	PP	62
22041	Azara	2011	2	PSOE	72
22041	Azara	2011	3	PAR	1
22041	Azara	2015	1	PP	45
22041	Azara	2015	2	PSOE	69
22041	Azara	2015	4	PAR	15
22042	Azlor	2007	1	PSOE	62
22042	Azlor	2007	2	PP	35
22042	Azlor	2007	4	CHA	12
22042	Azlor	2011	1	PP	10
22042	Azlor	2011	2	PSOE	61
22042	Azlor	2011	3	PAR	29
22042	Azlor	2015	1	PP	35
22042	Azlor	2015	2	PSOE	50
22042	Azlor	2015	4	PAR	16
22043	Baells	2007	1	PSOE	27
22043	Baells	2007	2	PP	12
22043	Baells	2007	3	PAR	53
22043	Baells	2007	4	CHA	3
22043	Baells	2011	1	PP	17
22043	Baells	2011	2	PSOE	16
22043	Baells	2011	3	PAR	38
22043	Baells	2015	1	PP	10
22043	Baells	2015	2	PSOE	28
22043	Baells	2015	4	PAR	29
22044	Bailo	2007	1	PSOE	120
22044	Bailo	2007	2	PP	13
22044	Bailo	2007	3	PAR	91
22044	Bailo	2007	4	CHA	7
22044	Bailo	2011	1	PP	76
22044	Bailo	2011	2	PSOE	157
22044	Bailo	2015	1	PP	64
22044	Bailo	2015	2	PSOE	141
22045	Baldellou	2007	1	PSOE	49
22045	Baldellou	2007	2	PP	8
22045	Baldellou	2007	3	PAR	29
22045	Baldellou	2007	4	CHA	7
22045	Baldellou	2011	1	PP	11
22045	Baldellou	2011	2	PSOE	55
22045	Baldellou	2011	3	PAR	25
22045	Baldellou	2011	4	CHA	27
22045	Baldellou	2015	1	PP	0
22045	Baldellou	2015	2	PSOE	59
22045	Baldellou	2015	4	PAR	9
22045	Baldellou	2015	7	CHA	4
22046	Ballobar	2007	1	PSOE	381
22046	Ballobar	2007	2	PP	216
22046	Ballobar	2007	3	PAR	114
22046	Ballobar	2011	1	PP	246
22046	Ballobar	2011	2	PSOE	323
22046	Ballobar	2011	3	PAR	97
22046	Ballobar	2015	1	PP	259
22046	Ballobar	2015	2	PSOE	304
22046	Ballobar	2015	4	PAR	61
22047	Banastás	2007	1	PSOE	52
22047	Banastás	2007	2	PP	94
22047	Banastás	2007	3	PAR	2
22047	Banastás	2007	4	CHA	32
22047	Banastás	2011	1	PP	111
22047	Banastás	2011	2	PSOE	76
22047	Banastás	2015	1	PP	109
22047	Banastás	2015	2	PSOE	80
22048	Barbastro	2007	1	PSOE	4325
22048	Barbastro	2007	2	PP	2106
22048	Barbastro	2007	3	PAR	481
22048	Barbastro	2007	4	CHA	695
22048	Barbastro	2007	5	IU	520
22048	Barbastro	2011	1	PP	2881
22048	Barbastro	2011	2	PSOE	3685
22048	Barbastro	2011	3	PAR	659
22048	Barbastro	2011	4	CHA	430
22048	Barbastro	2011	5	IU	547
22048	Barbastro	2015	1	PP	1917
22048	Barbastro	2015	2	PSOE	3132
22048	Barbastro	2015	4	PAR	727
22048	Barbastro	2015	5	C's	826
22048	Barbastro	2015	7	CHA	362
22048	Barbastro	2015	13	ARAGONSIPUEDE	221
22048	Barbastro	2015	15	CAMBIAR	601
22048	Barbastro	2015	47	C.P.Btro	327
22049	Barbués	2007	1	PSOE	38
22049	Barbués	2007	2	PP	49
22049	Barbués	2007	3	PAR	1
22049	Barbués	2007	4	CHA	0
22049	Barbués	2011	1	PP	42
22049	Barbués	2011	2	PSOE	24
22049	Barbués	2011	3	PAR	2
22049	Barbués	2015	1	PP	31
22049	Barbués	2015	2	PSOE	31
22049	Barbués	2015	4	PAR	1
22050	Barbuñales	2007	1	PSOE	39
22050	Barbuñales	2007	2	PP	48
22050	Barbuñales	2007	3	PAR	8
22050	Barbuñales	2007	4	CHA	6
22050	Barbuñales	2011	1	PP	48
22050	Barbuñales	2011	2	PSOE	41
22050	Barbuñales	2011	3	PAR	2
22050	Barbuñales	2015	1	PP	11
22050	Barbuñales	2015	2	PSOE	39
22050	Barbuñales	2015	4	PAR	5
22051	Bárcabo	2007	1	PSOE	45
22051	Bárcabo	2007	2	PP	39
22051	Bárcabo	2007	4	CHA	28
22051	Bárcabo	2011	1	PP	36
22051	Bárcabo	2011	2	PSOE	64
22051	Bárcabo	2011	3	PAR	19
22051	Bárcabo	2011	4	CHA	6
22051	Bárcabo	2015	1	PP	20
22051	Bárcabo	2015	2	PSOE	56
22051	Bárcabo	2015	4	PAR	13
22051	Bárcabo	2015	7	CHA	18
22052	Belver de Cinca	2007	1	PSOE	478
22052	Belver de Cinca	2007	2	PP	247
22052	Belver de Cinca	2007	3	PAR	93
22052	Belver de Cinca	2011	1	PP	249
22052	Belver de Cinca	2011	2	PSOE	367
22052	Belver de Cinca	2011	3	PAR	128
22052	Belver de Cinca	2015	1	PP	183
22052	Belver de Cinca	2015	2	PSOE	314
22052	Belver de Cinca	2015	4	PAR	206
22053	Benabarre	2007	1	PSOE	382
22053	Benabarre	2007	2	PP	124
22053	Benabarre	2007	3	PAR	52
22053	Benabarre	2007	4	CHA	111
22053	Benabarre	2011	1	PP	198
22053	Benabarre	2011	2	PSOE	327
22053	Benabarre	2011	4	CHA	55
22053	Benabarre	2011	20	CDF	14
22053	Benabarre	2015	1	PP	213
22053	Benabarre	2015	2	PSOE	242
22053	Benabarre	2015	4	PAR	6
22053	Benabarre	2015	13	ARAGONSIPUEDE	84
22054	Benasque	2007	1	PSOE	230
22054	Benasque	2007	2	PP	141
22054	Benasque	2007	3	PAR	434
22054	Benasque	2007	4	CHA	25
22054	Benasque	2007	5	IU	100
22054	Benasque	2011	1	PP	315
22054	Benasque	2011	2	PSOE	188
22054	Benasque	2011	3	PAR	381
22054	Benasque	2011	5	IU	145
22054	Benasque	2011	33	CCD	40
22054	Benasque	2015	1	PP	291
22054	Benasque	2015	2	PSOE	191
22054	Benasque	2015	4	PAR	394
22054	Benasque	2015	5	C's	45
22054	Benasque	2015	7	CHA	34
22054	Benasque	2015	15	CAMBIAR	107
22055	Berbegal	2007	1	PSOE	121
22055	Berbegal	2007	2	PP	38
22055	Berbegal	2007	4	CHA	178
22055	Berbegal	2011	1	PP	44
22055	Berbegal	2011	2	PSOE	121
22055	Berbegal	2011	4	CHA	138
22055	Berbegal	2011	8	FIA	6
22055	Berbegal	2015	1	PP	123
22055	Berbegal	2015	2	PSOE	143
22057	Bielsa	2007	1	PSOE	236
22057	Bielsa	2007	2	PP	7
22057	Bielsa	2007	4	CHA	102
22057	Bielsa	2011	2	PSOE	230
22057	Bielsa	2011	4	CHA	86
22057	Bielsa	2015	2	PSOE	180
22057	Bielsa	2015	7	CHA	76
22058	Bierge	2007	1	PSOE	78
22058	Bierge	2007	2	PP	28
22058	Bierge	2007	3	PAR	29
22058	Bierge	2007	4	CHA	39
22058	Bierge	2011	1	PP	68
22058	Bierge	2011	2	PSOE	68
22058	Bierge	2011	3	PAR	14
22058	Bierge	2015	1	PP	58
22058	Bierge	2015	2	PSOE	87
22058	Bierge	2015	4	PAR	9
22058	Bierge	2015	15	CAMBIAR	43
22059	Biescas	2007	1	PSOE	271
22059	Biescas	2007	2	PP	73
22059	Biescas	2007	3	PAR	363
22059	Biescas	2007	4	CHA	112
22059	Biescas	2007	5	IU	100
22059	Biescas	2011	1	PP	155
22059	Biescas	2011	2	PSOE	232
22059	Biescas	2011	3	PAR	301
22059	Biescas	2011	4	CHA	65
22059	Biescas	2011	5	IU	97
22059	Biescas	2015	1	PP	130
22059	Biescas	2015	2	PSOE	266
22059	Biescas	2015	4	PAR	402
22060	Binaced	2007	1	PSOE	529
22060	Binaced	2007	2	PP	245
22060	Binaced	2007	3	PAR	198
22060	Binaced	2007	5	IU	40
22060	Binaced	2011	1	PP	241
22060	Binaced	2011	2	PSOE	414
22060	Binaced	2011	3	PAR	259
22060	Binaced	2015	1	PP	154
22060	Binaced	2015	2	PSOE	404
22060	Binaced	2015	4	PAR	310
22061	Binéfar	2007	1	PSOE	1617
22061	Binéfar	2007	2	PP	1299
22061	Binéfar	2007	3	PAR	634
22061	Binéfar	2007	4	CHA	277
22061	Binéfar	2007	10	IU-A	265
22061	Binéfar	2011	1	PP	1562
22061	Binéfar	2011	2	PSOE	1484
22061	Binéfar	2011	3	PAR	935
22061	Binéfar	2011	4	CHA	202
22061	Binéfar	2011	5	IU	227
22061	Binéfar	2015	1	PP	1339
22061	Binéfar	2015	2	PSOE	1258
22061	Binéfar	2015	4	PAR	444
22061	Binéfar	2015	7	CHA	134
22061	Binéfar	2015	15	CAMBIAR	924
22062	Bisaurri	2007	1	PSOE	68
22062	Bisaurri	2007	2	PP	54
22062	Bisaurri	2007	3	PAR	2
22062	Bisaurri	2007	4	CHA	9
22062	Bisaurri	2011	1	PP	63
22062	Bisaurri	2011	2	PSOE	21
22062	Bisaurri	2011	3	PAR	59
22062	Bisaurri	2015	1	PP	61
22062	Bisaurri	2015	2	PSOE	30
22062	Bisaurri	2015	4	PAR	6
22062	Bisaurri	2015	7	CHA	8
22063	Biscarrués	2007	1	PSOE	42
22063	Biscarrués	2007	2	PP	38
22063	Biscarrués	2007	3	PAR	27
22063	Biscarrués	2007	4	CHA	92
22063	Biscarrués	2011	1	PP	2
22063	Biscarrués	2011	2	PSOE	1
22063	Biscarrués	2011	3	PAR	79
22063	Biscarrués	2011	4	CHA	83
22063	Biscarrués	2015	1	PP	60
22063	Biscarrués	2015	2	PSOE	8
22063	Biscarrués	2015	7	CHA	80
22064	Blecua y Torres	2007	1	PSOE	85
22064	Blecua y Torres	2007	2	PP	33
22064	Blecua y Torres	2007	3	PAR	7
22064	Blecua y Torres	2007	4	CHA	35
22064	Blecua y Torres	2011	1	PP	38
22064	Blecua y Torres	2011	2	PSOE	93
22064	Blecua y Torres	2011	3	PAR	29
22064	Blecua y Torres	2015	1	PP	51
22064	Blecua y Torres	2015	2	PSOE	63
22066	Boltaña	2007	1	PSOE	251
22066	Boltaña	2007	2	PP	96
22066	Boltaña	2007	3	PAR	108
22066	Boltaña	2007	4	CHA	101
22066	Boltaña	2011	1	PP	118
22066	Boltaña	2011	2	PSOE	243
22066	Boltaña	2011	3	PAR	93
22066	Boltaña	2011	4	CHA	84
22066	Boltaña	2015	1	PP	158
22066	Boltaña	2015	2	PSOE	167
22066	Boltaña	2015	4	PAR	86
22066	Boltaña	2015	7	CHA	85
22067	Bonansa	2007	1	PSOE	47
22067	Bonansa	2007	2	PP	0
22067	Bonansa	2007	4	CHA	0
22067	Bonansa	2011	2	PSOE	36
22067	Bonansa	2011	3	PAR	4
22067	Bonansa	2015	1	PP	0
22067	Bonansa	2015	2	PSOE	48
22067	Bonansa	2015	4	PAR	0
22068	Borau	2007	1	PSOE	44
22068	Borau	2007	2	PP	1
22068	Borau	2007	3	PAR	6
22068	Borau	2011	1	PP	23
22068	Borau	2011	2	PSOE	33
22068	Borau	2015	1	PP	26
22068	Borau	2015	2	PSOE	41
22068	Borau	2015	4	PAR	5
22069	Broto	2007	1	PSOE	153
22069	Broto	2007	2	PP	114
22069	Broto	2007	3	PAR	53
22069	Broto	2007	4	CHA	58
22069	Broto	2011	1	PP	99
22069	Broto	2011	2	PSOE	148
22069	Broto	2011	3	PAR	58
22069	Broto	2011	4	CHA	62
22069	Broto	2011	5	IU	12
22069	Broto	2015	2	PSOE	171
22069	Broto	2015	4	PAR	57
22069	Broto	2015	7	CHA	71
22072	Caldearenas	2007	1	PSOE	62
22072	Caldearenas	2007	2	PP	26
22072	Caldearenas	2007	3	PAR	25
22072	Caldearenas	2007	4	CHA	34
22072	Caldearenas	2011	1	PP	32
22072	Caldearenas	2011	2	PSOE	52
22072	Caldearenas	2011	3	PAR	32
22072	Caldearenas	2011	4	CHA	25
22072	Caldearenas	2015	1	PP	34
22072	Caldearenas	2015	2	PSOE	33
22072	Caldearenas	2015	4	PAR	35
22072	Caldearenas	2015	7	CHA	32
22074	Campo	2007	1	PSOE	85
22074	Campo	2007	3	PAR	166
22074	Campo	2011	1	PP	18
22074	Campo	2011	2	PSOE	31
22074	Campo	2011	3	PAR	184
22074	Campo	2015	2	PSOE	38
22074	Campo	2015	4	PAR	154
22075	Camporrells	2007	1	PSOE	107
22075	Camporrells	2007	2	PP	23
22075	Camporrells	2007	4	CHA	33
22075	Camporrells	2011	1	PP	19
22075	Camporrells	2011	2	PSOE	73
22075	Camporrells	2011	3	PAR	19
22075	Camporrells	2011	4	CHA	8
22075	Camporrells	2015	1	PP	20
22075	Camporrells	2015	2	PSOE	57
22075	Camporrells	2015	7	CHA	2
22076	Canal de Berdún	2007	1	PSOE	136
22076	Canal de Berdún	2007	3	PAR	165
22076	Canal de Berdún	2011	1	PP	37
22076	Canal de Berdún	2011	2	PSOE	116
22076	Canal de Berdún	2011	3	PAR	117
22076	Canal de Berdún	2015	1	PP	72
22076	Canal de Berdún	2015	2	PSOE	150
22077	Candasnos	2007	1	PSOE	215
22077	Candasnos	2007	2	PP	169
22077	Candasnos	2011	1	PP	175
22077	Candasnos	2011	2	PSOE	136
22077	Candasnos	2015	1	PP	140
22077	Candasnos	2015	2	PSOE	119
22078	Canfranc	2007	1	PSOE	212
22078	Canfranc	2007	2	PP	23
22078	Canfranc	2007	3	PAR	98
22078	Canfranc	2011	1	PP	41
22078	Canfranc	2011	2	PSOE	226
22078	Canfranc	2011	3	PAR	29
22078	Canfranc	2011	4	CHA	39
22078	Canfranc	2015	1	PP	37
22078	Canfranc	2015	2	PSOE	245
22078	Canfranc	2015	7	CHA	48
22079	Capdesaso	2007	1	PSOE	67
22079	Capdesaso	2007	2	PP	12
22079	Capdesaso	2007	3	PAR	14
22079	Capdesaso	2007	4	CHA	7
22079	Capdesaso	2011	1	PP	7
22079	Capdesaso	2011	2	PSOE	65
22079	Capdesaso	2011	3	PAR	37
22079	Capdesaso	2011	4	CHA	4
22079	Capdesaso	2015	1	PP	17
22079	Capdesaso	2015	2	PSOE	49
22079	Capdesaso	2015	4	PAR	25
22080	Capella	2007	1	PSOE	141
22080	Capella	2007	2	PP	8
22080	Capella	2007	3	PAR	104
22080	Capella	2011	2	PSOE	119
22080	Capella	2011	3	PAR	121
22080	Capella	2015	2	PSOE	83
22080	Capella	2015	4	PAR	145
22081	Casbas de Huesca	2007	1	PSOE	81
22081	Casbas de Huesca	2007	2	PP	133
22081	Casbas de Huesca	2011	1	PP	101
22081	Casbas de Huesca	2011	2	PSOE	35
22081	Casbas de Huesca	2011	3	PAR	86
22081	Casbas de Huesca	2015	1	PP	80
22081	Casbas de Huesca	2015	2	PSOE	34
22081	Casbas de Huesca	2015	4	PAR	96
22082	Castejón del Puente	2007	3	PAR	130
22082	Castejón del Puente	2007	20	AEI-CP	184
22082	Castejón del Puente	2011	1	PP	153
22082	Castejón del Puente	2011	2	PSOE	37
22082	Castejón del Puente	2011	3	PAR	81
22082	Castejón del Puente	2015	1	PP	125
22082	Castejón del Puente	2015	2	PSOE	41
22082	Castejón del Puente	2015	4	PAR	62
22083	Castejón de Monegros	2007	1	PSOE	179
22083	Castejón de Monegros	2007	2	PP	133
22083	Castejón de Monegros	2007	3	PAR	119
