Municipio código	Municipio nombre	Explotaciones	Porcentaje SAU régimen tenencia código	Porcentaje SAU régimen tenencia
22052	Belver de Cinca	12	3	Todo la SAU en aparcería u otro régimen de tenencia
22052	Belver de Cinca	19	4	Más del 50% de la SAU en propiedad
22052	Belver de Cinca	18	5	Más del 50% de la SAU en arrendamiento
22052	Belver de Cinca	4	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22052	Belver de Cinca	4	7	Ningún régimen superior al 50%
22053	Benabarre	12	0	Si no hay SAU
22053	Benabarre	76	1	Toda la SAU en propiedad
22053	Benabarre	29	2	Toda la SAU en arrendamiento
22053	Benabarre	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22053	Benabarre	22	4	Más del 50% de la SAU en propiedad
22053	Benabarre	14	5	Más del 50% de la SAU en arrendamiento
22053	Benabarre	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22053	Benabarre	3	7	Ningún régimen superior al 50%
22054	Benasque	15	1	Toda la SAU en propiedad
22054	Benasque	4	2	Toda la SAU en arrendamiento
22054	Benasque	11	3	Todo la SAU en aparcería u otro régimen de tenencia
22054	Benasque	1	4	Más del 50% de la SAU en propiedad
22054	Benasque	4	5	Más del 50% de la SAU en arrendamiento
22054	Benasque	4	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22054	Benasque	1	7	Ningún régimen superior al 50%
22055	Berbegal	1	0	Si no hay SAU
22055	Berbegal	48	1	Toda la SAU en propiedad
22055	Berbegal	11	2	Toda la SAU en arrendamiento
22055	Berbegal	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22055	Berbegal	12	4	Más del 50% de la SAU en propiedad
22055	Berbegal	11	5	Más del 50% de la SAU en arrendamiento
22055	Berbegal	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22055	Berbegal	1	7	Ningún régimen superior al 50%
22057	Bielsa	1	0	Si no hay SAU
22057	Bielsa	16	1	Toda la SAU en propiedad
22057	Bielsa	1	2	Toda la SAU en arrendamiento
22057	Bielsa	2	4	Más del 50% de la SAU en propiedad
22057	Bielsa	4	5	Más del 50% de la SAU en arrendamiento
22057	Bielsa	1	7	Ningún régimen superior al 50%
22058	Bierge	42	1	Toda la SAU en propiedad
22058	Bierge	34	2	Toda la SAU en arrendamiento
22058	Bierge	9	3	Todo la SAU en aparcería u otro régimen de tenencia
22058	Bierge	8	4	Más del 50% de la SAU en propiedad
22058	Bierge	15	5	Más del 50% de la SAU en arrendamiento
22058	Bierge	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22058	Bierge	1	7	Ningún régimen superior al 50%
22059	Biescas	3	0	Si no hay SAU
22059	Biescas	45	1	Toda la SAU en propiedad
22059	Biescas	6	2	Toda la SAU en arrendamiento
22059	Biescas	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22059	Biescas	9	4	Más del 50% de la SAU en propiedad
22059	Biescas	14	5	Más del 50% de la SAU en arrendamiento
22059	Biescas	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22059	Biescas	3	7	Ningún régimen superior al 50%
22060	Binaced	10	0	Si no hay SAU
22060	Binaced	142	1	Toda la SAU en propiedad
22060	Binaced	18	2	Toda la SAU en arrendamiento
22060	Binaced	11	3	Todo la SAU en aparcería u otro régimen de tenencia
22060	Binaced	45	4	Más del 50% de la SAU en propiedad
22060	Binaced	15	5	Más del 50% de la SAU en arrendamiento
22060	Binaced	26	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22060	Binaced	5	7	Ningún régimen superior al 50%
22061	Binéfar	6	0	Si no hay SAU
22061	Binéfar	131	1	Toda la SAU en propiedad
22061	Binéfar	14	2	Toda la SAU en arrendamiento
22061	Binéfar	5	3	Todo la SAU en aparcería u otro régimen de tenencia
22061	Binéfar	6	4	Más del 50% de la SAU en propiedad
22061	Binéfar	10	5	Más del 50% de la SAU en arrendamiento
22061	Binéfar	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22061	Binéfar	6	7	Ningún régimen superior al 50%
22062	Bisaurri	2	0	Si no hay SAU
22062	Bisaurri	20	1	Toda la SAU en propiedad
22062	Bisaurri	2	2	Toda la SAU en arrendamiento
22062	Bisaurri	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22062	Bisaurri	6	4	Más del 50% de la SAU en propiedad
22062	Bisaurri	8	5	Más del 50% de la SAU en arrendamiento
22062	Bisaurri	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22062	Bisaurri	3	7	Ningún régimen superior al 50%
22063	Biscarrués	1	0	Si no hay SAU
22063	Biscarrués	23	1	Toda la SAU en propiedad
22063	Biscarrués	3	2	Toda la SAU en arrendamiento
22063	Biscarrués	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22063	Biscarrués	13	4	Más del 50% de la SAU en propiedad
22063	Biscarrués	4	5	Más del 50% de la SAU en arrendamiento
22063	Biscarrués	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22064	Blecua y Torres	1	0	Si no hay SAU
22064	Blecua y Torres	26	1	Toda la SAU en propiedad
22064	Blecua y Torres	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22064	Blecua y Torres	2	4	Más del 50% de la SAU en propiedad
22064	Blecua y Torres	9	5	Más del 50% de la SAU en arrendamiento
22064	Blecua y Torres	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22064	Blecua y Torres	2	7	Ningún régimen superior al 50%
22066	Boltaña	2	0	Si no hay SAU
22066	Boltaña	19	1	Toda la SAU en propiedad
22066	Boltaña	11	2	Toda la SAU en arrendamiento
22066	Boltaña	4	4	Más del 50% de la SAU en propiedad
22066	Boltaña	8	5	Más del 50% de la SAU en arrendamiento
22066	Boltaña	2	7	Ningún régimen superior al 50%
22067	Bonansa	6	1	Toda la SAU en propiedad
22067	Bonansa	1	4	Más del 50% de la SAU en propiedad
22067	Bonansa	6	5	Más del 50% de la SAU en arrendamiento
22068	Borau	3	1	Toda la SAU en propiedad
22068	Borau	1	2	Toda la SAU en arrendamiento
22068	Borau	1	4	Más del 50% de la SAU en propiedad
22068	Borau	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22069	Broto	2	0	Si no hay SAU
22069	Broto	22	1	Toda la SAU en propiedad
22069	Broto	3	2	Toda la SAU en arrendamiento
22069	Broto	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22069	Broto	6	4	Más del 50% de la SAU en propiedad
22069	Broto	9	5	Más del 50% de la SAU en arrendamiento
22069	Broto	4	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22069	Broto	2	7	Ningún régimen superior al 50%
22072	Caldearenas	2	0	Si no hay SAU
22072	Caldearenas	28	1	Toda la SAU en propiedad
22072	Caldearenas	21	2	Toda la SAU en arrendamiento
22072	Caldearenas	3	4	Más del 50% de la SAU en propiedad
22072	Caldearenas	8	5	Más del 50% de la SAU en arrendamiento
22072	Caldearenas	2	7	Ningún régimen superior al 50%
22074	Campo	2	0	Si no hay SAU
22074	Campo	2	1	Toda la SAU en propiedad
22074	Campo	4	2	Toda la SAU en arrendamiento
22074	Campo	1	4	Más del 50% de la SAU en propiedad
22074	Campo	3	5	Más del 50% de la SAU en arrendamiento
22074	Campo	1	7	Ningún régimen superior al 50%
22075	Camporrells	3	0	Si no hay SAU
22075	Camporrells	28	1	Toda la SAU en propiedad
22075	Camporrells	6	2	Toda la SAU en arrendamiento
22075	Camporrells	3	4	Más del 50% de la SAU en propiedad
22075	Camporrells	3	5	Más del 50% de la SAU en arrendamiento
22075	Camporrells	3	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22075	Camporrells	2	7	Ningún régimen superior al 50%
22076	Canal de Berdún	1	0	Si no hay SAU
22076	Canal de Berdún	25	1	Toda la SAU en propiedad
22076	Canal de Berdún	24	2	Toda la SAU en arrendamiento
22076	Canal de Berdún	2	3	Todo la SAU en aparcería u otro régimen de tenencia
22076	Canal de Berdún	21	4	Más del 50% de la SAU en propiedad
22076	Canal de Berdún	19	5	Más del 50% de la SAU en arrendamiento
22076	Canal de Berdún	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22076	Canal de Berdún	9	7	Ningún régimen superior al 50%
22077	Candasnos	2	0	Si no hay SAU
22077	Candasnos	26	1	Toda la SAU en propiedad
22077	Candasnos	23	2	Toda la SAU en arrendamiento
22077	Candasnos	3	3	Todo la SAU en aparcería u otro régimen de tenencia
22077	Candasnos	17	4	Más del 50% de la SAU en propiedad
22077	Candasnos	22	5	Más del 50% de la SAU en arrendamiento
22077	Candasnos	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22077	Candasnos	7	7	Ningún régimen superior al 50%
22078	Canfranc	2	1	Toda la SAU en propiedad
22078	Canfranc	1	2	Toda la SAU en arrendamiento
22078	Canfranc	1	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22079	Capdesaso	9	1	Toda la SAU en propiedad
22079	Capdesaso	7	2	Toda la SAU en arrendamiento
22079	Capdesaso	1	4	Más del 50% de la SAU en propiedad
22079	Capdesaso	4	5	Más del 50% de la SAU en arrendamiento
22079	Capdesaso	2	7	Ningún régimen superior al 50%
22080	Capella	2	0	Si no hay SAU
22080	Capella	37	1	Toda la SAU en propiedad
22080	Capella	5	2	Toda la SAU en arrendamiento
22080	Capella	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22080	Capella	12	4	Más del 50% de la SAU en propiedad
22080	Capella	4	5	Más del 50% de la SAU en arrendamiento
22080	Capella	2	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22080	Capella	2	7	Ningún régimen superior al 50%
22081	Casbas de Huesca	43	1	Toda la SAU en propiedad
22081	Casbas de Huesca	15	2	Toda la SAU en arrendamiento
22081	Casbas de Huesca	1	3	Todo la SAU en aparcería u otro régimen de tenencia
22081	Casbas de Huesca	19	4	Más del 50% de la SAU en propiedad
22081	Casbas de Huesca	14	5	Más del 50% de la SAU en arrendamiento
22081	Casbas de Huesca	6	6	Más del 50% de la SAU en aparcería u otros regímenes de tenencia
22081	Casbas de Huesca	1	7	Ningún régimen superior al 50%
