Año	Municipio código	Municipio nombre	Total	VC Residencial	VC Almacén, estacionamiento	VC Comercial	VC Ocio, hostelería	VC Industrial	VC Cultural	VC Deportivo	VC Oficinas	VC Edificios singulares	VC Religioso	VC Espectáculos	VC Sin definir	VC Suelo vacante	VC Sanidad, benefic
2003	22081	Casbas de Huesca	3865	2157											1708		
2003	22082	Castejón del Puente	5756	2426											3330		
2003	22083	Castejón de Monegros	8074	4837											3237		
2003	22084	Castejón de Sos	11704	7521											4183		
2003	22085	Castelflorite	1652	1050											602		
2003	22086	Castiello de Jaca	12859	7238											5621		
2003	22087	Castigaleu	389	256											133		
2003	22088	Castillazuelo	1502	1135											367		
2003	22089	Castillonroy	5416	2975											2441		
2003	22090	Colungo	883	706											177		
2003	22094	Chalamera	1033	808											225		
2003	22095	Chía	1425	788											637		
2003	22096	Chimillas	3400	2200											1200		
2003	22099	Esplús	6618	4027											2591		
2003	22102	Estada	3642	992											2650		
2003	22103	Estadilla	15334	8730											6604		
2003	22105	Estopiñán del Castillo	6275	1158											5117		
2003	22106	Fago	516	365											151		
2003	22107	Fanlo	696	481											215		
2003	22109	Fiscal	5759	3666											2093		
2003	22110	Fonz	9069	7311											1758		
2003	22111	Foradada del Toscar	1847	869											978		
2003	22112	Fraga	230963	117362											113601		
2003	22113	Fueva (La)	22395	3037											19358		
2003	22114	Gistaín	949	725											224		
2003	22115	Grado (El)	21755	6083											15672		
2003	22116	Grañén	22667	14507											8160		
2003	22117	Graus	59038	34857											24181		
2003	22119	Gurrea de Gállego	18503	11788											6715		
2003	22122	Hoz de Jaca	4566	907											3659		
2003	22124	Huerto	4309	2252											2057		
2003	22125	Huesca	1387652	861146											526506		
2003	22126	Ibieca	1024	628											396		
2003	22127	Igriés	4654	2628											2026		
2003	22128	Ilche	1876	1149											727		
2003	22129	Isábena	4628	2384											2244		
2003	22130	Jaca	557566	387806											169760		
2003	22131	Jasa	1374	1010											364		
2003	22133	Labuerda	2795	1466											1329		
2003	22135	Laluenga	2612	1837											775		
2003	22136	Lalueza	10948	9113											1835		
2003	22137	Lanaja	14309	11659											2650		
2003	22139	Laperdiguera	714	453											261		
2003	22141	Lascellas-Ponzano	1908	1354											554		
2003	22142	Lascuarre	1298	1027											271		
2003	22143	Laspaúles	2566	1668											898		
2003	22144	Laspuña	2659	990											1669		
2003	22149	Loarre	4960	3160											1800		
2003	22150	Loporzano	7097	3358											3739		
2003	22151	Loscorrales	1442	776											666		
2003	22155	Monesma y Cajigar	366	249											117		
2003	22156	Monflorite-Lascasas	3929	1766											2163		
2003	22157	Montanuy	66552	1324											65228		
2003	22158	Monzón	224141	143148											80993		
2003	22160	Naval	9351	1593											7758		
2003	22162	Novales	1559	868											691		
2003	22163	Nueno	10687	7818											2869		
2003	22164	Olvena	708	416											292		
2003	22165	Ontiñena	5031	3736											1295		
2003	22167	Osso de Cinca	5221	3816											1405		
2003	22168	Palo	1116	393											723		
2003	22170	Panticosa	44142	29060											15082		
2003	22172	Peñalba	21101	3675											17426		
2003	22173	Peñas de Riglos (Las)	6241	4195											2046		
2003	22174	Peralta de Alcofea	6445	4458											1987		
2003	22175	Peralta de Calasanz	5600	3792											1808		
2003	22176	Peraltilla	1495	999											496		
2003	22177	Perarrúa	2313	1496											817		
2003	22178	Pertusa	2411	1420											991		
2003	22181	Piracés	554	393											161		
2003	22182	Plan	5217	1908											3309		
2003	22184	Poleñino	2347	1472											875		
2003	22186	Pozán de Vero	1734	1364											370		
2003	22187	Puebla de Castro (La)	16171	9956											6215		
2003	22188	Puente de Montañana	1443	806											637		
2003	22189	Puértolas	1654	948											706		
2003	22190	Pueyo de Araguás (El)	836	488											348		
2003	22193	Pueyo de Santa Cruz	2525	1836											689		
2003	22195	Quicena	1794	801											993		
2003	22197	Robres	10026	5528											4498		
2003	22199	Sabiñánigo	162084	88497											73587		
2003	22200	Sahún	16098	8331											7767		
2003	22201	Salas Altas	2299	1760											539		
2003	22202	Salas Bajas	1443	746											697		
2003	22203	Salillas	1363	815											548		
2003	22204	Sallent de Gállego	82989	48738											34251		
2003	22205	San Esteban de Litera	11545	8942											2603		
2003	22206	Sangarrén	3893	2058											1835		
2003	22207	San Juan de Plan	934	422											512		
2003	22208	Santa Cilia	1735	1228											507		
2003	22209	Santa Cruz de la Serós	2203	1367											836		
2003	22212	Santaliestra y San Quílez	956	513											443		
2003	22213	Sariñena	65085	36443											28642		
2003	22214	Secastilla	20303	961											19342		
2003	22215	Seira	4184	1272											2912		
2003	22217	Sena	8772	8184											588		
2003	22218	Senés de Alcubierre	855	452											403		
2003	22220	Sesa	2754	1866											888		
2003	22221	Sesué	2563	2173											390		
2003	22222	Siétamo	7831	4872											2959		
2003	22223	Sopeira	8754	1013											7741		
2003	22225	Tamarite de Litera	51075	35535											15540		
2003	22226	Tardienta	16489	6801											9688		
2003	22227	Tella-Sin	3661	1132											2529		
2003	22228	Tierz	1472	784											688		
2003	22229	Tolva	1682	1174											508		
2003	22230	Torla-Ordesa	9197	4795											4402		
2003	22232	Torralba de Aragón	2776	953											1823		
2003	22233	Torre la Ribera	909	437											472		
2003	22234	Torrente de Cinca	23621	6723											16898		
2003	22235	Torres de Alcanadre	1198	730											468		
2003	22236	Torres de Barbués	3363	2266											1097		
2003	22239	Tramaced	1245	557											688		
2003	22242	Valfarta	2017	1293											724		
2003	22243	Valle de Bardají	306	74											232		
2003	22244	Valle de Lierp	487	343											144		
2003	22245	Velilla de Cinca	6034	4479											1555		
2003	22246	Beranuy	1106	717											389		
2003	22247	Viacamp y Litera	19474	99											19375		
2003	22248	Vicién	1358	850											508		
2003	22249	Villanova	3858	2373											1485		
2003	22250	Villanúa	43115	30766											12349		
2003	22251	Villanueva de Sigena	6617	5584											1033		
2003	22252	Yebra de Basa	1145	890											255		
2003	22253	Yésero	1058	774											284		
2003	22254	Zaidín	15400	9519											5881		
2003	22901	Valle de Hecho	13300	8601											4699		
2003	22902	Puente la Reina de Jaca	4231	2733											1498		
2003	22903	San Miguel del Cinca	6893	4926											1967		
2003	22904	Sotonera (La)	13103	8278											4825		
2003	22905	Lupiñén-Ortilla	10734	3118											7616		
2003	22906	Santa María de Dulcis	1391	1136											255		
2003	22907	Aínsa-Sobrarbe	52665	18497											34168		
2003	22908	Hoz y Costeán	1671	1156											515		
2003	22909	Vencillón	3319	2451											868		
2003	44001	Ababuj	954	607											347		
2003	44002	Abejuela	882	688											194		
2003	44003	Aguatón	234	117											117		
2003	44004	Aguaviva	12747	7875											4872		
2003	44005	Aguilar del Alfambra	1015	665											350		
2003	44006	Alacón	4685	3809											876		
2003	44007	Alba	2825	2242											583		
2003	44008	Albalate del Arzobispo	28676	20834											7842		
2003	44009	Albarracín	22208	11157											11051		
2003	44010	Albentosa	6214	3892											2322		
2003	44011	Alcaine	929	779											150		
2003	44012	Alcalá de la Selva	29601	20791											8810		
2003	44013	Alcañiz	189271	123825											65446		
2003	44014	Alcorisa	48522	36064											12458		
2003	44016	Alfambra	7035	4988											2047		
2003	44017	Aliaga	6592	4936											1656		
2003	44018	Almohaja	375	348											27		
2003	44019	Alobras	1132	866											266		
2003	44020	Alpeñés	375	289											86		
2003	44021	Allepuz	1380	1231											149		
2003	44022	Alloza	9121	7768											1353		
2003	44023	Allueva	222	168											54		
2003	44024	Anadón	507	334											173		
2003	44025	Andorra	138507	70806											67701		
2003	44026	Arcos de las Salinas	3691	3122											569		
2003	44027	Arens de Lledó	2122	1906											216		
2003	44028	Argente	2108	1649											459		
2003	44029	Ariño	8990	6935											2055		
2003	44031	Azaila	1850	1451											399		
2003	44032	Bádenas	312	230											82		
2003	44033	Báguena	5253	4359											894		
2003	44034	Bañón	1546	1492											54		
2003	44035	Barrachina	1669	1252											417		
2003	44036	Bea	325	249											76		
2003	44037	Beceite	6704	6049											655		
2003	44038	Belmonte de San José	2291	2074											217		
2003	44039	Bello	4281	3866											415		
2003	44040	Berge	1786	1465											321		
2003	44041	Bezas	927	783											144		
2003	44042	Blancas	2152	1656											496		
2003	44043	Blesa	1962	1723											239		
2003	44044	Bordón	1439	1187											252		
2003	44045	Bronchales	19032	15532											3500		
2003	44046	Bueña	603	377											226		
2003	44047	Burbáguena	4628	3442											1186		
2003	44048	Cabra de Mora	1389	1235											154		
2003	44049	Calaceite	12477	9343											3134		
2003	44050	Calamocha	87016	54338											32678		
2003	44051	Calanda	37396	27712											9684		
2003	44052	Calomarde	1313	1223											90		
2003	44053	Camañas	1048	683											365		
2003	44054	Camarena de la Sierra	2918	2366											552		
2003	44055	Camarillas	2001	1460											541		
2003	44056	Caminreal	9913	8622											1291		
2003	44059	Cantavieja	9210	5430											3780		
2003	44060	Cañada de Benatanduz	736	459											277		
2003	44061	Cañada de Verich (La)	774	625											149		
2003	44062	Cañada Vellida	592	415											177		
2003	44063	Cañizar del Olivar	1485	1096											389		
2003	44064	Cascante del Río	1572	1343											229		
2003	44065	Castejón de Tornos	902	869											33		
2003	44066	Castel de Cabra	2521	1820											701		
2003	44067	Castelnou	2217	1165											1052		
2003	44068	Castelserás	9421	6235											3186		
2003	44070	Castellar (El)	1269	1071											198		
2003	44071	Castellote	11389	7985											3404		
2003	44074	Cedrillas	4687	3652											1035		
2003	44075	Celadas	3475	2765											710		
2003	44076	Cella	37037	24403											12634		
2003	44077	Cerollera (La)	674	469											205		
2003	44080	Codoñera (La)	4187	3689											498		
2003	44082	Corbalán	877	718											159		
2003	44084	Cortes de Aragón	1028	826											202		
2003	44085	Cosa	1173	1108											65		
2003	44086	Cretas	6838	6013											825		
2003	44087	Crivillén	1500	1225											275		
2003	44088	Cuba (La)	662	437											225		
2003	44089	Cubla	1238	1027											211		
2003	44090	Cucalón	1394	1172											222		
2003	44092	Cuervo (El)	1784	1421											363		
2003	44093	Cuevas de Almudén	1044	691											353		
2003	44094	Cuevas Labradas	1290	1073											217		
2003	44096	Ejulve	2980	2038											942		
2003	44097	Escorihuela	1561	1282											279		
2003	44099	Escucha	11962	6517											5445		
2003	44100	Estercuel	4304	3529											775		
2003	44101	Ferreruela de Huerva	943	654											289		
2003	44102	Fonfría	376	294											82		
2003	44103	Formiche Alto	2645	2277											368		
2003	44105	Fórnoles	1807	1617											190		
2003	44106	Fortanete	2751	1986											765		
2003	44107	Foz-Calanda	3862	2706											1156		
2003	44108	Fresneda (La)	7486	6598											888		
2003	44109	Frías de Albarracín	1932	1700											232		
2003	44110	Fuenferrada	669	463											206		
2003	44111	Fuentes Calientes	1413	1107											306		
2003	44112	Fuentes Claras	6286	5718											568		
2003	44113	Fuentes de Rubielos	1482	1281											201		
2003	44114	Fuentespalda	3741	3063											678		
2003	44115	Galve	1185	887											298		
2003	44116	Gargallo	1921	1545											376		
2003	44117	Gea de Albarracín	5070	4110											960		
2003	44118	Ginebrosa (La)	3779	2262											1517		
2003	44119	Griegos	2161	1988											173		
2003	44120	Guadalaviar	3510	1844											1666		
2003	44121	Gúdar	1002	716											286		
2003	44122	Híjar	22526	17700											4826		
2003	44123	Hinojosa de Jarque	1446	1091											355		
2003	44124	Hoz de la Vieja (La)	1301	1081											220		
2003	44125	Huesa del Común	1456	1184											272		
2003	44126	Iglesuela del Cid (La)	5071	3661											1410		
2003	44127	Jabaloyas	1470	1231											239		
2003	44128	Jarque de la Val	1281	899											382		
2003	44129	Jatiel	874	764											110		
2003	44130	Jorcas	632	482											150		
2003	44131	Josa	633	537											96		
2003	44132	Lagueruela	819	647											172		
2003	44133	Lanzuela	433	298											135		
2003	44135	Libros	1740	1318											422		
2003	44136	Lidón	1076	645											431		
2003	44137	Linares de Mora	2863	2613											250		
2003	44138	Loscos	1984	1414											570		
2003	44141	Lledó	1689	1432											257		
2003	44142	Maicas	396	338											58		
2003	44143	Manzanera	11514	7637											3877		
2003	44144	Martín del Río	4831	3755											1076		
2003	44145	Mas de las Matas	25628	18393											7235		
2003	44146	Mata de los Olmos (La)	2655	1827											828		
2003	44147	Mazaleón	6668	5398											1270		
2003	44148	Mezquita de Jarque	1214	887											327		
2003	44149	Mirambel	2677	1775											902		
2003	44150	Miravete de la Sierra	720	635											85		
2003	44151	Molinos	3689	2571											1118		
2003	44152	Monforte de Moyuela	1027	703											324		
2003	44153	Monreal del Campo	36391	25789											10602		
2003	44154	Monroyo	3532	2586											946		
2003	44155	Montalbán	15518	11364											4154		
2003	44156	Monteagudo del Castillo	971	807											164		
2003	44157	Monterde de Albarracín	1268	1143											125		
2003	44158	Mora de Rubielos	19269	13224											6045		
2003	44159	Moscardón	997	807											190		
2003	44160	Mosqueruela	8679	6627											2052		
2003	44161	Muniesa	11086	9110											1976		
2003	44163	Noguera de Albarracín	1835	1609											226		
2003	44164	Nogueras	516	371											145		
2003	44165	Nogueruelas	2638	2313											325		
2003	44167	Obón	1199	1099											100		
2003	44168	Odón	2633	2398											235		
2003	44169	Ojos Negros	8165	5989											2176		
2003	44171	Olba	3834	3481											353		
2003	44172	Oliete	6685	6224											461		
2003	44173	Olmos (Los)	1672	1279											393		
2003	44174	Orihuela del Tremedal	7107	4871											2236		
2003	44175	Orrios	1804	1261											543		
2003	44176	Palomar de Arroyos	1698	1296											402		
2003	44177	Pancrudo	2064	1427											637		
2003	44178	Parras de Castellote (Las)	1458	1099											359		
2003	44179	Peñarroya de Tastavins	3924	3297											627		
2003	44180	Peracense	879	798											81		
2003	44181	Peralejos	939	764											175		
2003	44182	Perales del Alfambra	3714	2659											1055		
2003	44183	Pitarque	917	714											203		
2003	44184	Plou	635	474											161		
2003	44185	Pobo (El)	1760	1561											199		
2003	44187	Portellada (La)	3179	2537											642		
2003	44189	Pozondón	1549	1303											246		
2003	44190	Pozuel del Campo	1202	939											263		
2003	44191	Puebla de Híjar (La)	14809	10731											4078		
2003	44192	Puebla de Valverde (La)	5975	3745											2230		
2003	44193	Puertomingalvo	2040	1674											366		
2003	44194	Ráfales	2148	1637											511		
2003	44195	Rillo	1157	870											287		
2003	44196	Riodeva	1705	1287											418		
2003	44197	Ródenas	1177	1074											103		
2003	44198	Royuela	3033	2670											363		
2003	44199	Rubiales	499	365											134		
2003	44200	Rubielos de la Cérida	416	260											156		
2003	44201	Rubielos de Mora	13365	9178											4187		
2003	44203	Salcedillo	170	114											56		
2003	44204	Saldón	828	755											73		
2003	44205	Samper de Calanda	11446	9467											1979		
2003	44206	San Agustín	2477	2212											265		
2003	44207	San Martín del Río	3121	2784											337		
2003	44208	Santa Cruz de Nogueras	364	252											112		
2003	44209	Santa Eulalia	19334	13846											5488		
2003	44210	Sarrión	17694	12796											4898		
2003	44211	Segura de los Baños	1023	800											223		
2003	44212	Seno	917	717											200		
2003	44213	Singra	1233	812											421		
2003	44215	Terriente	2040	1683											357		
2003	44216	Teruel	796878	478066											318812		
2003	44217	Toril y Masegoso	473	419											54		
2003	44218	Tormón	560	432											128		
2003	44219	Tornos	3131	2890											241		
2003	44220	Torralba de los Sisones	2609	1852											757		
2003	44221	Torrecilla de Alcañiz	4229	2758											1471		
2003	44222	Torrecilla del Rebollar	1803	1357											446		
2003	44223	Torre de Arcas	909	728											181		
2003	44224	Torre de las Arcas	576	416											160		
2003	44225	Torre del Compte	3427	2899											528		
2003	44226	Torrelacárcel	4254	3066											1188		
2003	44227	Torre los Negros	1202	887											315		
2003	44228	Torremocha de Jiloca	1670	1221											449		
2003	44229	Torres de Albarracín	2454	2239											215		
2003	44230	Torrevelilla	2002	1422											580		
2003	44231	Torrijas	2080	1619											461		
2003	44232	Torrijo del Campo	5314	4836											478		
2003	44234	Tramacastiel	1369	908											461		
2003	44235	Tramacastilla	1800	1585											215		
2003	44236	Tronchón	1186	925											261		
2003	44237	Urrea de Gaén	6112	5128											984		
2003	44238	Utrillas	16663	10367											6296		
2003	44239	Valacloche	535	435											100		
2003	44240	Valbona	2887	2259											628		
2003	44241	Valdealgorfa	9553	5154											4399		
2003	44243	Valdecuenca	638	487											151		
2003	44244	Valdelinares	1090	940											150		
2003	44245	Valdeltormo	5565	4393											1172		
2003	44246	Valderrobres	39523	27151											12372		
2003	44247	Valjunquera	5084	4605											479		
2003	44249	Vallecillo (El)	614	592											22		
2003	44250	Veguillas de la Sierra	433	345											88		
2003	44251	Villafranca del Campo	3479	2708											771		
2003	44252	Villahermosa del Campo	822	666											156		
2003	44256	Villanueva del Rebollar de la Sierra	674	406											268		
2003	44257	Villar del Cobo	1860	1673											187		
2003	44258	Villar del Salz	972	910											62		
2003	44260	Villarluengo	2243	1508											735		
2003	44261	Villarquemado	12887	9761											3126		
2003	44262	Villarroya de los Pinares	1986	1697											289		
2003	44263	Villastar	3118	2300											818		
2003	44264	Villel	3857	2944											913		
2003	44265	Vinaceite	2320	2046											274		
2003	44266	Visiedo	1895	1403											492		
2003	44267	Vivel del Río Martín	1840	1388											452		
2003	44268	Zoma (La)	245	150											95		
2003	50001	Abanto	1372	890											482		
2003	50002	Acered	1739	1258											481		
2003	50003	Agón	1993	1547											446		
2003	50004	Aguarón	9440	6506											2934		
2003	50005	Aguilón	2559	2214											345		
2003	50006	Ainzón	11372	8073											3299		
2003	50007	Aladrén	570	249											321		
2003	50008	Alagón	131390	74554											56836		
2003	50009	Alarba	1344	1043											301		
2003	50010	Alberite de San Juan	558	407											151		
2003	50011	Albeta	1479	906											573		
2003	50012	Alborge	1679	1306											373		
2003	50013	Alcalá de Ebro	2798	2119											679		
2003	50014	Alcalá de Moncayo	1372	967											405		
2003	50015	Alconchel de Ariza	2249	1439											810		
2003	50016	Aldehuela de Liestos	704	553											151		
2003	50017	Alfajarín	63540	34608											28932		
2003	50018	Alfamén	15359	8502											6857		
2003	50019	Alforque	1652	1296											356		
2003	50020	Alhama de Aragón	19555	9565											9990		
2003	50021	Almochuel	451	229											222		
2003	50022	Almolda (La)	32755	6500											26255		
2003	50023	Almonacid de la Cuba	1866	1539											327		
2003	50024	Almonacid de la Sierra	9038	5710											3328		
2003	50025	Almunia de Doña Godina (La)	95705	57271											38434		
2003	50026	Alpartir	5099	3620											1479		
2003	50027	Ambel	2687	2154											533		
2003	50028	Anento	565	155											410		
2003	50029	Aniñón	8082	6945											1137		
2003	50030	Añón de Moncayo	5659	4684											975		
2003	50031	Aranda de Moncayo	3639	2684											955		
2003	50032	Arándiga	4731	4148											583		
2003	50033	Ardisa	1922	680											1242		
2003	50034	Ariza	18140	10098											8042		
2003	50035	Artieda	810	645											165		
2003	50036	Asín	772	448											324		
2003	50037	Atea	3046	2589											457		
2003	50038	Ateca	23252	17788											5464		
2003	50039	Azuara	9282	7746											1536		
2003	50040	Badules	1293	960											333		
2003	50041	Bagüés	361	243											118		
2003	50042	Balconchán	289	151											138		
2003	50043	Bárboles	3862	2899											963		
2003	50044	Bardallur	2787	2134											653		
2003	50045	Belchite	18172	13846											4326		
2003	50046	Belmonte de Gracián	2557	1866											691		
2003	50047	Berdejo	527	343											184		
2003	50048	Berrueco	405	143											262		
2003	50050	Bijuesca	1198	752											446		
2003	50051	Biota	11151	8332											2819		
2003	50052	Bisimbre	3326	1064											2262		
2003	50053	Boquiñeni	12181	6590											5591		
2003	50054	Bordalba	1082	625											457		
2003	50055	Borja	56592	38213											18379		
2003	50056	Botorrita	6074	4926											1148		
2003	50057	Brea de Aragón	25993	13875											12118		
2003	50058	Bubierca	1107	584											523		
2003	50059	Bujaraloz	22692	10237											12455		
2003	50060	Bulbuente	2422	1839											583		
2003	50061	Bureta	2527	2039											488		
2003	50062	Burgo de Ebro (El)	118711	57825											60886		
2003	50063	Buste (El)	1419	1197											222		
2003	50064	Cabañas de Ebro	6985	3584											3401		
2003	50065	Cabolafuente	1409	884											525		
2003	50066	Cadrete	58476	28335											30141		
2003	50067	Calatayud	390893	228886											162007		
2003	50068	Calatorao	35518	24070											11448		
2003	50069	Calcena	619	345											274		
2003	50070	Calmarza	1427	1204											223		
2003	50071	Campillo de Aragón	2080	1555											525		
2003	50072	Carenas	8466	4098											4368		
2003	50073	Cariñena	41804	25313											16491		
2003	50074	Caspe	151026	84532											66494		
2003	50075	Castejón de Alarba	912	535											377		
2003	50076	Castejón de las Armas	1020	653											367		
2003	50077	Castejón de Valdejasa	2297	1263											1034		
2003	50078	Castiliscar	4463	2854											1609		
2003	50079	Cervera de la Cañada	3246	2468											778		
2003	50080	Cerveruela	285	127											158		
2003	50081	Cetina	11888	9535											2353		
2003	50082	Cimballa	1784	1176											608		
2003	50083	Cinco Olivas	2050	1526											524		
2003	50084	Clarés de Ribota	839	523											316		
2003	50085	Codo	3015	2589											426		
2003	50086	Codos	3029	2165											864		
2003	50087	Contamina	451	286											165		
2003	50088	Cosuenda	5264	3587											1677		
2003	50089	Cuarte de Huerva	126415	34615											91800		
2003	50090	Cubel	2369	1807											562		
2003	50091	Cuerlas (Las)	1076	637											439		
2003	50092	Chiprana	8576	4260											4316		
2003	50093	Chodes	1596	1361											235		
2003	50094	Daroca	66655	32809											33846		
2003	50095	Ejea de los Caballeros	262047	156589											105458		
2003	50096	Embid de Ariza	919	534											385		
2003	50098	Encinacorba	2947	2219											728		
2003	50099	Épila	69602	37355											32247		
2003	50100	Erla	5352	3463											1889		
2003	50101	Escatrón	32503	14771											17732		
2003	50102	Fabara	16997	11069											5928		
2003	50104	Farlete	4798	3967											831		
2003	50105	Fayón	8184	3480											4704		
2003	50106	Fayos (Los)	1451	1221											230		
2003	50107	Figueruelas	115391	9927											105464		
2003	50108	Fombuena	221	187											34		
2003	50109	Frago (El)	847	627											220		
2003	50110	Frasno (El)	7700	6576											1124		
2003	50111	Fréscano	2013	1498											515		
2003	50113	Fuendejalón	8588	6125											2463		
2003	50114	Fuendetodos	2312	1941											371		
2003	50115	Fuentes de Ebro	43924	28922											15002		
2003	50116	Fuentes de Jiloca	3286	1941											1345		
2003	50117	Gallocanta	2119	1620											499		
2003	50118	Gallur	45020	23846											21174		
2003	50119	Gelsa	14951	9513											5438		
2003	50120	Godojos	1197	851											346		
2003	50121	Gotor	2245	2055											190		
2003	50122	Grisel	962	754											208		
2003	50123	Grisén	6542	5040											1502		
2003	50124	Herrera de los Navarros	7325	5786											1539		
2003	50125	Ibdes	7307	5236											2071		
2003	50126	Illueca	37630	21083											16547		
2003	50128	Isuerre	627	512											115		
2003	50129	Jaraba	5494	3046											2448		
2003	50130	Jarque de Moncayo	6369	4411											1958		
2003	50131	Jaulín	3022	2150											872		
2003	50132	Joyosa (La)	15881	6732											9149		
2003	50133	Lagata	1239	914											325		
2003	50134	Langa del Castillo	2407	1936											471		
2003	50135	Layana	1422	903											519		
2003	50136	Lécera	9132	6521											2611		
2003	50137	Leciñena	25393	15770											9623		
2003	50138	Lechón	510	328											182		
2003	50139	Letux	4286	3943											343		
2003	50140	Litago	1583	1238											345		
2003	50141	Lituénigo	1182	829											353		
2003	50142	Lobera de Onsella	871	599											272		
2003	50143	Longares	8655	6023											2632		
2003	50144	Longás	405	267											138		
2003	50146	Lucena de Jalón	3565	2231											1334		
2003	50147	Luceni	16912	8468											8444		
2003	50148	Luesia	3498	2739											759		
2003	50149	Luesma	511	484											27		
2003	50150	Lumpiaque	10517	8211											2306		
2003	50151	Luna	11821	9915											1906		
2003	50152	Maella	26198	19304											6894		
2003	50153	Magallón	18313	11234											7079		
2003	50154	Mainar	1544	1256											288		
2003	50155	Malanquilla	1156	754											402		
2003	50156	Maleján	1987	1754											233		
2003	50157	Malón	4802	3559											1243		
2003	50159	Maluenda	10572	8430											2142		
2003	50160	Mallén	49587	25888											23699		
2003	50161	Manchones	1354	930											424		
2003	50162	Mara	2907	2004											903		
2003	50163	María de Huerva	41626	17564											24062		
2003	50164	Mediana de Aragón	2552	2137											415		
2003	50165	Mequinenza	41295	19958											21337		
2003	50166	Mesones de Isuela	3344	2701											643		
2003	50167	Mezalocha	1474	1097											377		
2003	50168	Mianos	457	423											34		
2003	50169	Miedes de Aragón	4219	2703											1516		
2003	50170	Monegrillo	4813	3469											1344		
2003	50171	Moneva	1355	1158											197		
2003	50172	Monreal de Ariza	2674	1873											801		
2003	50173	Monterde	2650	1936											714		
2003	50174	Montón	986	712											274		
2003	50175	Morata de Jalón	22126	14615											7511		
2003	50176	Morata de Jiloca	3639	2406											1233		
2003	50177	Morés	6686	3680											3006		
2003	50178	Moros	2678	1830											848		
2003	50179	Moyuela	4514	3774											740		
2003	50180	Mozota	1357	1200											157		
2003	50181	Muel	27395	14588											12807		
2003	50182	Muela (La)	53282	27559											25723		
2003	50183	Munébrega	3444	2352											1092		
2003	50184	Murero	1252	963											289		
2003	50185	Murillo de Gállego	2931	2303											628		
2003	50186	Navardún	885	566											319		
2003	50187	Nigüella	990	868											122		
