Municipio código	Municipio nombre	Año de construcción	Número hogares
22028	Ansó	2001	2
22029	Antillón	 Antes de 1900	36
22029	Antillón	1900 - 1920	2
22029	Antillón	1921 - 1940	1
22029	Antillón	1971 - 1980	3
22029	Antillón	1981 - 1990	4
22029	Antillón	1993	1
22029	Antillón	1997	1
22032	Aragüés del Puerto	 Antes de 1900	41
22032	Aragüés del Puerto	1900 - 1920	3
22032	Aragüés del Puerto	1921 - 1940	3
22032	Aragüés del Puerto	1941 - 1950	3
22032	Aragüés del Puerto	1961 - 1970	1
22032	Aragüés del Puerto	1971 - 1980	3
22032	Aragüés del Puerto	1981 - 1990	4
22032	Aragüés del Puerto	1992	1
22032	Aragüés del Puerto	1994	1
22032	Aragüés del Puerto	1995	1
22032	Aragüés del Puerto	1996	1
22035	Arén	  No aplicable	4
22035	Arén	 Antes de 1900	55
22035	Arén	1900 - 1920	28
22035	Arén	1921 - 1940	33
22035	Arén	1941 - 1950	11
22035	Arén	1951 - 1960	4
22035	Arén	1961 - 1970	4
22035	Arén	1981 - 1990	3
22035	Arén	1992	1
22036	Argavieso	 Antes de 1900	3
22036	Argavieso	1941 - 1950	1
22036	Argavieso	1951 - 1960	1
22036	Argavieso	1961 - 1970	4
22036	Argavieso	1971 - 1980	12
22036	Argavieso	1981 - 1990	6
22036	Argavieso	1992	1
22036	Argavieso	1993	1
22036	Argavieso	1994	1
22036	Argavieso	1995	2
22036	Argavieso	1996	4
22036	Argavieso	1997	1
22036	Argavieso	1998	1
22036	Argavieso	2000	1
22036	Argavieso	2001	1
22037	Arguis	 Antes de 1900	13
22037	Arguis	1961 - 1970	4
22037	Arguis	1981 - 1990	4
22037	Arguis	1993	1
22037	Arguis	1994	4
22037	Arguis	1996	1
22037	Arguis	2000	1
22037	Arguis	2001	1
22039	Ayerbe	  No aplicable	2
22039	Ayerbe	 Antes de 1900	171
22039	Ayerbe	1900 - 1920	22
22039	Ayerbe	1921 - 1940	25
22039	Ayerbe	1941 - 1950	18
22039	Ayerbe	1951 - 1960	44
22039	Ayerbe	1961 - 1970	15
22039	Ayerbe	1971 - 1980	42
22039	Ayerbe	1981 - 1990	76
22039	Ayerbe	1992	6
22039	Ayerbe	1995	3
22039	Ayerbe	1996	5
22039	Ayerbe	1997	1
22039	Ayerbe	1998	3
22039	Ayerbe	1999	4
22039	Ayerbe	2000	2
22039	Ayerbe	2001	8
22040	Azanuy-Alins	 Antes de 1900	1
22040	Azanuy-Alins	1921 - 1940	1
22040	Azanuy-Alins	1941 - 1950	27
22040	Azanuy-Alins	1951 - 1960	23
22040	Azanuy-Alins	1961 - 1970	21
22040	Azanuy-Alins	1971 - 1980	2
22040	Azanuy-Alins	1997	1
22041	Azara	  No aplicable	1
22041	Azara	 Antes de 1900	40
22041	Azara	1900 - 1920	5
22041	Azara	1921 - 1940	3
22041	Azara	1941 - 1950	1
22041	Azara	1961 - 1970	1
22041	Azara	1971 - 1980	7
22041	Azara	1981 - 1990	9
22041	Azara	1992	1
22041	Azara	1994	2
22041	Azara	2000	1
22042	Azlor	 Antes de 1900	50
22042	Azlor	1951 - 1960	1
22042	Azlor	1961 - 1970	4
22042	Azlor	1971 - 1980	2
22042	Azlor	1995	1
22042	Azlor	1998	1
22043	Baells	 Antes de 1900	52
22043	Baells	1900 - 1920	2
22043	Baells	1921 - 1940	1
22043	Baells	1951 - 1960	4
22043	Baells	1961 - 1970	1
22043	Baells	1981 - 1990	1
22044	Bailo	  No aplicable	2
22044	Bailo	 Antes de 1900	76
22044	Bailo	1900 - 1920	9
22044	Bailo	1951 - 1960	2
22044	Bailo	1961 - 1970	1
22044	Bailo	1971 - 1980	3
22044	Bailo	1981 - 1990	11
22044	Bailo	1992	1
22044	Bailo	1994	1
22044	Bailo	1998	1
22044	Bailo	1999	2
22044	Bailo	2000	3
22045	Baldellou	 Antes de 1900	51
22045	Baldellou	1951 - 1960	1
22045	Baldellou	1961 - 1970	1
22045	Baldellou	1971 - 1980	1
22045	Baldellou	1981 - 1990	1
22046	Ballobar	  No aplicable	6
22046	Ballobar	 Antes de 1900	86
22046	Ballobar	1900 - 1920	11
22046	Ballobar	1921 - 1940	39
22046	Ballobar	1941 - 1950	32
22046	Ballobar	1951 - 1960	48
22046	Ballobar	1961 - 1970	23
22046	Ballobar	1971 - 1980	24
22046	Ballobar	1981 - 1990	38
22046	Ballobar	1992	3
22046	Ballobar	1993	4
22046	Ballobar	1994	4
22046	Ballobar	1995	1
22046	Ballobar	1996	5
22046	Ballobar	1998	1
22046	Ballobar	1999	3
22046	Ballobar	2000	1
22047	Banastás	 Antes de 1900	2
22047	Banastás	1900 - 1920	2
22047	Banastás	1921 - 1940	4
22047	Banastás	1941 - 1950	4
22047	Banastás	1951 - 1960	5
22047	Banastás	1961 - 1970	1
22047	Banastás	1971 - 1980	2
22047	Banastás	1981 - 1990	14
22047	Banastás	1993	2
22047	Banastás	1994	3
22047	Banastás	1995	9
22047	Banastás	1997	3
22047	Banastás	1998	3
22047	Banastás	1999	2
22047	Banastás	2000	3
22047	Banastás	2001	1
22048	Barbastro	  No aplicable	17
22048	Barbastro	 Antes de 1900	188
22048	Barbastro	1900 - 1920	209
22048	Barbastro	1921 - 1940	295
22048	Barbastro	1941 - 1950	190
22048	Barbastro	1951 - 1960	431
22048	Barbastro	1961 - 1970	724
22048	Barbastro	1971 - 1980	1373
22048	Barbastro	1981 - 1990	1004
22048	Barbastro	1991	65
22048	Barbastro	1992	98
22048	Barbastro	1993	111
22048	Barbastro	1994	105
22048	Barbastro	1995	99
22048	Barbastro	1996	87
22048	Barbastro	1997	64
22048	Barbastro	1998	66
22048	Barbastro	1999	100
22048	Barbastro	2000	37
22048	Barbastro	2001	48
22049	Barbués	 Antes de 1900	22
22049	Barbués	1900 - 1920	5
22049	Barbués	1921 - 1940	3
22049	Barbués	1951 - 1960	4
22049	Barbués	1961 - 1970	4
22050	Barbuñales	 Antes de 1900	28
22050	Barbuñales	1951 - 1960	1
22050	Barbuñales	1971 - 1980	1
22050	Barbuñales	1981 - 1990	17
22050	Barbuñales	1995	1
22050	Barbuñales	1997	2
22050	Barbuñales	1998	1
22051	Bárcabo	  No aplicable	1
22051	Bárcabo	 Antes de 1900	18
22051	Bárcabo	1900 - 1920	2
22051	Bárcabo	1921 - 1940	2
22051	Bárcabo	1951 - 1960	6
22051	Bárcabo	1971 - 1980	2
22051	Bárcabo	1981 - 1990	11
22051	Bárcabo	1993	2
22051	Bárcabo	1994	3
22052	Belver de Cinca	  No aplicable	3
22052	Belver de Cinca	 Antes de 1900	5
22052	Belver de Cinca	1900 - 1920	19
22052	Belver de Cinca	1921 - 1940	73
22052	Belver de Cinca	1941 - 1950	58
22052	Belver de Cinca	1951 - 1960	47
22052	Belver de Cinca	1961 - 1970	47
22052	Belver de Cinca	1971 - 1980	72
22052	Belver de Cinca	1981 - 1990	63
22052	Belver de Cinca	1991	13
22052	Belver de Cinca	1992	6
22052	Belver de Cinca	1993	8
22052	Belver de Cinca	1994	2
22052	Belver de Cinca	1995	11
22052	Belver de Cinca	1996	1
22052	Belver de Cinca	1998	3
22052	Belver de Cinca	1999	6
22052	Belver de Cinca	2000	7
22052	Belver de Cinca	2001	3
22053	Benabarre	  No aplicable	1
22053	Benabarre	 Antes de 1900	188
22053	Benabarre	1900 - 1920	16
22053	Benabarre	1921 - 1940	11
22053	Benabarre	1941 - 1950	6
22053	Benabarre	1951 - 1960	28
22053	Benabarre	1961 - 1970	57
22053	Benabarre	1971 - 1980	62
22053	Benabarre	1981 - 1990	15
22053	Benabarre	1991	1
22053	Benabarre	1992	5
22053	Benabarre	1993	6
22053	Benabarre	1994	1
22053	Benabarre	1995	1
22053	Benabarre	1996	1
22053	Benabarre	1997	6
22053	Benabarre	1999	6
22053	Benabarre	2000	2
22053	Benabarre	2001	2
22054	Benasque	  No aplicable	1
22054	Benasque	 Antes de 1900	196
22054	Benasque	1900 - 1920	20
22054	Benasque	1921 - 1940	31
22054	Benasque	1941 - 1950	1
22054	Benasque	1951 - 1960	37
22054	Benasque	1961 - 1970	34
22054	Benasque	1971 - 1980	65
22054	Benasque	1981 - 1990	94
22054	Benasque	1991	11
22054	Benasque	1992	2
22054	Benasque	1993	13
22054	Benasque	1994	35
22054	Benasque	1995	7
22054	Benasque	1996	13
22054	Benasque	1997	3
22054	Benasque	1998	30
22054	Benasque	1999	14
22054	Benasque	2000	17
22054	Benasque	2001	6
22055	Berbegal	  No aplicable	1
22055	Berbegal	 Antes de 1900	21
22055	Berbegal	1900 - 1920	1
22055	Berbegal	1941 - 1950	2
22055	Berbegal	1951 - 1960	11
22055	Berbegal	1961 - 1970	21
22055	Berbegal	1971 - 1980	42
22055	Berbegal	1981 - 1990	32
22055	Berbegal	1991	7
22055	Berbegal	1992	5
22055	Berbegal	1993	6
22055	Berbegal	1994	4
22055	Berbegal	1996	2
22055	Berbegal	1997	1
22055	Berbegal	1998	3
22055	Berbegal	1999	5
22055	Berbegal	2000	6
22055	Berbegal	2001	5
22057	Bielsa	 Antes de 1900	19
22057	Bielsa	1921 - 1940	6
22057	Bielsa	1941 - 1950	43
22057	Bielsa	1951 - 1960	31
22057	Bielsa	1961 - 1970	10
22057	Bielsa	1971 - 1980	20
22057	Bielsa	1981 - 1990	23
22057	Bielsa	1991	1
22057	Bielsa	1992	1
22057	Bielsa	1993	5
22057	Bielsa	1995	2
22057	Bielsa	1996	2
22057	Bielsa	1997	2
22057	Bielsa	1998	2
22057	Bielsa	1999	2
22057	Bielsa	2000	1
22057	Bielsa	2001	2
22058	Bierge	  No aplicable	1
22058	Bierge	 Antes de 1900	29
22058	Bierge	1900 - 1920	1
22058	Bierge	1941 - 1950	1
22058	Bierge	1951 - 1960	8
22058	Bierge	1971 - 1980	4
22058	Bierge	1981 - 1990	47
22058	Bierge	1991	1
22058	Bierge	1993	1
22058	Bierge	1994	2
22058	Bierge	1998	1
22059	Biescas	  No aplicable	9
22059	Biescas	 Antes de 1900	123
22059	Biescas	1900 - 1920	33
22059	Biescas	1921 - 1940	18
22059	Biescas	1941 - 1950	46
22059	Biescas	1951 - 1960	28
22059	Biescas	1961 - 1970	15
22059	Biescas	1971 - 1980	47
22059	Biescas	1981 - 1990	60
22059	Biescas	1991	15
22059	Biescas	1992	15
22059	Biescas	1993	19
22059	Biescas	1994	7
22059	Biescas	1995	5
22059	Biescas	1996	8
22059	Biescas	1997	10
22059	Biescas	1998	6
22059	Biescas	1999	6
22059	Biescas	2000	10
22059	Biescas	2001	7
22060	Binaced	  No aplicable	6
22060	Binaced	 Antes de 1900	37
22060	Binaced	1900 - 1920	27
22060	Binaced	1921 - 1940	33
22060	Binaced	1941 - 1950	45
22060	Binaced	1951 - 1960	41
22060	Binaced	1961 - 1970	60
22060	Binaced	1971 - 1980	88
22060	Binaced	1981 - 1990	100
22060	Binaced	1991	11
22060	Binaced	1992	10
22060	Binaced	1993	5
22060	Binaced	1994	2
22060	Binaced	1995	6
22060	Binaced	1996	14
22060	Binaced	1997	7
22060	Binaced	1998	2
22060	Binaced	1999	6
22060	Binaced	2000	9
22060	Binaced	2001	3
22061	Binéfar	  No aplicable	26
22061	Binéfar	 Antes de 1900	85
22061	Binéfar	1900 - 1920	73
22061	Binéfar	1921 - 1940	125
22061	Binéfar	1941 - 1950	188
22061	Binéfar	1951 - 1960	315
22061	Binéfar	1961 - 1970	589
22061	Binéfar	1971 - 1980	640
22061	Binéfar	1981 - 1990	393
22061	Binéfar	1991	81
22061	Binéfar	1992	81
22061	Binéfar	1993	47
22061	Binéfar	1994	44
22061	Binéfar	1995	42
22061	Binéfar	1996	48
22061	Binéfar	1997	28
22061	Binéfar	1998	48
22061	Binéfar	1999	47
22061	Binéfar	2000	31
22061	Binéfar	2001	17
22062	Bisaurri	 Antes de 1900	76
22062	Bisaurri	1921 - 1940	3
22062	Bisaurri	1971 - 1980	1
22062	Bisaurri	1981 - 1990	7
22062	Bisaurri	1995	1
22062	Bisaurri	1996	1
22062	Bisaurri	1998	1
22062	Bisaurri	2001	1
22063	Biscarrués	 Antes de 1900	32
22063	Biscarrués	1900 - 1920	5
22063	Biscarrués	1921 - 1940	5
22063	Biscarrués	1941 - 1950	1
22063	Biscarrués	1951 - 1960	5
22063	Biscarrués	1961 - 1970	3
22063	Biscarrués	1971 - 1980	9
22063	Biscarrués	1981 - 1990	8
22063	Biscarrués	1992	3
22063	Biscarrués	1993	1
22063	Biscarrués	1994	2
22063	Biscarrués	1996	3
22063	Biscarrués	1997	1
22063	Biscarrués	1998	1
22063	Biscarrués	2000	2
22063	Biscarrués	2001	2
22064	Blecua y Torres	 Antes de 1900	50
22064	Blecua y Torres	1921 - 1940	2
22064	Blecua y Torres	1951 - 1960	1
22064	Blecua y Torres	1971 - 1980	7
22064	Blecua y Torres	1981 - 1990	6
22064	Blecua y Torres	1993	2
22064	Blecua y Torres	1994	1
22064	Blecua y Torres	1996	1
22066	Boltaña	  No aplicable	1
22066	Boltaña	 Antes de 1900	143
22066	Boltaña	1900 - 1920	4
22066	Boltaña	1921 - 1940	1
22066	Boltaña	1941 - 1950	19
22066	Boltaña	1951 - 1960	18
22066	Boltaña	1961 - 1970	16
22066	Boltaña	1971 - 1980	45
22066	Boltaña	1981 - 1990	25
22066	Boltaña	1991	11
22066	Boltaña	1992	2
22066	Boltaña	1993	2
22066	Boltaña	1995	6
22066	Boltaña	1996	1
22066	Boltaña	1997	7
22066	Boltaña	1998	4
22066	Boltaña	1999	1
22066	Boltaña	2000	9
22066	Boltaña	2001	5
22067	Bonansa	 Antes de 1900	23
22067	Bonansa	1900 - 1920	1
22067	Bonansa	1921 - 1940	2
22067	Bonansa	1971 - 1980	3
22067	Bonansa	1981 - 1990	1
22068	Borau	 Antes de 1900	29
22068	Borau	1951 - 1960	2
22068	Borau	1981 - 1990	1
22068	Borau	1996	1
22069	Broto	  No aplicable	7
22069	Broto	 Antes de 1900	120
22069	Broto	1951 - 1960	9
22069	Broto	1961 - 1970	10
22069	Broto	1971 - 1980	11
22069	Broto	1981 - 1990	8
22069	Broto	1992	3
22069	Broto	1993	1
22069	Broto	1994	4
22069	Broto	1995	3
22069	Broto	1996	4
22069	Broto	1998	4
22069	Broto	1999	3
22069	Broto	2001	1
22072	Caldearenas	 Antes de 1900	69
22072	Caldearenas	1900 - 1920	4
22072	Caldearenas	1921 - 1940	5
22072	Caldearenas	1941 - 1950	2
22072	Caldearenas	1951 - 1960	3
22072	Caldearenas	1961 - 1970	3
22072	Caldearenas	1971 - 1980	5
22072	Caldearenas	1981 - 1990	6
22072	Caldearenas	1992	2
22072	Caldearenas	1994	1
22072	Caldearenas	2000	1
22072	Caldearenas	2001	1
22074	Campo	 Antes de 1900	62
22074	Campo	1900 - 1920	5
22074	Campo	1921 - 1940	7
22074	Campo	1951 - 1960	5
22074	Campo	1961 - 1970	2
22074	Campo	1971 - 1980	5
22074	Campo	1981 - 1990	26
22074	Campo	1991	2
22074	Campo	1992	1
22074	Campo	1993	1
22074	Campo	1994	2
22074	Campo	1996	3
22074	Campo	1999	4
22074	Campo	2000	3
22074	Campo	2001	1
22075	Camporrells	 Antes de 1900	66
22075	Camporrells	1921 - 1940	1
22075	Camporrells	1941 - 1950	5
22075	Camporrells	1951 - 1960	3
