Año	Municipio código	Municipio nombre	Contenedores de envases	Kg recogidos envases	Provincia codigo
2017	22089	Castillonroy	7	7391	22
2017	22090	Colungo	1	1466	22
2017	22094	Chalamera	1	1781	22
2017	22095	Chía	2	2832	22
2017	22096	Chimillas	5	11601	22
2017	22099	Esplús	11	13543	22
2017	22102	Estada	1	2347	22
2017	22103	Estadilla	2	9251	22
2017	22105	Estopiñán del Castillo	7	4731	22
2017	22106	Fago	1	688	22
2017	22107	Fanlo	1	2916	22
2017	22109	Fiscal	4	9212	22
2017	22110	Fonz	14	16196	22
2017	22111	Foradada del Toscar	7	6097	22
2017	22112	Fraga	68	246177	22
2017	22113	Fueva (La)	2	16652	22
2017	22114	Gistaín	1	3734	22
2017	22115	Grado (El)	2	4843	22
2017	22116	Grañén	54	41205	22
2017	22117	Graus	89	110911	22
2017	22119	Gurrea de Gállego	22	47310	22
2017	22122	Hoz de Jaca	3	2251	22
2017	22124	Huerto	9	5253	22
2017	22125	Huesca	464	1690385	22
2017	22126	Ibieca	1	4555	22
2017	22127	Igriés	7	22232	22
2017	22128	Ilche	1	2416	22
2017	22129	Isábena	11	8862	22
2017	22130	Jaca	74	341560	22
2017	22131	Jasa	4	3064	22
2017	22133	Labuerda	3	4306	22
2017	22135	Laluenga	2	2416	22
2017	22136	Lalueza	27	22247	22
2017	22137	Lanaja	16	28117	22
2017	22139	Laperdiguera	1	1053	22
2017	22141	Lascellas-Ponzano	2	1523	22
2017	22142	Lascuarre	4	4531	22
2017	22143	Laspaúles	11	8862	22
2017	22144	Laspuña	2	7468	22
2017	22149	Loarre	7	15351	22
2017	22150	Loporzano	5	24415	22
2017	22151	Loscorrales	1	4646	22
2017	22155	Monesma y Cajigar	1	2799	22
2017	22156	Monflorite-Lascasas	4	12399	22
2017	22157	Montanuy	31	7430	22
2017	22158	Monzón	57	214625	22
2017	22160	Naval	1	3023	22
2017	22162	Novales	2	8062	22
2017	22163	Nueno	7	18320	22
2017	22164	Olvena	1	515	22
2017	22165	Ontiñena	3	9237	22
2017	22167	Osso de Cinca	4	12024	22
2017	22168	Palo	1	654	22
2017	22170	Panticosa	37	24202	22
2017	22172	Peñalba	15	15714	22
2017	22173	Peñas de Riglos (Las)	12	11752	22
2017	22174	Peralta de Alcofea	2	6721	22
2017	22175	Peralta de Calasanz	8	5045	22
2017	22176	Peraltilla	1	2256	22
2017	22177	Perarrúa	3	3765	22
2017	22178	Pertusa	2	5238	22
2017	22181	Piracés	1	4692	22
2017	22182	Plan	3	8149	22
2017	22184	Poleñino	13	4774	22
2017	22186	Pozán de Vero	1	2336	22
2017	22187	Puebla de Castro (La)	7	12627	22
2017	22188	Puente de Montañana	5	3432	22
2017	22189	Puértolas	2	5805	22
2017	22190	Pueyo de Araguás (El)	1	4252	22
2017	22193	Pueyo de Santa Cruz	4	5593	22
2017	22195	Quicena	4	10445	22
2017	22197	Robres	13	12996	22
2017	22199	Sabiñánigo	163	292334	22
2017	22200	Sahún	10	10095	22
2017	22201	Salas Altas	2	3549	22
2017	22202	Salas Bajas	1	1935	22
2017	22203	Salillas	1	4464	22
2017	22204	Sallent de Gállego	70	45684	22
2017	22205	San Esteban de Litera	6	11020	22
2017	22206	Sangarrén	6	5071	22
2017	22207	San Juan de Plan	2	3925	22
2017	22208	Santa Cilia	6	6848	22
2017	22209	Santa Cruz de la Serós	5	5816	22
2017	22212	Santaliestra y San Quílez	3	3165	22
2017	22213	Sariñena	120	95657	22
2017	22214	Secastilla	5	4864	22
2017	22215	Seira	8	4831	22
2017	22217	Sena	12	11580	22
2017	22218	Senés de Alcubierre	2	1028	22
2017	22220	Sesa	2	8199	22
2017	22221	Sesué	5	3432	22
2017	22222	Siétamo	9	24176	22
2017	22223	Sopeira	5	3165	22
2017	22225	Tamarite de Litera	47	77606	22
2017	22226	Tardienta	37	22041	22
2017	22227	Tella-Sin	2	6623	22
2017	22228	Tierz	7	23233	22
2017	22229	Tolva	5	4464	22
2017	22230	Torla-Ordesa	8	8312	22
2017	22232	Torralba de Aragón	6	2444	22
2017	22233	Torre la Ribera	11	3432	22
2017	22234	Torrente de Cinca	8	19084	22
2017	22235	Torres de Alcanadre	2	1122	22
2017	22236	Torres de Barbués	12	6418	22
2017	22239	Tramaced	1	5147	22
2017	22242	Valfarta	2	1599	22
2017	22243	Valle de Bardají	4	1133	22
2017	22244	Valle de Lierp	5	1732	22
2017	22245	Velilla de Cinca	2	7290	22
2017	22246	Beranuy	4	2932	22
2017	22247	Viacamp y Litera	3	1466	22
2017	22248	Vicién	1	5512	22
2017	22249	Villanova	6	5397	22
2017	22250	Villanúa	14	13790	22
2017	22251	Villanueva de Sigena	12	9639	22
2017	22252	Yebra de Basa	2	4378	22
2017	22253	Yésero	1	1782	22
2017	22254	Zaidín	11	29409	22
2017	22901	Valle de Hecho	15	27486	22
2017	22902	Puente la Reina de Jaca	6	8505	22
2017	22903	San Miguel del Cinca	11	14573	22
2017	22904	Sotonera (La)	10	43501	22
2017	22905	Lupiñén-Ortilla	7	10631	22
2017	22906	Santa María de Dulcis	2	2588	22
2017	22907	Aínsa-Sobrarbe	20	59223	22
2017	22908	Hoz y Costeán	1	2485	22
2017	22909	Vencillón	9	9161	22
2017	44001	Ababuj	1	840	44
2017	44002	Abejuela	2	619	44
2017	44003	Aguatón	1	210	44
2017	44004	Aguaviva	7	9344	44
2017	44005	Aguilar del Alfambra	1	707	44
2017	44006	Alacón	6	3833	44
2017	44007	Alba	1	2165	44
2017	44008	Albalate del Arzobispo	29	41352	44
2017	44009	Albarracín	6	11644	44
2017	44010	Albentosa	2	2950	44
2017	44011	Alcaine	1	773	44
2017	44012	Alcalá de la Selva	6	4397	44
2017	44013	Alcañiz	50	217500	44
2017	44014	Alcorisa	37	56505	44
2017	44016	Alfambra	5	6275	44
2017	44017	Aliaga	5	3845	44
2017	44018	Almohaja	1	210	44
2017	44019	Alobras	1	696	44
2017	44020	Alpeñés	1	254	44
2017	44021	Allepuz	2	1414	44
2017	44022	Alloza	9	8270	44
2017	44024	Anadón	1	298	44
2017	44025	Andorra	66	108185	44
2017	44026	Arcos de las Salinas	2	1171	44
2017	44027	Arens de Lledó	3	6229	44
2017	44028	Argente	1	2287	44
2017	44029	Ariño	15	10139	44
2017	44031	Azaila	6	2188	44
2017	44033	Báguena	1	2869	44
2017	44034	Bañón	1	1435	44
2017	44035	Barrachina	1	1171	44
2017	44037	Beceite	12	16483	44
2017	44038	Belmonte de San José	4	2022	44
2017	44039	Bello	1	2225	44
2017	44040	Berge	3	4213	44
2017	44041	Bezas	1	718	44
2017	44043	Blesa	1	1116	44
2017	44044	Bordón	2	1259	44
2017	44045	Bronchales	4	4607	44
2017	44047	Burbáguena	3	2306	44
2017	44048	Cabra de Mora	2	751	44
2017	44049	Calaceite	18	30527	44
2017	44050	Calamocha	20	39660	44
2017	44051	Calanda	47	65340	44
2017	44052	Calomarde	1	884	44
2017	44053	Camañas	1	1436	44
2017	44055	Camarillas	1	1038	44
2017	44056	Caminreal	6	5784	44
2017	44059	Cantavieja	7	7866	44
2017	44060	Cañada de Benatanduz	1	453	44
2017	44061	Cañada de Verich (La)	2	1597	44
2017	44062	Cañada Vellida	1	387	44
2017	44063	Cañizar del Olivar	1	1038	44
2017	44064	Cascante del Río	1	818	44
2017	44066	Castel de Cabra	1	1326	44
2017	44067	Castelnou	4	2828	44
2017	44068	Castelserás	13	14050	44
2017	44070	Castellar (El)	2	619	44
2017	44071	Castellote	15	7800	44
2017	44074	Cedrillas	7	6838	44
2017	44075	Celadas	3	4452	44
2017	44076	Cella	13	29530	44
2017	44077	Cerollera (La)	4	1631	44
2017	44080	Codoñera (La)	7	6252	44
2017	44082	Corbalán	1	1204	44
2017	44084	Cortes de Aragón	1	696	44
2017	44086	Cretas	13	16277	44
2017	44087	Crivillén	5	975	44
2017	44088	Cuba (La)	2	420	44
2017	44089	Cubla	1	574	44
2017	44090	Cucalón	1	872	44
2017	44092	Cuervo (El)	1	983	44
2017	44093	Cuevas de Almudén	1	1558	44
2017	44094	Cuevas Labradas	1	1403	44
2017	44096	Ejulve	6	2596	44
2017	44097	Escorihuela	1	1679	44
2017	44099	Escucha	6	10539	44
2017	44100	Estercuel	6	3256	44
2017	44101	Ferreruela de Huerva	1	608	44
2017	44103	Formiche Alto	2	1812	44
2017	44105	Fórnoles	2	2527	44
2017	44106	Fortanete	2	2254	44
2017	44107	Foz-Calanda	3	4485	44
2017	44108	Fresneda (La)	9	13809	44
2017	44109	Frías de Albarracín	1	1436	44
2017	44110	Fuenferrada	1	619	44
2017	44111	Fuentes Calientes	1	1160	44
2017	44112	Fuentes Claras	2	4485	44
2017	44113	Fuentes de Rubielos	2	1259	44
2017	44114	Fuentespalda	6	8550	44
2017	44115	Galve	2	1757	44
2017	44116	Gargallo	8	1401	44
2017	44117	Gea de Albarracín	5	4132	44
2017	44118	Ginebrosa (La)	5	3381	44
2017	44119	Griegos	1	1768	44
2017	44120	Guadalaviar	2	2707	44
2017	44121	Gúdar	1	806	44
2017	44122	Híjar	34	35592	44
2017	44123	Hinojosa de Jarque	2	1447	44
2017	44124	Hoz de la Vieja (La)	1	873	44
2017	44125	Huesa del Común	1	762	44
2017	44126	Iglesuela del Cid (La)	5	4684	44
2017	44127	Jabaloyas	3	851	44
2017	44128	Jarque de la Val	1	818	44
2017	44129	Jatiel	3	867	44
2017	44130	Jorcas	1	420	44
2017	44131	Josa	1	376	44
2017	44135	Libros	1	1248	44
2017	44136	Lidón	1	608	44
2017	44137	Linares de Mora	2	2950	44
2017	44138	Loscos	1	1253	44
2017	44141	Lledó	5	4789	44
2017	44142	Maicas	1	387	44
2017	44143	Manzanera	9	5546	44
2017	44144	Martín del Río	4	4739	44
2017	44145	Mas de las Matas	16	22120	44
2017	44146	Mata de los Olmos (La)	4	4468	44
2017	44147	Mazaleón	9	15866	44
2017	44148	Mezquita de Jarque	1	1204	44
2017	44149	Mirambel	2	1348	44
2017	44150	Miravete de la Sierra	1	309	44
2017	44151	Molinos	3	2773	44
2017	44153	Monreal del Campo	13	22935	44
2017	44154	Monroyo	10	9931	44
2017	44155	Montalbán	7	14152	44
2017	44156	Monteagudo del Castillo	1	574	44
2017	44157	Monterde de Albarracín	1	729	44
2017	44158	Mora de Rubielos	15	17389	44
2017	44159	Moscardón	1	619	44
2017	44160	Mosqueruela	7	6419	44
2017	44161	Muniesa	4	6949	44
2017	44163	Noguera de Albarracín	1	1613	44
2017	44165	Nogueruelas	2	2364	44
2017	44167	Obón	1	486	44
2017	44168	Odón	1	2043	44
2017	44169	Ojos Negros	2	3677	44
2017	44171	Olba	3	2541	44
2017	44172	Oliete	6	5014	44
2017	44173	Olmos (Los)	3	2158	44
2017	44174	Orihuela del Tremedal	5	5568	44
2017	44175	Orrios	1	1469	44
2017	44176	Palomar de Arroyos	1	1922	44
2017	44177	Pancrudo	4	1282	44
2017	44178	Parras de Castellote (Las)	3	968	44
2017	44179	Peñarroya de Tastavins	11	13662	44
2017	44180	Peracense	1	681	44
2017	44181	Peralejos	1	950	44
2017	44182	Perales del Alfambra	2	2508	44
2017	44183	Pitarque	3	1005	44
2017	44184	Plou	1	541	44
2017	44185	Pobo (El)	1	1458	44
2017	44187	Portellada (La)	3	7052	44
2017	44189	Pozondón	1	663	44
2017	44190	Pozuel del Campo	1	654	44
2017	44191	Puebla de Híjar (La)	19	19200	44
2017	44192	Puebla de Valverde (La)	7	5082	44
2017	44193	Puertomingalvo	2	1237	44
2017	44194	Ráfales	3	4055	44
2017	44195	Rillo	2	1016	44
2017	44196	Riodeva	1	1668	44
2017	44197	Ródenas	1	707	44
2017	44198	Royuela	1	2375	44
2017	44199	Rubiales	1	552	44
2017	44201	Rubielos de Mora	9	7269	44
2017	44203	Salcedillo	1	188	44
2017	44204	Saldón	1	287	44
2017	44205	Samper de Calanda	15	17445	44
2017	44206	San Agustín	2	1458	44
2017	44207	San Martín del Río	1	1480	44
2017	44209	Santa Eulalia	9	11699	44
2017	44210	Sarrión	12	12428	44
2017	44211	Segura de los Baños	1	486	44
2017	44212	Seno	3	697	44
2017	44215	Terriente	2	1911	44
2017	44216	Teruel	103	378250	44
2017	44217	Toril y Masegoso	1	331	44
2017	44218	Tormón	1	376	44
2017	44219	Tornos	1	2070	44
2017	44220	Torralba de los Sisones	1	1480	44
2017	44221	Torrecilla de Alcañiz	7	7203	44
2017	44222	Torrecilla del Rebollar	1	1244	44
2017	44223	Torre de Arcas	2	2380	44
2017	44224	Torre de las Arcas	1	320	44
2017	44225	Torre del Compte	4	3790	44
2017	44226	Torrelacárcel	1	1944	44
2017	44227	Torre los Negros	1	790	44
2017	44228	Torremocha de Jiloca	1	1215	44
2017	44229	Torres de Albarracín	1	1978	44
2017	44230	Torrevelilla	4	3449	44
2017	44231	Torrijas	2	497	44
2017	44232	Torrijo del Campo	2	4195	44
2017	44234	Tramacastiel	2	729	44
2017	44235	Tramacastilla	2	1193	44
2017	44236	Tronchón	2	740	44
2017	44237	Urrea de Gaén	6	9806	44
2017	44238	Utrillas	16	33761	44
2017	44239	Valacloche	1	254	44
2017	44240	Valbona	2	2055	44
2017	44241	Valdealgorfa	11	10958	44
2017	44243	Valdecuenca	1	376	44
2017	44244	Valdelinares	2	994	44
2017	44245	Valdeltormo	6	8697	44
2017	44246	Valderrobres	52	67900	44
2017	44247	Valjunquera	10	10665	44
2017	44249	Vallecillo (El)	1	652	44
2017	44250	Veguillas de la Sierra	1	210	44
2017	44251	Villafranca del Campo	2	2724	44
2017	44252	Villahermosa del Campo	1	899	44
2017	44256	Villanueva del Rebollar de la Sierra	1	541	44
2017	44257	Villar del Cobo	1	2077	44
2017	44260	Villarluengo	4	1944	44
2017	44261	Villarquemado	4	9534	44
2017	44262	Villarroya de los Pinares	3	1768	44
2017	44263	Villastar	2	5557	44
2017	44264	Villel	2	3734	44
2017	44265	Vinaceite	4	5409	44
2017	44266	Visiedo	1	1525	44
2017	44267	Vivel del Río Martín	1	862	44
2017	44268	Zoma (La)	1	177	44
2017	50001	Abanto	2	1188	50
2017	50002	Acered	1	3409	50
2017	50003	Agón	6	3607	50
2017	50004	Aguarón	7	10887	50
2017	50005	Aguilón	3	3920	50
2017	50006	Ainzón	28	26438	50
2017	50007	Aladrén	2	762	50
2017	50008	Alagón	99	126309	50
2017	50009	Alarba	2	1535	50
2017	50010	Alberite de San Juan	4	1862	50
2017	50011	Albeta	5	3235	50
2017	50012	Alborge	1	1160	50
2017	50013	Alcalá de Ebro	6	4715	50
2017	50014	Alcalá de Moncayo	4	5672	50
2017	50015	Alconchel de Ariza	2	852	50
2017	50016	Aldehuela de Liestos	1	810	50
2017	50017	Alfajarín	14	119300	50
2017	50018	Alfamén	11	23265	50
2017	50019	Alforque	1	606	50
2017	50020	Alhama de Aragón	7	11589	50
2017	50021	Almochuel	1	560	50
2017	50022	Almolda (La)	10	13270	50
2017	50023	Almonacid de la Cuba	4	2647	50
2017	50024	Almonacid de la Sierra	7	5844	50
2017	50025	Almunia de Doña Godina (La)	48	63947	50
2017	50026	Alpartir	8	4547	50
2017	50027	Ambel	5	5958	50
2017	50028	Anento	1	1544	50
2017	50029	Aniñón	4	8294	50
2017	50030	Añón de Moncayo	2	6385	50
2017	50031	Aranda de Moncayo	2	1516	50
2017	50032	Arándiga	2	3553	50
2017	50033	Ardisa	1	868	50
2017	50034	Ariza	6	12765	50
2017	50035	Artieda	2	2470	50
2017	50036	Asín	1	1278	50
2017	50037	Atea	2	2003	50
2017	50038	Ateca	7	20801	50
2017	50039	Azuara	11	5842	50
2017	50040	Badules	1	1345	50
2017	50041	Bagüés	1	145	50
2017	50042	Balconchán	1	214	50
2017	50043	Bárboles	4	5845	50
2017	50044	Bardallur	4	2261	50
2017	50045	Belchite	34	15812	50
2017	50046	Belmonte de Gracián	2	2365	50
2017	50047	Berdejo	1	583	50
2017	50048	Berrueco	1	535	50
2017	50050	Bijuesca	1	1110	50
2017	50051	Biota	5	11705	50
2017	50052	Bisimbre	3	2374	50
2017	50053	Boquiñeni	9	15275	50
2017	50054	Bordalba	1	661	50
2017	50055	Borja	98	115318	50
2017	50056	Botorrita	4	5002	50
2017	50057	Brea de Aragón	12	13810	50
2017	50058	Bubierca	1	773	50
2017	50059	Bujaraloz	32	22749	50
2017	50060	Bulbuente	9	5283	50
2017	50061	Bureta	10	5516	50
2017	50062	Burgo de Ebro (El)	23	21996	50
2017	50063	Buste (El)	1	2074	50
2017	50064	Cabañas de Ebro	12	9108	50
2017	50065	Cabolafuente	1	392	50
2017	50066	Cadrete	17	37384	50
2017	50067	Calatayud	68	226293	50
2017	50068	Calatorao	18	23519	50
2017	50069	Calcena	2	587	50
2017	50070	Calmarza	1	796	50
2017	50071	Campillo de Aragón	2	1591	50
2017	50072	Carenas	3	1928	50
2017	50073	Cariñena	25	53704	50
2017	50074	Caspe	34	76191	50
2017	50075	Castejón de Alarba	1	953	50
2017	50076	Castejón de las Armas	1	1020	50
2017	50077	Castejón de Valdejasa	2	2724	50
2017	50078	Castiliscar	2	3183	50
2017	50079	Cervera de la Cañada	2	3418	50
2017	50080	Cerveruela	1	520	50
2017	50081	Cetina	2	6893	50
2017	50082	Cimballa	2	1222	50
2017	50083	Cinco Olivas	1	1149	50
2017	50084	Clarés de Ribota	1	897	50
2017	50085	Codo	4	1846	50
2017	50086	Codos	2	2533	50
2017	50087	Contamina	1	392	50
2017	50088	Cosuenda	8	6094	50
2017	50089	Cuarte de Huerva	47	128681	50
2017	50090	Cubel	2	2675	50
2017	50091	Cuerlas (Las)	1	673	50
2017	50092	Chiprana	2	3858	50
2017	50093	Chodes	3	1039	50
2017	50094	Daroca	14	31903	50
2017	50095	Ejea de los Caballeros	62	199402	50
2017	50096	Embid de Ariza	1	460	50
2017	50098	Encinacorba	3	3253	50
2017	50099	Épila	21	37011	50
2017	50100	Erla	3	4388	50
2017	50101	Escatrón	5	11171	50
2017	50102	Fabara	5	9458	50
2017	50104	Farlete	7	9228	50
2017	50105	Fayón	2	2828	50
2017	50106	Fayos (Los)	3	4764	50
2017	50107	Figueruelas	23	21837	50
2017	50108	Fombuena	1	825	50
2017	50109	Frago (El)	1	1218	50
2017	50110	Frasno (El)	3	4472	50
2017	50111	Fréscano	7	4678	50
2017	50113	Fuendejalón	23	18293	50
2017	50114	Fuendetodos	3	1278	50
2017	50115	Fuentes de Ebro	54	70620	50
2017	50116	Fuentes de Jiloca	2	3015	50
2017	50117	Gallocanta	2	2324	50
2017	50118	Gallur	49	47153	50
2017	50119	Gelsa	7	11474	50
2017	50120	Godojos	1	594	50
2017	50121	Gotor	4	2658	50
2017	50122	Grisel	1	2301	50
2017	50123	Grisén	9	11152	50
2017	50124	Herrera de los Navarros	4	8194	50
2017	50125	Ibdes	2	4808	50
2017	50126	Illueca	27	25345	50
2017	50128	Isuerre	1	386	50
2017	50129	Jaraba	3	3530	50
2017	50130	Jarque de Moncayo	6	3726	50
2017	50131	Jaulín	2	2598	50
2017	50132	Joyosa (La)	17	18503	50
2017	50133	Lagata	3	1278	50
2017	50134	Langa del Castillo	2	2048	50
2017	50135	Layana	1	1218	50
2017	50136	Lécera	13	7363	50
2017	50137	Leciñena	11	27752	50
2017	50138	Lechón	1	780	50
2017	50139	Letux	6	3550	50
2017	50140	Litago	4	5542	50
2017	50141	Lituénigo	3	3824	50
2017	50142	Lobera de Onsella	1	386	50
2017	50143	Longares	8	12521	50
2017	50144	Longás	1	422	50
2017	50146	Lucena de Jalón	3	1904	50
2017	50147	Luceni	16	17732	50
2017	50148	Luesia	3	3882	50
2017	50149	Luesma	1	535	50
2017	50150	Lumpiaque	8	7208	50
2017	50151	Luna	4	8836	50
2017	50152	Maella	8	15737	50
2017	50153	Magallón	40	26927	50
2017	50154	Mainar	2	2247	50
2017	50155	Malanquilla	1	1199	50
2017	50156	Maleján	10	5911	50
2017	50157	Malón	8	11376	50
2017	50159	Maluenda	3	11084	50
2017	50160	Mallén	47	74171	50
2017	50161	Manchones	1	1834	50
2017	50162	Mara	2	2141	50
2017	50163	María de Huerva	20	56767	50
2017	50164	Mediana de Aragón	9	4057	50
2017	50165	Mequinenza	10	38201	50
2017	50166	Mesones de Isuela	3	2331	50
2017	50167	Mezalocha	2	4031	50
2017	50168	Mianos	1	876	50
2017	50169	Miedes de Aragón	2	5234	50
2017	50170	Monegrillo	11	9547	50
2017	50171	Moneva	2	1126	50
2017	50172	Monreal de Ariza	2	2398	50
2017	50173	Monterde	2	2219	50
2017	50174	Montón	2	1154	50
2017	50175	Morata de Jalón	10	9785	50
2017	50176	Morata de Jiloca	2	3048	50
2017	50177	Morés	3	3911	50
2017	50178	Moros	2	4293	50
2017	50179	Moyuela	5	2688	50
2017	50180	Mozota	2	1268	50
2017	50181	Muel	15	20821	50
2017	50182	Muela (La)	27	42315	50
2017	50183	Munébrega	3	4595	50
2017	50184	Murero	1	1972	50
2017	50185	Murillo de Gállego	7	7652	50
2017	50186	Navardún	1	506	50
2017	50187	Nigüella	1	852	50
2017	50188	Nombrevilla	1	489	50
2017	50189	Nonaspe	4	7924	50
2017	50190	Novallas	14	28228	50
2017	50191	Novillas	16	13033	50
2017	50192	Nuévalos	3	3755	50
2017	50193	Nuez de Ebro	14	0	50
2017	50194	Olvés	1	1345	50
2017	50195	Orcajo	1	887	50
2017	50196	Orera	1	1367	50
2017	50197	Orés	1	1302	50
2017	50198	Oseja	1	489	50
2017	50199	Osera de Ebro	4	0	50
2017	50200	Paniza	8	10680	50
2017	50201	Paracuellos de Jiloca	2	6624	50
2017	50202	Paracuellos de la Ribera	1	1816	50
2017	50203	Pastriz	13	0	50
2017	50204	Pedrola	49	61854	50
2017	50205	Pedrosas (Las)	1	1290	50
2017	50206	Perdiguera	19	13773	50
2017	50207	Piedratajada	1	1350	50
2017	50208	Pina de Ebro	12	25529	50
2017	50209	Pinseque	49	66803	50
2017	50210	Pintanos (Los)	2	518	50
2017	50211	Plasencia de Jalón	3	2660	50
2017	50212	Pleitas	1	789	50
2017	50213	Plenas	3	1065	50
2017	50214	Pomer	1	269	50
2017	50215	Pozuel de Ariza	1	269	50
2017	50216	Pozuelo de Aragón	10	6563	50
2017	50217	Pradilla de Ebro	6	9825	50
2017	50218	Puebla de Albortón	2	1197	50
2017	50219	Puebla de Alfindén (La)	22	0	50
2017	50220	Puendeluna	1	530	50
2017	50221	Purujosa	1	310	50
2017	50222	Quinto	9	20858	50
2017	50223	Remolinos	15	19955	50
2017	50224	Retascón	1	1162	50
2017	50225	Ricla	13	25165	50
2017	50227	Romanos	2	1941	50
2017	50228	Rueda de Jalón	3	2727	50
2017	50229	Ruesca	1	818	50
2017	50230	Sádaba	9	16467	50
2017	50231	Salillas de Jalón	3	2527	50
2017	50232	Salvatierra de Esca	8	6504	50
2017	50233	Samper del Salz	2	1187	50
2017	50234	San Martín de la Virgen de Moncayo	3	9269	50
2017	50235	San Mateo de Gállego	23	31616	50
2017	50236	Santa Cruz de Grío	3	1023	50
2017	50237	Santa Cruz de Moncayo	3	4213	50
2017	50238	Santa Eulalia de Gállego	1	3189	50
2017	50239	Santed	1	948	50
2017	50240	Sástago	7	12362	50
2017	50241	Saviñán	5	8092	50
2017	50242	Sediles	1	1143	50
2017	50243	Sestrica	4	3187	50
2017	50244	Sierra de Luna	2	3158	50
2017	50245	Sigüés	4	2908	50
2017	50246	Sisamón	1	392	50
2017	50247	Sobradiel	15	19345	50
2017	50248	Sos del Rey Católico	4	7293	50
2017	50249	Tabuenca	12	7983	50
2017	50250	Talamantes	6	1280	50
2017	50251	Tarazona	59	145780	50
2017	50252	Tauste	26	83577	50
2017	50253	Terrer	2	5570	50
2017	50254	Tierga	2	1606	50
2017	50255	Tobed	2	2522	50
2017	50256	Torralba de los Frailes	1	1330	50
2017	50257	Torralba de Ribota	2	2107	50
2017	50258	Torralbilla	1	887	50
2017	50259	Torrehermosa	1	751	50
2017	50260	Torrelapaja	1	370	50
2017	50261	Torrellas	8	8037	50
2017	50262	Torres de Berrellén	20	26481	50
2017	50263	Torrijo de la Cañada	2	2589	50
2017	50264	Tosos	4	3095	50
2017	50265	Trasmoz	1	3111	50
2017	50266	Trasobares	1	1027	50
2017	50267	Uncastillo	3	8053	50
2017	50268	Undués de Lerda	1	699	50
2017	50269	Urrea de Jalón	3	3359	50
2017	50270	Urriés	1	482	50
2017	50271	Used	4	4082	50
2017	50272	Utebo	66	233940	50
2017	50273	Valdehorna	1	428	50
2017	50274	Val de San Martín	1	1070	50
2017	50275	Valmadrid	3	1237	50
2017	50276	Valpalmas	1	1772	50
2017	50277	Valtorres	1	818	50
2017	50278	Velilla de Ebro	3	2414	50
2017	50279	Velilla de Jiloca	2	1278	50
2017	50280	Vera de Moncayo	11	12413	50
