Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2008	3	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	25	Jiloca
2008	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	30	Maestrazgo
2008	3	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	33	Matarraña / Matarranya
2008	3	75	Administración pública, defensa y seguridad social obligatoria	33	Matarraña / Matarranya
2008	2	93	Actividades diversas de servicios personales	01	La Jacetania
2008	2	31	Fabricación de maquinaria y material eléctrico	08	Cinca Medio
2008	2	10	Extracción y aglomeración de antracita, hulla, lignito y turba	11	Bajo Cinca / Baix Cinca
2008	2	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería	11	Bajo Cinca / Baix Cinca
2008	2	36	Fabricación de muebles; otras industrias manufactureras	16	Valdejalón
2008	2	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor	18	Ribera Baja del Ebro
2008	2	60	Transporte terrestre; transporte por tuberías	24	Campo de Daroca
2008	2	15	Industria de productos alimenticios y bebidas	26	Cuencas Mineras
2008	2	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2008	2	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	31	Sierra de Albarracín
2008	2	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	32	Gúdar-Javalambre
2008	2	60	Transporte terrestre; transporte por tuberías	32	Gúdar-Javalambre
2008	1	63	Actividades anexas a los transportes; actividades de agencias de viajes	01	La Jacetania
2008	1	55	Hostelería	02	Alto Gállego
2008	1	15	Industria de productos alimenticios y bebidas	04	La Ribagorza
2008	1	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas
2008	1	93	Actividades diversas de servicios personales	06	Hoya de Huesca / Plana de Uesca
2008	1	55	Hostelería	13	Campo de Borja
2008	1	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2008	1	36	Fabricación de muebles; otras industrias manufactureras	14	Aranda
2008	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	15	Ribera Alta del Ebro
2008	1	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón
2008	1	37	Reciclaje	18	Ribera Baja del Ebro
2008	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	18	Ribera Baja del Ebro
2008	1	31	Fabricación de maquinaria y material eléctrico	22	Campo de Belchite
2008	1	28	Fabricación de productos metálicos, excepto maquinaria y equipo	26	Cuencas Mineras
2008	1	71	Alquiler de maquinaria y equipo sin operario, de efectos personales y enseres domesticos	27	Andorra-Sierra de Arcos
2008	1	29	Industria de la construción de maquinaria y equipo mecánico	28	Bajo Aragón
2008	1	02	Selvicultura, explotación forestal y actividades de los servicios relacionados con las mismas	29	Comunidad de Teruel
2008	1	55	Hostelería	29	Comunidad de Teruel
2008	1	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón
2007	943	28	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2007	357	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2007	302	34	Fabricación de vehículos de motor, remolques y semirremolques	06	Hoya de Huesca / Plana de Uesca
2007	302	34	Fabricación de vehículos de motor, remolques y semirremolques	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2007	245	25	Fabricacion de productos de caucho y materias plasticas	09	La Litera / La Llitera
2007	245	25	Fabricacion de productos de caucho y materias plasticas	10	Los Monegros
2007	237	31	Fabricación de maquinaria y material eléctrico	21	Campo de Cariñena
2007	203	55	Hostelería	29	Comunidad de Teruel
2007	185	45	Construcción	22	Campo de Belchite
2007	183	45	Construcción	15	Ribera Alta del Ebro
2007	183	27	Metalurgia	26	Cuencas Mineras
2007	175	10	Extracción y aglomeración de antracita, hulla, lignito y turba	27	Andorra-Sierra de Arcos
2007	136	45	Construcción	28	Bajo Aragón
2007	132	45	Construcción	20	Comunidad de Calatayud
2007	128	45	Construcción	01	La Jacetania
2007	122	45	Construcción	12	Tarazona y el Moncayo
2007	111	63	Actividades anexas a los transportes; actividades de agencias de viajes	NC	Municipio del centro de trabajo fuera de Aragón
2007	103	45	Construcción	09	La Litera / La Llitera
2007	103	45	Construcción	26	Cuencas Mineras
2007	94	24	Industria química	05	Cinco Villas
2007	94	24	Industria química	08	Cinca Medio
2007	94	45	Construcción	10	Los Monegros
2007	94	45	Construcción	25	Jiloca
2007	91	45	Construcción	13	Campo de Borja
2007	84	92	Actividades recreativas, culturales y deportivas	32	Gúdar-Javalambre
2007	81	28	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena
2007	71	45	Construcción	07	Somontano de Barbastro
2007	65	35	Fabricación de otro material de transporte	09	La Litera / La Llitera
2007	54	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	03	Sobrarbe
2007	54	26	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2007	49	45	Construcción	18	Ribera Baja del Ebro
