Mes y año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Afiliaciones en alta
Septiembre 2016	50	Zaragoza	73	Publicidad y estudios de mercado	1169
Septiembre 2016	50	Zaragoza	74	Otras actividades profesionales, científicas y técnicas	2208
Septiembre 2016	50	Zaragoza	75	Actividades veterinarias	422
Septiembre 2016	50	Zaragoza	77	Actividades de alquiler	1187
Septiembre 2016	50	Zaragoza	78	Actividades relacionadas con el empleo	7302
Septiembre 2016	50	Zaragoza	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	779
Septiembre 2016	50	Zaragoza	80	Actividades de seguridad e investigación	2055
Septiembre 2016	50	Zaragoza	81	Servicios a edificios y actividades de jardinería	12842
Septiembre 2016	50	Zaragoza	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5730
Septiembre 2016	50	Zaragoza	84	Administración Pública y defensa; Seguridad Social obligatoria	23231
Septiembre 2016	50	Zaragoza	85	Educación	16082
Septiembre 2016	50	Zaragoza	86	Actividades sanitarias	24694
Septiembre 2016	50	Zaragoza	87	Asistencia en establecimientos residenciales	7089
Septiembre 2016	50	Zaragoza	88	Actividades de servicios sociales sin alojamiento	3443
Septiembre 2016	50	Zaragoza	90	Actividades de creación, artísticas y espectáculos	1049
Septiembre 2016	50	Zaragoza	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	77
Septiembre 2016	50	Zaragoza	92	Actividades de juegos de azar y apuestas	887
Septiembre 2016	50	Zaragoza	93	Actividades deportivas, recreativas y de entretenimiento	2838
Septiembre 2016	50	Zaragoza	94	Actividades asociativas	3851
Septiembre 2016	50	Zaragoza	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1692
Septiembre 2016	50	Zaragoza	96	Otros servicios personales	6844
Septiembre 2016	50	Zaragoza	97	Actividades de los hogares como empleadores de personal doméstico	14122
Septiembre 2016	50	Zaragoza	99	Actividades de organizaciones y organismos extraterritoriales	8
Junio 2016	22	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	16673
Junio 2016	22	Huesca	02	Silvicultura y explotación forestal	533
Junio 2016	22	Huesca	03	Pesca y acuicultura	75
Junio 2016	22	Huesca	05	Extracción de antracita, hulla y lignito	1
Junio 2016	22	Huesca	08	Otras industrias extractivas	99
Junio 2016	22	Huesca	10	Industria de la alimentación	2505
Junio 2016	22	Huesca	11	Fabricación de bebidas	281
Junio 2016	22	Huesca	13	Industria textil	54
Junio 2016	22	Huesca	14	Confección de prendas de vestir	94
Junio 2016	22	Huesca	15	Industria del cuero y del calzado	182
Junio 2016	22	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	438
Junio 2016	22	Huesca	17	Industria del papel	188
Junio 2016	22	Huesca	18	Artes gráficas y reproducción de soportes grabados	269
Junio 2016	22	Huesca	20	Industria química	1298
Junio 2016	22	Huesca	21	Fabricación de productos farmacéuticos	332
Junio 2016	22	Huesca	22	Fabricación de productos de caucho y plásticos	227
Junio 2016	22	Huesca	23	Fabricación de otros productos minerales no metálicos	352
Junio 2016	22	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	431
Junio 2016	22	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	1457
Junio 2016	22	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	150
Junio 2016	22	Huesca	27	Fabricación de material y equipo eléctrico	173
Junio 2016	22	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	928
Junio 2016	22	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	146
Junio 2016	22	Huesca	30	Fabricación de otro material de transporte	44
Junio 2016	22	Huesca	31	Fabricación de muebles	132
Junio 2016	22	Huesca	32	Otras industrias manufactureras	608
Junio 2016	22	Huesca	33	Reparación e instalación de maquinaria y equipo	491
Junio 2016	22	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	431
Junio 2016	22	Huesca	36	Captación, depuración y distribución de agua	408
