Comarca código	Comarca nombre	Plantas sobre rasante	Número de edificios
21	Campo de Cariñena	02	2379
21	Campo de Cariñena	03	750
21	Campo de Cariñena	04	54
21	Campo de Cariñena	05	7
21	Campo de Cariñena	07	1
22	Campo de Belchite	01	823
22	Campo de Belchite	02	2110
22	Campo de Belchite	03	1223
22	Campo de Belchite	04	1
23	Bajo Martín	01	1120
23	Bajo Martín	02	1832
23	Bajo Martín	03	1482
23	Bajo Martín	04	67
23	Bajo Martín	05	11
24	Campo de Daroca	01	833
24	Campo de Daroca	02	2961
24	Campo de Daroca	03	1396
24	Campo de Daroca	04	51
24	Campo de Daroca	05	10
24	Campo de Daroca	06	3
25	Jiloca	01	1062
25	Jiloca	02	8162
25	Jiloca	03	648
25	Jiloca	04	82
25	Jiloca	05	8
26	Cuencas Mineras	01	1755
26	Cuencas Mineras	02	2534
26	Cuencas Mineras	03	1646
26	Cuencas Mineras	04	97
26	Cuencas Mineras	05	6
26	Cuencas Mineras	06	4
26	Cuencas Mineras	08	1
27	Andorra-Sierra de Arcos	01	941
27	Andorra-Sierra de Arcos	02	2292
27	Andorra-Sierra de Arcos	03	1515
27	Andorra-Sierra de Arcos	04	123
27	Andorra-Sierra de Arcos	05	6
27	Andorra-Sierra de Arcos	06	1
28	Bajo Aragón	01	2310
28	Bajo Aragón	02	4561
28	Bajo Aragón	03	1840
28	Bajo Aragón	04	324
28	Bajo Aragón	05	119
28	Bajo Aragón	06	32
28	Bajo Aragón	07	24
28	Bajo Aragón	08	12
28	Bajo Aragón	09	4
28	Bajo Aragón	10 o más	1
29	Comunidad de Teruel	01	1865
29	Comunidad de Teruel	02	7338
29	Comunidad de Teruel	03	3046
29	Comunidad de Teruel	04	479
29	Comunidad de Teruel	05	340
29	Comunidad de Teruel	06	52
29	Comunidad de Teruel	07	23
29	Comunidad de Teruel	08	65
29	Comunidad de Teruel	09	14
29	Comunidad de Teruel	10 o más	13
30	Maestrazgo	01	285
30	Maestrazgo	02	1129
30	Maestrazgo	03	1825
30	Maestrazgo	04	20
31	Sierra de Albarracín	01	974
31	Sierra de Albarracín	02	2661
31	Sierra de Albarracín	03	687
31	Sierra de Albarracín	04	14
32	Gúdar-Javalambre	01	1624
32	Gúdar-Javalambre	02	3962
32	Gúdar-Javalambre	03	2664
32	Gúdar-Javalambre	04	97
32	Gúdar-Javalambre	05	10
33	Matarraña / Matarranya	01	1818
33	Matarraña / Matarranya	02	2932
33	Matarraña / Matarranya	03	948
33	Matarraña / Matarranya	04	24
33	Matarraña / Matarranya	05	6
33	Matarraña / Matarranya	06	1
