Municipio código	Municipio nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
22001	Abiego	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22001	Abiego	Mosaico de cultivos anuales con prados o praderas en secano	0	2000
22001	Abiego	Mosaico de cultivos permanentes en regadío	0	2000
22001	Abiego	Mosaico de cultivos permanentes en secano	147,040825	2000
22001	Abiego	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22001	Abiego	Olivares en regadío	0	2000
22001	Abiego	Olivares en secano	50,650815	2000
22001	Abiego	Otras frondosas de plantación	0	2000
22001	Abiego	Otros frutales en regadío	0	2000
22001	Abiego	Otros pastizales mediterráneos	0	2000
22001	Abiego	Pastizales supraforestales mediterráneos	0	2000
22001	Abiego	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22001	Abiego	Perennifolias	47,238222	2000
22001	Abiego	Prados y praderas	0	2000
22001	Abiego	Ramblas con poca o sin vegetación	0	2000
22001	Abiego	Resto de instalaciones deportivas y recreativas	0	2000
22001	Abiego	Rocas desnudas con fuerte pendiente (acantilados, etc.)	0	2000
22001	Abiego	Ríos y cauces naturales	0	2000
22001	Abiego	Tejido urbano continuo	9,636455	2000
22001	Abiego	Tierras de labor en secano	1927,001395	2000
22001	Abiego	Turberas y prados turbosos	0	2000
22001	Abiego	Urbanizaciones extensas y/o ajardinadas	0	2000
22001	Abiego	Viñedos en regadío	0	2000
22001	Abiego	Viñedos en secano	0	2000
22001	Abiego	Xeroestepa subdesértica	0	2000
22001	Abiego	Zonas de extracción minera	0	2000
22001	Abiego	Zonas en construcción	0	2000
22001	Abiego	Zonas industriales	0	2000
22001	Abiego	Zonas quemadas	0	2000
22001	Abiego	Zonas verdes urbanas	0	2000
22002	Abizanda	Aeropuertos	0	2000
22002	Abizanda	Afloramientos rocosos y canchales	0	2000
22002	Abizanda	Arrozales	0	2000
22002	Abizanda	Autopistas, autovías y terrenos asociados	0	2000
22002	Abizanda	Bosque mixto	245,544399	2000
22002	Abizanda	Bosques de coníferas con hojas aciculares	1874,787764	2000
22002	Abizanda	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22002	Abizanda	Bosques de ribera	0	2000
22002	Abizanda	Caducifolias y marcescentes	73,594529	2000
22002	Abizanda	Campos de golf	0	2000
22002	Abizanda	Canales artificiales	0	2000
22002	Abizanda	Complejos ferroviarios	0	2000
22002	Abizanda	Cultivos herbáceos en regadío	0	2000
22002	Abizanda	Cárcavas y/o zonas en proceso de erosión	11,121808	2000
22002	Abizanda	Embalses	235,853064	2000
22002	Abizanda	Escombreras y vertederos	0	2000
22002	Abizanda	Espacios orófilos altitudinales con vegetación escasa	0	2000
22002	Abizanda	Estructura urbana abierta	0	2000
22002	Abizanda	Frutales en secano	33,41186	2000
22002	Abizanda	Glaciares y nieves permanentes	0	2000
22002	Abizanda	Grandes formaciones de matorral denso o medianamente denso	221,185049	2000
22002	Abizanda	Grandes superficies de equipamientos y servicios	0	2000
22002	Abizanda	Humedales y zonas pantanosas	0	2000
22002	Abizanda	Lagos y lagunas	0	2000
22002	Abizanda	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22002	Abizanda	Matorral boscoso de bosque mixto	26,486875	2000
22002	Abizanda	Matorral boscoso de coníferas	598,770639	2000
22002	Abizanda	Matorral boscoso de frondosas	70,668972	2000
22002	Abizanda	Matorrales subarbustivos o arbustivos muy poco densos	142,170849	2000
22002	Abizanda	Mezcla de frondosas	3,544559	2000
22002	Abizanda	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22002	Abizanda	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	50,478135	2000
22002	Abizanda	Mosaico de cultivos anuales con cultivos  permanentes en  secano	457,904026	2000
22002	Abizanda	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
22002	Abizanda	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22002	Abizanda	Mosaico de cultivos anuales con prados o praderas en secano	0	2000
22002	Abizanda	Mosaico de cultivos permanentes en regadío	0	2000
22002	Abizanda	Mosaico de cultivos permanentes en secano	0	2000
22002	Abizanda	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22002	Abizanda	Olivares en regadío	0	2000
22002	Abizanda	Olivares en secano	33,420332	2000
22002	Abizanda	Otras frondosas de plantación	0	2000
22002	Abizanda	Otros frutales en regadío	0	2000
22002	Abizanda	Otros pastizales mediterráneos	0	2000
22002	Abizanda	Pastizales supraforestales mediterráneos	0	2000
22002	Abizanda	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22002	Abizanda	Perennifolias	57,764308	2000
22002	Abizanda	Prados y praderas	0	2000
22002	Abizanda	Ramblas con poca o sin vegetación	32,461795	2000
22002	Abizanda	Resto de instalaciones deportivas y recreativas	0	2000
22002	Abizanda	Rocas desnudas con fuerte pendiente (acantilados, etc.)	0	2000
22002	Abizanda	Ríos y cauces naturales	0	2000
22002	Abizanda	Tejido urbano continuo	2,503693	2000
22002	Abizanda	Tierras de labor en secano	300,207778	2000
22002	Abizanda	Turberas y prados turbosos	0	2000
22002	Abizanda	Urbanizaciones extensas y/o ajardinadas	7,525954	2000
22002	Abizanda	Viñedos en regadío	0	2000
22002	Abizanda	Viñedos en secano	0	2000
22002	Abizanda	Xeroestepa subdesértica	0	2000
22002	Abizanda	Zonas de extracción minera	0	2000
22002	Abizanda	Zonas en construcción	0	2000
22002	Abizanda	Zonas industriales	0	2000
22002	Abizanda	Zonas quemadas	0	2000
22002	Abizanda	Zonas verdes urbanas	0	2000
22003	Adahuesca	Aeropuertos	0	2000
22003	Adahuesca	Afloramientos rocosos y canchales	0	2000
22003	Adahuesca	Arrozales	0	2000
22003	Adahuesca	Autopistas, autovías y terrenos asociados	0	2000
22003	Adahuesca	Bosque mixto	73,655848	2000
22003	Adahuesca	Bosques de coníferas con hojas aciculares	199,454747	2000
22003	Adahuesca	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22003	Adahuesca	Bosques de ribera	0	2000
22003	Adahuesca	Caducifolias y marcescentes	22,153054	2000
22003	Adahuesca	Campos de golf	0	2000
22003	Adahuesca	Canales artificiales	0	2000
22003	Adahuesca	Complejos ferroviarios	0	2000
22003	Adahuesca	Cultivos herbáceos en regadío	0,089969	2000
22003	Adahuesca	Cárcavas y/o zonas en proceso de erosión	119,461694	2000
22003	Adahuesca	Embalses	0	2000
22003	Adahuesca	Escombreras y vertederos	0	2000
22003	Adahuesca	Espacios orófilos altitudinales con vegetación escasa	0	2000
22003	Adahuesca	Estructura urbana abierta	0	2000
22003	Adahuesca	Frutales en secano	0	2000
22003	Adahuesca	Glaciares y nieves permanentes	0	2000
22003	Adahuesca	Grandes formaciones de matorral denso o medianamente denso	812,378903	2000
22003	Adahuesca	Grandes superficies de equipamientos y servicios	0	2000
22003	Adahuesca	Humedales y zonas pantanosas	0	2000
22003	Adahuesca	Lagos y lagunas	0	2000
22003	Adahuesca	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22003	Adahuesca	Matorral boscoso de bosque mixto	109,57562	2000
22003	Adahuesca	Matorral boscoso de coníferas	0	2000
22003	Adahuesca	Matorral boscoso de frondosas	617,389038	2000
22003	Adahuesca	Matorrales subarbustivos o arbustivos muy poco densos	254,699162	2000
22003	Adahuesca	Mezcla de frondosas	0,166517	2000
22003	Adahuesca	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22003	Adahuesca	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	142,166973	2000
22003	Adahuesca	Mosaico de cultivos anuales con cultivos  permanentes en  secano	401,447066	2000
22003	Adahuesca	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
22003	Adahuesca	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22003	Adahuesca	Mosaico de cultivos anuales con prados o praderas en secano	0	2000
22003	Adahuesca	Mosaico de cultivos permanentes en regadío	0	2000
22003	Adahuesca	Mosaico de cultivos permanentes en secano	8,367284	2000
22003	Adahuesca	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22003	Adahuesca	Olivares en regadío	0	2000
22003	Adahuesca	Olivares en secano	42,908932	2000
22003	Adahuesca	Otras frondosas de plantación	0	2000
22003	Adahuesca	Otros frutales en regadío	0	2000
22003	Adahuesca	Otros pastizales mediterráneos	121,095513	2000
22003	Adahuesca	Pastizales supraforestales mediterráneos	0	2000
22003	Adahuesca	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22003	Adahuesca	Perennifolias	1696,309946	2000
22003	Adahuesca	Prados y praderas	0	2000
22003	Adahuesca	Ramblas con poca o sin vegetación	0	2000
22003	Adahuesca	Resto de instalaciones deportivas y recreativas	0	2000
22003	Adahuesca	Rocas desnudas con fuerte pendiente (acantilados, etc.)	0	2000
22003	Adahuesca	Ríos y cauces naturales	0	2000
22003	Adahuesca	Tejido urbano continuo	6,416994	2000
22003	Adahuesca	Tierras de labor en secano	619,36778	2000
22003	Adahuesca	Turberas y prados turbosos	0	2000
22003	Adahuesca	Urbanizaciones extensas y/o ajardinadas	0	2000
22003	Adahuesca	Viñedos en regadío	0	2000
22003	Adahuesca	Viñedos en secano	0	2000
22003	Adahuesca	Xeroestepa subdesértica	0	2000
22003	Adahuesca	Zonas de extracción minera	0	2000
22003	Adahuesca	Zonas en construcción	0	2000
22003	Adahuesca	Zonas industriales	0	2000
22003	Adahuesca	Zonas quemadas	0	2000
22003	Adahuesca	Zonas verdes urbanas	0	2000
22004	Agüero	Aeropuertos	0	2000
22004	Agüero	Afloramientos rocosos y canchales	0	2000
22004	Agüero	Arrozales	0	2000
22004	Agüero	Autopistas, autovías y terrenos asociados	0	2000
22004	Agüero	Bosque mixto	1769,71281	2000
22004	Agüero	Bosques de coníferas con hojas aciculares	2683,646946	2000
22004	Agüero	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22004	Agüero	Bosques de ribera	0	2000
22004	Agüero	Caducifolias y marcescentes	243,130006	2000
22004	Agüero	Campos de golf	0	2000
22004	Agüero	Canales artificiales	0	2000
22004	Agüero	Complejos ferroviarios	0	2000
22004	Agüero	Cultivos herbáceos en regadío	0	2000
22004	Agüero	Cárcavas y/o zonas en proceso de erosión	0	2000
22004	Agüero	Embalses	0	2000
22004	Agüero	Escombreras y vertederos	0	2000
22004	Agüero	Espacios orófilos altitudinales con vegetación escasa	0	2000
22004	Agüero	Estructura urbana abierta	0,599611	2000
22004	Agüero	Frutales en secano	0	2000
22004	Agüero	Glaciares y nieves permanentes	0	2000
22004	Agüero	Grandes formaciones de matorral denso o medianamente denso	360,773233	2000
22004	Agüero	Grandes superficies de equipamientos y servicios	0	2000
22004	Agüero	Humedales y zonas pantanosas	0	2000
22004	Agüero	Lagos y lagunas	0	2000
22004	Agüero	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22004	Agüero	Matorral boscoso de bosque mixto	2077,902472	2000
22004	Agüero	Matorral boscoso de coníferas	367,197105	2000
22004	Agüero	Matorral boscoso de frondosas	163,066929	2000
22004	Agüero	Matorrales subarbustivos o arbustivos muy poco densos	724,52429	2000
22004	Agüero	Mezcla de frondosas	1,825478	2000
22004	Agüero	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22004	Agüero	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	143,424866	2000
22004	Agüero	Mosaico de cultivos anuales con cultivos  permanentes en  secano	182,352087	2000
22004	Agüero	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
22004	Agüero	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22004	Agüero	Mosaico de cultivos anuales con prados o praderas en secano	43,430592	2000
22004	Agüero	Mosaico de cultivos permanentes en regadío	0	2000
22004	Agüero	Mosaico de cultivos permanentes en secano	0	2000
22004	Agüero	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22004	Agüero	Olivares en regadío	0	2000
22004	Agüero	Olivares en secano	0	2000
22004	Agüero	Otras frondosas de plantación	0	2000
22004	Agüero	Otros frutales en regadío	0	2000
22004	Agüero	Otros pastizales mediterráneos	31,869059	2000
22004	Agüero	Pastizales supraforestales mediterráneos	0	2000
22004	Agüero	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22004	Agüero	Perennifolias	217,598422	2000
22004	Agüero	Prados y praderas	0	2000
22004	Agüero	Ramblas con poca o sin vegetación	0	2000
22004	Agüero	Resto de instalaciones deportivas y recreativas	0	2000
22004	Agüero	Rocas desnudas con fuerte pendiente (acantilados, etc.)	73,629845	2000
22004	Agüero	Ríos y cauces naturales	0	2000
22004	Agüero	Tejido urbano continuo	6,956795	2000
22004	Agüero	Tierras de labor en secano	323,283357	2000
22004	Agüero	Turberas y prados turbosos	0	2000
22004	Agüero	Urbanizaciones extensas y/o ajardinadas	0	2000
22004	Agüero	Viñedos en regadío	0	2000
22004	Agüero	Viñedos en secano	0	2000
22004	Agüero	Xeroestepa subdesértica	0	2000
22004	Agüero	Zonas de extracción minera	0	2000
22004	Agüero	Zonas en construcción	0	2000
22004	Agüero	Zonas industriales	0	2000
22004	Agüero	Zonas quemadas	0	2000
22004	Agüero	Zonas verdes urbanas	0	2000
22006	Aísa	Aeropuertos	0	2000
22006	Aísa	Afloramientos rocosos y canchales	691,447307	2000
22006	Aísa	Arrozales	0	2000
22006	Aísa	Autopistas, autovías y terrenos asociados	0	2000
22006	Aísa	Bosque mixto	469,135192	2000
22006	Aísa	Bosques de coníferas con hojas aciculares	2487,717147	2000
22006	Aísa	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22006	Aísa	Bosques de ribera	0	2000
22006	Aísa	Caducifolias y marcescentes	231,23595	2000
22006	Aísa	Campos de golf	0	2000
22006	Aísa	Canales artificiales	0	2000
22006	Aísa	Complejos ferroviarios	0	2000
22006	Aísa	Cultivos herbáceos en regadío	45,314429	2000
22006	Aísa	Cárcavas y/o zonas en proceso de erosión	0,65548	2000
22006	Aísa	Embalses	0	2000
22006	Aísa	Escombreras y vertederos	0	2000
22006	Aísa	Espacios orófilos altitudinales con vegetación escasa	771,750246	2000
22006	Aísa	Estructura urbana abierta	0	2000
22006	Aísa	Frutales en secano	0	2000
22006	Aísa	Glaciares y nieves permanentes	0	2000
22006	Aísa	Grandes formaciones de matorral denso o medianamente denso	133,544233	2000
22006	Aísa	Grandes superficies de equipamientos y servicios	0	2000
22006	Aísa	Humedales y zonas pantanosas	0	2000
22006	Aísa	Lagos y lagunas	0	2000
22006	Aísa	Landas y matorrales en climas húmedos. Vegetación mesófila	198,690635	2000
22006	Aísa	Matorral boscoso de bosque mixto	45,129199	2000
22006	Aísa	Matorral boscoso de coníferas	674,677983	2000
22006	Aísa	Matorral boscoso de frondosas	232,326829	2000
22006	Aísa	Matorrales subarbustivos o arbustivos muy poco densos	164,567486	2000
22006	Aísa	Mezcla de frondosas	0	2000
22006	Aísa	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22006	Aísa	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	0	2000
22006	Aísa	Mosaico de cultivos anuales con cultivos  permanentes en  secano	0	2000
22006	Aísa	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
22006	Aísa	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22006	Aísa	Mosaico de cultivos anuales con prados o praderas en secano	64,730955	2000
22006	Aísa	Mosaico de cultivos permanentes en regadío	0	2000
22006	Aísa	Mosaico de cultivos permanentes en secano	0	2000
22006	Aísa	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	67,096786	2000
22006	Aísa	Olivares en regadío	0	2000
22006	Aísa	Olivares en secano	0	2000
22006	Aísa	Otras frondosas de plantación	0	2000
22006	Aísa	Otros frutales en regadío	0	2000
22006	Aísa	Otros pastizales mediterráneos	0	2000
22006	Aísa	Pastizales supraforestales mediterráneos	0	2000
22006	Aísa	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	1092,440356	2000
22006	Aísa	Perennifolias	0	2000
22006	Aísa	Prados y praderas	215,455902	2000
22006	Aísa	Ramblas con poca o sin vegetación	128,621271	2000
22006	Aísa	Resto de instalaciones deportivas y recreativas	0	2000
22006	Aísa	Rocas desnudas con fuerte pendiente (acantilados, etc.)	345,20188	2000
22006	Aísa	Ríos y cauces naturales	0	2000
22006	Aísa	Tejido urbano continuo	41,102601	2000
22006	Aísa	Tierras de labor en secano	0	2000
22006	Aísa	Turberas y prados turbosos	0	2000
22006	Aísa	Urbanizaciones extensas y/o ajardinadas	0	2000
22006	Aísa	Viñedos en regadío	0	2000
22006	Aísa	Viñedos en secano	0	2000
22006	Aísa	Xeroestepa subdesértica	0	2000
22006	Aísa	Zonas de extracción minera	0	2000
22006	Aísa	Zonas en construcción	0	2000
22006	Aísa	Zonas industriales	0	2000
22006	Aísa	Zonas quemadas	0	2000
22006	Aísa	Zonas verdes urbanas	0	2000
22007	Albalate de Cinca	Aeropuertos	0	2000
22007	Albalate de Cinca	Afloramientos rocosos y canchales	0	2000
22007	Albalate de Cinca	Arrozales	0	2000
22007	Albalate de Cinca	Autopistas, autovías y terrenos asociados	0	2000
22007	Albalate de Cinca	Bosque mixto	0	2000
22007	Albalate de Cinca	Bosques de coníferas con hojas aciculares	0,66984	2000
22007	Albalate de Cinca	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22007	Albalate de Cinca	Bosques de ribera	228,955783	2000
22007	Albalate de Cinca	Caducifolias y marcescentes	0	2000
22007	Albalate de Cinca	Campos de golf	0	2000
22007	Albalate de Cinca	Canales artificiales	0	2000
22007	Albalate de Cinca	Complejos ferroviarios	0	2000
22007	Albalate de Cinca	Cultivos herbáceos en regadío	2544,893298	2000
22007	Albalate de Cinca	Cárcavas y/o zonas en proceso de erosión	0	2000
22007	Albalate de Cinca	Embalses	14,028573	2000
22007	Albalate de Cinca	Escombreras y vertederos	0	2000
22007	Albalate de Cinca	Espacios orófilos altitudinales con vegetación escasa	0	2000
22007	Albalate de Cinca	Estructura urbana abierta	30,201241	2000
22007	Albalate de Cinca	Frutales en secano	0	2000
22007	Albalate de Cinca	Glaciares y nieves permanentes	0	2000
22007	Albalate de Cinca	Grandes formaciones de matorral denso o medianamente denso	0	2000
22007	Albalate de Cinca	Grandes superficies de equipamientos y servicios	0	2000
22007	Albalate de Cinca	Humedales y zonas pantanosas	0	2000
22007	Albalate de Cinca	Lagos y lagunas	0	2000
22007	Albalate de Cinca	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22007	Albalate de Cinca	Matorral boscoso de bosque mixto	0	2000
22007	Albalate de Cinca	Matorral boscoso de coníferas	0	2000
22007	Albalate de Cinca	Matorral boscoso de frondosas	0	2000
22007	Albalate de Cinca	Matorrales subarbustivos o arbustivos muy poco densos	352,60432	2000
22007	Albalate de Cinca	Mezcla de frondosas	0	2000
22007	Albalate de Cinca	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	36,236678	2000
22007	Albalate de Cinca	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	0	2000
22007	Albalate de Cinca	Mosaico de cultivos anuales con cultivos  permanentes en  secano	0	2000
22007	Albalate de Cinca	Mosaico de cultivos anuales con cultivos permanentes en regadío	852,410323	2000
22007	Albalate de Cinca	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22007	Albalate de Cinca	Mosaico de cultivos anuales con prados o praderas en secano	0	2000
22007	Albalate de Cinca	Mosaico de cultivos permanentes en regadío	0	2000
22007	Albalate de Cinca	Mosaico de cultivos permanentes en secano	0	2000
22007	Albalate de Cinca	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22007	Albalate de Cinca	Olivares en regadío	0	2000
22007	Albalate de Cinca	Olivares en secano	0	2000
22007	Albalate de Cinca	Otras frondosas de plantación	32,003258	2000
22007	Albalate de Cinca	Otros frutales en regadío	110,432017	2000
22007	Albalate de Cinca	Otros pastizales mediterráneos	0	2000
22007	Albalate de Cinca	Pastizales supraforestales mediterráneos	0	2000
22007	Albalate de Cinca	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22007	Albalate de Cinca	Perennifolias	0	2000
22007	Albalate de Cinca	Prados y praderas	0	2000
22007	Albalate de Cinca	Ramblas con poca o sin vegetación	0	2000
22007	Albalate de Cinca	Resto de instalaciones deportivas y recreativas	0	2000
22007	Albalate de Cinca	Rocas desnudas con fuerte pendiente (acantilados, etc.)	0	2000
22007	Albalate de Cinca	Ríos y cauces naturales	0	2000
22007	Albalate de Cinca	Tejido urbano continuo	29,069867	2000
22007	Albalate de Cinca	Tierras de labor en secano	195,190332	2000
22007	Albalate de Cinca	Turberas y prados turbosos	0	2000
22007	Albalate de Cinca	Urbanizaciones extensas y/o ajardinadas	0	2000
22007	Albalate de Cinca	Viñedos en regadío	0	2000
22007	Albalate de Cinca	Viñedos en secano	0	2000
22007	Albalate de Cinca	Xeroestepa subdesértica	0	2000
22007	Albalate de Cinca	Zonas de extracción minera	0	2000
22007	Albalate de Cinca	Zonas en construcción	0	2000
22007	Albalate de Cinca	Zonas industriales	0	2000
22007	Albalate de Cinca	Zonas quemadas	0	2000
22007	Albalate de Cinca	Zonas verdes urbanas	0	2000
22008	Albalatillo	Aeropuertos	0	2000
22008	Albalatillo	Afloramientos rocosos y canchales	0	2000
22008	Albalatillo	Arrozales	0	2000
22008	Albalatillo	Autopistas, autovías y terrenos asociados	0	2000
22008	Albalatillo	Bosque mixto	0	2000
22008	Albalatillo	Bosques de coníferas con hojas aciculares	0	2000
22008	Albalatillo	Bosques de coníferas con hojas de tipo cupresáceo	0	2000
22008	Albalatillo	Bosques de ribera	0	2000
22008	Albalatillo	Caducifolias y marcescentes	47,315409	2000
22008	Albalatillo	Campos de golf	0	2000
22008	Albalatillo	Canales artificiales	0	2000
22008	Albalatillo	Complejos ferroviarios	0	2000
22008	Albalatillo	Cultivos herbáceos en regadío	442,306087	2000
22008	Albalatillo	Cárcavas y/o zonas en proceso de erosión	0	2000
22008	Albalatillo	Embalses	0	2000
22008	Albalatillo	Escombreras y vertederos	0	2000
22008	Albalatillo	Espacios orófilos altitudinales con vegetación escasa	0	2000
22008	Albalatillo	Estructura urbana abierta	0	2000
22008	Albalatillo	Frutales en secano	0	2000
22008	Albalatillo	Glaciares y nieves permanentes	0	2000
22008	Albalatillo	Grandes formaciones de matorral denso o medianamente denso	70,090857	2000
22008	Albalatillo	Grandes superficies de equipamientos y servicios	0	2000
22008	Albalatillo	Humedales y zonas pantanosas	0	2000
22008	Albalatillo	Lagos y lagunas	0	2000
22008	Albalatillo	Landas y matorrales en climas húmedos. Vegetación mesófila	0	2000
22008	Albalatillo	Matorral boscoso de bosque mixto	0	2000
22008	Albalatillo	Matorral boscoso de coníferas	0,333172	2000
22008	Albalatillo	Matorral boscoso de frondosas	0	2000
22008	Albalatillo	Matorrales subarbustivos o arbustivos muy poco densos	82,941035	2000
22008	Albalatillo	Mezcla de frondosas	0	2000
22008	Albalatillo	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	0	2000
22008	Albalatillo	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	0	2000
22008	Albalatillo	Mosaico de cultivos anuales con cultivos  permanentes en  secano	0	2000
22008	Albalatillo	Mosaico de cultivos anuales con cultivos permanentes en regadío	0	2000
22008	Albalatillo	Mosaico de cultivos anuales con prados o praderas en regadío	0	2000
22008	Albalatillo	Mosaico de cultivos anuales con prados o praderas en secano	0	2000
22008	Albalatillo	Mosaico de cultivos permanentes en regadío	0	2000
22008	Albalatillo	Mosaico de cultivos permanentes en secano	0	2000
22008	Albalatillo	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
22008	Albalatillo	Olivares en regadío	0	2000
22008	Albalatillo	Olivares en secano	0	2000
22008	Albalatillo	Otras frondosas de plantación	0	2000
22008	Albalatillo	Otros frutales en regadío	0	2000
22008	Albalatillo	Otros pastizales mediterráneos	107,982261	2000
22008	Albalatillo	Pastizales supraforestales mediterráneos	0	2000
22008	Albalatillo	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
22008	Albalatillo	Perennifolias	0	2000
22008	Albalatillo	Prados y praderas	0	2000
22008	Albalatillo	Ramblas con poca o sin vegetación	0	2000
22008	Albalatillo	Resto de instalaciones deportivas y recreativas	0	2000
22008	Albalatillo	Rocas desnudas con fuerte pendiente (acantilados, etc.)	0	2000
22008	Albalatillo	Ríos y cauces naturales	0	2000
22008	Albalatillo	Tejido urbano continuo	14,112785	2000
22008	Albalatillo	Tierras de labor en secano	137,754017	2000
22008	Albalatillo	Turberas y prados turbosos	0	2000
22008	Albalatillo	Urbanizaciones extensas y/o ajardinadas	0	2000
22008	Albalatillo	Viñedos en regadío	0	2000
22008	Albalatillo	Viñedos en secano	0	2000
22008	Albalatillo	Xeroestepa subdesértica	0	2000
22008	Albalatillo	Zonas de extracción minera	0	2000
22008	Albalatillo	Zonas en construcción	0	2000
22008	Albalatillo	Zonas industriales	6,585855	2000
22008	Albalatillo	Zonas quemadas	0	2000
22008	Albalatillo	Zonas verdes urbanas	0	2000
22009	Albelda	Aeropuertos	0	2000
22009	Albelda	Afloramientos rocosos y canchales	0	2000
