Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Sexo	Personas
2009	07	Asia	Asia	50	Zaragoza	Mujer	155
2009	08	Oceanía	Oceanía	22	Huesca	Hombre	12
2009	08	Oceanía	Oceanía	22	Huesca	Mujer	15
2009	08	Oceanía	Oceanía	44	Teruel	Hombre	22
2009	08	Oceanía	Oceanía	44	Teruel	Mujer	14
2009	08	Oceanía	Oceanía	50	Zaragoza	Hombre	56
2009	08	Oceanía	Oceanía	50	Zaragoza	Mujer	69
2010	01	Europa	UE-27	22	Huesca	Hombre	1209
2010	01	Europa	UE-27	22	Huesca	Mujer	1224
2010	01	Europa	UE-27	44	Teruel	Hombre	806
2010	01	Europa	UE-27	44	Teruel	Mujer	786
2010	01	Europa	UE-27	50	Zaragoza	Hombre	3280
2010	01	Europa	UE-27	50	Zaragoza	Mujer	3765
2010	02	Europa	Resto de Europa	22	Huesca	Hombre	182
2010	02	Europa	Resto de Europa	22	Huesca	Mujer	203
2010	02	Europa	Resto de Europa	44	Teruel	Hombre	78
2010	02	Europa	Resto de Europa	44	Teruel	Mujer	107
2010	02	Europa	Resto de Europa	50	Zaragoza	Hombre	489
2010	02	Europa	Resto de Europa	50	Zaragoza	Mujer	558
2010	03	África	Magreb	22	Huesca	Hombre	9
2010	03	África	Magreb	22	Huesca	Mujer	8
2010	03	África	Magreb	44	Teruel	Hombre	5
2010	03	África	Magreb	44	Teruel	Mujer	5
2010	03	África	Magreb	50	Zaragoza	Hombre	62
2010	03	África	Magreb	50	Zaragoza	Mujer	53
2010	04	África	Resto de África	22	Huesca	Hombre	17
2010	04	África	Resto de África	22	Huesca	Mujer	13
2010	04	África	Resto de África	44	Teruel	Hombre	6
2010	04	África	Resto de África	44	Teruel	Mujer	6
2010	04	África	Resto de África	50	Zaragoza	Hombre	77
2010	04	África	Resto de África	50	Zaragoza	Mujer	66
2010	05	América	América del Norte	22	Huesca	Hombre	101
2010	05	América	América del Norte	22	Huesca	Mujer	120
2010	05	América	América del Norte	44	Teruel	Hombre	109
2010	05	América	América del Norte	44	Teruel	Mujer	107
2010	05	América	América del Norte	50	Zaragoza	Hombre	628
2010	05	América	América del Norte	50	Zaragoza	Mujer	920
2010	06	América	Resto de América	22	Huesca	Hombre	1067
2010	06	América	Resto de América	22	Huesca	Mujer	1195
2010	06	América	Resto de América	44	Teruel	Hombre	840
2010	06	América	Resto de América	44	Teruel	Mujer	880
2010	06	América	Resto de América	50	Zaragoza	Hombre	3524
2010	06	América	Resto de América	50	Zaragoza	Mujer	3683
2010	07	Asia	Asia	22	Huesca	Hombre	14
2010	07	Asia	Asia	22	Huesca	Mujer	10
2010	07	Asia	Asia	44	Teruel	Hombre	11
2010	07	Asia	Asia	44	Teruel	Mujer	8
2010	07	Asia	Asia	50	Zaragoza	Hombre	196
2010	07	Asia	Asia	50	Zaragoza	Mujer	175
2010	08	Oceanía	Oceanía	22	Huesca	Hombre	12
2010	08	Oceanía	Oceanía	22	Huesca	Mujer	13
2010	08	Oceanía	Oceanía	44	Teruel	Hombre	22
2010	08	Oceanía	Oceanía	44	Teruel	Mujer	14
2010	08	Oceanía	Oceanía	50	Zaragoza	Hombre	56
2010	08	Oceanía	Oceanía	50	Zaragoza	Mujer	74
2011	01	Europa	UE-27	22	Huesca	Hombre	1279
2011	01	Europa	UE-27	22	Huesca	Mujer	1307
2011	01	Europa	UE-27	44	Teruel	Hombre	861
2011	01	Europa	UE-27	44	Teruel	Mujer	834
2011	01	Europa	UE-27	50	Zaragoza	Hombre	3469
2011	01	Europa	UE-27	50	Zaragoza	Mujer	3951
2011	02	Europa	Resto de Europa	22	Huesca	Hombre	189
2011	02	Europa	Resto de Europa	22	Huesca	Mujer	205
2011	02	Europa	Resto de Europa	44	Teruel	Hombre	77
2011	02	Europa	Resto de Europa	44	Teruel	Mujer	107
2011	02	Europa	Resto de Europa	50	Zaragoza	Hombre	494
2011	02	Europa	Resto de Europa	50	Zaragoza	Mujer	574
2011	03	África	Magreb	22	Huesca	Hombre	11
2011	03	África	Magreb	22	Huesca	Mujer	7
2011	03	África	Magreb	44	Teruel	Hombre	5
2011	03	África	Magreb	44	Teruel	Mujer	5
2011	03	África	Magreb	50	Zaragoza	Hombre	60
2011	03	África	Magreb	50	Zaragoza	Mujer	48
2011	04	África	Resto de África	22	Huesca	Hombre	19
2011	04	África	Resto de África	22	Huesca	Mujer	13
2011	04	África	Resto de África	44	Teruel	Hombre	6
2011	04	África	Resto de África	44	Teruel	Mujer	6
2011	04	África	Resto de África	50	Zaragoza	Hombre	92
2011	04	África	Resto de África	50	Zaragoza	Mujer	85
2011	05	América	América del Norte	22	Huesca	Hombre	104
2011	05	América	América del Norte	22	Huesca	Mujer	129
2011	05	América	América del Norte	44	Teruel	Hombre	120
2011	05	América	América del Norte	44	Teruel	Mujer	116
2011	05	América	América del Norte	50	Zaragoza	Hombre	667
2011	05	América	América del Norte	50	Zaragoza	Mujer	973
2011	06	América	Resto de América	22	Huesca	Hombre	1226
2011	06	América	Resto de América	22	Huesca	Mujer	1320
2011	06	América	Resto de América	44	Teruel	Hombre	928
2011	06	América	Resto de América	44	Teruel	Mujer	990
2011	06	América	Resto de América	50	Zaragoza	Hombre	3920
2011	06	América	Resto de América	50	Zaragoza	Mujer	4081
2011	07	Asia	Asia	22	Huesca	Hombre	22
2011	07	Asia	Asia	22	Huesca	Mujer	12
2011	07	Asia	Asia	44	Teruel	Hombre	11
2011	07	Asia	Asia	44	Teruel	Mujer	7
2011	07	Asia	Asia	50	Zaragoza	Hombre	219
2011	07	Asia	Asia	50	Zaragoza	Mujer	179
2011	08	Oceanía	Oceanía	22	Huesca	Hombre	12
2011	08	Oceanía	Oceanía	22	Huesca	Mujer	14
2011	08	Oceanía	Oceanía	44	Teruel	Hombre	21
2011	08	Oceanía	Oceanía	44	Teruel	Mujer	14
2011	08	Oceanía	Oceanía	50	Zaragoza	Hombre	66
2011	08	Oceanía	Oceanía	50	Zaragoza	Mujer	83
2012	01	Europa	UE-27	22	Huesca	Hombre	1393
2012	01	Europa	UE-27	22	Huesca	Mujer	1427
2012	01	Europa	UE-27	44	Teruel	Hombre	898
2012	01	Europa	UE-27	44	Teruel	Mujer	866
2012	01	Europa	UE-27	50	Zaragoza	Hombre	3688
2012	01	Europa	UE-27	50	Zaragoza	Mujer	4183
2012	02	Europa	Resto de Europa	22	Huesca	Hombre	186
2012	02	Europa	Resto de Europa	22	Huesca	Mujer	200
2012	02	Europa	Resto de Europa	44	Teruel	Hombre	80
2012	02	Europa	Resto de Europa	44	Teruel	Mujer	103
2012	02	Europa	Resto de Europa	50	Zaragoza	Hombre	536
2012	02	Europa	Resto de Europa	50	Zaragoza	Mujer	605
2012	03	África	Magreb	22	Huesca	Hombre	9
2012	03	África	Magreb	22	Huesca	Mujer	8
2012	03	África	Magreb	44	Teruel	Hombre	6
2012	03	África	Magreb	44	Teruel	Mujer	7
2012	03	África	Magreb	50	Zaragoza	Hombre	57
2012	03	África	Magreb	50	Zaragoza	Mujer	47
2012	04	África	Resto de África	22	Huesca	Hombre	23
2012	04	África	Resto de África	22	Huesca	Mujer	16
2012	04	África	Resto de África	44	Teruel	Hombre	6
2012	04	África	Resto de África	44	Teruel	Mujer	6
2012	04	África	Resto de África	50	Zaragoza	Hombre	96
2012	04	África	Resto de África	50	Zaragoza	Mujer	87
2012	05	América	América del Norte	22	Huesca	Hombre	119
2012	05	América	América del Norte	22	Huesca	Mujer	137
2012	05	América	América del Norte	44	Teruel	Hombre	125
2012	05	América	América del Norte	44	Teruel	Mujer	123
2012	05	América	América del Norte	50	Zaragoza	Hombre	727
2012	05	América	América del Norte	50	Zaragoza	Mujer	1020
2012	06	América	Resto de América	22	Huesca	Hombre	1335
2012	06	América	Resto de América	22	Huesca	Mujer	1452
2012	06	América	Resto de América	44	Teruel	Hombre	996
2012	06	América	Resto de América	44	Teruel	Mujer	1070
2012	06	América	Resto de América	50	Zaragoza	Hombre	4267
2012	06	América	Resto de América	50	Zaragoza	Mujer	4454
2012	07	Asia	Asia	22	Huesca	Hombre	27
2012	07	Asia	Asia	22	Huesca	Mujer	15
2012	07	Asia	Asia	44	Teruel	Hombre	12
2012	07	Asia	Asia	44	Teruel	Mujer	9
2012	07	Asia	Asia	50	Zaragoza	Hombre	238
2012	07	Asia	Asia	50	Zaragoza	Mujer	212
2012	08	Oceanía	Oceanía	22	Huesca	Hombre	10
2012	08	Oceanía	Oceanía	22	Huesca	Mujer	14
2012	08	Oceanía	Oceanía	44	Teruel	Hombre	22
2012	08	Oceanía	Oceanía	44	Teruel	Mujer	14
2012	08	Oceanía	Oceanía	50	Zaragoza	Hombre	77
2012	08	Oceanía	Oceanía	50	Zaragoza	Mujer	86
2013	01	Europa	UE-27	22	Huesca	Hombre	1486
2013	01	Europa	UE-27	22	Huesca	Mujer	1557
2013	01	Europa	UE-27	44	Teruel	Hombre	930
2013	01	Europa	UE-27	44	Teruel	Mujer	901
2013	01	Europa	UE-27	50	Zaragoza	Hombre	3983
2013	01	Europa	UE-27	50	Zaragoza	Mujer	4481
2013	02	Europa	Resto de Europa	22	Huesca	Hombre	192
2013	02	Europa	Resto de Europa	22	Huesca	Mujer	203
2013	02	Europa	Resto de Europa	44	Teruel	Hombre	80
2013	02	Europa	Resto de Europa	44	Teruel	Mujer	108
2013	02	Europa	Resto de Europa	50	Zaragoza	Hombre	561
2013	02	Europa	Resto de Europa	50	Zaragoza	Mujer	628
2013	03	África	Magreb	22	Huesca	Hombre	8
2013	03	África	Magreb	22	Huesca	Mujer	8
2013	03	África	Magreb	44	Teruel	Hombre	6
2013	03	África	Magreb	44	Teruel	Mujer	6
2013	03	África	Magreb	50	Zaragoza	Hombre	61
2013	03	África	Magreb	50	Zaragoza	Mujer	51
2013	04	África	Resto de África	22	Huesca	Hombre	28
2013	04	África	Resto de África	22	Huesca	Mujer	17
2013	04	África	Resto de África	44	Teruel	Hombre	6
2013	04	África	Resto de África	44	Teruel	Mujer	7
2013	04	África	Resto de África	50	Zaragoza	Hombre	116
2013	04	África	Resto de África	50	Zaragoza	Mujer	99
2013	05	América	América del Norte	22	Huesca	Hombre	133
2013	05	América	América del Norte	22	Huesca	Mujer	150
2013	05	América	América del Norte	44	Teruel	Hombre	129
2013	05	América	América del Norte	44	Teruel	Mujer	130
2013	05	América	América del Norte	50	Zaragoza	Hombre	765
2013	05	América	América del Norte	50	Zaragoza	Mujer	1062
2013	06	América	Resto de América	22	Huesca	Hombre	1440
2013	06	América	Resto de América	22	Huesca	Mujer	1549
2013	06	América	Resto de América	44	Teruel	Hombre	1058
2013	06	América	Resto de América	44	Teruel	Mujer	1130
2013	06	América	Resto de América	50	Zaragoza	Hombre	4561
2013	06	América	Resto de América	50	Zaragoza	Mujer	4845
2013	07	Asia	Asia	22	Huesca	Hombre	30
2013	07	Asia	Asia	22	Huesca	Mujer	16
2013	07	Asia	Asia	44	Teruel	Hombre	11
2013	07	Asia	Asia	44	Teruel	Mujer	11
2013	07	Asia	Asia	50	Zaragoza	Hombre	269
2013	07	Asia	Asia	50	Zaragoza	Mujer	227
2013	08	Oceanía	Oceanía	22	Huesca	Hombre	10
2013	08	Oceanía	Oceanía	22	Huesca	Mujer	14
2013	08	Oceanía	Oceanía	44	Teruel	Hombre	21
2013	08	Oceanía	Oceanía	44	Teruel	Mujer	15
2013	08	Oceanía	Oceanía	50	Zaragoza	Hombre	83
2013	08	Oceanía	Oceanía	50	Zaragoza	Mujer	100
2014	01	Europa	UE-28	22	Huesca	Hombre	1586
2014	01	Europa	UE-28	22	Huesca	Mujer	1651
2014	01	Europa	UE-28	44	Teruel	Hombre	960
2014	01	Europa	UE-28	44	Teruel	Mujer	926
2014	01	Europa	UE-28	50	Zaragoza	Hombre	4266
2014	01	Europa	UE-28	50	Zaragoza	Mujer	4768
2014	02	Europa	Resto de Europa	22	Huesca	Hombre	188
2014	02	Europa	Resto de Europa	22	Huesca	Mujer	204
2014	02	Europa	Resto de Europa	44	Teruel	Hombre	82
2014	02	Europa	Resto de Europa	44	Teruel	Mujer	102
2014	02	Europa	Resto de Europa	50	Zaragoza	Hombre	596
2014	02	Europa	Resto de Europa	50	Zaragoza	Mujer	653
2014	03	África	Magreb	22	Huesca	Hombre	8
2014	03	África	Magreb	22	Huesca	Mujer	6
2014	03	África	Magreb	44	Teruel	Hombre	7
2014	03	África	Magreb	44	Teruel	Mujer	6
2014	03	África	Magreb	50	Zaragoza	Hombre	64
2014	03	África	Magreb	50	Zaragoza	Mujer	60
2014	04	África	Resto de África	22	Huesca	Hombre	33
2014	04	África	Resto de África	22	Huesca	Mujer	23
2014	04	África	Resto de África	44	Teruel	Hombre	6
2014	04	África	Resto de África	44	Teruel	Mujer	7
2014	04	África	Resto de África	50	Zaragoza	Hombre	107
2014	04	África	Resto de África	50	Zaragoza	Mujer	102
2014	05	América	América del Norte	22	Huesca	Hombre	147
2014	05	América	América del Norte	22	Huesca	Mujer	160
2014	05	América	América del Norte	44	Teruel	Hombre	130
2014	05	América	América del Norte	44	Teruel	Mujer	133
2014	05	América	América del Norte	50	Zaragoza	Hombre	810
2014	05	América	América del Norte	50	Zaragoza	Mujer	1108
2014	06	América	Resto de América	22	Huesca	Hombre	1533
2014	06	América	Resto de América	22	Huesca	Mujer	1640
2014	06	América	Resto de América	44	Teruel	Hombre	1141
2014	06	América	Resto de América	44	Teruel	Mujer	1203
2014	06	América	Resto de América	50	Zaragoza	Hombre	4933
2014	06	América	Resto de América	50	Zaragoza	Mujer	5219
2014	07	Asia	Asia	22	Huesca	Hombre	32
2014	07	Asia	Asia	22	Huesca	Mujer	16
2014	07	Asia	Asia	44	Teruel	Hombre	11
2014	07	Asia	Asia	44	Teruel	Mujer	10
2014	07	Asia	Asia	50	Zaragoza	Hombre	281
2014	07	Asia	Asia	50	Zaragoza	Mujer	239
2014	08	Oceanía	Oceanía	22	Huesca	Hombre	15
2014	08	Oceanía	Oceanía	22	Huesca	Mujer	15
2014	08	Oceanía	Oceanía	44	Teruel	Hombre	23
2014	08	Oceanía	Oceanía	44	Teruel	Mujer	15
2014	08	Oceanía	Oceanía	50	Zaragoza	Hombre	91
2014	08	Oceanía	Oceanía	50	Zaragoza	Mujer	111
2015	01	Europa	UE-28	22	Huesca	Hombre	1696
2015	01	Europa	UE-28	22	Huesca	Mujer	1755
2015	01	Europa	UE-28	44	Teruel	Hombre	990
2015	01	Europa	UE-28	44	Teruel	Mujer	954
2015	01	Europa	UE-28	50	Zaragoza	Hombre	4566
2015	01	Europa	UE-28	50	Zaragoza	Mujer	5077
2015	02	Europa	Resto de Europa	22	Huesca	Hombre	187
2015	02	Europa	Resto de Europa	22	Huesca	Mujer	203
2015	02	Europa	Resto de Europa	44	Teruel	Hombre	83
2015	02	Europa	Resto de Europa	44	Teruel	Mujer	101
2015	02	Europa	Resto de Europa	50	Zaragoza	Hombre	610
2015	02	Europa	Resto de Europa	50	Zaragoza	Mujer	680
2015	03	África	Magreb	22	Huesca	Hombre	13
2015	03	África	Magreb	22	Huesca	Mujer	9
2015	03	África	Magreb	44	Teruel	Hombre	7
2015	03	África	Magreb	44	Teruel	Mujer	8
2015	03	África	Magreb	50	Zaragoza	Hombre	72
2015	03	África	Magreb	50	Zaragoza	Mujer	60
2015	04	África	Resto de África	22	Huesca	Hombre	65
2015	04	África	Resto de África	22	Huesca	Mujer	19
2015	04	África	Resto de África	44	Teruel	Hombre	8
2015	04	África	Resto de África	44	Teruel	Mujer	8
2015	04	África	Resto de África	50	Zaragoza	Hombre	118
2015	04	África	Resto de África	50	Zaragoza	Mujer	113
2015	05	América	América del Norte	22	Huesca	Hombre	155
2015	05	América	América del Norte	22	Huesca	Mujer	173
2015	05	América	América del Norte	44	Teruel	Hombre	136
2015	05	América	América del Norte	44	Teruel	Mujer	140
2015	05	América	América del Norte	50	Zaragoza	Hombre	869
2015	05	América	América del Norte	50	Zaragoza	Mujer	1126
2015	06	América	Resto de América	22	Huesca	Hombre	1628
2015	06	América	Resto de América	22	Huesca	Mujer	1736
2015	06	América	Resto de América	44	Teruel	Hombre	1213
2015	06	América	Resto de América	44	Teruel	Mujer	1259
2015	06	América	Resto de América	50	Zaragoza	Hombre	5324
2015	06	América	Resto de América	50	Zaragoza	Mujer	5537
2015	07	Asia	Asia	22	Huesca	Hombre	41
2015	07	Asia	Asia	22	Huesca	Mujer	23
2015	07	Asia	Asia	44	Teruel	Hombre	14
2015	07	Asia	Asia	44	Teruel	Mujer	14
2015	07	Asia	Asia	50	Zaragoza	Hombre	297
2015	07	Asia	Asia	50	Zaragoza	Mujer	238
2015	08	Oceanía	Oceanía	22	Huesca	Hombre	16
2015	08	Oceanía	Oceanía	22	Huesca	Mujer	15
2015	08	Oceanía	Oceanía	44	Teruel	Hombre	23
2015	08	Oceanía	Oceanía	44	Teruel	Mujer	16
2015	08	Oceanía	Oceanía	50	Zaragoza	Hombre	93
2015	08	Oceanía	Oceanía	50	Zaragoza	Mujer	113
2015	09	Apátridas y no consta	Apátridas y no consta	50	Zaragoza	Hombre	15
2015	09	Apátridas y no consta	Apátridas y no consta	50	Zaragoza	Mujer	13
2016	01	Europa	UE-28	22	Huesca	Hombre	1782
2016	01	Europa	UE-28	22	Huesca	Mujer	1838
2016	01	Europa	UE-28	44	Teruel	Hombre	1013
2016	01	Europa	UE-28	44	Teruel	Mujer	977
2016	01	Europa	UE-28	50	Zaragoza	Hombre	4910
2016	01	Europa	UE-28	50	Zaragoza	Mujer	5421
2016	02	Europa	Resto de Europa	22	Huesca	Hombre	202
2016	02	Europa	Resto de Europa	22	Huesca	Mujer	211
2016	02	Europa	Resto de Europa	44	Teruel	Hombre	83
2016	02	Europa	Resto de Europa	44	Teruel	Mujer	107
2016	02	Europa	Resto de Europa	50	Zaragoza	Hombre	641
2016	02	Europa	Resto de Europa	50	Zaragoza	Mujer	722
2016	03	África	Magreb	22	Huesca	Hombre	18
2016	03	África	Magreb	22	Huesca	Mujer	9
2016	03	África	Magreb	44	Teruel	Hombre	7
2016	03	África	Magreb	44	Teruel	Mujer	10
2016	03	África	Magreb	50	Zaragoza	Hombre	74
2016	03	África	Magreb	50	Zaragoza	Mujer	65
2016	04	África	Resto de África	22	Huesca	Hombre	66
2016	04	África	Resto de África	22	Huesca	Mujer	22
2016	04	África	Resto de África	44	Teruel	Hombre	9
2016	04	África	Resto de África	44	Teruel	Mujer	7
2016	04	África	Resto de África	50	Zaragoza	Hombre	133
2016	04	África	Resto de África	50	Zaragoza	Mujer	122
2016	05	América	América del Norte	22	Huesca	Hombre	175
2016	05	América	América del Norte	22	Huesca	Mujer	181
2016	05	América	América del Norte	44	Teruel	Hombre	149
2016	05	América	América del Norte	44	Teruel	Mujer	142
2016	05	América	América del Norte	50	Zaragoza	Hombre	920
2016	05	América	América del Norte	50	Zaragoza	Mujer	1180
2016	06	América	Resto de América	22	Huesca	Hombre	1738
2016	06	América	Resto de América	22	Huesca	Mujer	1841
2016	06	América	Resto de América	44	Teruel	Hombre	1262
2016	06	América	Resto de América	44	Teruel	Mujer	1298
2016	06	América	Resto de América	50	Zaragoza	Hombre	5631
2016	06	América	Resto de América	50	Zaragoza	Mujer	5813
2016	07	Asia	Asia	22	Huesca	Hombre	43
2016	07	Asia	Asia	22	Huesca	Mujer	20
2016	07	Asia	Asia	44	Teruel	Hombre	20
2016	07	Asia	Asia	44	Teruel	Mujer	18
2016	07	Asia	Asia	50	Zaragoza	Hombre	336
2016	07	Asia	Asia	50	Zaragoza	Mujer	249
2016	08	Oceanía	Oceanía	22	Huesca	Hombre	21
2016	08	Oceanía	Oceanía	22	Huesca	Mujer	17
2016	08	Oceanía	Oceanía	44	Teruel	Hombre	23
2016	08	Oceanía	Oceanía	44	Teruel	Mujer	16
2016	08	Oceanía	Oceanía	50	Zaragoza	Hombre	101
2016	08	Oceanía	Oceanía	50	Zaragoza	Mujer	125
2016	09	Apátridas y no consta	Apátridas y no consta	50	Zaragoza	Hombre	14
2016	09	Apátridas y no consta	Apátridas y no consta	50	Zaragoza	Mujer	14
2017	01	Europa	UE-28	22	Huesca	Hombre	1910
2017	01	Europa	UE-28	22	Huesca	Mujer	1959
2017	01	Europa	UE-28	44	Teruel	Hombre	1030
2017	01	Europa	UE-28	44	Teruel	Mujer	1016
2017	01	Europa	UE-28	50	Zaragoza	Hombre	5388
2017	01	Europa	UE-28	50	Zaragoza	Mujer	5784
2017	02	Europa	Resto de Europa	22	Huesca	Hombre	212
2017	02	Europa	Resto de Europa	22	Huesca	Mujer	217
2017	02	Europa	Resto de Europa	44	Teruel	Hombre	85
2017	02	Europa	Resto de Europa	44	Teruel	Mujer	105
2017	02	Europa	Resto de Europa	50	Zaragoza	Hombre	666
2017	02	Europa	Resto de Europa	50	Zaragoza	Mujer	768
2017	03	África	Magreb	22	Huesca	Hombre	18
2017	03	África	Magreb	22	Huesca	Mujer	9
2017	03	África	Magreb	44	Teruel	Hombre	10
2017	03	África	Magreb	44	Teruel	Mujer	14
2017	03	África	Magreb	50	Zaragoza	Hombre	86
2017	03	África	Magreb	50	Zaragoza	Mujer	69
2017	04	África	Resto de África	22	Huesca	Hombre	85
2017	04	África	Resto de África	22	Huesca	Mujer	25
2017	04	África	Resto de África	44	Teruel	Hombre	9
2017	04	África	Resto de África	44	Teruel	Mujer	7
2017	04	África	Resto de África	50	Zaragoza	Hombre	167
2017	04	África	Resto de África	50	Zaragoza	Mujer	124
2017	05	América	América del Norte	22	Huesca	Hombre	182
2017	05	América	América del Norte	22	Huesca	Mujer	192
2017	05	América	América del Norte	44	Teruel	Hombre	159
2017	05	América	América del Norte	44	Teruel	Mujer	153
2017	05	América	América del Norte	50	Zaragoza	Hombre	1005
2017	05	América	América del Norte	50	Zaragoza	Mujer	1274
2017	06	América	Resto de América	22	Huesca	Hombre	1806
2017	06	América	Resto de América	22	Huesca	Mujer	1897
2017	06	América	Resto de América	44	Teruel	Hombre	1289
2017	06	América	Resto de América	44	Teruel	Mujer	1314
2017	06	América	Resto de América	50	Zaragoza	Hombre	5819
2017	06	América	Resto de América	50	Zaragoza	Mujer	5993
2017	07	Asia	Asia	22	Huesca	Hombre	40
2017	07	Asia	Asia	22	Huesca	Mujer	17
2017	07	Asia	Asia	44	Teruel	Hombre	27
2017	07	Asia	Asia	44	Teruel	Mujer	29
2017	07	Asia	Asia	50	Zaragoza	Hombre	363
2017	07	Asia	Asia	50	Zaragoza	Mujer	283
2017	08	Oceanía	Oceanía	22	Huesca	Hombre	21
2017	08	Oceanía	Oceanía	22	Huesca	Mujer	19
2017	08	Oceanía	Oceanía	44	Teruel	Hombre	25
2017	08	Oceanía	Oceanía	44	Teruel	Mujer	20
2017	08	Oceanía	Oceanía	50	Zaragoza	Hombre	107
2017	08	Oceanía	Oceanía	50	Zaragoza	Mujer	128
2018	01	Europa	UE-28	22	Huesca	Hombre	2012
2018	01	Europa	UE-28	22	Huesca	Mujer	2059
2018	01	Europa	UE-28	44	Teruel	Hombre	1062
2018	01	Europa	UE-28	44	Teruel	Mujer	1055
2018	01	Europa	UE-28	50	Zaragoza	Hombre	5754
2018	01	Europa	UE-28	50	Zaragoza	Mujer	6142
2018	02	Europa	Resto de Europa	22	Huesca	Hombre	215
2018	02	Europa	Resto de Europa	22	Huesca	Mujer	224
2018	02	Europa	Resto de Europa	44	Teruel	Hombre	90
2018	02	Europa	Resto de Europa	44	Teruel	Mujer	105
2018	02	Europa	Resto de Europa	50	Zaragoza	Hombre	681
2018	02	Europa	Resto de Europa	50	Zaragoza	Mujer	788
2018	03	África	Magreb	22	Huesca	Hombre	23
2018	03	África	Magreb	22	Huesca	Mujer	12
2018	03	África	Magreb	44	Teruel	Hombre	13
2018	03	África	Magreb	44	Teruel	Mujer	12
2018	03	África	Magreb	50	Zaragoza	Hombre	85
2018	03	África	Magreb	50	Zaragoza	Mujer	84
2018	04	África	Resto de África	22	Huesca	Hombre	124
2018	04	África	Resto de África	22	Huesca	Mujer	33
2018	04	África	Resto de África	44	Teruel	Hombre	10
2018	04	África	Resto de África	44	Teruel	Mujer	5
2018	04	África	Resto de África	50	Zaragoza	Hombre	204
2018	04	África	Resto de África	50	Zaragoza	Mujer	139
2018	05	América	América del Norte	22	Huesca	Hombre	201
2018	05	América	América del Norte	22	Huesca	Mujer	198
2018	05	América	América del Norte	44	Teruel	Hombre	162
2018	05	América	América del Norte	44	Teruel	Mujer	161
2018	05	América	América del Norte	50	Zaragoza	Hombre	1110
2018	05	América	América del Norte	50	Zaragoza	Mujer	1385
2018	06	América	Resto de América	22	Huesca	Hombre	1836
2018	06	América	Resto de América	22	Huesca	Mujer	1917
2018	06	América	Resto de América	44	Teruel	Hombre	1302
2018	06	América	Resto de América	44	Teruel	Mujer	1330
2018	06	América	Resto de América	50	Zaragoza	Hombre	5939
2018	06	América	Resto de América	50	Zaragoza	Mujer	6091
2018	07	Asia	Asia	22	Huesca	Hombre	38
2018	07	Asia	Asia	22	Huesca	Mujer	23
2018	07	Asia	Asia	44	Teruel	Hombre	25
2018	07	Asia	Asia	44	Teruel	Mujer	22
2018	07	Asia	Asia	50	Zaragoza	Hombre	374
2018	07	Asia	Asia	50	Zaragoza	Mujer	288
2018	08	Oceanía	Oceanía	22	Huesca	Hombre	18
