Año	Comarca código	Comarca nombre	VAB	Sector VAB código	Sector VAB descripción
2015	25	Jiloca	23784,1	30	F Construcción
2015	26	Cuencas Mineras	15073,8	30	F Construcción
2015	27	Andorra-Sierra de Arcos	17247,5	30	F Construcción
2015	28	Bajo Aragón	65476	30	F Construcción
2015	29	Comunidad de Teruel	80400,6	30	F Construcción
2015	30	Maestrazgo	9429,1	30	F Construcción
2015	31	Sierra de Albarracín	12671,1	30	F Construcción
2015	32	Gúdar-Javalambre	23792,9	30	F Construcción
2015	33	Matarraña / Matarranya	19339,9	30	F Construcción
2015	01	La Jacetania	123510	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	02	Alto Gállego	98191,5	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	03	Sobrarbe	47951,8	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	04	La Ribagorza	77426,8	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	05	Cinco Villas	122780	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	06	Hoya de Huesca / Plana de Uesca	339655,4	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	07	Somontano de Barbastro	112508,7	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	08	Cinca Medio	109420,2	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	09	La Litera / La Llitera	85630,3	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	10	Los Monegros	80986,6	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	11	Bajo Cinca / Baix Cinca	118550,3	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	12	Tarazona y el Moncayo	56162,3	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	13	Campo de Borja	62451,4	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	14	Aranda	25586,1	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	15	Ribera Alta del Ebro	173323,6	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	16	Valdejalón	144834,2	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	17	D.C. Zaragoza	4446279,7	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	18	Ribera Baja del Ebro	35834,6	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	64903,1	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	20	Comunidad de Calatayud	184694,2	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	21	Campo de Cariñena	41431,1	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	22	Campo de Belchite	19645,8	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	23	Bajo Martín	31054,1	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	24	Campo de Daroca	22172,3	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	25	Jiloca	55629,6	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	26	Cuencas Mineras	28539	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	27	Andorra-Sierra de Arcos	41283,7	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	28	Bajo Aragón	145306,8	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	29	Comunidad de Teruel	239238,4	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	30	Maestrazgo	12748,4	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	31	Sierra de Albarracín	23508,7	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	32	Gúdar-Javalambre	44224,8	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	33	Matarraña / Matarranya	38018,5	41	G_J Comercio; reparación; transporte; hostelería; información y comunicaciones
2015	01	La Jacetania	94489	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	02	Alto Gállego	59856,8	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	03	Sobrarbe	23372,4	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	04	La Ribagorza	41914,4	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	05	Cinco Villas	77066	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	06	Hoya de Huesca / Plana de Uesca	267282,8	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	07	Somontano de Barbastro	57547,2	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	08	Cinca Medio	58537	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	09	La Litera / La Llitera	50004,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	10	Los Monegros	33247,4	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	11	Bajo Cinca / Baix Cinca	56384,7	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	12	Tarazona y el Moncayo	25554,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	13	Campo de Borja	23316,9	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	14	Aranda	18204,1	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	15	Ribera Alta del Ebro	64937,9	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	16	Valdejalón	63423,1	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	17	D.C. Zaragoza	4144199,6	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	18	Ribera Baja del Ebro	14269,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	22067,1	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	20	Comunidad de Calatayud	91616,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	21	Campo de Cariñena	18057,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	22	Campo de Belchite	11592,5	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	23	Bajo Martín	18936,2	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	24	Campo de Daroca	11678,8	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	25	Jiloca	35486,8	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	26	Cuencas Mineras	25215,8	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	27	Andorra-Sierra de Arcos	19044,5	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	28	Bajo Aragón	70176,3	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	29	Comunidad de Teruel	238543,2	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	30	Maestrazgo	5539	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	31	Sierra de Albarracín	5548	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	32	Gúdar-Javalambre	25684,5	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	33	Matarraña / Matarranya	15031,9	42	K_N Actividades financieras, inmobiliarias; actividades profesionales, científicas y técnicas, administrativas y servicios auxiliares
2015	01	La Jacetania	101162	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	02	Alto Gállego	66206,5	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	03	Sobrarbe	34812,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	04	La Ribagorza	67403,7	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	05	Cinco Villas	116688,8	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	06	Hoya de Huesca / Plana de Uesca	489728,3	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	07	Somontano de Barbastro	133692,9	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	08	Cinca Medio	89847,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	09	La Litera / La Llitera	53583,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	10	Los Monegros	75532,4	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	11	Bajo Cinca / Baix Cinca	63365,3	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	12	Tarazona y el Moncayo	58033,5	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	13	Campo de Borja	56130,5	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	14	Aranda	21421,4	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	15	Ribera Alta del Ebro	105254,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	16	Valdejalón	85659,3	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	17	D.C. Zaragoza	4270385,4	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	18	Ribera Baja del Ebro	26612,7	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	41260,1	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	20	Comunidad de Calatayud	153911,2	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	21	Campo de Cariñena	39263,4	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	22	Campo de Belchite	17777,2	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
2015	23	Bajo Martín	21291	43	O_U Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales; otros servicios
