Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	Grupo Grado Código	Grupo Grado Código	Régimen Código (2 dígitos)	Régimen (2 dígitos)
2015	44	Teruel	60	Leves	1	09	Especial Minería del Carbón
2015	50	Zaragoza	8945	Leves	1	01	General
2015	50	Zaragoza	180	Leves	1	05	Trabajadores Autónomos
2015	50	Zaragoza	1	Leves	1	08	Especial Trabajadores del Mar
2015	50	Zaragoza	2	Leves	1	09	Especial Minería del Carbón
2014	22	Huesca	2045	Leves	1	01	General
2014	22	Huesca	65	Leves	1	05	Trabajadores Autónomos
2014	44	Teruel	982	Leves	1	01	General
2014	44	Teruel	76	Leves	1	05	Trabajadores Autónomos
2014	44	Teruel	55	Leves	1	09	Especial Minería del Carbón
2014	50	Zaragoza	7838	Leves	1	01	General
2014	50	Zaragoza	169	Leves	1	05	Trabajadores Autónomos
2013	22	Huesca	1904	Leves	1	01	General
2013	22	Huesca	57	Leves	1	05	Trabajadores Autónomos
2013	44	Teruel	944	Leves	1	01	General
2013	44	Teruel	74	Leves	1	05	Trabajadores Autónomos
2013	44	Teruel	53	Leves	1	09	Especial Minería del Carbón
2013	50	Zaragoza	7624	Leves	1	01	General
2013	50	Zaragoza	188	Leves	1	05	Trabajadores Autónomos
2013	50	Zaragoza	2	Leves	1	09	Especial Minería del Carbón
2012	22	Huesca	1798	Leves	1	01	General
2012	22	Huesca	73	Leves	1	05	Trabajadores Autónomos
2012	22	Huesca	37	Leves	1	06	Especial Agrario Cuenta Ajena
2012	22	Huesca	4	Leves	1	07	Especial Agrario Cuenta Propia
2012	44	Teruel	925	Leves	1	01	General
2012	44	Teruel	67	Leves	1	05	Trabajadores Autónomos
2012	44	Teruel	9	Leves	1	06	Especial Agrario Cuenta Ajena
2012	44	Teruel	11	Leves	1	07	Especial Agrario Cuenta Propia
2012	44	Teruel	63	Leves	1	09	Especial Minería del Carbón
2012	50	Zaragoza	7835	Leves	1	01	General
2012	50	Zaragoza	177	Leves	1	05	Trabajadores Autónomos
2012	50	Zaragoza	55	Leves	1	06	Especial Agrario Cuenta Ajena
2012	50	Zaragoza	3	Leves	1	09	Especial Minería del Carbón
2011	22	Huesca	2105	Leves	1	01	General
2011	22	Huesca	67	Leves	1	05	Trabajadores Autónomos
2011	22	Huesca	102	Leves	1	06	Especial Agrario Cuenta Ajena
2011	22	Huesca	9	Leves	1	07	Especial Agrario Cuenta Propia
2011	44	Teruel	1193	Leves	1	01	General
2011	44	Teruel	48	Leves	1	05	Trabajadores Autónomos
2011	44	Teruel	33	Leves	1	06	Especial Agrario Cuenta Ajena
2011	44	Teruel	23	Leves	1	07	Especial Agrario Cuenta Propia
2011	44	Teruel	2	Leves	1	08	Especial Trabajadores del Mar
2011	44	Teruel	90	Leves	1	09	Especial Minería del Carbón
2011	50	Zaragoza	9608	Leves	1	01	General
2011	50	Zaragoza	167	Leves	1	05	Trabajadores Autónomos
2011	50	Zaragoza	169	Leves	1	06	Especial Agrario Cuenta Ajena
2011	50	Zaragoza	9	Leves	1	07	Especial Agrario Cuenta Propia
2011	50	Zaragoza	5	Leves	1	09	Especial Minería del Carbón
2010	22	Huesca	2194	Leves	1	01	General
2010	22	Huesca	47	Leves	1	05	Trabajadores Autónomos
2010	22	Huesca	97	Leves	1	06	Especial Agrario Cuenta Ajena
2010	22	Huesca	6	Leves	1	07	Especial Agrario Cuenta Propia
2010	44	Teruel	1403	Leves	1	01	General
2010	44	Teruel	43	Leves	1	05	Trabajadores Autónomos
2010	44	Teruel	52	Leves	1	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	24	Leves	1	07	Especial Agrario Cuenta Propia
2010	44	Teruel	93	Leves	1	09	Especial Minería del Carbón
2010	50	Zaragoza	10781	Leves	1	01	General
2010	50	Zaragoza	167	Leves	1	05	Trabajadores Autónomos
2010	50	Zaragoza	142	Leves	1	06	Especial Agrario Cuenta Ajena
2010	50	Zaragoza	11	Leves	1	07	Especial Agrario Cuenta Propia
2010	50	Zaragoza	5	Leves	1	09	Especial Minería del Carbón
2009	22	Huesca	2523	Leves	1	01	General
2009	22	Huesca	51	Leves	1	05	Trabajadores Autónomos
2009	22	Huesca	89	Leves	1	06	Especial Agrario Cuenta Ajena
2009	22	Huesca	4	Leves	1	07	Especial Agrario Cuenta Propia
2009	44	Teruel	1409	Leves	1	01	General
2009	44	Teruel	58	Leves	1	05	Trabajadores Autónomos
2009	44	Teruel	45	Leves	1	06	Especial Agrario Cuenta Ajena
2009	44	Teruel	11	Leves	1	07	Especial Agrario Cuenta Propia
2009	44	Teruel	96	Leves	1	09	Especial Minería del Carbón
2009	50	Zaragoza	11236	Leves	1	01	General
2009	50	Zaragoza	178	Leves	1	05	Trabajadores Autónomos
2009	50	Zaragoza	136	Leves	1	06	Especial Agrario Cuenta Ajena
2009	50	Zaragoza	12	Leves	1	07	Especial Agrario Cuenta Propia
2009	50	Zaragoza	3	Leves	1	09	Especial Minería del Carbón
2008	22	Huesca	3542	Leves	1	01	General
2008	22	Huesca	48	Leves	1	05	Trabajadores Autónomos
2008	22	Huesca	89	Leves	1	06	Especial Agrario Cuenta Ajena
2008	22	Huesca	8	Leves	1	07	Especial Agrario Cuenta Propia
2008	44	Teruel	1896	Leves	1	01	General
2008	44	Teruel	34	Leves	1	05	Trabajadores Autónomos
2008	44	Teruel	28	Leves	1	06	Especial Agrario Cuenta Ajena
2008	44	Teruel	33	Leves	1	07	Especial Agrario Cuenta Propia
2008	44	Teruel	169	Leves	1	09	Especial Minería del Carbón
2008	50	Zaragoza	16692	Leves	1	01	General
2008	50	Zaragoza	175	Leves	1	05	Trabajadores Autónomos
2008	50	Zaragoza	138	Leves	1	06	Especial Agrario Cuenta Ajena
2008	50	Zaragoza	19	Leves	1	07	Especial Agrario Cuenta Propia
2008	50	Zaragoza	8	Leves	1	09	Especial Minería del Carbón
2007	22	Huesca	3841	Leves	1	01	General
2007	22	Huesca	13	Leves	1	05	Trabajadores Autónomos
2007	22	Huesca	83	Leves	1	06	Especial Agrario Cuenta Ajena
2007	22	Huesca	11	Leves	1	07	Especial Agrario Cuenta Propia
2007	22	Huesca	1	Leves	1	08	Especial Trabajadores del Mar
2007	44	Teruel	1973	Leves	1	01	General
2007	44	Teruel	17	Leves	1	05	Trabajadores Autónomos
2007	44	Teruel	39	Leves	1	06	Especial Agrario Cuenta Ajena
2007	44	Teruel	32	Leves	1	07	Especial Agrario Cuenta Propia
2007	44	Teruel	170	Leves	1	09	Especial Minería del Carbón
2007	50	Zaragoza	18239	Leves	1	01	General
2007	50	Zaragoza	96	Leves	1	05	Trabajadores Autónomos
2007	50	Zaragoza	154	Leves	1	06	Especial Agrario Cuenta Ajena
2007	50	Zaragoza	65	Leves	1	07	Especial Agrario Cuenta Propia
2007	50	Zaragoza	9	Leves	1	09	Especial Minería del Carbón
2006	22	Huesca	3651	Leves	1	01	General
2006	22	Huesca	15	Leves	1	05	Trabajadores Autónomos
2006	22	Huesca	95	Leves	1	06	Especial Agrario Cuenta Ajena
2006	22	Huesca	6	Leves	1	07	Especial Agrario Cuenta Propia
2006	44	Teruel	1778	Leves	1	01	General
2006	44	Teruel	18	Leves	1	05	Trabajadores Autónomos
2006	44	Teruel	21	Leves	1	06	Especial Agrario Cuenta Ajena
2006	44	Teruel	34	Leves	1	07	Especial Agrario Cuenta Propia
2006	44	Teruel	143	Leves	1	09	Especial Minería del Carbón
2006	50	Zaragoza	17028	Leves	1	01	General
2006	50	Zaragoza	82	Leves	1	05	Trabajadores Autónomos
2006	50	Zaragoza	184	Leves	1	06	Especial Agrario Cuenta Ajena
2006	50	Zaragoza	90	Leves	1	07	Especial Agrario Cuenta Propia
2006	50	Zaragoza	4	Leves	1	09	Especial Minería del Carbón
2005	22	Huesca	3333	Leves	1	01	General
2005	22	Huesca	20	Leves	1	05	Trabajadores Autónomos
2005	22	Huesca	86	Leves	1	06	Especial Agrario Cuenta Ajena
2005	22	Huesca	8	Leves	1	07	Especial Agrario Cuenta Propia
2005	44	Teruel	1746	Leves	1	01	General
2005	44	Teruel	17	Leves	1	05	Trabajadores Autónomos
2005	44	Teruel	33	Leves	1	06	Especial Agrario Cuenta Ajena
2005	44	Teruel	26	Leves	1	07	Especial Agrario Cuenta Propia
2005	44	Teruel	113	Leves	1	09	Especial Minería del Carbón
2005	50	Zaragoza	16049	Leves	1	01	General
2005	50	Zaragoza	57	Leves	1	05	Trabajadores Autónomos
2005	50	Zaragoza	208	Leves	1	06	Especial Agrario Cuenta Ajena
2005	50	Zaragoza	57	Leves	1	07	Especial Agrario Cuenta Propia
2005	50	Zaragoza	3	Leves	1	09	Especial Minería del Carbón
2004	22	Huesca	2981	Leves	1	01	General
2004	22	Huesca	10	Leves	1	05	Trabajadores Autónomos
2004	22	Huesca	93	Leves	1	06	Especial Agrario Cuenta Ajena
2004	22	Huesca	8	Leves	1	07	Especial Agrario Cuenta Propia
2004	44	Teruel	1521	Leves	1	01	General
2004	44	Teruel	12	Leves	1	05	Trabajadores Autónomos
2004	44	Teruel	19	Leves	1	06	Especial Agrario Cuenta Ajena
2004	44	Teruel	26	Leves	1	07	Especial Agrario Cuenta Propia
2004	44	Teruel	119	Leves	1	09	Especial Minería del Carbón
2004	50	Zaragoza	15478	Leves	1	01	General
2004	50	Zaragoza	49	Leves	1	05	Trabajadores Autónomos
2004	50	Zaragoza	150	Leves	1	06	Especial Agrario Cuenta Ajena
2004	50	Zaragoza	62	Leves	1	07	Especial Agrario Cuenta Propia
2004	50	Zaragoza	4	Leves	1	09	Especial Minería del Carbón
2003	22	Huesca	2987	Leves	1	01	General
2003	22	Huesca	90	Leves	1	06	Especial Agrario Cuenta Ajena
2003	22	Huesca	7	Leves	1	07	Especial Agrario Cuenta Propia
2003	44	Teruel	1701	Leves	1	01	General
2003	44	Teruel	16	Leves	1	06	Especial Agrario Cuenta Ajena
2003	44	Teruel	21	Leves	1	07	Especial Agrario Cuenta Propia
2003	44	Teruel	116	Leves	1	09	Especial Minería del Carbón
2003	50	Zaragoza	15410	Leves	1	01	General
2003	50	Zaragoza	134	Leves	1	06	Especial Agrario Cuenta Ajena
2003	50	Zaragoza	64	Leves	1	07	Especial Agrario Cuenta Propia
2003	50	Zaragoza	2	Leves	1	09	Especial Minería del Carbón
2020	22	Huesca	20	Graves o muy graves	2	01	General
2020	22	Huesca	5	Graves o muy graves	2	05	Trabajadores Autónomos
2020	44	Teruel	8	Graves o muy graves	2	01	General
2020	44	Teruel	3	Graves o muy graves	2	05	Trabajadores Autónomos
2020	50	Zaragoza	38	Graves o muy graves	2	01	General
2020	50	Zaragoza	8	Graves o muy graves	2	05	Trabajadores Autónomos
2019	22	Huesca	24	Graves o muy graves	2	01	General
2019	22	Huesca	5	Graves o muy graves	2	05	Trabajadores Autónomos
2019	44	Teruel	10	Graves o muy graves	2	01	General
2019	44	Teruel	3	Graves o muy graves	2	05	Trabajadores Autónomos
2019	50	Zaragoza	57	Graves o muy graves	2	01	General
2019	50	Zaragoza	9	Graves o muy graves	2	05	Trabajadores Autónomos
2018	22	Huesca	25	Graves o muy graves	2	01	General
2018	44	Teruel	14	Graves o muy graves	2	01	General
2018	50	Zaragoza	66	Graves o muy graves	2	01	General
2018	50	Zaragoza	3	Graves o muy graves	2	05	Trabajadores Autónomos
2017	22	Huesca	30	Graves o muy graves	2	01	General
2017	44	Teruel	12	Graves o muy graves	2	01	General
2017	50	Zaragoza	60	Graves o muy graves	2	01	General
2016	22	Huesca	20	Graves o muy graves	2	01	General
2016	22	Huesca	1	Graves o muy graves	2	05	Trabajadores Autónomos
2016	44	Teruel	14	Graves o muy graves	2	01	General
2016	44	Teruel	1	Graves o muy graves	2	05	Trabajadores Autónomos
2016	44	Teruel	1	Graves o muy graves	2	09	Especial Minería del Carbón
2016	50	Zaragoza	38	Graves o muy graves	2	01	General
2016	50	Zaragoza	4	Graves o muy graves	2	05	Trabajadores Autónomos
2015	22	Huesca	18	Graves o muy graves	2	01	General
2015	22	Huesca	1	Graves o muy graves	2	05	Trabajadores Autónomos
2015	44	Teruel	10	Graves o muy graves	2	01	General
2015	44	Teruel	1	Graves o muy graves	2	09	Especial Minería del Carbón
2015	50	Zaragoza	49	Graves o muy graves	2	01	General
2015	50	Zaragoza	1	Graves o muy graves	2	05	Trabajadores Autónomos
2014	22	Huesca	23	Graves o muy graves	2	01	General
2014	22	Huesca	3	Graves o muy graves	2	05	Trabajadores Autónomos
2014	44	Teruel	14	Graves o muy graves	2	01	General
2014	44	Teruel	1	Graves o muy graves	2	09	Especial Minería del Carbón
2014	50	Zaragoza	34	Graves o muy graves	2	01	General
2014	50	Zaragoza	5	Graves o muy graves	2	05	Trabajadores Autónomos
2013	22	Huesca	15	Graves o muy graves	2	01	General
2013	22	Huesca	2	Graves o muy graves	2	05	Trabajadores Autónomos
2013	44	Teruel	8	Graves o muy graves	2	01	General
2013	50	Zaragoza	38	Graves o muy graves	2	01	General
2013	50	Zaragoza	9	Graves o muy graves	2	05	Trabajadores Autónomos
2012	22	Huesca	26	Graves o muy graves	2	01	General
2012	22	Huesca	4	Graves o muy graves	2	05	Trabajadores Autónomos
2012	22	Huesca	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2012	44	Teruel	8	Graves o muy graves	2	01	General
2012	44	Teruel	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2012	50	Zaragoza	39	Graves o muy graves	2	01	General
2012	50	Zaragoza	6	Graves o muy graves	2	05	Trabajadores Autónomos
2012	50	Zaragoza	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2011	22	Huesca	24	Graves o muy graves	2	01	General
2011	22	Huesca	3	Graves o muy graves	2	05	Trabajadores Autónomos
2011	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2011	22	Huesca	1	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2011	44	Teruel	8	Graves o muy graves	2	01	General
2011	44	Teruel	1	Graves o muy graves	2	05	Trabajadores Autónomos
2011	44	Teruel	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2011	44	Teruel	3	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2011	50	Zaragoza	30	Graves o muy graves	2	01	General
2011	50	Zaragoza	8	Graves o muy graves	2	05	Trabajadores Autónomos
2010	22	Huesca	40	Graves o muy graves	2	01	General
2010	22	Huesca	1	Graves o muy graves	2	05	Trabajadores Autónomos
2010	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	9	Graves o muy graves	2	01	General
2010	44	Teruel	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2010	44	Teruel	2	Graves o muy graves	2	09	Especial Minería del Carbón
2010	50	Zaragoza	47	Graves o muy graves	2	01	General
2010	50	Zaragoza	3	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2009	22	Huesca	31	Graves o muy graves	2	01	General
2009	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2009	22	Huesca	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2009	44	Teruel	13	Graves o muy graves	2	01	General
2009	44	Teruel	1	Graves o muy graves	2	05	Trabajadores Autónomos
2009	50	Zaragoza	81	Graves o muy graves	2	01	General
2009	50	Zaragoza	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2008	22	Huesca	32	Graves o muy graves	2	01	General
2008	22	Huesca	1	Graves o muy graves	2	05	Trabajadores Autónomos
2008	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2008	22	Huesca	1	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2008	44	Teruel	13	Graves o muy graves	2	01	General
2008	44	Teruel	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2008	44	Teruel	1	Graves o muy graves	2	09	Especial Minería del Carbón
2008	50	Zaragoza	87	Graves o muy graves	2	01	General
2008	50	Zaragoza	3	Graves o muy graves	2	05	Trabajadores Autónomos
2008	50	Zaragoza	1	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2007	22	Huesca	45	Graves o muy graves	2	01	General
2007	22	Huesca	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2007	44	Teruel	13	Graves o muy graves	2	01	General
2007	44	Teruel	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2007	44	Teruel	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2007	44	Teruel	2	Graves o muy graves	2	09	Especial Minería del Carbón
2007	50	Zaragoza	119	Graves o muy graves	2	01	General
2007	50	Zaragoza	3	Graves o muy graves	2	05	Trabajadores Autónomos
2007	50	Zaragoza	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2006	22	Huesca	29	Graves o muy graves	2	01	General
2006	22	Huesca	1	Graves o muy graves	2	05	Trabajadores Autónomos
2006	22	Huesca	3	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2006	44	Teruel	10	Graves o muy graves	2	01	General
2006	44	Teruel	3	Graves o muy graves	2	09	Especial Minería del Carbón
2006	50	Zaragoza	113	Graves o muy graves	2	01	General
2006	50	Zaragoza	5	Graves o muy graves	2	05	Trabajadores Autónomos
2006	50	Zaragoza	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2006	50	Zaragoza	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2005	22	Huesca	45	Graves o muy graves	2	01	General
2005	22	Huesca	4	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2005	44	Teruel	24	Graves o muy graves	2	01	General
2005	44	Teruel	3	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2005	44	Teruel	2	Graves o muy graves	2	09	Especial Minería del Carbón
2005	50	Zaragoza	108	Graves o muy graves	2	01	General
2005	50	Zaragoza	3	Graves o muy graves	2	05	Trabajadores Autónomos
2005	50	Zaragoza	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2005	50	Zaragoza	8	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2004	22	Huesca	45	Graves o muy graves	2	01	General
2004	22	Huesca	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2004	22	Huesca	2	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2004	44	Teruel	30	Graves o muy graves	2	01	General
2004	44	Teruel	2	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2004	44	Teruel	3	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2004	44	Teruel	2	Graves o muy graves	2	09	Especial Minería del Carbón
2004	50	Zaragoza	130	Graves o muy graves	2	01	General
2004	50	Zaragoza	1	Graves o muy graves	2	05	Trabajadores Autónomos
2004	50	Zaragoza	5	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2004	50	Zaragoza	5	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2003	22	Huesca	43	Graves o muy graves	2	01	General
2003	22	Huesca	1	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2003	44	Teruel	29	Graves o muy graves	2	01	General
2003	44	Teruel	1	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2003	44	Teruel	6	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2003	50	Zaragoza	132	Graves o muy graves	2	01	General
2003	50	Zaragoza	3	Graves o muy graves	2	06	Especial Agrario Cuenta Ajena
2003	50	Zaragoza	12	Graves o muy graves	2	07	Especial Agrario Cuenta Propia
2003	50	Zaragoza	1	Graves o muy graves	2	09	Especial Minería del Carbón
2020	22	Huesca	3	Mortales	3	01	General
2020	22	Huesca	2	Mortales	3	05	Trabajadores Autónomos
2020	44	Teruel	3	Mortales	3	01	General
2020	44	Teruel	1	Mortales	3	05	Trabajadores Autónomos
2020	50	Zaragoza	11	Mortales	3	01	General
2019	22	Huesca	7	Mortales	3	01	General
2019	22	Huesca	1	Mortales	3	05	Trabajadores Autónomos
2019	44	Teruel	1	Mortales	3	01	General
2019	50	Zaragoza	14	Mortales	3	01	General
2019	50	Zaragoza	3	Mortales	3	05	Trabajadores Autónomos
2018	22	Huesca	8	Mortales	3	01	General
2018	44	Teruel	3	Mortales	3	01	General
2018	50	Zaragoza	13	Mortales	3	01	General
2018	50	Zaragoza	2	Mortales	3	05	Trabajadores Autónomos
2017	22	Huesca	5	Mortales	3	01	General
2017	44	Teruel	8	Mortales	3	01	General
2017	50	Zaragoza	13	Mortales	3	01	General
2016	22	Huesca	9	Mortales	3	01	General
2016	44	Teruel	2	Mortales	3	01	General
2016	44	Teruel	1	Mortales	3	05	Trabajadores Autónomos
2016	50	Zaragoza	10	Mortales	3	01	General
2016	50	Zaragoza	1	Mortales	3	05	Trabajadores Autónomos
2015	22	Huesca	4	Mortales	3	01	General
2015	22	Huesca	1	Mortales	3	05	Trabajadores Autónomos
2015	44	Teruel	1	Mortales	3	01	General
2015	50	Zaragoza	21	Mortales	3	01	General
2015	50	Zaragoza	1	Mortales	3	05	Trabajadores Autónomos
2014	22	Huesca	1	Mortales	3	01	General
2014	44	Teruel	2	Mortales	3	01	General
2014	50	Zaragoza	12	Mortales	3	01	General
2013	22	Huesca	1	Mortales	3	01	General
2013	44	Teruel	1	Mortales	3	01	General
2013	44	Teruel	1	Mortales	3	05	Trabajadores Autónomos
2013	50	Zaragoza	14	Mortales	3	01	General
2012	22	Huesca	4	Mortales	3	01	General
2012	22	Huesca	1	Mortales	3	05	Trabajadores Autónomos
2012	44	Teruel	4	Mortales	3	01	General
2012	44	Teruel	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2012	50	Zaragoza	8	Mortales	3	01	General
2012	50	Zaragoza	1	Mortales	3	05	Trabajadores Autónomos
2011	22	Huesca	4	Mortales	3	01	General
2011	44	Teruel	7	Mortales	3	01	General
2011	44	Teruel	2	Mortales	3	07	Especial Agrario Cuenta Propia
2011	50	Zaragoza	9	Mortales	3	01	General
2011	50	Zaragoza	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2010	22	Huesca	6	Mortales	3	01	General
2010	44	Teruel	2	Mortales	3	01	General
2010	50	Zaragoza	17	Mortales	3	01	General
2009	22	Huesca	6	Mortales	3	01	General
2009	44	Teruel	7	Mortales	3	01	General
2009	44	Teruel	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2009	44	Teruel	1	Mortales	3	09	Especial Minería del Carbón
2009	50	Zaragoza	21	Mortales	3	01	General
2008	22	Huesca	2	Mortales	3	01	General
2008	44	Teruel	6	Mortales	3	01	General
2008	50	Zaragoza	22	Mortales	3	01	General
2007	22	Huesca	5	Mortales	3	01	General
2007	22	Huesca	1	Mortales	3	07	Especial Agrario Cuenta Propia
2007	44	Teruel	11	Mortales	3	01	General
2007	50	Zaragoza	20	Mortales	3	01	General
2007	50	Zaragoza	2	Mortales	3	06	Especial Agrario Cuenta Ajena
2006	22	Huesca	5	Mortales	3	01	General
2006	44	Teruel	7	Mortales	3	01	General
2006	44	Teruel	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2006	50	Zaragoza	20	Mortales	3	01	General
2006	50	Zaragoza	1	Mortales	3	06	Especial Agrario Cuenta Ajena
2005	22	Huesca	5	Mortales	3	01	General
2005	44	Teruel	6	Mortales	3	01	General
2005	44	Teruel	1	Mortales	3	05	Trabajadores Autónomos
2005	50	Zaragoza	23	Mortales	3	01	General
2004	22	Huesca	10	Mortales	3	01	General
2004	44	Teruel	8	Mortales	3	01	General
2004	44	Teruel	1	Mortales	3	07	Especial Agrario Cuenta Propia
2004	50	Zaragoza	24	Mortales	3	01	General
2004	50	Zaragoza	1	Mortales	3	07	Especial Agrario Cuenta Propia
2003	22	Huesca	6	Mortales	3	01	General
2003	44	Teruel	11	Mortales	3	01	General
2003	50	Zaragoza	15	Mortales	3	01	General
