Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar con remuneración	Personas mano obra familiar sin remuneración	Personas jefes de explotación	Total jornadas completas	Total jornadas parciales	Personas asalariados fijos total	Personas asalariados fijos varones	Personas asalariadas fijas mujeres	Unidades de trabajo/año totales
1989	22195	Quicena	13	0	13	9	980	768	8	8	0	10
1989	22197	Robres	145	0	145	115	21725	4646	6	6	0	93
1989	22199	Sabiñánigo	344	11	333	243	19416	1967	71	71	0	98
1989	22200	Sahún	77	0	77	52	7635	7097	7	7	0	40
1989	22201	Salas Altas	258	0	258	126	18554	9969	2	1	1	87
1989	22202	Salas Bajas	117	0	117	74	4934	5603	2	2	0	29
1989	22203	Salillas	40	0	40	31	1620	4590	5	5	0	17
1989	22204	Sallent de Gállego	115	0	115	82	5976	6804	6	6	0	34
1989	22205	San Esteban de Litera	363	4	359	260	29362	16457	35	35	0	156
1989	22206	Sangarrén	86	0	86	68	3919	4498	15	15	0	34
1989	22207	San Juan de Plan	64	0	64	32	7715	9050	3	3	0	42
1989	22208	Santa Cilia	61	0	61	43	7192	5059	5	5	0	34
1989	22209	Santa Cruz de la Serós	46	0	46	32	3279	4955	4	4	0	21
1989	22212	Santaliestra y San Quílez	32	0	32	25	2100	979	5	5	0	12
1989	22213	Sariñena	656	0	656	474	78824	51247	70	69	1	448
1989	22214	Secastilla	83	0	83	55	3015	2880	11	11	0	20
1989	22215	Seira	41	0	41	28	3420	2661	11	11	0	16
1989	22217	Sena	156	0	156	140	20850	9946	22	21	1	116
1989	22218	Senés de Alcubierre	28	0	28	20	2870	333	9	9	0	20
1989	22220	Sesa	69	0	69	56	4844	9533	3	3	0	34
1989	22221	Sesué	29	0	29	17	3975	3035	2	2	0	19
1989	22222	Siétamo	112	0	112	86	8504	2638	21	21	0	52
1989	22223	Sopeira	36	0	36	29	3480	2646	4	4	0	17
1989	22225	Tamarite de Litera	1190	8	1182	560	110410	64862	119	108	11	617
1989	22226	Tardienta	237	0	237	212	14113	13076	14	14	0	83
1989	22227	Tella-Sin	74	0	74	49	3625	6922	7	7	0	25
1989	22228	Tierz	26	0	26	17	1140	1468	4	4	0	9
1989	22229	Tolva	105	0	105	69	8276	3725	20	20	0	45
1989	22230	Torla-Ordesa	73	0	73	49	13290	2436	6	6	0	52
1989	22232	Torralba de Aragón	52	0	52	42	7711	1397	11	11	0	37
1989	22233	Torre la Ribera	43	1	42	22	5561	392	14	14	0	22
1989	22234	Torrente de Cinca	192	2	190	107	20533	2898	25	25	0	115
1989	22235	Torres de Alcanadre	37	0	37	29	4580	1411	1	1	0	20
1989	22236	Torres de Barbués	67	1	66	52	9315	3734	8	8	0	46
1989	22239	Tramaced	43	0	43	33	3904	5614	12	12	0	34
1989	22242	Valfarta	31	0	31	29	3515	416	11	10	1	20
1989	22243	Valle de Bardají	23	0	23	14	5110	478	6	6	0	15
1989	22244	Valle de Lierp	28	0	28	13	3178	576	5	5	0	13
1989	22245	Velilla de Cinca	121	0	121	71	14542	1152	5	5	0	59
1989	22246	Beranuy	61	0	61	29	5977	1320	10	10	0	26
1989	22247	Viacamp y Litera	34	0	34	23	2111	821	7	7	0	10
1989	22248	Vicién	16	0	16	8	710	1115	11	11	0	14
1989	22249	Villanova	10	1	9	8	1700	735	1	1	0	7
