Aragón	Accesible	Ascensor	Portero	Portero automático	Gas	Teléfono	Agua corriente	Agua caliente central	Evacuación aguas residuales	Número de edificios
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	125
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	6
Aragón	Accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Con ascensor	Con portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	7
Aragón	Accesible	Con ascensor	Con portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	21
Aragón	Accesible	Con ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	10
Aragón	Accesible	Con ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	3
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	51
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	27
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	7
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	4
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	4
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	1
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	172
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	93
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	53
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	95
Aragón	Accesible	Con ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	4
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	6
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	360
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	3
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	3
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	1927
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	7
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	324
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	2
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	2
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	34
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	33
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	60
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	43
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	7
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	16
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	3602
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	54
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	1264
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	4
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	4
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	5
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	3
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	2
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	3
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	299
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	391
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	2
Aragón	Accesible	Sin ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	4
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	94
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	8
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	40
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	34
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	12
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	Con portero	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	8
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	3
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	9
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	7
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	Con portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	55
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	78
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	2
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	33
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	1777
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	9
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	474
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	3
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	2
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	1
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	1
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	8
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	283
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	2
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	183
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	1
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Con gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	5
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	63
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	255
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	132
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	103
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Sin evacuación	12
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	10235
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	131
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	5076
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	48
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	41
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Otro tipo de evacuación	5
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	54
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	7
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	43
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	20
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	185
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Sin evacuación	7
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	3779
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	30
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	3200
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	19
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Sin evacuación	47
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Otro tipo de evacuación	9
Aragón	Accesible	Sin ascensor	Sin portero	Sin portero automático	Sin gas	Sin teléfono	Sin agua corriente	Sin agua caliente	Sin evacuación	217
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	2
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	1025
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	2
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	2127
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Otro tipo de evacuación	2
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	14
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	12
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Con agua caliente	Otro tipo de evacuación	5
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Alcantarillado	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento privado	Sin agua caliente	Otro tipo de evacuación	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	876
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	2
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	1009
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Con teléfono	Sin agua corriente	Sin agua caliente	Otro tipo de evacuación	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento privado	Con agua caliente	Alcantarillado	1
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	19
Aragón	No accesible	Con ascensor	 No aplicable	Con portero automático	Sin gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	22
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	281
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Con gas	Con teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	203
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Con gas	Sin teléfono	Agua corriente abastecimiento público	Sin agua caliente	Alcantarillado	1
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Alcantarillado	404
Aragón	No accesible	Con ascensor	Con portero	Con portero automático	Sin gas	Con teléfono	Agua corriente abastecimiento público	Con agua caliente	Otro tipo de evacuación	1
