Municipio código	Municipio nombre	Número total de explotaciones 	Unidades ganaderas totales	Número de explotaciones sin ganado	Número de explotaciones con ganado
50248	Sos del Rey Católico	175	413,62	160	15
50249	Tabuenca	154	870,2	143	11
50250	Talamantes	11	811,2	6	5
50251	Tarazona	322	6864,784	290	32
50252	Tauste	858	57248,773	694	164
50253	Terrer	65	183	56	9
50254	Tierga	62	461,534	53	9
50255	Tobed	47	772,94	43	4
50256	Torralba de los Frailes	53	174,7	47	6
50257	Torralba de Ribota	62	47,2	61	1
50258	Torralbilla	10	40,9	9	1
50259	Torrehermosa	18	198,9	10	8
50260	Torrelapaja	8	50	7	1
50261	Torrellas	19	657	15	4
50262	Torres de Berrellén	69	780,4	61	8
50263	Torrijo de la Cañada	46	887,6	39	7
50264	Tosos	93	312,887	83	10
50265	Trasmoz	21	48,1	19	2
50266	Trasobares	44	108,2	41	3
50267	Uncastillo	100	3529,318	72	28
50268	Undués de Lerda	12	6975,231	8	4
50269	Urrea de Jalón	54	23,2	52	2
50270	Urriés	18	126,6	16	2
50271	Used	101	1182,642	94	7
50272	Utebo	61	480,2	51	10
50273	Valdehorna	17	0	0	0
50274	Val de San Martín	21	59,6	19	2
50275	Valmadrid	17	30,9	15	2
50276	Valpalmas	30	1340,5	26	4
50277	Valtorres	15	0	0	0
50278	Velilla de Ebro	33	1976	19	14
50279	Velilla de Jiloca	26	34,3	24	2
50280	Vera de Moncayo	72	2106,6	62	10
50281	Vierlas	22	168	21	1
50282	Vilueña (La)	37	24,4	35	2
50283	Villadoz	24	0	0	0
50284	Villafeliche	23	76,738	20	3
50285	Villafranca de Ebro	60	445,1	55	5
50286	Villalba de Perejil	25	178,26	21	4
50287	Villalengua	67	192,9	61	6
50288	Villanueva de Gállego	97	3921,035	84	13
50289	Villanueva de Jiloca	15	0	0	0
50290	Villanueva de Huerva	92	960,28	85	7
50291	Villar de los Navarros	46	73	44	2
50292	Villarreal de Huerva	18	7499,5	14	4
50293	Villarroya de la Sierra	133	650,256	124	9
50294	Villarroya del Campo	21	0	0	0
50295	Vistabella	6	0	0	0
50296	Zaida (La)	34	92	33	1
50297	Zaragoza	921	9275,682	830	91
50298	Zuera	366	6846,677	322	44
50901	Biel	28	653,2	17	11
50902	Marracos	17	1057,85	13	4
50903	Villamayor de Gállego	167	7270,58	149	18
