Año	Municipio código	Municipio nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2019	22175	Peralta de Calasanz	735	19,18	748	15025,21	9866,97	5158,24
2019	22176	Peraltilla	176	7,12	194	3372,25	2863,01	509,23
2019	22177	Perarrúa	247	5,71	261	5295,46	4668,62	626,83
2019	22178	Pertusa	192	7,22	211	4119,56	3315,73	803,82
2019	22181	Piracés	97	1,75	98	1129,19	997,32	131,86
2019	22182	Plan	383	15,26	497	6404,4	5872,31	532,09
2019	22184	Poleñino	213	12,35	217	3547,83	2838,7	709,12
2019	22186	Pozán de Vero	313	9,45	320	5138,08	4160,18	977,89
2019	22187	Puebla de Castro (La)	903	87,03	1029	29828,89	23064,56	6764,33
2019	22188	Puente de Montañana	295	6,38	299	4709,76	4289,22	420,53
2019	22189	Puértolas	298	8,31	358	11031,57	9212,76	1818,81
2019	22190	Pueyo de Araguás (El)	249	21,71	255	9589,83	6331,62	3258,2
2019	22193	Pueyo de Santa Cruz	264	10,52	295	7576,07	6542,16	1033,91
2019	22195	Quicena	269	13,88	276	8691,61	7108,17	1583,43
2019	22197	Robres	506	30,78	560	11360,93	9123,31	2237,61
2019	22199	Sabiñánigo	2796	495,3	15158	490072,51	282553,59	207518,92
2019	22200	Sahún	458	42,58	887	27899,79	24783,55	3116,23
2019	22201	Salas Altas	316	7,51	318	5472,7	4505,98	966,71
2019	22202	Salas Bajas	223	10,75	243	11307,83	7911,33	3396,5
2019	22203	Salillas	146	3,54	149	2690,83	2027,06	663,77
2019	22204	Sallent de Gállego	1239	140,41	7389	250025,9	204541,25	45484,65
2019	22205	San Esteban de Litera	911	29,5	1032	17394,4	14979,08	2415,31
2019	22206	Sangarrén	289	10,35	296	6843,18	5670,43	1172,74
2019	22207	San Juan de Plan	130	39,29	220	4773,31	4351,92	421,38
2019	22208	Santa Cilia	298	15,01	365	18918,86	12092,61	6826,24
2019	22209	Santa Cruz de la Serós	243	12,57	361	15278,5	9045,39	6233,1
2019	22212	Santaliestra y San Quílez	122	4,44	153	2492,5	2213,87	278,63
2019	22213	Sariñena	2770	243,35	3994	124347,21	90660,96	33686,24
2019	22214	Secastilla	269	9,69	272	16206,02	11972,82	4233,19
2019	22215	Seira	204	8,74	415	7850,9	7194,47	656,42
2019	22217	Sena	673	21,62	686	15182,28	13407,54	1774,73
2019	22218	Senés de Alcubierre	73	2,68	74	1116,41	910,66	205,74
2019	22220	Sesa	243	9,18	247	5545,4	4340,07	1205,33
2019	22221	Sesué	254	12,59	497	29942,14	16028,92	13913,21
2019	22222	Siétamo	753	29,01	766	22084,44	16096,82	5987,61
2019	22223	Sopeira	255	6,57	300	4324,49	4051,01	273,48
2019	22225	Tamarite de Litera	1724	100,65	3014	104837,94	68823,15	36014,79
2019	22226	Tardienta	619	47,7	1001	35885,4	27631,56	8253,83
2019	22227	Tella-Sin	311	11,02	400	4452,73	3998,29	454,43
2019	22228	Tierz	427	32,33	481	14972,66	12300,23	2672,42
2019	22229	Tolva	322	11,48	339	4153,7	3243,43	910,26
2019	22230	Torla-Ordesa	377	22,23	579	22660,28	20669,79	1990,48
2019	22232	Torralba de Aragón	158	7,06	167	2745,31	2223,14	522,16
2019	22233	Torre la Ribera	97	3,2	99	3990,34	3369,13	621,2
2019	22234	Torrente de Cinca	691	26,11	798	23681,39	18793,3	4888,09
2019	22235	Torres de Alcanadre	159	7,69	159	2902,28	2329,01	573,27
2019	22236	Torres de Barbués	227	15,89	228	4952,26	4156,48	795,77
2019	22239	Tramaced	102	6,54	105	2626,88	2124,37	502,51
2019	22242	Valfarta	107	4,46	107	3196,91	2668,16	528,75
2019	22243	Valle de Bardají	46	1,67	46	828,31	797,51	30,8
2019	22244	Valle de Lierp	86	2,26	146	1899,62	1854,08	45,54
2019	22245	Velilla de Cinca	460	12,39	468	11065,7	10065,86	999,83
2019	22246	Beranuy	224	10,41	228	5654,08	4323	1331,08
2019	22247	Viacamp y Litera	93	1,85	93	686,62	652,78	33,83
2019	22248	Vicién	198	17,49	203	4310,97	2816,33	1494,64
2019	22249	Villanova	158	5,34	354	10694,23	10251,72	442,51
2019	22250	Villanúa	623	79,67	3641	119642,49	82685,02	36957,47
2019	22251	Villanueva de Sigena	405	20,73	443	13758,6	12150,5	1608,1
2019	22252	Yebra de Basa	221	10,85	235	7514,36	4783,31	2731,05
2019	22253	Yésero	141	3,87	153	3110,32	2005,94	1104,38
2019	22254	Zaidín	1093	41,63	1413	39565,91	30986,2	8579,71
2019	22901	Valle de Hecho	968	29,66	1452	33699,95	30172,68	3527,27
2019	22902	Puente la Reina de Jaca	420	18,35	645	25521,85	17479,05	8042,79
2019	22903	San Miguel del Cinca	709	25,81	770	13473,98	11471,66	2002,31
2019	22904	Sotonera (La)	1504	64,4	1560	26560,48	20992,42	5568,05
2019	22905	Lupiñén-Ortilla	522	22,11	542	8803,73	7335,9	1467,82
2019	22906	Santa María de Dulcis	233	5,32	259	2710,88	2454,38	256,5
2019	22907	Aínsa-Sobrarbe	1388	79,77	2937	152047,01	89960,57	62086,43
2019	22908	Hoz y Costeán	349	5,81	352	4484,52	4138,88	345,64
2019	22909	Vencillón	202	13,97	211	5200,92	4858,57	342,35
2019	44001	Ababuj	166	4,37	187	1511,59	1208,66	302,93
2019	44002	Abejuela	307	3,31	318	3883,53	2569,22	1314,3
2019	44003	Aguatón	66	1,57	65	875,23	785,29	89,94
2019	44004	Aguaviva	970	30,12	1065	38637,46	26084,12	12553,34
2019	44005	Aguilar del Alfambra	221	7,46	264	1985,24	1660,07	325,16
2019	44006	Alacón	609	9,68	627	12088,86	9850,31	2238,55
2019	44007	Alba	419	9,59	422	4929,87	4208,29	721,57
2019	44008	Albalate del Arzobispo	2061	77,04	2592	54908,9	39111,08	15797,81
2019	44009	Albarracín	1090	62,32	1512	45986,82	32930,42	13056,4
2019	44010	Albentosa	624	28,64	678	22796,13	16457,77	6338,35
2019	44011	Alcaine	316	2,31	317	3248,47	3037,47	211
2019	44012	Alcalá de la Selva	1063	108,86	2621	82809,47	66070,2	16739,26
2019	44013	Alcañiz	4447	574,71	15948	605961,59	453636,5	152325,08
2019	44014	Alcorisa	2231	98,58	3933	99042,36	80181,98	18860,38
2019	44016	Alfambra	702	26,22	807	11056,05	8142,29	2913,75
2019	44017	Aliaga	736	31,16	901	14364,73	11899,44	2465,28
2019	44018	Almohaja	97	1,44	98	511,3	444,46	66,83
2019	44019	Alobras	227	3,31	231	2862,81	2638,61	224,2
2019	44020	Alpeñés	83	1,72	85	659,76	567,22	92,53
2019	44021	Allepuz	235	3,85	267	3887,55	3509,26	378,28
2019	44022	Alloza	1035	20,13	1181	23029,98	20228,85	2801,12
2019	44023	Allueva	89	1,18	97	621,77	572,48	49,28
2019	44024	Anadón	132	1,79	133	1019,7	904,43	115,26
2019	44025	Andorra	2975	278,93	6488	262897,23	158033,19	104864,04
2019	44026	Arcos de las Salinas	457	7,23	616	13289,41	9538,14	3751,27
2019	44027	Arens de Lledó	282	5,51	301	7214,94	6404,77	810,17
2019	44028	Argente	341	7,95	344	5029,23	4336,11	693,11
2019	44029	Ariño	927	17,84	1041	25753,49	16711,92	9041,57
2019	44031	Azaila	289	6,94	294	6759,25	6074,4	684,85
2019	44032	Bádenas	108	1,87	108	995,27	916,6	78,67
2019	44033	Báguena	901	17,09	909	12958,49	10640,83	2317,66
2019	44034	Bañón	314	7,76	314	7008,55	4389,5	2619,05
2019	44035	Barrachina	282	4,81	285	4040,6	3550,75	489,85
2019	44036	Bea	72	1,47	74	1157,48	1030,66	126,82
2019	44037	Beceite	830	24,32	958	25559,02	16442,51	9116,51
2019	44038	Belmonte de San José	302	5,35	308	8685,43	5438,57	3246,86
2019	44039	Bello	662	13,91	661	9134,09	7750,71	1383,37
2019	44040	Berge	350	7,24	382	9124,59	6863,97	2260,61
2019	44041	Bezas	228	4,96	241	3219,49	2438,18	781,31
2019	44042	Blancas	407	7,13	415	7042,54	6199,64	842,89
2019	44043	Blesa	360	5,14	366	3306,19	2831,72	474,46
2019	44044	Bordón	239	2,63	275	4341,67	4033,01	308,66
2019	44045	Bronchales	910	38,25	1377	40029,99	33352,77	6677,22
2019	44046	Bueña	197	2,59	198	1302,56	1068,46	234,09
2019	44047	Burbáguena	556	8,33	568	9492,28	8382,75	1109,52
2019	44048	Cabra de Mora	243	5,53	287	5110,91	3773,69	1337,22
2019	44049	Calaceite	1175	29,93	1269	36432,43	26340,64	10091,79
2019	44050	Calamocha	3769	263,61	6438	195992,97	147909,58	48083,38
2019	44051	Calanda	2388	158,52	3607	131261,08	110246,3	21014,78
2019	44052	Calomarde	257	3,72	288	4837,66	3914,92	922,74
2019	44053	Camañas	199	5,08	204	2312,16	2055,32	256,83
2019	44054	Camarena de la Sierra	514	7,41	719	15799,45	9821,3	5978,14
2019	44055	Camarillas	260	5,81	275	2754,68	2297,12	457,55
2019	44056	Caminreal	854	34,21	889	25110,65	20240,17	4870,47
2019	44059	Cantavieja	691	14,69	1081	32512,17	28456,19	4055,97
2019	44060	Cañada de Benatanduz	211	5,28	265	2548,72	2422,95	125,77
2019	44061	Cañada de Verich (La)	157	3	172	2178,63	1913,37	265,26
2019	44062	Cañada Vellida	77	1,77	77	776,58	678,66	97,91
2019	44063	Cañizar del Olivar	324	9,42	361	4402,31	3854,46	547,85
2019	44064	Cascante del Río	235	2,32	244	3337,17	2921,83	415,34
2019	44065	Castejón de Tornos	231	3,67	231	2193	1912,81	280,19
2019	44066	Castel de Cabra	319	5,39	344	6559,23	4631,79	1927,43
2019	44067	Castelnou	268	13,81	273	5243,96	4604,51	639,44
2019	44068	Castelserás	937	30,35	1009	29587,69	24329,65	5258,03
2019	44070	Castellar (El)	169	4,19	192	3799,83	2664,41	1135,41
2019	44071	Castellote	1569	36,44	1724	44599,62	28929,29	15670,33
2019	44074	Cedrillas	721	43,14	858	40017,67	26258,38	13759,28
2019	44075	Celadas	337	9,95	339	8347,42	6892,75	1454,67
2019	44076	Cella	2333	209,97	2682	88488,88	68079,55	20409,32
2019	44077	Cerollera (La)	196	3,12	205	3708,38	2711,8	996,57
2019	44080	Codoñera (La)	614	10,65	597	17245,77	10014,21	7231,55
2019	44082	Corbalán	171	4	175	1905,48	1745,17	160,3
2019	44084	Cortes de Aragón	234	2,68	237	3925,72	2913,66	1012,05
2019	44085	Cosa	197	5,6	197	2825,23	2183,4	641,82
2019	44086	Cretas	651	12,83	705	25360,86	17644,71	7716,15
2019	44087	Crivillén	288	3,21	307	2769,31	2435,3	334,01
2019	44088	Cuba (La)	185	1,61	198	2317,52	2089,9	227,61
2019	44089	Cubla	184	4,63	155	3333,18	2941,56	391,62
2019	44090	Cucalón	242	4,4	243	4062,04	3121,13	940,9
2019	44092	Cuervo (El)	333	8,04	340	6633,72	4189,87	2443,85
2019	44093	Cuevas de Almudén	114	3,85	120	2430,17	2005,83	424,33
2019	44094	Cuevas Labradas	180	4,31	185	2264,82	2003,98	260,84
2019	44096	Ejulve	439	5,68	473	9411,43	5482,27	3929,16
2019	44097	Escorihuela	283	5,67	283	3518,27	2946,42	571,84
2019	44099	Escucha	648	37,22	1074	34980,83	18666,24	16314,58
2019	44100	Estercuel	564	8,4	624	10823,38	9504,68	1318,7
2019	44101	Ferreruela de Huerva	175	5,8	188	3407,23	2983,8	423,42
2019	44102	Fonfría	88	1,45	89	1135,38	1042,64	92,74
2019	44103	Formiche Alto	349	6,52	389	9203,95	5424,96	3778,98
2019	44105	Fórnoles	351	4,42	355	3277,5	2849,58	427,92
2019	44106	Fortanete	514	10,99	551	10129,82	8922,71	1207,11
2019	44107	Foz-Calanda	403	7,76	419	7487,5	6150,1	1337,39
2019	44108	Fresneda (La)	762	15,41	805	21125,77	16163,5	4962,27
2019	44109	Frías de Albarracín	401	13,63	421	5376,32	4620,77	755,54
2019	44110	Fuenferrada	137	2,56	142	1329,89	1164,44	165,45
2019	44111	Fuentes Calientes	155	4,63	159	2293,11	1918,71	374,39
2019	44112	Fuentes Claras	774	28,83	787	15378,74	10641,96	4736,78
2019	44113	Fuentes de Rubielos	421	7,8	430	6809,44	5933,99	875,45
2019	44114	Fuentespalda	419	11,84	437	8867,29	7455,49	1411,79
2019	44115	Galve	162	5,2	171	2425,1	2086,59	338,51
2019	44116	Gargallo	217	3,8	233	5559,55	4336,75	1222,8
2019	44117	Gea de Albarracín	763	24,98	833	19100,68	13522,87	5577,8
2019	44118	Ginebrosa (La)	455	6,03	480	11514,06	7943,02	3571,03
2019	44119	Griegos	260	5,01	270	6910,35	5594,44	1315,9
2019	44120	Guadalaviar	391	10,08	432	11497,89	8911,27	2586,62
2019	44121	Gúdar	205	3,32	278	6762,52	5310,57	1451,95
2019	44122	Híjar	1421	45	1974	54472,11	42713,31	11758,79
2019	44123	Hinojosa de Jarque	195	5	199	3303,72	2863,19	440,53
2019	44124	Hoz de la Vieja (La)	398	3,51	397	3128,04	2831,7	296,34
2019	44125	Huesa del Común	470	6,38	474	7947,29	4436,68	3510,61
2019	44126	Iglesuela del Cid (La)	634	9,47	708	9607,02	8688,97	918,04
2019	44127	Jabaloyas	369	6,37	378	3147,88	2801,06	346,81
2019	44128	Jarque de la Val	131	4,88	141	3033,86	2356,94	676,91
2019	44129	Jatiel	132	3,19	135	2332,29	1970,83	361,46
2019	44130	Jorcas	144	3,35	145	932	733,06	198,94
2019	44131	Josa	226	2,5	234	1569,96	1423,21	146,75
2019	44132	Lagueruela	166	2,4	169	1957,34	1748,55	208,78
2019	44133	Lanzuela	92	1,97	90	1072,93	911,71	161,21
2019	44135	Libros	304	3,07	340	2843,66	2520,21	323,44
2019	44136	Lidón	171	4,6	174	1587,71	1339,22	248,49
2019	44137	Linares de Mora	572	7,41	659	14079,02	10964,66	3114,36
2019	44138	Loscos	649	8,34	656	4927,42	4354,62	572,8
2019	44141	Lledó	275	5,81	278	5483,05	4481,79	1001,26
2019	44142	Maicas	140	1,49	141	1294,79	1203,88	90,91
2019	44143	Manzanera	1597	40,14	1994	33964,85	28583,93	5380,91
2019	44144	Martín del Río	602	15,39	708	13144,09	9430,13	3713,96
2019	44145	Mas de las Matas	1411	43,44	1694	47024,02	25508,43	21515,58
2019	44146	Mata de los Olmos (La)	262	8,9	275	4989,24	4240,58	748,65
2019	44147	Mazaleón	685	12,99	721	14529,15	12646,52	1882,63
2019	44148	Mezquita de Jarque	149	13,1	150	4002,54	3460	542,53
2019	44149	Mirambel	249	3,59	280	6506,42	5680,91	825,5
2019	44150	Miravete de la Sierra	131	1,83	142	1436,34	1272,87	163,47
2019	44151	Molinos	474	5,74	538	10830,95	9996,23	834,72
2019	44152	Monforte de Moyuela	251	3,7	252	2316,49	1879,02	437,46
2019	44153	Monreal del Campo	2004	107,16	2500	114264,89	93140,75	21124,14
2019	44154	Monroyo	398	6,38	409	10715,01	9692,87	1022,14
2019	44155	Montalbán	1342	34,88	2042	53068,8	29314,9	23753,89
2019	44156	Monteagudo del Castillo	174	4,06	189	1866,55	1679,77	186,77
2019	44157	Monterde de Albarracín	293	4,06	295	2815,08	2472,48	342,6
2019	44158	Mora de Rubielos	2004	79,38	3301	74958,25	64538,69	10419,55
2019	44159	Moscardón	185	2,77	188	3545,73	3202,66	343,06
2019	44160	Mosqueruela	959	24,36	1101	25439,32	21785,23	3654,08
2019	44161	Muniesa	990	26,54	1022	23688,54	19220,33	4468,2
2019	44163	Noguera de Albarracín	331	5,37	375	8394,47	5546,79	2847,67
2019	44164	Nogueras	194	2,2	194	1559,33	1350,31	209,02
2019	44165	Nogueruelas	480	6,85	560	11913,93	8898,8	3015,13
2019	44167	Obón	404	2,74	413	4927,69	4578,22	349,46
2019	44168	Odón	410	11,21	405	6451,6	5370,87	1080,72
2019	44169	Ojos Negros	895	22,42	963	19387,13	14091,89	5295,24
2019	44171	Olba	1034	13,76	1112	20163,63	14564,09	5599,54
2019	44172	Oliete	902	8,75	942	16074,73	13929,79	2144,94
2019	44173	Olmos (Los)	271	2,87	283	2579,58	2361,2	218,37
2019	44174	Orihuela del Tremedal	825	39,33	1003	19892,22	16103,84	3788,38
2019	44175	Orrios	216	4,88	217	2462,99	2037,4	425,58
2019	44176	Palomar de Arroyos	286	6,18	314	3244,93	2737,88	507,05
2019	44177	Pancrudo	405	9,49	413	3453,94	2919,98	533,96
2019	44178	Parras de Castellote (Las)	367	4,27	381	4315,41	3943,96	371,44
2019	44179	Peñarroya de Tastavins	522	7,81	558	10613,15	8472,26	2140,88
2019	44180	Peracense	206	2,36	207	2408,54	2146,47	262,06
2019	44181	Peralejos	129	2,71	136	1325,98	1134,99	190,99
2019	44182	Perales del Alfambra	362	14,44	386	8628,45	6816,9	1811,55
2019	44183	Pitarque	277	2,31	286	3693,91	3401,98	291,93
2019	44184	Plou	176	3,21	178	3154,8	2223,06	931,74
2019	44185	Pobo (El)	208	12,53	215	3461,58	3016,34	445,24
2019	44187	Portellada (La)	370	8,88	380	10516,47	8652,46	1864,01
2019	44189	Pozondón	228	3,78	233	4980,51	3901,28	1079,22
2019	44190	Pozuel del Campo	330	4,73	331	4535,81	4012,21	523,6
2019	44191	Puebla de Híjar (La)	1211	102,03	1338	54737,7	43995,44	10742,26
2019	44192	Puebla de Valverde (La)	694	26,76	857	18361,84	16197,85	2163,98
2019	44193	Puertomingalvo	347	4,73	514	13039,11	11452,47	1586,64
2019	44194	Ráfales	350	5,36	356	7794,67	6212,99	1581,68
2019	44195	Rillo	197	4,51	203	2592,38	2193,99	398,39
2019	44196	Riodeva	648	5,7	659	2786,11	2443,96	342,15
2019	44197	Ródenas	280	4,64	287	4242,7	2882,74	1359,95
2019	44198	Royuela	490	7,58	505	7909,16	6855,54	1053,62
2019	44199	Rubiales	132	1,79	139	1526,13	1362,94	163,19
2019	44200	Rubielos de la Cérida	175	3,05	178	915,86	847,29	68,57
2019	44201	Rubielos de Mora	1096	39,21	1879	42983,78	37088,53	5895,25
2019	44203	Salcedillo	65	1,07	65	270,65	216,07	54,58
2019	44204	Saldón	209	2,23	216	1724,69	1487,67	237,02
2019	44205	Samper de Calanda	978	28,17	1045	34923,72	24367,52	10556,19
2019	44206	San Agustín	549	10,24	695	11706,84	10408,73	1298,11
