Municipio codigo	Municipio nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Población
22189	Puértolas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,9718776723
22190	Pueyo de Araguás (El)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,8162751028
22193	Pueyo de Santa Cruz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,3423359566
22195	Quicena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	11,2474382327
22197	Robres	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	10,9844952457
22199	Sabiñánigo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	307,6983552809
22200	Sahún	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	26,989181191
22201	Salas Altas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	13,150242461
22202	Salas Bajas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,9435567437
22203	Salillas	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,2360301233
22204	Sallent de Gállego	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	27,9033309497
22205	San Esteban de Litera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,4305175384
22206	Sangarrén	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,8053594079
22207	San Juan de Plan	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3429823007
22208	Santa Cilia	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,3116722315
22209	Santa Cruz de la Serós	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,4674749552
22212	Santaliestra y San Quílez	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,7874640195
22213	Sariñena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	105,1432469331
22214	Secastilla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,2454769812
22215	Seira	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,8547760156
22217	Sena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	17,4758725051
22220	Sesa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,6400029704
22221	Sesué	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,3362423999
22222	Siétamo	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	26,6222277701
22225	Tamarite de Litera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	54,5267119607
22226	Tardienta	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	12,465483282
22227	Tella-Sin	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	15,6833381196
22228	Tierz	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	40,8855387361
22229	Tolva	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,3374340934
22230	Torla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,7659983608
22232	Torralba de Aragón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,7724450871
22233	Torre la Ribera	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,3729953369
22234	Torrente de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	16,636829278
22235	Torres de Alcanadre	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,3977771194
22236	Torres de Barbués	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,4579697593
22244	Valle de Lierp	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,4802688411
22245	Velilla de Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,8301698783
22246	Beranuy	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,4793314839
22248	Vicién	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,2194779263
22249	Villanova	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	8,2055192692
22250	Villanúa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	23,193637657
22251	Villanueva de Sigena	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,1596348554
22252	Yebra de Basa	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,2256304455
22253	Yésero	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	5,7588114885
22254	Zaidín	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	29,1784018214
22901	Valle de Hecho	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	28,2029536546
22902	Puente la Reina de Jaca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	9,4461952526
22903	San Miguel del Cinca	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	15,6667139788
22904	Sotonera (La)	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	34,6857678923
22905	Lupiñén-Ortilla	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	15,1489926115
22906	Santa María de Dulcis	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	2,6544728272
22907	Aínsa-Sobrarbe	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	58,6212181882
22908	Hoz y Costeán	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	7,2349696151
22909	Vencillón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	3,7903921299
44001	Ababuj	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2215748315
44002	Abejuela	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,2571711147
44003	Aguatón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	4,0139812448
44004	Aguaviva	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	22,5770546718
44006	Alacón	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	6,834412502
44007	Alba	1	Educación (Magisterio, Educación Infantil, Pedagogía, ...)	1,6236760963
